Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
Gabrielle Hamilton, Blood, Bones, and Butter: The Inadvertent Education of a Reluctant Chef|I was firmly in the out-of-sight-out-of-mind camp, and had cogent, unflinchingly honest declarations I frequently made about losing a shared context, and sentimentalism, and the general faint hearted ness of most people-but I knew there were people in the world who remained friends, for life, with bunk mates from sleepaway camp, and this was that group of people.
Ettore Scola|...because there's a secret order. The books, you can't place them random. The other day I put Cervantes next to Tolstoj.And I thought, if close to Anna Karenina we have Don Quixote, sure the latter will do his best to save her.
Richelle E. Goodrich, Slaying Dragons|Medicinal Spirit, Inside MirrorTherapy becomes a harmony, and that harmony is built on levels,No one knows how to upscale another, for it has to come from the inside grails,Striking inflicts at the mirror and hatred to the being of creator,Causes hate in mirror too and abused flesh to the author,Changes come from its prudence and rationalism liberation,Not its pardon,A mirror is but a substance of a conscious,But identity says "let me fly" when journeying from the subconscious to the conscious.
Q-Tip|You can't plan success with a creative field. So I enjoy it while it's here, and I know it won't be forever. Maybe one day I'll have to go back to flipping burgers, but for now I'm going to enjoy the cool things.
Howard Schultz, Onward: How Starbucks Fought for Its Life without Losing Its Soul|To a man, a woman is fun to be with … until she gains weight. To a woman, a man is fun to live with … until he loses his job.
Kingfisher Pink, The Whole Beast|Should one find themselves with a proclivity towards savagery – be it discovered through self-diagnosis, the observations of friends and kind strangers, or via legal decree – one should take particular caution before ordering the steak tartare.
Lailah Gifty Akita|If you meditate on the Holy Scriptures, you mind shall me on the Jesus Christ, the Saviour,
Ernest Vincent Wright, Gadsby|In the beginning of all things, wisdom and knowledge were with the animals, for Tirawa, the One Above, did not speak directly to man. He sent certain animals to tell men that he showed himself through the beast, and that from them, and from the stars and the sun and moon should man learn.. all things tell of Tirawa. What is life? It is the flash of a firefly in the night. It is the breath of a buffalo in the wintertime. It is the little shadow which runs across the grass and loses itself in the sunset.
Clifford Cohen|You can do anything…but before you can do anything, you have to do something.
Anthony Browne|When I was a boy, I was a worrier, and so was my son, Joe. I used to tell him that worrying meant he had an imagination and that one day he'd be pleased.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|Women need to shift from thinking "I'm not ready to do that" to thinking "I want to do that- and I'll learn by doing it.
Graham Kerr, Flash of Silver: ...the Leap That Changed My World|I think modern education over-emphasizes the intellect. I suppose that comes from the scientific trend of the times. You cannot obtain a useful citizen if you only develop his intellect. We take children from their parents because these cannot give them an intellectual training. So far, good. But we fail to give them that training in character which parents alone can give. Home influence, as Grace Aguilar conceived it " where has it gone? It strikes me that this is a grave danger for the future. We are rearing up a brood of crafty egoists, a generation whose earliest recollections are those of getting something for nothing from the State.I am inclined to trace our present social unrest to this over-valuation of the intellect. It hardens the heart and blights all generous impulses. What is going to replace the home, Mr. Keith?
Israelmore Ayivor|If you fear to know the cost, the value will definitely be lost. Focus your attentions on the product, not the price.
Amit Kalantri|Show some mercy to your 'time', don't always waste it.
Abraham Hicks|To vibrate that positive feeling to manifest the thing or the situation we desire, we have to feel it in the present, as if we are already in it. When we are feeling it, we are ‘being’ who we need to be to ‘do’ the action s it would require so we can ‘have’ what we desire.
Elizabeth Warren|We all have a responsibility, and since I've been so wonderfully blessed, I really want to share and to make life at least a little better. So every chance I get to share the gospel or uplift people, I will take full advantage of that opportunity.
Santosh Adbhut Kumar|If you have a problem with me, it is OK, because Mullah Omar does too.
Scott   Parker, My Favorite Letter Is H|With homework, school prepares students for overtime. With reports, it prepares them for payday.
Robin Bielman, Worth the Risk|But baby, you started this.” The hand on her hip tugged her closer, her inner thighs brushing against the smooth fabric pulled taut over his long legs.She tugged at the fingers on her hip, wriggling at the same time, desperate to escape. “And now I’m ending it.”“I’ll decide where it ends,” he said.
Jane Austen, Pride and Prejudice|Plainly, she is quite besotted by him,... a girl, a young girl, and she is falling in love for the first time in her life. ...little Kitty Howard at a loss, stumbling in her speech, blushing like a rose, thinking of someone else and not herself is to see a girl become a woman.
Dave Shepp|I believe that there is potential in everyone, and that everyone is capable of reaching their goals and dreams with the right focus, dedication and discipline.
Dennis Lehane, A Drink Before the War|It’s impossible to park on Tremont or even idle there for more than 30 seconds. A platoon of meter maids, imported from the female Hitler Youth shortly after the fall of Berlin, roam the street, at least two to a block, pit bull faces on top of fire hydrant bodies, just waiting for someone stupid enough to stall traffic on their street.
Joyce Meyer|Hope is favorable and confident expectation; it's an expectant attitude that something good is going to happen and things will work out, no matter what situation we're facing.
Harper Lee|The upper management team had informed me that an employee that worked for me was a poor performer and would be terminated soon. This employee was clearly displaying mental health issues that were causing problems in the workplace. When I followed the company procedures and reported this to human resources, their response was to inform me that my contract would not be renewed and I would be immediately fired if anyone complained about me. This was my introduction to how mental health issues are handled in the USA.
Hayley Solich|Hold everything in this world lightly. Tight enough to show love, but loose enough to easily let go.
Biz Stone, Things a Little Bird Told Me: Confessions of the Creative Mind|At least half the job of CEO is communication - because of human nature. People fear what they don't know. If the board wasn't hearing that things were going well, they assumed that things must be going badly.
Ari Folman|Memory is dynamic, it's alive.
Amit Kalantri|Check the history, more people died for freedom than love, people need freedom before they need love.
Théophile Gautier, The Cross of Berny or Irene's Lovers|Le hasard, c'est peut-être le pseudonyme de Dieu quand il ne veut pas signer.
Elizabeth Goudge, Green Dolphin Street|Nothing living should ever be treated with contempt. Whatever it is that lives, a man, a tree, or a bird, should be touched gently, because the time is short. Civilization is another word for respect for life...
Archibald Marwizi, Making Success Deliberate|Your values, as guiding principles, will influence your attitude towards yourself, life, other people, work and even challenges or success itself. Your values are a product of your beliefs.
Harold E. Varmus|The biggest lesson from Africa was that life's joys come mostly from relationships and friendships, not from material things. I saw time and again how much fun Africans had with their families and friends and on the sports fields; they laughed all the time.
Suze Orman|Too many people measure how successful they are by how much money they make or the people that they associate with. In my opinion, true success should be measured by how happy you are.
Nicola Yoon, The Sun Is Also a Star|Don't you think it's weird how dating profiles emphasize listings of your favorite TV shows, movies, and books? It's as if you are supposed to define yourself by how you distract yourself. It's like impersonating a person--this is what I do instead of engaging with other people.
Najwa Zebian|The way we envision the stars is by imagining they're attached to a giant invisible sphere surrounding the earth. It is a total fiction, really - just a construction we came up with to help us get our heads around the complexity of it all ... The ecliptic, put simply is the plane of the earth's orbit around the sun. But since we all live here on earth, we observe the sun to be moving along this plane instead. Why? Because what would be the point of looking at things from the perspective of the sun? That's no use to anyone ... Ergo, it's an imaginary circle, as it's only a part of our human construction of the cosmos.
Anita R. Sneed-Carter|Many may have stopped believing in you, but God hasn't.
Deyth Banger|If you can do it, why you won't do it???If you have chance why you won't use it?
John Ralston Saul, The Unconscious Civilization|This country would not be a land of opportunity, America could not be America, if the people were shackled with government monopolies.
Michael S. Kimmel, Guyland: The Perilous World Where Boys Become Men|Single parents - both women and men - can play as critical a role as the traditional two-parent family, and gay and lesbian parents can, and do, raise happy, resilient children. When it comes to family life, form is not merely as important as content. Feeling loved and supported, nurtured and safe, is far more critical than the 'package' it comes in.
Christina Engela, Black Sunrise|Language death is like no other form of disappearance. When people die, they leave signs of their presence in the world, in the form of their dwelling places, burial mounds, and artefacts - in a word, their archaeology. But spoken language leaves no archaeology. When a language dies, which has never been recorded, it is as if it has never been.
Kaya McLaren, How I Came to Sparkle Again|The world around me was oblivious, but for once, I felt absolute
Konstantin Tsiolkovsky|Coal mines, like a hard life, have seen the best diamonds of innovation, more than any jewel factory.
Rex Hunt|I am not a 'defender' of the September 11 attacks, but simply pointing out that if U.S. foreign policy results in massive death and destruction abroad, we cannot feign innocence when some of that destruction is returned.
Susan Ee, Angelfall|When a man in purple and screaming pink stares at you, you know it's time to change your appearance.
Richard Wright, Black Boy|At the age of twelve, before I had had one full year of formal schooling, I had a conception of life that no experience would ever erase, a predilection for what was real that no argument could ever gainsay, a sense of the world that was mine and mine alone, a notion as to what life meant that no education could ever alter, a conviction that the meaning of living came only when one was struggling to wring a meaning out of meaningless suffering.
Charles Bukowski|unless the sun inside you is burning your gut, don't do it
Dale Pendell, Pharmako/Poeia: Plant Powers, Poisons, and Herbcraft|It may have been quixotic, but it was magnificent.
James Hauenstein|Realize in life that you will have your ups and downs. You can't have those wonderful up moments without the downs. If everything stayed the same all the time, that would be depressing.
Johanna Lindsey, Once a Princess|This may be a thing you neither want nor need," she said. "But I'd rather you have it, wishing didn't, than not have it and wish you did.
John Burroughs|It doesn't occur to me that I don't drive a cool car until I hang out with Jon Hamm, who picks me up in what looks like a Transformer, and I think, 'Oh, that's what movie stars are driving. I guess I'm not a movie star.'
Dean Cavanagh|Nobody seems to know which came first; egg or chicken – except of course for agents of the Time Saving Agency – who can find out anything about, well – anything. The only trouble is, they aren’t talking – however, you can take it from me – they know. The answer to these and other puzzles are kept safe and secure behind fire-walls and thick security doors secured with, er – time-locks, where one could possibly find answers to many other troubling questions, and not all of them necessarily relating to chickens.
Ernest Agyemang Yeboah|Sweep your mind and clean your heart, for these are the very places where things that make or mar our entire journey of life and living dwell! Sweep your mind and clean your heart, then you shall be free to be free and indeed have a true freedom! Sweep your mind and clean your heart, so you may have a clean mind and heart to be clean! Sweep your mind and clean your heart for not all things deserve a place in your heart and body! Sweep your mind and clean your heart, for in the end, so many things living in your heart and mind may never matter as part of the matters of your lifetime and life which really matter! Clean your heart and sweep your mind for certain people and things are in there only to disturb you for all the moments they shall continue to live there! Sweep your mind and clean your heart, for your body deserves nothing, but a clean mind and a clean heart daily for a daily fresh and refreshed body! Sweep your mind and clean your heart for there are so many toxic substances in our minds and hearts which we ponder over and over every day that weaken not just our hearts and minds every day, but our entire daily life and living! Sweep your mind and clean your heart for certain things deserve to live permanently in our hearts and minds so as to enable us live and leave distinctive footprints, and certain things deserve to leave our hearts and minds so that we can have a safe journey of life, and live and leave distinctive footprints in our journey of life!
Ally Carter, Heist Society|Do you understand any of this?" he said, pointing to the lines and symbols that covered the massive screens."Some people understand the value of an education."Hale stretched and crossed his legs, the settled his arm around Kat's shoulders."That's sweet, Kat. Maybe later I'll buy you a university. And an ice cream.""I'd settle for the ice cream.""Deal.
Malcolm Gladwell, David and Goliath: Underdogs, Misfits, and the Art of Battling Giants|Meredith,' interposed Celia, 'makes one of his women, Emilia in England, say that poetry is like talking on tiptoe; like animals in cages, always going to one end and back again.
Toni Braxton|There's definitely an old school element to my music, but I also think it's modern.
Idries Shah, Caravan of Dreams|Life: sometimes the man on the saddle, sometimes the saddle on the man.
Erin Hunter|This will not be the end of the clans as long as I have breath in my body"~jayfeather
Miley Cyrus|As a brother and sister, our tastes were pretty different growing up. He liked a lot of early hip hop. My dad didn't understand it and would try to talk him out of it.
Mordred|There is so much that is still silent between Jaja and me. Perhaps we will talk more with time, or perhaps we never will be able to say it all, to clothe things in words, things that have long been naked.
Bailey Cunningham|Ohlen stood and walked around the clearing, examining the ground as he went. "I see only one set of tracks..." his voice trailed off as he knelt, inspecting the footprints more closely. "I've seen these before. This is the cru’gan.”Ahmahn came over and bent down beside his friend. "Him? Do you mean the scarred one that has Mirra?""Either that or a ferocious rabbit wearing cru'gan boots," Ohlen said sardonically.
Patience Johnson, Why Does an Orderly God Allow Disorder|Any day God removes His hand from you, you are finished. Your hope and trust is only in Him. Your confidence, your strength, your power and your life is in God. There is no better life without Him. Look around the world and you will understand me.
Morrissey|This world, I am afraid, is designed for crashing bores.
Jenna Rutland, Just for Appearances|I said nothing in my texts. You came up with your own conclusions and you were mad thinking about me being with someone else…’’ “Stop,’’ he said, his jaw tightening. “Touching another man…’’ “Stop it.’’ “Sleeping…’’ He ran to me and grabbed my shoulders, shaking me once, not hard, but enough to make me stop. “Quit it,’’ he whispered, his voice deep and dark.
Marc Chagall|Art, like morality, consists in drawing the line somewhere.
Henry Adams, The Education of Henry Adams|The chief wonder of education is that it does not ruin everybody concerned in it, teachers and taught.
Elie Wiesel, Night|She wanted to reach up to the night and dig her fingers into it, beg it to stay just a little bit longer.
Saim .A. Cheeda|When the Earth basks in the Sun's brilliance, you'll find me there with my arms spread wide and my face with a smile.
Robert Hass, Human Wishes|But usually not. Usually she thinks of the path to his house, whether deer had eaten the tops of the fiddleheads, why they don't eat the peppermint saprophytes sprouting along the creek; or she visualizes the approach to the cabin, its large windows, the fuchsias in front of it where Anna's hummingbirds always hover with dirty green plumage and jeweled throats. Sometimes she thinks about her dream, the one in which her mother wakes up with no hands. The cabin smells of oil paint, but also of pine. The painter's touch is sexual and not sexual, as she herself is....When the memory of that time came to her, it was touched by strangeness because it formed no pattern with the other events in her life. It lay in her memory like one piece of broken tile, salmon-coloured or the deep green of wet leaves, beautiful in itself but unusable in the design she was making
Larry Dossey, Reinventing Medicine: Beyond Mind-Body to a New Era of Healing|Eventually it became clear that our emotions, attitudes, and thoughts profoundly affect our bodies, sometimes to the degree of life or death. Soon mind-body effects were recognized to have positive as well as negative impacts on the body. This realization came largely from research on the placebo effect—the beneficial results of suggestion, expectation, and positive thinking.
Maria Flynn|I trust the Universe Implicitly, therefore my experience is happening FOR me and not TO me. I trust the Universe. I trust the process.
Khaled Hosseini, A Thousand Splendid Suns|During Xtha-cka Zhi-ga The-the, the Killer of Flowers Moon. I will wade across the river of the blackfish, the otter, the beaver. I will climb the bank where the willow never dies.
A.L. Jackson, Come to Me Quietly|She now saw that she wanted a boy to do more than follow her in blind devotion. She wanted a boy to challenge her, to tell her about things she'd never thought of, to show her new points of view.
Connor Franta, A Work in Progress|It allows you to be yourself, good and bad. And it's a two-way street: you give and take equally.
Bauvard, Some Inspiration for the Overenthusiastic|Without humor, we’d all be what we’re laughing at. Without arrogance, we’d be humiliated to admit we already are.
Jess C. Scott, The Other Side of Life|That’s sad. How plastic and artificial life has become. It gets harder and harder to find something…real.” Nin interlocked his fingers, and stretched out his arms. “Real love, real friends, real body parts…
Jeanette Coron|If someone puts you through hell, don’t be mad or bitter about it, because the thing that will free you from that hell is forgiveness.
David K. Storrs|Wait," Charlotte said. "I'd like to say something, if I may, Papa." He nodded, and Charlotte stood. Her siblings were still looking very grave. She hoped they were in the proper frame of mind to hear what she had to say, especially Branwell. "I have been thinking a great deal about ... My stories." She nodded significantly to them, willing them to understand that she was not talking about writing so much as about crossing over. "Papa was very wise when he called my writing a childish habit, and I think he understands that, for me, its a dangerous one as well."  The small square of paper that had caused such consternation lay in front of her on the table. Now she took it up and held it out, looking at each if her siblings in turn. "Emily. Anne. Branwell." She ripped the paper in half. Emily gasped. " I am renouncing my invented worlds and all who live there. If any of you are in the grip if a similar childish habit"- she raised an eyebrow at her brother - "I challenge you to do the same.
Maria Dahvana Headley, Unnatural Creatures|Are you going to let me be eaten?' Billy Beecham looks stunned.'Don't you know that sometimes Beast collectors get collected?' I ask him.'But you're a virgin.''Virgins were never sacrifices,' I say. "Not to this kind of Beast. Virgin are collaborators.
Michael Crichton, The Andromeda Strain|It was, of course, another test. Everything in human life was a test. That was why they all looked so stressed out.
Angela Carter, Nights at the Circus|These characters depend to such a high degree on their own sense of integrity that for them, victory has nothing to do with happiness. It has more to do with a settling within oneself, a movement inward that makes them whole. Their reward is not happiness...what James's characters gain is self-respect.
ehddah|Perhaps I had inadvertently brushed up against the Buddhist axiom, that enlightenment is the ultimate disappointment.
Nathan W. Morris|Every time you borrow money, you're robbing your future self.
Thomas Ades, Thomas Adès: Full of Noises: Conversations with Tom Service|Plenty of masterpieces are just one cliché after another, Mozart for example, but that's quite natural, because if you think about it, two clichés that have never met each other before can beget the most original and profound effect.
Stacy Schiff, Cleopatra: A Life|History existed to be retold, with more panache but not necessarily greater accuracy.
Michael Salter, Organised Sexual Abuse|Blaming therapy, social work and other caring professions for the confabulation of testimony of 'satanic ritual abuse' legitimated a programme of political and social action designed to contest the gains made by the women's movement and the child protection movement. In efforts to characterise social workers and therapists as hysterical zealots, 'satanic ritual abuse' was, quite literally, 'made fun of': it became the subject of scorn and ridicule as interest groups sought to discredit testimony of sexual abuse as a whole. The groundswell of support that such efforts gained amongst journalists, academics and the public suggests that the pleasures of disbelief found resonance far beyond the confines of social movements for people accused of sexual abuse. These pleasures were legitimised by a pseudo-scientific vocabulary of 'false memories' and 'moral panic' but as Daly (1999:219-20) points out 'the ultimate goal of ideology is to present itself in neutral, value-free terms as the very horizon of objectivity and to dismiss challenges to its order as the "merely ideological"'. The media spotlight has moved on and social movements for people accused of sexual abuse have lost considerable momentum. However, their rhetoric continues to reverberate throughout the echo chamber of online and 'old' media. Intimations of collusion between feminists and Christians in the concoction of 'satanic ritual abuse' continue to mobilise 'progressive' as well as 'conservative' sympathies for men accused of serious sexual offences and against the needs of victimised women and children. This chapter argues that, underlying the invocation of often contradictory rationalising tropes (ranging from calls for more scientific 'objectivity' in sexual abuse investigations to emotional descriptions of 'happy families' rent asunder by false allegations) is a collective and largely unarticulated pleasure; the catharthic release of sentiments and views about children and women that had otherwise become shameful in the aftermath of second wave feminism. It seems that, behind the veneer of public concern about child sexual abuse, traditional views about the incredibility of women's and children's testimony persist. 'Satanic ritual abuse has served as a lens through which these views have been rearticulated and reasserted at the very time that evidence of widespread and serious child sexual abuse has been consolidating. p60
William Shakespeare|There are, basically, three kinds of people: the unsuccessful, the temporarily successful, and those who become and remain successful. The difference is character.
Nicholas Kaufmann, Dying Is My Business|Everything has an advantage and disadvantage but, choose an option that will bring you back to the track. Even if you see a poor man on the street choose an option that will left you up, but don't just choose, apply action.
Evelyn Waugh, Scoop|Ah well, to the journalist every country is rich.
Olivia Cunning, Rock Hard|Sed paused in his song, feeling ridiculous for singing it to her while they made love.“Baby, you realize this song is about Trey’s dead dog, don’t you?
Angelica Hopes|The more success a person has in life, the greater the danger of fornication can become.
Gail Giles, Shattering Glass|His moods changed minute to minute, and Jan could change him quicker than anyone. The more he loved her the more mixed up he got. He was such a beautiful man, but so unstable.
John Green, Paper Towns|God didn't create the fear, fear created the God.God didn't create humans, Humans created the God because of their fear.
Huey Freeman The Boondocks|The truth is Christmas evolved from the Roman holiday Saturnalia, a winter festival where men gave gifts to each other. They also would get drunk, have sex with each other and beat their wives
Pazaria Smith|The only point in creating something is to watch it die. Like a story that must come to a climax, what I have done will not be fulfilled until the end has arrived.
Thomas A. Edison|After a lifetime of working, raising families, and contributing to the success of this nation in countless other ways, senior citizens deserve to retire with dignity.
Tia Williams, The Perfect Find|Nothing lasts forever. That is the only truth we are guaranteed in life. When someone says they will love you forever, what does that really mean? Then again, what really is love? I think that’s why we’re here. For each of us to discover what love means to us.
Robin Sacredfire|To those that don't believe I'm worth more than what they think of other authors, to hell with them. Call me arrogant and call the police of politeness on me if you wish, because I won't stop until anyone that thinks that is erased from history. I will not only become immortal, but annihilate the memory of the ignorant from the face of the earth. My work will persist in the battles against the stupid and for thousands of years after I'm gone.
Cynthia Hand, Boundless|She shrugs."Men""Men.""If we can send one man to the moon, why can't we send them all there?
Kellie Elmore|Mr. Thorton love Margaret! Why, Margraret would never think of him, I'm sure! Such a thing has never entered her head." "Entering her heart would do.
Bob Proctor|The only limits in our life are those we impose on ourselves." - Bob Proctor
Andy Rooney, Andy Rooney: 60 Years of Wisdom and Wit|. . to cook well and with imagination you have to be in a cheerful and contented frame of mind, and thus inclined to be generous.
Mikhail Gorbachev|When it comes to 'Glee,' I feel like I've been in a relationship, and now I can mingle a bit.
Gabriel García Márquez, The General in His Labyrinth|Iturbide exclaimed: "Don't frighten me, General!""Don't be frightened," said the General in a calm voice. "Go to Mexico, even if they kill you or even if you die. And go now while you're still young, because one day it will be too late, and then you won't feel at home here or there. You'll feel like a stranger everywhere, and that's worse than being dead." He looked him straight in the eye, placed his open hand on his own chest, and concluded:"Just look at me.
George Saunders, Tenth of December|One of pleasures of parenting, future reader: parent can positively influence kid, make moment kid will remember for rest of life, moment that alters his/her trajectory, opens up his/her heart + mind.
Barbara Kingsolver, The Lacuna|This is what it means to be alone: everyone is connected to everyone else, their bodies are a bright liquid life flowing around you, sharing a single heart that drives them to move all together. If the shark comes they will all escape, and leave you to be eaten.
Holly Hurd, Venture Mom: From Idea to Income in Just 12 Weeks|The most important step in the whole process was to just sit down and do it. My hobby has become a second career. Who knew?-Jamie Beck, Romance Novelist
Flannery O'Connor, The Violent Bear It Away|There is no alternative to action, and that requires faith. The issue is how we are to mold for ourselves a belief system that is worthy of life.
Tao Lin, Taipei|On average, since the urge to kill myself isn't so strong that I actually kill myself, the world is worth living in.
John Romaniello|I eat egg whites a lot. Aside from that, I eat everything. I try to avoid too much oily food, but I do eat carbs. I have to have a balanced diet.
Stephen Richards|Openness is also an acceptance that just as you have the inherent right to create your life as you see fit, so others have the same right with their own lives, even if their design differs from yours greatly.
Anne Deavere Smith|Like language, I think any who have not acquired spirituality by a certain age are doomed to be never fluent and you are likely to mimic the one that surrounds you.
Daniel H. Wilson|We all have our ways of handling fear and managing trying; jumping in or climbing down, a direct approach or a delay, joyful or miserable, a spirit of adventure, or God help me, get this thing over with.
Christopher Moore, The Stupidest Angel: A Heartwarming Tale of Christmas Terror|In 2011, Mark Brooks, a consultant to online-dating companies, published the results of an industry survey titled “How Has Internet Dating Changed Society?” The survey responses, from 39 executives, produced the following conclusions:“Internet dating has made people more disposable.”“Internet dating may be partly responsible for a rise in the divorce rates.”“Low quality, unhappy and unsatisfying marriages are being destroyed as people drift to Internet dating sites.”“The market is hugely more efficient … People expect to—and this will be increasingly the case over time—access people anywhere, anytime, based on complex search requests … Such a feeling of access affects our pursuit of love … the whole world (versus, say, the city we live in) will, increasingly, feel like the market for our partner(s). Our pickiness will probably increase.”“Above all, Internet dating has helped people of all ages realize that there’s no need to settle for a mediocre relationship.”From "A Million First DatesHow online romance is threatening monogamy" in January/February 2013
A.E. Housman, A Shropshire Lad|In my own shire, if I was sadHomely comforters I had:The earth, because my heart was sore,Sorrowed for the son she bore;And standing hills, long to remain,Shared their short-lived comrade's pain.And bound for the same bourn as I,On every road I wandered by,Trod beside me, close and dear,The beautiful and death-struck year:Whether in the woodland brownI heard the beechnut rustle down,And saw the purple crocus paleFlower about the autumn dale;Or littering far the fields of MayLady-smocks a-bleaching lay,And like a skylit water stoodThe bluebells in the azured wood. Yonder, lightening other loads,The season range the country roads,But here in London streets I kenNo such helpmates, only men;And these are not in plight to bear,If they would, another's care.They have enough as 'tis: I seeIn many an eye that measures meThe mortal sickness of a mindToo unhappy to be kind.Undone with misery, all they canIs to hate their fellow man;And till they drop they needs must stillLook at you and wish you ill.
Max Hawthorne, Kronos Rising: After 65 Million Years, the World's Greatest Predator Is Back.|In fact, “talent” is as common as mud; what’s rare is the motivation to sit down and actually do something with one’s talent, the discipline to do it regularly, and the persistence to stick with it until it’s finished.
Tony Federico, Paleo Grilling: A Modern Caveman's Guide to Cooking with Fire|Arguably the greatest technological triumph of the century has been the public-health system, which is sophisticated preventive and investigative medicine organized around mostly low- and medium-tech equipment; ... fully half of us are alive today because of the improvements.
James S.A. Corey, Cibola Burn|The sex,” he said. “I just wanted to make sure that we were okay. That things were all right between us.”“Well,” she said, “orgasm does release a lot of oxytocin, so I’m probably more fond of you than before.
David Lynch, Catching the Big Fish: Meditation, Consciousness, and Creativity|I love going into another world, and I love mysteries. So I don't really like to know very much ahead of time. I like the feeling of dicovery.
