L.J. Vanier|Because the best gift in life, is just having someone to drink hot chocolate with
Elle Lothlorien, Alice in Wonderland|Yeah, that’s exactly how I feel when I’m around you: confused, but still satisfied.' I freeze, trying to figure out how to cancel it out and replace it with something that sounds a whole lot less like sex and a candy bar ad.
Francisco Costa|I've spent a lot of very happy times in Edinburgh as a result of playing virtually every festival since 1996. It's also a beautiful city in its own right, is walkable, within sight of the sea and mountains - and was too far north for the Luftwaffe to have done any damage, hence the spectacularly beautiful architecture.
Wendell Berry, Hannah Coulter|Annie turned away, her eyes glittering. 'Here's what no one tells you,' she said. 'When you deliver a fetus, you get a death certificate, but not a birth certificate. And afterward, your milk comes in, and there's nothing you can do to stop it.' She looked up at me. 'You can't win. Either you have the baby and wear your pain on the outside, or you don't have the baby, and you keep that ache in you forever. I know I didn't do the wrong thing. But I don't feel like I did the right thing, either.
Magith Noohukhan|I try to keep the happy memories. If that's what you call selective memories, I'm good with that.
Taylor Jenkins Reid, Forever, Interrupted|I liked being needed by him. I liked making his food for him, running his baths for him, massaging his muscles. I liked caring for him, taking care of him. It made me feel like I had a real purpose. It felt so good to make him feel even the littlest bit better.
Bhagavan Sri Ramana|Whatever we experience in a dream appears to us to be real only so longas we are experiencing that dream. When we wake up and consider what wehad experienced, we understand clearly and without any doubt that it was allunreal, being merely a figment of our imagination.Likewise, all that we experience in this so-called waking state appears tous to be real only so long as we are experiencing this state. When we wakeup into our real waking state, which is the non-dual state of perfectly clearself-consciousness or self-knowledge, we will discover that all the dualitythat we are now experiencing in our present state of self-ignorance is asunreal as all the duality that we experienced in our dream, being nothing buta mere figment of our own imagination.
Gregory Maguire, A Lion Among Men|Just my luck, if I believed in luck. I only believe in the opposite of luck, whatever that is.
Curtis Tyrone Jones|When she smiles, the lines in her face become epic narratives that trace the stories of generations that no book can replace.
Jason Helopoulos, A Neglected Grace: Family Worship in the Christian Home|We need both reverence and obedience. If we worship but do not walk in obedience and discipline, we are emotional, lacking self-control and godly character. If we obey God’s commandments but are not true worshipers, we become religious and judgmental. As the Pharisees in Jesus’ day, we may miss the real meaning and purpose, even God Himself.
John Gray, Perros de paja: Reflexiones sobre los humanos y otros animales|Question everything, even the question mark, that shepherd's crook floating in the air above that small round rockIf you - stubbornly - still wish to be unhappy,maybe you can grasp it.
Paulo Coelho, The Pilgrimage|We must never stop dreaming. Dreams provide nourishment for the soul, just as a meal does for the body.
Augustine of Hippo, Confessions|Thou hast made us for thyself, O Lord, and our heart is restless until it finds its rest in thee.
Donna Lynn Hope|I always forget how important the empty days are, how important it may be sometimes not to expect to produce anything, even a few lines in a journal. A day when one has not pushed oneself to the limit seems a damaged, damaging day, a sinful day. Not so! The most valuable thing one can do for the psyche, occasionally, is to let it rest, wander, live in the changing light of a room.
Walter Kirn|The irony of acquiring a foreign tongue is that I have amassed just enough cheap, serviceable words to fuel my desires and never, never enough lavish, imprudent ones to feed them. It is true, though, that there are some French words that I have picked up quickly, in fact, words that I cannot remember not knowing. As if I had been born with them in my mouth, as if they were seeds of a sour fruit that someone else ate and then ungraciously stuffed its remains into my mouth. 
Anne Gracie|He felt, and not for the first time today, that he had not made a good decision in his personal or professional life since 1989.
John Krasinski|In Americana, the facts and the dreams seem to be all the same to me.
Stephen Richards|When you reach out to those in need, do not be surprised if the essential meaning of something occurs.
Annabeth Nash, Wild Pursuit|Smoky knickers. Always said you were hot stuff,” he said. I rolled my eyes and shook my head at the same time. It made me so dizzy that I almost fell over. Men.
Jodi Picoult|You don't have to say I love you to say I love you," you said with a shrug. "All you have to do is say my name and I know."..."Can't you hear it?" you said. "When you love someone, you say their name different. Like it's safe inside your mouth.
Jeet Thayil, Narcopolis|The last thing I ever wanted was to be alive when the three most powerful people on the whole planet would be named Bush, Dick and Colon.Our government's got a war on drugs....But get this: The two most widely abused and addictive and destructive of all substances are both perfectly legal.One, of course, is ethyl alcohol. And President George W. Bush, no less, and by his own admission, was smashed, or tiddley-poo, or four sheets to the wind a good deal of time from when he was sixteen until he was forty. When he was forty-one, he says, Jesus appeared to him and made him knock off the sauce, stop gargling nose paint.Other drunks have seen pink elephants.
Pittacus Lore, The Fate of Ten|If each psychology student could help one patient rather than formatting their thesis every semester, then millions of sufferers would benefit each year.
Forest Whitaker|At high school, instead of the weekly essay, I would write a poem, and the teacher accepted that. The impulse was one of laziness, I'm certain. Poems were shorter than essays.
Ellen Hopkins|How can it be wrong? Love picks the right path, not the one of least resistance.
Susan Sontag, Regarding the Pain of Others|What is odd is not that so many of the iconic news photos of the past, including some of the best-remembered pictures from the Second World War, appear to have been staged. It is that we are surprised to learn they were staged and always disappointed.
K. Weikel, The Elite|Be batty, be traditional, and be proud.
Rasheed Ogunlaru|When setbacks arise - and they will from time to time - regroup, recharge, refocus and refine.
Michelle Templet|Just as sex is a God-given instinct for the prolongation of the human race, so the desire for property as a prolongation of one's ego is a natural right sanctioned by natural law. A person is free on the inside because he can call his soul his own; he is free on the outside because he can call property his own. Internal freedom is based upon the fact that "I am"; external freedom is based on the fact that "I have." But just as the excesses of flesh produce lust, for lust is sex in the wrong place, so there can be a deordination of the desire for property until it becomes greed, avarice, and capitalistic aggression.
Nancy Zafris, The Home Jar: Stories|Often in the morning he drove a long hour or more to the markets in the city, there to behold what would determine the day’s special. With the crates of fresh selections snuggled into his station wagon, his thoughts on the ride back confronted the culinary equivalent of the writer’s blank page. Sometimes his head swirled with exciting ideas; other mornings he was in a panic upon returning with the same old eggplant and squash and zucchini and nothing but the dullness of the word ratatouille standing by to mock him.
Banana Yoshimoto, Kitchen|Why is it we have so little choice? We live like the lowliest worms. Always defeated - defeated we make dinner, we eat, we sleep. Everyone we love is dying. Sill, to cease living is unacceptable.
Tony Rabig, Doorways|When it came to time travel, science and science fiction and fantasy had flip-flopped. Nobody was going to create a machine that traveled to the future or the past. Time machines might be accepted in science fiction as an enabling device to get the story moving, but they're like faster-than-light space ships-- neither one is going to happen any time soon, not with any technology we know how to implement.The guys who had it figured were the fantasists, Dennis. The Finneys and the Mathesons and the Ellisons and the Serlings. No machines and no advanced physics, at least not most of the time. Just an overpowering desire. Just need and longing and pain and regret and the right talisman or the right surroundings. Put the right person in the right place, and perhaps with the right objects, and the potential for time travel is there.
John Ortberg, Faith and Doubt|Skeptics would rather, even at their own expense, appear to be right than take the risk of trusting.
Fredrik Backman, Beartown|There has to be some way this won’t end in tragedy. Why can’t Romeo and Juliet live happily ever after? It’s as if the universe won’t abide such a strong connection in such a disconnected world, as if our connection defies the natural order.
Kevin Hassett|Friends and family do not believe you write fiction. They truly believe that every word you write is either autobiographical or based on them. I once had a character say that she never wanted to be invited to another children's birthday party, and I never received another children's birthday party invitation ever again.
Hercules|Here we are, the most clever species ever to have lived. So how is it we can destroy the only planet we have?
Mark O'Connell, Epic Fail: Bad Art, Viral Fame, and the History of the Worst Thing Ever|«It's true, Christian-like or not; and is about as Christian-like as most other things in the world,» said Alfred.
Simon Rego|Still, he was angry--that particular anger of humans defied by the persistence of nature.
Amelia Earhart|Success is never final, failure is never fatal. It's courage that counts.
Arun Gandhi, The Gift of Anger: And Other Lessons from My Grandfather Mahatma Gandhi|If one could be enraged by the loss of a favorite sports team, shouldn't his anger rise at the entrenchment of a scheme whereby no innocent person was safe, where self-determination was a crime punished by the vagaries of an opaque & impervious justice system?
Bernard Cornwell, The Winter King|She understood him with the knowing and not-knowing that comes of being a child. When you focus on your parent as if they are the center of the earth, that thing on which your survival depends, only later do you realize their flaws, their scars, and their weaknesses.
Vivek Verma|sucess is inevitable if you dont give up, master your mind to stay relevent in resistance to overcome it, everythin can be overcome in this world you need to to be patient with mind and calmer with heart.
Donald Miller|It is always the simple things that change our lives. And these things never happen when you are looking for them to happen. Life will reveal answers at the pace life wishes to do so. You feel like running, but life is on a stroll. This is how God does things.
George Steiner, Lessons of the Masters|We must teach our girls that if they speak their mind, they can create the world they want to see. (145)
Irène Némirovsky, Fire in the Blood|People in love always tried to match the singles together, but what they didn't realize was that some people were meant to be alone. There was nothing wrong with that.
The Harvard Lampoon, The Hunger Pains: A Parody|Everyone over 50 in America feels like a refugee. In the Old America there were a lot of bad parents. There always are, because parenting is hard. Inadequate parents could say, 'Go outside and play in the culture,' and the culture -- relatively innocent, and boring -- could be more or less trusted to bring the kids up. Grown ups now know that you can't send the kids out to play in the culture, because the culture will leave them distorted and disturbed.
Stephanie Greenhalgh, Novel Hearts|I remembered Daemon's feather soft kisses on my cheek, and I remembered the clouds parting and the sun shining on a cold February day in Ireland. And as my baby girl was laid on my chest and my husband held my hand, I saw my best friend Kat walk into the sun kissed part in the clouds, hand in hand, along with the last regrets of my past.
Wallace Stegner, Angle of Repose|No life goes past so swiftly as an eventless one, no clock spins like a clock whose days are all alike.
Tom Walsh|The coward dies a thousand deaths, the brave but one?''Of course. Who said it?''I don't know.''He was probably a coward,' she said. "He knew a great deal about cowards but nothing about the brave. The brave dies perhaps two thousand deaths if he's intelligent. He simply doesn't mention them.
Nenia Campbell, Endgame|I was terribly, painfully present in the world, and so far removed from it.
Ralph Waldo Emerson, Essays: First Series|A friend is a person with whom I may be sincere. Before him I may think aloud. I am arrived at last in the presence of a man so real and equal, that I may drop even those undermost garments of dissimulation, courtesy, and second thought, which men never put off, and may deal with him with the simplicity and wholeness with which one chemical atom meets another.
Eric John Mancini|Space is like liquid/water, but space has no friction. Water has a density. The planets have a density. The galaxies are like different vortexes and the gravitational pull is caused by the pull of the vortex. The vortex spins faster in the center and slower on the top/outside. So that's why gravitational pull is different on other planets/moons Density dictates where you fall in the galaxy/vortex and there are many vortexes throughout the universe. Theory.
Harriet Beecher Stowe, Uncle Tom's Cabin|Still waters run deepest, they used to tell me.
C.S. Lewis, A Grief Observed|You can’t see anything properly while your eyes are blurred with tears. You can’t, in most things, get what you want if you want it too desperately: anyway, you can’t get the best out of it. ‘Now! Let’s have a real good talk’ reduces everyone to silence. ‘I must get a good sleep tonight’ ushers in hours of wakefulness. Delicious drinks are wasted on a really ravenous thirst. Is it similarly the very intensity of the longing that draws the iron curtain, that makes us feel we are staring into a vacuum when we think about our dead? ‘Them as asks’ (at any rate ‘as asks too importunately’) don’t get. Perhaps can’t.
Assata Shakur, Assata: An Autobiography|Before going back to college, i knew i didn't want to be an intellectual, spending my life in books and libraries without knowing what the hell is going on in the streets. Theory without practice is just as incomplete as practice without theory. The two have to go together.
Alexis  Hall, Glitterland|Days passed in a grey fog. I was becalmed. Without energy, without hope, with no sight of land, I could remember feeling better but I somehow couldn't believe in it. There was nothing but this.
James  Jones, From Here to Eternity|You think religions are constant things? inflexible and solid and form full-grown? Religions evolve. They grow out of a need, just like any other natural phenomenon, and they follow the same natural laws. They are born, grown, have sons, and illegitimate sons, and die.
Karen Thompson Walker, The Age of Miracles|I love opera. Si. But I am old. No passion in my life, you know? I work, I walk slowly now through my years...but opera! I see, I hear that passion, Eva. Is like the passion of youth. And I live again. I feel something.
Cheryl Hines|There comes a point in your life when you realize how quickly time goes by, and how quickly it has gone. Then it really speeds up exponentially. With that, I think you start to put a lot of things into context; you start to see how huge the world is, and really, the universe.
Andrew Barrett, The Third Rule - The Complete Story|Without knowing it the girl was arguing on the side of the world's expert criminologists, who hold that to destroy an offender cannot benefit society so much as to redeem him.
Maharishi Sadasiva Isham, Ascension!: An Analysis of the Art of Ascension as Taught by the Ishayas|The extraordinary value of the I Ching is that it reveals the secrets of dynamic natural law. Working with its changes opens up access to the middle level of the Positive Paradigm Wheel, the “e” energy layer of Einstein's Unified Theory.This middle level serves as mediating, two-directional gate-keeper between the ever-changing surface rim and the universal, timeless center. You can't get from here to there, except through the middle layer which, in Western thinking, is effectively taboo, buried in the inaccessible "unconscious." To the extent that natural law is a blind spot in the prevailing, linear and exclusively empirical paradigm, we are left powerless to move beyond the surface level of experience. The realm of light and conscience which rests beyond, on the far side of the dynamic energy level, remains functionally inaccessible. Moral codes promoted by religionists or politicians are sometimes equated with conscience. But they're no substitute for direct experience. Only by becoming intelligently competent in managing the subtle energies of the middle level is it possible to travel further inwards for the immediate, personal experience of inner light. When the middle level becomes clogged with painful memories, negative emotions and socially taboo urges, it becomes a barrier to deeper knowing. The Book of Change is indispensable as a tool for restoring the unnecessarily "unconscious" to conscious awareness, so that the levels of human potential can be linked and unified. In Positive Paradigm context, survivors who prevail in dangerous times aren't those with the most material wealth, possessions or political power. They're the ones who've successfully navigated the middle realm, reached the far shore of enlightenment and returned to the surface with their new information intact. Those who succeed in linking the levels of experience are genius-leaders in whatever fields they choose to engage. They're the fortunate ones who've acquired the inner wealth necessary to both hear the inner voice of conscience and act on the guidance they receive.
Oscar Wilde|If you would convince a man that he does wrong, do right. Men will believe what they see.
Magnus Nwagu Amudi|The most intelligent or brilliant of us all are not usually the most successful, financially or career wise.A lot depends on the ability of a person to break into circles, meet people, network and interact.A well marketed yam may sell better than a not-so-well marketed Jollof.Do not just stay in the library and read all the books there, lest you become publicly dusty like the books you read.Food for thought!
Eoin Colfer, The Arctic Incident|You can say it too little, but you can never say, Thank You, too many times.
Charlie Fey, Easy "A"|She often felt like she had been cast in a supportingrole with the film that was Louise. And there was more melodrama to be found there than a full-scale Merchant-Ivory period production. Tonight, she was certain, would be no exception.
Miriam Toews, Irma Voth|I was beginning to understand something I couldn't articulate. It was a jazzy feeling in my chest, a fluttering, a kind of buzzing in my brain. Warmth. Life. The circulation of blood. Sanguinity. I don't know. I understood the enormous risk of telling the truth, how the telling could result in every level of hell reigning down on you, your skin scorched to the bone and then bone to ash and then nothing but a lingering odour of shame and decomposition, but now I was also beginning to understand the new and alien feeling of taking the risk and having the person on the other end of the telling, the listener, say: Bad shit at home? You guys are running away? Yeah, I said. I understand, said, Noehmi.
David  Brooks|...Politics is an activity in which you recognize the simultaneous existence of different groups, interests and opinions. You try to find some way to balance or reconcile or compromise those interests, or at least a majority of them. You follow a set of rules, enshrined in a constitution or in custom, to help you reach these compromises in a way everybody considers legitimate.The downside of politics is that people never really get everything they want. It’s messy, limited and no issue is ever really settled. Politics is a muddled activity in which people have to recognize restraints and settle for less than they want. Disappointment is normal.But that’s sort of the beauty of politics, too. It involves an endless conversation in which we learn about other people and see things from their vantage point and try to balance their needs against our own. Plus, it’s better than the alternative: rule by some authoritarian tyrant who tries to govern by clobbering everyone in his way....
Criss Jami, Diotima, Battery, Electric Personality|A rebel adult often seems like a glorious savior, whereas a rebel child often seems like a little devil.
Atom Yang, Red Envelope|And I get it, okay? I mean, look at him. I’d bang that drum, too. All I’m saying is, if you don’t want your overprotective sister meddling in your business, find someone else to massage your lady bits.”“I’m partial to massaging my own lady bits, actually. I have no problem getting my own kinks out.”“Yes, well, more power to you then. But I, for one, am getting carpal tunnel syndrome with all the self-massaging I’ve been doing as of late.
Idries Shah, Knowing How to Know: A Practical Philosophy in the Sufi Tradition|[W]e can calculate our way into regions of miraculous improbability far greater than we can imagine as plausible. Let's look at this matter of what we think is plausible. What we can imagine as plausible is a narrow band in the middle of a much broader spectrum of what is actually possible. Sometimes it is narrower than what is actually there. There is a good analogy with light. Our eyes are built to cope with a narrow band of electromagnetic frequencies (the ones we call light), somewhere in the middle of the spectrum from long radio waves at one end to short X-rays at the other. We can't see the rays outside the narrow light band, but we can do calculations about them, and we can build instruments to detect them. In the same way, we know that the scales of size and time extend in both directions far outside the realm of what we can visualize. Our minds can't cope with the large distances that astronomy deals in or with the small distances that atomic physics deals in, but we can represent those distances in mathematical symbols. Our minds can't imagine a time span as short as a picosecond, but we can do calculations about picoseconds, and we can build computers that can complete calculations within picoseconds. Our minds can't imagine a timespan as long as a million years, let alone the thousands of millions of years that geologists routinely compute. Just as our eyes can see only that narrow band of electromagnetic frequencies that natural selection equipped our ancestors to see, so our brains are built to cope with narrow bands of sizes and times. Presumably there was no need for our ancestors to cope with sizes and times outside the narrow range of everyday practicality, so our brains never evolved the capacity to imagine them. It is probably significant that our own body size of a few feet is roughly in the middle of the range of sizes we can imagine. And our own lifetime of a few decades is roughly in the middle of the range of times we can imagine.
Madison Thorne Grey, Magnificence|Wharick, on the other hand, remained there with his eyebrows raised slightly as he waited for her to complain about his behavior. "You have no right, Wharick," she said sternly. And there it is, he thought feeling more than pleased that he knew her better than she thought.
Charlotte Brontë, Jane Eyre|I do not think, sir, you have any right to command me, merely because you are older than I, or because you have seen more of the world than I have; your claim to superiority depends on the use you have made of your time and experience.
Ellis Peters|There never was, for all I could ever learn, a time when living was easy and peaceful.
George R.R. Martin, A Storm of Swords|It seemed my wholelife was composed of these disjointedfractions of time, hanging around in onepublic place and then another, as if I werewaiting for trains that never came. And, likeone of those ghosts who are said to lingeraround depots late at night, askingpassersby for the timetable of the MidnightExpress that derailed twenty years before, Iwandered from light to light until thatdreaded hour when all the doors closed and,stepping from the world of warmth andpeople and conversation overheard, I feltthe old familiar cold twist through my bonesagain and then it was all forgotten, thewarmth, the lights; I had never been warmin my life, ever.
K.C. Finn, Legion Lost|It´s been over two years since someone else´s tongue has been inside my mouth, so I would assume I´d be a little more hesitant than I am. But the second he slides it against my lips, I immediately part them and welcome the warmth of a much deeper kiss.
M.L. LeGette, For the Kingdom|In any case, a little danger is a small price to pay for ridding a place of tourists.
Yuval Noah Harari, Homo Deus: A Brief History of Tomorrow|Charlie ... have you ever kissed a girl?" I shook my head no. It was so quiet. "Not even when you were little?" I shook my head no again. And she looked very sad. She told me about the first time she was kissed. She told me that it was with one of her dad's friends. She was seven. And she told nobody about it except for Mary Elizabeth and then Patrick a year ago. And she started to cry. And she said something that I won't forget. Ever. "I know that you know that I like Craig. And I know that I told you not to think of me that way. And I know that we can't be together like that. But I want to forget all those things for a minute. Okay?" "Okay." "I want to make sure that the first person you kiss loves you. Okay?" "Okay." She was crying harder now. And I was, too, because when I hear something like that I just can't help it. "I just want to make sure of that. Okay?" "Okay." And she kissed me. It was the kind of kiss that I could never tell my friends about out loud. It was the kind of kiss that made me know that I was never so happy in my whole life.
Adam Rapp, The Children and the Wolves|No one answered. You could hear the light buzzing over us. I love that sound. It means school isn't working, that the teachers are losing the battle.
michael p naughton|Don't just do what is required, do what is respected then, at you'll know, you did the right thing even if it works out wrong.
D.R. Mirror|Misery comes to miser; joy comes to wiser. (A Very Hot Cup of Tea, Empathy)Juvenile invites, youth tries, adult applies, and the old man dies. (A Straw Man, Empathy)In everyone, there lives a superhero. (The Medicine Man, Empathy)Faith is the strongest word in any dictionary. (The Wisdom Beard, Empathy)I’ve entered into your feelings; it’s your turn now. (Empathy)
Brooke Elliott|But now Americans, they felt a sense of peace and protection because they've been separated by so many thousands of miles of ocean. And you know, the fact that it's come to the U.S. like this is so sad, and yet you know, what can you do? It's here.
King Samuel Benson|In the minds of some people, writing is one thing, but thinking is quite another. If they define writing as spelling, the production of sentences with random meanings, and punctuation, then they might have a case. But who would accept such a definition? Writing is the production of meaning. Writing is thinking.
Jeffrey H Ryan, Appalachian Odyssey: A 28-Year Hike on America's Trail|She was called a cook, but there was no real evidence she had even a small amount of ability to do this. Every meal, no matter how much you thought you liked it before, would be ruined forever after having one of Margery’s slop versions of it. Burger and Chips or Lasagne, as Mike liked, were gruesomely murdered by the time Margery had used the ingredients (and added some special ones of her own!) to deliver a pile of gruel. It did not matter what the menu said; when served, it was always green, even if none of the ingredients were actually green!“Nexxxttt! Hey, you, I said NEXXTT!!!” she shouted at the violet boy who had hesitated to wonder if life was really worth this. “What’s your name, boy? Speak up now and tell me which class you are in?” This was a usual evil method Margery used so children had to give up holding their breath and smell the putrid stench of her sweaty BO mixed with the green muck she scooped from a giant vat beside her. The poor boy nearly passed out when it hit him, but, fortunately, his friend helped him stay up. He quickly grabbed his tray and sloshed his green slush all over as he ran for freedom. NNNNNNEEEEEEEEEEEEEEEEXXXXXXXXXXXTTTTTTT!!!
James Jean-Pierre|I look up to the modern entrepreneurs, because the one’s from the old age, many are racist, even if no one knows about that part of their lives, but I am not so ignorant that I will not learn from their work to better my life.
John Hawkes|You can have 10 bucks to 10 million bucks and if you got a crew, imagination and a lot of people willing to turn in some work next to nothing, you going to have a feature. But you can't get beyond how expensive marketing the movie is, it's so crushing.
Lionel Shriver, We Need to Talk About Kevin|Wasn't there only one respectable memento of a man worth keeping, the kind that draws Valentines and learns to spell Mississippi?
Marcy Dermansky, The Red Car|It seems to me that all the people involved in the Hank and Adria story thought they were doing something good. But they only revealed that our imagination is so limited, our arsenal of potential responses so narrow, that the only thing anyone can think to do with an inappropriate shamer like Adria is to punish her with a shaming. All of the shamers had themselves come from a place of shame, and it really felt parochial and self-defeating to instinctively slap shame onto shame like a clumsy builder covering cracks.
Robert M. Pirsig, Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values|Newton invented a new form of reason. He expanded reason to handle infinitesimal changes and I think what is needed now is a similar expansion of reason to handle technological ugliness. The trouble is that the expansion has to be made at the roots, not at the branches, and that’s what makes it hard to see.
Marcus Aurelius, Meditations|Life is neither good or evil, but only a place for good and evil.
Kurt Vonnegut Jr., Slaughterhouse-Five|The nicest veterans in Schenectady, I thought, the kindest and funniest ones, the ones who hated war the most, were the ones who'd really fought.
John Fante, Ask the Dust|[I]n communism, you'd threaten a dog into compliance, while in capitalism, obedience is obtained through bribes.
Jacqueline Bisset|A mode of conduct, a standard of courage, discipline, fortitude and integrity can do a great deal to make a woman beautiful.
Shannon L. Alder|When a person consistently hurts others it is because they deeply hurt within theirself. They disconnect from that side of them that is accountable for their actions. They cast empathy to the darkest part of their soul and choose to live life not in God's light, but the superficial light of significance (compliments, achievements, status, personal gain, other people's approval and ego). This dimmed light will never be greater than the one God gives to those that consistently show compassion, mercy and empathy. These light deprived souls are the ones that will be the hardest to rescue from hell.
Kourtney Kardashian|I have this fantasy of my older days, painting or sculpting or making things. I have this fantasy of a bike trip to Chile. I have this fantasy of flying into Morocco. But right now, it's about getting the work done and getting home to family. I have an adventure every morning, getting up.
Shannen Doherty|Making sushi is an art, and experience is everything.
Nayyirah Waheed|Some words build houses in your throat. and they live there, content and on fire.
Nina Jean Slack, Little Effie's Book Of Poetry|Although my road to writing seems like it may have come easily, there were a few bumps in that road. I didn’t get a lot of encouragement from friends, although my family were great supporters. I also had many…what you would call “mind-boggling” moments, when I would doubt myself and what I was writing. It has been said that we, ourselves, are our own worst critics.All the hard work had payed off though, and I created a children’s book that I am proud of, and an unforgettable little girl that will touch the hearts of many.”-Nina Jean Slack
Denis Diderot|Great minds that are healthy are never considered geniuses, while this sublime qualification is lavished on brains that are often inferior but are slightly touched by madness.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|I know you didn’t see the violence and need for control in him in the beginning, but I’m sure it was there. Nothing you did turned him into such an abusive man. And you … well, you just didn’t see your own value before that. It’s an easy thing for a woman to overlook. We’re taught from the cradle that men rule.
Zeina Kassem, Crossing|Do our dreams carry messages from the great beyond, sent by the people we have lost, or are they a reflection of our desperation and wishful thinking?
Craig D. Lounsbrough|Professional Ketman is reasoned thus: since I find myself in circumstances over which I have no control, and since I have but one life and that is fleeting, I should strive to do my best. I am like a crustacean attached to a crag on the bottom of the sea. Over me storms rage and huge ships sail; but my entire effort is concentrated upon clinging to the rock, for otherwise I will be carried off by the waters and perish, leaving no trace behind.
Lois Greiman, Unzipped|Honest friends is kinda nice, but it's hard to beat a big-ass lie and a six-pack of brewskies.
A. S. Byatt|Peer mediation is a chance for students to work with other students to help them resolve problems, arguments, disagreements without having to get the teacher or the administration involved.
Bukkyo Dendo Kyokai, The Teaching of Buddha|The secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.
Kristan Higgins, The Best Man|Life is a beautiful journey, full of joy and painYou never know when it will end, don’t let a moment pass in vain…In the whole ruckus of life, nothing had I gained,I just wanted freedom, no more did I wanted to be chained…
Georgia Byng, Molly Moon & the Morphing Mystery|I loved looking at the stars—they put in perspective how small I was compared to the Universe. Each of those hundreds of billions of stars was its own sun. It could have its own solar system of planets orbiting around it, and some of those planets could even contain life. The vastness of possibilities in space reminded me that while my life felt important, it was tiny in the scheme of things. Human civilization was only a blink on the radar of time. Did anyone else have these moments of amazement over the existence of humanity, when they are in awe of how they are here, and alive, even if it’s only for a short while?
G.B. Williams|The other day I chanced to meet An angry man upon the street — A man of wrath, a man of war, A man who truculently bore Over his shoulder, like a lance, A banner labeled “Tolerance.
