S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
九把刀|You taste injustice, even if it’s fictional, really taste it,it has a way of doing that. Sometimes, you can never put the shoe on the other foot. We can’t go back in time and know what it was like to be a black person then. Even today, when things are supposed to be so much better, not one of you can understand what it’s like to be black, to live with the knowledge of what happened to your ancestry and still face injustice. But that book makes us taste it and, reading it, we know how bitter that taste is and we know we don’t like it. But that bitter wakes you up, and when you wake up, you open your mind to things in this world, you make yourself think. Then you’ll decide you don’t like the taste of injustice, not for you and not for anyone, and you’ll understand that even though all the battles can’t be won, that doesn’t mean you won’t fight.
Fazli Rrezja|it’s not bravery to walk through the jungle with a lion’s escort, but it is with a rabbit
Nick Hornby, High Fidelity|Read any women's magazine and you'll see the same complaint over and over again: men - those little boys ten or twenty or thirty years on - are hopeless in bed. They are not interested in "foreplay"; they have no desire to stimulate the erogenous zones of the opposite sex; they are selfish, greedy, clumsy, unsophisticated. These complaints, you can't help feeling, are ironic. Back then, all we wanted was foreplay, and girls weren't interested. They didn't want to be touched, caressed, stimulated, aroused; in fact, they used to thump us if we tried. It's not really very suprising, then, that we're not much good at all that. We spent two or three long and extremely formative years being told very forcibly not even to think about it. Between the ages of fourteen and twenty-four, foreplay changes from being something that boys want to do and girls don't, to something that women want and men can't be bothered with. (Or so they say. Me, I like foreplay - mostly because the times when all I wanted to do was touch are alarmingly fresh in my mind.) The perfect match, if you ask me, is between the Cosmo woman and the fourteen-year-old boy.
Mehmet Murat ildan|Wisdom is to internalise the experiences of other things, of everything! By observing the birds, you internalise the wisdom of the birds; by observing the Moon, you internalise the wisdom of the Moon! Wisdom is a process of adding the experiences of the universe to our minds!
Martha Sweeney|He places one of his long fingers over my lips, silencing me. I can smell my own musky arousal on his digit and I have the strongest urge to take it in my mouth and suck it as I did earlier during my audition. He says nothing but drills into me with those dazzling eyes. I have the strangest feeling that he is looking into my soul.“Let us see where the wave takes us. I know I am going to enjoy the ride and I can guarantee our mutual satisfaction. Maybe we’ll be washed to shore, I just don’t know yet, but you can be certain of one thing…”I gaze up at him from his chest, breathing in the scent of his masculinity as I do.“What’s that, sir?” I ask, my voice betraying the curiosity I feel.He looks down at me for a long, hard moment before he answers.“I won’t let you drown.
Arthur Phillips, The Song Is You|The truth is, anyone who puts so much of herself and her life into art as you do must naturally fear any failure in that art as a potential threat to your life. And so you protect your art more than you protect your health or the common forms of happiness the rest of us have. And you probably have this in common with every artist you admire.
Tristram Stuart|Computers were never designed in the first place to become musical instruments. Within a computer, everything is sterile - there's no sound, there's no air. It's totally code. Like with computer-generated effects in movies, you can create wonders. But it's really hard to create emotion.
Saint Ambrose|The Hulk was a unique character because of his strength and power. He doesn't have a costume like Spiderman or like Superman - The Hulk is more visual. His passion and his strength, that is what separates him from anything else.
Everett Dirksen|When I feel the heat, I see the light.
Sarah J. Maas, Throne of Glass|Many say "What goes up must come down." I believe this was spoken by a pessimist. I believe it is vitally important to remember that "What goes up...must have started some place." #workhard
Siri Hustvedt|I think that everybody needs four things in life. Everybody needs something to do regardless of age. Everybody needs someone to love. Everybody needs something to hope for, and, of course, everybody needs someone to believe in.
Sigmund Freud, Štúdie o hystérii|Maybe having schizophrenia is my big fuck-you to the status quo. Only, I guess at this point, being normal and well-adjusted would be, like, the biggest fuck-you of them all. So I guess I'll just try to shoot for that, if I can.
Judy Balan|Modern-Day Parenting is no joke. For starters, no one takes you seriously unless you have a fancy parenting style. Tiger Mom, Helicopter Mom, Organic Mom and on and on. I've decided to go with L-Board Mom. I may look like I don't know what I'm doing but you want to keep safe distance 'cause you know I can hurt you and get away with it.
Darrel Ray, Sex & God: How Religion Distorts Sexuality|We have multiple sex maps - form genetic and epigenetic influences that are largely out of our consciousness to social and cultural influences that may or may not be within our awareness. We are a social and biological species with sexual patterns and tendencies that exist independent of any religion. Religion attempts to force sex into a one-size-fits-all box, placing a layer of complexity on sexuality that is neither realistic nor related to the biological roots of our species.
Hermann Hesse, Steppenwolf|Oh, if I had had a friend at this moment, a friend in an attic room, dreaming by candlelight and with a violin lying ready at his hand! How I should have slipped up to him in his quiet hour, noiselessly climbing the winding stair to take him by surprise, and then with talk and music we should have held heavenly festival throughout the night!
J.D. Stroube, Caged in Darkness|Mmmm… stay.” Her voice was barely audible, as she grazed her lips against mine and her head fell back against the pillow into a deep sleep.
Pema Chödrön, Start Where You Are: A Guide to Compassionate Living|WE ALREADY HAVE everything we need. There is no need for self-improvement. All these trips that we lay on ourselves—the heavy-duty fearing that we’re bad and hoping that we’re good, the identities that we so dearly cling to, the rage, the jealousy and the addictions of all kinds—never touch our basic wealth. They are like clouds that temporarily block the sun. But all the time our warmth and brilliance are right here. This is who we really are. We are one blink of an eye away from being fully awake.
Nathan Reese Maher|I rouse Emily to our guests, as she finishes off our fifteenth snowman by setting the head atop its torso. She stands limp at my direction, pointing out the coming shadows and I cannot help but hear a muffled sigh as she decapitates her latest creation with a single push of her hand.
Jennifer Crusie, What the Lady Wants|Of course it hurt you neanderthal! See that? Thats blood. If theres blood, theres pain. Its like smoke and fire.
Brandi Gomez, No War Is Anyone's War|I've longed for you so, while my connection to the rest of reality has torn. It is that you have lost me. And I have lost you, longing for more than my enough.
Elle Lothlorien, Alice in Wonderland|Fun fact: You may hug koalas in the Australian state of New South Wales, but not in Queensland. So…if you didn’t hug your koala nice and tight before you got here to Sydney, you’re going to be shit out of luck until we go back to Surfer’s Paradise.
Scott Blum, Waiting for Autumn|I'm such a fan of nature, and being with the trees every day fills me with joy.
Rick Riordan|Can't nobody make us do a thang once we git hard against it. And if anybody don't like that, you don't have to explain a thang to'm. All you got to say is, 'I'm Charlotte Simmons, and I don't hold with thangs like 'at.' And they'll respect you for that.
Alexandre Dumas, Twenty Years After|But these first needs of the heart are so imperious, these outpourings of amorous melancholy in young people are at once so sweet and so bitter, that they have often all the real marks of the passion.
A.S. King, Ask the Passengers|We don't get to choose if we get hurt in this world, old man, but we do have a say in who hurts us. I know I like my choices. I hope she likes hers.I do, Augustus. I do.
Sunday Adelaja|Having a strong spirit, we can control the desires of the flesh.
Rick Riordan, The Lost Hero|Leo frowned at the giant's spire. "Can't we blow it up or something?""Without me, you do not have the power," Hera said. "You might as well try to destroy a mountain.""Done that once today," Jason said.
Rosa DeLauro|It is a matter of public shame that while we have now commemorated our hundredth anniversary, not one in every ten children attending Public schools throughout the colonies is acquainted with a single historical fact about Australia.
Michael Crichton, The Lost World|What makes you think human beings are sentient and aware? There's no evidence for it. Human beings never think for themselves, they find it too uncomfortable. For the most part, members of our species simply repeat what they are told-and become upset if they are exposed to any different view. The characteristic human trait is not awareness but conformity, and the characteristic result is religious warfare. Other animals fight for territory or food; but, uniquely in the animal kingdom, human beings fight for their 'beliefs.' The reason is that beliefs guide behavior which has evolutionary importance among human beings. But at a time when our behavior may well lead us to extinction, I see no reason to assume we have any awareness at all. We are stubborn, self-destructive conformists. Any other view of our species is just a self-congratulatory delusion. Next question.
William Shakespeare, Macbeth|The others in the dorm thought I wanted to be a writer, because I was always alone with a book, but I had no such ambition. There was nothing I wanted to be. 
Richard Bach|Can miles truly separate you from friends... If you want to be with someone you love, aren't you already there?
Neil Pasricha, The Book of Awesome|Gliding down the bike path on a Saturday morning, you whip by somebody peddling in the opposite direction and give each other a nod. For a moment it's like "Hey, we're both doing the same thing. Let's be friends for a second.
Elizabeth von Arnim, Elizabeth and Her German Garden|Nobody told me about him [my grandfather], and he died when I was six, and yet within the last year or two, that strange Indian summer of remembrance that comes to us in the leisured times when the children have been born and we have time to think, has made me know him perfectly well. It is rather an uncomfortable thought for the grown-up, and especially for the parent, but of a salutary and restraining nature, that though children may not understand what is said and done before them, and have no interest in it at the time, and though they may forget it at once and for years, yet these things that they have seen and heard and not noticed have after all impressed themselves for ever on their minds, and when they are men and women come crowing back with surprising and often painful distinctness, and away frisk all the cherished little illusions in flocks.
Rachel Friedman, The Good Girl's Guide to Getting Lost: A Memoir of Three Continents, Two Friends, and One Unexpected Adventure|With Martyn, I hold forth some of the philosophies I've been honing since beginning my travels in Ireland almost two years ago, about universal health care and the travel practices of American youth, about my country and the way I was indoctrinated to believe that America was number one in everything, but actually people in other countries have what we have--and sometimes better--about my obligations as a daughter, about the ways that I have put my faith in all the wrong things and now I am hopelessly lost but at the same time realizing that's okay so maybe that means I'm not lost at all, just searching.
Jill Shalvis, My Kind of Wonderful|I'm ready," she promised. She kissed his jaw and then rubbed her cheek against it, letting out a low hum of arousal at the feel of his stubble on her skin. He had a scent that every single one of her senses responded to. The texture of his skin, the taste of his tongue, the latent strength in his hands - everything about him did it for her. "I want this," she said. "I want you.
Karen Hesse, Out of the Dust|I turn my back on him as he goes,and settle myself in the parlor,and touch Ma's piano.My fingers leave sighsin the dust.
Terry Pratchett, Going Postal|There was no safety. There was no pride. All there was, was money. Everything became money, and money became everything. Money treated us as if we were things, and we died.
Elizabeth Grace Saunders, The 3 Secrets to Effective Time Investment: Achieve More Success with Less Stress: Foreword by Cal Newport, Author of So Good They Can't Ignore You|If you commit to giving more time than you have to spend, you will constantly be running from time debt collectors.
Al-Hanouf Halawi|If you let fear make decisions for you, fear will make good decisions - but only for its own sake, not yours. p. 161
Matshona Dhliwayo|Bless the world with your mind, heal the world with your heart, lift the world with your soul; elevate the world with your life.
George R.R. Martin|Fantasy is silver and scarlet, indigo and azure, obsidian veined with gold and lapis lazuli. Reality is plywood and plastic, done up in mud brown and olive drab. Fantasy tastes of habaneros and honey, cinnamon and cloves, rare red meat and wines as sweet as summer. Reality is beans and tofu, and ashes at the end.
Patrick Rothfuss, The Name of the Wind|After an awkward pause, Bast extended his hand. Chronicler hesitated for a bare moment before reaching out quickly, as if he were sticking his hand into a fire. Nothing happened, both of them seemed moderately surprised."Amazing, isn't it?" Kvothe addressed them bitingly. "Five fingers and flesh with blood beneath. One could almost believe that on the other end of that hand lay a person of some sort.
J. Assmuth and Ernest R. Hull|A simple statement of untruth in words is called a lie. If a lie is perpetrated not merely by words but by methodic action it is called a fraud. It the action consists in creating a false object and putting it forward as a true object, we call it a forgery….A lie, a fraud, a forgery always imply conscious and deliberate action with the purpose to deceive.
Ma Jun|Our politicians are stupid. And the Mexican government is much smarter, much sharper, much more cunning. And they send the bad ones over because they don't want to pay for them. They don't want to take care of them. Why should they when the stupid leaders of the United States will do it for them?
Josephine Hart, The truth about love|Where would we be without it, memory? Well, it'll never die here. Never in this country. We feed it too well.
Ayn Rand, We the Living|Andrei, did you like the opera?""Not particularly.""Andrei, do you see what you're missing?""I don't think I do, Kira. It's all rather silly. And useless.""Can't you enjoy things that are useless, merely because they are beautiful?""No. But I enjoyed it.""The music?""No. The way you listened to it.
Kevin Kelly|You shouldn't get to live in society and give nothing back. People complain about their taxes, yet they do nothing for the community. That makes me furious.
Anne Brontë, The Tenant of Wildfell Hall|When I tell you not to marry without love, I do not advise you to marry for love alone: there are many, many other things to be considered. Keep both heart and hand in your own possession, till you see good reason to part with them . . . .
David Levithan|Saving others is always more important than saving yourself. It has to be, or none of us would do any good.
Pierce Brown, Golden Son|Friendships take minutes to make, moments to break, years to repair.
Alice Walker, The Color Purple|Man corrupt everything, say Shug. He on your box of grits, in your head, and all over the radio. He try to make you think he everywhere. Soon as you think he everywhere, you think he God. But he ain't. Whenever you trying to pray, and man plop himself on the other end of it, tell him to git lost, say Shug. Conjure up the flowers, wind, water, a big rock.
Sharon Salzberg, Real Happiness at Work: Meditations for Accomplishment, Achievement, and Peace|Meditation is not about what's happening, it is about how we're relating to what's happening.
Jo Nesbø, Panserhjerte|But men love abstract reasoning and neat systematization so much that they think nothing of distorting the truth, closing their eyes and ears to contrary evidence to preserve their logical constructions.
Meg Cabot|To achieve self actualization, do good things for other people that you would want to be done onto yourself
Daphne du Maurier, Echoes from the Macabre: Selected Stories|When the ship approached the equator, I stopped going out on deck in the daytime. The sun burned like a flame. The days had shortened and night came swiftly. One moment it was light, the next it was dark. The sun did not set but fell into the water like a meteor. Late in the evening, when I went out briefly, a hot wind slapped my face. From the ocean came a roar of passions that seemed to have broken through all barriers:'We mus procreate and multiply! We must exhaust all the powers of lust!' The waves glowed like lava, and I imagined I could see multitudes of living beings - algae, whales, sea monsters - reveling in an orgy, from the surface to the bottom of the sea. Immortality was the law here. The whole planet raged with animation. At times, I heard my name in the clamor: the spirit of the abyss calling me to join them in their nocturnal dance. ("Hanka")
Taylor Swift|Becoming fearless isn't the point. That's impossible. It's learning how to control your fear, and how to be free from it.
George Orwell, 1984|War, it will be seen, is now a purely internal affair. In the past, the ruling groups of all countries, although they might recognize their common interest and therefore limit the destructiveness of war, did fight against one another, and the victor always plundered the vanquished. In our own day they are not fighting against one another at all. The war is waged by each ruling group against its own subjects, and the object of the war is not to make or prevent conquests of territory, but to keep the structure of society intact.
Paul Farmer|I mean, everybody should have access to medical care. And, you know, it shouldn't be such a big deal.
Joyce Carol Oates|I came to Venice for the first time in 1968 and was lucky enough to make the acquaintanceship, and then the friendship, of two Venetians, Roberta and Franco, who remain my best friends here after almost 50 years.
Francis Picabia|If you want to change the world, start off by making your bed.
Olaotan Fawehinmi, The Soldier Within|Most of our problems today are not that we don’t know, but that we don’t know how to put things together with the right zeal and grit to get something noble and leave noble footprints!
Lilly Black, A Jade's Trick|When it comes to you, against my better judgment and my will, I find myself promising things I never thought I could promise anyone.
R. Alan Streett|Why should not He had made all things, still having something immediately to do with the things that He has made? Where lies the great difficulty, if we own the being of a God, that He created all things out of nothing, I'll be allowing something immediate influence of God on creation still?
Peter Jackson|Pixar is not about computers, it's about people.
Simon Sinek, Start with Why: How Great Leaders Inspire Everyone to Take Action|Working hard for something we do not care about is called stress, working hard for something we love is called passion.
Pablo Escobar|Alphas, like Scarface, can be drug dealers, but it’s still a little grimy.
Brittany Weekley/Monroe Starr, The Secret Life of Thomas Commons|Have the courage to follow your heart and intuition. They somehow know what you truly want to become." -Steve Jobs
Greg Rutherford|Doing nothing would stress me out. So I am still pretty much active practicing judo with my friends, who are former judo athletes, to maintain our fitness as well as the friendships among us. In my spare time, I usually go jogging around the Gelora Bung Karno stadium or head to the gym.
Lailah Gifty Akita|If you wish to possess your soul, be patient.
Francis of Assisi|Lord, make me an instrument of your peace;where there is hatred, let me sow love;when there is injury, pardon;where there is doubt, faith;where there is despair, hope;where there is darkness, light;and where there is sadness, joy.Grant that I may not so much seekto be consoled as to console;to be understood, as to understand,to be loved as to love;for it is in giving that we receive,it is in pardoning that we are pardoned,and it is in dying [to ourselves] that we are born to eternal life.
Sunday Adelaja|When you use anger to win a fight, you lose by default.
Viktor E. Frankl, Man's Search for Meaning|The attempt to develop a sense of humor and to see things in a humorous light is some kind of a trick learned while mastering the art of living. Yet it is possible to practice the art of living even in a concentration camp, although suffering is omnipresent. To draw an analogy: a man's suffering is similar to the behavior of gas. If a certain quantity of gas is pumped into an empty chamber, it will fill the chamber completely and evenly, no matter how big the chamber. Thus suffering completely fills the human soul and conscious mind, no matter whether the suffering is great or little. Therefore the "size" of human suffering is absolutely relative.
Richard Bach, Illusions: The Adventures of a Reluctant Messiah|The bond that links your true family is not one of blood, but of respect and joy in each other's life. Rarely do members of one family grow up under the same roof.
Cheryl Mills|Therefore, don't let sinners take courage to think they will be favoured like the thief on the cross; for we see on the other side, they may be like the hardened one, and reproach death itself.
Erich Maria Remarque, All Quiet on the Western Front|We are little flames poorly sheltered by frail walls against the storm of dissolution and madness, in which we flicker and sometimes almost go out.
John Stossel|To be clear, climate change is a true 800 pound gorilla in the room. The effects of global warming threaten global environmental upheaval over the coming century. But for South Florida and the Everglades, it could be our death knell if urgent action is not taken.
William L. Stull|Asked about the fact that Apple's iTunes software for Windows computers was extremely popular, Jobs joked, 'It's like giving a glass of ice water to somebody in hell.
Henri J.M. Nouwen, The Way of the Heart: The Spirituality of the Desert Fathers and Mothers|To die to our neighbors means to stop judging them, to stop evaluating them, and thus to become free to be compassionate. Compassion can never coexist with judgment because judgment creates the distance, the distinction, which prevents us from really being with the other.
Carlos Wallace, Life Is Not Complicated-You Are: Turning Your Biggest Disappointments Into Your Greatest Blessings|See? Memories aren't happy, they're sad. Don't you know anything?
Ron Baratono|Dear God,I asked that you clear my mind of any negative thoughts so my heart can run free; so I may look at the world with a clearer understanding of your beautiful creation. Cleanse my heart dear God so I may always look through the wonder light you shine upon us. In Jesus name Amen.
raja shakeel mushtaque|If there so many hurdles in your life to achieve something, you have to believe God firmly.Because He is creating a wonderful story to inspire people through you, that couldn't be done with a single stroke of success.
Julie Kagawa, The Eternity Cure|Sorry, I didn't see the big X with the words Top Secret Government Laboratory on the map, did you?
Markus Zusak, The Book Thief|They sat a few meters apart, speaking very rarely, and there was really only the noise of turning pages (…) Where Hans Hubermann and Erik Vandenburg were ultimately united by music, Max and Liesel were held together by the quiet gathering of words."Hi, Max.""Hi, Liesel."They would sit and read.
Neil Gaiman, Trigger Warning: Short Fictions and Disturbances|Slowly gently night creeps up on you, more gentle than light, it helps you realize how much the light hinders you. In the darkness your senses learn when they should quit – in the embrace of the dark everything becomes what it really is. People fear the dark but unlike the light it does not lie to you. In the dark you can go where you long to be.
Anne Bradstreet, Anthology of American Literature, Volume 1: Colonial through Romantic|If we are to put an end to division, people from all political persuasions will have to stop fighting one another and seek true unity, not just a consensus that benefits one party.
Katja Michael|There are plenty of chances in life, what's important is what you make of them.
Jeremy Reed| What appears most disquieting to me in isolation is the dilemma of how to use time. There is either too much or too little of it; we either live inside painfully contracting horizons, or feel ourselves isolated in the vastness of space. I seem to have lived with the palm of my hand balanced on the tip of a knife, writing what in theory I would call the Preface to a Future Book. And the relation of time to creation should always appear like that, a ratio that describes the fullness of energy brought to a particular stage of one's life, so that each work is a preface to a stage at which one has still to arrive, the logical extension of which is death. I live for the blaze of metaphor that unites incongruities. The red wine-stain on my page is like an intoxicant to the dance of words. It is a little ritual I undertake, this sprinkling of wine-spots on paper.
Bill Bryson|While many in the social enterprise space often qualify themselves as 'non-profit,' these organizations should instead treat themselves as 'for-purpose.' These organizations should focus on their mission to create social good, while still treating themselves with the same commitment to rigor and discipline as the best for-profits.
Sunday Adelaja|Material wealth don’t just come and go, they come to stay as long as the virtues remain in the fabric of a nation
Edward Said, Orientalism|Knowledge means rising above immediacy, beyond self, into the foreign and distant. The object of such knowledge is inherently vulnerable to scrutiny; the object is a ‘fact’ which, if it develops, changes, or otherwise transforms itself in the way that civilizations frequently do, nevertheless is fundamentally, even ontologically stable. To have such knowledge of such a thing is to dominate it, to have authority over it.
Chris Christie|There's a conventional wisdom that says that strategic thinking is much more important than relationship building, which doesn't seem to be nearly as highly valued as it should be, based on what some of the leaders that I've spoken with have said to me.
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|If you want to become a positive thinker, don't think lack, think abundance, for you and for everyone. Dream big; as bigger as the blue ocean. Become aware of your thoughts and you will be aware of yourself.
Donna Grant, Fire Rising|Don't try to tell me it's because I'm scared, because the truth is the only time I'm not terrified is when I'm with you.
Angela B. Chrysler|Think back to the oldest era your mind can fathom, back beyond everything we can remember, when gods were still men who had not yet lived the deeds that would deify them.
Richelle E. Goodrich, Slaying Dragons|High performers whom exhibit tremendous self-control tend to be burden by their own competence. Studies indicate that being extraordinary competent can place a person under an unusual amount of stress because it raises other people’s expectation of them. The more task that an exemplary employee produces with a ‘go-getting personality’ while maintaining high quality relationships with peers and clients, the more an organization tends to underestimates their actual effort and the more it expects of them. Other people do not comprehend how difficult it is for a high performer to complete multifaceted tasks. They also tend to underestimate how much effort an enterprising person exerts who maintains a positive and pleasant attitude while completing difficult assignments.
William Easterly, The Elusive Quest for Growth: Economists' Adventures and Misadventures in the Tropics|The mother of invention is a very well-endowed woman, and she has been suckling technology forever at her perpetually full breasts.
Trisha Yearwood|I get up in the morning. I usually do a radio interview early in the morning. I usually do a book signing, because I'm also a cookbook author, so I'm at some store, at a Walmart or a Williams Sonoma, for three hours, standing up, signing autographs, and taking pictures for three hours.
Alexandra Kleeman, Intimations: Stories|One of the dwarfs walked in front of Thor to get a better view of the prye, and Thor kicked him irritably into the middle of the flames, which made Thor feel slightly better and made all the dwarfs feel much worse.
Steven Erikson, Gardens of the Moon|Wrath: look at how their folklore portrays our species. There's Dracula for Christ's sake, an evil bloodsucker who preys on the defenseless. There's piss-poor B movies and porn. And don't get me started on the whole Halloween thing. Plastic fangs. Black capes. The only thing the idiots got right are that we drink blood and that we can't go out in daylight. The rest is bullshit, fabricated to alienate us and stimulate fear in the masses. Or just as offensive, the fiction used to create some kind of mystique for bored humans who think the dark side is a fun place to visit.
Victor Hugo, Hugo's Works: William Shakespeare|There was no experience, I thought, quite as wonderful as being an American in Paris.
John Green, The Fault in Our Stars|Do not quarrel or restlessly seek for more knowledge, until you have given proper honor to what you already know.
Veronica Rossi, Under the Never Sky|Without thinking, he reached for her hand. Tucked it against her chest, feeling that was where it should be. Perry's heart slammed against his ribs. She had to feel it.
Nikki Rowe|The best indicator of a man's philosophy is not what he reads or says, but the way in which he lives his life, the way in which he acts.
Oliver Harper, TIME: A Traveler's Companion: Strategies To A Meaningful Life|You can be all you want to be, even if the odds are against you. For it is in the darkest hours that the smallest light shines the brightest.
Booth Tarkington, The Magnificent Ambersons|We debate sometimes what is to be the future of this nation when we think that in a few years public affairs may be in the hands of the fin-de-siecle gilded youths we see about us during the Christmas holidays. Such foppery, such luxury, such insolence,was surely never practiced by the scented, overbearing patricians of the Palatine, even in Rome's most decadent epoch. In all the wild orgy of wastefulness and luxury with which the nineteenth century reaches its close, the gilded youth has been surely the worst symptom.
