Michael Bassey Johnson|Music replays the past memories, awaken our forgotten worlds and make our minds travel.
Paul Theroux, Dark Star Safari: Overland from Cairo to Cape Town|This friendship among women is something Samuel often talks about. Because the women share a husband but the husband does not share their friendships, it makes Samuel uneasy. It is confusing, I suppose. And it is Samuel's duty as a Christian minister to preach the bible's directive of one husband and one wife. Samuel is confused because ti him, since the women are friends and will do anything for one another - not always, but more often than anyone from America would expect - and since they giggle and gossip and nurse each other's children, then they must be happy with things as they are. (Walker 2000: 141)
Karl Jacoby, Shadows at Dawn: A Borderlands Massacre and the Violence of History|The human heart: its expansions and contractions its electrics and hydraulics the warm tides that move and fill it. For years Art had studied it from a safe distance from many perspectives...he listened in fascination and revulsion, in envy and pity. He dispensed canned wisdom, a little scripture. He sent them on their way with a prayer.
Richard Davenport-Hines, Voyagers of the Titanic: Passengers, Sailors, Shipbuilders, Aristocrats, and the Worlds They Came From|Ritzonia" was the epithet coined by Bernard Bernson, who sold Italian pictures to American millionaires, to describe the unreal, mortifying sameness of their luxury. "Ritzonia," he wrote in 1909, "carries its inmates like a wishing carpet from place to place, the same people, the same meals, the same music. Within its walls you might be at Peking or Prague or Paris or London and you would never know where.
Julie James, The Thing About Love|His expression was strained. "I'm trying like hell to be the good guy here. I need you to go inside and lock the door behind you to keep out of trouble.""I thought Wildstone was safe.""It is. The trouble isn't going to come from the unknown. It's going to come from me. Go, Quinn. Now. And lock your door."She stared up at him, mesmerized by the thought of him being trouble, images going through her head of him proving it to her, all of them involving little to no clothing and a bed.
Cameo Renae, In My Dreams|Enough with the sadness! This dream is not for cry-babies...” he said, his face beaming with a wide smile.
Lawrence Martin, Harperland: The Politics Of Control|The conservatives had started bringing demagoguery to the table on the [Afghan] war issue the previous fall [fall 2006]. Whenever opposition members criticized the war policy, assorted Tories accused them of being disloyal and of failing to support the troops....[Harper] was gaining the reputation of a leader who couldn't see a belt without wanting to hit below it.
Maggie Stiefvater|When you have nothing to offer, love gives abundantly.
Sarah Rubin, Someday Dancer|I liked his attention. But I also felt like there was something sick and wrong about it. Like it might make me sick later. I thought of my grandmother, my father's mother. How when I used to visit her in Georgia she would always let me eat all the cookies and frozen egg rolls I wanted. "Go ahead, sweetheart, there's more," she would say. And it seemed okay because she was a grown-up, and I wanted all the Chips Ahoy! cookies in the bag. But I always ended up feeling extremely sick afterward. I looked at Bookman, his eyes swollen with emotion.
Tamela Rich|Regardless of whether a relationship brings us joy or sorrow, each relationship gives us the opportunity to grow stronger, nobler, and more compassionate with ourselves and others.
Kevin Bacon|There are two types of actors: those who say they don't want to be famous, and those who are liars.
Margaret Atwood, Oryx and Crake|Never bring a lot of money to where a poor man lives. He can only lose what little he has. On the other hand it is mathematically possible that he might win whatever you bring with you. What you must do, with money and the poor, is never let them get too close to one another.
Neal Stephenson, The Diamond Age: or, A Young Lady's Illustrated Primer|Cynophilist: paradoxical being that often despises man and adores the dog, apparently, mainly because of the unconditional love that the latter has for the first.
Ivan Turgenev, Fathers and Sons|The wolves of the world have no pity for the confused, the scattered, the lost or the weak.
Ernest Hemingway|All good books are alike in that they are truer than if they had really happened and after you are finished reading one you will feel that all that happened to you and afterwards it all belongs to you: the good and the bad, the ecstasy, the remorse and sorrow, the people and the places and how the weather was. If you can get so that you can give that to people, then you are a writer.
Jason Cohen|What sets the best suppliers apart is not the quality of their products, but the value of their insight.
Irven Devore|I personally cannot discern a shred of evidence for ‘[intelligent] design.’ If 97% of all creatures have gone extinct, some plan isn't working very well!
Nicholas Sparks, Dear John|If your Idea cannot CHANGE the INDUSTRY, you have added no VALUE
Russell Smith|The profession I have keeps dragging me into drama and taking me away from baking, flowering and gardening.
Isaac Marion, The New Hunger|Hope, in general, is dangerous. Hope can be the loose thread that pulls apart your sanity.
Maureen Brady, Daybreak: Meditations For Women Survivors Of Sexual Abuse|I create a home that is a safe and nurturing place for me, where I am free to gather myself.
Frank Oz|Now you can get artisanal everything - pickles, coffees, house-cured meats, mustard. The pendulum has swung back to this kind of food, and it gives me the greatest hope for the future, especially because we're living in a time with issues like polluted Gulf Coast seafood and food labeled organic that may not really be organic.
Beatriz Williams, Tiny Little Thing|It's just a bow and arrow, but it's not a laughing matter. It might have been at one time, but history takes the laugh out of many things. If the arrow is a joke, so is the atom bomb, so is the sweep of disease laden dust that wipes out whole cities, so is the screaming rocket that arcs and falls then thousand miles away and kills a million people.
Friedrich Nietzsche, Thus Spoke Zarathustra|Who art thou then, O my soul!" (and here [Zarathustra] became frightened, for a sunbeam shot down from heaven upon his face.""O heaven above me," said he sighing, and sat upright, "thou gazest at me? Thou hearkenest unto my strange soul?When wilt thou drink this drop of dew that fell down upon all earthly things—when wilt thou drink this strange soul——When, thou well of eternity! thou joyous, awful, noontide abyss! when wilt thou drink my soul back into thee?
Jarvis Cocker|Fame necessarily isn't really tied to success at all. Fame is just being recognized for doing what you do, whether it's good or bad. Osama bin Laden was famous.
Robert Herjavec|I don't care what straight people do, I don't care what gay people do. I don't care what nobody do. That's they business. I just care about what I do. You know what I'm saying?
Carroll Bryant|Love should feel like a hand sewn quilt made by grandma, wrapping you up on a cold winter morning.
Claire M. Banschbach, The Rise of Aredor|We hear rumors of a man who leads a rebellion in the forest, determined to drive the invader out. It's said wherever wolf howls or hawk cries, he appears.
Gift Gugu Mona|Remember that whatsoever you desire, God is the most dependable provider.
Susan Shapiro Barash, Tripping the Prom Queen: The Truth About Women and Rivalry|It wasn't only my friends who suffered from female rivalry. I remember when I was just sixteen years old, during spring vacation, being whisked off to an early lunch by my best friend's brother, only to discover, to my astonishment and hurt, that she was expecting some college boys to drop by and didn't want me there to compete with her. When I started college at Sarah Lawrence, I soon noticed that while some of my classmates were indeed true friends, others seemed to resent that I had a boyfriend. It didn't help that Sarah Lawrence, a former girls' school, included very few straight men among its student body--an early lesson in how competing for items in short supply often brings out the worst in women.  In graduate school, the stakes got higher, and the competition got stiffer, a trend that continued when I went on to vie for a limited number of academic jobs. I always had friends and colleagues with whom I could have trusted my life--but I also found women who seemed to view not only me but all other female academics as their rivals.  This sense of rivalry became more painful when I divorced my first husband. Many of my friends I depended on for comfort and support suddenly began to view me as a threat. Some took me out to lunch to get the dirt, then dropped me soon after. I think they found it disturbing that I left my unhappy marriage while they were still committed to theirs. For other women, the threat seemed more immediate--twice I was told in no uncertain terms that I had better stay away from someone's husband, despite my protests that I would no more go after a friend's husband than I would stay friends with a woman who went after mine.  Thankfully, I also had some true friends who remained loyal and supportive during one of the most difficult times of my life. To this day I trust them implicitly, with the kind of faith you reserve for people who have proved themselves under fire. But I've also never forgotten the shock and disappointment of discovering how quickly those other friendships turned to rivalries.
P.D. James|My childhood is streets upon streets upon streets upon streets. Streets to define you and streets to confine you, with no sign of motorway, freeway or highway.
Sarah E. Ladd|Geordie stepped forward and took her hand. “I hope you’re not tired, because I intend to keep you on my arm until the music stops.
James E. Faust|Always kiss your children goodnight, even if they're already asleep.
Amity Gaige|The most interesting legal philosophy is German, so naturally I went to Germany, particularly to Berlin, quite a bit.
Michele Amitrani, Omnilogos|I found myself back in the sepulchral city resenting the sight of people hurrying through the streets to filch a little money from each other, to devour their infamous cookery, to gulp their unwholesome beer, to dream their insignificant and silly dreams. They trespassed upon my thoughts. They were intruders whose knowledge of life was to me an irritating pretence, because I felt so sure they could not possibly know the things I knew. Their bearing, which was simply the bearing of commonplace individuals going about their business in the assurance of perfect safety, was offensive to me like the outrageous flauntings of folly in the faces of a danger it is unable to comprehend.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Through mastering the means of perception, the promise of who you are in physical form is opened with an increasing opportunity for fulfilment.
Daniel Gyorki|Souls are like stars. There are thousands upon thousands around us yet we only see a few hundred. We know the names of only a handful of them even though we see them every day. They are just there, they are constant. Some change over the years but some stay exactly the same. We can see that some are in pairs and their whole world revolves around each other. Yet there are stars that exist in solitude. They are alone in the big black vastness of space and they have no hope of reaching others in their lifetime. They burn bright; maybe brighter than most but they are alone. They might have a few things around them but those are insignificant and invisible to the outsider. Sometimes when two stars get closer to each other, they affect the other's course, they become brighter for each other but as time passes they get further and further from one another until they blend into the rest, they become strangers again. But the affect remains and their future will never be the same from then on.
Maggie Stiefvater, The Scorpio Races|We are limited, not by our abilities, but by our vision.
C.S. Lewis, Out of the Silent Planet|I'm not trying to be mean,' Casamir says.'Intent doesn't always matter.
Paula Hawkins|At every Christmas, I fail to remember the daughters' shoe sizes, and they are not growing, but grown. After ostensible hard thought about who needs what, I have failed to give good gifts; I have failed to receive good gifts.
Friedrich Engels, Anti-Duhring: Herr Eugen Duhring's Revolution in Science|More often than not, at the end of the day (or a month, or a year), you realize that your initial idea was wrong, and you have to try something else. These are the moments of frustration and despair. You feel that you have wasted an enormous amount of time, with nothing to show for it. This is hard to stomach. But you can never give up. You go back to the drawing board, you analyze more data, you learn from your previous mistakes, you try to come up with a better idea. And every once in a while, suddenly, your idea starts to work. It's as if you had spent a fruitless day surfing, when you finally catch a wave: you try to hold on to it and ride it for as long as possible. At moments like this, you have to free your imagination and let the wave take you as far as it can. Even if the idea sounds totally crazy at first.
George Orwell, Animal Farm|Windmill or no windmill, he said, life would go on as it had always gone on--that is, badly.
Margaret Thatcher|As long as we, in the United States, continue to insist that our politicians have to spend all of their time raising millions of dollars for television ads, it will be corrupt. If we leave it up to the politicians to clean up lobbying and finance reform, nothing is going to change.
Debasish Mridha|Everyone is longing for love, everyone is suffering from the needs and wants, so be loving, kind, and compassionate to everyone.
Prabhukrishna M|There are only two classes of people. "The Clear", powered by their confusion and "The Confused", powered by their clarity
Clementine Ford|There is evidence that I have survived this before, that I will go on surviving. There is love. There is love. There is love. Maybe the Cheshire cat was right. Maybe we are all a little mad. And if we are all in this together, then none of us are truly alone. That means me. But it also means you. Across these pages, I reach out to you, dear one whose heart feels so alone. This too shall pass. And we will all be okay.
Laura Lascarso, Counting Backwards|...You're worried that you're going to go out of here and mess up your lines or trip on your high heels, but you're not. You're going to blow them away, just like you always do. You're a woman who knows what she wants, and you know how to get it. You're going to be the most, Margo, to say the least.
Alexis de Tocqueville|I cannot help fearing that men may reach a point where they look on every new theory as a danger, every innovation as a toilsome trouble, every social advance as a first step toward revolution, and that they may absolutely refuse to move at all.
Raphael Zernoff|Whenever we decide to create a greater degree of change in our lives we need to start doing things differently. Any external change only reflects the inner transformation. Hence whenever we decide to change our lives, it does not happen through manipulation of the external reality. Any external change is a pure reflection of the inner change. We must change our perceptions, beliefs, feelings, thoughts, the way we talk and express ourselves, in order to see a significant change in our realities. It is all it takes.
Ernest Hemingway, A Farewell to Arms|Abstract words such as glory, honor, courage, or hallow were obscene beside the concrete names of villages, the numbers of roads, the names of rivers, the numbers of regiments and the dates.
Elbert Hubbard|It may happen sometimes that a long debate becomes the cause of a longer friendship. Commonly, those who dispute with one another at last agree.
Roger Ebert|In my experience there are billions of dollars available for pieces of shit. As soon as the material distinguishes itself by something interesting, financing becomes a problem.
George Bernard Shaw, The Intelligent Woman's Guide to Socialism and Capitalism|As it is not a settled question, you must clear your mind of the fancy withwhich we all begin as children, that the institutions under which we live,including our legal ways of distributing income and allowing people to own things, are natural, like the weather. They are not. Because they exist everywhere in our little world, we take it for granted that they have always existed and must always exist, and that they are self-acting. That is a dangerous mistake. They are in fact transient makeshifts; and many of them would not be obeyed, even by well-meaning people, if there were not a policeman within call and a prison within reach. They are being changed continually by Parliament, because we are never satisfied with them.... At the elections some candidates get votes by promising to make new laws or to get rid of old ones, and others by promising to keep things just as they are. This is impossible. Things will not stay as they are.Changes that nobody ever believed possible take place in a few generations. Children nowadays think that spending nine years in school, oldage and widows’ pensions, votes for women, and short-skirted ladies in Parliament or pleading in barristers’ wigs in the courts are part of the order of Nature, and always were and ever shall be; but their great-grandmothers would have set down anyone who told them that such things were coming as mad, and anyone who wanted them to come as wicked.
Dejan Stojanovic|There is something perfect to be found in the imperfect: the law keeps balance through the juxtaposition of beauty, which gains perfection through nurtured imperfection.
Sarah Dessen, The Truth About Forever|You want to BE happy and HAVE success? Join those words, BE+HAVE… To experience success in your life requires that you decide what you want and BEHAVE accordingly.
Lewis Black|The only thing which really seemed to pay off in life, if you went by Mary Pedersen's example, was sleeping with your superiors.
Lana Del Rey|Being brave means that knowing when you fail, you won't fail forever.
Anne Lamott|For too long, and despite what people told me, I had fallen for what the culture said about beauty, youth, features, heights, weights, hair textures, upper arms.
Paul Feig|I honestly see the battle between Democrat and Republican, liberal and conservative as the exact same dynamic--there's a group of people in this world that don't like conflict and care about what other people are going through, and then there's this other group of people in the world who hate that. 'Suck it up, man, we're not coddling you, take care of yourself, what's your problem?' It's jocks versus geeks, and I've always referred to life as perpetual high school because it never stops.
Dierks Bentley|Remember: You are the common denominator in all your relationship problems. Wherever you go, your pesky repeated issues go - until you shed a blazing light of insight upon them.
Christopher Morley|A few years ago I lost 30 pounds, and people still wanted to criticize. And honestly, I'm happy with myself if I'm a little heavier. I realized: 'Why am I trying to conform to someone else's idea of beauty?' I think I'm beautiful either way.
Joanna Bourne, The Black Hawk|Gypsy aren't only poor, but they are brutal and not so nice people. World has smashed them, that they start making revenge by behaving bad to dogs, like "Hey, I'm the boss". But nobody stand up and do something about that!
Laura Kreitzer, Keepers|Shut the front door!” Jenna exclaimed.Andrew disappeared into the foyer, and when he returned, his eyebrows were furrowed in confusion. “The door is shut?
Lizzie Armitstead|My mom was a model, so she's been really good about giving me tips on how to navigate behind the scenes - like the importance of being nice to everyone on set and remembering people's names, to how to be a positive part of the photo shoot and stuff like that.
Oscar Wilde|The cave floor rumbled. A large stone emerged from the dirt-a smooth, oval rock exactly the same size and weight as a baby god... She wrapped the stone in swaddling clothes and gave the real baby Zeus to the nymphs to take care of... She marched right up to King Cannibal and shouted, "This is the best baby yet! A fine little boy named, uh, Rocky!
Michael S. Kimmel, Manhood in America: A Cultural History|The structural foundations of traditional manhood--economic independence, geographic mobility, domestic dominance--have all been eroding. The transformation of the workplace--the decline of the skilled worker, global corporate relocations, the malaise of the middle-class manager, the entry of women into the assembly line and the corporate office--have pressed men to confront their continued reliance on the marketplace as the way to demonstrate and prove their manhood.
Russ Harris, ACT with Love: Stop Struggling, Reconcile Differences, and Strengthen Your Relationship with Acceptance and Commitment Therapy|I think that I've been trying for a long time to feel like I am supposed to, instead of what I actually am.
Salman Rushdie|Literature is where I go to explore the highest and lowest places in human society and in the human spirit, where I hope to find not absolute truth but the truth of the tale, of the imagination, and of the heart.
Karen Alpert, I Want My Epidural Back: Adventures in Mediocre Parenting|On the last day of her visit I drove your grandmother to the airport. Your mother was her only child, as you are my only child, and having watched you grow I know that nothing could possibly be more precious to her. She said to me, "You take care of my daughter."When she got out of the car my world had shifted. I felt that I had crossed some threshold out of the foyer of my life and into the living room. Everything that was the past seemed to be another life. There was before you and then there was after and in this after you were the god I'd never had. I submitted before your needs and I knew then that I must survive for something more than survival's sake. I must survive for you.
Swami Vivekananda, Complete Works of Swami Vivekananda 8 Vol. set|stand up, be bold. you are the sole and only cause.
Billy Graham|Tears shed for self are tears of weakness, but tears shed for others are a sign of strength.
Chris Matakas|Service is one of life's great joys. It's a privilege to be in service. It's a great relief, a gift, to be faced with a job that you know absolutely you must do for the benefit of someone else. As long as you give yourself to it. You don't need to worry about anything but doing that job well, and the satisfaction, when you do, is very beautiful.
Michael Mano|There is no feeling like the one you get after you complete a goal,no matter how menial even one such as cleaning your home. You take a step back, look around and at that moment you feel true happiness.Don't let that person inside of you laze around and escape reality no matter how tempting they can be.They are the true devil, standing by doing nothing as the world passes you when you could have made a difference, no matter how small.
Julia Quinn, Ten Things I Love About You|I've always been a monster,' Scapegrace told her, 'but now, finally, my physical for reflects my inner darkness.''You smell terrible.''That's the smell of evil.''It's like rancid meat and bad eggs.''Evil," Scapegrace insisted.
Mary DeTurris Poust, Cravings: A Catholic Wrestles with Food, Self-Image, and God|Whether we are feasting or fasting or somewhere in between, food should have a sacred role in our lives. It can be something we sacrifice, something we savor, something we share, and through it all we can remain fulfilled because we are grounded in God, the only One who can satisfy our hungry hearts.
Germany Kent, You Are What You Tweet: Harness the Power of Twitter to Create a Happier, Healthier Life|You can't be jealous of someone else's results. You don't know the prayer, process, sacrifice, and work they endured for it.
Harrish Sairaman|If one really wants to learn, one has to decide what is important. Spending an evening on the town? Attending a ball game? Or learning something that can be with you your life long?
Debby Ryan|I am really excited and thankful for opportunity to work with Cotto Promotions, Tidal and Roc Nation.
Sara Ella, Unblemished|...It is the one time Dante calls such explicit attention to the idea of contrapasso-a word for which we have no exact translation, no precise definition in English, because the word in itself is its definition... Well, my dear Longfellow, I would say countersuffering ... the notion that each sinner must be punished by continuing the damage of his own sin against him... just as these Schismatics are cut apart...
M.F. Moonzajer|Life," Graveworthy said, when he saw Jack was awake and staring at him, "is a series of desperate gambles and boxing matches for the wits, bookended on the one side by events in which one is shot at, and on the other end by mornings like this.
John Piper, Don't Waste Your Life|Why don't people ask us about our hope? The answer is probably that we look as if we hope in the same things they do. Our lives don't look like they are on the Calvary road, stripped down for sacrificial love, serving others with the sweet assurance that we don't need to be rewarded in this life.
Marcha A. Fox, Beyond the Hidden Sky|sometimes, silence can be very loud
NoViolet Bulawayo, We Need New Names|...and the worse the memory, the stronger its stranglehold on the present.
Innocent Mwatsikesimbe, This Is My Life|Nonetheless, I know where I'm coming from,I've got an idea on where I'm going,And with the way things are going,I'm just glad to be me.
Wodke Hawkinson, Dark Longings|The best method for getting away with something outrageous is to do it right in front of people, and then tell them they’re not seeing what they think they’re seeing.
Elizabeth Cunningham, The Passion of Mary Magdalen|Being lost is the way, how else can you be found?
Kristina McMorris, The Pieces We Keep|Maybe heaven entailed more than a soul residing in a single place, but instead having pieces of yourself spread among the hearts and memories of people you've touched.
Ash Gray, The Thieves of Nottica|Morganith snorted and didn’t lower her weapon. “One girl can cause alotta trouble, Hari. You and I are proofa that.
Tom Hiddleston|I am ready for love, but I am not a seeker of it. My truth is; the more I love who I am, the more I will attract my perfect mirror of love to meet me halfway.
Nektaria Markaki, Το κορίτσι με το ηλιοτρόπιο|Πως μπορώ να κρατήσω ένα τόσο αγνό πλάσμα κοντά μου; Μόνο και μόνο που αναπνέει τον ίδιο αέρα με μένα, νιώθω να την μολύνω.
Alexander Berkman, The ABC of Anarchism|I have been studying for forty years, which is to say forty wasted years; I teach others yet am ignorant of everything; this state of affairs fills my soul with so much humiliation and disgust that my life is intolerable. I was born in Time, I live in Time, and do not know what Time is. I find myself at a point between two eternities, as our wise men say, yet I have no conception of eternity. I am composed of matter, I think, but have never been able to discover what produces thought. I do not know whether or not I think with my head the same way that I hold things with my hands. Not only is the origin of my thought unknown to me, but the origin of my movements is equally hidden: I do not know why I exist. Yet every day people ask me questions on all these issues. I must give answers, yet have nothing worth saying, so I talk a great deal, and am confused and ashamed of myself afterwards for having spoken.
Nikki Rowe|Each story provides a beginning, a middle and an end, the trick is, never seperate them through the chapters or you'll miss the meaning of the entire book.
Geoffrey Rush|I think women are different, and I think having them in the room is crucial to a family comedy, ensemble comedy, television comedy, where half the eyeballs on your show are women.
Kate Bush|As humans, we have the tendency to call on God only when we think that we're in dire straits as opposed to cultivating a real relationship with Him every day. And that's what my music tries to convey to all the listeners - try to cultivate it every day.
Sara Sheridan, The Secret Mandarin|If you tempted a poor man with a fortune, who could blame the fellow for taking what he could?
Felix Adler|Under current law volunteers who are not working with an official nonprofit organization are not covered by the Volunteer Protection Act. Therefore, there are absolutely no legal protections for the average American who wishes to volunteer.
Lisa Kleypas, Mine Till Midnight|I wonder how Merripen is faring,” Win said, her blue eyes soft with concern. Merripen, the cook-maid, and the footman had gone to the house two days earlier to prepare for the Hathaways’ arrival. “No doubt he’s been working ceaselessly day and night,” Amelia replied, “taking inventory, rearranging everything in sight, and issuing commands to people who don’t dare disobey him. I’m sure he’s quite happy.
Beth Revis, Across the Universe|Maybe one day the smears of paint Harley left throughout Godspeed will fade, and maybe the stars never will, but i'd rather have Harley's colors.
Michael Andretti|I have a need to make these sorts of connections literal sometimes, and a vehicle often helps to do that. I have a relationship to car culture. It isn't really about loving cars. It's sort of about needing them.
Valery Bryusov|They believed the devil would rise from here,” she said. “I’m serious. They thought he would come up through the cracks in the ground, that there would be an earthquake and he would rise. Dust. Fire. The end of the world. They calculated the day and built churches to protect themselves.
Sufe Bradshaw|People like to say how much they like stuff, but with 'The Sunset Tree,' people shared stories about what it meant for them. And that stuff's so humbling and amazing.
Rasheed Ogunlaru|Shifting perspective(s) and being proactive are essential to your our life paths, progress and possibilities: "Just because a door appears closed it does not mean that it is locked - nor that it will not open with the right heart, call or touch
Bob Proctor|When you really want something, and you couple that with an understanding of your nature, of your spiritual being, and the law that govern you, you will keep going, regardless of what's happened. Nothing will stop you.
David Burr Gerrard, The Epiphany Machine|The epiphany machine will not discover anything about you that you do not, in some way, already know. But think for a moment about surprise. What is surprising is never what is revealed but the grace with which it has been hidden.
Lucy Wood, Weathering|Have you ever sat on a window seat, in the train of your memories while it's raining heavily? Rain has this ridiculous power of waking up all the angels and demons inside us at once, doesn't it? All of a sudden there is a war inside us, between both the sides. We can do nothing but clench our fists and watch our train derail and take a path we have never come across before. All we know at that point of time is that we are going to crash somewhere. Either our demons win or the angels, we are going to get wounded somewhere.
Emile Durkheim|It's not a science when you are judging art, but we'd be remiss to say you can't look at something and say, 'This is more well done than that.'
Mhairi Simon, Old Magic in Everyday Life|The idea of magic being something that is separate from everyday life – known to the magicians but not the ordinary people – still slows down our recognition that it is here, now, of the Earth and Universe, all around us, and perhaps most essentially, in us.
Park Geun-hye|In war, you can only be killed once, but in politics, many times.
Staffan Noteberg|When you are well, your own body is a sealed country into which you need not explore far, but when you are unwell, there is no denying that you are made up of organs and fluids and chemistry and that the mechanisms by which your body operates are not invincible.
Monique Wittig, Les Guérillères|There was a time when you were not a slave, remember that. You walked alone, full of laughter, you bathed bare-bellied. You say you have lost all recollection of it, remember . . . You say there are no words to describe this time, you say it does not exist. But remember. Make an effort to remember. Or, failing that, invent.
Vladimir Odoyevsky|Ah, but sir,' said Lascelles, 'it is precisely by passing judgments upon other people's work and pointing out their errors that readers can be made to understand your own opinions better. It is the easiest thing in the world to turn a review to one's own ends. One only need mention the book once or twice and for the rest of the article one may develop one's theme just as one chuses. It is, I assure you, what every body else does.
Robert W. Sears, The Vaccine Book: Making the Right Decision for Your Child|Most anti-vaccine books claim that all shots are bad, the diseases aren't really anything to fear, and as long as you live a natural and healthy lifestyle, you don't have to worry. I think this is a very irresponsible approach to the vaccine issue. Vaccines are beneficial in ridding our population of both serious and nonserious diseases.
Antonella Gambotto-Burke, The Martin Amis Interview|I was into third guesses with Theo and Maddy. Anyway, that's one of the reasons I opted to buythe van and drive cross-country instead of dumping us all in a plane. It gave us some time. Nothinglike a three-thousand-mile drive in an enclosed vehicle to cement a family unit—if you live throughit.""It was very brave of you.""You want to talk courage?" He drove easily up the lane to the villa. "I've been chief taste-testeron this wine experiment Maddy's conducting. It's brut
