P.C. Cast|Damien has died and gone straight to gay boy heaven,' Shaunee said...
Mary DeTurris Poust, Cravings: A Catholic Wrestles with Food, Self-Image, and God|Sherrie would be there, and the last time I’d seen her at a social event she burst into tears when she saw me and ran out of the room. You’re upset, I’d yelled after her, meanly.
Dean Karnazes|We knew not where we were going. We only knew that we must run, run to the end of the world, run to the end of our days.
Jacqueline Winspear, Messenger of Truth|She closed her eyes, silently continuing the pleas that she be given words that might soothe, words that would begin the healing of bereaved parents. She had seen, when she entered the kitchen, the chasm of sorrow that divided man and wife already, each deep in their own wretched suffering, neither knowing what to say to the other. She knew that to begin to talk about what had happened was a key to acknowledging their loss, and that such acceptance would in turn be a means to enduring the days and months ahead.
Betty Buckley|Democracy not only requires equality but also an unshakable conviction in the value of each person, who is then equal.
Hillary Clinton|In politics, as in religion, it is equally absurd to aim at making proselytes by fire and sword. Heresies in either can rarely be cured by persecution.
Lailah Gifty Akita, Think Great: Be Great!|Without continuous encouragement, we may give up.
Ernest Agyemang Yeboah|Let us not fear our wild thoughts for they can give rise to wondrous contemplation, creative endeavour, life changing ideas, momentous bliss.
Saffron A. Kent, The Unrequited|I’m his puppet and he is my invisible master, holding my strings from miles away.
Shayana K.|If got chance, 90% of married women in this world possess the power to manage home, child and career simultaneously, and many are still doing it. The challenge here is that what percent of married men has the will to say - I will help you out.
Jodi Picoult, Plain Truth|The English judged a person so that they'd be justified in casting her out. The Amish judged a person so that they'd be justified in welcoming her back. Where I'm from, if someone is accused of sinning, it's not so that others can place blame. It's so that the person can make amends and move on.
Jaachynma N.E. Agu|Being poor in the Spirit means you are humble, gentle, meek, God-fearing,kind and exhibit the fruits of the Spirit but being Spiritually poor is lacking in every thing that pertains to life and godliness.
H. Norman Wright|Do you wonder that I avow this to you? Know, that in the course of your future life you will often find yourself elected the involuntary confidant of your acquaintances' secrets: people will instinctively find out, as I have done, that it is not your forte to tell of yourself, but to listen while others talk of themselves; they will feel, too, that you listen with no malevolent scorn of their indiscretion, but with a kind of innate sympathy; not the less comforting and encouraging because it is very unobtrusive in its manifestations.""How do you know? -- how can you guess all this, sir?""I know it well; therefore I proceed almost as freely as if I were writing my thoughts in a diary.
Melissa Rosenberg|Does anyone want to see a person who's making the money that the newspapers say I'm making complaining, 'Woe is me, my life is terrible, and people are being unfair?' No one would've had any patience for that. I wouldn't have any patience for that.
Jonathan Haidt, The Righteous Mind: Why Good People are Divided by Politics and Religion|When strangers meet, great allowances should be made for differences in custom and training.
Joe Abercrombie, Last Argument of Kings|Bang! The end of his little finger, now, and three more pieces of the rest. His middle finger was down to the knuckle, almost. Severard stared, his eyes with with horror, his breath coming short, fast gasps. Shock, amazement, stunned terror. Glokta leaned down to his ear. 'I hope you weren't planning to take up the violin, Severard. You'll be lucky if you can play a fucking gong by the time we're done here.
Gabriel Dibble|Passion is good, but Pros have purpose and realism.
Sofia Samatar, A Stranger in Olondria|But preserve your mistrust of the page, for a book is a fortress, a place of weeping, the key to a desert, a river that has no bridge, a garden of spears.
Justina Chen, North of Beautiful|Can you play the piano like Beethoven? Or sing like Carly Simon? Can you take fie pages' worth of quotes and turn them into a usable story ten minutes before deadline? I don't think so, unless you have more hidden talents I don't know about. We all have our special sills. They don't make us better or worse than each other. Just different
Judy Balan, Sophie Says|Who decided it's a phobia in the first place? What if I just don't want to get married ever. Just like I don't want to live in Jharkhand ever. Somehow I can say that as loud as I want and as many times as I want, yet nobody will ask me to see the shrink about my Jharkhand phobia. Why?
Alaina Stanford, Forbidden Quest|I'm going to be a fairy.” Sarah announced, studying her file."What a surprise.” Nicole mumbled, closing the door.
Rachel Aaron, The Spirit Thief|First rule of thievery,' Eli said, grinning, 'only run if you're not coming back.' (...) 'First rule of thievery, never use the same entrance twice.' Miranda rolled her eyes. 'How many 'first rules' of thievery do you have?' 'When one mistake can mean your head on a pike, every rule's a first rule,' Eli said cheerfully.
Robert Pogue Harrison, The Dominion of the Dead|If nothing else, a house is a place to keep books in.
Sylvia Plath|When I say I must write, I don't mean I must publish. There is a great difference. the important thing is the chaotic form given to my chaotic experience, which is, as it was for James Joyce, my kind of religion, and necessary for me...as the confession and absolution for a Catholic in church.
Guy P. Harrison|Why do many believers insist on repeatedly pointing to the crimes of 20th century dictators who led officially atheistic societies as some sort of evidence of their god's existence? It makes no sense.If the rivers of blood on Stalin's hands and Mao's hands, for example, are supposed to prove there is a god, then what do the oceans of blood on the hands of several thousand years' worth of religious kings, queens, presidents, popes, priests, generals, Crusadersm jihadists and tribal chiefs prove? It's not, of course, but if bodycount is somehow the measure of a god's likelihood of existence, then believers lose.It is clear that humans are quite capable of killing with or without images of gods bouncing around in their heads. If anything, however, history suggests that the concept of gods makes the idea of massacring your fellow man (and women and children, too, of course) a lot easier to act upon.
Matshona Dhliwayo|Our professional competence and pride should rest not alone in our possession of knowledge but as well in our ability to communicate it. Of course we shall carry on our research, and of course we shall applaud the colleague who 'produces,' but we shan't be happy if he offers that as a substitute for inspiring young people with a desire for knowledge, a sense of taste, and a regard for virtue.
Michael Foley, The Age Of Absurdity: Why Modern Life Makes It Hard To Be Happy|The 1970s was the decade of liberation, of anger at injustice and demands for recognition and rights. But over time, the demand for specific rights degraded into a generalized sense of entitlement, the demand for specific recognition into a generalized demand for attention and the anger at specific injustice into a generalized feeling of grievance and resentment. The result is a culture of entitlement, attention-seeking and complaint.
Eckhart Tolle, The Power of Now: A Guide to Spiritual Enlightenment|See if you can catch yourself complaining, in either speech or thought, about a situation you find yourself in, what other people do or say, your surroundings, your life situation, even the weather. To complain is always nonacceptance of what is. It invariably carries an unconscious negative charge. When you complain, you make yourself into a victim. When you speak out, you are in your power. So change the situation by taking action or by speaking out if necessary or possible; leave the situation or accept it. All else is madness.
David McCullough, The Greater Journey: Americans in Paris|We who are residing in a foreign country, away from the immediate scene of action, perhaps can feel more deeply than those at home the evil effects of the present distracted condition of our country.
Sun Yat-sen|When I was an adolescent in England, at school we had to read 'Death of a Salesman.' I remember feeling incredibly moved by the portrayal of these people and the idea with which Miller broached the whole subject of failure or failed systems, or the way that people are crushed by a system in which they find themselves.
Deborah Wilde, The Unlikeable Demon Hunter|The idea that you are not good enough and that people will not like you is something that has been ingrained into your mind over many years. You have hundreds of experiences that you can call up as evidence of the fact that people will not like you -- and that things will not turn out well. These ideas are incredibly convincing. They compel us to hesitate, to shy away, and to avoid the situations -- and people -- that we find frightening. This sets up a reinforcing cycle, where we avoid reaching out, don't get good responses from others as a result, and then gain further evidence that we are not worthy. In order to truly overcome your social anxiety at a deep, gut level, you must repeatedly take bold action. It is only through trying something new, and with a different perspective, that you learn to see the world and the people around you in a different light.
Tamara Hughes, His Pirate Seductress|She laughed, and the sound pierced his heart.
Munindra Misra, Eddies of Life|Instead of spending your dear energy on hating enemies, Utilize this energy to love your friends a little harder truly.[229]	- 4 (Thoughts)
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|We ought to love, encourage and support each other.
Emily Rodda, The Forests of Silence|Rover did not know in the least where the moon's path led to, and at present he was much too frightened and excited to ask, and anyway he was beginning to get used to extraordinary things happening to him.
Assata Shakur, Assata: An Autobiography|Leaders who do not act dialogically, but insist on imposing their decisions, do not organize the people--they manipulate them. They do not liberate, nor are they liberated: they oppress.
Lois Mowday Rabey, Snare: Understanding Emotional and Sexual Entanglements|Those who devote themselves to the study of Sacred Scripture should always remember that the various hermeneutical approaches have their own philosophical underpinnings, which need to be carefully evaluated before they are applied to the sacred texts.
Jule Warner|Isn't it a good thing we don't know everything? If we did, we wouldn't have a reason to have curiosity, and curiosity is like imagination, taking us back to the time when we were just children in our own fantasylands.
Robin Bielman, Risky Surrender|Then Ben’s mouth descended again and her thoughts, as fickle as tiny fish, swam out of her head. Gentle brushes of his lips turned into more insistent strokes of his mouth. Sexually frustrated widow or not, there was little doubt the man could kiss her into a melted puddle of goo.
Gene Wolfe, The Shadow of the Torturer|Master Palaemon's hand, dry and wrinkled as a mummy's, groped until it found mine. "Among the initiates of religion it is said, 'You are an epopt always.' The reference is not only to knowledge but to their chrism, whose mark, being invisible, is ineradicable. You know our chrism."I nodded again."Less even than theirs can it be washed away. Should you leave now, men will only say, 'He was nurtured by the torturers.' But when you have been anointed they will say, 'He is a torturer.' You may follow the plow or the drum, but still you will hear, 'He is a torturer.' Do you understand that?
Lailah Gifty Akita|There comes a sacred moment, when a man must cry out to his Saviour, this is time of surrender to the son of Man.
Debi Thomas|We all keep dreaming, and luckily, dreams come true.
Steven M. Greer|Of all the problems which will have to be faced in the future, in my opinion, the most difficult will be those concerning the treatment of the inferior races of mankind.
Ludwig von Mises, The Theory of Money and Credit|An attempt is sometimes made to demonstrate the desirability of measures directed against speculation by reference to the fact that there are times when there is nobody in opposition to the bears in the foreign-exchange market so that they alone are able to determine the rate of exchange. That, of course, is not correct. Yet it must be noticed that speculation has a peculiar effect in the case of a currency whose progressive depreciation is to be expected while it is impossible to foresee when the depreciation will stop, if at all. While, in general, speculation reduces the gap between the highest and lowest prices without altering the average price-level, here, where the movement will presumably continue in the same direction, this naturally can not be the case. The effect of speculation here is to permit the fluctuation, which would otherwise proceed more uniformly, to proceed by fits and starts with the interposition of pauses.
Diane Ackerman, A Natural History of Love|When I set a glass prism on a windowsill and allow the sun to flood through it, a spectrum of colors dances on the floor. What we call "white" is a rainbow of colored rays packed into a small space. The prism sets them free. Love is the white light of emotion.
Caleb Carr, The Angel of Darkness|She has that quality, does the Hudson, as I imagine all great rivers do: the deep, abiding sense that those activities what take place on shore among human beings are of the moment, passing, and aren't the stories by way of which the greater tale of this planet will, in the end, be told.
Richelle Mead, Succubus Heat|I don't care," said Seth. "I would have done it. I would have sold my soul for you. You and me...I told you. Something's always going to keep us near each other...even if we aren't together.
Andrew Wilson, Patricia Highsmith, Ζωή στο σκοτάδι|The artistic life is a long and lovely suicide precisely because it involves the negation of self; as Highsmith imagined herself as her characters, so Ripley takes on the personae of others and in doing so metamorphoses himself into a 'living' work of art. A return to the 'real life' after a period of creativity resulted in a fall in spirits, an agony Highsmith felt acutely. She voiced this pain in the novel via Bernard's quotation of an excerpt from Derwatt's notebook: 'There is no depression for the artist except that caused by a return to the self'.
Dan Groat, Monarchs and Mendicants|Books required no interchanges of thoughts and feelings, no trading of expectations, no traffic of words, no menace of real loss. Reading books required far less energy than reading people; the pages seldom disappointed him and they never died.
Willam Law|He cupped my face in his hands and wiped my tears with his thumbs."Better?""Yes."He looked into my eyes and said, "I'll never leave you alone, Anna. Not if I can help it.
Samuel Johnson, The Life of Samuel Johnson, Vol 2|I’m not comfortable in this stadium,” I explained, trying to look calm.“I know. And you hate Fang looking at those girls. But we’re still havingfun, and Fang still loves you, and you’ll still save the world. Okay?
Donalyn Miller, The Book Whisperer: Awakening the Inner Reader in Every Child|Now the choices you make are not about finding your path. Rather, they are choices to open the path you have found.
Ashton Kutcher|You know, I think that romance sort of coincides with effort, so you can fall flat on your face, but as long as you're making a great effort, I think it comes off as romantic.
Robert Louis Stevenson, Treasure Island|As my future crumbled before my eyes, I grasped for the rope. My entire life's struggle was ending here, in plain view of my enemies. How was it possible? Had had I let things come to this?
Katherine Dunn|My dad was a roofer when I was young. I believe he owned his own roofing company in Florida. And then he fell through a roof, broke his back. Permanently. I mean, he's not paralyzed or anything, but he's had to deal with pain for all of his life since then.
Vikrmn, Guru with Guitar|Challenge yourself today, to improve, for a better tomorrow than yesterday.
Yulia Tymoshenko|There are divers men who make a great show of loyalty, and pretend to such discretion in the hidden things they hear, that at the end folk come to put faith in them.
Edger Allen Poe|Do what we will, we are alone. The sooner we learn that, the better; and the more we are fit to be alone with ourselves, the more we are respectful to the individuality of others, and therefore the more we are fit to associate with our kind. This was a paradox she would have to learn for ourselves.
Matshona Dhliwayo|Failure is your best asset, complacency is your worst liability, and talent is your greatest capital.
Karen Armstrong, The Case for God|History proves beyond any possibility of doubt that no religion has ever given a stimulus to scientific progress comparable to that of Islam. The encouragement which learning and scientific research received from Islamic theology resulted in the splendid cultural achievements in the days of the Umayyads and Abbasids and the Arab rule in Sicily and Spain. I do not mention this in order that we might boast of those glorious memories at a time when the Islamic world has forsaken its own traditions and reverted to spiritual blindness and intellectual poverty. We have no right, in our present misery, to boast of past glories. But we must realize that it was the negligence of the Muslims and not any deficiency in the teachings of Islam that caused our present decay. Islam has never been a barrier to progress and science. It appreciates the intellectual activities of man to such a degree as to place him above the angels. No other religion ever went so far in asserting the dominance of reason and, consequently, of learning, above all other manifestations of human life.
Mehek Bassi|It’s funny, how for an entire lifetime we keep thinking ‘How’ will our life-partner look like, how will he be? How will he react to a particular situation? How will he get angry, and how will we love and pamper him? We have so many questions like if he will accept me the way I am? Or if I have to change for him? We all have made plans for our future, subconsciously. We don’t exactly plan out everything with a pen and paper, it’s something that happens automatically, just like an involuntary action. Whenever we are alone and our mood is good, we usually think about our life with our partner. The days and nights in his arms, and the time that we will reserve for him.But when all that turns into reality, it’s strikingly different. Everything that you thought, seems to be a joke, and life laughs at you from a distance! You are helpless and can’t do anything about it, but have to accept it the way it is. You are totally caught into a web of dilemmas and problems before you realize that this is the time you waited for, and that this is the time you dreamt about! You have to make efforts, compromises, sacrifices and you have to change yourselves too sometimes to make things work.You can never expect to get a partner exactly the way you thought or dreamt about. It’s always different in reality and it’s always tough to make both ends meet for a relationship to work, but you have to! It’s your relationship, if you won’t work for it, who else will?
Farzana Zahid, The Prince and The Fairy|When two hearts believe, love makes things possible.
John Madden|So never give in,” continued the girl, and restated again and again the vague yet convincing plea that the Invisible lodges against the Visible. Her excitement grew as she tried to cut the rope that fastened Leonard to the earth. Woven of bitter experience, it resisted her. Presently the waitress entered and gave her a letter from Margaret. Another note, addressed to Leonard, was inside. They read them, listening to the murmurings of the river.
Alan Dershowitz|America stood at the summit of power, emerging from the Cold War as an economic, cultural and military force without equal.
Barbara Kingsolver, The Poisonwood Bible|I am a fan of overdoing something, but not running it into the ground. They are complete opposites with only a fine line separating them.
Tina Packer, Women of Will: Following the Feminine in Shakespeare's Plays|[Talking about Othello] His dying words are about the service he has done to the state -not what he has done to Desdemona. (...) He acknowledges not love but the power structure (...). Othello believes his fellow officer [Iago] rather than his wife, believes death is suitable punishment for infidelity (...).It makes me uneasy that we so easily state that Othello is a play about race. Race is one of its ingredients, but the most pervasive subject that Shakespeare is tackling is sexism. The two women [Desdemona and Emilia, Iago's wife] end up dead. Bianca, the third woman in the play, Cassio's mistress, ends up in jail for something she never did, and nobody bothers to get her out. Iago, the symbol of evil, remains alive. Brabantio, Desdemona's father, dies of a broken heart because of his daughter's disobedience. And everyone is very regretful about what has happened. But no one, other than Emilia, has pointed out that there is a terrible double standard, something rotten in the system itself.
Raymond Chandler, The Big Sleep|Being a copper I like to see the law win. I'd like to see the flashy well-dressed mugs like Eddie Mars spoiling their manicures in the rock quarry at Folsom, alongside of the poor little slum-bred guys that got knocked over on their first caper amd never had a break since. That's what I'd like. You and me both lived too long to think I'm likely to see it happen. Not in this town, not in any town half this size, in any part of this wide, green and beautiful U.S.A. We just don't run our country that way.
Sweden Reese, The Southern Gentleman: Protective Instinct|Anticipation is foreplay, and...pain is the purest form of pleasure
Brother Andrew, God's Smuggler|...once again I saw that incredulous question, that dawning hope: We are not alone, then? We have brothers in other places? We have friends we never knew?
Victor Borge|I normally don't do requests. Unless, of course, I have been asked to do so.
John Taliaferro, All the Great Prizes : The Life of John Hay, from Lincoln to Roosevelt|I like to introduce myself, because THEN I can get in all the facts." The usually self-deprecating John Hay on the ironic formality of signing his own commission as Secretary of State.
The Sinking of the Titanic and Great Sea Disasters|The honourable are moved, by the nobility of another's sacrifice. The wicked are moved only by causing it.
Christina Rasmussen, Second Firsts Live Laugh and Love Again|I have lived in the shadow of loss—the kind of loss that can paralyze you forever.I have grieved like a professional mourner—in every waking moment, draining every ounce of my life force.I died—without leaving my body.But I came back, and now it’s your turn.I have learned to remember my past—without living in it.I am strong, electric, and alive, because I chose to dance, to laugh, to love, and tolive again.I have learned that you can’t re-create the life you once had—you have toreinvent a life for yourself.And that reinvention is a gift, not a curse.I believe your future self is a work of art and that science can help you create it. If you’re lost . . . if you’re gone . . . if you can barely absorb the words on thispage . . . I want you to hold this truth in your heart: when it’s your time to go, you won’t wish you had spent more time grieving; you’ll wish you had spent more time living.That’s why I’m here. And why you are, too. Let’s live like our lives depend on it.
Catherynne M. Valente, The Girl Who Soared Over Fairyland and Cut the Moon in Two|September suddenly realized something. "But Ell, Orrery begins with O! How can you know so much about it?"The Wyverary soared high, his neck stretching into a long red ribbon, full of words and pies and relief and flying."I'm growing up!" he cried.
Nicholas A. McGirr|Happiness does not come in large incomes or the most exotic home, it comes in small doses of a great self esteem which can be built upon the strengths of an individual.
Belsebuub, Gazing into the Eternal: Reflections upon a Deeper Purpose to Living|Each person is a speck of consciousness that is attempting to awaken and return to its point of origin, to the source. That is life’s true journey and story.
Tony Bennett|I grew up doing all that stuff because I was obsessed with the '50s. I had sock hops for birthday parties. So I've always done The Twist and stuff. It was pretty natural and, with my parents doing it all the time, I'd just copy them. Not very pretty.
Sara Niles, Torn From the Inside Out|My childhood was one of both poverty and plenty, suffering and joy. I was taken out of poverty, both financial and emotional, and lavished with love. I was given a gift I could never repay if I lived a thousand lifetimes, it was the gift of hope and trust, given to me by my uncle who believed in me so strongly that I began to believe in myself.
Hans Jürgen Eysenck, Intelligence: A New Look|I had become too accustomed to the pseudo-Left new style, whereby if your opponent thought he had identified your lowest possible motive, he was quite certain that he had isolated the only real one. This vulgar method, which is now the norm and the standard in much non-Left journalism as well, is designed to have the effect of making any noisy moron into a master analyst.
Chris Daughtry|I read a lot; fiction and non-fiction are the mediums I find most edifying and inspiring. I watch movies and listen to music and take lots and lots of walks. Nature is a nice reset button for me, it's how I get a lot of thinking done.
Anthony Liccione|A friend is the wax that keeps the flame lit, an enemy is the wind that blows it out.
Sarah Dessen, Lock and Key|The further you go, the more you have to be proud of. At the same time, in order to come a long way, you have to be behind to begin with. IN the end, though maybe it's not how you reach a place that matters. Just that you get there at all.
John D. Barrow, The Constants of Nature: The Numbers That Encode the Deepest Secrets of the Universe|While we have very serious problems with the universe, it is most illogical and most stupid to make wars among ourselves! Let there be peace on earth so that we can fight with the real enemy: The ever-changing unreliable universe!
Patricia Troyer, Reconnecting and Tuning In: Recognizing Pure Intuition|Last chance to success is right before your last breath, when you sign away your will. Have patience to declare it as 'the last chance
Nancy Horan, Loving Frank|It's wonderful to feel desired. There's a sense of power in it, really.
Susan Juby, The Truth Commission|At least as coherent as the Gettysburg Address backwards in Albanian, anyway.
Marilynne Robinson|There are so many works of the mind, so much humanity, that to disburden ourselves of ourselves is an understandable temptation. Open a book and a voice speaks. A world, more or less alien or welcoming, emerges to enrich a reader's store of hypotheses about how life is to be understood. As with scientific hypotheses, even failure is meaningful, a test of the boundaries of credibility. So many voices, so many worlds, we can weary of them. If there were only one human query to be heard in the universe, and it was only the sort of thing we were always inclined to wonder about--Where did all this come from? or, Why could we never refrain from war?--we would hear in it a beauty that would overwhelm us. So frail a sound, so brave, so deeply inflected by the burden of thought, that we would ask, Whose voice is this? We would feel a barely tolerable loneliness, hers and ours. And if there were another hearer, not one of us, how starkly that hearer would apprehend what we are and were.
John Irving, A Widow for One Year|It galls me that seeking out the seedy, the sordid, the sexual, and the deviant is the expected (if not altogether acceptable) behavior of male writers; it would surely benefit me, as a writer, if I had the courage to seek out more of the seedy, the sordid, the sexual, and the deviant myself. But women who seek out such things are made to feel ashamed, or else they sound stridently ridiculous in defending themselves -- as if they're bragging. ... Yet there are subjects that remain off-limits for women writers. It's not unlike that dichotomy which exists regarding one's sexual past: it is permissible, even attractive, for a man to have had one, but if a woman has had a sexual past, she'd better keep quiet about it.
Vladimir Putin|I wouldn't dream of watching motor racing, cycling, or golf - which aren't truly sports anyway.
Baba Kalyani|From an operational perspective, exports challenge companies to design, develop, manufacture and supply products to discerning customers in global markets. This, in turn, motivates companies to scale up the value chain, which results in higher realisations.
Barton Gellman|Enclosed by a sand berm four miles around and 160 feet high, the Baghdad Nuclear Research Facility entombs what remains of reactors bombed by Israel in 1981 and the United States in 1991. It has stored industrial and medical wastes, along with spent reactor fuel.
James Rozoff, Stories Light And Dark: Ten Short Stories|When you strive to possess, there is always a reward waiting for you both in heaven and on earth.
Chimamanda Ngozi Adichie, Americanah|Build a heterogeneous team to close three gaps in innovation management - idea gaps, collaboration gaps, and implementation gaps
Jon Ronson, So You've Been Publicly Shamed|I favour humans over ideology, but right now the ideologues are winning, and they're creating a stage for constant artificial high dramas, where everyone is either a magnificent hero or a sickening villain. We can lead good, ethical lives, but some bad phraseology in a Tweet can overwhelm it all - even though we know that's not how we should define our fellow humans. What's true about our fellow humans is that we are clever and stupid. We are grey areas.And so ... when you see an unfair or an ambiguous shaming unfold, speak up on behalf of the shamed person. A babble of opposing voices - that's democracy.The great thing about social media was how it gave a voice to voiceless people. Let's not turn it into a world where the smartest way to survive is to go back to being voiceless.
Oscar Wilde, The Importance of Being Earnest|If it was my business, I wouldn't talk about it. It is very vulgar to talk about one's business. Only people like stockbroker's do that, and then merely at dinner parties.
Sarah J. Maas, Queen of Shadows|Oh, thank the gods. Now I can talk to someone about clothes without being asked how so-and-so would approve of it, or gobble down a box of chocolates without someone telling me I’d better watch my figure—tell me you like chocolates. You do, right? I remember stealing a box from your room once when you were out killing someone. They were delicious.” Aelin waved a hand toward the boxes of goodies on the table. “You brought chocolate—as far as I’m concerned, you’re my new favorite person.
Victor Hugo, Ninety-Three|I am grateful for the rare opportunities to look at my circumstances from a higher perspective, one detached from the dim outlook I normally insist on seeing. These periodic glimpses show me life's grandeur.
Jack Ma|The five steps in teaching an employee new skills are preparation, explanation, showing, observation and supervision.
Neil Livingstone|Chernobyl, an accident or the most successful anti-Marxist attack in recorded history?
Adlai E. Stevenson|The country is filled with energetic and enterprising men, rendered desperate by being reduced from affluence to poverty through the vicissitudes of the times. They will give an impulse to smuggling unknown to the country heretofore.
James Whistler|I love the fact that so many of my readers are intelligent, exceptional, accomplished people with an open-minded love of diversity. But even more than that, I love it when my readers find lasting friendship with others of my readers - knowing that they met through their mutual affection for my books and characters makes me happy!
Virginia McKevitt, The Hunted|As for peace, it was never free and laws were made to be broken. Peacemaker or lawbreaker, someone, somewhere always paid the price no matter what side of the words they were on.
David Levithan, Dash & Lily's Book of Dares|I wish I could remember the moment when I was a kid and I discovered that the letters linked into words, and that the words linked to real things. What a revelation that must have been. We don't have the words for it, since we hadn't yet learned the words. It must have been astonishing, to be given the key to the kingdom and see it turn in our hands so easily.
Maggie Stiefvater, Blue Lily, Lily Blue|Blue was perfectly aware that it was possible to have a friendship that wasn't all-encompassing, that wasn't blinding, deafening, maddening, quickening. It was just that now that she'd had this kind, she didn't want another.
Madeleine L'Engle, Bright Evening Star: Mystery of the Incarnation|I loved him in a way I doubt I will ever love another man, and I know that because I’ve hated him more than I’ve ever hated anyone before. Hate is a product of failed love only when you can’t find it in you to let go. And you know what? I fucking hate him because I love him.
Michelle Rowen, Fanged & Fabulous|Do I feel ancient to you now?" he murmered. "Too different from the person you loved before you knew this?" Her eyes were already glowing green, and her full lips parted. "No, you don't feel too ancient." Her voice was husky. "Or too different. You feel like mine. Whoever you were, whoever you are...you're mine." Mencheres smiled, his fangs stretching to their full length. "So you have spoken, so it shall be decreed. For all eternity.
Kristy Cambron, The Illusionist's Apprentice|When we read tales of atrocity, we all want to be the one who stood firm, who would not bend, who shouted the truth in the face of the dictator.Vsevolod Meyerhold came as close as anyone to achieving this. It is important to know of the full horror of his sacrifice. It is easy for all to imagine we are heroes when we are sitting in our kitchens, dreaming of distant suffering.- Symphony for the City of the Dead: Dmitri Shostakovich and the Siege of Leningrad
David Mitchell, Cloud Atlas|I'm proud of you. You could have run away, but you didn't. That's what most of us do when we have to face a giant.
Jalaluddin Rumi, The Book of Love: Poems of Ecstasy and Longing|I love you just the way you arebut you don't see you like I do.You shouldn't try so hard to be perfect.Trust me, perfect should try to be you.
Jenna Jameson, How to Make Love Like a Porn Star: A Cautionary Tale|I don't ever want to get old. Spare me that. Have you the power? No, even you don't have the power, alas.
Pope Benedict XVI|The human spirit is so utterly one with the body that the term "form" can be used of the body and retain its proper meaning. Conversely, the form of the body is spirit, and this is what makes the human being a person.
Rainbow Rowell|I once took the key off my girlfriend's key ring so that I could surprise her when she got home. So I did this whole romantic setup in our bedroom with flowers and rose petals. She was so mad when she got home, but then when she walked in, she was so surprised.
Toba Beta, Betelgeuse Incident: Insiden Bait Al-Jauza|If there were a master of stupidity in this world, I would really love to listen to his success story.
Gugu Mona|Don't be discouraged when people leave your life because you can still fulfill your God given purpose without them. Remember that your destiny is not tied to any human being, but in line with God's purpose.
Anna Lyndsey, Girl in the Dark|...There is a duty of solidarity among all us impossible, near-invisible people: a duty, out of sheer cussedness, not to disappear completely, simply to ease the conscience of the rest.
Michael Bassey Johnson|Poetry is inspired by the elements of random thoughts, an overflow of gazing at the unseen.
