Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Kamy Wicoff, Wishful Thinking|What had she been thinking, suggesting to Alicia, of all people, that a time-travel app was the solution to the problems of women in poverty? 'Are you talking about my community? You didn't even think highly enough of me to let me in on your little scheme, and now you think it will be God's gift to throw a bunch of poor women through a wormhole every day so they can take care of their children and collect their welfare checks at the same time? That's your solution? Time travel is easier than passing affordable child care?	Jennifer said nothing. Alicia, of course, was right. Years ago she had chosen to name the center It Takes a Village because, from the beginning, she had hated the every-person-for-herself attitude that isolated and blame so many of the residents the agency worked with. Yet she had just suggested that the answer to the multiplying burdens face by single mothers, in particular, was not for the village to gather around them, but for these women to multiply themselves instead.	The same answer, she thought, that she had applied to herself when her own burdens had seemed too much to bear.
Daya Kudari|The problem is not that people make any bond of affection they like with people they like; the problem is calling that bond of affection "love.
Amy Chua|Over time, parents have barnacled the most routine activities in infancy with their own preoccupations. It's sometimes hard to see the baby for all the barnacles.
Carsten Ostergaard Pedersen|That what you think that you are, that, you are
Truth Devour, Wantin|I know, I know…there’s something cliché about that. The heroine initially wanting to clobber a protagonist male, but later realizing that he’s grown on her and she actually really likes him. Technically, I’m not supposed to find that appealing. But maybe real life is a lot more cliché than anyone wants to admit. Or maybe there’s just a fine, subjective line between the cliché and the poetic.
Erika Swyler, The Mermaid Girl: A Story|Sometimes you made love to a man because you wanted your body to feel something other than the aches and pains of use. Sometimes you made love to man because he looked so good that you wanted to try him on. Sometimes you made love to a man because he fathered your children, he made you a home, he loved you, and he staunched the parts of you that were always bleeding. Sometimes you made love to a man because you felt split in two, and joining with him pulled you back together.
Ernest Agyemang Yeboah|Math is a hard subject.... - no silence from you and skipping this and going to the next quote, didn't you done this?
T. Everett Smith, Freedom for Life|How you perceive The Father to be, determines what you believe you’ll receive from Him."From "Freedom for LIFE -all of God, inside you
Bangambiki Habyarimana, The Great Pearl of Wisdom|Outside the box" is an overused cliche which goes nowhere near far enough. In fact, there are so many politicians and salesmen thinking outside the box these days that I am convinced that all of their boxes are completely empty!
Thomm Quackenbush, We Shadows|She mourned the history that the invisible intruder had erased, but not enough that she would spend a second more of her future feeling the emptiness.
Noam Chomsky|I'm trying my best to keep up with all this new technology, and I surround myself with all these wonderful people that are in the know and kind of help me out with all that.
Roger Lowenstein, Buffett: The Making of an American Capitalist|The modern spirit is a hesitant one. Spontaneity has given way to cautious legalisms, and the age of heroes has been superseded by a cult of specialization. We have no more giants; only obedient ants.
David Crystal|For me, good service is efficient and discreet; it's that critical balance. As soon as the client sits down, the communication flow has to start. Customers need to feel that the waiters are supervised - that there's a system in place.
George Clooney|I had my Aunt Rosie, who was famous and then not, so I got a lesson in fame early on. And I understood how little it has to do with you. And also how you could use it.
Franz Kafka, Letters to Felice‎|Scepticism does not abolish the world, it turns it into questions.
Elizabeth Gilbert, The Signature of All Things|I have never felt the need to invent a world beyond this world, for this world has always seemed large and beautiful enough for me. I have wondered why it is not large and beautiful enough for others.
Alexandra York, Crosspoints: A Novel of Choice|One thing more, Leon. You say that life is meaningless, but I believe it's life that's sacred. I talk about art and sex because they're the most intense life experiences I know, so I feel they must be sacred too. They let us experience the values we've chosen for our lives in one exquisite not of pleasure exactly but of oneness with all of existence and with our own personal relationship to it. Art says: "This is Life." Sex says: "This is Living.
Tamora Pierce, The Will of the Empress|And she told you something about yourself you really ought to know: that you're beautiful, and worth loving.
Shaun Hick|There is greater clarity in the still waters of sadness, something not found in the babbling brooks of more sought after emotions.
Maya Angelou|Change is the most beneficial power available to you, simply change the things you don't like, replacing them with your true desires.
Deyth Banger, The Life of One Kid 1|Pain by itself made from words which have gone to action, by itself is unsolveable problem.
Tony Vigorito, Just a Couple of Days|It all seems like a horrible tragedy, with fate pressing on relentlessly to some destined end. Everything that one does seems, no matter how right it may be, to bring on the very thing which is most to be deplored.
Joe Dunthorne, Submarine|Oh diary, I love her, I love her, I love her so much. Jordana is the most amazing person I have ever met. I could eat her. I could drink her blood. She's the only person I would allow to be shrunk to microscopic size and explore me in a tiny submersible machine. She is wonderful and beautiful and sensitive and funny and sexy. She's too good for me, she's too good for anyone! All I could do was let her know. I said: "I love you more than words. And I am a big fan of words.
T.H. White, The Once and Future King|In war, our elders may give the orders...but it is the young who have to fight.
Mokokoma Mokhonoana|You are ass and I like class. I like diamonds, you are a glass. You brown mouse, I like black cats. You boy pussy but i like tom cats. Just because you got the dance, don't think you stand a fucking chance.
Daniel Boone|The years of the economic depression have been years of political reaction, and that is why the economic crisis has generated a world peace crisis.
H.G. Wells|God is so cruel," she murmured reflectively, as though answering him."Yes," he admitted, from the vantage point of going blind. "Though maybe people are kinder if He made them that way.""You've run with a different crowd. Rich people are nicer to rich people.""Sure. Yes. That's why I've washed up here. Rich people couldn't have been nicer to me.
Shannon L. Alder|Be honest with who you are, what you want and how you want to be treated. Boundaries only scare off the people that were not meant to be in your life.
René Descartes, Discourse on Method|I’ve yet to see any problem, however complicated, which when you looked at it the right way didn’t become still more complicated.
Stephen King, UR|Excuse me, I have five pages. May I use the Xerox machine because I have to make some copies? The result was that once again nearly all (93 percent) agreed, even though no real reason, no new information, was added to justify their compliance. Just as the “cheep-cheep” sound of turkey chicks triggered an automatic mothering response from maternal turkeys—even when it emanated from a stuffed polecat—so, too, did the word “because” trigger an automatic compliance response
Werley Nortreus|Inside the terminal at Keahole, they sat waiting to board, watching husky Hawaiians load luggage onto baggage ramps. Arriving tourists smiled at their dark, muscled bodies, handsome full-featured faces, the ease with which they lifted things of bulk and weight. Departing tourists took snapshots of them. 'That's how they see us', Pono whispered. 'Porters, servants. Hula Dancers, clowns. They never see us as we are, complex, ambiguous, inspired humans.' 'Not all haole see us that way...'Jess argued. Vanya stared at her. 'Yes, all Haole and every foreigner who comes here puts us in one of two categories: The malignant stereotype of vicious, drunken, do-nothing kanaka and their loose-hipped, whoring wahine. Or, the benign stereotype of the childlike, tourist-loving, bare-foot, aloha-spirit natives.
Lucian Bane, The Judgement|What GOD has joined together, let no man put asunder. Your consummation is an eternal binding. It is a glorious mystery not realized by many, and abused by most." ~SCRIBER~
Alfred Kazin|One writes to make a home for oneself, on paper, in time and in others' minds.
Amanda Hodgkinson, 22 Britannia Road|My memories are like a shuffled deck of cards, each one coming up at random.
Mikhail Bulgakov, The Master and Margarita|Why do smart people exist, if not to figure out convoluted problems?
Corey Dale-Gardener|If you simply love the Universe, the Universe can't help but love you straight back!
Margaret Atwood, You are Happy|Kill what you can't savewhat you can't eat throw outwhat you can't throw out buryWhat you can't bury give awaywhat you can't give away you must carry with you,it is always heavier than you thought.
Thomas Fuller|If it were not for hopes, the heart would break.
Sunday Adelaja|For the first time in human history, most people are doing things that could never interest a child enough to want to tag along. That says less about the child than about us.
J.A. Redmerski, The Black Wolf|Can't be loyal to everyone, it's a conflict of interest.
Jill Wolfson, Cold Hands, Warm Heart|I am neither modern nor ancient - just contemporary, as every Guru was. If one is not relevant for today, what is the point?
Francis Galton|So, yeah, insane people give me hope. Courage to go on being sane and alive, always with the cure at hand, should I ever tire and need it: madness.
Eugene H. Peterson, Eat This Book: A Conversation in the Art of Spiritual Reading|But sooner or later we find that not everything is to our liking in this book. It starts out sweet to our taste; and then we find it doesn't sit well with us at all, it becomes bitter in our stomachs. Finding ourselves in this book is most pleasant, flattering even, and then we find that the book is not written to flatter us, but to involve us in a reality, God's reality, that doesn't cater to our fantasies of ourselves.
Seth Dickinson, The Traitor Baru Cormorant|Before We BeginIs Your Bug A nice clean original car that looks almost like itleft the showroom yesterday?P.S. All work should be carried out in consultation with a reliable workshop manual with regard to torque settings, gaps, procedures, sequences disassembly, reassembly, where to hide the leftover parts, etc. I will accept no responsibility for anything resulting fromyou or anybody else trying anything as described in this document whatsoever – but if it works or you end up with some amusing stories to tell someone else’s grandchildren, please feel free to drop me a line. (No death threats please.)Sincerely,Christina Engela
Laura Miller, The Magician's Book: A Skeptic's Adventures in Narnia|There is an uncharacteristic radicalism to Lewis’s further suggestion that if we can find “even one reader to whom the cheap little book with its double columns and the lurid daub on its cover had been a lifelong delight, who had read and reread it, who would notice, and object, if a single word were changed, then, however little we could see in it ourselves and however it was despised by our friends and colleagues, we should not dare to put it beyond the pale.
Albert Einstein|One must divide one's time between politics and equations. But our equations are much more important to me, because politics is for the present, while our equations are for eternity.
Eloisa James, When Beauty Tamed the Beast|Neythen looked perplexed. 'My mum always said I'm named after a saint, not an illness.''Which one?''Well he had his head chopped off, see? And then he picked it up and carried it down the road a time. All the way back home, I think.''Messy,' Piers said. 'Not to mention unlikely, though one has to think of chickens and their post-mortal abilities. Did she think that you would inherit the same gift?'Neythen blinked. 'No, my lord.''Perhaps she was just hopeful. It behooves mothers to look ahead to this sort of possibility, after all. I'm tempted to behead you just to see if she was right.Sometimes the most unlikely superstitions turn out to have a basis in fact.
Gayendra Abeywardane, Crocodile Chamber|The money we slaved for, bought information that kept us all trapped inside a chamber of lies and running on a greed wheel.
Daniel Boulud|In a way song writing can almost be detrimental, because suddenly you find an outlet that is a kind of cheating. You don't need to have direct communication. You can say, 'I can't describe it to you, but I will record it and send it to you.'
Bhavik Sarkhedi|[D]oubt, the principle of theoretic freedom, appears to me a crime. … [T]he highest crime is doubt in God, or the doubt that God exists. … [T]hat which I do not trust myself to doubt, … without feeling disturbed in my soul, without incurring guilt; that is no matter of theory, but a matter of conscience[.]
Idries Shah, The Dermis Probe|Patience is bitter, but bears a sweet fruit.
Marilynne Robinson|...when we condescend, when we act consistently with a sense of the character of people in general which demeans them, we impoverish them AND ourselves, and preclude our having a part in the creation of the highest wealth, the testimony to the mysterious beauty of life we all value in psalms and tragedies and epics and meditations, in short stories and novels.
Lynn Kelling, Bound By Lies| 'I'm not that easy to get rid of,' Andre retorts. 'As you know well. What state are you in? Besides confusion.' 
Jean-Jacques Rousseau|Everything is good as it comes from the hands of the Maker of the world, but degenerates once it gets into the hands of man
Mehmet Murat ildan|if you fix a bug, sometimes there’s no guarantee won't bring up another bug
B.F. Skinner, Walden Two|Society attacks early, when the individual is helpless. It enslaves him almost before he has tasted freedom. The 'ologies' will tell you how its done Theology calls it building a conscience or developing a spirit of selflessness. Psychology calls it the growth of the superego.Considering how long society has been at it, you'd expect a better job. But the campaigns have been badly planned and the victory has never been secured.
Robert E. Howard|I am a vampire, and that is the truth.
Marilyn Monroe, Marilyn: Her Life in Her Own Words|just because you fail once, it doesn't mean you're going to fail at everything. keep trying, hold on, and always, always, always believe in yourself because if you don't, then who will? so keep your head high, keep your chin up, and most importantly, keep smiling because life's a beautiful thing and there's so much to smile about.
Jonathan Brownlee|A coach once told me there are four factors that determine a players' performance: his tactical awareness, his physical condition, his technical ability and his mental strength.
Marcel Proust, Time Regained|Real life, life finally uncovered and clarified, the only life in consequence lived to the full, is literature. Life in this sense dwells within all ordinary people as much as the artist. But they do not see it because they are not trying to shed light on it.
Danielle Pierre|Don't seek love externally, it's fleeting. Go beyond the ego and awaken thelove that already exists within; it will encompass everyone andeverything in your life; it will permeate your very being.
Elif Shafak, The Forty Rules of Love|The irony of lifeIs our greatest fear is to forget,Yet it's the only certain fateThat anything has ever met.We know one day our earthWill find itself victim to time,That nothing will be leftTo tell of your story or mine,And still through life we rushScrambling for something to remember,Perish the thought that ash be ashAnd not the memory of an ember.
Sunday Adelaja|Mental understanding cannot change our life, unless it becomes real understanding.
Jettie Necole, Ruby|He found her utterly fascinating, a nameless, homeless, naked vampire, sleeping away the day in his bed, wanted by state and federal police.
Henry David Thoreau, Walden|When we are unhurried and wise, we perceive that only great and worthy things have any permanent and absolute existence, that petty fears and petty pleasures are but the shadow of the reality.
Pablo Picasso|Dawn and sunset are the times when Nature herself is unstable and in flux. The nocturnal world and the daytime world are meeting, and for a brief time coexisting. It's not a neat hard cut, but a blurred, irregular dissolve. These moments are the seams in existence through which we can get a glimpse of the deeper, fundamentally random, chance workings of a system in which we are only a small, insignificant player.
Yann Martel, The Facts Behind the Helsinki Roccamatios|How does one say in the jargon of musicology that my sould was pulled out of me and thrown up in the air, to be tossed about by the music. How does one say that I breathed, that I existed, in harmony with the ups and downs of those notes. What kind of notes both elevate and cast down, exalt and crush?
Augustine of Hippo, Expositions on the Book of Psalms: Psalms I - LXXII|ritual maturity is not defined by how well one applies Biblical principles to “suppress sin”. If you are capable of suppressing your sins or managing them, you would have no need for a Redeemer.
Frédéric Bastiat, The Law|Of all the numerous forms that governments have taken over the centuries, of all the concepts and institutions that have been tried, none has succeeded in keeping the State in check.
Debasish Mridha|Happiness is not found in serenity, tranquility or surrealism. It is found in harmony of thoughts, actions, and reality.
Megan Fox|When I was little, my mom tells me, I used to say things like, 'Mom do you hear the string section? Do you hear the string section?' And she would look at me and say, 'No honey, I don't know what you're talking about.'
Anna Sands, Falling For Therapy: Psychotherapy From A Client's Point Of View|There is a difference between what I actually want and what I want to have fantasies about. (...) There is a part of my imagination which is a playground, a playground in which I am queen. It fulfils my need to have a fantasy land, and that need may be born of creativity as well as lack or repression. Our fantasies are about exploration and experimentation and the power of the imagination. Looked at intelligently, they can reveal a great deal. But there is a difference between fantasising and thinking about our hopes for the future.
Tiara Tanishq Abraham 7yearold college prodigies|What if it were possible or even entertaining, to recreate and transform one of the old myths and infuse it with a different meaning?...Imagine being guided by your mythology that it is better to thrive and prosper, than just to survive.
Lucas Scott|It was a comet. The boy saw the comet and he felt as though his life had meaning. And when it went away, he waited his entire life for it to come back to him. It was more than just a comet because of what it brought to his life: direction, beauty, meaning. There are many who couldn't understand, and sometimes he walked among them. But even in his darkest hours, he knew in his heart that someday it would return to him, and his world would be whole again... And his belief in God and love and art would be re-awakened in his heart. The boy saw the comet and suddenly his life had meaning.
Dada Bhagwan|Where there is anger-pride-deceit-greed [kashay], there is fire, and as long as there is fire, there will be scorching pain of the furnace.
Joyce Meyer|I have so many indie bands on my iPod. What I don't really understand is the attitude that if a band is unknown, they're good, and if they get fans, then you move on to the next band.
Lailah Gifty Akita|With God, everything will work for my good.
Sally Mann|The history of soccer is a sad voyage from beauty to duty. When the sport became an industry, the beauty that blossoms from the joy of play got torn out by its very roots.
Will Smith|And at a relatively early age, ten or so, I invested my first share of stock. And I used to follow, look at companies and so forth. But throughout the whole period, and indeed right through my college years, while I was involved in the stock market, always interested in finance, I never thought of it as a full-time job.
Heraclitus of Ephesus, Heraclitus of Ephesus: The Fragments of the Work of Heraclitus of Ephesus on Nature and Heracliti Ephesii Reliquiae|Now, Mr. Antonio. I understand that there are people who are close to you who want me dead.”“No, mija. They don’t want you dead.”“Then explain this.” I handed him the picture.He chuckled again.“No, they don’t want you dead. That would be too easy. They want revenge.”Cold sweat broke out all over me, but I kept my face calm. I looked at him straight in the eye.“Well, then they are going to be quite disappointed, aren’t they?” I flashed my teeth at him.“Senorita, you might want to warn Senor Smith, you see, my nephew he doesn’t like to share, and if he sees another man after you, he’ll get very, eh, aggressive.” The silver fox looked at me and winked.“Oh, he won’t have to worry.” I said as I was walking out the door. “I doubt he will be alive long enough to know Agent Smith.”Then I slammed the door.
Job 12:7-10|Tragically, some people believe they are going to heaven when they die just because a few drops of water were sprinkled over their heads a few weeks after their birth. They have no personal faith, have never made a personal decision, and are banking on a hollow ceremony to save them. How absurd.
Sonia Rumzi|Literature can stop my heart and execute me for a moment, allow me to become someone else.
Daniel Smith, Monkey Mind: A Memoir of Anxiety|The problem of anxiety isn't that the organism responds to threats by near-instantly powering up. That's clearly a good thing, species-survival-wise. It's that sometimes the organism starts seeing threats too readily.
Frances O'Grady|Walking at random through the streets, we came by chance upon the Cathedral of Notre Dame. I shall long remember my first impression of the scene within. The lofty gothic ceiling arched far above my head and through the stained windows the light came but dimly - it was all still, solemn and religious.
Lailah Gifty Akita|If you listen to music every day, you will be happy.
Jackson Lanzing, Joyride Vol. 2|Belle, go. If I was your age, I wouldn't have hesitated for a moment. You will always come back here, and I will always be here. And we will have those talks we need. Everyone should have a journey - and everyone should also have a home, too. Go out into the world for adventure, come home for love.
Pushkar Saraf|You can never clear a thought from someone's mind, which is incepted by a external cause. thy you know the truth, let it pass patience and self realization is the key to clearance.
Jodi Linton, Pretty Shameless|Have you checked your ass out lately? It’s pretty dang distracting, darling.” ~ Gunner Wilson
Lailah Gifty Akita|As I explored my soul, now I know I have survived schizophrenia; hearing voices, reduced social engagement, emotional expression and lack of motivation.
Debasish Mridha|Wealth is a byproduct of positive, wealth-oriented thoughts.
G.K. Chesterton, A Chesterton calendar|The object of a New Year is not that we should have a new year. It is that we should have a new soul and a new nose; new feet, a new backbone, new ears, and new eyes.
Kate Bolick|Whom to marry, and when will it happen—these two questions define every woman’s existence, regardless of where she was raised or what religion she does or doesn’t practice. She may grow up to love women instead of men, or to decide she simply doesn’t believe in marriage. No matter. These dual contingencies govern her until they’re answered, even if the answers are nobody and never.
Sherrilyn Kenyon, Dragonbane|In the tunnel where I was raped, a tunnel that was once an underground entry to an amphitheater, a place where actors burst forth from underneath the seats of a crowd, a girl had been murdered and dismembered. I was told this story by the police. In comparison, they said, I was lucky.
Asim kayani|If in doubt,trust your instincts because either you are right or lack the bite to fix it right.
Pamela Freeman, Blood Ties|One of the reasons I love Murder is that victims are, as a general rule, dead... I don't make a habit of sharing this, in case people take me fore a sicko or- worse-a wimp, but give me a dead child, any day, over a child sobbing his heart out while you make him tell you what the bad man did next. Dead victims don't show up outside HQ to beg for answers, you never have to nudge them into reliving every hideous moment, and you never have to worry, and you never have to worry about what it'll do to their lives if you fuck up. They stay put in the morgue, light-years beyond anything I can do right or wrong, and leave me free to focus on the people who sent them there.
Thomas Sowell|Despite a voluminous and often fervent literature on "income distribution," the cold fact is that most income is not distributed: It is earned.
Felicity Jones|Everybody knows about Peter Jackson, 'The Hobbit' movies and 'The Lord of the Rings' films being made in New Zealand, and to actually have been part of it for such a long period, to live there and to have friends that I will have for life because of that experience, is an amazing thing.
Jon Katz, The Dogs of Bedlam Farm: An Adventure with Sixteen Sheep, Three Dogs, Two Donkeys, and Me|My closest friend at this time was my tiny pet dog - it was one of the cute little breeds that people in other countries put frocks on. I wouldn't have been allowed to do that, because putting clothes on dogs was a well-known example of capitalist degeneracy.
Garry Fitchett, Life Is a Bicycle: A Living Philosophy to Finding Your Authenticity|Given that the Taliban is a Pashtun movement, the tendency of the Pashtun man to emphasize his individuality through disagreement rather than agreement will come to the fore after the disappearance of the already 'loose' authority of Mullah Omar.
Gary   Hopkins|Sometimes we fall into the negative so deeply that we do not realize our first instinctive reaction to everything is to think negatively or to "look" for the bad in every situation. The phrase "too good to be true" directly comes from this aspect of ourselves. To be cautious can be good in certain situations, but to dismiss every interaction or idea to the possibility of "bad things happening" puts us in a place where the beautiful or the divine never gets a chance to fully blossom. Mind your thoughts carefully, as you are the only one who can allow happiness to thrive in your life
Queen Elizabeth II|Religious beliefs evolved by group-selection, tribe competing against tribe, and the illogic of religions is not a weakness but their essential strength.
Susan Weitzman, Not To People Like Us: Hidden Abuse In Upscale Marriages|When others witness or comment on abusive behaviors, the little voice that the upscale abused wife once heard inside her and ignored or muffled becomes amplified. Slowly she starts to recognize that she must stop enduring the abuse. . . . each woman comes to grips with her situation at her own pace. However, talking to others is key to her growing capacity to recognize and label her experiences, reclaim herself, target important turning points, and ultimately leave her tormentor.
Roman Reigns|Now, you lose something in your life, or you come into a conflict, and there's gonna come a time that you're gonna know: There was a reason for that. And at the end of your life, all the things you thought were periods, they turn out to be commas. There was never a full stop in any of it.
Alan Watts|A rare experience of a moment at daybreak, when something in nature seems to reveal all consciousness, cannot be explained at noon. Yet it is part of the day's unity.
Anya Wylde, Penelope|Can I have my ear back?" He asked irritably.She blinked."Mother, can you tell this creature here to loosen her hold?
Ursula K. Le Guin, The Left Hand of Darkness|The unknown," said Faxe's soft voice in the forest, "the unforetold, the unproven, that is what life is based on. Ignorance is the ground of thought. Unproof is the ground of action. If it were proven that there is no God there would be no religion. No Handdara, no Yomesh, no hearthgods, nothing. But also if it were proven that there is a God, there would be no religion. ... Tell me, Genry, what is known? What is sure, unpredictable, inevitable -- the one certain thing you know concerning your future, and mine?"That we shall die."Yes, There's really only one question that can be answered, Genry, and we already know the answer. ... The only thing that makes life possible is permanent, intolerable uncertainty: not knowing what comes next.
Margaret Atwood, The Handmaid's Tale|What’s left of what your body was —once the girl with bare shoulder blades , giggling, once the girl galloping an imaginary horse, once the girl sleeping in her sequined red dress— was now ash in a jar. Grains of bone. But then, I knew it wasn’t you anymore. You were somewhere more.
Kelly Cutrone|If you don't have a well-thought out dream, you can start by figuring out where you want to go. If you cannot see yourself fairly or accurately represented in the community you live (from restaurants to department stores to clothing choices to conversations at the dinner table) and nothing there makes you feel awake or alive, I suggest you start doing some research on some other communities.
Franz Kafka, Letters to Felice‎|I have no memory for things I have learned, nor things I have read, nor things experienced or heard, neither for people nor events; I feel that I have experienced nothing, learned nothing, that I actually know less than the average schoolboy, and that what I do know is superficial, and that every second question is beyond me. I am incapable of thinking deliberately; my thoughts run into a wall. I can grasp the essence of things in isolation, but I am quite incapable of coherent, unbroken thinking. I can’t even tell a story properly; in fact, I can scarcely talk.
Kevin Rudd|Optimists are usually wrong. But all the great change in history, positive change, was done by optimists.
Dada Bhagwan|When you give decision that the guilty is not guilty, only then will the guilty become not guilty.
Shannon L. Alder|But here is the thing about the stars and all of it's faults: We don't understand everything about it, but we still love it's beauty and wonder. We know of all the dangers, but we would still go there just because we wanted to touch the stars.
Neal Asher, The Departure|One day it's the ringing of the bells and the casting down of the evil tyrant, and the next it's everyone sitting around complaining that ever since the tyrant was overthrown no one's been taking out the trash.
Marilynne Robinson, Gilead|You idiot!" She spat, flattening her ears. "What are you doing in my territory?""Drowning?" Replied Graystripe. "Can't you do that in your own territory?" "Ah, but who would rescue me there?
Onyi Anyado|Creativity is the new currency, so, are you credited with new thoughts or overdrawn in old thinking?
Rosalie De Rosset, Unseduced and Unshaken: The Place of Dignity in a Woman's Choices|You can't tell the audience — well, you can, but I don't like to tell the audience — that anything they're watching doesn't matter.
Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|My next fight would not be measured in rounds, but throughout a lifetime. It would sustain and fulfill me longer than anything in the cage could. My opponent, my fight, would be against the slipping aspects of American society.
Matisyahu|I can be a binger when it comes to information, but most of the time, I'm pretty good, and I try to focus on my own life and personal communication.
S. Foster|We are not entitled to ALL of anything, not even ourselves... and rightfully so.
Ntambara Sylvestre Owen Berbason|Since i was born, i have realized that; all things that people do in this world are mostly based on the lies of their grand grand parents.
Miguel Ruiz, The Four Agreements: A Practical Guide to Personal Freedom|If you live in a past dream, you don't enjoy what is happening right now because you will always wish it to be different than it is. There is no time to miss anyone or anything because you are alive. Not enjoying what is happening right now is living in the past and being only half alive. This leads to self pity, suffering and tears.
Maria Goeppert Mayer|Mathematics began to seem too much like puzzle solving. Physics is puzzle solving, too, but of puzzles created by nature, not by the mind of man.
Gregory Maguire, Son of a Witch|Help her," Peter pleaded. "Do something. You have ways. Your potions. Your medicines. Do something.
Katherine Reay, Dear Mr. Knightley|All I am saying is that when you really, really like someone, when you feel like they’re the only person you want to see at the end of a long day, when you’ve really gotten to know them and you feel like they’ve gotten to know you, ask them. When you’re no longer interested in pursuing other relationships and other people, or when you’re ready to focus your attention on one person, or when you feel like you can’t stop smiling because this person sparked something within you, ask.
Siddhartha Mukherjee|My husband and I have known each other since kindergarten. I had a crush on him in school, but we never dated. Then we saw each other again after high school, and there was something instantly familiar about him. I'm a very shy person and was very closed off. But he allowed me to be myself. And there's a safety in that.
Jennifer Skiff, The Divinity of Dogs: True Stories of Miracles Inspired by Man's Best Friend|I wanted to create a voyage to the moon just for her, but what Ishould have given her was a real journey on earth.
Howard Jacobson|You know, I always was an early morning or late night writer. Early morning was my favorite; late night was because you had a deadline. And at four in the morning you make up some of your most absurd jokes.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|Without hope, I wouldn’t even try. Hope lifts me to consider new possibilities so I can stay the course of my desire, no matter what.
Elizabeth Wasserman|The feminism of equality, of toughness, of anti-discrimination, has been overwhelmed by one of victimhood and demands for special treatment....At a certain point, when we demand an equal ratio of men to women in certain fields, what we’re criticizing is not “the system,” but the choices that women themselves are making.....let’s keep our eye on the question of equal opportunity and stop obsessing about equal outcomes, lest we find ourselves trying to cure society, not of sexism, but of free choice.
Donald Hall|The Victorian language of flowers began with the publication of 'Le Language des Fleurs,' written by Charlotte de Latour and printed in Paris in 1819. To create the book - which was a list of flowers and their meanings - de Latour gathered references to flower symbolism throughout poetry, ancient mythology, and even medicine.
Gabriel García Márquez, Love in the Time of Cholera|What Uncle Leo XIII never suspected was that his nephew's courage did not come from the need to survive or from a brute indifference inherited from his father, but from a driving need for love, which no obstacle in this world or the next would ever break.
