Gautama Buddha|If you do not change direction, you may end up where you are heading
Siri Hustvedt, The Summer Without Men|We are all dying one by one. We all smell of mortality, and we can't wash it off.
Dan Pearce, Single Dad Laughing|I enjoy a torture session on the rowing machine and I also enjoy my mom’s homemade peach cobbler. I enjoy flopping like that dead fish with hips that can’t lie in dance class, and I also enjoy ordering pizza with my kid, renting a movie, and downing popcorn while we share some special time together. I enjoy seeing how much I can lift at the gym and I also enjoy stuffing a fresh chewy chocolate chip cookie into my face when I’m having a hard day.
Jay Woodman|The issue is not what you may be facing, rather your interpretation of it. Always think in a positive light to create a better world for yourself and others.
Dinesh Kumar Radhakrishnan|Be happy by forgiving or forgetting or doing both, but we can gain no happiness by holding grudges.
Seneca, Natural Questions|The time will come when diligent research over long periods will bring to light things which now lie hidden. A single lifetime, even though entirely devoted to the sky, would not be enough for the investigation of so vast a subject... And so this knowledge will be unfolded only through long successive ages. There will come a time when our descendants will be amazed that we did not know things that are so plain to them... Many discoveries are reserved for ages still to come, when memory of us will have been effaced.
Georges Perec|You can do without sleep or without food, but not without both and sleep wasn't an option.
Christine de Pizan, The Treasure of the City of Ladies|Ah, child and youth, if you knew the bliss which resides in the taste of knowledge, and the evil and ugliness that lies in ignorance, how well you are advised to not complain of the pain and labor of learning.
Thomas Cardin, Regression|So that left me. To save my hatchlings and my underground, even if I couldn't be there anymore.
Mokokoma Mokhonoana|Like alcohol and poverty, a heartbreak has the power to make a man do something he wouldn’t normally do and to make a woman do someone she wouldn’t normally do.
K.I. Hope, We Are Making the World a Better Place|There were things hiding inside of her I wasn’t equipped to see and this collapse ripped her open to me. I searched her cavities for symbols that would betray her true nature, but found nothing I could read, just a vast absence containing her poverty of morals. I should’ve known, the need for my presence in her life was never love, only a sluice of goodness she would let flood the gulley of her body when she needed to appear human.
Roma Tearne, Mosquito|There was nothing particularly striking about them except that they were artists of the kind that talk. Everyone knows of the talking artists. Throughout all of the known history of the world they have gathered in rooms and talked. They talk of art and are passionately, almost feverishly, in earnest about it. They think it matters much more than it does.
|In every endeavor, you owe it to yourself to always push until the door of opportunity of opens.
Seth Grahame-Smith, How to Survive a Horror Movie|I really, really need some help and advice. I'm scared... I'm scared of my own home, of my own daughter!
Lemony Snicket, Who Could That Be at This Hour?|What most people want to keep under wraps (from reporters) is trivial: petty jealousies, professional feuds, etc. By contrast, most of the things they have thought about most seriously all their lives they are perfectly winning to uncover.
Ian Fleming, For Your Eyes Only|I think it's the same with all the relationships between a man and a woman. They can survive anything so long as some kind of basic humanity exists between the two people. When all kindness has gone, when one person obviously and sincerely doesn't care if the other is alive or dead, then it's just no good.-- from Quantum of Solace
Elizabeth Banks|I'd want it to be really special to both of us, but I'm a huge fan of 'At Last' as a wedding song. But what's also really cool is songs that no one else would have at their wedding, like an obscure Radiohead song.
H.W. Charles, The Money Code: Become a Millionaire With the Ancient Jewish Code|Although some popular religious texts such as the New Testament, Quran, Bhagavad Gita, Tao Te Ching, or Tibetan Book of the Dead contain interesting insights and stories, it is the Jewish religious texts such as the Old Testament (Hebrew Scriptures) that contain valuable information on acquiring wealth.
Michelle O'Leary, The Huntress|Uh-oh, big boy. Your blood is in the water and the sharks are circling. Must be feeding time."--Mea Brin, The Huntress
Ronald Peret|Your thoughts have the power to control; our being, our emotions, and the way we view the world that surrounds us. If you don't constantly re-think what you think of on a daily basis, how do you ever expect to evolve into a being of; wisdom, truth, understanding, love, and above all, to be there for others?
Jonathan Sacks|We know – it has been measured in many experiments – that children with strong impulse control grow to be better adjusted, more dependable, achieve higher grades in school and college and have more success in their careers than others. Success depends on the ability to delay gratification, which is precisely what a consumerist culture undermines. At every stage, the emphasis is on the instant gratification of instinct. In the words of the pop group Queen, “I want it all and I want it now.” A whole culture is being infantilised.
Simon Sheppard, Homosex: Sixty Years of Gay Erotica|... it nevertheless powerfully conveys the Arcadian dream of a great, cross- cultural brotherhood of buttsex, a pioneer porntopia where sodomy reigns supreme and there is no poison oak.
Anonymous, Holy Bible: King James Version|One thing I ask of the LORD, this is what I seek: that I may dwell in the house of the LORD all the days of my life, to gaze upon the beauty of the LORD and to seek him in his temple.
Friedrich Nietzsche|I do not pretend to understand the moral universe; the arc is a long one, my eye reaches but little ways; I cannot calculate the curve and complete the figure by the experience of sight, I can divine it by conscience. And from what I see I am sure it bends towards justice.
Hunter S. Thompson, Kingdom of Fear: Loathsome Secrets of a Star-Crossed Child in the Final Days of the American Century|I suspect that a greater and more insidious influence [than violence in movies] may lie in what they tell us about being in love, and how to conduct ourselves while in that condition.
Margaret Atwood|Some of these stories, it is understood, are not to be passed on to my father, because they would upset him. It is well known that women can deal with this sort of thing better than men can. Men are not to be told anything they might find too painful; the secret depths of human nature, the sordid physicalities, might overwhelm or damage them. For instance, men often faint at the sight of their own blood, to which they are not accustomed. For this reason you should never stand behind one in the line at the Red Cross donor clinic. Men, for some mysterious reason, find life more difficult than women do. (My mother believes this, despite the female bodies, trapped, diseased, disappearing, or abandoned, that litter her stories.) Men must be allowed to play in the sandbox of their choice, as happily as they can, without disturbance; otherwise they get cranky and won't eat their dinners. There are all kinds of things that men are simply not equipped to understand, so why expect it of them? Not everyone shares this believe about men; nonetheless, it has its uses.
Charles Hash, Nascent Decay|It was one thing to talk about ghosts, quite another to have them messing around with things in the physical world.
John Piper|In other words, all the highest aims of language are decisively the work of God. They are decisively supernatural. And no amount of poetic effort or expertise in the use of words can bring about the great aims of life if God withholds his saving power.
Delaine Robins|If the true God is not allowed to lead our lives society will continue to immerse itself into bad decision, poor planning and selfishness on all levels. This will lead to a world-wide revolution that will fuel more meaningless wars, injustice, horrific crimes, lost of life and what really matters the most, hope for the future. A love that could warms hearts. A trust that would never betray a brother or a friend. A peace that the world has never seen.
John Geddes, A Familiar Rain|The one surefire way to get me not to hire you is to send me your resume, especially if you've already got a good job. I won't be interested, because in a couple years, you'll be doing the same thing to me that you're doing to your current boss: looking for a better deal.
Dave Pelzer|Don't dwell on what went wrong. Instead, focus on what to do next. Spend your energies on moving forward toward finding the answer.
Robin Sacredfire|Write until it becomes as natural as breathing, write until not writing makes you anxious.
Deyth Banger|Hey, slow down... please speak clearly and understandable on the topic what happen!
Clare B. Dunkle, Close Kin|There is, incidentally, no way of talking about cats that enables one to come off as a sane person.
Jane Campion|And, I mean, I think poetry does need to be met to some extent, especially, I guess, 19th century poetry, and for me, it's just been so worth the effort. It's like I'm planting a garden in my head.
Bob Marley|The man’s rights and the woman’s rights are the same size. They have the right to have their opinions and desires respected, to have a 50 percent say in decision making, to live free from verbal abuse and physical harm. Their children’s rights are somewhat smaller but substantial nonetheless; children can’t have an equal say in decisions because of their limited knowledge and experience, but they do have the right to live free from abuse and fear, to be treated with respect, and to have their voices heard on all issues that concern them.
Rob Bell|If the gospel isn't good news for everybody, then it isn't good news for anybody. And this is because the most powerful things happen when the church surrenders its desire to convert people and convince them to join. It is when the church gives itself away in radical acts of service and compassion, expecting nothing in return, that the way of Jesus is most vividly put on display. To do this, the church must stop thinking about everybody primarily in categories of in or out, saved or not, believer or nonbeliever. Besides the fact that these terms are offensive to those who are the "un" and "non", they work against Jesus' teachings about how we are to treat each other. Jesus commanded us to love our neighbor, and our neighbor can be anybody. We are all created in the image of God, and we are all sacred, valuable creations of God. Everybody matters. To treat people differently based on who believes what is to fail to respect the image of God in everyone. As the book of James says, "God shows no favoritism." So we don't either.
Caitlin Moran, How to Build a Girl|I run my hands through his hair, finally, finally, finally, then bring his head to mine and kiss him so hard our teeth collide, planets collide, kissing him now for each and every time we didn't all summer long. I know absolutely how to kiss him too, how to make his whole body tremble just from biting his lip, how to make his whole body tremble just from biting his lip, how to make him moan right inside my mouth by whispering his name, how to make his head fall back, his spine arch, how to make him groan through his teeth.
Timothy J. Keller, The Reason for God: Belief in an Age of Skepticism|...the basic premise of religion—that if you live a good life, things will go well for you—is wrong. Jesus was the most morally upright person who ever lived, yet he had a life filled with the experience of poverty, rejection, injustice, and even torture.
Joseph Campbell, The Hero's Journey: Joseph Campbell on His Life & Work|The ego is as you think of yourself. You in relation to all the commitments of your life, as you understand them. The self is the whole range of possibilities that you've never even thought of. And you're stuck with you're past when you're stuck with the ego. Because if all you know about yourself is what you found out about yourself, well, that already happened. The self is a whole field of potentialities to come through.
Mehmet Murat ildan|If you want water, do not go to desert...
Cormac McCarthy, Blood Meridian, or the Evening Redness in the West|Here was one room; there another. Did religion solve that, or love?
Debasish Mridha|Richness does not exist in being wealthy, richness exists in having abundance in life.
Jalaluddin Rumi, Hush, Don't Say Anything to God: Passionate Poems of Rumi|Do you know what you are?You are a manuscript oƒ a divine letter.You are a mirror reflecting a noble face. This universe is not outside of you. Look inside yourself;everything that you want, you are already that.
Frederick William Robertson|When I am able to resist the temptation to judge others, I can see them as teachers of forgiveness in my life, reminding me that I can only have peace of mind when I forgive rather than judge.
Colm Toibin|I travel a lot, and that makes it harder to date, but it also opens up opportunities for me to meet people where I wouldn't normally meet them.
John Pipkin, The Blind Astronomer's Daughter|...but at night when he turns the awkward [telescope] skyward, he catches his breath at the clarity of the image and the vast populations of stars unknown to him until then, the riotous glittering in the dark crevices between constellations, a convocation of bright spirits waiting to be found.
Debasish Mridha|Our success depends on goal-oriented, focused actions, not on distractions.
Ben Simmons|Strengthen me by sympathizing with my strength, not my weakness.
Chloe Thurlow, Sophie's Secret|To understand women who look both ways requires hearing their stories, not just noting the sex of their current partner. And when you listen closely, it's apparent these women have learned something crucial in these relationships.
Christopher Babson, Breakout Presentations: Wow! People in Business and Life|It is not the size of a person in the fight, but the size of the fight in a person is what determines victory.
Siri Hustvedt, The Summer Without Men|Not telling is just as interesting as telling I have found. Why speech, that short verbal journey from inside to outside can be excrutiating under certain circumstances is fascinating.
Ruth Reichl|That's what I like so much about libraries, they smell the way we would like to imagine the past.
Ray Bradbury, Fahrenheit 451|And no matter what anybody says, I don't believe all this trouble started when women got the vote. As far as I'm concerned, it goddamn well got started when you taught each other how to read.
Julius Erving|I want to have fun. It's a beautiful life. You learn, you win, you lose, but you get up.
Charles Haddon Spurgeon|Being present, whether with children, with friends, or even with oneself, is hard work. But isn't this attentiveness -- the feeling that someone is trying to think about us -- something we want more than praise?
Fletcher Pratt, Tales From Gavagan's Bar|For most people, language is our primary interface with each other and with the external world.
Bill Jensen, Future Strong|To be future strong, you will face difficult hardships. Usually, there is no absolutely right or absolutely wrong choice. The key is to be intentional: Choosing the best hardships for your best future.
Anne Fortier, The Lost Sisterhood|Yea, he who is a true king of men, will not say to himself, 'Lo! I am worthy to be crowned with laurels;' but rather will he say to himself, 'What more is there that I may do to make the world the better because of my endeavors?
Shannon Hale, Enna Burning|I'm a terrible prince. I should put my kingdom first and everything else second, but your first. I want you by my side every second, but I know I would crumble if I lost you.
Elbert Hubbard|The loving parts of your personality have no trouble loving. That is all they do. You experience the loving parts of as gratitude, appreciation, caring, patience, contentment and awe of life.
Suzette Boon, Coping with Trauma-Related Dissociation: Skills Training for Patients and Therapists|Our inner experience is that which we think, feel, remember, perceive, sense, decide, plan and predict. These experiences are actually mental actions, or mental activity (Van der Hart et al., 2006). Mental activity, in which we engage all the time, may or may not be accompanied by behavioral actions. It is essential that you become aware of, learn to tolerate and regulate, and even change major mental actions that affect your current life, such as negative beliefs, and feelings or reactions to the past the interfere with the present. However, it is impossible to change inner experiences if you are avoiding them because you are afraid, ashamed or disgusted by them. Serious avoidance of you inner experiences is called experiential avoidance (Hayes, Wilson, Gifford, & Follettte, 1996), or the phobia of inner experience (Steele, Van der Hart, & Nijenhuis, 2005; Van der Hart et al., 2006).
Kiera Cass, The Siren|It was a kiss that had sneaked in through an open window, a kiss that lay folded in a paper giraffe, in the silences between 5, 4, 3, 2, 1, in the pits of the mini mangoes and here, now, at least, it was set free. And the rightness of it, the feeling of longing and belonging, made me want to hold on to it forever. I wanted Damian to keep kissing me, keep kissing, keep kissing, until every other kiss had been erased, until this was the only kiss.
Pearl Zhu, Digitizing Boardroom: The Multifaceted Aspects of Digital Ready Boards|Digital leadership must be extremely visionary, mindful, creative, empathetic, generous, conscious, passionate, and humble.
P.G. Wodehouse, My Man Jeeves|How could I not fall in love with him," she asked. And on the tail end of her words, her bedroom door flew open and closed just as fast.Jen bent over, panting heavily as she looked up at Sally."Hey Sally girl. Who we falling in love with?" Jen asked breathlessly."Jen, what's wrong?" Sally paused and then decided on a better question. "What have you done now?"Jen stood up and took two deep breaths. Seeming to have regained her wind, she spoke quickly."First off, I've changed my mind. I don't want you to name your first born after me."Sally interrupted. "Thank goodness for that," she muttered."I want you to name your entire freaking litter after me," Jen growled. "Do you know what I've been through?" Jen's arms were flinging around as she glared at Sally. "I did that little strip tease to try and keep things from escalating with the rest of the pack and Decebel was beyond pissed. I had to sneak out of the gathering room and make a run for it. I've been running through the freaking forest trying to throw him off by changing back and forth so that I could place my clothes that I carried in my freaking muzzle. CARRIED IN MY MUZZLE SALLY! I put them in different places to throw off him off my scent." Jen went over to Sally's window and was trying to judge the danger of using it as an exit.
Frans de Waal|Once you enjoy playing the game too much, you stop looking at the score..!!
Nicholas M. Cuono Sr., This Is His House and These Are His Rules|Humans want answers, answers that compute; this does not compute Will Robinson! This was dialogue between a young boy and a robot from a TV series in the late 1960s. This TV series was a precursor for the new technology humans were about to be introduced to in the late twentieth century.
Harsh Malik|Students should be told, how to think, not what to think.
Amanda McCabe, Running from Scandal|Once upon a long ago time I was a girl with hopeful halos in my eyes—not unlike you—not a typical beauty but beautiful nonetheless, as all young girls tend to be in their prime, even if they don’t tend to know it.
Stacy Snapp-Killian aka StacyK|A present reality, experienced in this life that begins in you, is known as; the kingdom of God.
Haruna Idowu|It is impossible to love someone you do not respect, but there can be mutual attraction without mutual respect.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Life wants you to touch, taste and see the grandeur of the world's unfathomable variety.
Aneurin Bevan, In Place of Fear|Praxeology is a theoretical and systematic, not a historical, science. Its scope is human action as such, irrespective of all environmental, accidental, and individual circumstances of the concrete acts. Its cognition is purely formal and general without reference to the material content and the particular features of the actual case. It aims at knowledge valid for all instances in which the conditions exactly correspond to those implied in its assumptions and inferences. Its statements and propositions are not derived from experience. They are, like those of logic and mathematics, a priori. They are not subject to verification or falsification on the ground of experience and facts.
Kevin W. Reese|Money, food, and sex are overrated. They become attachments that enslave the untrained mind. Freedom has no cravings.” – Kevin W. Reese
Stephen King, Cujo|We'll just have to get along. That's what people do, you know? They just get along. And try to help each other.
Kerrelyn Sparks, How to Marry a Millionaire Vampire|The first time you tried to save people, you were certain of victory?""Yes. In my pride, I knew I could not fail.""Then, in your mind, you were risking nothing. Are you certain of victory tonight?"Roman stared into the darkness of the booth. "No, I am not.""Then why are you risking your life?"Tears filled his eyes. "I cannot bear for them to risk their own. I...love them."The priest took a deep breath. "Then you have your answer. You do this not out of pride, but out of love. And since love comes from the Father, He has not abandoned you."Roman scoffed."You do not understand the magnitude of my sins.""Perhaps you do not understand the magnitude of God's forgiveness.
Saket Assertive|I tried to make my life colorful with basic colors Red, Green and Blue....... ohh god... my perfection in blending made it white !!! now again confused…. should go with :( or :)
Lech Walesa|I'm taking all the negatives in my life, and turning them into a positive.
Carrie Jones, Need|Like, when you kiss him, POW, he gets hit by a bear. Totally not your fault. You shouldn't feel bad about that. It's not your bear.
Thomas Browne, Pseudodoxia Epidemica: Or, Enquiries into Commonly Presumed Truths|All the Navel therefore and conjunctive part we can suppose in Adam, was his dependency on his Maker, and the connexion he must needs have unto heaven, who was the Sonne of God. For holding no dependence on any preceding efficient but God; in the act of his production there may be conceived some connexion, and Adam to have been in a moment all Navel with his Maker. And although from his carnality and corporal existence, the conjunction seemeth no nearer than of causality and effect; yet in his immortall and diviner part he seemed to hold a nearer coherence, and an umbilicality even with God himself. And so indeed although the propriety of this part be found but in some animals, and many species there are which have no Navell at all; yet is there one link and common connexion, one general ligament, and necessary obligation of all whatever unto God. Whereby although they act themselves at distance, and seem to be at loose; yet doe they hold a continuity with their Maker. Which catenation or conserving union when ever his pleasure shall divide, let goe, or separate, they shall fall from their existence, essence, and operations; in brief, they must retire unto their primitive nothing, and shrink into that Chaos again.
Aishabella Sheikh, Entwined|Returning to my dreams was like returning to home after a long time of being away - everything was exactly the same as you left it, except infinitely better.
Michael  Summers, I Had a Dream About You|I had a dream about you last night. We watched pornography together, but purely for the storyline.
Munindra Misra, PT. Kanhaiya Lal Misra - My Father|Man is but lost in wishes, Of wealth, fame and riches, This airy castle he stitches, With logic that are his ditches.
Sereda Aleta Dailey, The Oracle of Poetic Wisdom|Whenever a time arises where clarity is desired, it is always wise to reflect on the sage within.
Mike Pompeo|The freedom to fail is vital if you're going to succeed. Most successful people fail from time to time, and it is a measure of their strength that failure merely propels them into some new attempt at success.
Marcus Aurelius|It is our job, as members of parliament, to legislate with an eye to the long term future, to look over the horizon beyond the next election and ensure that as far as we can what we do today will make Australia a better place, a safer place, for future generations to live in.
Harry Styles|It's the most gratifying thing to have young girls telling me, 'I love that you do a photo shoot in pants and a button up shirt, and you still look cool.'
