John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Jeffrey Fry|Newt shook his head, his face a mixture of anger and awe. “What you did was half brave and half bloody stupid. Seems like you’re pretty good at that.
Isaac Asimov, Robots and Empire|It's just men and ants. There's the ants builds their cities,live their lives, have wars, revolutions, until men want them out of the way, and then they go out of the way. That's what we are now _ just ants.
DaShanne Stokes|If you are a white person who would like to treat black people as equals in every way—who would like to have a set of associations with blacks that are as positive as those that you have with whites—it requires more than a simple commitment to equality. It requires that you change your life so that you are exposed to minorities on a regular basis and become comfortable with them and familiar with the best of their culture, so that when you want to meet, hire, date, or talk with a member of a minority, you aren’t betrayed by your hesitation and discomfort. Taking rapid cognition seriously--acknowledging the incredible power, for good and ill, that first impression play in our lives--requires that we take active steps to manage and control those impressions.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|In the future, there will be no female leaders. There will just be leaders.
Courtney M. Privett, Sand into Glass|I focus on the light I can find, and if I can't find it, I create it.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|It is what you think it is that makes it so, and not necessarily what it really is.
Rafael Vinoly|The show is called 'The Office,' and while it focuses on the people, the architecture of the space is very important.
Cassandra Clare, City of Bones|Rule number one of anime," Simon said. He sat propped up against a pile of pillows at the foot of his bed, a bag of potato chips in one hand and the TV remote in the other. He was wearing a black T-shirt that said I BLOGGED YOUR MOM and a pair of jeans that were ripped in one knee. "Never screw with a blind monk.
Larry David|I first picked up a guitar when I was ten years old; my parents surprised me with it for my tenth birthday. I started taking lessons when I was thirteen, but only for a few months, and then I just kept teaching myself.
Sandeep Sahajpal|Life should NOT be a journey to the grave with the intention of arriving safely in an attractive and well preserved body, but rather to skid in sideways, body thoroughly used up, totally worn out, screaming, “WOO HOO What a Ride!
Dermot Davis, The Younger Man|Extroverts communicate well with others, Introverts communicate well with themselves
Luke Macfarlane|Buildings in modern cities have lost their metaphoric aspect. Much contemporary architecture is very fragmented and busy on the outside. It's like a skin or a skull, but you don't know what's inside.
Bobby Seale|I had often wondered how to best decolonize my people... It must be done one human being at a time. Without that kind of help, Western society does not allow people to come to terms with their feelings. With honesty and therapy, my people can be made whole again.
Jane Seymour|Whenever I went to a wedding or a party, girls kept complaining about their shoes. I love to dance, and I wanted them to have shoes they could keep on all night.
Tim Tharp, The Spectacular Now|Have you ever started to wave at someone and then realized they weren’t really waving at you, so you abort and go for a head scratch instead? That’s how I felt.
Molly Harper, Nice Girls Don't Have Fangs|Before you go,mate,turn on the telly. Something raunchy too. Think I'll rub off one before I go to sleep
Christine Gabriel, Crimson Forest|They say past performance is indicative of future behavior. If there was any truth to that statement, then I knew I had to be careful of the choices I made. My decisions were much more crucial now, as they affected the entire human population. One wrong move, and I could possibly wipe out the world. That was one thing I definitely didn't want on my shoulders.
Kiera Cass, The Selection|No, I’m not choosing him or you. I’m choosing me.
Don Miguel Ruiz|If you like an instrument that sings, play the saxophone. At its best it's like the human voice.
Ramani Durvasula|The fact is, many people do not know how treat themselves and are experts at putting themselves down. In fact, if most of us were in a relationship with ourselves, we would break up with us, given how badly we treat ourselves.
Vee Hoffman|Sobriety had happened at a strange time in my sex life, and maybe I wouldn’t have held onto it had it not been for both of the men involved in the transition. But sobriety made me realize, in lonely moments and long introspective jags, that while sex wasn’t the only thing that I was good at, it was still something I enjoyed. The difference was choosing the people I invited to the playground, so to speak. If Eren had been any less fired up than he was, pushing firmly and slowly into me, watching my face for silent cues while I pushed my head back into the bed, stretching my neck and growling, reacquainting myself with the feeling of being filled, it wouldn’t have been right.But it was right. I’d chosen well. I almost laughed when he was completely inside of me and I got swept up in the truth of the matter, the reasonably overwhelming knowledge that yeah, this was something I might not fuck up. And god, I loved sex. God, I loved not having to feel like I was hiding inside of its fortress.
Michelle Obama|We know from research that growth is actually contagious, so if you want to reach your goals, you've got to get around people that are going in the same direction you want to be going, and you will catch the success.
Carmen Martín Gaite, El cuento de nunca acabar|La rutina no está tanto en las cosas como en nuestra incapacidad para crear a cada momento un vínculo original con ellas, en nuestra tendencia a leerlas por la falsilla de lo rutinario, de lo ya aprendido. Hay que seguir dejando siempre abierta la puerta al cuarto de jugar.
Richard Dawkins, A Devil's Chaplain: Reflections on Hope, Lies, Science, and Love|Even those who do not, or cannot, avail themselves of a scientific education, choose to benefit from the technology that is made possible by the scientific education of others.
J.D. Salinger, Nine Stories|I do not remember asking adults about anything, except as a last resort.
Mark Batterson, In a Pit with a Lion on a Snowy Day: How to Survive and Thrive When Opportunity Roars|Criticism at its best is re-creative, not spirit-killing.
J.K. Rowling|And again Harry understood without having to think. It did not matter about bringing them back, for he was about to join them. He was not really fetching them: They were fetching him.
Terry Goodkind, Soul of the Fire|That is the curse of lying, Sister. Once you place that crown of the liar upon your head, you can take it off again, but it leaves a stain for all time.
Tana French, Broken Harbour|He has a vision of his life as a sliver of soap, worn and used and smoothed into a slender, blunt-edged arrow-head, a little more of it disintegrating with every day.
Kristiane Backer, From MTV to Mecca: How Islam Inspired My Life|You’ve been tested.’ He advised me to try and ‘forgive and pardon, and this way seek to become beloved by God’ without my forgiveness being tied to the one who wronged me. ‘This is the Divine remedy,’ he emphasised, ‘remind your ego when it resists. Don’t you love for God to forgive you on the day, too?’ Reflecting on what the Shaykh said, his advice undid a knot in my heart and I resolved to work on my forgiveness purely for the sake of God. The Shaykh also recommended: ‘Be careful about what you pray for in the future.’ He promised to pray for me personally, asking God to send me a Muslim husband who would value and cherish me for who I am. Insha’ Allah!
Anthony Brandt|Other things may change us, but we start and end with the family.
Ayn Rand|...most of what bein human's about is making choices and payin the bills when they come due. Some of the choices are pretty goddam nasty, but that don't give a person leave to just walk away from em... In a case like that, you just have to make the best choice you can n then pay the price.
Jeffrey Kluger, The Narcissist Next Door: Understanding the Monster in Your Family, in Your Office, in Your Bed--in Your World|Maybe I’ll never be able to figure out what I’m passionate about. But when I choose something, it has to be something that when I wake up it’s the first thing I think about, and it’s also the last thing I think about before I go to sleep. I read about other people and how much they love their jobs—like, how they just want to do it all the time and it doesn’t feel like work because they love it so much. I want that to happen to me.
Isaac Deutscher, The Prophet Armed: Trotsky, 1879-1921|If you end up with the story you started with, you weren't listening along the way.
Romano Guardini, The Lord|It is also said that the sheep heed the Shepherd, because they know his voice. Is it true that men recognize Christ's call and respond to it? In one sense it must be, for he has said so; yet much in me qualifies the statement. Actually I respond much more readily to the call of 'the others'; I neither really understand Christ's summons nor follow it. Therefore, in order that I may hear, he must not only speak, but also open my ears to his voice. Part of me, the profoundest part, listens to it, but superficial, loud contradiction often overpowers it. The opponents with whom God must struggle in order to win us are not primarily ‘the others,’ but ourselves; we bar his way. The wolf who puts the hireling to flight is not only outside; he is also within. We are the arch-enemy of our own salvation, and the Shepherd must fight first of all with us – for us.
Alice McDermott, After This|His eyes went again to the crucifix above his head, reflected in the mirror. The strained arms, the arched spine. All that effort to open the gates of heaven for us and we (he thought) probably spend out first hours among the heavenly hosts settling old scores with relatives.
Margaret Mitchell, Gone with the Wind|The Emperor Napoleon Buonaparte had been banished to the island of Elba. However His Imperial Majesty had some doubts wheter a quiet island life would suit him - he was, after all, accustomed to governing a large proportion of the known world.
Lance Taubold, Ripper: A Love Story|How many of us would ever explore the dark extremities of our own humanity were we not from time to time thrown into them involuntarily? 'Necessity is laid upon me,' wrote the apostle Paul; and mostly it is only of necessity, through the inescapability of life's misfortunes, and not in free discipleship or loving service, that we enter into solidarity with those who suffer and die, often in despair and hope. One there was who set his face toward Jerusalem, a shepherd who of his own accord laid down his life for sheep. For the rest of us, not as volunteers but conscripts, not in freedom but in the chains of accident or sickness, do we make our Easter Saturday graves with the wretched or the wicked.
Kiersten White, And I Darken|So the question becomes, Daughter of the Dragon, what will you sacrifice? What will you let be taken away so that you, too, can have power?
Debasish Mridha|Be a lover, nother else will matter.
Jon Lester|America is a great country. It has a lot of work to do. The bottom line is it's easy to talk; it's easy to have the media pick up on something, and it's hard to have the patience to put something in place you can build on that will make sure each citizen has their equal rights.
Trae Crowder, The Liberal Redneck Manifesto: Draggin' Dixie Outta the Dark|Animal welfarism is a blatant lie. Anyone who truly cares for the welfare of another, would never dream of exploiting them. For just as when slavery is deeply set into the psyche of a nation, those crying for slave welfare and not abolitionism, argue in favour of slavery and exploitation, and thus push eventual abolitionism further into the future.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Sometimes, all it takes to lift the sadness from another is to let them know how much you appreciate them and how grateful you are having them in your life.
Bob Thaves|Sure he was great, but don't forget that Ginger Rogers did everything [Fred Astaire] did, .. backwards and in high h
Ralph Waldo Emerson, Self-Reliance and Other Essays|It is how we respond to loss that matters. That response will largely determine the quality, the direction, and the impact of our lives.
Wangari Maathai|A tree has roots in the soil yet reaches to the sky. It tells us that in order to aspire we need to be grounded and that no matter how high we go it is from our roots that we draw sustenance. It is a reminder to all of us who have had success that we cannot forget where we came from. It signifies that no matter how powerful we become in government or how many awards we receive, our power and strength and our ability to reach our goals depend on the people, those whose work remain unseen, who are the soil out of which we grow, the shoulders on which we stand
Beth Fantaskey, Jessica's Guide to Dating on the Dark Side|I like pink."Lucius sniffed. "It's just red's sorry, weak cousin.
Henry Cloud|No occupation in this world is more trying to soul and body than the care of young children. What patience and wisdom, skill and unlimited love it calls for. God gave the work to mothers and furnished them for it, and they cannot shirk it and be guiltless.
Sun Tzu, The Art of War|Greed is mistaken nobility. Instead of robbing all the pain and hardship from people's lives and rescuing them from danger, greed robs provisions from providers.
Peter Senge|All living beings, not just animals, but plants and microorganisms, perceive. To survive, an organic being must perceive - it must seek, or at least recognize, food and avoid environmental danger.
Danny Gregory, The Creative License: Giving Yourself Permission to Be The Artist You Truly Are|Celebrate your life now, as it unfolds. Turn away from judgement and negative theories about your worth, your potential, and your destiny. See what you already have.
Stephen Hunt, The Court of the Air|Think of them like gods, Janice said, because that’s what they are. The nape of a human neck is especially easy to see through – that’s why they love it when we bow our heads. It doesn’t have anything to do with praying. Prayers bore them.
Elizabeth George, One-Minute Inspirations for Women|Love may start out as a good feeling, but to love someone long-term is an act of the will.
Yo-Yo Ma|Suspense films are often based on communication problems, and that affects all of the plot points. It almost gives it kind of a fable feeling.
Ernest Hemingway, To Have and Have Not|What am I doing here?” she demanded, bewildered.“You’re having dinner,” her little brother said.“Stop it! I’m not hungry. Stop it!”John held the spoon in front of her. His cherubic face was dark with anger. “You said you wouldn’t leave me.”“What are you talking about?” Mary demanded.“You said you wouldn’t do it. You wouldn’t leave me alone,” John said. “But you tried, didn’t you?”“I don’t know what you’re babbling about.” She noticed Astrid then, leaning against a filing cabinet. Astrid looked like she’d been dragged through the middle of a dog fight. Little Pete was sitting cross-legged, rocking back and forth. He was chanting, “Good-bye, Nestor. Good-bye, Nestor.”“Mary, you have an eating disorder,” Astrid said. “The secret is out. So cut the crap.”“Eat,” John ordered, and shoved a spoonful of food in her mouth. None too gently.“Swallow,” John ordered.“Let me—”“Shut up, Mary.
Joel Osteen|Dad was an outstanding leader. He'd bring in top thinkers from a wide array of fields - how to fix the Detroit schools, for example. I watched him in these meetings. He listened and probed.
Annie Barrows, The Guernsey Literary and Potato Peel Pie Society|Walk in kindness toward the Earth and every living being. Without kindness and compassion for all of Mother Nature’s creatures, there can be no true joy; no internal peace, no happiness. Happiness flows from caring for all sentient beings as if they were your own family, because in essence they are. We are all connected to each other and to the Earth.
Alaric Hutchinson, Living Peace|Eventually, it boils down to two choices – do I wish to experience this physical reality primarily through joy or do I want to experience it through suffering? That’s all there is to it. And since each person eventually works their way toward the realization that conscious expansion can happen through joy rather than suffering – enlightenment is a natural byproduct.
Chandrasekharendra Saraswati|People don't realise that to be free means to be firmly attached to a system, that discipline is the road to a higher freedom.
Ernest Agyemang Yeboah|Things go wrong for a purpose. Just know the purpose, and just understand how to distinctively use the purpose for a great purpose!
