Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
Lisa Valdez, Rapunzel|I want you to know that you will not be alone in your loneliness,” he said.Her tear-filled eyes welled over. “You will be surrounded by your court…and all the beautiful ladies there.”Rodrigo shook his head. “I’ve never cared about any of them. I shall be lonely for you. Lonely in the midst of a crowd…surrounded by a hundred faces, none of them yours.” He held Rapunzel’s tearful gaze, and tried to swallow the lump in his throat. But he couldn’t. “And as everything and everyone is spinning around me, I shall be thinking of you and longing to be here…” he brushed the backs of his fingers against her wet cheek, “…here in the tower, with my Rapunzel.
Margaret Weis, Dragons of Autumn Twilight|Tas had been teasing Flint unmercifully all morning, calling him "Seamaster" and "Shipmate" asking him the price of fish, and how much he would charge to Ferry them back across the lake. Flint finally threw a rock at him, and Tennis sent ass down to the lake to scrub out the pans.
Alan Sokal|Thus, by science I mean, first of all, a worldview giving primacy to reason and observation and a methodology aimed at acquiring accurate knowledge of the natural and social world. This methodology is characterized, above all else, by the critical spirit: namely, the commitment to the incessant testing of assertions through observations and/or experiments — the more stringent the tests, the better — and to revising or discarding those theories that fail the test. One corollary of the critical spirit is fallibilism: namely, the understanding that all our empirical knowledge is tentative, incomplete and open to revision in the light of new evidence or cogent new arguments (though, of course, the most well-established aspects of scientific knowledge are unlikely to be discarded entirely).. . . I stress that my use of the term 'science' is not limited to the natural sciences, but includes investigations aimed at acquiring accurate knowledge of factual matters relating to any aspect of the world by using rational empirical methods analogous to those employed in the natural sciences. (Please note the limitation to questions of fact. I intentionally exclude from my purview questions of ethics, aesthetics, ultimate purpose, and so forth.) Thus, 'science' (as I use the term) is routinely practiced not only by physicists, chemists and biologists, but also by historians, detectives, plumbers and indeed all human beings in (some aspects of) our daily lives. (Of course, the fact that we all practice science from time to time does not mean that we all practice it equally well, or that we practice it equally well in all areas of our lives.)
Jessica Valenti, He's a Stud, She's a Slut, and 49 Other Double Standards Every Woman Should Know|My least favorite form of street harassment is when a guy asks why I’m not smiling. It’s related to that: Women aren’t allowed to be quiet or stoic or shy—or, hell, just in a bad mood—without being criticized. Women are bitchy and frigid if we don’t seem accessible at all times, for the most part to men. We’re supposed to be perpetually friendly. Who wants to live up to that? And seriously, when was the last time you heard a quiet woman described as “deep”?Men who are serious are just that—serious. Think laconic cowboys and Clint Eastwood-style movie heroes. Strong and silent is a desirable personality trait for men—women, not so much. Because where silence in men is seen as strength, silence in women (if not seen as bitchy) is seen as weakness—she’s shy, a wallflower.
Robin Williams|If I can, I love staying in pajamas all day and watching movies and eating good food.
Shelley Coriell, Welcome, Caller, This Is Chloe|love is the need of all...but , love needs all...!
John Burnside|I think of it this way: When you hear that people have downloaded your comic, appreciate that thousands are eager to hear what you have to say. The poetry club down the hall may not have the same problem. That's a good problem to have.
Holly Robinson, Sleeping Tigers|Smith, you don't realize it's a privilege to practice giving presents to others.' The way he did it was charming; there was nothing glittery and Christmasy about it, but almost sad, and sometimes his gifts were old beat-up things but they had the charm of usefulness and sadness of his giving.
Herman Melville|Who ain't a slave? Tell me that... I have the satisfaction of knowing that it is all right; that everybody else is one way or other served in much the same way—either in a physical or metaphysical point of view, that is; and so the universal thump is passed round, and all hands should rub each other's shoulder-blades, and be content.
Israelmore Ayivor, The Great Hand Book of Quotes|You will arise, so start by attempting to rise. Don't give space for failure to erect local huts in your land; agree that you are constructing a global edifice there! Think possibility and be hopeful!
Charles Evans Hughes|We cannot be kind to each other here for even an hour. We whisper, and hint, and chuckle and grin at our brother's shame; however you take it we men are a little breed.
Criss Jami, Killosophy|Expiating a sin does not mean doing something opposite to wallow in guilt, but to use that same guilt to achieve full knowledge of the sin. The fault lies more not in having committed certain acts, rather in having carried them out without reaching their intimate knowledge. And this leads to committing a wrong again and again.
Stephen Hawking|Of all the logical impasses, unknowings, paradoxes, and terrors that provoke laughter, death by its finality and unsolvable mystery is paramount.
Andrea Bocelli|Too many Christians have a commitment of convenience. They'll stay faithful as long as it's safe and doesn't involve risk, rejection, or criticism. Instead of standing alone in the face of challenge or temptation, they check to see which way their friends are going.
Margaret Keane|When it comes to developing character strength, inner security and unique personal and interpersonal talents and skills in a child, no institution can or ever will compare with, or effectively substitute for, the home's potential for positive influence.
Nabil N. Jamal|Those who hate lawyers, have either hired the wrong one and lost, represented themselves and lost, or had such a bad case that no lawyer could win it.
Fernand Braudel|We must never allow September 11th to become a time for protest and division. Instead, this day must remain a time for promoting peace and mutual respect.
Sang Kromah, Concealed|Oh that voice, so sweet. Rich, like the taste of vanilla ice cream, vowels like flute music, warm caramel consonants. She could float in that voice forever and not miss a thing.
Sunday Adelaja|To have wealth does not mean you love money, you can love money and not even have a cent
Thomas French, Zoo Story: Life in the Garden of Captives|For a human to win, it is not necessary for a horse to lose. You should not have to take things away from a horse or break him in fragments in order to train him; rather you should add to the horse. The goal should be making, not breaking.
Kathleen Flinn, The Sharper Your Knife, the Less You Cry: Love, Laughter, and Tears at the World's Most Famous Cooking School|I'm a woman; in so many ways I've been programmed to please. I took the job and spent time hunkered over figures, budgets, charts, and fiscal-year projections. I tried, but I hated it."Working at a job you don't like is the same as going to prison every day," my father used to say. He was right. I felt imprisoned by an impressive title, travel, perks, and a good salary. On the inside, I was miserable and lonely, and I felt as if I was losing myself. I spent weekends working on reports no one read, and I gave presentations that I didn't care about. It made me feel like a sellout and, worse, a fraud.Now set free, like any inmate I had to figure out what to do with the rest of my life.
Iain Banks, Stonemouth|Turning on the shower, he thought of the wildly fancy bathroom at Charlotte's house. It was funny to think of, but the bathrooms he liked weren't fancy; this one, and the one at Seymour's, and the one at Harry's. They weren't fancy, but they were home. He got in the shower. The one squirt that always went haywire hit him right in the eye. He laughed up into the warm water running over his ears.
Keith B. Darrell, Paved with Good Intentions|And so, given the musical sensibilities Hatcher treasured in his earthly life, it is hard to exaggerate the severity of his torture at standing naked in his tiny kitchen in Hell as former FBI director J. Edgar Hoover sings a Bee Gees disco song backed by a full studio orchestra and Robin and Maurice.
Thomas Hardy, Far from the Madding Crowd|Stop looking for the biggest crowd, and start looking for the right crowd.
Amanda M. Lyons, Wendy Won't Go|She remembers blood.A fine mist which goes deep into her lungs, over her skin and through the air. She remembers a desert at dusk. The sky indigo blue and the fire bright, so bright that she can see everything. Near the fire, in the night, all she knows is chaos wrapped in crimson. All is death and nightmare with a single solitary dancer who smiles cruelly as he moves. He is power and darkness. He is man and beast, silver coin eyes and that face, those claws and the agony of loss. Time stretches wide; seconds like vast eons swallow up her world. Vince is dead, his mother, his brother and her small son ripped apart and gushing as he/it moves. She is screaming, a howl of agony beyond words, primal and wordless. Still he moves, faster than air, faster than she could ever be. Blood drips from her face as she grunts, running with her lungs on fire and her last remaining hope wrapped in her arms.
Dalai Lama XIV|We can let the circumstances of our lives harden us so that we become increasingly resentful and afraid, or we can let them soften us, and make us kinder. You always have the choice.
Alexandra Bracken, Passenger|Etta saw the way Sophia took a deep breathe, set her shoulders back, and moved with practiced grace on her way out — and she understood something about the other girl, truly understood for the first time. Sophia wanted it, when she was only ever sent out.
Charles Dickens, Nicholas Nickleby|Happiness is a gift and the trick is not to expect it, but to delight in it when it comes.
Henry David Thoreau, Walden|It is not all books that are as dull as their readers. There are probably words addressed to our condition exactly, which, if we could really hear and understand, would be more salutary than the morning or the spring to our lives, and possibly put a new aspect on the face of things for us. How many a man has dated a new era in his life from the reading of a book. The book exists for us perchance which will explain our miracles and reveal new ones. The at present unutterable things we may find somewhere uttered. These same questions that disturb and puzzle and confound us have in their turn occurred to all the wise men; not one has been omitted; and each has answered them, according to his ability, by his words and his life.
Maria Montessori|A good teacher, like a good entertainer first must hold his audience's attention, then he can teach his lesson.
