Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
Craig Groeschel, Dare to Drop the Pose: Ten Things Christians Think but Are Afraid to Say|The simplest definition of prayer is communicating with God. That's it. Did you miss it? Let me say it again. Prayer is simply communicating with God. That one uncomplicated thought began to revolutionize my whole prayer life. What is communication? It's transferring a thought, feeling, emotion, or idea to another person. So prayer is giving God my thoughts, feelings, emotions, and ideas, by whatever means works. It doesn't have to be formal. It doesn't have to be long and dry. It's simply communicating.
Ishak Zaaimia|There are people you wont miss, but wont forget either. Those people are unique
Alice Hoffman, The Rules of Magic|The most glorious hour in Manhattan was when twilight fell in sheets across the Great Lawn. Bands of blue turned darker by the moment as the last of the pale light filtered through the boughs of cherry trees and black locusts. In October, the meadows turned gold; the vines were twists of yellow and red.
Martin Millar|The idea of determinism combined with complete human responsibility struck me as very hard to reconcile with an idea of justice, let alone mercy.
Waldo Emerson|LanguageCrickets chirp,Birds sing, Dogs howl,It's their own thing.Cats purr,Mice squeak,Cows moo,It's not what you think.Whales whistle,Dolphins click,Snakes hiss,So listen to this.Sheep baa,Rabbits twitch,If you can't speak,It's only a glitch.A body speaks,Their hands do wave,They're all speaking together,Now don't be so naïve.It's all a language,Which we don't hear,b\Because it's not our own,What do we care!
Anthony Hiss, The Experience of Place: A New Way of Looking at and Dealing with our Radically Changing Cities and Countryside|Human beings have always been an unfinished species, a story in the middle, a succession of families, tribes, and societies in transition to new awarenesses. Although we have always prided ourselves on our willingness to adapt to all habitats, and on our skill at prospering and making ourselves comfortable wherever we are -- in a meadow, in a desert, on the tundra, or out on the ocean -- we don't just adapt to places, or modify them in order to ease our burdens. We're the only species that over and over again has deliberately transformed our surroundings in order to stretch our capacity for understanding and provoke new accomplishments. And our growing and enhanced understanding is our most valuable, and our most vulnerable, inheritance.
Stephen Richards, Cosmic Ordering Guide|Sick of lame ducks, use Cosmic Ordering and your ducks will lay golden eggs.
Callie Hart, Calico|If energy is a paradigm of societal progress, the need of the hour and duty of society is both energy development and on the other hand, a reduction in its consumption. However, till energy becomes store-able, any endeavour of development and/or storage can never guarantee its uninterrupted
Steven Wright|The only freedom which deserves the name is that of pursuing our own good, in our own way, so long as we do not attempt to deprive others of theirs, or impede their efforts to obtain it.
Michael Bassey Johnson|Some men can love forever, some for six years, some for six months, and others for six hours.
Aysha Taryam|The cost of war is like an immeasurable tremor that knows no borders, its shockwaves reverberating across the world resulting in universal suffering.
Damian Wampler, Sevara: Dawn of Hope|No,” Abigail said in a low voice, “but I can save one.
Tricia Levenseller, Daughter of the Pirate King|Imagine that you traveled all over the world, looking for happiness, looking for thrills to pass the time. Imagine seeing everything there is to see and still not finding happiness. Well, that would give you a very bleak outlook on life, would it not?
Francis Scott Key|For me the goddess is the female of God, She is powerful if different.
Hayley DiMarco|When we first believe we think we can do it all; our passion is so strong. But after a time we start to learn that passion doesn't equal strength, and our sinful nature rears its ugly head.
Karen Pryor, Lads Before the Wind: Diary of a Dolphin Trainer|A veteran, calm and assured, he pauses for a well-measured moment in the doorway of the office and then, boldly, clearly, with the subtly modulated British intonation which his public demands of him, speaks his opening line, 'Good mor
İlhan Berk|I don't know about you, the world is here to be mythologized. It has, therefore, no other end. Transforming into myth, to be a myth! That's what we call eternity.
Amelia Earhart|When others fail to celebrate you, celebrate your own achievements.
Kiera Cass, The Elite|Look, America is no more a democracy than Russia is a Communist state. The governments of the U.S. and Russia are practically the same. There's only a difference of degree. We both have the same basic form of government: economic totalitarianism. In other words, the settlement to all questions, the solutions to all issues are determined not by what will make the people most healthy and happy in the bodies and their minds but by economics. Dollars or rubles. Economy uber alles. Let nothing interfere with economic growth, even though that growth is castrating truth, poisoning beauty, turning a continent into a shit-heap and riving an entire civilization insane. Don't spill the Coca-Cola, boys, and keep those monthly payments coming.
Nabil N. Jamal|Narcissists are consumed with maintaining a shallow false self to others. They're emotionally crippled souls that are addicted to attention. Because of this they use a multitude of games, in order to receive adoration. Sadly, they are the most ungodly of God's creations because they don't show remorse for their actions, take steps to make amends or have empathy for others. They are morally bankrupt.
Francis A. Schaeffer, The Great Evangelical Disaster|In the end it will not matter how we have told our story, but only how God sees it.
Red Auerbach|Defeated misery is what all sport is about, eventually, if you follow the story for long enough; all sportsmen know this.
Orlando Bloom|My political awakening, if I can be as grand as to call it that, was all about what was happening around me. It wasn't some romantic, patriotic vision of Scotland going back to what it had been 300 years previously.
Brian Eno|The humanists' replacement for religion: work really hard and somehow you'll either save yourself or you'll be immortal. Of course, that's a total joke, and our progress is nothing. There may be progress in technology but there's no ethical progress whatsoever.
Idries Shah, Caravan of Dreams|Some people make the mistake of confusing "submission" with "weakness", whereas it is anything but. Submission is a form of peaceful acceptance of the terms of the universe including the things we are currently unable to change or comprehend.
John Kuypers|In order to live in the present, we have to learn how to feel safe even when a situation feels threatening to us.
Sunday Adelaja|We ourselves are behaving in the Church as if we are afraid of the light, it should not be so.
Oscar Wilde, The Picture of Dorian Gray|What fire does not destroy, it hardens
Kyrian Lyndon, Remnants of Severed Chains|Evolving increases our value, and when we know our value, we navigate toward those with whom we share a genuine interest and appreciation. The rest, in my estimation, is bondage.
P.G. Wodehouse, The Man Upstairs and Other Stories|It is a good rule in life never to apologize. The right sort of people do not want apologies, and the wrong sort take a mean advantage of them.
Haroutioun Bochnakian, The Human Consensus and The Ultimate Project Of Humanity|To be sure, this is what generally happens when one eats cake; but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.
Clarence Thomas|The 'Aladdin' thing - that's not work; that's just fun. Three days in the recording studio going mad, then the animators do all the work. Not a bad way to cash a large check, my friend.
Joseph Kosinski|Certain kinds of speed, flow, intensity, density of attacks, density of interaction... Music that concentrates on those qualities is, I think, easier achieved by free improvisation between people sharing a common attitude, a common language.
Thomas Hardy, Under the Greenwood Tree|And so I would ask you if you would do me the honor of becoming my wife?" As he spoke, she saw him glance over her shoulder, looking at the clock that stood in the corner. As though he had another appointment after this one. The one where he decided her fate.Unless she decided it for herself. The emotion she'd felt on recognizing Lord Alexander in that ballroom rushed over her, the unfamiliar feelings of want and dissatisfaction and wishing she could just be herself, just do something that wasn't related to who she was- she wanted to stand up and demand that Lord Carson, that anyone see her as Eleanor, the pun-loving, adventurous woman who adored Italian.Not a female to be bartered from one family to another.
John Keats|Everything one invents is true, you may be perfectly sure of that. Poetry is as precise as geometry.
Bilal Tanweer|You can just be your self’s stranger, never its friend, because you are mortal and it is immortal!
James Castleton, MD, Mending of a Broken Heart|God is not indifferent to suffering. In suffering He created us knowing, in the moment of creation, the necessity of the crucifixion. Christ suffered that we might have confidence that God understands our suffering. In suffering, God reconciled His beloved to Himself. In suffering, He makes us like Himself …
Evelyn Waugh, Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder|As I became older, I was given many masks to wear. I could be a laborer laying railroad tracks across the continent, with long hair in a queue to be pulled by pranksters; a gardener trimming the shrubs while secretly planting a bomb; a saboteur before the day of infamy at Pearl Harbor, signaling the Imperial Fleet; a kamikaze pilot donning his headband somberly, screaming 'Banzai' on my way to my death; a peasant with a broad-brimmed straw hat in a rice paddy on the other side of the world, stooped over to toil in the water; an obedient servant in the parlor, a houseboy too dignified for my own good; a washerman in the basement laundry, removing stains using an ancient secret; a tyrant intent on imposing my despotism on the democratic world, opposed by the free and the brave; a party cadre alongside many others, all of us clad in coordinated Mao jackets; a sniper camouflaged in the trees of the jungle, training my gunsights on G.I. Joe; a child running with a body burning from napalm, captured in an unforgettable photo; an enemy shot in the head or slaughtered by the villageful; one of the grooms in a mass wedding of couples, having met my mate the day before through our cult leader; an orphan in the last airlift out of a collapsed capital, ready to be adopted into the good life; a black belt martial artist breaking cinderblocks with his head, in an advertisement for Ginsu brand knives with the slogan 'but wait--there's more' as the commercial segued to show another free gift; a chef serving up dog stew, a trick on the unsuspecting diner; a bad driver swerving into the next lane, exactly as could be expected; a horny exchange student here for a year, eager to date the blonde cheerleader; a tourist visiting, clicking away with his camera, posing my family in front of the monuments and statues; a ping pong champion, wearing white tube socks pulled up too high and batting the ball with a wicked spin; a violin prodigy impressing the audience at Carnegie Hall, before taking a polite bow; a teen computer scientist, ready to make millions on an initial public offering before the company stock crashes; a gangster in sunglasses and a tight suit, embroiled in a turf war with the Sicilian mob; an urban greengrocer selling lunch by the pound, rudely returning change over the counter to the black patrons; a businessman with a briefcase of cash bribing a congressman, a corrupting influence on the electoral process; a salaryman on my way to work, crammed into the commuter train and loyal to the company; a shady doctor, trained in a foreign tradition with anatomical diagrams of the human body mapping the flow of life energy through a multitude of colored points; a calculus graduate student with thick glasses and a bad haircut, serving as a teaching assistant with an incomprehensible accent, scribbling on the chalkboard; an automobile enthusiast who customizes an imported car with a supercharged engine and Japanese decals in the rear window, cruising the boulevard looking for a drag race; a illegal alien crowded into the cargo hold of a smuggler's ship, defying death only to crowd into a New York City tenement and work as a slave in a sweatshop.My mother and my girl cousins were Madame Butterfly from the mail order bride catalog, dying in their service to the masculinity of the West, and the dragon lady in a kimono, taking vengeance for her sisters. They became the television newscaster, look-alikes with their flawlessly permed hair.Through these indelible images, I grew up. But when I looked in the mirror, I could not believe my own reflection because it was not like what I saw around me. Over the years, the world opened up. It has become a dizzying kaleidoscope of cultural fragments, arranged and rearranged without plan or order.
Eliezer Yudkowsky, Harry Potter and the Methods of Rationality|And then Harry Potter had launched in to a speech that was inspiring, yet vague. A speech to the effect that Fred and George and Lee had tremendous potential if they could just learn to be weirder. To make people's live surreal, instead of just surprising them with the equivalents of buckets of water propped above doors. (Fred and George had exchanged interested looks, they'd never thought of that one.) Harry Potter had invoked a picture of the prank they'd pulled on Neville - which, Harry had mentioned with some remorse, the Sorting Hat had chewed him out on - but which must have made Neville doubt his own sanity. For Neville it would have felt like being suddendly transported into an alternate universe. The same way everyone else had felt when they'd seen Snape apologize. That was the true power of pranking.
Otto von Bismarck|Politics are not a science based on logic; they are the capacity of always choosing at each instant, in constantly changing situations, the least harmful, the most useful.
JB Carlson|The usual tenor of a man's life, the dwelling of his soul, is the true test of his state.
Topsy Gift|If you will not hear reason, she'll rap your knuckles.
Stephen Lewis|Woes and wonders of Power, that tonic hell, synthesis of poison and panacea.
Jamie McGuire, Beautiful Disaster|He watched me rake my fingers through the tangles in my hair and smiled. “Quit it. You’re fucking beautiful.”“Just point me to the nearest eighties rock video,” I said.
Nikki Rowe|There are some moments you won't completely heal from, those rare ones you will take torn open to the grave but throughout all the big moments that shake you up there will be countless tiny experiences that help you laugh all over again.
Martin Ryle|Rules are where there is a lack. They are to make up the deficiency, explicit or implicit. The system of existence, being complete in itself, is in no need to follow any of them. The appearance of disorder---or even order, in contrast---is when we observe something as a detached entity. Taken as a whole, the Universe is absolute, nothing being lacking, insignificant, or improvable. So, any such thing as a Theory of Everything (TOE) is a mere chimera.
Laura Frantz, The Colonel's Lady|His tender tone turned her heart over. She obliged, tilting her head back slightly and looking up at him in the firelit darkness. When he bent his head and his mouth met hers, she gave a little sigh, her lips parting slightly in surprise and expectation. He kissed her with the same sure decisiveness with which he did everything else, his mouth trailing to her cheek and chin and ear, returning again and again to her mouth and lingering there, his breath mingling with her own. She felt adrift in small, sharp bursts of pleasure. Was this how a man was suppose to kiss a woman? Tenderly... firmly... repeatedly? His fingers fanned through her hair till the pins gave way and wayward locks spilled like black ribbon to the small of her back. In answer, her arms circled his neck, bringing him nearer, every kiss sweeter and surer than the one before. Soon they were lost in a haze of sighs and murmurs and caresses.
Lailah Gifty Akita|I pray for grace, strength and wisdom to faithfully fulfill my calling in due time.
Klay Thompson|Grave security concerns can arise as a result of demographic trends, chronic poverty, economic inequality, environmental degradation, pandemic diseases, organized crime, repressive governance and other developments no state can control alone. Arms can't address such concerns.
Michael E Emmering|The most important rule when assessing abductive arguments is to consider alternative explanations. When we are presented with an explanation that sounds plausible, too often we simply accept it without noticing that there are other possible explanations that are equally plausible or more plausible.
Linda Lael Miller, Springwater|Obsession. It starts with a spark. A flicker. At the strike of a match. Lying dormant in most of us, obsession feasts on the fumes, breathes in the smoky scent, curing around and in on itself. Building. We pet it, nurse it into existence. It is ours. All ours. A coveted perfection. And when it refuses to be ignored, it rages. It roars to life. A building inferno. Consuming. We are but pawns to its deceptive power. Though we attempt to guide it, caress it tenderly into a loving beauty, it can not be controlled. It’s a haunted, vengeful lover. Like a wildfire devouring life within it’s path, we can only follow it’s carnal trail.
Sade Adu|I think it's your mental attitude. So many of us start dreading age in high school and that's a waste of a lovely life. 'Oh... I'm 30, oh, I'm 40, oh, 50.' Make the most of it.
Carlene Carter|People are getting famous now for serving food out of a truck, or for, well, pork buns. I don't know if I'm really pleased to be a part of that. I'm somewhat terrified of what the future holds, especially in America.
C.F.W. Walther, Law & Gospel: How to Read and Apply the Bible: A Reader's Edition|ANTONIO PONTÓN’S TRIAL made front page headlines across major newspapers. On April 17, 1915, the Schenectady Gazette headline read, “Trial of Ponton on the Charge of Committing one of Most Startling Murders in History of County.
Bohumil Hrabal, I Served the King of England|He was a gentle and sensitive soul, and therefore had a short temper, which is why he went straight after everything with an ax...
Kilroy J. Oldster, Dead Toad Scrolls|All nightmares are a peephole through which we see the unsettling particles of our trampled past, whereas all uplifting dreams are a portal to escape the inexplicable undercurrents that worry our survival.
V.S. Carnes|When she shines we all bask in her happiness, but when the thunderstorms come in, let me warn you, find a faraway hiding hole." Dorothy Broadbelt, lady in waiting to Queen Elizabeth 1.
Lailah Gifty Akita, Think Great: Be Great!|If they say, it can’t be done, Ask, ‘Why not?’ It can be done. It will be done!
Douglas Adams|In my long life I have found peace, joy, and happiness beyond my fondest hopes and dreams. One of the supreme benedictions of my life has been my marriage to an elect daughter of God. I love her with all my heart and soul.
Andrea Goeglein|When you remain present to the goal at hand, you become ready to receive a powerful gift.
Keith Richards|He who joyfully marches to music in rank and file has already earned my contempt. He has been given a large brain by mistake, since for him the spinal cord would suffice.
Kim Chestney, The Psychic Workshop: A Complete Program for Fulfilling Your Spiritual Potential|You couldn't get a decent drink in either of them, for a start. And the boredom you got in Heaven was almost as bad as the excitement you got in Hell.
Ayn Rand, The Fountainhead|Cinema, radio, television, magazines are a school of inattention: people look without seeing, listen in without hearing
Nadia Hashimi, When the Moon is Low|Children are touched by heaven—their every breath, every laugh, every touch a sip of water to the desert wanderer. I could not have known this as a child, but I know it as a mother, a truth I learned as my own heart grew, bent, danced, and broke for each of my children
William S. Hart, My Life East & West|Each evening she held his head in her hands and ran her aching fingers thru the thick ruff of fur around his neck. He burrowed against her, sighing devotion.
Mehmet Murat ildan|If you want to get what you haven’t gotten yet, then you have to do more than what you were doing before.
Christian F. Burton, Energy Dependence Day|Terrorists are like zebras; those having more white stripes than black are good terrorists,those with more black stripes than white are bad ones.
Wade Boggs|Without an open-minded mind, you can never be a great success.
Abraham Lincoln|A capacity, and taste, for reading, gives access to whatever has already been discovered by others. It is the key, or one of the keys, to the already solved problems. And not only so. It gives a relish, and facility, for successfully pursuing the [yet] unsolved ones.
Ellen G. White|At the very crisis, when Satan seemed about to triumph, the Son of God came with the embassage of divine grace.
Pauline Phillips|I would much prefer that they take me as I am, that way the experience is genuine between the both of us.
Michael Cisco, The Traitor|Ask anyone what that means, what it means to see a miracle, and they will say that it's something impossible, but they mean that a miracle is something formerly believed to be impossible that turns out not to be, not to be impossible, in other words, but possible after all. If this were really true, then miracles would be the most ordinary things in the world, the most uninspiring things in the world, and what can one expect from people who have never been anything but ordinary and uninspired.
Craig D. Lounsbrough|The Christmas story is penmanship of the most brilliant sort, where God crafted a beginning that would never be subject to an ending.
Erin Hunter, Sign of the Moon|Destiny isn't a path any cat follows blindly. It is always a matter of choice, and sometimes the heart speaks loudest. Listen to your heart, because that's where your true destiny lies.
Cassia Leo, Bring Me Home|Funny enough, I sit on my porch all day, wave and smile at everyone. Some of them aren't sure, some smiles right back, some come back later and say; "This morning you made my day, had the best day all week, thank you for that!" Smile and wave, that's all it takes :)
Mark Helprin, Winter's Tale|We thought of [New York] as a free city, like one of those storied prewar tropical nests of intrigue and licentiousness where exiles and lamsters and refugees found shelter in a tangle of improbable juxtapositions.
Jim Malone|Every artist gets asked the question, “Where do you get your ideas?” The honest artist answers, “I steal them.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|You can transform your entire physical appearance, personal experience, energy, and social success simply by smiling. And it is also good to do just for you!
Diane Setterfield, The Thirteenth Tale|[I]t occurred to me that the voracious ambition of humans is never sated by dreams coming true, because there is always the thought that everything might be done better and again.
Rudyard Kipling|Women must learn to find self-worth within themselves, not through others. It is important to carve out a place just for you.
John Ruskin, The Stones of Venice|And observe, you are put to stern choice in this matter. You must either make a tool of the creature, or a man of him. You cannot make both. Men were not intended to work with the accuracy of tools, to be precise and perfect in all their actions. If you will have that precision out of them, and make their fingers measure degrees like cogwheels, and their arms strike curves like compasses, you must unhumanize them. All the energy of their spirits must be given to make cogs and compasses of themselves....On the other hand, if you will make a man of the working creature, you cannot make a tool. Let him but begin to imagine, to think, to try to do anything worth doing; and the engine-turned precision is lost at once. Out come all his roughness; all his dullness, all his incapability; shame upon shame, failure upon failure, pause after pause: but out comes the whole majesty of him also, and we know the height of it only, when we see the clouds settling upon him.
John Dryden|When I consider life, 't is all a cheat.Yet fool'd with hope, men favour the deceit;Trust on, and think to-morrow will repay.To-morrow 's falser than the former day;Lies worse, and while it says we shall be blestWith some new joys, cuts off what we possest.Strange cozenage! none would live past years again,Yet all hope pleasure in what yet remain;And from the dregs of life think to receiveWhat the first sprightly running could not give.
Gloria Burgess, Dare to Wear Your Soul on the Outside: Live Your Legacy Now|Each of us has a call on our lives. This call says, ‘It’s time to get your act together, then take it on the road.’ This call says, ‘Put on your traveling shoes so that you can be of use to others... so that you can wear your soul on the outside, light the way for others, and pass it on.
Billy Graham, Billy Graham in Quotes|Preachers are not salesmen, for they have nothing to sell. They are bearers of Good News.
Hlovate|As truth be told, homecoming never gets old.
Linda Howard, White Lies|This thing I feel for you... I've never felt like this about anyone, Tegan.
Mara Joaquin, Lost in the Sky|Eight-and-twenty years,' said I, 'I have lived, and never a ghost have I seen as yet.'The old woman sat staring hard into the fire, her pale eyes wide open.'Ay,' she broke in; 'and eight-and-twenty years you have lived and never seen the likes of this house, I reckon. There's a many things to see, when one's still but eight-and-twenty.' She swayed her head slowly from side to side. 'A many things to see and sorrow for.' ("The Red Room")
Gerard de Marigny|As important as color is to a painting, or wings to a bird. Music injects vibrancy to film and makes it soar!
Paulo Coelho|It's good to trust others but, not to do so is much better.
Fred DeLuca|In the matter of learning, the difference between the earnest and the careless student stands out clearly. The same holds true in the mastering of passion and the weaknesses to which our nature is subject, as in the acquiring of virtue.
Chaz Brenchley, Dead Of Light|I had a very funny and depressing talk with my seventy-four-year-old mother. I decided, she doesn't have a bucket list - she has a kick-the-bucket list.
George Will|You've got to enjoy time with your family and friends, and if you're involved in sports franchises, those peak moments in playoff games. You have to enjoy life.
Leo Tolstoy|Seize the moments of happiness, love and be loved! That is the only reality in the world, all else is folly. It is the one thing we are interested in here.
Darren Shan, Demon Thief|But I don't think Art's an Einstein - he likes tugging ears, biting people and burping too much to be a genius.
Brandon Mull, The Candy Shop War|Could you just call me Pigeon?” he asked the teacher when she read his name.“Does your mother call you Pigeon?”“No.”“Then to me you are Paul.”...“Nathan Sutter,” the teacher read.“My mother never calls me Nathan.”“Is it Nate?”“She calls me Honeylips.
Cathryn Louis|Your actions are viewed by observers through prisms shaped by their own interpretations, and sometimes misinterpretations. All you can do is strive to be your best self. Let the chips fall where they may.
Ibn Battuta, The Travels of Ibn Battutah|Traveling leaves you speechless, then turns you into a storyteller.
Lauren Oliver, Rooms|Do you still think Mianaai controls the Radchaai through brainwashing or threats of execution? Those are there, they exist, yes, but most Radchaai, like people most places I have been, do what they’re supposed to because they believe it’s the right thing to do. No one likes killing people.”Strigan made a sardonic noise "No one?""Not many," I amended. "Not enough to fill the Radch's warships".
Crystal Woods, Write like no one is reading 2|It’s scary. This love thing. The sweet vulnerability of extension. The naked of ‘here I am’. The tentative reaching of outstretched arms. The wide open of hope…Teach me how to be loved. Let me show you how to love me well. School me in the workings of your heart, in the language of your bones. Let my open palm memorize the shape of your face. Tell me the stories of your scars so I can trace them with the honor of understanding. I have been loved by those who didn’t care to discover all that I am. Will you be the one to see me whole?
Kunal Karan Kapoor|The ability to be emotive comes from within...it's innate".
Gretel Ehrlich|When people asked  I used to tell them how sick I was. The more I talked about being sick  the worse I got. Finally  I started saying  "I'm getting better." It took a while  but then I started to feel better  too.
Nadège Richards|Don't judge me by my books. They're not my voices, and they were never my stories to tell.
George Bernard Shaw|It's not what you look at that matters, it's what you see.
Criss Jami, Killosophy|Men seek a great deal, but fatally close, albeit very different, is one's pride in proving oneself right with one's zeal for finding the truth.
Mike D|Contractions, 'U' for 'you' and the like are wonderful to make communication brief and efficient - but we wouldn't want all our talk to be only brief and efficient. Taking pauses out of language would be like taking the net away from a tennis game. Where would all the fun go?
Christine Pelosi|When we talk about feminism - equality without apology for all - we can't be talking about for all white women or all highly educated women but all women, regardless of color, class, creed, sexual orientation or identity.
Irving Singer, Meaning In Life, Volume 3: The Harmony Of Nature And Spirit|In living this way, we discover new opportunities for comfort and enjoyment. Where the younger person may have tossed and turned throughout a sleepless night, the older man or woman can possibly feel the pleasure that comes from lying on a good mattress, resting one's weary bones and overcharged intellect, whether or not one sleeps throughout the hours of darkness.
Sunday Adelaja|For the present time, just do your job well
Charlie Higson, The Enemy|You can make your superhero a psychopath, you can draw gut-splattering violence, and you can call it a "graphic novel," but comic books are still incredibly stupid.
Dave Reichert|Beauty always promises, but never gives anything.
Donald Trump|Patience is a virtue, and I'm learning patience. It's a tough lesson.
T.A. Loeffler|Imagination is haunted by the swiftness of the creatures that live on the mountain - eagle and peregrine falcon, red deer and mountain hare. The reason for their swiftness is severely practical: food is so scarce up there that only those who can move swiftly over vast stretches of ground may hope to survive. The speed, the whorls and torrents of movement, are in plain fact the mountain's own necessity. But their grace is not necessity. Or if it is - if the swoop, the parabola, the arrow-flight of hooves and wings achieve their beauty by strict adherence to the needs of function - so much the more is the mountain's integrity vindicated. Beauty is not adventitious but essential.
Charlie Donlea, The Girl Who Was Taken|Yeah, the club was dark but so's the whole country. When someone important goes missing, or the case is interesting enough, everybody has the same fetish. Whole world, really. No one admits it, but it's true.
Kya Aliana|What's the bigger risk: Taking the risk, or not taking the risk? What will you accomplish by not taking the risk? What will you accomplish by taking the risk, even if you fail?
Natalie Brenner, This Undeserved Life: Uncovering The Gifts of Grief and The Fullness of Life|...the sweetness of grace and freedom comes hand in hand with the uncomfortable, bitter-rawness of honest emotions and grief.
Jeremy Holmes, John Bowlby and Attachment Theory|John Donne's 'A Valediction: forbidding mourning' concerns a sea voyage, and uses the image of a circle as an antidote to the abyss of loss and separation. He pictures the invisible but precious bonds which link carer and cared-for, lover and beloved in an attachment relationship as slender threads of gold.
Jack London, Мартин Иден|If chess has any relationship to film-making, it would be in the way it helps you develop patience and discipline in choosing between alternatives at a time when an impulsive decision seems very attractive.
Debasish Mridha|In this universe, love is the liberating force from the prison of judgment.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you want to be among the few who rule the world you therefore must learn to convert every time of your life, every second and minute that passes by.
Shilpi Somaya Gowda, Secret Daughter|I cannot admit this out loud. In the first place, we are expected to be supermoms these days, instead of admitting that we have flaws. It is tempting to believe that all mothers wake up feeling fresh every morning, never raise their voices, only cook with organic food, and are equally at ease with the CEO and the PTA.
Stefan Molyneux|An android,” he said, “doesn’t care what happens to another android. That’s one of the indications we look for."“Then,” Miss Luft said, “you must be an android.
Jay Samit, Disrupt You!: Master Personal Transformation, Seize Opportunity, and Thrive in the Era of Endless Innovation|All businesses -- no matter if they make dog food or software -- don't sell products, they sell solutions.
Alexia Purdy, Disarming|Time is truly apathetic to the many to whom a little empathy would mean so much.~"Disarming (Reign of Blood #2)
Mokokoma Mokhonoana|How can you squander even one more day not taking advantage of the greatest shifts of our generation? How dare you settle for less when the world has made it so easy for you to be remarkable?”- Seth Godin, sethgodin.com
Galileo Galilei|The sun, with all those planets revolving around it and dependent on it, can still ripen a bunch of grapes as if it had nothing else in the universe to do.
Christina Baker Kline, A Piece of the World|Everyday, there are choices to make and sometimes you make a selfish one.
Robert Herrick|The hours I spend with you I look upon as sort of a perfumed garden, a dim twilight, and a fountain singing to it. You and you alone make me feel that I am alive. Other men it is said have seen angels, but I have seen thee and thou art enough.
Zoe Rosenberg|Courage is meant to be strong, while fear is meant to be broken
Jeaniene Frost, Death's Excellent Vacation|A human hires a hit man to kill his cousin for money, boring. That same hit man botches the job twice, funny. Then the desperate hit man sends a ghoul after the girl to finish things up, my curiosity's piqued. That same ghoul ends up with his head cut off by a mysterious redhead . . . Ah. Now I'm interested.
Joseph Roth, The Emperor's Tomb|Balance is not always obtainable in every situation, however, we have the option to surrender our control over the desired outcome and live more easily in the present moment . This will result in greater peace of mind.
Terry a O'Neal|In the writer's mind, even a backstory has a backstory.
FishMeAnEXo|Thank you for this amazing adventure. I never knew that someone could love without limit. Even when you can't hear me say that I love you or when I can't hear you say that you love me, I found a wonderful lover that I hope to be with even in all of my other lives." he lifted his hands off Kai's neck. 'I love you.'Kai held the sides of Sehun's face and connected their lips for a passionate kiss as they dropped to their knees. Kai forced a smile as he wiped the tears on Sehun's cheeks. 'And you will never know how much I love you.
