Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
T. Colin Campbell, Whole: Rethinking the Science of Nutrition|We don't need to know the effects of single agents on health, because this is not the way that nature works. Nutrition has a wholistic effect on health; one that we consistently miss and misinterpret when we focus on isolated nutrients.
Orson Scott Card, Ender's Game|In the moment when I truly understand my enemy, understand him well enough to defeat him, then in that very moment I also love him. I think it’s impossible to really understand somebody, what they want, what they believe, and not love them the way they love themselves. And then, in that very moment when I love them.... I destroy them.
Richard Wagamese, Indian Horse|She was told it was magnetism that kept them engaged, and how do you separate magnets? You force them apart.
Neil Gaiman, Anansi Boys|The emotional, sexual, and psychological stereotyping of females begins when the doctor says: "It's a girl.
Chris Kurtz|Son, you never know who will step up with the brains and talent in a time of need and be the right one for the job.
Gena Showalter, Oh My Goth|There’s a really stupid saying: When life hands you a lemon, make lemonade. Well, I have a better saying: When life hands you a lemon, shove that lemon up its stupid butt.
David Tennant|After having my baby I felt like I'd been introduced to my life, I slowed down, I paid more attention to simple things, I addressed a few issues in my own life, I even got married, I looked at what was important and what wasn't, and so I used that experience for inspiration.
Ursula K. Le Guin, The Farthest Shore|I desired dragons with a profound desire. Of course, I in my timid body did not wish to have them in the neighborhood. But the world that contained even the imagination of Fáfnir was richer and more beautiful, at whatever the cost of peril.
Keith David|That's a rule in the business. No tongue. You can't really get into it, otherwise, it's weird. I think that particular scene made his (Adam Brody) girlfriend jealous. There were issues.
Michael Gove|Good political leadership for me involves getting the big decisions right - however difficult, however controversial, however potentially divisive - and then being able to take people with you.
Cassandra Clare, Clockwork Angel|Am I blind?" Will's voice floated out of the darkness, tinged with annoyance. "I'm not going to be at all pleased if you've blinded me, Henry.
Louis Sachar, Holes|A lot of people don't believe in curses.A lot of people don't believe in yellow-spotted lizards either, but if one bites you, it doesn't make a difference whether you believe in it or not.
Roel van Sleeuwen|Though a smile is little work, its effects are long lasting.
Gift Gugu Mona|Do our natures dictate the choices we make, I wonder, or do we choose to live a certain way because of circumstances beyond our control?
Cynthia D'Aprix Sweeney, The Nest|Sometimes waiting and being disappointed was good, to remind me he didn't belong to me. Nothing belonged to me.
Matshona Dhliwayo|If God wanted the sky to be empty, He would not have given birds wings to fly.
Shunryu Suzuki, Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice|Separating the God question from Buddhism does not make Buddhists atheists—within silence lies mystery. That doesn’t mean, however, we should infer from this acknowledgement of the mystery a nod one way or another on the matter of the divine.
Jules Verne|Wit is the appearance, the external flash of imagination. Thus its divinity, and the witty character of mysticism.
Naomi Kramer, DEAD[ish]|It’s my belief that animals can help a human being travel to the wounds of childhood. The best part is, once you go there, you can fix things. Get on with life.
Sandy Nathan, Numenon|I’ve always hated the “Who are you?" question. This is a philosophical inquiry. Answering that question is why we’re on earth. You can’t answer it in thirty seconds or in an elevator.
Tullian Tchividjian|Whether it's a Christian or a non-Christian, there's nothing like suffering to show us how small, needy, and not in control we are. Suffering has a way of sobering us up to the realization that we can't make it on our own, that we need help, that we're broken.
Susan Elizabeth Phillips, Ain't She Sweet|Something snapped inside her. “Of course I’m afraid! Relationships do bad things to me.” He started to respond, but the pain had gone on long enough, and she didn’t want to hear it. “You know what I want? I want peace. I want a good job and a decent place to live. I want to read books and listen to music and have time to make some female friendships that are going to last. When I wake up in the morning, I want to know that I have a decent shot at being happy. And here’s what’s really sad. Until I met you, I was almost there.
Debasish Mridha|In this vast universe when I was getting lost, you made me infinite with infinite love.
Nick Hornby, The Polysyllabic Spree|Heimat. The word mean home in German, the place where one was born. But the term also conveys a subtler nuance, a certain tenderness. One's Heimat is not merely a matter of geography; it is where one's heart lies. 
Mark McKinnon|I knew I wanted to become an actor when I was 7 years old. My dad was working with Alfred Hitchcock, my mom was working with Martin Scorsese - and it was the great summer of my childhood.
Yasmina Khadra, The Attack|I would not bring one shadow on his life, and this I know would break his noble heart.
Stanley Hauerwas|When one is young, aspiring to play for the country, doing well, any hindrance, like injury or being out of form, can be frustrating and a cause of annoyance or even anger. But once you have a close encounter with death, you realise the real value of life.
Bill  Johnson|Formula for success: rise early, work hard, strike oil. J.Paul Getty
Aspen Matis, Girl in the Woods: A Memoir|The small word, “No.” I’d see its deity.
|It takes an enthusiastic mind to understand all the necessary steps needed to make one's dream a reality, but a lot of discipline and perseverance to stay consistent all the way through.
Nivin Pauly|I don't want to adhere to any particular image. I have tried to bring in variety to my characters. But then, only a few actors have managed to earn this tag of a romantic hero. Many have aspired to get such a label. So I am not complaining.
Thomas Daniel Nehrer, The Illusion of "Truth": The Real Jesus Behind the Grand Myth|The authors of the gospels, like all writers in all time periods, either reference information they have at hand – including things they’ve heard or read – or they make things up. . . For reference material, the author of Mark relied not on Jesus himself or any writings from him. . . . His sole source(was): oral traditions passed along by word-of-mouth for four decades.
Nathaniel Branden|We are parts of one universe, true enough. We stand within an almost infinite network of relationships. Yet each of us is a single point of consciousness, a unique event, a private, unrepeatable world. This is the essence of our aloneness.
Stephen Chbosky|It's strange because sometimes, I read a book, and I think I am the people in the book. Also, when I write letters, I spend the next two days thinking about what I figured out in my letters.
Pierce Brown, Golden Son|Mustang...' I rest my hand on her wrist. Despite her strength, it's frail in my hands. Frail as the other girl's was when I held her in the deepmines. I couldn't help that girl. And now I feel like I can't help this woman. Would that my hands were meant to build. I would know what to say. What to do. Maybe in another life I would have been that man. In this one, my words, like my hands, are clumsy. All they can do is cut. All they can do is break.
Annie Dillard, Teaching a Stone to Talk: Expeditions and Encounters|And I feel like the Queen of Water. I feel like water that transforms from a flowing river to a tranquil lake to a powerful waterfall to a freshwater spring to a meandering creek to a salty sea to raindrops gentle on your face to hard, stinging hail to frost on a mountaintop, and back to a river again.
Søren Kierkegaard|Some men may be snared by beauty alone, but none can be held except by virtue and compliance.
Orison Swett Marden|There's a joy and a pain about directing where the dreams you have are becoming concrete but the attention to detail, the need for time is such that it's overwhelming at times, and the stream of responsibility.
J.A. Redmerski, The Edge of Never|I don’t know what I’m doing, or where I’m going, but I do know that I want to do whatever it is and get there soon.
Ted Gioia, How to Listen to Jazz|When stealing from other players, an older musician wisely advised me, choose a different instrument from your own, and people won’t notice the theft.
Tzipi Livni|Over these years, I have irrevocably transferred a significant part of the shareholding in Wipro, amounting to 39% of the shares of Wipro, to a trust.
A.G. Howard, Ensnared|For the second time since meeting her, Echo looked as if I’d slapped her. Water pooled at the bottom edges of her eyes, her cheeks flushed red and she blinked rapidly. She’d succeeded in making me feel like a d*ck … again.
Arnold Bennett|The chief beauty about timeis that you cannot waste it in advance.The next year, the next day, the next hour are lying ready for you,as perfect, as unspoiled,as if you had never wasted or misapplieda single moment in all your life.You can turn over a new leaf every hourif you choose.
Lynn Redgrave|He that loves not his wife and children feeds a lioness at home, and broods a nest of sorrows.
Ray Bradbury|When your work speaks for itself, don't interrupt.
Sol Luckman, Beginner's Luke|It was a rotten time to try to be a man in America. Until Blue came along I’d never even spent time around a man. Hell, I’d never even seen one. Where were all the men in this once great land?
Mehmet Murat ildan|For a great willpower, no road has length!
Drea Damara, The Weeping Books Of Blinney Lane|Ridiculous, that Finn had to be the one giving comfort. But it had been this way with Tom too. Arguments were tricky things for both sides to win if no one ever gave way first. There was something terribly domestic about the small sacrifice of ego, of first place. Sure, sex was a fine thing, but a fight at the end of which the pair of you were more lovingly entangled than ever, that was closer to being one flesh, one soul, than anything else.
Criss Jami, Killosophy|Being loved means; are disagreements welcome in my relationships? If you cant disagree with someone then you live in a tyranny and if you live in a tyranny then you are only loved to the degree that you erase yourself and conform to the irrational expectations of bullies. That isn't love obviously. Now if somebody in you life demands that you not disagree with them and gets angry, "offended", or outraged should you disagree with them then, that person is not a good person. It's pretty narcissistic. It's somebody who does not have the maturity, wisdom, and ego strength to handle, and in fact welcome disagreements.  When people disagree with me as a whole I think it's a great opportunity for learning. People don't want to expose topics that might cause disagreement because, if the disagreement is punished then the illusion of being loved by good people is shattered.
Ashly Lorenzana, Speed Needles|The sickest part of this whole story is that I tried really hard to make up for what I thought I did to her, after she started talking to me again. I loaned her money whenever she needed it, I gave her rides whenever she called and needed to get somewhere, I did my best to pretend like David wasn't in the room with us when I was at her house, I did whatever I could that I thought might show her that I loved her and cared about her, and I never meant to hurt her. It took a while before I realized that would never happen. She'd never love me like a mom is supposed to. She would never be there for me like I tried to be for her. She would never apologize for anything or admit that she was wrong.
Stephen King, On Writing: A Memoir of the Craft|As a young man just beginning to publish some short fiction in the t&a magazines, I was fairly optimistic about my chances of getting published; I knew that I had some game, as the basketball players say these days, and I also felt that time was on my side; sooner or later the best-selling writers of the sixties and seventies would either die or go senile, making room for newcomers like me.
Erica Mbasan, For the Joy Set Before Us: Insights into the Missionary Journey|Our cultural roots are the most ancient in the world. The spiritual concepts of our Ancestors gave birth to religious thought African people believe in the oneness of the African family through sacred time, which unites the past, the present and the future. Our Ancestors live with us.
Nicole Ari Parker|I will forever be thankful to the Malawians and international community, and my professional army and army general, who said: 'No, we will follow the constitution.' That's why I'm here.
David Halberstam, The Powers That Be|We put up a kind of spiritual firewall and make a conscious effort to shut out the headlines, because our (Bible) discussions are meant to be timeless.
Phillip E. Johnson|You know that's history, that's why some people say that my stuff is retro, but I don't agree.
Sunday Adelaja|For a thinking man, the main thing is to understand who he is within
Rebecca Solnit, A Field Guide to Getting Lost|How will you go about finding that thing the nature of which is totally unknown to you?" (Plato) The things we want are transformative, and we don’t know or only think we know what is on the other side of that transformation. Love, wisdom, grace, inspiration- how do you go about finding these things that are in some ways about extending the boundaries of the self into unknown territory, about becoming someone else?
Hubert Martin|It was her eyes. Soft, meadow-shade eyes with frostbitten edges. Every glance casually held gossamer infinity. Every stare revealed inky black abyss with a hint of divinity.
Colin Gilbert|During our first date,I wanted to hold your hand so badI almost cut mine offand threw it at youto see if you would catch it
Van Harden|This could be our greatest nightmare. But maybe, intead this would be our only hope of salvation.
William Kircher|To finance longer life spans, we must convince individuals to start investing now for the long term. But longevity should be an asset that can be levered, not a curse. They must understand that there's a cost to sitting in cash. No one talks about that cost.
Carl Sagan|A new consciousness is developing which sees the earth as a single organism and recognizes that an organism at war with itself is doomed. We are one planet. One of the great revelations of the age of space exploration is the image of the earth finite and lonely, somehow vulnerable, bearing the entire human species through the oceans of space and time.
Kyleigh Gillham|Don’t have the power to make someone happy…?’ Icriticized.‘I have the power, the desire… But No marriage, No girlfriend stuff… When I feel like doing something crazy, I can pay and get a girl in bed… No emotions, no argument, and no expectations, just I want to fuck and fulfil my desire, that’s it…! Darling, there is nothing like ‘LOVE’, everything revolves around the four lettered word – ‘FUCK’, understood…?’ he explained naughtily.
Charles Bukowski, Women|Now is the time to ask yourself, what you believe.
Fennel Hudson, A Waterside Year - Fennel's Journal - No. 2|I've been in the water so much these past few days, I swear I'm growing fins & scales.
Monks of New Skete, In The Spirit of Happiness: A Book of Spiritual Wisdom|{God's] presence is not contingent upon our feeling it. It simply is. We must learn to remember this and calm ourselves. By His apparent 'absence', He is leading us to a more mature level of consciousness, self-offering, and love. He is leading us from the love of God for the sake of His gifts to love of God for His own sake.
RuPaul|When you become the image of your own imagination, it's the most powerful thing you could ever do.
Stephanie Osborn, The More Things Change|hand. I was charged with organizing the messages: descriptions of the creatures, descriptions of their space vessels, descriptions of their conveyances, of their weapons, of their movements. Positions of our soldiers, of our allies’ soldiers. Troop movements. New arrivals of space vessels. Reports of casualties. Dear God, the casualties. And their descriptions. Charred piles of ash; bloodless carcases; crumpled, broken bodies; crushed jelly; roasted, dead meat. All…in these hands.
Dayo Ntwari, Roses For Betty And Other Stories: The Writivism Anthology 2015|The health of an enlightened and progressive society is measured by how vibrant is its science fiction, since that is where true self-critique and appraisal and hope lie.
Daniel Prokop, Leaving Neverland: Why Little Boys Shouldn't Run Big Corporations|...every time you make a rule you take away a choice and choice, with all of its illuminating repercussions, is the fuel for learning.
Pierre Teilhard de Chardin|Above all, trust in the slow work of God.We are quite naturally impatient in everything to reach the end without delay.We should like to skip the intermediate stages.We are impatient of being on the way to something unknown, something new.And yet it is the law of all progress that it is made by passing through some stages of instability— and that it may take a very long time.And so I think it is with you; your ideas mature gradually—let them grow, let them shape themselves, without undue haste.Don’t try to force them on, as though you could be today what time (that is to say, grace and circumstances acting on your own good will) will make of you tomorrow.Only God could say what this new spirit gradually forming within you will be.Give Our Lord the benefit of believing that his hand is leading you,and accept the anxiety of feeling yourself in suspense and incomplete.
Mary Baker Eddy, Science and Health with Key to the Scriptures|Lulled by stupefying illusions, the world is asleep in the cradle of infancy, dreaming away the hours.
Joe Jamail|Too much self-centered attitude, you see, brings, you see, isolation. Result: loneliness, fear, anger. The extreme self-centered attitude is the source of suffering.
David Gemmell, Dark Moon|Heroes are people who face down their fears. It is that simple. A child afraid of the dark who one day blows out the candle; a women terrified of the pain of childbirth who says, 'It is time to become a mother'. Heroism does not always live on the battlefield.
Colum McCann|One look at each other and it was immediately understood that they both needed a clean slate,,, The obliteration of memory.
Nicholas Sparks, Safe Haven|She wasnt exactly sure when it happened. Or even when it started. All she knew for sure was that right here and now, she was falling hard and she could only pray that he was feeling the same way.
Howard Spring, All the Day Long|And the sea trickling out of my eye as if I'd always carried it inside me, like a seashell waiting to be cupped to an ear.
James Dashner, The Maze Runner|Shouldn't someone give a pep talk," Minho asked, pulling Thomas's attention away from Alby."Go ahead," Newt replied.Minho nodded and faced the crowd. "Be careful," he said dryly, "Don't die."Thomas would have laughed if he could, but he was too scared for it to come out."Great. We're all bloody inspired," Newt answered then pointed over his shoulder toward the Maze, "You all know the plan. After two years of being treated like mice, tonight we're making a stand. Tonight we're taking the fight back to the Creators, no matter what we have to go through to get there. Tonight the Grievers better be scared.
Ava Zavora, Belle Noir: Tales of Love and Magic|It was her favorite story, that she remembers, but she would be hard-pressed to retell it now, faithfully, as it had been told to her. All she could recall were frayed, sleep-watered images of a forgotten castle in the middle of a wild forest, stone statues, crimson roses, and a dark, animal presence never seen, but which stained her memory of the tale, even past its edges to the daylight after.
Lailah Gifty Akita, Think Great: Be Great!|Music promotes spiritual, physical and emotional well-being.
Mokokoma Mokhonoana, The Use and Misuse of Children|There is nothing morally wrong with buying stolen goods, unless you know that they were stolen.
Svetlana Alexievich, Voices from Chernobyl: The Oral History of a Nuclear Disaster|A small spoon of victory is just the thing to settle the stomach before battle, " Ser Imry had declared happily.
Anthony Hincks|If the existentialists are right, that life is meaningless, and if we acknowledge that, we are better equipped to find pleasure in small things.
J.D.  Jordan, Calamity: Being an Account of Calamity Jane and Her Gunslinging Green Man|—I can make Skell laugh if I really have to, but I have to take off one of his boots first.—That went by just a little fast, Torl.—It’s terribly hard to tickle the bottom of a man’s foot when he’s wearing boots, commander.
Anthony Eden|Individual freedom is a Jewish idea, but it's one of the functions of Christianity to make this idea universal.
Victoria Claflin Woodhull|If Congress refuse to listen to and grant what women ask, there is but one course left then to pursue. What is there left for women to do but to become the mothers of the future government?
Napoléon Bonaparte|In politics, stupidity is not a handicap.
George Orwell, 1984|Reality only exerts its pressure through the needs of everyday life - the need to eat and drink, to get shelter and clothing, to avoid swallowing poison or stepping out of top-storey windows, and the like.
Georges Simenon|Nothing is given to man on earth - struggle is built into the nature of life, and conflict is possible - the hero is the man who lets no obstacle prevent him from pursuing the values he has chosen.
Malcolm Turnbull|I'm looking forward to the day when America will mature to the point that we are a color-blind society. I'm not so sure that in politics that will ever be reality, because politics has a way of separating us based on skin color.
Mahmoud Darwish, Unfortunately, It Was Paradise: Selected Poems|Be my lover between two wars waged in the mirror, she said.I don't want to return now to the fortress of my father's house.Take me to your vineyard.Let me meet your mother.Perfume me with basil water.Arrange me on silver dishes, comb me, imprison me in your name,let love kill me.
Maya Angelou|Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.
Lacey Alexander, Voyeur|Just like real sex, the touching was good, but there came a point in time when a woman needed to be filled - deeply.
Fakeer Ishavardas|Any given day is a second chance, after yesterday. Make the best of it today.
Brian Staveley, The Last Mortal Bond|If you intend to heal the breach,” she went on, “as you claim. If you intend to abide by the treaty we have both signed, then I am the Emperor, Annur’s Emperor, and your Emperor, and you will address me properly.”“I’ve always found that those most insistent on their titles,” Moss replied, “are those least deserving of them.
Carol Emshwiller, Ledoyt|All the stuff our fathers took for granted as long as you worked hard, the great safety net and the fair wage and the gold watch at the end of it all? That's all gone around here, my friend.
Christopher Paul Curtis, Bud, Not Buddy|If you didn't have a real good imagination you'd probably think those noises were the sounds of some kid blowing a horn for the first time, but I knew better than that. I could tell those were the squeaks and squawks of one door closing and another one opening.
Jennifer Megan Varnadore, An Angel's Misery|Life is pain and everyone dies, but true love lives forever.
Gilbert K. Chesterton|I'm fiercely patriotic, and the flag and the anthem is something that I really, really respect.
Dani Harper, Storm Warrior|Perhaps the so-called civilized world was a great noisy burden beneath all its wonders, and it was a relief to let go of it for a while.
Toba Beta, My Ancestor Was an Ancient Astronaut|Belief has nothing to do with facts,especially for the unbelievable facts.
Levon Peter Poe|Anytime you "know" something to be true, even when outward circumstances or facts seem to be telling you otherwise, you have experienced your intuition. Remember that feeling. It will be your touchstone in the future.
Dale B. Martin, Sex and the Single Savior: Gender and Sexuality in Biblical Interpretation|Instead of becoming a woman of the world, become a woman of the Word.
Jonathan Tropper, This is Where I Leave You|If at first you don't succeed, lower you expectations
Arizona Muse|If I can bring happiness to people all around the world, then I will try my best to do so.
Nicholas Kristof|Smart financial planning - such as budgeting, saving for emergencies, and preparing for retirement - can help households enjoy better lives while weathering financial shocks. Financial education can play a key role in getting to these outcomes.
Steven Magee|Ours was the first nation to be founded on the idea that all are created equal and all deserve equal treatment under the law. Despite our missteps and shortcomings, these ideals still inspire hope among the oppressed and give us pride in being Americans.
|Don't just dream because everyone around you is dreaming; instead, dream big because you deserve a better life, and can achieve it.
Erin Hunter, A Dangerous Path|Fireheart tensed, waiting for whatever had hunted down these apprentices to emerge from the trees and attack, but nothing stirred. Feeling as if his legs hardly belonged to him, he sprang down and stumbled across to Swiftpaw.The apprentice lay on his side, his legs splayed out. His black-and-white fur was torn, and his body was covered with dreadful wounds, ripped by teeth far bigger than any cat's. His jaws still snarled and his eyes glared. He was dead, and Fireheart could see that he had died fighting.
Carly Fiorina|Unlike President Obama, I would say that I support the long-standing bipartisan post-war belief that American global strength and leadership secures our national-security interests, and it also promotes order and stability in the world. And it gives us immense influence in the world and deters our adversaries and reassures our allies.
Auliq Ice|.....we preferred each other’s company to company of anyone else. We excited one another’s in every imaginable way. We never bored each other. Our body mirrored our souls’ closeness. I never failed of erection, she never lacked lubrication, and our couplings carried us both to ecstasy. I’d call these things the parameters of love.
Anthony Powell, The Valley of Bones|All that hatred down there," he said, "all that hatred and misery and love. It's a wonder it doesn't blow the avenue apart.
G.K. Chesterton, The New Jerusalem|The leaf of the camomile, parboiled in water, conduces to calm. And yet I do not worship it.
Boris Pasternak|I am weary of this notion of faithfulness to a point of view at all cost. Life around us is ever changing, and I believe that one should try to change one’s slant accordingly—at least once every ten years. The great heroic devotion to one point of view is very alien to me—it’s a lack of humility. Mayakovsky killed himself because his pride would not be reconciled with something new happening within himself—or around him.
Ryan Hurd, Dream Like a Boss: Sleep Better, Dream More, and Wake Up to What Matters Most|There now remain only a few books, which they call books of the lesser prophets; and as I have already shown that the greater are impostors, it would be cowardice to disturb the repose of the little ones. Let them sleep, then, in the arms of their nurses, the priests, and both be forgotten together.
Andrew Rayner, Reach for Paradise|It is my favorite thing, I think, that I have ever seen. Sometimes I catch myself staring at it and forget my duties. It seems big enough to contain everything anyone could ever feel.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Meditation can be a refuge, but it is not a practice in which real life is ever excluded. The strength of mindfulness is that it enables us to hold difficult thoughts and feelings in a different way—with awareness, balance, and love
