Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
Darrell Calkins|We all understand the value of sacrifice, even if that only involves setting aside dessert so as to lose weight, or putting money in the bank so as to later buy a house. Progress or achievement in any arena requires choices that often oppose what one feels like doing. The trick in truly succeeding with this in the long run is locating enough depth of feeling that the experience of conflicting desires dissolves. For that to happen, one has to learn how to think emotionally and physiologically.
Aboubakar Msangi|Parents are like Kingdom, Your are the King.No matter where you stand, how Great n Rich you are!A King Is Always Known By His Kingdom.
Eowyn Ivey, The Snow Child|She told no one of the otter. Garrett would want to trap it; Faina would ask her to draw it. She refused to confine it by any means because, in some strange way, she knew it was her heart. Living, twisting muscle beneath bristly damp fur. Breaking through thin ice, splashing in cold creek water, sliding belly-down across snow. Joyful, though it should have known better.
Sunday Adelaja|We Christians are bound hands and feet, sitting down in the pews instead of going out to explore the earth for the Son of God, king of kings and the Lord of Lords
Richard Dawkins, The God Delusion|There is something distinctly odd about the argument, however. Believing is not something you can decide to do as a matter of policy. At least, it is not something I can decide to do as an act of will. I can decide to go to church and I can decide to recite the Nicene Creed, and I can decide to swear on a stack of bibles that I believe every word inside them. But none of that can make me actually believe it if I don't. Pascal's Wager could only ever be an argument for feigning belief in God. And the God that you claim to believe in had better not be of the omniscient kind or he'd see through the deception.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|If all men are made in God's reflection, then why do some people continue to acknowledge only what is in their part of the mirror? If every man was created equal and in the image of God, then how can any man claim that one race is better than another?
Edgar Allan Poe|Darwin got it all wrong, you see. Fitness has nothing to do with it. It's survival of the sickest. That's all.
Jess Dee, Office Affair|Ashlinn was lovely to look upon, someone who could easily snub half of the highest-paid stars in Hollywood and break the hearts of the rest.
Phil Wohl, Second Honeymoon on Dune Road|The one general theme I took away from that first week with my new friends, was that everyone had their issues. Life in its simplest form is an attempt to deal with and avoid potential impediments. Some families take dysfunction to lofty heights while other break apart like Oreos mixed in a blender.
Lorii Myers, Targeting Success, Develop the Right Business Attitude to be Successful in the Workplace|Wasted strokes, like missed deadlines, are preventable and costly.
Mehmet Murat ildan|Here is a tragicomic reality of all the regimes: People work hard to feed their thief politicians, their thief kings and thief queens or their thief presidents! And therefore the tragicomic reality of all the times is this: There can exist no thieves without the support of people!
Ernest Agyemang Yeboah|If you think the world is full of darkness, let us see your light. If you think the world is full of wickedness, let us see your goodness. If you think people are acting wrongly, let us see your right action. If you think people don't know, let us see what you know. If you think the world is full of uncaring people let us see how you care about people. If you think life is not being fair to you, let us see how you can be fair to life. If you think people are proud, let us see your humility. We can easily find fault and we can easily see what is wrong but a positive attitude backed by a right action in a true direction is all we need to survive in peace and harmony in the arena of life
Dada Bhagwan|The worldly [spiritual] science is methodic (kramic) in nature; one progresses “step by step”; one has to ascent one step at a time. Whereas this here, is Akram Vignan, a path of step-less spiritual science; it is a science that has arisen after 10 Lac (a million) years. In this path, one travels in only an ‘elevator’. There is no effort to climb stairs here. Thereafter, one is constantly in the uninterrupted bliss of the Self (samadhi). There is constant bliss amidst mental affliction (aadhi), internal suffering (vyadhi) and externally induced affliction (oopadhi).
Mike Jay, A Visionary Madness: The Case of James Tilly Matthews and the Influencing Machine|It was Matthews, of course, for whom the verdict was the greatest disaster. Not only had he failed to escape from Bedlam, but the anomalies of the case made it highly unlikely that he would have the chance to appeal again. His family and friends had assembled an impeccable case, most of which had been ignored.
Pauline Creeden, Raven|Because often it is the reader of adventures who saves the world. Because no matter how bad things look, or how rough things get, the reader keeps turning the pages... A reader never walks away from her own story.
Will Boast, Power Ballads|There were no ideas in music, only touch and instinct and sometimes grace—the mechanical tools—and that among those who were given the tools, only a few, a scant few, would be able to tell you something true.
Ramsey Isler|A community, a family, is a group of people who share common stories. The health of any community depends directly on the health of the stories the community embraces.
Lailah Gifty Akita|In the end, we serve, the Saviour, who saved us from death to life.
Charles Baxter, The Soul Thief|The point is that although love may die, what is said on its behalf cannot be consumed by the passage of time, and forgiveness is everything.
Ariel Sharon|People always love and respect characters who speak the truth, even if the truth hurts.
Brandon Stanton, Humans of New York|I remember taking an anthropology class in college and the professor was explaining that there is little 'sexual dimorphism' in humans. He meant that there are few outward, observable differences between makes and females. At the time I was confused, so I raised my hand. 'I feel like it's very easy to tell men and women apart,' I said.'That's due to culture,' he answered.
Melanie Pinola, LinkedIn In 30 Minutes: How to create a rock-solid LinkedIn profile and build connections that matter|Whatever (its) virtues, (the) writing explores the culture of work but marginalizes work itself.
Melody  Lee, Moon Gypsy|Her skin smells of vintage books and pale moonlight, exotic things, forbidden loves and rainy nights.
Drake Bell|I'm totally the 'decorate early, start listening to Christmas songs super early' guy. I've just always been that way.
Alain de Botton, Religion for Atheists: A Non-Believer's Guide to the Uses of Religion|Some people brag about standing for something so hard and so much, that they do not realize that they are actually sitting.
Ilchi Lee|They might be drugs that alter the states of consciousness, or they might be states of transcendence reached in meditation. They might be moments of orgasm, or fugue states, or day-dreams that take you momentarily to a rewarding fantasy and escape from responsibility. All of these are treasures of the spirit or psyche that allow exploration along paths which are undefined and completely individual.
Stephen Emond, Winter Town|Do you think someone can change? Like maybe in a year or two? Like, do you think if maybe two people aren't right for each other right now, maybe they could be later?
Brandon Sanderson, The Final Empire|What would you think if I told you that I wasn’t an Allomancer?” Sazed asked.“I’d think that you were lying,” Vin said.“Have you known me to lie before?”“The best liars are those who tell the truth most of the time.
Abdulazeez Henry Musa|Love by itself isn't enough; it's never enough. There had to be other things, such as liking and respect, or love would get worn away by the realities of everyday life.
Neal Shusterman, Everfound|Your friend Mikey knew what my touch could do, but he didn’t tell me. He turned me into a murderer. Worse than a murderer.”“I think,” said Nick, “they call that manslaughter or wrongful death, don’t they? I mean, when it’s an accident or out of ignorance, or something.”Clarence turned to Nick, studying him with his Everlost eye. “You’re a lot smarter than you were back in the cage,” Clarence said. “You look better too. Back then you were a thing, now you’re almost a person.”“Thanks . . . but ‘almost’ is still ‘almost.’”“Yeah, well, we’re all almost something.
Nenia Campbell, Cease and Desist|Maybe that was why the French called orgasms “las petites morts”: because the things that bring us passion tend to slip past our defenses, to creep insidiously into every facet of our consciousnesses and kill us as ruthlessly, and efficiently, as any drug.
Andre Rieu|My mother was a churchgoing lady, so I always heard about God at home.
Jodi Benson|I have three daughters, so I can't be as tough as I want to be. When you have kids - especially daughters - they know how to work you. They're a lot smarter than we are, that's for sure. But I'll be more tough on their boyfriends.
Kait Ballenger, Midnight Hunter|Like something straight out of a B-grade horror film, a single arm shot up from the dirt, reaching and grabbing as it clawed its way forth from its earthen prison. Ash and Trent watched the monster struggle in silence for at least ten minutes, occasionally exchanging glances. Finally, after all the writhing, the zombie emerged. It stumbled out of its grave covered in dirt and gave an annoyed-sounding groan.
Akiroq Brost|Change is never convenient. I'm talking about acceptance here. Don't be misguided into thinking change is going to be easy. If you're facing change then you're challenging a norm, your norm. You've adapted to that and now it's being challenged. It's being turned inside out and upside down. You may feel that can't quite find your footing. It's all foreign. You may feel lost in it, quite unsure of yourself, unsure of what to do, or how to do it. Don't worry. Everything new was once like this, and you made it through. You'll find a way. Have faith. Keep hope in your heart. If you want to get to the other side of anything you need to work through and endure change. It can be awkward and uncomfortable. Change is never comfortable. It takes time and patience. It takes self-love and acceptance. It takes grace and self-forgiveness. Take it one step at a time. Break it down. You'll make it to the other side.
Lester Grinspoon, Marihuana Reconsidered|I am convinced that there are genuine and valid levels of perception available with cannabis (and probably with other drugs) which are, through the defects of our society and our educational system, un-available to us without such drugs.
Carlos Ruiz Zafón, The Shadow of the Wind|In my schoolboy reveries, we were always two fugitives riding on the spine of a book, eager to escape into worlds of fiction and secondhand dreams.
Aileene Mhar Jabarani|The are things that you might forget, but you might not clearly forget. Time is the only coin you have to buy the things you want to remember, and to pay for the things you want to leave behind.
J.R.R. Tolkien, The Hobbit|Elvish singing is not a thing to miss, in June under the stars, not if you care for such things.
David Chiles|Show your netiquette, to become cyber friends with those you have met, on the internet. NetworkEtquette.net
Ed Lynskey, The Blue Cheer|In near panic, I craned my neck to gaze over the cabin’s roofline a bursting fireball.
Dashiell Hammett, The Thin Man|There is something awe-inspiring in one who has lost all inhibitions, who will do anything. Of course we make him pay afterward for his moment of superiority, his moment of impressiveness.
Rosemary Sutcliff, The Eagle of the Ninth|And what will they do to you when you have told them this story?' Esca said very simply, 'They will kill me.' 'I am sorry, but I do not think much of that plan.' Marcus said.
Dean Ornish|I am young, and I am cool, and I want to wear cool clothes!
Nina D'Angelo, Nowhere to Hide|Listen to me you piece of shit, if you ever give the press information about me, my parents or even breathe a word about me to anyone ever again, I swear to god I will make it my mission to make your life a living hell. And, believe me I’ll do it with a smile on my face the whole time. You’re a worthless excuse for a Detective and everyone here knows it. You’ve screwed your way to the top and backstabbed Gena to get into your Captain’s good books. Well look around you honey, you’re a real star. No one stopped Gena or me taking you on. I’ve currently got you in a hold, where I could snap your neck if I wanted to, and not one person is stepping forward to help you. Yeah, you’ve really made it.” - Stephanie Carovella to Sandra Barton
Mark J.P. Wolf, Building Imaginary Worlds: The Theory and History of Subcreation|Subcreation is not just a desire, but a need and a right; it renews our vision and gives us new perspective and insight into ontological questions that might otherwise escape our notice within the default assumptions we make about reality.
Aarifa the biggest animal lover in the world|I believed that it might be pulling these different impressions of itself from my mind and projecting them back at me, as a form of camouflage. To thwart the biologist in me, to frustrate the logic left in me.
Daisy Hernandez|It is an empty room, that afterwards, a soledad, and it sits there at the center of a person's life and waits to be filled.
Maureen Johnson|WORTH IT and perfect are different things. No one’s perfect, yet in romance, everyone becomes WORTH IT. And that’s the trick.
Chinua Achebe, Things Fall Apart|He must shape simultaneously (in an expanding creative moment) his characters, plot, and setting, each inextricably connected to the others; he must make his whole world in a single, coherent gesture, as a potter makes a pot...
Joseph Force Crater|It took a deadly illness to put me eye to eye with that truth, but it is a truth that the country, caught up in its ruthless ambitions and moral decay, can learn on my dime.
William Shakespeare, The Merchant of Venice|Look on beauty,And you shall see 'tis purchased by the weight;Which therein works a miracle in nature,Making them lightest that wear most of it:So are those crisped snaky golden locksWhich make such wanton gambols with the wind,Upon supposed fairness, often knownTo be the dowry of a second head,The skull that bred them in the sepulchre.Thus ornament is but the guiled shoreTo a most dangerous sea; the beauteous scarfVeiling an Indian beauty; in a word,The seeming truth which cunning times put onTo entrap the wisest.
Mike Russell, Nothing Is Strange|He appears close to my age. The left half of his face stands out beneath the hood: one side of plump lips, one squared angle of a chin. Two coppery-colored eyes look back at me – bright and metallic. The sight makes me do a double take. As far as he is from the car, I shouldn’t be able to make out the color, yet they glimmer in the shadow of his cape, like pennies catching a flashlight’s glare in a deep well.
Matshona Dhliwayo|You can't hide from wisdom, it's everywhere;you won't find it in everyone, it's too rare.
Sunday Adelaja|It is necessary to analyze all the restricting beliefs and complexes, which we acquired in childhood, from family, school and society
Lauren F. Winner, Girl Meets God|It is a great gift when God gives me a stirring, a feeling, a something-at-all in prayer. But work is being done whether I feel it or not.
Qiu Xiaolong, Death of a Red Heroine|For if our bodies aren’t our own,And justice isn’t ours,And our love is just a sin,And voices by the peopleAre no longer for the people,What have we left to lose?
Deborah Levy, Hot Milk|I have always wanted to go to Trieste because it sounds like tristesse, which is a light-hearted word, even though in French it means sadness. In Spanish it is tristeza, which is heavier than French sadness, more of a groan than a whisper.
Kristen Ashley, Rock Chick|I prefer to make up my own quotes and attribute them to very smart people, so that I can use them to win arguments
Leah Raeder, Cam Girl|Each heartbreak is a little death, all the same.
Craig McLay, Village Books|The now reality is our only home, where everything already is. There is no other home we came from, and we might think we shall return to.
Lailah Gifty Akita, Think Great: Be Great!|You can read the word of God, but without mediation and prayer, we become spiritually weak and unfilled.
Alan Brennert, Moloka'i|She already felt dead in everything but name. What remained to be taken from her? She longed to be enfolded, welcomed, into the earth - to breathe no more, love no more, hurt no more
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|Incredible ideas, results, and outcomes are possible when two or more minds come together for a common purpose.
Ilchi Lee, Change: Realizing Your Greatest Potential|Because consciousness has no mass and extension, no parts or physical properties, it is Nothing, which on the other hand, can generate the matter and energy of the entire universe.
Friedrich Schiller|When I talk to people in need, they tell me they want to hope; they are eager for opportunity; they are ready for better days. And I can tell you that every time their hopes are disappointed, all nations lose.
Jan Karon|He dropped the tavern apron in a heap on the floor and pulled the freshly laundered one up and over his head, tied it with slightly tremoring fingers. The vast whiteness felt like absolution.
Michael Singer, The Untethered Soul: The Journey Beyond Yourself|Two monks were once travelling together down a wet and muddy road. The rain was torrential, making it almost impossible to walk along the path. As the two men were trudging along, a beautiful girl dressed in silk appeared. She was unable to cross the path and looked distressed. “Let me help you”, said the older monk. He picked her up and carried her over the mud. His younger male companion did not utter a word that night until they reached their lodging temple. Then after hours of restrained conversation, the younger monk exclaimed: “We monks do not touch females; it is too tempting for us and can create a bad outcome”. The older monk looked into the younger monks eyes and said, “I left the girl on the road. Are you still carrying her?” This ancient Zen story illustrates beautifully how so many of us are trapped in the habit of constantly “re-living” the past in our minds, thus dishonouring the present moment. The young monk wasted hours distressing himself with judgment, speculation, anxiety, resentment and ultimately self-perpetuated unhappiness as a direct result of not being mindful.
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|Calamities reveal your capabilities. Take note of this and when times get odd, prepare and shine.
Rachel Held Evans, A Year of Biblical Womanhood|Stop using him, and start protecting him. I know he thinks he doesn't need it, but sometimes he does. Sometimes we all do.
Terry Pratchett, Witches Abroad|Most people, on waking up, accelerate through a quick panicky pre-consciousness check-up: who am I, where am I, who is he/she, good god, why am I cuddling a policeman's helmet, what happened last night?And this is because people are riddled by Doubt. It is the engine that drives them through their lives. It is the elastic band in the little model aeroplane of their soul, and they spend their time winding it up until it knots. Early morning is the worst time -there's that little moment of panic in case You have drifted away in the night and something else has moved in. This never happened to Granny Weatherwax. She went straight from asleep to instant operation on all six cylinders. She never needed to find herself because she always knew who was doing the looking.
Elie Jerome, I Dare You to Try It|People may say many negative things about love, but it will remain the most beautiful sensation and strongest emotion ever felt. Love opens sky, makes the sun shine at midnight, stops time, and cure all wounds. Love is paradise and love is God.
Bill Hader|The Government wants to give young people from every community the chance to learn about the heroism and sacrifice of our great-grandparents, which is why we are organising visits to the battlefields of the Western Front.
Michelle Madow, Timeless|The earthquake, however, must be to every one a most impressive event: the earth, considered from our earliest childhood as the type of solidity, has oscillated like a thin crust beneath our feet; and in seeing the laboured works of man in a moment overthrown, we feel the insignificance of his boasted power.
David Fredette|We all have a purpose, or calling. If it's greed, hence, lies the wrong path.
Charles Eisenstein, The More Beautiful World Our Hearts Know Is Possible|I am saying that there is a time to do, and a time not to do, and that when we are slave to the habit of doing we are unable to distinguish between them.
Ernest Agyemang Yeboah|Keep hoping until hope dies; remember, however, that hope never dies! Just take good steps with faith and hope!
Sam Simon|If I'm pushed, I'd also have to admit I don't like people with allergies. They just annoy me. There seems to be something far too self-centred about it. 'No thanks, I'm allergic.' Why not just say 'No thanks'? I wasn't asking for your medical history, I was just passing around the nuts. Trying to be friendly, that's all.
Portia Doubleday|One of my earliest memories is my father telling me to behave because I'm about to meet and work with the greatest actor of all time. Then this old guy comes out and I was like, 'Pfff, he doesn't look anything like Luke Skywalker, I don't know what my dad is trying to tell me here.'
Lorrie Moore, Like Life|It occurred to me that when I begin to write, I open myself and wait. And when I turn toward an inner spiritual awareness, I open myself and wait.
Craig Groeschel, Weird: Because Normal Isn't Working|Most of all, we remain focused on our Rock that never moves.
Jessica Fechtor, Stir: My Broken Brain and the Meals That Brought Me Home|To trust in your own aliveness, in your own ability to sustain and be sustained - there are times when there is no greater act of defiance.
Jeanette Winterson|Those old sayings about Give It Time, and Time is a Healer depend on just whose time it is.
Kimberly Morgan, On Angels and Rabbit Holes|A fickle lover, sleep takes us as it will, when it wants, and how. Sensing her desperate need, however, it draws Corrie deeply into its embrace, somewhere between her tears and terror.
Aliya Whiteley, The Beauty|My name is Nathan, just twenty-three and given to the curation of stories. I listen, retain, then polish and release them over the fire at night, when the others hush and lean forward in their desire to hear of the past. They crave romance, particularly when autumn sets in and cold nights await them, and so I speak of Alice, and Bethany, and Sarah, and Val, and other dead women who all once had lustrous hair and never a bad word on their plump lips. I can remember this is not how they were; I knew them, I knew them! Only six years have passed and yet I mythologize them as if it is six thousand. I am not culpable. Language is changing, like the earth, like the sea. We live in lonely, fateful flux, outnumbered and outgrown.
David Sikhosana, Time Value of Money: Timing Income|Always put people first, for without them, there is no organization
James Morris Robinson, Genesis: A New World Order|the country is almost ruined with pious white people: such pious politicians as we have just before elections, such pious goings on in all departments of church and state, that a fellow does not know who'll cheat him next.
James     Baldwin|When I was foolish, I detested sagacity. I ate the fruits of my foolishness and ignorance. I thank God because I was once foolish. It was from my foolishness that I learnt and understood the true savour of sagacity.
Richard Linklater|By any reasonable measure of achievement, the faith of the Enlightenment thinkers in science was justified.
Benedict Cumberbatch|I have all these great genes, but they're recessive. That's the problem here.
Tony Danza|I'm very grateful and fully aware that 90 percent of actors are not working. Going from public school teacher to a show like 'Grey's Anatomy', I love what I do.
Brighton Walsh, Captive|When your day has been teeming with different sensations, when you have things on your mind, you can get to sleep to start with but you can't get back to sleep. Sleep comes a lot more easily than it comes back.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|Conversation starters. Icebreakers. Openers. However you choose to label them, that moment when the first words come out of your mouth can make or break the outcome of your entire conversation. Been there, done that, right?
Andrew Marvell, The Complete Poems|Now therefore, while the youthful hue Sits on thy skin like morning dew, And while thy willing soul transpires At every pore with instant fires, Now let us sport us while we may, And now, like amorous birds of prey, Rather at once our time devour Than languish in his slow-chapped power.Let us roll all our strength and all Our sweetness up into one ball, And tear our pleasures with rough strife Thorough the iron gates of life: Thus, though we cannot make our sun Stand still, yet we will make him run.
Brennan Manning, The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out|Holding the space for yourself: Embrace the here and now. Embrace the journey. Try not to judge yourself but rather try to accept yourself as you are. Success is measured in staying on the path, not in how many successes or failures you've had along the way. Let gratitude fill your heart, live with love, laugh and enjoy the journey. All of life is a journey.
Lundy Bancroft, Why Does He Do That?: Inside the Minds of Angry and Controlling Men|It is important to note that research has shown that men who have abusive mothers do not tend to develop especially negative attitudes toward females, but men who have abusive fathers do; the disrespect that abusive men show their female partners and their daughters is often absorbed by their sons.So while a small number of abusive men do hate women, the great majority exhibit a more subtle—though often quite pervasive—sense of superiority or contempt toward females, and some don’t show any obvious signs of problems with women at all until they are in a serious relationship.
Phil Callaway|Back when I was a devout Pharisee, I scowled at those who talked about grace, assuming they wanted both salvation and permission to do whatever they pleased. And when I came to discover grace as a biblical concept, it frightened me at first. The old idea of being saved by works has its benefits. It's a system where God owes you. You've been helping him out with all your good deeds. He can't very well put you through difficulty, since you're a taxpayer. You've paid your dues, you have your rights. But the beyond-belief teaching of grace is that we get what we can never pay for and more, including joy and hope and the desire to please him. I like living by God's grace a lot better than relying on my own efforts.
Edgar Allan Poe, The Complete Stories and Poems|Philosophers have often held disputeAs to the seat of thought in man and bruteFor that the power of thought attends the latterMy friend, thy beau, hath made a settled matter,And spite of dogmas current in all ages,One settled fact is better than ten sages. (O,Tempora! O,Mores!)
Palmer Luckey|I think a guitar solo is how my emotion is most freely released, because verbal articulation isn't my strongest communication strength. My wife thinks that I should do interviews by listening to the questions and playing the answer on guitar.
Miles  Cameron, A Plague of Swords|Oily, cold-water fish from remote, pollution-free waters (anchovies, herring, mackerel, salmon, sardines) are some of the most nutrient-rich foods on the planet: no other food comes close to their omega-3 levels.
Richard Rohr, Hope Against Darkness: The Transforming Vision of Saint Francis in an Age of Anxiety|Friends, we have a hero living among us.
Elizabeth Hoyt, Notorious Pleasures|That’s what it takes to be a hero, a little gem of innocence inside you that makes you want to believe that there still exists a right and wrong, that decency will somehow triumph in the end.
Natalie Wee, Our Bodies & Other Fine Machines|Like any / unloved thing, I don’t know if I’m real /when I’m not being touched.
Natalia Kills|My mother works in a bank, and my dad is the head of my management team and also works in finance.
Joni Mitchell|The increase of scientific knowledge lies not only in the occasional milestones of science, but in the efforts of the very large body of men who with love and devotion observe and study nature.
Jennifer L. Armentrout, The Return|We divided ourselves among caste, creed, culture and countries but what is undivided remains most valuable: a mere smile and the love.
Debasish Mridha M.D.|If you look for beauty, you will find it.
David Brooks|Whenever God allows a mass blindness to cover his church, it is not out of stupidity, it is out of divine providence
Osho|Remember, if you cannot live with yourself, you cannot live with anyone else. The capacity to be alone is the capacity to love. It may look paradoxical to you, but it is not. It is an existential truth: only those people who are capable of being alone are capable of love, of sharing, of going into the deepest core of the other person—without possessing the other, without becoming dependent on the other, without reducing the other to a thing, and without becoming addicted to the other.
Ana Rangel & Gerry O'malley|Share your light and wisdom, let it flow outwards and touch people. By raising your energy you will help others and you will also add to the awareness of the collective consciousness.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|When you consistently hold onto your passion with faith and unconditionality regardless of what anyone says or does, the very fire that ignites your passion, will pave a way for your dream to manifest in the physical universe.
Stefan D|Australia is filled with roundabouts and everyone drives on the wrong side of the road. In the end we decided to split up the work and I feverishly watched the GPS and yelled, "Left! Right! ROUNDABOUT!
Hlovate, Versus|You'll never reach perfection because there's always room for improvement. Yet get along the way to perfection, you'll learn to get better.
John Grogan, Bad Dogs Have More Fun: Selected Writings on Family, Animals, and Life from The Philadelphia Inquirer|The rhythm of solitude, once so intimidating, began to feel comfortable. Aloneness, I was learning, does not have to equal loneliness.
Ron Baratono|If a homeless person has a funny sign, he hasn't been homeless for that long. A real homeless person is too hungry to be funny.
Eric Lowitt, The Collaboration Economy: How to Meet Business, Social, and Environmental Needs and Gain Competitive Advantage|If left unexecuted, even the greatest competitive strategies are not worth the paper on which they were written.
William Osler|Contrary to conventional wisdom, the blue blazer's a bit of a loose cannon. A suit decided long ago what it wanted to be, and it doesn't want to hear your ideas, but a blue blazer only got around to half the job. So it leaves it up to you to find its bottoms. Gray slacks, blue jeans, patterns, white pants and different blue shades all work.
Bertrand Russell, The Conquest of Happiness|To all the talented young men who wander about feeling that there is nothing in the world for them to do, I should say: 'Give up trying to write, and, instead, try not to write. Go out into the world; become a pirate, a king in Borneo, a labourer in Soviet Russia; give yourself an existence in which the satisfaction of elementary physical needs will occupy almost all your energies.' I do not recommend this course of action to everyone, but only to those who suffer from the disease which Mr Krutch diagnoses. I believe that, after some years of such an existence, the ex-intellectual will fin that in spite of is efforts he can no longer refrain from writing, and when this time comes his writing will not seem to him futile.
E.B. White, Writings from The New Yorker 1927-1976|As our larynxes descended, we were able to make sounds with our mouths in new and far more expressive ways. Verbal language soon overtook physical gesturing as the primary means of communication for all human beings except Italians. (Earth (The Book), p. 36)
Sergei Lukyanenko|Humans are in delusion by default, and those who conquer their delusion can understand good and evil. Morality is an arbitrary abstract, it is not good or evil and those who provoke morality a righteous act, are still at the sideways of delusion and conquer.
Ann Tyler|Poppy said. “Because I was always telling him, ‘Look,’ I said. ‘Face it,’ I said. ‘There is no true life. Your true life is the one you end up with, whatever it may be. You just do the best you can with what you’ve got,’ I said.
Neel Burton, Heaven and Hell: The Psychology of the Emotions|Now, it so happens that our culture—or lack of it, for our culture is in a state of flux and crisis—places a high value on materialism, and, by extension, greed. Our culture’s emphasis on greed is such that people have become immune to satisfaction. Having acquired one thing, they are immediately ready to desire the next thing that might suggest itself. Today, the object of desire is no longer satisfaction, but desire itself.
Zig Ziglar|Man must be an emptiness, a nothingness, which is not a pure nothingness (reines Nichts), but something that is to the extent that it annihilates Being, in order to realize itself at the expense of Being and to nihilate in being. Man is negating Action, which transforms given Being and, by transforming it, transforms itself. Man is what he is only to the extent that he becomes what he is; his true Being (Sein) is Becoming (Werden), Time, History; and he becomes, he is History only in and by Action that negates the given, the Action of Fighting and of Work — of the Work that finally produces the table on which Hegel writes his Phenomenology, and of the Fight that is finally that Battle at Jena whose sounds he hearts while writing the Phenomenology. And that is why, in answering the “What am I?” Hegel had to take account of both that table and those sounds.
Sarah Rees Brennan, The Demon's Lexicon|He managed to make his request with the minimum of time given to speculating what she looked like naked, forgiving himself for the instant of fantasy by telling himself it was the curse of being male. In the presence of a beautiful woman, he had always experienced that knee-jerk reaction to being reduced - if only momentarily - to skin, bone, and testosterone.
Priyavrat Thareja|Is Wisdom derived from the accumulation of one's experiences, or rather one's thoughtful reflection upon what he has learned throughout the process?
Dorothy L. Sayers, The Lost Tools of Learning|Has it ever struck you as odd, or unfortunate, that today, when the proportion of literacy is higher than it has ever been, people should have become susceptible to the influence of advertisement and mass propaganda to an extent hitherto unheard of and unimagined?
Christian Baloga|It is better for you to take responsibility for your life as it is, instead of blaming others, or circumstances, for your predicament. As your eyes open, you'll see that your state of health, happiness, and every circumstance of your life has been, in large part, arranged by you - consciously or unconsciously.
