Paolo Bacigalupi, The Water Knife|Jesus walked on water, so maybe he makes aquifers, too.
David Mathis, Habits of Grace: Enjoying Jesus through the Spiritual Disciplines|This is the heart of prayer—not getting things from God, but getting God.
David Eddings, Enchanters' End Game|You won't be able to do it wrong, Durnik--any more than you'd be able to lie or cheat or steal. It's built into you to do it right, so don't worry about it.""That's all very well for you to say, Mistress, Pol," he replied, "but if you don't mind, I will worry about it just a bit--privately of course.
Edward Humes, Garbology: Our Dirty Love Affair with Trash|[S]ome score of members of the High Court of Chancery bar ought to be --- as here they are --- mistily engaged in one of the ten thousand stages of an endless cause, tripping one another up on slippery precedents, groping knee-deep in technicalities, running their goat-hair and horse-hair warded heads against walls of words, and making a pretence of equity with serious faces ....
Saravana Kumar Murugan, Coffee Date|Friendship, a covalent bond, powerful and without any expectations.
Kilroy J. Oldster, Dead Toad Scrolls|Our daily habits – honorable and dishonorable, noble and ignoble, vital and vile – are revelatory. Our sense of self is fashioned partially by what we employ to crank us up in order to charge through every day, or stated otherwise, what vices we partake of and what substances we are addicted to using.
Robert Kraft|What gives me the most hope every day is God's grace; knowing that his grace is going to give me the strength for whatever I face, knowing that nothing is a surprise to God.
Eric Samuel Timm|They are the ones who bring meaning to our lives, who happen to inspire, who spark a fire that we carry with us for the rest of our days, who are but pillars of hope and sometimes sacrifice, life-changers, life-savers, catalysts.
Bryonie Wise, HEART ROAR: A Book of Tiny Prayers|choose your words well(be honest, be true)butabove all else,be kind
Catherine Lacey, The Answers|I sometimes wondered why I even answered the phone, but I guess I always had the hope that it would be someone else, some other way of life calling for me.
Abigail Adams|I made decisions that I regret, and I took them as learning experiences... I'm human, not perfect, like anybody else.
Amanda Young, Circling Back|Stella couldn’t believe this was happening. Gavin and Holden were both in her bed and just as desperate for her as she was for them. Her life had morphed into a cross between a romance novel and a porno. If she was dreaming, she didn’t ever want to wake up.
Wasif Ali Wasif|We in the West regard the universe as a creation of God; like an invention or a product. After he created the universe, God set himself to oversee it and manage it. We see God as our boss. He created the universe, he is present in it, he manages every part of it, but he is still separate from it. It's like he installed video cameras all over the universe, so he can see everything that happens, and he can cause this or that to happen, but he is not a part of what happens. The Eastern view is very different. To the Hindu, for example, God didn't create the universe, but God became the universe. Then he forgot that he became the universe. Why would God do this? Basically, for entertainment. You create a universe, and that in itself is very exciting. But then what? Should you sit back and watch this universe of yours having all the fun? No, you should have all the fun yourself. To accomplish this, God transformed into the whole universe. God is the Universe, and everything in it. But the universe doesn't know that because that would ruin the suspense. The universe is God's great drama, and God is the stage, the actors, and the audience all at once. The title of this epic drama is "The Great Unknown Outcome." Throw in potent elements like passion, love, hate, good, evil, free will; and who knows what will happen? No one knows, and that is what keeps the universe interesting. But everyone will have a good time. And there is never really any danger, because everyone is really God, and God is really just playing around.
Sarah Hunter Hyatt, A Dash of Madness: A Thriller Anthology|No woman will ever take care of my children but me, she said. I will not allow it, do you understand?And after I am gone Madge Toxley, if you try to make them yours, then you will live to regret it.
Dawn French|I've done plenty of daredeviling - from white-water rafting to bungee jumping. But I think the most fearless was hosting the Emmy Awards. It was overwhelming, and I definitely had to leave fear at the door.
Miguel Reynolds Brandao, The Sustainable Organisation - a paradigm for a fairer society: Think about sustainability in an age of technological progress and rising inequality|We maintain, on the contrary, that war is simply a continuation of political intercourse, with the addition of other means. We deliberately use the phrase “with the addition of other means” because we also want to make it clear that war in itself does not suspend political intercourse or change it into something entirely different. In essentials that intercourse continues, irrespective of the means it employs.
Fia Black, The Broken Mask|You are not allowed to get lost unless I want to lose you. You aren’t allowed to be found, unless it’s me doing the finding. And the only way you’re allowed to die is if I choose to kill you with my own hands. Your life doesn’t belong to you anymore, and if I have to murder you tonight and paint the snow with your blood to make you understand that, I will. You are mine, Kingsley. End of discussion.
C. Elizabeth|Years of love, followed by heartache. Those are the years that define me.Those are the years that know– love’s eternity is you.
Aline Ohanesian, Orhan's Inheritance|We don't want to hear it, but one of the biggest "secrets" to success is the ability to take action.
shivangi lavaniya|i asked myself "what you wanna become" she replied "everything i am
Mahatma Gandhi|Faith is not something to grasp, it is a state to grow into.
Jaron Lanier, You Are Not a Gadget|When the time travel is eventually doable technologically,yesterday was dead a man who is going to be born tomorrow.
Tony Blair|As the first Hispanic female governor in history, little girls often come up to me in the grocery store or the mall. They look and point, and when they get the courage, they ask 'Are you Susana?' and they run up and give me a hug.
Leo Tolstoy|...go live happily alone requires a serious amount of intentional thought. It's not as simple as signing the lease on your own apartment and leaving it at that. You must figure out what you need to feel comfortable at home and in the world, no matter your means (indeed, staying within your means), and arrange your life accordingly--a metaphorical architecture.
Anthon St. Maarten|Never shy away from opportunity and wholehearted living. Never be fearful of putting yourself out there. The courageous may encounter many disappointments, experience profound disillusionment, gather many wounds; but cherish your scars for they are the proud emblems of a truly phenomenal life. The fearful, cautious, cynical and self-repressed do not live at all. And that is simply no way to be in this world.
Rahul Bijlaney|We perceive our circumstances as good or bad. The circumstances in themselves are powerless unless we attach our emotions to them.A boyfriend and girlfriend witnessing the sunset together find it so very romantic. But if they are forced to stay separately, the same sunset causes pain since they are apart.A man dying of terminal illness finds it as a signal of death.A depressed man finds it as "one more day gone".A poet finds poetry in the sunset.A painter finds beautiful shades in it.It's the same sunset but the perceptions are different.Learn to see a situation as just a situation. Neither good nor bad. Then there is no pain. No ecstasy.Learn to just BE. Don't try to BE.Love and Peace to All!!!
Henry Kuttner, Masters of Horror|This is the story of a boy named Pete Coutinho, who had a spell put on him. Some people might have called it a curse. I don't know. It depends on a lot of things, on whether you've got gipsy blood, like old Beatriz Sousa, who learned a lot about magic from the wild gitana tribe in the mountains beyond Lisbon, and whether you're satisfied with a fisherman's life in Cabrillo.Not that a fisherman's life is a bad one, far from it. By day you go out in the boats that rock smoothly across the blue Gulf waters, and at night you can listen to music and drink wine at the Shore Haven or the Castle or any of the other taverns on Front Street. What more do you want? What more is there?And what does any sensible man, or any sensible boy, want with that sorcerous sort of glamor that can make everything incredibly bright and shining, deepening colors till they hurt, while wild music swings down from stars that have turned strange and alive? Pete shouldn't have wanted that, I suppose, but he did, and probably that's why there happened to him - what did happen. And the trouble began long before the actual magic started working.("Before I Wake...")
Anita R. Sneed-Carter|Find your place in life, and GROW!
Amit Kalantri|I agree that sometimes it is difficult to choose between right and wrong, but not between right and stupid.
Shannon L. Alder|And what if we’d been utterly open? Made jokes about the first wife? What if we’d been that kind of family? Well, I would have been different, surely. But not because I knew the secret. For it wasn’t the secret—the secret that wasn’t a secret anyway—that led to the austerity in our lives. It was the austerity that led to the secret. And what I had been marked by, probably most of all, was the austerity. It had made secrets in my life too. Or silences, anyway, that became secrets. That became lies. 
Harriet Brown|Between 10 and 20 percent of people with anorexia die from heart attacks, other complications and suicide; the disease has the highest mortality rate of any mental illness. Or Kitty could have lost her life in a different way, lost it to the roller coaster of relapse and recovery, inpatient and outpatient, that eats up, on average, five to seven years. Or a lifetime: only half of all anorexics recovery in the end. The other half endure lives of dysfunction and despair. Friends and families give up on them. Doctors dread treating them. They’re left to stand in the bakery with the voice ringing in their ears, alone in every way that matters.
Rey Mysterio|The biggest thing I possess is infinite patience. Once you are patient, things fall in place.
Dan Harris, 10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works|In short, you do not have to take the job that will create excessive stress and overarousal. Someone else will take it and flourish in it. You do not have to work long hours. Indeed, it may be your duty to work shorter ones. It may not be best to advertise it, but keeping yourself healthy and in your right range of arousal is the first condition for helping others.
Nate Berkus|Books are the heart of any home, and I spend hours going through books for design inspiration.
George Gissing, The Private Papers of Henry Ryecroft|Money is made at Christmas out of holly and mistletoe, but who save the vendors would greatly care if no green branch were procurable? One symbol, indeed, has obscured all others--the minted round of metal. And one may safely say that, of all the ages since a coin first became the symbol of power, ours is that in which it yields to the majority of its possessors the poorest return in heart's contentment.
Lauren Oliver, Liesl & Po|It was all very strange, Mr. Gray thought, as he wiped the coffee canister clean with a sponge. Very, very mysterious. You were born; you lived a whole life; and at the end, you wound up in a coffee canister."Ah, well," he said out loud quietly. "That's just the way things are. Life's a funny business." Death, he supposed, was the punch line.
Bakhtiyar Ali, I Stared at the Night of the City|I think that after a revolution a man needs a few years to get used to the new era. I knew from my limited and worthless experience that those who tear down and destroy one era cannot build another. Just as weapons can't suddenly become flowers, a killer can't suddenly turn gardener.Hasan-i Tofan, an earlier killer and member of "The Finishing-Off Sports Club
Donna Quesada, Buddha in the Classroom: Zen Wisdom to Inspire Teachers|The effects you will have on your students are infinite and currently unknown; you will possibly shape the way they proceed in their careers, the way they will vote, the way they will behave as partners and spouses, the way they will raise their kids.
Akon|Of all the things people have taught me regarding life lessons or anything that would benefit me, I don't think anything helped me learn more about life than football. You go through so many different things: adversity, how to handle adversity, how to handle success, how to lead, how to be a teammate, how to communicate.
Elton John|Without doubt, without hesitation, I choose gardening over the gym. I can't stand going to the gym. It doesn't appeal to me at all. Give me gardening every time.
Joseph Kosinski|I got up with my wife, I sat down at the computer when she went to work, and I didn't stop until she got home.
Adolf Hitler, Mein Kampf|Whereas it appeareth that however certain forms of government are better calculated than others to protect individuals in the free exercise of their natural rights, and are at the same time themselves better guarded against degeneracy, yet experience hath shewn, that even under the best forms, those entrusted with power have, in time, and by slow operations, perverted it into tyranny; and it is believed that the most effectual means of preventing this would be, to illuminate, as far as practicable, the minds of the people at large, ....whence it becomes expedient for promoting the publick happiness that those persons, whom nature hath endowed with genius and virtue, should be rendered by liberal education worthy to receive, and able to guard the sacred deposit of the rights and liberties of their fellow citizens, and that they should be called to that charge without regard to wealth, birth or accidental condition of circumstance.
Sunday Adelaja|Being aware of who you are, you will ensure that you do not waste your time spending energy on unnecessary things
John Marsden, Darkness, Be My Friend|No matter how far we come, our parents are always in us.
Karen Joy Fowler|So many problems, however infinitely varied they first appear, turn out to be matters of money. I can't tell you how much this offends me. The value of money is a scam perpetrated by those who have it over those who dont; it's the Emperor's New Clothes gone global.
John Connolly|I dream dark dreams. I dream of a figure moving through the forest, of children flying from his path, of young women crying at his coming. I dream of snow and ice, of bare branches and moon-cast shadows. I dream of dancers floating in the air, stepping lightly even in death, and my own pain is but a faint echo of their suffering as I run. My blood is black on the snow, and the edges of the world are silvered with moonlight. I run into the darkness, and he is waiting. I dream in black and white, and I dream of him. I dream of Caleb, who does not exist, and I am afraid.
Jasper Carrott|Never argue at the dinner table, for the one who is not hungry always gets the best of the argument.
A.M. Willard, Frosted Sweets|I'm good at a lot of things," he murmured.
Nitra Gipson, The Real Verdict: My Quest for the Freedom I Never Had|Some people may like you, and some people may not, keep living your life dreams, you will succeed!
Timothy Joshua|But he knew she was a star, and he, only human. He was never meant to reach the stars - he could only admire them from afar.
Ken Kesey, One Flew Over the Cuckoo's Nest|I been silent so long now it’s gonna roar out of me like floodwaters and you think the guy telling this is ranting and raving my God; you think this is too horrible to have really happened, this is too awful to be the truth! But, please. It’s still hard for me to have a clear mind thinking on it. But it’s the truth even if it didn’t happen.
Dennis Prager|Gratitude is the sweetest thing in a seeker's life- in all human life. If there is gratitude in your heart, then there will be tremendous sweetness in your eyes.
Michael Grant, Gone|Hallelujah can barely breathe through the pain of each step. Rachel is panting from the effort of holding Hallelujah up. Still, when they get closer to the clearing, Rachel manages to call out: “Jonah! Help!”There’s a rustling noise up ahead. Twigs snapping. And then Jonah appears. His face is in shadow, but his voice is worried: “What happened?”“I turned my ankle,” Hallelujah says. “I’m okay.”“She’s not okay,” Rachel gasps. “She can’t put weight on it. Can you carry her?”Jonah doesn’t hesitate. He wraps one arm around Hallelujah’s waist, and then he scoops up her legs with the other. In a single, fluid motion, she’s off the ground. She holds on to his shoulders. For a second, she thinks about how strange this is—to be held like this, to be held by Jonah.
Clotaire Rapaille, The Culture Code: An Ingenious Way to Understand Why People Around the World Live and Buy As They Do|At the unconscious level, Americans believe that good people succeed, that success is bestowed upon you by God. Your success demonstrates that God loves you.
Sanhita Baruah|Even when it seems that there is no one else, always remember there's one person who never ceased to love you - yourself.
Vikrmn, Corpkshetra|One of the way to get attention is to write a book titled, "How to get attention.
Cory Doctorow, Little Brother|If you stare at someone long enough, they'll eventually look back at you.
Hedy Lamarr|In art as in love, instinct is enough.
Bessel A. van der Kolk, The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma|One of Coin's men lays a hand on my arm. Its not an aggressive move, really, but after the arena's I react defensively to any unfamiliar touch. I jerk my arm free and take off running down the halls. My mind does a quick inventory of my odd little hiding places and i wind up in the supply closet, curled up against a crate of chalk.
John Geddes, A Familiar Rain|Within a couple of weeks of starting the Ph.D. program, though, she discovered that she'd booked passage on a sinking ship. There aren't any jobs, the other students informed her; the profession's glutted with tenured old men who won't step aside for the next generation. While the university's busy exploiting you for cheap labor, you somehow have to produce a boring thesis that no one will read, and find someone willing to publish it as a book. And then, if you're unsually talented and extraordinarily lucky, you just might be able to secure a one-year, nonrenewable appointment teaching remedial composition to football players in Oklahoma. Meanwhile, the Internet's booming, and the kids we gave C pluses to are waltzing out of college and getting rich on stock options while we bust our asses for a pathetic stipend that doesn't even cover the rent.
|All the help that we need to succeed in life lies in God's hands. Luckily for us, He is the only Man that never disappoints. However, you must do your best to not disappoint yourself on your own part.
David Foster Wallace, Both Flesh and Not: Essays|Politicians and sports coaches both need to be smart enough to master the game, but dumb enough to think it matters.
Debasish Mridha|The highest form of education teaches us to find the truth by searching with love, harmony, and gratitude.
Elizabeth Gilbert, Eat, Pray, Love|Someday you're gonna look back on this moment of your life as such a sweet time of grieving. You'll see that you were in mourning and your heart was broken, but your life was changing and you were in the best possible place in the world for it - in a beautiful place of worship, surrounded by grace. Take this time, every minute of it. Let things work themselves out here in India.
Anthony Liccione|Unconditional love, is love, regardless anything; attainable or impossible.
Harvey Stelman, Eyes of Emerald| I knew then that I would devote every minute we had left together to making her happy, to repairing the pain I had caused her and returning to her what I never known how to give her. These pages will be our memory until she drows her last breath in my arms and I take her forever and escape at last to a place where neither heaven nor hell will ever be able to find us. 
Sylvester Stallone|All of Koons's best art - the encased vacuum cleaners, the stainless-steel Rabbit (the late-twentieth century's signature work of Simulationist sculpture), the amazing gleaming Balloon Dog, and the cast-iron re-creation of a Civil War mortar exhibited last month at the Armory - has simultaneously flaunted extreme realism, idealism, and fantasy.
W. Somerset Maugham|All their life, people work hard to earn money, and they never earn enough money to fulfill their dreams. Is this a paradox?
Brian L. Weiss, Messages from the Masters: Tapping into the Power of Love|To reach back and help, and expect neither reward nor even thanks.To reach back and help, because that is what spiritual beings do.
Dorothy Parker|While a kind man was working up the nerve to ask me on a date, I was working up the nerve to kill him with my bare hands
John Geddes, A Familiar Rain|...perhaps in actions I'm less of a man - but, oh the words - such lovely words...
--Don Rickles|By inspiring and healing others, you inspire and heal yourself.
Moffat Machingura|Having kids means taking care of them, raising them, loving and supporting them, and none of those things have anything to do with who makes them one night in the bedroom or the experience of being pregnant
Preeth Nambiar, The Solitary Shores|Seek O mortal, the meaning of life in your innermost silence!
Ben Neihart, Burning Girl|God, I love you so much I won't ever try to have sex again.
Kate Skylark, Daddy's Wicked Parties: The Most Shocking True Story of Child Abuse Ever Told|We cannot change or put right the past, it is our choice whether to be happy in this very moment. The present is all we have and problems only live in the past or the future.
Malcolm Lowry, Under the Volcano|No one can win against kipple," he said, "except temporarily and maybe in one spot, like in my apartment I've sort of created a stasis between the pressure of kipple and nonkipple, for the time being. But eventually I'll die or go away, and then the kipple will again take over. It's a universal principle operating throughout the universe; the entire universe is moving toward a final state of total, absolute kippleization.
Robert A. Schuller|God is alive, real, and wants to heal you in every aspect of your life where you are hurting.
Martha Graham|I have an almost complete disregard of precedent, and a faith in the possibility of something better. It irritates me to be told how things have always been done. I defy the tyranny of precedent. I go for anything new that might improve the past.
Mark F. LaMoure|Imagine and see yourself at your best. Change yourself with hard work, to become the excellent person you want to be.
Ram Dass|They took their meals together; and it was remarked on such occasions, when the friendship of animals is put to a hard test, that they never quarrelled or disputed the possession of a favourite fruit with each other.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|On every travel, we saw beautiful landscapes.
Lev Grossman, The Magician's Land|Fourteen is the age when time first starts to make its presence felt. Time took on such a variety of hues in those days that even my frozen mind sometimes reflected the colours of the world around me, and I could feel my thoughts fluttering in the humid, salty breeze. At such moments, when the brilliant blue skies, the flaming carpets beneath the Gulmohur trees in the school grounds and the nut-brown twinkle in Sonia’s eyes splashed into the moments of my life, I felt alive. Only time had no colour in the library. In the library, time simply ceased to be.
K.M. Shea, Rumpelstiltskin|Lady Linnea said,“I don’t think you understand the balance of relationships. They are give-and-take.Gemma is my best friend,Gemma has my loyalty because she’s earned it, and I have Gemma’s trust because I’ve earned it.”She tilted her head and studied Prince Toril with pursed lips. “It takes work to build a lasting relationship, My Lord. You cannot expect someone to give you their everything just because.” “I don’t think I understand,” Prince Toril said.Lady Linnea said, stopping their stroll down the hallway. “Allow me to rephrase it. A friendship is filled only with as much love as YOU give. Gemma has my heart because I chose to give it to her. And my choice paid off, because there is no one in this horrible, tattered world that I trust more than Gemma Kielland. And so we are two best friends, walking together to achieve what neither of us could do alone. Do you understand it now?
John Green, The Fault in Our Stars|If our prayer is “Dear God, please use me to be of service,” then that is what we will be. And it is not for us to judge either the size or value of our gifts. Our job is to try to get out of the way, to defer to the spirit moving within us and become open channels for the flow of God’s love.
Joan Didion|Until now I had been able only to grieve, not mourn. Grief was passive. Grief happened. Mourning, the act of dealing with grief, required attention.
Paige Omartian|Do we run from money in fear of being a slave to it? I know I did that for a while. I don’t think that’s the answer, though.I think the answer is our mission. Are you on a mission? Not only with your money, but with your life – are you on a mission?I have a feeling that if we were on a mission, if we were working towards something - whether it be the end of human trafficking or abortion or poverty - if we were on a mission, we would do what ever it took. We would sell everything if it meant furthering the mission.Money’s not the problem. The problem is our heart. Money only reveals it. Money reveals what our mission really is.Money reveals if we care for ourselves more than we care for our neighbors.
William Golding, Lord of the Flies|Roger edged past the chief, only just avoiding pushing him with his shoulder. The yelling ceased, and Samneric lay looking up in quiet terror. Roger advanced upon them as one wielding a nameless authority.
Richelle E. Goodrich, Smile Anyway|(regarding what kind of day she would want to be released) If I had the opportunity to choose, I would want it to be a radiant sunshiny day! And I would love it to be a Saturday morning. I'd go home and take a bath and soak and shampoo and put on clean underwear and clean clothes! And then Sunday morning I want to go to church and thank Gd for freedom -- with capital letters.
Rachel de Vine, The Gardener|The bedroom is like a game room where you can explore many things within halal boundaries as a couple. So go ahead and have fun in your game room. In fact, bloom without reservation behind closed doors.
Maggie Scarf|"Okay  I have arthritis  and this is the way arthritis is." Take pain as it comes and you can better master it.
Charlene Costanzo, The Twelve Gifts for Healing|No matter who we are, where we live, what we look like, the circumstances of our birth or the situations we face; each of us has gifts within us. Strength, beauty, courage, compassion, hope, joy, talent, imagination, reverence, wisdom, love and faith are among them. They are not like material presents we unwrap and hold in our hands. We can’t see these gifts with our eyes. But they are real and powerful. When we open ourselves to them, they can enrich every aspect of our lives. They can help us transform challenges into opportunities and tragedies into triumphs. They can help us make a difference in the world.
Christine Feehan, Dark Prince|Seriously, I’m totally weirded out by the girly nature of this conversation. And yet, it’s kinda like you’re growing up. Do you think Judy Blume made a book about adolescent vampires? Are You There God, It’s Me, Merit?” Mallory snorted, obviously pleased with herself.
Joan Ganz Cooney|Each of us does  in effect  strike a series of "deals " or compromises  between the wants and longings of the inner self  and an outer environment that offers certain possibilities and sets certain limitations.
Alexander McCall Smith, Explosive Adventures|If you are lucky enough to find a way of life you love, you have to find the courage to live it.
Ammon Hennacy, The Autobiography of a Catholic Anarchist|Hell’s got IT?Yes, of course. Who do you think invented Candy Crush?
Tony Kushner, Homebody/Kabul|…if a thing can be said to be, to exist, then such is the nature of these expansive times that this thing which is must suffer to be touched. Ours is a time of connection; the private, and we must accept this, and it’s a hard thing to accept, the private is gone. All must be touched. All touch corrupts. All must be corrupted. And if you’re thinking how awful these sentiments are, you are perfectly correct, these are awful times, but you must remember as well that this has always been the chiefest characteristic of the Present, to everyone living through it; always, throughout history, and so far as I can see for all the days and years to come until the sun and the stars fall down and the clocks have all ground themselves to expiry and the future has long long shaded away into Time Immemorial: the Present is always an awful place to be.
P.G. Wodehouse|In a series of events, all of which had been a bit thick, this, in his opinion, achieved the maximum of thickness.
Debasish Mridha|Living a life of service to others is the most powerful sermon of all, don't you think?
Rose Christo, Unborn: Three Short Stories|You can't change who you are, can you? That would require changing the people who made you along the way. That would mean discrediting everything they ever gave you.
Peggy Toney Horton|As I drift through the autumn of my life like a fallen leaf blown about by the winds of time, I sometimes ponder my destiny.
Carla H. Krueger|Failure starts a future success, if you become better.
Paul Pilkington, The One You Love|Because his killing is not a passion of the moment but a compelling urge that has been growing within him sometimes for years, he has completely amalgamated this practice into his lifestyle.
Rick Riordan, The Lightning Thief|Go on with what your heart tells you, or you will lose all.
Derek McCormack, The Show That Smells|Tears fled her eyes as she ran, and they slid into her ears, but she did not wipe them, no, she pressed forward through the many trees, keeping her eyes upon the large shadow that flew forward, almost guiding her out of the woods, but that was preposterous – so why am I following it?What do you mean why are you following it? It’s the only thing that’s putting distance between you and those...monsters back there!But what about Lord Delacroix?What the devil about him?He tried to keep you safe – he truly did attempt to save you—And what did that get him? Crushed by a damned Lycan – again!But I should still go back to save him....I should keep moving!But he’s saved my life – I can’t let him die!Technically, he’s already dead, Alexi....Goddamn it all!Run – run now – come back when you’re safe!Come back? With who?!Help, of course!Where on Earth am I going to find help?!
Steven Pinker|We come into relationships often very much identified with our needs. I need this, I need security, I need refuge, I need friendship. And all of relationships are symbiotic in that sense. We come together because we fulfill each others' needs at some level or other.
Sia|The first time I was pregnant, Kanye and I were dating, and I was just being introduced to the world of fashion. I wanted to work with a bunch of different stylists, and when you work with a new stylist, everyone wants to possess your look.
Jonathan Heatt|Conformity runs rampant through everyday life, and people want to read about characters that deviate from societal norms.
Donna Lynn Hope|The empath helps others by absorbing some of their pain, but who helps the empath?
Nicole Sager|Half of what I write is imaginative reality. The other half is realized impossibilities. Blended into one, these make a fantasy.
Ray Bradbury, Fahrenheit 451|My feet," said Montag. "I can't move them. I feel so damn silly. My feet won't 
Nicholas Sparks, A Walk to Remember|Halfway down the aisle, Jamie suddenly seemed to tire, and they stopped while she caught her breath...It was, I remembered thinking, the most difficult walk anyone ever had to make. In every way, a walk to remember.
Leslie G Nelson|When you anticipate adversity, you can then plan for adversity. You may never gain control of it, but you can keep it from controlling you.
George Weinberg|We had an argument, and he told me to be home at midnight, and I said no. And so when I did come home, the door was locked. And I had gotten a set of luggage for graduation that day, and it was on the front porch, packed. He thought that he was going to prove a point and I was going to say, 'Oh, I'm sorry, Daddy, I'm sorry'.
Alex Honnold|If a bacterium is trying to infect you, it won't secrete alone, because your immune system will block it. Bacteria will hide until they can all act together and make an impact.
Passenger|Say what you want to say, and let the words fall out. Honestly, I wanna see you be brave!
Alan King|Protecting the institution of marriage safeguards, I believe, the American family.
Jamie McGuire, Beautiful Disaster|To douchebags!" he said, gesturing to Brad. "And to girls that break your heart," he bowed his head to me. His eyes lost focus. "And to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.
Margot Lee Shetterly, Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race|Ed Lim’s daughter, Monique, was a junior now, but as she’d grown up, he and his wife had noted with dismay that there were no dolls that looked like her. At ten, Monique had begun poring over a mail-order doll catalog as if it were a book–expensive dolls, with n ames and stories and historical outfits, absurdly detailed and even more absurdly expensive.‘Jenny Cohen has this one,’ she’d told them, her finger tracing the outline of a blond doll that did indeed resemble Jenny Cohen: sweet faced with heavy bangs, slightly stocky. 'And they just made a new one with red hair. Her mom’s getting it for her sister Sarah for Hannukkah.’ Sarah Cohen had flaming red hair, the color of a penny in the summer sun. But there was no doll with black hair, let alone a face that looked anything like Monique’s. Ed Lim had gone to four different toy stores searching for a Chinese doll; he would have bought it for his daughter, whatever the price, but no such thing ex
Buda|If you make anything a higher priority than God, you are worshiping it and not God.
Michael Faudet|A mind possessed by unmade books, unwritten lines on empty hooks.
T.C. Boyle|I was reading, absorbed in an assault on K2 by a team of Japanese mountaineers, my lungs constricting in the thin burning air, the deadly sting of wind-lashed ice in my face, when the record -- Le Sacre du Printemps -- caught in the groove with a gnashing squeal as if a stageful of naiads, dryads and spandex satyrs had simultaneously gone lame.
D.E. Navarro|Bad things happen, Mathew. We can't see them coming, and there's often nothing we can do to prevent them. But that doesn't mean we shouldn't all live life to its fullest.
Israelmore Ayivor, The Great Hand Book of Quotes|If you can't do it, don't pledge to do it. Don't be a liar; say only what you can do. It's better for you to have a "single sentence" manifesto about your life which is fulfilled than to have 25 chapters' theories about your visions that remain undone!
Milan Kundera, Encounter|Fortunately, I read (the books) without knowing what I was in for, and the best thing that can ever happen to a reader happened to me: I loved something that, by conviction (or by my nature) I should not have loved
Lamont Renzo Bracy|Our way would seem quite familiar to the Romans, more by far than the Greek way. Socrates in the Symposium, when Alcibiades challenged him to drink two quarts of wine, could have done so or not as he chose, but the diners-out of Horace's day had no such freedom. He speaks often of the master of the drinking, who was always appointed to dictate how much each man was to drink. Very many unseemly dinner parties must have paved the way for that regulation. A Roman in his cups would've been hard to handle, surly, quarrelsome, dangerous. No doubt there had been banquets without number which had ended in fights, broken furniture, injuries, deaths. Pass a law then, the invariable Roman remedy, to keep drunkenness within bounds. Of course it worked both ways: everybody was obliged to empty the same number of glasses and the temperate man had to drink a great deal more than he wanted, but whenever laws are brought in to regulate the majority who have not abused their liberty for the sake of the minority who have, just such results come to pass. Indeed, any attempt to establish a uniform average in that stubbornly individual phenomenon, human nature, will have only one result that can be foretold with certainty: it will press hardest on the best.
Roshan Sharma|The more you remain aware with all the internal and external changes of life, more you allow yourself to move deeper towards the source.
Italo Calvino, Invisible Cities|No question; language can free us of feeling, or almost. Maybe that's one of its functions - so we can understand the world without becoming entirely overwhelmed by it.
Taylor Stevens, The Innocent|We need to encourage each other to do what we want and not let it totally define us. You know? The things that people think define them aren’t valid either. You could see a girl who’s completely covered head-to-toe and who looks like the sweetest little thing in the world, and she could be the most horrendous human being on the planet inside.
Noah Webster|When a citizen gives his suffrage to a man of known immorality he abuses his trust; he sacrifices not only his own interest, but that of his neighbor; he betrays the interest of his country.
Joshua Bloch, Effective Java|A second advantage of static factory methods is that, unlike constructors, they are not required to create a new object each time they're invoked.
Rita Dove|I was apprehensive. I feared every time I talked about poetry, it would be filtered through the lens of race, sex, and age.
Leigh Hershkovich|Novels were not arguments; a story worked, or it didn't, on its own merits. What did it matter if a detail was real or imagined? What mattered was that the detail seemed real, and that it was absolutely the best detail for the circumstance. That wasn't much of a theory, but it was all Ruth could truly commit herself to at the moment. It was time to retire that old lecture, and her penance was to endure the compliments of her former credo.
Fennel Hudson, A Meaningful Life - Fennel's Journal - No. 1|People might consider you eccentric for being different, but this is good. Leaders and visionaries are not conformists afraid of standing out.
Terry Goodkind, Wizard's First Rule|The light of a new day always chases the shadows of the night away, and shows us that the shape of our fears is only the ghost of our own minds.
Kurt Vonnegut|The light of lights looks always on the motive, not the deed, the shadow of shadows on the deed alone.
Hermann Hesse, The Glass Bead Game|A friend once told Megan that we are always seventeen years old, waiting for our lives to begin. More than ever, clutching to this man, Megan understood that.
Shannon L. Alder|People with anxiety and trust issues find themselves drawn to people of consistency because they feel safe with someone who is predictable. However, that doesn’t cure their problem. The anxious person still remains the same because anxiety is a wave that crashes on the shore every time an unpredictable circumstance challenges their expectations and comfort zone.
Jan Jansen|Young children see the innocence of life, while some adults live in innocence.
Keke Palmer|There's a positive side to film and television, the sense of feeding into the theater... Your fans will follow you, hopefully, and be open-minded to see you play other things and experience other stories you want to tell.
