Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Ramana Maharshi|As citizens of a free society, we have a duty to look critically at our world. But if we think we know what is wrong, we must act upon that knowledge.
Alex Bosworth, Chip Chip Chaw!|I know grammar by ear only, not by note, not by the rules.
Blaise Pascal|Arbitrary power is like most other things which are very hard, very liable to be broken.
Lisa Kleypas, Devil in Winter|From The Ghost Wars- on the concept of the Torah as ancient science fiction. “Take the story of the fall of the tower of Babel. Let’s say this represents not an act of God, nor a metaphor for this planet’s diverse linguistic heritage; but a catastrophic act of terrorism by the Divisionists to sever mankind from the neural net. The internet in this situation becomes mankind’s attempt to build a physical replacement for a natural ability long lost. Think of it as a wooden leg or a pacemaker.
Margaret Lovett, The Great and Terrible Quest|Silver hidden in the gold,Young man hidden in the old,Laughing lord with weeping eyes,Bring king and ring before sunrise! -Hilarion, The Great and Terrible Quest
Ashley Townsend, Defying Shadows|You can come if you want, but I'm going with or without you.Unless you're scared?
Lynn Cullen, The Creation of Eve|Yefgenii said, "The Americans spent millions of dollars designing a pen that would work in space. What did we do?" Gevorkian's head was down, his eyes were down. "What did we do?"Gevorkian lifted his head "We used pencils.""We used pencils.
Cecelia Ahern, The Book of Tomorrow|And that is how Goodwin problems were always fixed. Fix them on the surface but don't go to the root, always ignoring the elephant in the room. I think that morning was when I realized I'd grown up with an elephant in every room of my life. It was practically our family pet.
Vikram Seth, A Suitable Boy|But I too hate long books: the better, the worse. If they're bad they merely make me pant with the effort of holding them up for a few minutes. But if they're good, I turn into a social moron for days, refusing to go out of my room, scowling and growling at interruptions, ignoring weddings and funerals, and making enemies out of friends. I still bear the scars of Middlemarch.
Barack Obama, The Audacity of Hope: Thoughts on Reclaiming the American Dream|Most importantly, the epidemic was only news when it was not killing homosexuals. In this sense, AIDS remained a fundamentally gay disease, newsworthy only by the virtue of the fact that it sometimes hit people who weren't gay,
Christine F. Anderson, Forever Different: A Memoir of One Woman's Journey Living with Bipolar Disorder|I rehearsed Foucault's argument that the presence of madness on our doorstep is good for us, for it reminds us the life we live is only one among several human possibilities.
Wayne Muller, Sabbath: Finding Rest, Renewal, and Delight in Our Busy Lives|When you've only got two choices, and you don't like either of them, make a third choice.
Thomas Moore|The sweetest noise on earth, a woman's tongue; A string which hath no discord.
Oscar Wilde|And how delightful other people's emotions were!-much more delightful than their ideas, it seemed to him. One's own soul, and the passions of one's friends-those were the fascinating things in life.
Julie James, Practice Makes Perfect|We're out of time, Payton. You said it yourself: the only way we'll make it is for us to go into this together. I know we can do this. But I need you to believe it. You need to believe... in us."Peyton didn't say anything for a long moment, and J.D. could literally hear his heart beating. Then she finally answered."It would have to be called Kendall and Jameson."It took J.D a moment to catch on. Then he grinned. "No way. Jameson and Kendall. It's alphabetical.""You told our boss that you banged me on top of your desk.""Kendall and Jameson sounds great
Henry John Newman|More importantly, one could make the opposite argument to Leithart and Grant--that if good is guaranteed to win, then goodness becomes merely a means to an end rather than an end unto itself.
Heidi Reagan|It's a choice, it’s a bold move - disassembling the Box - and one that requires assertion, but the rewards are remarkable!!
Amy Neftzger, The War of Words|I am a prisoner of perception, a compulsory witness.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|When the week begins, think of how you will end it. When the week ends, think of how you did begin it. Start your week with joy. Smile at the storms in the week and though they might be so strong, be stronger than ever. Disregard disadvantages regardless of the situation and see 'this - advantage'. Don't be easily irritated by people or the actions of people; you harm your own emotions by doing so. Pardon people for their mistakes and do not give a precious thinking time to the mistakes of other. Life is all about learning lessons; only learn the lessons of life in every situation of life you meet. There is nothing so noble than working to please your solemn Maker. Think of the distinctive footprint you must live and leave. Know who your are; be who you are. Know what you want; live for what you want. Focus on the mission and don't lose focus of the vision. Enjoy a great week!
Israelmore Ayivor, Leaders' Watchwords|You empower ignorance if you as teacher hide yourself among the students because you know less and give less... Don’t hide your identity, make it a reality!
Ray Anyasi, Broken Cloud: the first sunrise|Mother, I share your concern, but I do not know how to be afraid of what I cannot change."- Sari
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I am worthy of daily joy, and I will treat myself to a glorious day of complete bliss at least once per month.
Matthew Desmond, Evicted: Poverty and Profit in the American City|One in two recently evicted mothers reports multiple symptoms of clinical depression, double the rate of similar mothers who were not forced from their homes. Even after years pass, evicted mothers are less happy, energetic, and optimistic than their peers. When several patients committed suicide in the days leading up to their eviction, a group of psychiatrists published a letter in Psychiatric Services, identifying eviction as a “significant precursor of suicide.” The letter emphasized that none of the patients were facing homelessness, leading the psychiatrists to attribute the suicides to eviction itself. “Eviction must be considered a traumatic rejection,” they wrote, “a denial of one’s most basic human needs, and an exquisitely shameful experience.” Suicides attributed to evictions and foreclosures doubled between 2005 and 2010, years when housing costs soared.
Neil Gaiman, Norse Mythology|A simple "Hi" has potential to make you blush, if received from your crush.
Collette West, Inside Game|...There's a bit of a difference between a guy lying back being all sexy and come hither and mmrowr-worthy, and a man who has a toy stuffed parrot hanging from his nips.
Samuel Johnson|The only end of writing is to enable readers better to enjoy life, or better to endure it.
Sherry Turkle, Alone Together: Why We Expect More from Technology and Less from Each Other|We come here (literally) reaching for intimacy and love. But it seems soon after our arrival, we're made to believe that they're luxuries not necessities.
Israelmore Ayivor, The Great Hand Book of Quotes|My friends, life is so serious that if you are not aware of whom you are, your "youniversity" will be prestigious but unknown!
Dean Hughes, Far From Home|War is the greatest evil Satan has invented to corrupt our hearts and souls. We should honor our soldiers, but we should never honor war.
Sharon Creech|The problem, of course, is that there's no way of knowing that your last good day is your Last Good Day. At the time, it's just another good day.
Rachel Caine, The Dead Girls' Dance|At the very leadt, we can grab Monica and hustle her skanky ass back to her dad wile you brave, strong menfolk hold off the bad guys. Right?
John O. Brennan|Simply stated, the need for accurate intelligence and prescient analysis from CIA has never been greater than it is in 2013 - or than it will be in the coming years.
Laura Lippman, In a Strange City|The past was worth remembering and knowing in its own right. It was not behind us, never truly behind us, but under us, holding us up, a foundation for all that was to come and everything that had ever been.
Lant Pritchett, The Rebirth of Education: Schooling Ain't Learning|Perhaps more surprising, even the rich in developing countries also lag. For example, in Indonesia, the richest quintile has scores around 450--less than the 500 for the poorest quintile in Korea or the same as the poorest quintile in UK. So in poor countries, the richest are still getting a mediocre education, and the poor cannot be said to be getting any education at all.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Humility can weep over other men's weaknesses, and joy and rejoice over their graces.
Pawan Kalyan|The man who has done his level best... is a success, even though the world may write him down a failure.
Reid Hoffman, The Start-Up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career|I had been thinking a lot about how the media has created this complex, fictionalized cartoon version of me, you know, this man-eating, jet-setting serial dater who reels them in, but scares them off because she’s clingy and needy; then she’s all dejected, so she goes into her lair and writes a song as a weapon. I mean, man, that’s pretty intense. And I started thinking about what an interesting character that person is. And, if I was that person, what would my life motto be, my mantra? What would I say? I think I’d own it.
Zach Weihrauch, A Better Story: Sermons from the Book of Genesis|Deteriorated science is a cult, so is imitative or deteriorated Sufism.
Amanda M. Lyons, Eyes Like Blue Fire|Nonsense! I have merely come to terms with the fact that I am perfect, and I have decided life must go on, and I must learn to live with myself...
Christina Dodd, The Barefoot Princess|Yes, I'm a man and everyone knows men are great hairy beasts scarcely tamed by civilization-Jermyn, Duke of Northcliff to Amy, Princess Beaumontaigne
Susan   Denning, Far Away Home|There is a phantom that flies with the banshees. It strangles the throat, pierces the heart and consumes the body with pain that only time and tears can expel.
Helen Fielding, Bridget Jones's Diary|I must be overtired', Buttercup managed. 'The excitement and all.''Rest then', her mother cautioned. 'Terrible things can happen when you're overtired. I was overtired the night your father proposed.
Edith Wharton, The Age of Innocence|The president, the secretary of state, the businessman, the preacher, the vendor, the spies, the clients and managers—all walking around Wall Street like chickens with their heads cut off—rushing to escape bankruptcy—plotting to melt down the Statue of Liberty—to press more copper pennies—to breed more headless chickens—to put more feathers in their caps—medals, diplomas, stock certificates, honorary doctorates—eggs and eggs of headless chickens—multitaskers—system hackers—who never know where they’re heading--northward, backward, eastward, forward, and never homeward—(where is home)—home is in the head—(but the head is cut off)—and the nest is full of banking forms and Easter eggs with coins inside. Beheaded chickens, how do you breed chickens with their heads cut off? By teaching them how to bankrupt creativity.
Maajid Nawaz|I mean, in some cases with libel laws, you know, they can write things about people who have no course of action, because they can't afford to take legal action against them.
Israelmore Ayivor, The Great Hand Book of Quotes|You have no control over your growth or development. But you have a control on the direction of your growth and development! Go, grow towards impact directions!
Maggie Stiefvater, Ballad: A Gathering of Faerie|I pressed my hand against her hair, holding her to me, filled with the certainty that she was going to hurt me again and that I didn't have the strength to push her away before she did.
Tim Vivian, Saint Macarius, The Spiritbearer: Coptic Texts Relating To Saint Macarius The Great|Anger should be especially kept down in punishing, because he who comes to punishment in wrath will never hold that middle course which lies between the too much and the too little. It is also true that it would be desirable that they who hold the office of Judges should be like the laws, which approach punishment not in a spirit of anger but in one of equity.
Eoin Colfer, Artemis Fowl|Shut up, Julius! I mean, quiet a moment, Commander.
Ignatius of Loyola|Are you bored with life? Then throw yourself into some work youbelieve in with all your heart, live for it, die for it, and you willfind happiness that you had thought could never be yours.
Ida B. Wells|Until the control of the issue of currency and credit is restored to government and recognized as its most conspicuous and sacred responsibility, all talks of the sovereignty of Parliament and of democracy is idle and futile.
Tom Rath|I hate the gym, so I try to diversify my workouts with swimming and basketball. Indoors, it's less boring than running. I do find that diet is key. I eat lots of lean protein, no soda, no fast food or fried foods, and a lot of water. But I love food and often cook.
Ted Hughes|Li, a willowy manboy with a shock of black hair atop a mouthful of bad teeth was the brother-in-law he had introduced to industrial espionage several years back. Rong often regretted that.
Ted Rubin|It's about "Moments," not Milestones.
James Salter|You must write as if each word is a precious drop of blood, or a tear to be saved in a glass phial.
G.K. Chesterton|He sees daily evidence that many things held to be true by nine-tenths of all men are, in reality, false, and he is thereby apt to acquire a doubt of everything, including his own beliefs.
Collette West, Game Changer|Look,” she said, “apparently you bring out my inner slut. I’m not going to thank you for that.”Wyatt smiled that sexy smile of his. “I could make you.”She pointed a finger at his nose. And then lowered it so it was pointed at another part of his anatomy entirely. “Don’t even think about it.”“Oh, I won’t,” he said silkily. “But you will.”And she knew he was right.
A. Violet End, The Billionaire Who Atoned to Me|Tristan looked at me with pleading eyes, as though he could forget for one moment how I was programmed to respond to him—how even now upon hearing his confession, I wanted nothing more than to suck his beautiful cock to fulfillment, to straddle him right here on the edge of this roof, to let him fuck every orifice he’d created on my body. I fought back the feelings of lust, wondering if I’d ever truly be myself again, if I’d ever be free of the programming.
Ana Claudia Antunes, A-Z of Happiness: Tips for Living and Breaking Through the Chain that Separates You from Getting That Dream Job|It's not the weather that's bad or good, it's whether you have good or bad mood. It's cloudy and cold, I feel happy and bold, As the storm unfolds, I turn silver in gold!
lauren klarfeld|A fight is like the perfect storm. It is risky and dangerous. But, as the African proverb goes, Smooth seas do not make skillful sailors. Fights are often learning opportunities—if we’re willing to dig deep enough past our own egos.
Shirley Jackson, We Have Always Lived in the Castle|I would have liked to come into the grocery some morning and see them all, even the Elberts and the children, lying there crying with the pain of dying. I would help myself to groceries, I thought, stepping over their bodies, taking whatever I fancied from the shelves, and go home, with perhaps a kick for Mrs.Donell while she lay there. I was never sorry when I had thoughts like this; I only wished they would come true.
Mishi McCoy|Someone once told me that they didn't like me very much. I smiled and replied, "That's okay. For a long time, I didn't like myself either.
A.S. King, Ask the Passengers|Perfection is not real. Perfection is not human. Carlos is not perfect- no, even better- he is imperfect. Everything about him, and us, and all of this is imperfect. And those imperfections in our reality are the seams and cracks into which our outsized love can seep and pool.
J.L. Sheppard, Burdened By Desire|He hadn’t been able to help himself, couldn’t have stopped himself from kissing her even if he’d tried. Fighting with her was a million times better than dreaming, and the fight had conjured his soul to act, to kiss her. And that kiss was nothing like anything he had ever experienced before.He knew if he would die then, he’d die a happy man because it meant he’d savor her forever, relish her passion among his. She’d tasted so sweet, like the sweetest fruit or the sweetest dessert. Her lips were heaven on his, his heaven on Earth.
R.E. Vance, Paradise Lot: GoneGodWorld - Episode Two|Men of profound sadness betray themselves when they are happy: they have a mode of seizing upon happiness as though they would choke and strangle it, out of jealousy--ah, they know only too well that it will flee from them!
Billy Baldwin|My earliest memory is nursing and struggling to see the colored lights making up the map of the world, the famous backdrop for Larry King's TV show. There's an 'I-want-to-do-all-things-at-once' kind of theme to it.
Jeremiah Burroughs, The Evil of Evils: The Exceeding Sinfulness of Sin|A great leader may be executed in the name of malevolence, yet when his followers look upon his legacy they will see not only the man who once stood, but even more will they see the ideas for which he stood.
Gavin Newsom, Citizenville: Connecting People and Government in the Digital Age|For good or for bad, we define ourselves in many ways by the gadgets we use and the clothes we wear. We don't want to surround ourselves with cheap products. Nobody really aspires to that. We also don't want to pay for a diamond-encrusted ereader. We don't need bling; we just need to feel like the design speaks to us.
Nader al-Masri|Rockefeller once explained the secret of success. 'Get up early, work late - and strike oil.'
Sean DeLauder, The Least Envied|Of all the stories I have read about heroes, and all that I could ever read, of one thing I'm certain-he is mine.
Michelle Warren, He + She|He sighed and moved his hands under water, linking with mine. “You are like a drug to me. Dangerous. Addicting. I can’t get enough of you.” He brought our hands above water and kissed one of my hands, linked with his. “But I want more, more than just a night, more than just a few touches. And I have a feeling that once we cross that line, you will run away.
Cassandra Clare, Clockwork Prince|I wanted to thank Trent, but all I could do was give him a faint smile before I lost consciousness. Everything had worked flawlessly. I had planned the perfect murder - my own.
Dana Candler, Deep Unto Deep: The Journey of His Embrace|What one heart finds in Him is so different than what another discovers, yet none less true.
Mehmet Murat ildan|The age measured from the date of birth is just a number, The mental age always makes the difference
Susan Mallery, Sweet Trouble|You’re only responsible for yourself, Jess. And that’s the only person you can control. Other people will either get it or they won’t but you can’t define yourself by their opinions.
Camilo Garzon|I felt for the first time that the library belonged here. The house was reclaiming its spirit, and the library, which had stood aloof and apart for so many years, was turning back into what it was always meant to be: the heart of this home.
Gustave Flaubert, November|For if it is rash to walk into a lion's den unarmed, rash to navigate the Atlantic in a rowing boat, rash to stand on one foot on the top of St Paul's, it is still more rash to go home alone with a poet
Markus Zusak, Getting the Girl|Disbelief held me down inside my footsteps, making my body heavy but my heart wild.
Sally Andrew, The Fire Dogs of Climate Change: An Inspirational Call to Action|I felt the full breadth and depth of the ocean around the sphere of the Earth, back billions of years to the beginning of life, across all the passing lives and deaths, the endless waves of swimming joy and quiet losses of exquisite creatures with fins and fronds, tentacles and wings, colourful and transparent, tiny and huge, coming and going. There is nothing the ocean has not seen
Nikki Sixx|I would like to show that I have a heart, that I am a human being and I have feelings. And to be this kind of role model, not only for beauty pageants but also for life.
Adam Leith Gollner, The Book of Immortality: The Science, Belief, and Magic Behind Living Forever|Of all the wars that have taken place wince then, none has endured so long as the conflict between knowledge and belief. For centuries now, knowledge has attempted, unsuccessfully, to supersede belief. But the entire clash stems from a misapprehension of the nature of belief. We can't not believe; and we won't ever know everything. We know this much: knowledge remains an endless advance toward an end point that endlessly recedes.
Dexter Palmer|The thing about memories wasn't that many of them inevitably faded, but that repeated recall of the ones you remembered burnished them into shining, gorgeous lies.
Elyse M. Fitzpatrick, Give Them Grace: Dazzling Your Kids with the Love of Jesus|Managing in-home nursing is not always easy. It can be terribly frustrating sometimes, and it can take a while to feel like everything is under control, but success is possible.
Frances Partridge, Love In Bloomsbury: Memories|My memories are not books. They are only stories that I have been over so many times in my head that I don't know from one day to the next what's remembered and what's made up. Like when you memorize a poem, and for one small unimportant part you supply your own words. The meaning's the same, the meter's identical. When you read the actual version you can never get it into your head that it's right and you're wrong.
Lailah Gifty Akita|If we have reverence for God, we will have respect for one another.
Dalal Gebara|Made you the subject of my dreams, I was always the first to hear your screams. Haven't you had enough of all these schemes? Re-run all the scenes...Haven't you noticed we're being a bit too extreme? I know not everything is as it seems, but aren't you tired of floating downstream?
Ephrem the Syrian|Let books be your dining table, / And you shall be full of delights. / Let them be your mattress,/And you shall sleep restful nights
Lailah Gifty Akita|Be yourself, free being.
Debasish Mridha|When you have left your life, you will be judged not for your possessions but for your contributions.
Shannon L. Alder|My mother had not acted for ten years. Not since a reviewer wrote that her portrayal of Lady Macbeth put him in mind of an exasperated society hostess burdened with unmannerly guests who had lost the new tennis balls, left the bathrooms in a mess, and finished the gin.
Duane Michals|There is no friendship, no love, like that of the parent for the child.
Gorgos|Because we are the only women who are mothers of men." Gorgo: when asked by a woman from Attica why Spartan women were the only women in the world who could rule men.
Albert Camus, The Stranger|And, on a wide view, I could see that it makes little difference whether one dies at the age of thirty or threescore and ten—since, in either case, other men and women will continue living, the world will go on as before. Also, whether I died now or forty years hence, this business of dying had to be got through, inevitably. Still, somehow this line of thought wasn't as consoling as it should have been; the idea of all those years of life in hand was a galling reminder!
Preeti Bhonsle|man and dog in rainThis too will pass,and I shall be a better man,said Adam, whenever a storm began.
Donna Lynn Hope|I challenge a man to a duel before allowing him near me, and then I take an arrow, dip it in poison, and drive it straight through his heart...But that's on a good day...when I purr and feel delightfully amorous. No need to mention what I'd do on a bad one.
Nomi Eve, Henna House|Hope is not a sin, neither is fidelity.
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|With all control look for the hole, your mind gets weak, unless it’s truth you seek. Swirled and twirled into another world, into the smog, a doorway within the fog.” Deetkatu, The Little People Journey into the Mystic Sea
Michael Miller|Best not to take, yet doubt its strength,A leash with Demons at its length.
Ocean Vuong|Rush-hour on the A rain. A blind man staggers forth, his cane tapping lightlyown the aisle. He leans against the door,raises a violin to chin, and says I’m sorry to bother you, folks. But please. Just listen. And it kills me, the word sorry. As if something like musicshould be forgiven. He nuzzles into the wood like a lover, inhales, and at the first slow stroke, the crescendo seeps through our skin like warm water, we who have nothing but destinations, who dream of light but descend into the mouths of tunnels, searching. Beads of sweat fall from his brow, making dark roseson the instrument. His head swooning to each chord exhaled through the hollow torso. The woman beside me has put down her book, closed her eyes, the babyhas stopped crying, the cop has sat down, and I know this train is too fast for dreaming, that these iron jaws will always open to swallow a smile already lost.How insufficient the memory, to fail before death.how will hear these notes when the train slides into the yard, the lights turned out, and the songlingers with breaths rising from empty seats? I know I am too human to praise what is fading. But for now, I just want to listen as the train fillscompletely with warm water, and we are all swimming slowly toward the man with Mozart flowing from his hands. I want nothingbut to put my fingers inside his mouth, let that prayer hum through my veins. I want crawl into the hole in his violin.I want to sleep there until my flesh  becomes music.
Toni Sorenson|Don't ever let your day end in "could haves" and "should haves." Life is meant to be one experience after another. Say yes to everything that is good for you.
Joel Osteen|I'm gonna be blunt and plain, if one ever looks at me like that I'm gonna kill him and tell God he died.
Christopher Fowler, On the Loose|Many people go through their whole lives having no real sense of what their talents may be, or if they have any to speak of. Human resources are like natural resources; they’re often buried deep. You have to go looking for them, they’re not just lying around on the surface.
Naomi Wolf, The Beauty Myth|Beauty discrimination has become necessary, not from the perception that women will not be good enough, but that they will be, as they have been, twice as good.
Rick Riordan, The Blood of Olympus|Nico didn’t respond. He’d never had anyone talk to him this openly before, except maybe for Hazel. He felt like he was watching a flock of birds settle on a field. One loud sound might startle them away.
Campbell Scott|There never was any heart truly great and generous, that was not also tender and compassionate.
Seanan McGuire, Rosemary and Rue|And the kittykats would have to erect scaffolding and a pulley to get him down. Mind you, I wouldn't put that past them. Sometimes when they are behind the sofa supposedly purring, I think they are drilling.
Randeep Hooda|For some people, home is family and their mom's house or their girl or whatever, and I have those experiences as well, but the biggest thing for me is Chicago.
Sarah Dessen|Family isnt about blood relationships, its about the meaning behind them. I relize now that sharing chromosoms is not the only way to having a family, its about the friendship behind it.
Bam Zakariya| Let Art be your weapon, and you would never be defeated.
Thomas Carlyle, Essays on Goethe|If time is precious, no book that will not improve by repeated readings deserves to be read at all.
Tom Larcombe, Merlin's Travels|Is there anyone nearby you can speak to without words?”“I don’t know. I only know that there are those whose minds I can speak with that, when I show them how, speak back to my mind as well.
William Blake|This, then, is true liberty: the joy that comes in doing what is right. At the same time, it is also devoted service in obedience to righteous precept.
Scott A. Sandage|Let us be thankful for the fools,' Mark Twain wrote with typically dark humor in 1897. 'But for them the rest of us could not succeed.' Of all the paradoxes of failure in America, surely this is the darkest. Long ago, we saw through old fables of rags to riches; it is still fun to dream, but we know that we are partaking of a cultural myth. But if we do not quite believe in that kind of success, our faith in the myths of failure is unshaken. We are merrily cynical about whether the average tycoon really tugged on those bootstraps, but we still believe with deadly seriousness that the reasons for failure are usually individual-- "in the man." Failure is not the dark side of the American Dream; it is the foundation of it. The American Dream gives each of us the chance to be a born loser.
Gregory B. Sadler|Everything I have learned has not come from books, it has come experientially over time under pressure walking with Christ".~ R. Alan Woods [2012]
Joyce Meyer, Beauty for Ashes: Receiving Emotional Healing|I am not where I need to be, but, thank God, I am not where I used to be.
Randall Jarrell, Pictures from an Institution|It's ugly, but is it art?
Neal Stephenson|Once or twice I saw evidence that rats had been nesting among the books, rearranging them to make snug two and three-level homes for themselves and smearing dung on the covers to form the rude characters of their speech.
David Hume|We can only learn to know ourselves and do what we can - namely, surrender our will and fulfill God's will in us.
Joyce Meyer|When a woman puts on a heel, she has a different posture, a different attitude. She really stands up and has a consciousness of her body.
Orson De Witt, Earth Won't Miss You|There was the emptiness of space I was afraid to fall into, but the only real fear I’d ever actually had was to dive into the emptiness inside of myself.
James Patterson|Nudge threw her arms around my neck. 'I love you Max! I love all of us too!'Yeah, me too,' Said the Gasman. 'I don't care if we have our house, or a cliff ledge, or a cardboard box. Home is wherever we all are, together.
Hillary Rodham Clinton|Human rights are women’s rights, and women’s rights are human rights. Let us not forget that among those rights are the right to speak freely — and the right to be heard.
Emma Donoghue, Slammerkin|In the yard of the inn, Daffy Cadwaladyr introduced himself. "Short for Davyd," he said pleasantly.The Londoner looked as if she'd never heard a sillier name in her life.
Douglas Coupland, Generation A|Books turn people into isolated individuals, and once that's happened, the road only grows rockier. Books wire you to want to be Steve McQueen, but the world wants you to be SMcQ23667bot@hotmail.com.
Abhijit Naskar, The Bengal Tigress: A Treatise on Gender Equality|I am no feminist. Even though the term "feminism" is founded upon the basic principle of gender equality, it possesses its own fundamental gender bias, which makes it inclined towards the wellbeing of women, over the wellbeing of the whole society. And if history has shown anything, it is that such fundamental biases in time corrupt even the most glorious ideas and give birth to prejudice, bigotry and differentiation.
John Green, The Fault in Our Stars|My star will just be one of the stars, for you. And so you will love to watch all the stars in the heavens...they will all be your friends."-the little prince
Andre Weil|A season of suffering is a small assignment when compared to the reward. Rather than begrudge your problem, explore it. Ponder it. And most of all, use it. Use it to the glory of God.
Peter Capaldi|Because it's cheaper and easier to fly than ever before, air travel is becoming democratized.
Emma Abdullah, The Blue Box|The scientific creation story has majesty, power and beauty. and is infused with a powerful message capable of lifting our spirits in a way that its multitudinous supernatural counterparts are incapable of matching. It teaches us that we are the products of 13.7 billion years of cosmic evolution and the mechanism by which meaning entered the universe, if only for a fleeting moment in time. Because the universe means something to me, and the fact that we are all agglomerations of quarks and electrons in a complex and fragile pattern that can perceive the beauty of the universe with visceral wonder, is, I think, a thought worth raising a glass to this Christmas.
Greg Forster, Joy for the World: How Christianity Lost Its Cultural Influence and Can Begin Rebuilding It|To be likeable as a woman, it seems, you have to ensure that you’re also non-threatening and slightly useless.
Ken Follett, The Pillars of the Earth|Being a monk was the strangest and most perverted way of life imaginable. Monks spent half their lives putting themselves through pain and discomfort that they could easily avoid, and the other half muttering meaningless mumbo jumbo in empty churches at all hours of the day and night. They deliberately shunned anything good—girls, sports, feasting and family life.
Kamand Kojouri|Having drunk the dregs of Your Love, I am intoxicated beyond recognition. Now, I only pray for the nearness of You so I may advance in my annihilation.
Sylvia Plath|I do not believe that artists or actors and people should be out there like voicing their full-blown opinions on politics because, let's face it, at the end of the day, I'm not that smart of a guy.
N.T. Wright, The New Testament and the People of God|What does it mean to be an advocate? In its broadest sense, advocacy means “any public action to support and recommend a cause, policy or practice.” That covers a lot of public actions, from displaying  a bumper sticker to sounding off with a bullhorn. But whether the action is slapping something on the back of a car or speaking in front of millions, every act of advocacy involves making some kind of public statement, one that says, “I support this.” Advocacy is a communicative act. Advocacy is also a persuasive act. “I support this” is usually followed by another statement (sometimes only implied): “...and you should, too.” Advocacy not only means endorsing a cause or idea, but recommending, promoting, defending, or arguing for it.
Christina Engela, The Time Saving Agency|As a South African I honestly cannot understand how people can't see South Africa as a unique nation, untied by ties of history, bonds of suffering, victory, struggles, hope - and in more ways than I ever before thought possible - blood.
Samuel Johnson|AuthorZoom- You do the writing, let us do the rest.
Moira Wegel|While it might have surprised onlookers, undergraduates in the 2000s were in fact having less sex than their predecessors in the 1980s and '90s - if you accepted their definition of sex as vaginal intercourse. (Those of us who grew up during the Clinton years learned from our president that activities other than intercourse do not constitute "sexual relations," however intimate they may be.)
Mark Sisson, Primal Blueprint 21-Day Total Body Transformation: A Step-by-Step, Gene Reprogramming Action Plan|Perhaps the most important thing I came to understand during my decade at HoJo's was that Americans had extremely open palates compared to French diners. They were willing to try items that lay outside their normal range of tastes. If they liked the food, that was all that mattered. I wasn't constantly battling ingrained prejudices as I would have been in France, where doing something as simple as adding carrots to boeuf bourguignon could have gotten me guillotined, not because carrots make the dish taste bad (they are great), but because it wouldn't be the way a boeuf was supposed to be made. In France, unless a dish was prepared exactly "right," people would know and complain. In the States, if it tasted good, then fine, the customer was happy. A whole new world of culinary possibilities had opened up before me.
Anne Rice, Interview with the Vampire|He'll come back," Simon said again. "For you.
Rainbow Rowell, Attachments|I didn't know someone could love me like this," she said. "Could love me and love me and love me without...needing space."Lincoln wasn't asleep. He rolled on top of her."There's no air in space," he said.
Jamie McGuire, Beautiful Disaster|This pure little drop from a pure little source was too sweet: it penetrated deep, and subdued the heart
