Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
Leviak B. Kelly, Religion: The Ultimate STD: Living a Spiritual Life without Dogmatics or Cultural Destruction|Cats were not and are not tool makers the way humans became toolmakers. They are specifically adapted as obligate carnivores, This means the vegetarian cat is an oxymoron at best and a blatant lie at worst. Cats need meat. The concept of a Garden of Eden would be rather atrocious to them.
Tim Dorsey, Nuclear Jellyfish|First, they set the hook with mind-bending kinky shit. Then a year later you're living in a Talking Heads song, dressed like Teddy Ruxpin, living with a strange woman in a big house full of frilly throw pillows, experiencing the frequency of sex that can only be charted by Halley's Comet. and you're wondering: How did I get here?
Steven Brust, Sethra Lavode|All mountain landscapes hold stories: the ones we read, the ones we dream, and the ones we create.-from the Editor's Note, The Alpinist (April 1, 2010)
Brent Weeks, The Black Prism|Do you know why you feel destined for something greater?” “Why?” Kip asked, quiet, hopeful. “Because you’re an arrogant little shit.
Margaret Laurence, The Stone Angel|I can't change what's happened to me in my life, or make what's not occurred take place. But I can't say I like it, or accept it, or believe it's for the best. I don't and never shall, not even if I'm damned for it.
Shirley Chisholm|Last time I was down South I walked into this restaurant, and this white waitress came up to me and said: 'We don't serve colored people here.' "I said: 'that's all right, I don't eat colored people. Bring me a whole fried chicken.
Victoria Addino|Always strive to aim for the highest peak of the goals in life you have set, this way if you manage to reach even half way toward a goal, landing in the middle is not such a bad place to end up.
Rutger Hauer|Every society, all government, and every kind of civil compact therefore, is or ought to be, calculated for the general good and safety of the community.
Nikki Rowe, Once a Girl, Now a Woman|Feeling the slight tremor of his fingers against her skin, Daisy was emboldened to remark, “I’ve never been attracted to tall men before. But you make me feel—” “If you don’t keep quiet,” he interrupted curtly, “I’m going to strangle you.” Daisy felt silent, listening to the rhythm of his breath as it turned deeper, less controlled. By contrast his fingers became more certain in their task, working along the row of pearls until her dress gaped open and the sleeves slipped from her shoulders. “Where is it?” he asked. “The key?”His tone was deadly. “Yes, Daisy. The key.” “It fell inside my corset. Which means… I’ll have to take that off too.” There was no reaction to the statement, no sound or movement. Daisy twisted to glance at Matthew. He seemed dazed. His eyes looked unnaturally blue against the flush on his face. She realized he was occupied with a savage inner battle to keep from touching her. Feeling hot and prickly with embarrassment, Daisy pulled her arms completely out of her sleeves. She worked the dress over her hips, wriggling out of the filmy white layers, letting them slide to the floor in a heap. Matthew stared at the discarded dress as if it were some kind of exotic fauna he had never seen before. Slowly his eyes returned to Daisy, and an incoherent protest came from his throat as she began to unhook her corset. She felt shy and wicked, undressing in front of him. But she was encouraged by the way he seemed unable to tear his gaze from each newly revealed inch of pale skin. When the last metal hook came apart, she tossed the web of lace and stays to the floor. All that remained over her breasts was a crumpled chemise. The key had dropped into her lap. Closing her fingers around the metal object, she risked a cautious glance at Matthew. His eyes were closed, his forehead scored with furrows of pained concentration. “This isn’t going to happen,” he said, more to himself than to her. Daisy leaned forward to tuck the key into his coat pocket. Gripping the hem of her chemise, she stripped it over her head. A tingling shock chased over her naked upper body. She was so nervous that her teeth had begun to chatter. “I just took my chemise off,” she said. “Don’t you want to look?” “No.” But his eyes had opened, and his gaze found her small, pink-tipped breasts, and the breath hissed through his clenched teeth. He sat without moving, staring at her as she untied his cravat and unbuttoned the layers of his waistcoat and shirt. She blushed everywhere but continued doggedly, rising to her knees to tug the coat from his shoulders. He moved like a dreamer, slowly pulling his arms from the coat sleeves and waistcoat. Daisy pushed his shirt open with awkward determination, her gaze drinking in the sight of his chest and torso. His skin gleamed like heavy satin, stretched taut over broad expanses of muscle. She touched the powerful vault of his ribs, trailing her fingertips to the rippled tautness of his midriff. Suddenly Matthew caught her hand, seemingly undecided whether to push it away or press it closer. Her fingers curled over his. She stared into his dilated blue eyes. “Matthew,” she whispered. “I’m here. I’m yours. I want to do everything you’ve ever imagined doing with me.” He stopped breathing. His will foundered and collapsed, and suddenly nothing mattered except the demands of a desire that had been denied too long. With a rough groan of surrender, he lifted her onto his lap.
Virginia H. Pearce, A Heart Like His: Making Space for God's Love in Your Life|AUNT SHADIE:I see you - and don't worry, you're not white.ROSE:I'm pretty sure I'm white. I'm English.AUNT SHADIE:White is blindness - it has nothing to do with the colour of your skin.
Isaac Asimov, The Tyrannosaurus Prescription and 100 Other Essays|A snake must be treated as a snake, forgiving it every time it showed you its fangs, will not transform into a garland of flowers.
Jodi Picoult, Handle with Care|Being a good mother, it seemed to me, meant you ran the risk of losing your child.
Craig D. Lounsbrough|Bravery is not found in getting knocked down. Rather, bravery is found is getting back up knowing that you’re going to get knocked down again.
Portia de Rossi, Unbearable Lightness: A Story of Loss and Gain|Lovers, forget your love,And list the love of these,She a window flower,And he a winter breeze.
Franz Kafka, Diaries of Franz Kafka|This tremendous world I have inside of me. How to free myself, and this world, without tearing myself to pieces. And rather tear myself to a thousand pieces than be buried with this world within me.
Debasish Mridha|There is only one purpose in life, which is happiness. We attain happiness by serving others with love and kindness.
M. Keep, Theodora's Descent|Insects crawled across my skin, legs skittering across my flesh, numbed paths of cold left in their wake. They were the creatures that heralded my ghosts, and I knew them well, yet the revulsion they caused in those moments far exceeded anything I’d felt before.
Lailah Gifty Akita|Whatever you have in mind do, for the Lord is with you.
Habeeb Adeokun|What is success? Success isn't about making shit loads of money, success is having the balls to follow your dreams through and making it a reality, it does not matter if you make money or not.
Karen McDougal|Some people know that they are so adorable looking, all they have to do is smile and dress up and they get plenty from that. Then there are some of us who, early on, see that that doesn't work. So we joke about it.
Nora Roberts, Daring to Dream|Earrings are like orgasms. You can never have too many."  " I never thought about it quite that way."  Well, you're a man. " She gave his knee a friendly pat.
John Piper, The Passion of Jesus Christ|The only answer in these modern times, as in all other times, is the blood of Christ. When our conscience rises up and condemns us, where will we turn? We turn to Christ. We turn to the suffering and death of Christ—the blood of Christ. This is the only cleansing agent in the universe that can give the conscience relief in life and peace in death.
Amy Tan, The Valley of Amazement|Our love would be solace, companionship, and the mending of wounds.
Lailah Gifty Akita|Jesus Christ, the holy Saviour is the Great Physician of Souls.
Dora J. Arod, Love quotes for the ages. And the ageless sages.|The noise distorts the truth but we can break through, we need to base our foundation upon the Rock.
King Samuel Benson|The only thing in life that matters is the moment, not the past, not the future, just what you do can with the moment you have. Think of how many moments you have wasted, thinking and not doing, contemplating and not doing, sulking and not doing. Do something with your moment!
Ike Skelton|The physician's highest calling, his only calling, is to make sick people healthy - to heal, as it is termed.
Larry Beinhart, The Librarian|IT IS A KNOWING. YOU BEHAVE LIKE THAT BECAUSE OF AN INFORMATION YOU HAVE. I WILL BEHAVE LIKE YOU IF I HAD THAT INFORMATION.In the beginning was the INFORMATION, and the INFORMATION was with God, and the INFORMATION was God.The same was in the beginning with God.All things were made by him; and without him was not any thing made that was made.In him was life; and the life was the light of men.And the light shineth in darkness; and the darkness comprehended it not.
William Zemba|We are not living in the land of the living and going to the land of the dying, but rather, we are living in the land of the dying and going to the land of the living.
Jim Butcher, Grave Peril|We have now left Reason and Sanity Junction. Next stop, Looneyville.
Debasish Mridha|To illuminate the world, let your love shine like the morning sun.
Charles Pellegrino, Dust|Historically, the Germans had a habit of associating the names of objects with the sounds they made. After bell makers-turned-cannon-makers learned that by closing off the mouth of the cannon before lighting the fuse, the entire cannon could be made to explode, the device they invented became known as the 'bum' (for boom!). In keeping with this tradition, the first one-thousand-pound bomb was dubbed 'ein laussen bum' (meaning, "a loud boom"). After the first atomic bomb was dropped on Hiroshima, they called the fission device 'ein grossen laussen bum' (or, "a big loud boom"). The next obvious step was the fusion, or H-bomb, which was pronounced 'ein grossen laussen bum all ist kaput!
Zeeshan Ahmed|If you were to stare at this box of matches, you could extract entire worlds out of it. If you search for tastes in a book, you will certainly find them because it was said: seek and ye shall find. But a critic should not rifle, search. Let him sit back with folded arms, waiting for the book to find him. Talents should not be sought with a microscope, a talent should let people know about itself by striking at all the bells.
Jojo Moyes, The Girl You Left Behind|As long as you're around, your life is too. So just as you shower love and affection and attention on the husbands, wives, parents, children and forever friends who surround you, you have to do so equally with your life, because it's yours, it's you, and it's always there rooting for you, cheering you on, even when you feel like you can't do it. I gave up on my life for a while, but what I've learned is that even when that happens and especially when that happens, life never gives up on you. Mine didn't. And we'll be there for each other until those final moments when we will look at each other and say, 'Thanks for staying until the end.'And that's the truth.
Debasish Mridha|You will make the world a magnificent place with the magic of your kindness, beauty, peace, and happiness.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Drama don't arrive by surprise; it is summoned, undisguised.
Debasish Mridha|To live a great life, focus and do what makes you happy.
Josh Zuckerman|Filmmaking is a completely imperfect art form that takes years and, over those years, the movie tells you what it is. Mistakes happen, accidents happen and true great films are the results of those mistakes and the decisions that those directors make during those moments.
Gyomay M. Kubose, Everyday Suchness: Buddhist Essays on Everyday Living|For me, Buddhism is like a living organism. If it is to flourish outside self-enclosed ghettos of believers, it will have to meet the challenge of understanding, interacting with, and adapting to an environment that is strikingly different from those in which it has evolved.
Misty Copeland|There were times when chemo would eat my body, but I told myself that I have the strength and courage to win and come out stronger.
Wolfgang Puck|If you are a girl dressing up in the morning thinking about the whole world having a point of view on what you are wearing, it takes the pleasure out of getting dressed.
Gloria Ng, Cloth Diapering Made Easy|What makes somebody nice or unpleasant to be around is the way they communicate. When people are fucked up, their communication is fucked up.
Avijeet Das|And what did the North Star tell the Moon last night? He said "I love you!
George E. Sargent, The Story Of Charles Ogilvie|We have preserved the book, and the book has preserved us.
Sachin Kundalkar, Cobalt Blue|I have only men like you n novels, men who lived their own idiosyncrasies.
William Shakespeare, Romeo and Juliet|O my love, my wife!Death, that hath suck'd the honey of thy breathHath had no power yet upon thy beauty.
Jane Stanton Hitchcock, Mortal Friends|Was it possible to do both, to contribute to the world while merely observing it? To be content in the moment, but plan for the future? Could you follow your heart without losing all common sense?
Horace, The Odes of Horace|The strongest man is the one who, when he gets angry and his face reddens and his hackles rise, is able to defeat his anger.(Reported by Imaam Ahmad, 5/367, and classified as hasan in Saheeh al-Jaami’, 3859)
Charles Emmerson, 1913: In Search of the World Before the Great War|The benefit of such horizontal interactions - people sharing knowledge across fields - is that it encourages conceptual blending, which is an extremely important part of the insight process.
Cherise Sinclair, To Command and Collar|That’s means you’re mine. Mine to care for.” He ran his thumb over her full lower lip. “Mine to fuck.” He leaned forward, his mouth an inch from hers. “And mine to protect. Don’t forget that.” Zander deVries
Drew Houston|I used to have this Mercedes, a dark blue 450SLC, which was the most beautiful car. I'd like to have another unusual, beautiful car.
Ron Barrow|Today is filled with solutions, be positive and enthusiastic at ALL times. Why worry or live in fear, it will probably never happen!
Carole Carlton, Mrs Darley's Pagan Whispers: A Celebration of Pagan Festivals, Sacred Days, Spirituality and Traditions of the Year|God doesn't stop crisis from coming, as He didn't stop Christ from coming. Things have their reasons for happening, we need not to faint, but rather have faith that we are never alone.
Abraham Grace Merritt, Masters of Horror|We strike our blow, even as Pierre has said. We strike at the coppice that you so desire. We strike there because it is the very heart of the forest. There the secret life of the forest runs at full tide. We know - and you know! Something that, destroyed, will take the heart out of the forest - will make it know us for its masters."("Women Of The Woods")
Nicholas Sparks, The Last Song|I never stopped loving you, Ronnie. And I never stopped thinking about you. Even if summers do come to an end.
M. Stanton Evans|One of my most memorable Thanksgiving memories was probably the first year that me and my two brothers decided to start our annual eating contest. We ate throughout the whole day. We started that morning and weighed ourselves, and at the very end of the night, we weighed ourselves out. And all three of us equally gained five pounds.
Josiah Bancroft, Senlin Ascends|But that is the way we are made: we don't reason, where we feel; we just feel.
Mark Twain|It is not that I believe that there are too many idiots in this world, just that lightning isn't distributed right.
Vironika Tugaleva|If you find yourself craving approval, you are low on self-love. Stop grasping for a few scraps wherever you can. Go home and make yourself a feast. Love yourself deeply today.
Debbie Moon|It was gentler here, softer, its seethe the quietest of whispers, as if, in deference to a drawing room, it had quite deliberately put on its 'manners'; it kept itself out of sight, obliterated itself, but distinctly with an air of saying, 'Ah, but just wait! Wait till we are alone together! Then I will begin to tell you something new! Something white! something cold! something sleepy! something of cease, and peace, and the long bright curve of space! Tell them to go away. Banish them. Refuse to speak. Leave them, go upstairs to your room, turn out the light and get into bed - I will go with you, I will be waiting for you, I will tell you a better story than Little Kay of the Skates, or The Snow Ghost - I will surround your bed, I will close the windows, pile a deep drift against the door, so that none will ever again be able to enter. Speak to them!...' It seemed as if the little hissing voice came from a slow white spiral of falling flakes in the corner by the front window - but he could not be sure.("Silent Snow, Secret Snow")
Jules Barbey d'Aurevilly, Les Diaboliques|Noc knew that his girlfriend was better as he got to the door of Kay’s living room. This he could tell by the sound of her screaming at Turney for some infraction on the Son of Time’s part. He opened it to see her soaking wet, cornering Turney by the stereo and holding a ball of Hellfire. Noc burst out laughing at the normalcy of the whole thing.
Nick Szabo|I took this 'how to build computers' course basically because I'm sick and tired of getting ripped off by cheesy computer companies. Software baffles me. I like hardware. I used to change my own oil, and now I want to build my own computer so I can have what I want.
Euripides, Hippolytus|Really, seeing the amount we give in charity, the wonder is there are any poor left. It is a comfort that there are. What should we do without them? Our fur-clad little girls! our jolly, red-faced squires! we should never know how good they were, but for the poor? Without the poor how could we be virtuous? We should have to go about giving to each other. And friends expect such expensive presents, while a shilling here and there among the poor brings to us all the sensations of a good Samaritan. Providence has been very thoughtful in providing us with poor.
Markus Zusak, Underdog|I looked at myself in that window, oblivious to all the people around me and I stared and smiled that particular smile. You know that smile that seems to knock you and tell you how pathetic you are? That's the smile I was smiling.
Joseph Campbell, Thou Art That: Transforming Religious Metaphor|Mythology may, in a real sense, be defined as other people's religion. And religion may, in a sense, be understood as popular misunderstanding of mythology. (8)
Lailah Gifty Akita|Whoever fear God, shall depart from evil.
Margaret Mitchell, Gone With the Wind|Yes, I want money more than anything else in the world.”“Then you’ve made the only choice. But there’s a penalty attached, as there is to most things you want. It’s loneliness.
Debasish Mridha|True liberty comes from education, knowledge, and wisdom.
Cynthia D'Aprix Sweeney, The Nest|So the first time she and Leo combusted, she'd practically been poised for the breakup. In some inexplicable way, she'd been looking forward to it and all its attendant drama, because wasn't there something nearly lovely–when you were young enough–about guts churning and tear ducts being put to glorious overuse? She recognized the undeniable satisfaction of the first emotional fissure because an unraveling was still something grown-up and, therefore, life affirming. See? The broken heart signalled. I loved enough to lose; I felt enough to weep. Because when you were young enough, the stakes of love were so very small, nearly insignificant. How tragic could a breakup be when it was part of the fabric of expectation from the beginning? The hackneyed fights, the late-night phone calls, the indignant recounting for friends over multiple drinks and in earshot of an appropriately flirtatious bartender–it was theatre for a certain type of person . . . Until it wasn't.
Sharon Olds|I see them standing at the formal gates of their colleges,I see my father strolling outunder the ochre sandstone arch, thered tiles glinting like bentplates of blood behind his head, Isee my mother with a few light books at her hipstanding at the pillar made of tiny bricks with thewrought-iron gate still open behind her, itssword-tips black in the May air,they are about to graduate, they are about to get married,they are kids, they are dumb, all they know is they areinnocent, they would never hurt anybody.I want to go up to them and say Stop,don't do it--she's the wrong woman,he's the wrong man, you are going to do thingsyou cannot imagine you would ever do,you are going to do bad things to children,you are going to suffer in ways you never heard of,you are going to want to die. I want to goup to them there in the late May sunlight and say it,her hungry pretty blank face turning to me,her pitiful beautiful untouched body,his arrogant handsome blind face turning to me,his pitiful beautiful untouched body,but I don't do it. I want to live. Itake them up like the male and femalepaper dolls and bang them togetherat the hips like chips of flint as if tostrike sparks from them, I sayDo what you are going to do, and I will tell about it
Siddhartha Choudhary|being born a princess is all right, but behaving like one can be dangerous.
Craig D. Lounsbrough|Easter is a marvelous affirmation of the genius of our design, but it is likewise the blunt acknowledgement that left to its own devices, the genius of our design will result in the destruction of our lives.
Sarah Van Arsdale|Good fiction often gives us characters in extremity, which ironically gives us a clearer mirror in which to see ourselves.
Michael Dirda|It looks like I'm just gonna keep getting really, really happy and sad and embarrassed and excited and disappointed for the rest of my life, so let's just do that.
Martin Seligman|A lot of times, in our culture and our society, we put romantic love somehow on a higher plane than self-love and friendship love. You can't do that. You have to honor and really fully invest in all these different loving relationships.
James C. Dobson|Remember, every obstacle is also an opportunity.
Said Sayrafiezadeh|The denominational world tries to pressure its members to focus on the birth of Christ, but in doing so layers of guilt are imposed, and competition gets complicated as one Christmas program tries to outdo the other.
Nathaniel Hawthorne, The Scarlet Letter|In all her intercourse with society, however, there was nothing that made her feel as if she belonged to it... She stood apart from mortal interests, yet close beside them, like a ghost that revisits the familiar fireside, and can no longer make itself seen or felt.
Rick Riordan, The Son of Neptune|She raised an eyebrow. "You got something to say to me, Seaweed Brain?"You'd probably kick my 
Napoleon Hill|I felt like a failure, like somehow my self-worth was tied to my ability to procreate. I didn't feel like I could talk about it. I did not want other people's pity, so I mostly kept my story and my feelings to myself.
Kilroy J. Oldster, Dead Toad Scrolls|The supreme artist lives as closely as possible to replicating the perfect dream, with life unfolding in a manner that a person could never conceive or direct.
Bill Ayers|Your kids require you most of all to love them for who they are, not to spend your whole time trying to correct them.
Abhijit Naskar, Neurons of Jesus: Mind of A Teacher, Spouse & Thinker|From a medical standpoint, the third and the most probable explanation is that Jesus was indeed dead, and what his disciples experienced were mere hallucinations evoked by the grief over the loss of their beloved teacher. It is clinically known as “Post-Bereavement Hallucinations Experiences” or PBHE.
Dada Bhagwan|Neither the world nor one’s actions cause obstructions; kashays (inner anger, pride, deceit, greed) cause obstruction!
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|To the young woman I say, This is the moment in your life when he who is wooing you will be at his kindest. And if you do not see kindness in the man you are dating, beware! For the partnership you are looking for will be nourished and nurtured only on the basis of a love that is not arrogant or prideful, but kind.
Christina Engela, Black Sunrise|Being captain of such a vessel was not a stressful job, despite the sheer size of the thing. Everything was automated, and this meant that this behemoth could be efficiently handled by a far less seasoned captain. Besides, hiring mature skippers with actual experience would cost real money. And hey, the computers ran everything anyway – and that’s how Bran Johannsen enters this story – as a fine young inexperienced graduate of the Merchant Space Academy in Mars City, who only got his Executive Officer’s ticket four short years ago.
Herman Melville|Now, as you well know, it is not seldom the case in this conventional world of ours - watery or otherwise; that when a person placed in command over his fellow-men finds one of them to be very significantly his superior in general pride of manhood, straightway against that man he conceives an unconquerable dislike and bitterness; and if he have a chance he will pull down and pulverize that subaltern's tower, and make a little heap of dust of it.
Alfred North Whitehead, The Concept of Nature: The Tarner Lectures Delivered in Trinity College, 11/1919|The aim of science is to seek the simplest explanations of complex facts. We are apt to fall into the error of thinking that the facts are simple because simplicity is the goal of our quest. The guiding motto in the life of every natural philosopher should be, 'Seek simplicity and distrust it.
Steve Harvey|I know nothing at all about women. They are an amazing, beautiful mystery.
Rachel Held Evans|God's truth!' one side shouts.'More loving!' comes the response.'God's truth!''More loving!''God's truth!''More loving!'But there shouldn't be a clash between 'God's truth' and 'More loving.' In the Bible, Truth and Love are two sides of the same coin. You can't have one without the other. God's Truth is all about God's Love for us and the Love we ought to have for one another. We are being untrue to that Truth if we treat people unlovingly. And we are missing out on the full extent of that Love if we try to divorce it from Ultimate Truth.
Darnell Lamont Walker|Other people's sorrows and joys have a way of reminding us of our own; we partly empathize with them because we ask ourselves: What about me? What does that say about my life, my pains, my anguish?
Alexander Pope|I'm not saying it's what I would have wanted. But don't you see? We fuck up our lives again and again and it's always our children who pick up the bill. We move on to new relationships, always starting over, always thinking we've got another chance to get it right, it's the kids from all these broken marriages who pay the price. They - my son, your daughters, all the millions like them - are carrying around wounds that are going to last a lifetime. It has to stop.
Lewis H. Lapham, Gag Rule: On the Suppression of Dissent and the Stifling of Democracy|As many as six out of ten American adults have never read a book of any kind, and the bulletins from the nation’s educational frontiers read like the casualty reports from a lost war.
Jeff Kinney|Throughout my career as a lawyer, teacher and labor leader, books have remained my constant companion - stuffed into a briefcase, overflowing on my bedside table, stacked on my desk at work. Books have carried me to distant worlds, opened new doors and made me feel empathy, compassion, anger, fear, joy, acceptance - and everything in between.
Josh Stern|Y'know when your dog drags its butt across the carpet leaving a stain- It's not as easy as it looks..." 
Sherman Alexie, The Absolutely True Diary of a Part-Time Indian|As a matter of fact, confrontation could be a seed of peace.
