Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|a man who was, as we say in the restaurant business, one taco short of a combo platter.
Sumrit Shahi, Just Friends|Sometimes silence become the most excruciating sound; sometimes the mind becomes a musical symphony of clouded thoughts, questions and clarifications but the vocals fail to present the sound of conversation.
Issey Miyake|God the Father and God the Son cannot be everywhere present; indeed they cannot be even in two places at the same instant: but God the Holy Spirit is omnipresent - it extends through all space, with all other matter.
Sonny Bill Williams|Bottom line, I have nothing but respect for Peyton Manning... He was always a great teammate to me; he's still a great friend to this day.
Marieta Maglas- Eschatological Regression|Most of the time, yesterday’s level of increase will not be enough to secure tomorrow"s increase
Billy Graham, Billy Graham in Quotes|Men cannot help that it is their nature to respond to the lewd, the salacious, and the vile. They will have difficulty doing otherwise until they are born again.
K.  Webster, Apartment 2B|Follow the ideal doing,grind the beans just before brewing.Use spring water,for softened water,makes a horror.A parley perfect,between the coffee,and the milk,with some,	brown sugar thick.” (Poem: An apology of a coffee lunatic, Book: Ginger and Honey)
Angelica Hopes|From what I've witness, honesty didn't really make anyone happy. The truth was a punch to the gut, and while you were falling, a knee to the face, then you could lie on the floor and bleed for a spell.
Jeff MacNelly|I'm a really fun aunt, so I hope I'm going to be a fun mom! I like to have fun and be silly and not take myself too seriously with the kids, so I hope that will translate when I actually have my own.
Jawaharlal Nehru|Consider a tree for a moment. As beautiful as trees are to look at, we don't see what goes on underground - as they grow roots. Trees must develop deep roots in order to grow strong and produce their beauty. But we don't see the roots. We just see and enjoy the beauty. In much the same way, what goes on inside of us is like the roots of a tree.
Matthew Bible|I wonder how many people have been killed, tortured, and in some cases cannibalized, all because certain Christians (mis)applied the book of Joshua to their lives.
Steven Moffat|5 mins after your birth, they decide your name, nationality, religion & sect & you spend rest of your life defending something you didn't choose.
Carole Gill|Well, that just sucks! I guess I'm stuck with Mike Newton after all
Pablo Neruda, Twenty Love Poems and a Song of Despair|It's an easy guess, why some get famous over night and not during the day.
Lauren Beukes, Moxyland|Becoming 'color blind' isn't helpful. Who you are matters, how you are matters. Things like race and culture are a manifestation of flows of creation. Your identity doesn't just matter, without it your soul can't interact with the world. The key is we need to understand that all races, ethnic groups, cultures and like treasures are equal and we must remember to follow our soul rather than our identity. The identity is something the soul works through, not the other way around.
Brownell Landrum, Five Reasons Why Bad Things Happen: How to Turn Tragedies Into Triumph|When you strip down the layers and get to your soul, there is nothing that can be taken away. This is the essence of freedom.
Robert David Steele, The Open-Source Everything Manifesto: Transparency, Truth, and Trust|I am not alone in the conviction that real, lasting national security can best be obtained through complete transparency of government, business, and other facets of society, and this includes open access to all of the many available types of information.
Gerry Abbey, Cheers, Beers, and Eastern Promise|I looked out again at the rising moon and I let the weight of my day, my week, lift away with the rushing wind as I was blown into the depths of myself.
Francois de La Rochefoucauld|Women of all classes are awakening to the necessity of self-support, but few are willing to do the ordinary useful work for which they are fitted.
Judy Garland|More than kisses, letters mingle souls.
Richelle E. Goodrich, Slaying Dragons|If I were to sit on the ocean floor and look toward the sky,I might see a whale or electric eel or octopus pass by.And if I decided to jump straight up and reach with open arms,I might feel the pleasure of ocean flight propel me ’mid their swarms.But if I were seated upon the shore and looking toward the stars,I might see a comet or falling star near Mercury or Mars.Then if I decided to jump straight up and reach with open hands,I might feel despair when my feet refused to leave the shoreline sand.And so I return to the ocean depths where swimming creatures fly,For there I can soar with the whales and fish that daily touch the sky.
Roshan Sharma|Improve your being, and the understanding of life will come to you; and then with the understanding, do, be or achieve whatever you want out of your life.
Donna Rice|My heart has been heavy and I have deliberated within my own conscience, knowing that my decision should not come out of my initial emotion of anger toward the President for such reckless behavior, but should be based on the facts.
James Morcan, The Ninth Orphan|The purpose of having the orphans study all these diverse fields was not for them to just become geniuses, but to become polymaths – meaning they would be geniuses in a wide variety of fields.
Gift Gugu Mona|I will not cease to walk in the direction towards my purpose, even if it means constantly walking on a bumpy road.
Larry McMurtry, Lonesome Dove|The softest grass can break any stone in her quest to find the sun. Rise again, woman, RISE AGAIN!
Lyndon B. Johnson|We can draw lessons from the past, but we cannot live in it.
Robert G. Ingersoll, The Liberty of Man, Woman and Child|When you go home you ought to go like a ray of light—so that it will, even in the night, burst out of the doors and windows and illuminate the darkness.
Shannon L. Alder|People that don't know what they are worth will always see their capture's wings, but never their tail.
Evinda Lepins|Now, I don't believe that a god exists. I think that gods are creation of men, by men, and for men. What has happened over the many centuries now, the better part of two thousand in fact, is that God has been slowly and steadily accruing power. His church has been accruing power, and the men who run that church, and they are all men, are not about to give it up. If they give it up, they give up luxury, they give up comfort.
Natalie Goldberg, The Great Failure: A Bartender, A Monk, and My Unlikely Path to Truth|You live and then you die, I thought. It's good to have some good times.
John Green, The Fault in Our Stars|Nah. I'm a tough cookie. Except for the cancer, I'm fine.
C. JoyBell C.|One positive idea can solve the situation you in, can make a massive difference and change your life forever.
Alexander Pushkin, Eugene Onegin|I was born for the peaceful life,for rural quiet:the lyre's voice in the wild is more resounding,creative dreams are more alive.To harmless leisures consecrated,I wander by a wasteful lakeand far niente is my rule.By every morn I am awakened unto sweet mollitude and freedom;little I read, a lot I sleep,fugitive fame do not pursue.Was it not thus in former years,that I spent in inaction, in the shade,my happiest days?
Kristen Ashley, Law Man|The man who gets Mara gets you and Billie. I’m that man. What you gotta get is, while fallin’ in love with Mara, I fell in love with you and your sister. Straight up, Bud, no lie. The feelings I feel for Mara are hers, the feelings I feel for Billie are hers and the feelings I feel for you are yours. You all have my love, not collectively, individually. Do you understand me?” “Mitch nodded. “Right. What I mean is, I didn’t fall in love with you all as a whole. I fell in love with each of you because of who you are. I don’t care about you because you come with Mara. I care about you because you’re a good kid. You’re smart. You’re loyal. And you love and look out for your sister and Mara. I know grown men who do not have a character as fine as yours. Those are the reasons I love you. There are different reasons I love Billie. And there are different reasons I love Mara. Today, what we had together was good. But the feelings I feel for you aren’t feelings I have to have in order to have Mara. They’re feelings you earned. Now, you with me?
John Burnside, A Lie About My Father: A Memoir|Can violence and the use of force to effect change upon the universe be left to the young? Do they see what was, what is, and what might yet be? Have they suffered, watched evil fall upon the good, or good upon the evil?Or should the burden of violence be left to those who can bear it most lightly—upon those who have closed their minds or their feelings? How can they understand the suffering that they must inflict?Should the burden of force be laid upon the short-lived, who will not see the consequences of their actions? How can they dispense force with compassion if they can escape the knowledge of what they do?...The greater the force brought to bear, the older and wiser must be the entity who wields it. Wisdom allows sorrow. Age allows experience, and knowledge reinforces wisdom and experience....Those who would bear the burden of force must be those who are strong and do not seek it, for those who seek force would misuse it, and those who are weak would shy from what they must 
Eric Bishop-Potter, Jimmy, Mrs Fisher and Me|Do you ever wear leather?" the guy asks."What?""Leather. Do you like leather?""It doesn't exactly wipe me out.""I like to see boys in leather."I look at him cool. "Okay," I say, "what is it you want and how much are you willing to pay for it?""I've got a leather jacket upstairs...Would you put it on?""Just put it on?""I'll go and get it." He leaves the horror hole and returns a few minutes later holding a leather flying jacket with a lambswool collar. There are tears in the jacket's sleeves and the lambswool is yellow with age. John Wayne could've worn it in one of those crappy war films he made. "Put it on," the guy says.I give him a spiky smile and put on the jacket. "Okay, where's the plane and what time's take-off?""Drop your jeans and turn around.
Evelyn Nakano Glenn|Young women are closer to the time when they were manipulative and childish and they don't let their babies manipulate them as much as older mothers do. These are only my conclusions from watching children in grocery stores. I love to watch them work on their mothers to get what they want, and, because I am always a child, I'm pulling for them to get the candy and to get it NOW. The other day I watched a little blond beauty pull her mother's face to her and lay her hands on her mother's cheeks and kiss her nose. Needless to say they opened the bag of cookies then and there.
Kristan Higgins, My One and Only|I'll tell you something, Harpy," he said, his voice almost a whisper now. "It never even occurred to me that we wouldn't make it. And it never occurred to you that we would. You were just waiting for us to go down in flames. I thought we could get through anything.
Dale Carnegie, How to Win Friends and Influence People|Why talk about what we want? That is childish. Absurd. Of course, you are interested in what you want. You are eternally interested in it. But no one else is. The rest of us are just like you: we are interested in what we want.
Steve Prefontaine|As long as you're true to you, you believe it and you make others believe it, then what you're doing is just art. If you give everybody a blank canvas and some paint, not everybody's picture is going to be exactly the same, but it's still art. I just do what I do.
Haruki Murakami, 1Q84 BOOK 1|His mind floated in the amniotic fluid of memory, listening for echoes of the past. His father, meanwhile, had no idea that such a vivid scene was burned into Tengo's brain or that, like a cow in the meadow, Tengo was endlessly regurgitating fragments of the scene to chew on, a cud from which he obtained essential nutrients. Father and son: each was locked in a deep, dark embrace with his secrets.
Amy Sedaris|I've read everything Thomas Wolfe ever wrote; my brother and I memorized whole chapters of 'You Can't Go Home Again' and 'Look Homeward, Angel.'
Fredrik Backman, My Grandmother Asked Me to Tell You She's Sorry|Always remember that when a new moment, a new insight, hovers around you, choose the new because the old has not done anything for you, so what is the point of going back? Even if the new proves wrong, then too, choose the new. At least it will be a new adventure; you will come to know something.
Mo Willems, Goldilocks and the Three Dinosaurs|If you ever find yourself in the wrong story, leave.
Alex J Kim|If you have no live, you serves them.
John Milton, Samson Agonistes|All is best, though we oft doubt, what the unsearchable dispose, of highest wisdom brings about.
David Mitchell|Simplify? Let me try. In school days, we are taught that if there are four animals in a room and you add two more, the total will be six. That is logic. But behind this logic, there are underlying assumptions. Now, if somebody tells you, there are four rats in the room and if you add two more cats in the room, how many animals in total exist in the room now? The answer will depend upon assumption. If you just use your mathematical brain, you will say six animals. If you use your human brain, you will say two animals. Why two animals? Because the two cats will eat the four rats in no time.
Fyodor Dostoyevsky, The Brothers Karamazov|Oh, he understood very well that for the meek soul of a simple Russian, exhausted by grief and hardship and, above all, by constant injustice and sin, his own or the world's, there was no stronger need than to find a holy shrine or a saint to prostrate himself before and to worship.
I. Wright, Godkin|She quickly interpreted him into her mythology but if, at first, he was a herbivorous lion, later he became a unicorn devouring raw meat.
Oscar Wilde, The Picture of Dorian Gray|But we never get back our youth… The pulse of joy that beats in us at twenty becomes sluggish. Our limbs fail, our senses rot. We degenerate into hideous puppets, haunted by the memory of the passions of which we were too much afraid, and the exquisite temptations that we had not the courage to yield to.
Hugo Pratt|I tell kids to have dreams, have goals, and believe in them because if you have any doubt, worry or fear, it will choke the life out of your dreams and goals.
Johnny Depp|Routines are normal, natural, healthy things. Most of us take a shower and brush our teeth every day. That is a good routine. Spiritual disciplines are routines. That is a good thing. But once routines become routine you need to change your routine.
Mehmet Murat ildan|By respecting the trees, you prove that you are a person who deserves to be respected!
Daniel Quinn|If you go to Singapore or Amsterdam or Seoul or Buenos Aires or Islamabad or Johannesburg or Tampa or Istanbul or Kyoto, you'll find that the people differ wildly in the way they dress, in their marriage customs, in the holidays they observe, in their religious rituals, and so on, but they all expect the food to be under lock and key. It's all owned, and if you want some, you'll have to buy it.
