Thomas Mann|Walk tall, or baby don't walk at all.
Sulari Gentill, Chasing Odysseus|Hero,” said Machaon to his sister who was still muttering to her gods. “Please stop. Surely the gods would have heard you by now … let’s try not to annoy them.
Kenneth Eade, Predatory Kill|What you must remember is that the magic itself is neither good nor bad, no more so than this ship might be used for right or wrong. It might be used by a fisherman to feed a village, for example. Or, the same vessel might be sailed by pirates to murder and pillage...the lumber, rope, nails, cotton, and everything that goes into it-is created by the True One. Humans decide how it is to be put together and how it is used.
Nick Hornby, The Polysyllabic Spree|Sometimes, in a tight game with runners on, digging in at short, ready to break with the ball, a peace I'd never felt before would paralyze the diamond. For a moment of eternal stillness I felt as if I were cocked at the very heart of the Midwest.
Charlotte Beers, I'd Rather Be in Charge: A Legendary Business Leader's Roadmap for Achieving Pride, Power, and Joy at Work|The men at the top aren't that great at properly assessing the women under them, certainly not enough to gauge their potential or intestinal fortitude.
Rachel Hartman, Shadow Scale|I'm sorry you lost the suit,' he said.She shrugged.'At this point, it was mostly a metaphor anyway,' she said...
David F. Porteous, Good Witch|he lived in London indeed but invisibly, his existence like an erased pencil sketch
Jack Gleeson|I had given a presentation on design and happiness for quite a long while at design conferences. I had found thinking about the topic helpful for my own practice, as it forced me to consider the fundamentals, and the feedback from the audience was always enthusiastic.
Ursula K. Le Guin, The Unreal and the Real: Selected Stories, Volume One: Where on Earth|One of the rocks in my soulbag, a little grey rock that I had picked up on a certain day in a certain place in the hills above the river in the Silver Time, a little piece of my world, that became my world. |Every night I took it out and held it in my hand while I lay in bed waiting to sleep, thinking of the sunlight on the hills above the river, listening to the soft shushing of the ship’s systems, like a mechanical sea
Holly Black, The Darkest Part of the Forest|Don’t promise when you’re happy, don’t reply when you’re angry, and don’t decide when you’re sad.
Luis von Ahn|Kids are finding out about the potential for discovery online from other sources; many of them have computers at home, for instance, or their friends have them.
Claire Cook, Must Love Dogs|Of course she'll move away from me, and likely from here, because she is my daughter, because she is a daughter in the twenty-first century. But we can be her fall-back plan, and her stash of memories. Her deep and wide past.
Rebel Wilson|After 'Muriel's Wedding,' I first went to America, and I was sent all these scripts about fat girls overcoming hurdles. Something in me knew not to go down that road, even if it was a good script.
Munia Khan|Moon is a superstar to a neon lightBoth are in doubt of their lifeless plight One envies the sun, the other one’s scared But to face the dark they’re always prepared
John   Kramer, Blythe|Discontent comes from two sources alone: Not having dreams, or not pursuing the ones you have. No one has ever died sorry who tried to turn a wish into a memory.
Diane  Hall|I know exactly what Einstein meant when he said, "Dancers are the athletes of God." You three look like angels. I can't wait to see you dancing in the Christmas concert.
Neil Gaiman, Preludes & Nocturnes|She's realized the real problem with stories -- if you keep them going long enough, they always end in death.
Eckhart Tolle, The Power of Now: A Guide to Spiritual Enlightenment|Time isn’t precious at all, because it is an illusion. What you perceive as precious is not time but the one point that is out of time: the Now. That is precious indeed. The more you are focused on time—past and future—the more you miss the Now, the most precious thing there is.
Ana Monnar|Work hard, put maximum effort, and have a good attitude. Most importantly never give up.
Raul Julia|What I've learned from my own journey, and from my family's experience with cancer, is how important it is to stay positive and move forward. Not every day is going to be perfect; that's life. But staying positive is going to get you to the next day.
Pablo Neruda, 100 Love Sonnets|I crave your mouth, your voice, your hair.Silent and starving, I prowl through the streets. Bread does not nourish me, dawn disrupts me, all day I hunt for the liquid measure of your steps.
Leo Tolstoy, Anna Karenina|Many families remain for years in the same place, though both husband and wife are sick of it, simply because there is neither complete division nor agreement between them.
James          Anderson, The Never-Open Desert Diner|I've learnt not to draw my sword first to strike. That in no way portends I have the most feeble of minds or might . . . Probably, I'm waiting for the perfect moment to startle with a fatal strike.
Lailah Gifty Akita, Think Great: Be Great!|If have nothing but life, I have everything.
Tessa Shaffer, Heaven Has No Regrets|You’ve got to trust yourself. Be gentle with yourself. And listen to yourself. You’re the only person who can get you through this now. You’re the only one who can survive your story, the only one who can write your future.All you’ve got to do, when you’re ready, is stand up, {and begin again.}
Sebastian Barry, The Secret Scripture|Memory, I must suppose, if it is neglected becomes like a box room, or a lumber room in an old house, the contents jumbled about, maybe not only from neglect but also from too much haphazard searching in them, and things to boot thrown in that don't belong there.
Ted Hughes, Poetry in the Making: An Anthology|It is not enough to say the crow flies purposefully, or heavily, or rowingly, or whatever. There are no words to capture the infinite depth of crowiness in the crow's flight. All we can do is use a word as an indicator, or a whole bunch of words as a general directive. But the ominous thing in the crow's flight, the bare-faced, bandit thing, the tattered beggarly gipsy thing, the caressing and shaping yet slightly clumsy gesture of the down-stroke, as if the wings were both too heavy and too powerful, and the headlong sort of merriment, the macabre pantomime ghoulishness and the undertaker sleekness - you could go on for a very long time with phrases of that sort and still have completely missed your instant, glimpse knowledge of the world of the crow's wingbeat. And a bookload of such descriptions is immediately rubbish when you look up and see the crow flying.
Lailah Gifty Akita|There is only One holy Knowledge, the excellent knowledge of God.
Kiyohiko Azuma, Azumanga Daioh: The Omnibus|I hope people don't take kittens on a whim, like they would a toy, then not care for them.
Elizabeth Goudge, The White Witch|These black times go as they come and we do not know how they come or why they go. But we know that God controls them, as he controls the whole vast cobweb of the mystery of things.
Jose Saramago|Anticipating that most poetry will be worse than carrying heavy luggage through O'Hare Airport, the public, to its loss, reads very little of it.
Robert Orben|Humor starts like a wildfire, but then continues on, smoldering, smoldering for years.
Terry Pratchett, Going Postal|It's still National Library Week. You should be especially nice to a librarian today, or tomorrow. Sometime this week, anyway. Probably the librarians would like tea. Or chocolates. Or a reliable source of funding.
Lailah Gifty Akita|In the darkness time, no human can save you, only the sacred divine light.
Alistair Begg|At best we are but clay, animated dust; but viewed as sinners, we are monsters indeed. Let it be published in heaven as a miracle that the Lord Jesus should set His heart's love upon people like us.
John Patrick Hickey, All You Have Is Now: How Your Approach to the World Determines Your Destiny|Success-minded people make a decision to achieve a goal and never have to make that decision again. They will be faced with a choice or some new circumstances to deal with, but the decision to achieve the goal is not in question. They have only to make adjustments along the way.
Meia Geddes, Love Letters to the World|In every country the intellectual class is the most influential class. This is the class which can foresee advice and lead. In no country does the mass of the people live the life for intelligent thought and action. It is largely imitative and follows the intellectual class. There is no exaggeration in saying that the entire destination of the country depends upon its intellectual class. If the intellectual class is honest and independent, it can be trusted to take the initiative and give a proper lead when a crisis arises. It is true that the intellect by itself is no virtue. It is only a means and the use of a means depends upon the ends which an intellectual person pursues. An intellectual man can be a good man but he may easily be a rogue. Similarly an intellectual class may be a band of high-souled persons, ready to help, ready to emancipate erring humanity or it may easily be a gang of crooks or a body of advocates of narrow clique from which it draws its support.
Mac MacKenzie|The ‘deep pause’ needed to cultivate wonder is far too often back-filled with an incessant busyness, as busyness errantly presumes a ‘deep pause’ to be deeply wasteful.
V.S. Carnes|Fate had a cruel sense of humor. It had been all his fault, anyway, whatever Mick or Gillia told him. Careless preoccupation and utter stupidity. Boyhood ignorance and negligence. He was only getting what he deserved, over and over again, for the rest of his life. If only in his dreams.
Elizabeth Olsen|On signing day, my mom brought me the national letter of intent to Arkansas. I should feel like I'm making the right decision. You get that many people telling you that. I had been dreaming about it. I signed 'No' where I was supposed to sign my name and put an exclamation point.
Friedrich Nietzsche|Michael grew silent, his gaze softening as he looked from me to Will, and a dim light of hope flickered in my heart. “You would mourn for h
Deyth Banger|That's what I thought, too," he said at last, "when I was your age. If there's just one kind of folks, why can't they get along with each other? If they're all alike, why do they go out of their way to despise each other? Scout, I think I'm beginning to understand something. I think I'm beginning to understand why Boo Radley's stayed shut up in the house all this time. . .it's because he want's to stay inside.
Patrick Weekes, The Paladin Caper|I am sex and death, desire and destruction. They will die in ecstasy knowing that I was their fulfillment. My pleasure, their end.
Paul Singer|Something my mum taught me years and years and years ago, is life's just too short to carry around a great bucket-load of anger and resentment and bitterness and hatreds and all that sort of stuff.
The Silver Elves, The Elf Folks' Book of Cookery: Recipes for a Delighted Tongue, a Healthy Body and a Magical Life|My cooking spoon,My magic wand, Of this dish,You will be fond.
Liane Moriarty, Three Wishes|One of the multitudes of exboyfriends had been a country music fan and left Gemma with an unfortunate passion for Tammy Wynette. It was like, Cat thought, he’d given her herpes.
Orson Scott Card|There's always moral instruction whether the writer inserts it deliberately or not. The least effective moral instruction in fiction is that which is consciously inserted. Partly because it won't reflect the storyteller's true beliefs, it will only reflect what he BELIEVES he believes, or what he thinks he should believe or what he's been persuaded of. But when you write without deliberately expressing moral teachings, the morals that show up are the ones you actually live by. The beliefs that you don't even think to question, that you don't even notice-- those will show up. And that tells much more truth about what you believe than your deliberate moral machinations.
Jill Badonsky, The Muse Is In: An Owner’s Manual to Your Creativity|If you stay open to the wisdom of your Muse, you may discover you’re a playwright, a sculptor, a kitchen-table comedian, a beacon of creative kindness, or a person who chooses grace over ego and contentment over greed. And in that choice you will create an world of joy within yourself, you’ll truly be an artist of being alive.
Ben Shahm|I believe that if it were left to artists to choose their own labels, most would choose none.
Veronica Roth, Allegiant|We don't know what's happened out there since they put us in here, or how many generations have lived and died since they did.We could be the last people left.
Dan Pearce, Single Dad Laughing|People who love themselves, don’t hurt other people. People who love themselves have no reason to ever judge another person on looks. There is simply no need. People who love themselves no longer look at beauty on a sliding scale or as a competition. There is nobody more beautiful or less beautiful than anyone else, including themselves. People who love themselves no longer see fat or skinny, tall or short, fair or dark skin, gay or straight, strong or weak. They only see people. Beautiful, beautiful people.
Elle Lothlorien, Alice in Wonderland|Once the principals in their party are seated, with those lower on the totem pole left to grumble and move on to find another table, our once-cozy booth transforms into a damp fusion of vacuous wretchedness, with the three women all complaining alternately about their wet hair/clothes and their respective distance from Talon, while the man himself is trying to maneuver his Paul Bunyan frame way too close to me.
G.R. Reader|Never force a man to do your wish, but let them wish to do it by force.
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|When looking for a life partner, my advice to women is date all of them: the bad boys, the cool boys, the commitment-phobic boys, the crazy boys. But do not marry them. The things that make the bad boys sexy do not make them good husbands. When it comes time to settle down, find someone who wants an equal partner. Someone who thinks women should be smart, opinionated and ambitious. Someone who values fairness and expects or, even better, wants to do his share in the home. These men exist and, trust me, over time, nothing is sexier.
Anne Stuart, Ice Blue|Kansas afternoons in late summer are peculiar and wondrous things. Often they are pregnant, if not over-ripe, with a pensive and latent energy that is utterly incapable of ever finding an adequate release for itself. This results in a palpable, almost frenetic tension that hangs in the air just below the clouds. By dusk, spread thin across the quilt-work farmlands by disparate prairie winds, this formless energy creates an abscess in the fabric of space and time that most individuals rarely take notice of. But in the soulish chambers of particularly sensitive observers, it elicits a familiar recognition—a vague remembrance—of something both dark and beautiful. Some understand it simply as an undefined tranquility tinged with despair over the loss of something now forgotten. For others, it signifies something far more sinister, and is therefore something to be feared.
Kilroy J. Oldster, Dead Toad Scrolls|Disquietude that springs from the fundamental nature of being a human being is vaster and more encompassing than depression, which has a cause and therefore a cure.
G.A. Aiken, About a Dragon|She’d left him.Without a word. Without a thought. She’d left him and now he hadfeelings.For that alone, he’d never forgive her.
Michael  Sanders, Ayahuasca: An Executive's Enlightenment|I sit up and stare with eyes closed, perceiving the infinity of this dimension, so grateful to experience this, comfortable with the idea of this journey either ending shortly or continuing forever.
Paul Klee|A single day is enough to make us a little larger or, another time, a little smaller.
Debasish Mridha|Your tears proves that you are an emotional human being; love, joy, sadness and misery touches you deeply.
Justin Sane|If your goal is anything but profitability - if it's to be big, or to grow fast, or to become a technology leader - you'll hit problems.
Sarah Dessen, Along for the Ride|No zone have a perfect Family, but my Family is perfect for Me
Jodi Picoult, The Storyteller|But that's what love is, isn't it? When it hurts you more to see someone suffer than it does to take the pain away?
Carla H. Krueger|Books aren't written, they're rewritten. Including your own. It is one of the hardest things to accept, especially after the seventh rewrite hasn't quite done it...
Shannon A. Thompson, Minutes Before Sunset|But this girl—She reminded me of what it was like to believe in something. Her hope was naïve, but it was real, and I hadn’t felt something real in years. Nothing positive anyways. (Eric)
Bernard Katz|The Twist was a guided missile launched from the ghetto into the heart of suburbia. The Twist succeeded, as politics, religion and law could never do, in writing in the heart and soul what the Supreme Court could only write on the books.
Cathlin Shahriary, Return to Fae|Many people over forty have at least one health condition that affects their ability to work a forty hour work week effectively. Human Resources (HR), doctors and governments have known this fact for decades.
David Sax, The Revenge of Analog: Real Things and Why They Matter|Try to imagine the calamity of that: Zack, age twenty-eight, with no management experience, gets training from Dave, a weekend rock guitarist, on how to apply a set of fundamentally unsound psychological principles as a way to manipulate the people who report to him.
Frederick Douglass|If there is no struggle, there is no progress. Those who profess to favor freedom, and yet deprecate agitation, are men who want crops without plowing up the ground. They want rain without thunder and lightning. They want the ocean without the roar of its many waters. ...Power concedes nothing without a demand. It never did and it never will. ...Find out just what people will submit to, and you have found the exact amount of injustice and wrong which will be imposed upon them; and these will continue until they are resisted with either words or blows, or with both. The limits of tyrants are prescribed by the endurance of those whom they oppress.
Rick Riordan, The Throne of Fire|Then there were the shabti, magical figurines that were supposed to come to life when summoned. A few months ago, I’d fallen for a girl named Zia Rashid, who’d turned out to be a shabti. Falling in love for the first time had been hard enough. But when the girl you like turns out to be ceramic and cracks to pieces before your eyes—well, it gives “breaking your heart” a new meaning.
Lili St. Crow, Strange Angels|You're terribly selfish, you know. I've loved you so long, and it was never dear or precious to you. I might as well have not loved you at all.
Natalie Clifford Barney|It's necessary to use suffering. Otherwise, one is used by it.
Marcus Buckingham|Forcing your employees to follow required steps only prevents customer dissatisfaction. If your goal is truly to satisfy, to create advocates, then the step-by-step approach alone cannot get you there. Instead, you must select employees who have the talent to listen and to teach, and then you must focus them toward simple emotional outcomes like partnership and advice....Identify a person's strenths. Define outcomes that play to those strengths. Find a way to count, rate or rank those outcomes. And then let the person run.
Mark Russell|Son, in life you do not fight battles because you expect to win......you fight them merely because they need to be fought.-Snagglepuss
Debasish Mridha|To be beautiful, love is the best makeup to wear.
Dale Pendell, Pharmako/Poeia: Plant Powers, Poisons, and Herbcraft|A fish cannot be aware of the ocean, before jumping up out of water.
Blake Nelson, Destroy All Cars|... the sea pirates who had the most to do with the creation of the newgovernment owned human slaves. They used human beings for machinery, and, evenafter slavery was eliminated, because it was so embarrassing, they and theirdescendants continued to think of ordinary human beings as machines.
Alija Izetbegović|Whether most Muslims are peaceable is irrelevant. The fact is that fanatics rule Islam now & act-out what the Qur'an truly says ...maul, march, & murder every Infidel if they won't convert!
John  Mole, It's All Greek to Me!: A Tale of a Mad Dog and an Englishman, Ruins, Retsina--and Real Greeks|For many of our Greek friends a book is a final desperate attempt to fill the existential void when there is no one to talk to, nothing to do, no television to view, nothing in the street to watch and even the middle distance holds nothing to stare at. To be seen carrying a book in public, let alone reading one, is a mark of eccentricity or foreignness.
Terry Pratchett, Unseen Academicals|The Librarian was not familiar with love, which had always struck him as a bit ethereal and soppy, but kindness, on the other hand, was practical. You knew where you were with kindness, especially if you were holding a pie it had just given you.
Billy Graham, Billy Graham in Quotes|Integrity means that we are trustworthy and dependable, and our character is above reproach.
Tracy March, Should've Said No|Why is the TV on, and why aren't you on the way to naked?"...	"My head and the rest of me" - he drew her attention to his erection - "heard sex. No putting that genie back in the lamp...
Laura Hillenbrand, Unbroken: A World War II Story of Survival, Resilience, and Redemption|It criticizes me,but my 2nd quest give me deserve a second chance but it is my own survival,My friend.
Amit Kalantri|You may not appreciate the presence of good health, but you will definitely regret the absence of good health, because health is happiness.
Sereda Aleta Dailey, The Oracle of Poetic Wisdom|The waltz was the only way a young couple could touch one another, and even through gloves I could feel the heat of your grandfather's touch,'she'd tell Luc, with a wicked glimmer in her eye.
Suzanne Palmieri, The Witch of Little Italy|The truth is, time marches on and you have two choices: You move forward, come what may, and you experience all the sour and sweet things that fly at you from around corners, or you sit still. Don't sit still.
Latika Teotia|God always answers our prayers; if there is a delay, it is because He has something better in mind for us. Don’t give up- we commit the mistake of giving up too soon thinking that God has forgotten us little realizing that He never forsakes His children. If you feel your prayers have not been answered, then keep praying, increase the intensity of your prayers till He gives you what you want.
Dada Bhagwan|The mind and the chit are discharging and the world has believed them to be ‘charge’. That is why they attempt to still the mind and the chit, but that is not possible.
Robert G. Ingersoll, Some Mistakes of Moses|Let us account for all we see by the facts we know. If there are things for which we cannot account, let us wait for light. To account for anything by supernatural agencies is, in fact to say that we do not know. Theology is not what we know about God, but what we do not know about Nature.
Danika Stone, Edge of Wild|Let us cherish and love old age; for it is full of pleasure if one knows how to use it. Fruits are most welcome when almost over; youth is most charming at its close; the last drink delights the toper, the glass which souses him and puts the finishing touch on his drunkenness. Each pleasure reserves to the end the greatest delights which it contains. Life is most delightful when it is on the downward slope, but has not yet reached the abrupt decline.
Leon R. Kass|On cheap tippers:"Don't take it personally; they were deprived somehow as children.On low-fat entrees: "They sell well enough, but nobody's too happy after the meal.
David Cameron|I'm a classic Church of England member, but part of its strength is the fact that it doesn't ask us to sign up to too much of a canon... but I've always found the teachings of Jesus and the Bible quite useful as a sort of handy guide.
A.E.  Kirk, Demons at Deadnight|Ignorance is the mother of all the evil and all the misery we see. Let men have light, let them be pure and spiritually strong and educated, then alone will misery cease in the world, not before. We may convert every house in the country into a charity asylum, we may fill the land with hospitals, but the misery of man will still continue to exist until man's character changes.
William Law|Art has two constant, two unending concerns: It always meditates on death and thus always creates life. All great, genuine art resembles and continues the Revelation of St John.
Alaric Hutchinson, Living Peace|Our reality is colored by our vibration and belief systems. In other words, the experiences we have in the world with other people are dictated by the energy we bring with us wherever we go.
Lisa Randall|The Journey of Reconciliation was organized not only to devise techniques for eliminating Jim Crow in travel, but also as a training ground for similar peaceful projects against discrimination in such major areas as employment and in the armed services.
Julia Quinn, Romancing Mister Bridgerton|You're in a rather odd mood today."I'm soaking wet, Eloise."No need to snap at me about it, I didn't force you to walk across town in the rain."It wasn't raining when I left,". There was something about a sibling that brought out the eight-year-old in a body.I'm sure the sky was gray," Clearly, she had a bit of the eight-year-old in her as well.
Susanne Winnacker, The Other Life|You can pray and fight at the same time, Corporal. Especially if you learn how before things get rough. It’s important to have a philosophy of life . . . and of death.
Rich Mullins|I had a professor one time... He said, 'Class, you will forget almost everything I will teach you in here, so please remember this: that God spoke to Balaam through his ass, and He has been speaking through asses ever since. So, if God should choose to speak through you, you need not think too highly of yourself. And, if on meeting someone, right away you recognize what they are, listen to them anyway'.
Steve Jobs|When I started Virgin from a basement in west London, there was no great plan or strategy. I didn't set out to build a business empire... For me, building a business is all about doing something to be proud of, bringing talented people together and creating something that's going to make a real difference to other people's lives.
Ayn Rand|Now you see, Dr. Stadler, you're speaking as if this book were addressing to a thinking audience. If it were, one would have to be concerned with such matters as accuracy, validity, logic and the prestige of science. But it isn't. It's addressed to the public. 
The Holy Bible|Proverbs 22:7 "The rich rule over the poor and the borrower is slave to the lender."Galatians 5:1 "do not let yourselves be burdened again by a yoke of slavery.
Richard L. Mabry, Fatal Trauma|If God doesn't use people who've failed, who's left for Him to use?
Ursula K. Le Guin, The Left Hand of Darkness|A teleporting cat! Is she yours?" Dr. Daniel McCleod. "Suki
Sun Yat-sen|In those parts of the world where learning and science has prevailed, miracles have ceased; but in those parts of it as are barbarous and ignorant, miracles are still in vogue.
Chuck Klosterman, Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto|It appears that countless women born between the years of 1965 and 1978 are in love with John Cusack. I cannot fathom how he isn't the number-one box office star in America, because every straight girl I know would seel her soul to share a milkshake with that motherfucker.
Anne Rice, The Vampire Lestat|As the Roman Empire came to its close, all the old gods of the pagan world were seen as demons by the Christians who rose. It was useless to tell them as the centuries passed that their Christ was but another God of the Wood, dying and rising, as Dionysus or Osiris had done before him, and that the Virgin Mary was in fact the Good Mother again enshrined. Theirs was a new age of belief and conviction, and in it we became devils, detached from what they believed, as old knowledge was forgotten or misunderstood.
Jan Jansen|Be grateful for each moment, for we know not which will be our last.
Peter Ackroyd, The Last Testament of Oscar Wilde|Some drink to forget, I drink to remember. I drink in order to understand what I mean and to discover what I know. Under its benign influence all the stories and dramas which properly belong to the sphere of art are announced by me in conversation.
Carla VanKoughnett|Beneath the people we think we are, there are funnier, happier, livelier people that we keep ignoring.
Gregory Maguire, Wicked: The Life and Times of the Wicked Witch of the West|I like the sound of words, but I don't ever really expect my slow, slanted impression of the world to change by what I read.
Michael Anderson|Whatever you want to be in life, you're training for it right now.
CrimethInc., Contradictionary|Victory will not go to those who can inflict the most suffering, but to those who can survive the most.
Mohammad Zayer|Books appear to be frail and disposable, but they are sacred. You can burn the paper, but the stories live on. In the same way, a poor man or woman is not a burden on society, they are those who survive despite the odds—and when they don’t, they still represent those who tried.
Loren Weisman|How is it that there are so many minds that are incapable of understanding mathematics? ... the skeleton of our understanding, ... and actually they are the majority. ... We have here a problem that is not easy of solution, but yet must engage the attention of all who wish to devote themselves to education.
Lailah Gifty Akita|If you can act right, you are richer than you think.
Ludwig Wittgenstein|Men will confess to treason, murder, arson, false teeth, or a wig. How many of them will own up to a lack of humor?
Alexandre Dumas|How he loved and yetwished to leave you: always both, at once.
Teri Garr|The attitude is very important. Because, your behavior radiates how you feel.
Dashama Konah Gordon, Journey to Joyful: Transform Your Life with Pranashama Yoga|We will attract potential partners who reflect back to us what we need to heal, balance and strengthen in ourselves- until we become whole. At that point, we can attract our twin flame or soul mate and enjoy a peaceful co- creative partnership that benefits all of mankind.
Marcus Tullius Cicero|Two qualities are indispensable: first, an intellect that, even in the darkest hour, retains some glimmerings of the inner light which leads to truth; and second, the courage to follow this faint light wherever it may lead.
Jonathan Bailey|As you begin to Awaken.. You discover yourself sitting in nature.. flowing like the river.. Trying to understand the purpose.. then realizing "Nature is Happening, that is its purpose".. You are just like the river flowing through nature.. Your purpose is to be like nature. Start Now.. in the precious moments.. for its the only time that exists.
