Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
Ayn Rand, Atlas Shrugged|He thought of all the living species that train their young in the art of survival, the cats who teach their kittens to hunt, the birds who spend such strident effort on teaching their fledglings to fly – yet man, whose tool of survival is the mind, does not merely fail to teach a child to think, but devotes the child’s education to the purpose of destroying his brain, of convincing him that thought is futile and evil, before he has started to think.From the first catch-phrases flung at a child to the last, it is like a series of shocks to freeze his motor, to undercut the power of his consciousness. “Don’t ask so many questions, children should be seen and not heard!” – “Who are you to think? It’s so, because I say so!” – “Don’t argue, obey!” – “Don’t try to understand, believe!” – “Don’t struggle, compromise!” – “Your heart is more important than your mind!” – “Who are you to know? Your parents know best!” – “Who are you to know? The bureaucrats know best!” – “Who are you to object? All values are relative!” – “Who are you to want to escape a thug’s bullet? That’s only a personal prejudice!”Men would shudder, he thought, if they saw a mother bird plucking the feathers from the wings of her young, then pushing him out of the nest to struggle for survival – yet that was what they did to their children.
Dan Pearce, Single Dad Laughing|I have known a lot of people in my life, and I can tell you this… Some of the ones who understood love better than anyone else were those who the rest of the world had long before measured as lost or gone. Some of the people who were able to look at the dirtiest, the poorest, the gays, the straights, the drug users, those in recovery, the basest of sinners, and those who were just… plain… different.They were able to look at them all and only see strength. Beauty. Potential. Hope.And if we boil it down, isn’t that what love actually is?
Roberto Llamas|Those million mistakes you did may not make you cry, but the ones you dint try might make you to.
Erin Kellison, Tempted by Fire|Why do you even have jewelry?" she asked. "You don't wear any."	"It seems I acquired it for you.
Haruki Murakami, Kafka on the Shore|I’m free, I think. I shut my eyes and think hard and deep about how free I am, but I can’t really understand what it means. All I know is I’m totally alone. All alone in an unfamiliar place, like some solitary explorer who’s lost his compass and his map. Is this what it means to be free?
Ethan Canin|Nan Gorman was born in Memphis, Tenn., on St. Patrick's Day. She moved to Hazard in 1929 when her father, James Hagan, a recent medical school graduate and aspiring surgeon, went to work there.
A.E. Via|So are you going to tell me why Ronowski pulled you into the break room when we got back today?” God asked watching Day closely.Day shook his head at him, smiling wickedly. “It was about sex.”“No fucking way. He came to you about sex?” God said, not hiding his shock.“Who else is he going to ask…his priest?” Day said and quickly dodged the piece of garlic bread God threw at his head.“Do I want to know?” God said.“It wasn’t too bad. He wanted to know the best way to pleasure Johnson.” Day laughed when God balled up his face and made a gagging sound.“There intimacy has been pretty one-sided from what I could understand. Ro was still pretty shy about telling me stuff, so I was mostly guessing.” Day wiped his mouth with his napkin before continuing. “Being the stud that I am…I gave the kid a few pointers.”“Stud, huh?” God smiled.“Yeah. I don’t mind taking the little tike under my homosexual wing and showing him how to fly.” Day grinned.“You’re twisted. And isn’t Ro like the same age as you,” God said.Day blew an exasperated breath. “Regardless of age, Cash. I have more experience. Way more. Way, way, way more experience with fucking men than anyone I—”“I fucking got it, Leo.” God scowled at him.Day laughed hysterically. “I told him all about how I make you scream my name every night.” Day chuckled and bolted up from his chair when God took off after him. Day ran back into the kitchen, jumping and gliding across the kitchen island on his hip and racing into the den. God was hot on his heels.“I’ll catch you, you quick little bastard. And when I do, I’m going to show you just how loud I can make you scream,” God said in his sexy rough-hewn voice.“Oh fuck.”Day was laughing so hard he could barely just keep out of God’s grip. He dodged him in the living room, leaping over the coffee table heading fast toward the stairs when he was caught around his waist with a strong arm and dragged back down the two steps he’d cleared.
Dorianne Laux, The Poet's Companion: A Guide To The Pleasures Of Writing Poetry|Good writing works from a simple premise: your experience is not yours alone, but in some sense a metaphor for everyone's.
Lindsey Vonn|The flame of anger, bright and brief, sharpens the barb of love.
Frank A. Clark|A child, like your stomach, doesn't need all you can afford to give it.
Derek B. Miller, Norwegian by Night|The morning felt like a mixing bowl just waiting for its ingredients; there was a sense of possibility to it, a promise of something more to come.
Ursula K. Le Guin, The Farthest Shore|For discipline is the channel in which our acts run strong and deep; where there is no direction, the deeds of men run shallow and wander and are wasted.
Richard Preston|I shall go and sit under a tree…. Which tree, Mma?... Oh, there are many trees in this life, she said. It does not matter which tree you choose, as long as you choose the right one.
Emma Thompson|Harley's eyes widened in horror, and a low moan of fear escaped his mouth. The back alley was filled with a vision from Hell.
Sonam Kapoor|I don't think most books can be justifiably translated on screen. The film versions can't convey the right emotion, fuel your imagination or allow you to visualise every line the way books do.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|We just have to believe and excise our faith: The Lord answered, 'If you had faith even as small as a mustard seed, you could say to thi mulberry tree, 'May you be uprooted and thrown into the sea,' and it would obey you!(Luke 17:6, NLT).
bell hooks|In a world where positive expressions of sexual longing connect us we will all be free to choose those sexual practices which affirm and nurture our growth. Those practices may range from choosing promiscuity or celibacy, from embracing one specific sexual identity and preference or choosing a roaming uncharted desire that is kindled only by interaction and engagement with specific individuals with whom we feel the spark of erotic recognition no matter their sex, race, class, or even their sexual preference. Radical feminist dialogues about sexuality must surface so that the movement towards sexual freedom can begin again.
OhMJ|All she knew was that she must be in love with someone, or she wouldn't feel so miserable.
Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage|And I have wondered often, was I master in my soul, or did I become the slave of my own blade?
Ricky Lee, Para Kay B|Me quota ang pag-ibig. Sa bawat limang umiibig, isa lang ang magiging maligaya. Ang iba, iibig sa di sila iniibig. Iibig nang di natututo. O iibig sa wala. O di iibig kailanman.
L M Bryski, Book of Birds|Words whipped around me, faster than I could catch 'em.
Lisi Harrison, Monster High|I dunno." She sat on the bench and hugged the robe like a pillow. "I still think that Brett guy is cute.""Good luck getting him away from Bekka." Cleo gathered her silky black hair into a high pony and pink-dabbed Smith's Rosebud Salve on her lips. "She's got more grip than Crazy Glue.""More cling than Saran Wrap," Lala added."More hold than Final Net." Cleo giggled."More possession than The Exorcist," Lala managed."More clench than butt cheeks," Blue chimed in."More competition than American Idol," Frankie stuck out her chest and showed them her diva booty roll.The girls burst out laughing."Nice!" Blue lifted her purple gloved hand.Frankie slapped it without a single spark."I hate to be a downer..." Claudine shuffled back into the conversation wearing her slippers and robe. "But that girl will destroy you if she catches you with Brett.""I'm not worried," Frankie tossed her hair back. "I've seen all the teen movies, and the nice girl gets the boy in the end.
Henry Wadsworth Longfellow, Voices of the Night|Art is long, and Time is fleeting,And our hearts, though stout and brave,Still, like muffled drums, are beatingFuneral marches to the grave.
Suzanne Hayes, I'll Be Seeing You|If this is death, if we are dead or dying or even if we are living and just going to die, then what do we have to fear? What are we worried about? I think the knowledge of death is freeing. That pressure we feel, the weight of life and its impending conclusion, is imaginary. And the fact that we’re all in this together is unifying: there’s solidarity in mortality.
Tupac Shakur|There's gon' be some stuff you gon' seethat's gon' make it hard to smile in the future.But through whatever you see,through all the rain and the pain,you gotta keep your sense of humor.You gotta be able to smile through all this bullshit.Remember that.
Black Elk, Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux|Crazy Horse dreamed and went into the world where there is nothing but the spirits of all things. That is the real world that is behind this one, and everything we see here is something like a shadow from that one.
Maurice Pialat|Remember this moment when you first realized that the government can’t properly take care of people. In fact, that’s never been their responsibility. They’re supposed to keep our borders safe so that we can live as we wish. It’s our responsibility—yours and mine and Zenos’s and everyone else’s—to take care of each other.
Lydia Millet|There are consequences with age, so you have to evolve. I've loved becoming a filmmaker. But I would love to continue modeling, and there isn't really any job for me. It's being marginalized - that's the sad part.
Lisa Fantino|OrPhAnS,are the one who has no parents,But have many parents.But having ones parents is more valuable than the other having many parents(it doesn't depend on numbers,but the feelings matters).
Martha Beck|I'm not old-fashioned when it comes to dating, but there's something nice about a guy pulling out a girl's chair and opening the door for her, even if it's just in the beginning.
E. Stanley Jones, Abundant Living|To implant fear in the minds of children is a crime. If parents try to rule the child by fear, then fear rules the child.
Daniel Handler|I showed that privacy was an implicit right in Jewish law, probably going back to the second or third century, when it was elaborated on in a legal way.
Bangambiki Habyarimana, The Great Pearl of Wisdom|A business plan is like a war plan, when you competitors know about it, it's no longer of any use
M. Kirin|Yesterday is gone, and tomorrow is beyond our reach. The best time to write is now, in the present.
Emily Dickinson, The Complete Poems of Emily Dickinson|I stepped from Plank to PlankSo slow and cautiouslyThe Stars about my Head I felt,About my Feet the Sea.I knew not but the nextWould be my final inch —This gave me that precarious GaitSome call Experience.
Leigh Bristol, Amber Skies|Then I wondered if everybody has that person that haunts them, the one that got away.
G.K. Chesterton, The Everlasting Man|Books that teach us to dance: There are writers who, by portraying the impossible as possible, and by speaking of morality and genius as if both were high-spirited freedom, as if man were rising up on tiptoe and simply had to dance out of inner pleasure. 
L.M. Montgomery, Emily's Quest|Because it wasn't merely that the trees were speaking to them. It was that the trees themselves were sentient beings, capable of watching their movements. Was it only the trees in this strange wood, or did every tree observe their movements? Had they always been trying to speak to them? There was no way of knowing, either, if the trees were good of bad, if they lived or hatred humans, if they had principles or compassion. They were like aliens, Gansey thought. Aliens that we have treated very badly for a very long time.
Joyce L. Villeneuve, Finding Forgiveness in God's Word: A journey of hope and redemption|A sinner’s humanity will cause him to fall from grace again and again, but his human pride, ego, or feeling of unworthiness should not prevent him from seeking God’s forgiveness again and again.
Debasish Mridha|To fly deep into the sky, you have to expand your wings by learning new things.
Ayn Rand, We the Living|He was an embittered atheist (the sort of atheist who does not so much disbelieve in God as personally dislike Him), and took a sort of pleasure in thinking that human affairs would never improve.
Masha Hamilton|Writing is for men who can think and feel, not mindless sensation seekers out of nightclubs and bars. But these are bad times. We are condemned to work with upstarts, clowns who no doubt got their training in a circus and then turned to journalism as the appropriate place to display their tricks.
Isa Quintin, #ladyKiller|(…) Esos silencios de complicidad crean lazos, conexiones tan fuertes que ni las palabras podrían. Y en realidad no quería lazos con nadie, nada, él solamente era el hijo de mis vecinos, los amigos de mis padres, amigo de mi hermano…
Bradley B. Dalina|Air, Food, Water, Shelter, Love and Godis what we all need to live.If one more thing is missing, it's being wise.WISE enough to consume them wisely.
Benson Bruno, A Story That Talks about Talking Is Like Chatter to Chattering Teeth, and Every Set of Dentures Can Attest to the Fact That No..|A Chinaman of the T'ang Dynasty—and, by which definition, a philosopher—dreamed he was a butterfly, and from that moment he was never quite sure that he was not a butterfly dreaming it was a Chinese philosopher. Envy him; in his two-fold security.
H.J. Stephens, When There's No Tomorrow|I run to the high mountainsI pour my heart out to the skiesI sing of the summer songWhile the sky above dance in the yellow light.The cool breeze fools the sun aboveTakes a run, wins the mighty fight.Your light then comes to me with warmth,A view my heart wants.Love to me is the song you write.The tricks you play with the endless skyAnd with the icy wind you find a disguise.You burn me like sun that burns up In the blue abyss.With the ink of my emotionsYou write a song of Fire and Ice.
Machado de Assis, Dom Casmurro|If only they could stay young & beautifull like most of them desire, then we would probably stay young too
A.B. Shepherd, The Beacon|Victory attained by violence is tantamount to a defeat, for it is momentary.
Andy Serkis|My dad was working abroad, in Iraq, and he was a doctor. We used to go and visit him, in Baghdad, off and on. For the first ten years of my life, we used to go backwards and forwards to Baghdad, so that was quite amazing. I spent a lot of time traveling around the Middle East.
Matshona Dhliwayo|The greatest gift you can give to someone is your heart; because when you give your heart, you are giving your most prized possession.
Neil Gaiman|Fiction gives us empathy: it puts us inside the minds of other people, gives us the gifts of seeing the world through their eyes. Fiction is a lie that tells us true things, over and over.
Lily Morton, Rule Breaker|He’s adorably high-handed where you’re concerned, isn’t he?”My eyes slide closed. “With anyone.” “No,” he says thoughtfully. “Only you. He really can’t be bothered with anyone else, unless they’re connected to you. You’re all he sees.
Dean Koontz|Black seamen - or "Black Jacks" as African sailors were known - enjoyed a refreshing world of liberty and equality. Even if they were generally regulated to jobs such as cooks, servants, and muscians and endured thier fellow seamen's racism, they were still freemen in the Royal Navy. One famous black sailor wrote, "I liked this little ship very much. I now became the captian's steward, in which I was very happy; for I was extremely well treated by all on board, and I had the leisure to improve myself in reading and writing.
Sarah A. Chrisman, This Victorian Life: Modern Adventures in Nineteenth-Century Culture, Cooking, Fashion, and Technology|The people we find truly anathema are the ones who reduce the past to caricature and distortit to fit their own bigoted stereotypes. We’ve gone to events that claimed to be historic fashionshows but turned out to be gaudy polyester parades with no shadow of reality behind them. Aswe heard our ancestors mocked and bigoted stereotypes presented as facts, we felt like we hadgone to an event advertised as an NAACP convention only to discover it was actually a minstrelshow featuring actors in blackface. Some so-called “living history” events really are that bigoted.When we object to history being degraded this way, the guilty parties shout that they are “justhaving fun.” What they are really doing is attacking a past that cannot defend itself. Perhapsthey are having fun, but it is the sort of fun a schoolyard brute has at the expense of a child whogoes home bruised and weeping. It’s time someone stood up for the past.I have always hated bullies. The instinct to attack difference can be seen in every socialspecies, but if humans truly desire to rise above barbarism, then we must cease acting like beasts.The human race may have been born in mud and ignorance, but we are blessed with mindssufficiently powerful to shape our behavior. Personal choices form the lives of individuals; thesum of all interactions determine the nature of societies.At present, it is politically fashionable in America to tolerate limited diversity based aroundrace, religion, and sexual orientation, yet following a trend does not equate with being trulyopen-minded. There are people who proudly proclaim they support women’s rights, yet have anappallingly limited definition of what those rights entail. (Currently, fashionable privileges arevoting, working outside the home, and easy divorce; some people would be dumbfounded at theidea that creating beautiful things, working inside the home, and marriage are equally desirablerights for many women.) In the eighteenth century, Voltaire declared, “I disagree with what yousay but I will fight to the death for your right to say it.”3 Many modern Americans seem to haveperverted this to, “I will fight to the death for your right to agree with what I say.”When we stand up for history, we are in our way standing up for all true diversity. When wequestion stereotypes and fight ignorance about the past, we force people to question ignorance ingeneral.
Adi Shankaracarya|Like the appearance of silver in mother of pearl, the world seems real until the Self, the underlying reality, is realized.
Denis Johnson|We love the things that destroy us, because in that destruction we truly feel alive.
Janet Fitch, White Oleander|...you fall in love in three stages: lust, attraction and attachment.
Winston S. Churchill|Therefore, let there be beauty and strength, power and compassion, honor and humility, mirth and reverence within you.
Zach Galifianakis|Indulge not thyself in the passion of anger; it is whetting a sword to wound thine own breast, or murder thy friend.
Homer, The Iliad|And his good wife will tear her cheeks in grief, his sons are orphans and he, soaking the soil red with his own blood, he rots away himself—more birds than women flocking round his body!
Chris Colfer, Stranger Than Fanfiction|You need to claim the driver's seat," Cash said. "Never take a backseat in your own life! You gotta take that bitch by the steering wheel with all your might - even if the road is bumpy, even if there's blood under your fingernails, even if you loose passengers along the way. Only you can steer your life in the direction that's best for you.
Johnathan Cainer|Before big bridges, deep tunnels and the advent of health and safety regulations, there were many ways to cross rivers. They would use rowing boats, rickety rafts or in the absence of a vessel, swim or wade. Everyone knew what a stepping-stone was. They all understood that it was not something that you would want to stand on for any length of time. It was a means to an end, an important point and a route from A to B.
Dean Ornish|I never, ever thought I would be able to grow a beard like I have now. I think it's gonna be here for a little minute. Fear the beard, hopefully.
Italo Calvino, The Nonexistent Knight & The Cloven Viscount|It was the hour in which objects lose the consistency of shadow that accompanies them during the night and gradually reacquire colors, but seem to cross meanwhile an uncertain limbo, faintly touched, just breathed on by light; the hour in which one is least certain of the world's existence.
Lionel Suggs|When God grabs you by the scruff of the neck then although theoretically you have a freedom to say 'no', in another sense, actually, you can't say no because it's like Jeremiah. 'God, you have cheated me. You called me to be a prophet against the people that I love, and all that I proclaim is words of doom and judgement.' And yet if I say "I will shut up", I can't.
Leigh Bardugo, Shadow and Bone|There is something more powerful than any army. Something strong enough to topple kings, and even Darklings. Do you know what that thing is?”I shook my head, inching away from him.“Faith,” he breathed, his black eyes wild. “Faith.
Jerome K. Jerome, Three Men in a Boat|I knew a young fellow once, who was studying to play the bagpipes, and you would be surprised at the amount of opposition he had to contend with. Why, not even from the members of his own family did he receive what you could call active encouragement. His father was dead against the business from the beginning, and spoke quite unfeelingly on the subject.My friend used to get up early in the morning to practise, but he had to give that plan up, because of his sister. She was somewhat religiously inclined, and she said it seemed such an awful thing to begin the day like that.So he sat up at night instead, and played after the family had gone to bed, but that did not do, as it got the house such a bad name. People, going home late, would stop outside to listen, and then put it about all over the town, the next morning, that a fearful murder had been committed at Mr. Jefferson's the night before; and would describe how they had heard the victim's shrieks and the brutal oaths and curses of the murderer, followed by the prayer for mercy, and the last dying gurgle of the corpse.So they let him practise in the day-time, in the back-kitchen with all the doors shut; but his more successful passages could generally be heard in the sitting-room, in spite of these precautions, and would affect his mother almost to tears.She said it put her in mind of her poor father (he had been swallowed by a shark, poor man, while bathing off the coast of New Guinea - where the connection came in, she could not explain).Then they knocked up a little place for him at the bottom of the garden, about quarter of a mile from the house, and made him take the machine down there when he wanted to work it; and sometimes a visitor would come to the house who knew nothing of the matter, and they would forget to tell him all about it, and caution him, and he would go out for a stroll round the garden and suddenly get within earshot of those bagpipes, without being prepared for it, or knowing what it was. If he were a man of strong mind, it only gave him fits; but a person of mere average intellect it usually sent mad.
George Bernard Shaw|Knowing that everything comes to an end is a gift of experience, a consolation gift for knowing that we ourselves are coming to an end. Before we get it we live in a continuous present, and imagine the future as more of that present. Happiness is endless happiness, innocent of its own sure passing. Pain is endless pain.
Rumi|I love you, and because I love you, I would sooner have you hate me for telling you the truth than adore me for telling you lies.
Victor J. Stenger|Selling eternal life is an unbeatable business, with no customers ever asking for their money back after the goods are not delivered.
Abhijit Naskar, The Art of Neuroscience in Everything|When we move toward rejected emotions and surround them with loving attention, they quickly break into manageable bits until they are gone.
Jennifer Aniston|I seldom think about my limitations, and they never make me sad. Perhaps there is just a touch of yearning at times; but it is vague, like a breeze among flowers.
Jess Walter|They (evangelicals)could enrich their faith (with C.S. Lewis) without diluting it, and engage secular culture in ways other than through reasoned argument. Lewis allowed his readers to grasp and benefit from the importance of images and stories for the life of faith, without losing sight of the robustly reasonable nature of the Christian gospel”.
Geoffrey Wood|An imagined pleasure is never really the pleasure, but an imagined pain, in a very real sense, is the pain, because so much of pain is the consciousness of it. It makes itself objective. Whereas to think about pleasure is to step outside of it; to think about a presently felt pain is to step inside it. And in a very real sense, we’ve already got them in Hell.
Marian Keyes, Watermelon|He's a waiter, not a Mafia stooge, so what's he going to do? Blac pepper them to death? Compliment them into a coma? Run them over with the dessert trolley?
Steve Allen|The horns of a rabbit do not inherently exist because they do not exist at all. The mere realization of their non-existence reveals that the horns of a rabbit do not inherently exist; therefore, the non-inherent existence of the horns of a rabbit is not an emptiness. An emptiness is not understood through realizing the mere non-existence of an object; it is known through comprehending in an existent object the absence of the quality of inherent or objective existence.
G.K. Chesterton|Some websites are completely optimized for simple conversion, and it’s easy to tell. The design centers on one clear call to action, a vivid lozenge labeled with a verb.
Nikolai Gogol, Taras Bulba|There's one thing you may be sure of, Pip," said Joe, after some rumination, "namely, that lies is lies. Howsever they come, they didn't ought to come, and they come from the father of lies, and work round to the same. Don't you tell no more of 'em, Pip. That ain't the way to get out of being common, old chap. And as to being common, I don't make it out at all clear. You are oncommon in some things. You're oncommon small. Likewise you're a oncommon scholar.""No, I am ignorant and backward, Joe.""Why, see what a letter you wrote last night! Wrote in print even! I've seen letters––Ah! and from gentlefolks!––that I'll swear weren't wrote in print," said Joe."I have learnt next to nothing, Joe. You think much of me. It's only that.""Well, Pip," said Joe, "be it so or be it son't, you must be a common scholar afore you can be a oncommon one, I should hope!
Haruki Murakami, Sputnik Sweetheart|Of course it hurt that we could never love each other in a physical way. We would have been far more happy if we had. But that was like the tides, the change of seasons--something immutable, an immovable destiny we could never alter. No matter how cleverly we might shelter it, our delicate friendship wasn't going to last forever. We were bound to reach a dead end. That was painfully clear.
Euginia Herlihy, The Experiences of Life & Prayers|Time Out To Cry ©All alone at the end of the dayThe time, just a little past tenEvening has come for a short stayIt’s time for her sorrow againThe smile on her face she’s been holdingSuddenly, she lets fallAnd the feelings begin unfoldingShe comes out of her personal wallAs the world settles down for the nightShe awakens herself from a dreamAnd the girl they all thought had her life going rightIs no longer the image she’d seemShe takes off the disguise she’s been wearingThen opens her heart to the truthBehind closed doors she’s not caringAbout life or love in her youthSo she sits by the mirror spilling tearsAnd cries by herself in the darkA whole day of acting like she has no fearsTakes a lot from an empty heartInside she’s lonely and sadBut acts like she's fine in the dayRevealing her misery, secretly wishing she hadA friend, or a promise to stayShe’s ashamed of the truth she’s been keepingLiving her hours in daylight a lieAnd this is the reason for in darkness she’s weepingTaking time out from each day to cryWritten by Shannen WrassCopyright © 1995 Shannen Wrass. All Rights Reserved
Tom Bissell, Magic Hours: Essays on Creators and Creation|Of that time, there is still much we do not know.
Michael R. French|What's real and what's not? People we meet in books--Holden Caulfield, Captain Ahab, Huckleberry Finn, Harry Potter, Bilbo and Gandalf and Frodo-- can become more memorable, and more important to us than people with birth certificates and drivers' licenses. Characters spawned in an author's imagination find a home inside us. They make our lives richer. They become our best friends. They never disappoint. And they never die.
Krishna Saagar|Greatness is achieved, not only by doing great things, but also,by making the small things we dogreat.
Scott Turow|GIS started on mainframe computers; we could get one map every five to 10 hours, and if we made a mistake, it could take longer. In the early '90s, when people started buying PCs, we migrated to desktop software.
Paullina Simons, The Summer Garden|If you demand perfection or nothing, you will always end up with nothing.
Albert Einstein|If I had known they were going to do this, I would have become a shoemaker.
Nisan Ahmado|The sky, drunk with spring and giddy with its fumes, thickened with clouds. Low clouds, drooping at the edges like felt sailed over the woods and rain leapt from them, warm, smelling of soil and sweat, and washing the last of the black armor-plating of ice from the earth.
Valerie Jarrett|Pharmaceuticals have become an increasingly important part of modern medicine, and our seniors shouldn't have to worry about whether they can afford the medicines they need to stay healthy and maintain their independence.
Katie McGarry, Breaking the Rules|He spins us both, wrapping us in his wings until I’m dazed and gig
Oliver Burkeman, The Antidote: Happiness for People Who Can't Stand Positive Thinking|And here lies the essential between Stoicism and the modern-day 'cult of optimism.' For the Stoics, the ideal state of mind was tranquility, not the excitable cheer that positive thinkers usually seem to mean when they use the word, 'happiness.' And tranquility was to be achieved not by strenuously chasing after enjoyable experiences, but by cultivating a kind of calm indifference towards one's circumstances.
John Updike, Olinger Stories|If I could control tomorrow's haze,The darkened shore wouldn't bother me,If I can't control the web we weave,My life will be lost in the fallen leaves...
John Tesh|Christ commands those who believe to be baptized. Pedobaptists adopt a system which tends to preclude the baptism of believers. They baptize the involuntary infant and deprive him of the privilege of ever professing his faith in the appointed way. If this system were universally adopted, it would banish believers' baptism out of the world.
Joyce Wycoff|Real love when it comes, it doesn't look like anything you'd expect.
Terry Pratchett, Guards! Guards!|And although the space they occupy isn’t like normalspace, nevertheless they are packed in tightly. Not a cubic inch there but is filled by a claw, a talon, a scale, the tip of atail, so the effect is like one of those trick drawings andyour eyeballs eventually realize that the space between eachdragon is, in fact, another dragon.
Roman Payne, The Wanderess|Ô, wine!, the truth-serum so potent that all those who wish to live happy lives should abstain from drinking it entirely!... except of course when they are alone.
Terry Spear, A Silver Wolf Christmas|She ran her hand over his cock and said, "This is the only thing I ever want to come between us."	His grin couldn't have stretched any further.
Joe McNally, The Moment It Clicks: Photography Secrets from One of the World's Top Shooters|But I've always been a sucker for externals alone: the shape, the shine, what the surface suggests to my palm. So mechanically disinclined it's verging on criminal, I never understood the beauty of an object's workings until Linny sat my reluctant self down one day and showed me her camera. Within fifteen minutes, I had fallen hard for the whole gadgety, eyelike nature of the thing: a tiny piece of glass slowing, bending, organizing light - light - into your grandmother, the Grand Canyon, the begonia on the windowsill, the film keeping the image like a secret. Grandmother, canyon, begonia tucked neatly into the sleek black box, like bugs in a jar. My mind boggled.
Cherise Sinclair, Dark Citadel|I’m a firm believer in equality at all times—”“At all times,” he repeated. “However, in the bedroom or in the club, I am a lot more equal than you.
Carrie Vaughn, Kitty Takes a Holiday|A fucked-up family's a fucked-up family, whether or not werewolves are involved.
Dalai Lama|If a patient is cold, if a patient is feverish, if a patient is faint, if he is sick after taking food, if he has a bed-sore, it is generally the fault not of the disease, but of the nursing.
Ted Cruz|Ken Lay, the disgraced former chairman of Enron, found a way to escape his legal problems: He died after being convicted of fraud and conspiracy charges.
Cassandra Clare, Clockwork Angel|While the Clave disapproves of trespassers, oddly they take an even darker view of beheading and skinning people. They're peculiar that way.
Kris Kidd, Down for Whatever|Why then do we wonder that heroin is everywhere? In our isolation, heroin thrives; that's its natural habitat. And our very search for painlessness led us to it. Heroin is, I believe, the final expression of values we have fostered for thirty-five years. It turns every addict into narcissistic, self-absorbed, solitary hyper-consumers. A life that finds opiates urns away from family and community and devotes itself entirely to self-gratification by buying and consuming one product - the drug that makes being alone not just all right, but preferable.
Charles Dickens, Bleak House|Character, simply stated, is doing what you say you’re going to do.
Sylvia Plath, The Collected Poems|I didn’t want any flowers, I only wantedTo lie with my hands turned up and be utterly empty.How free it is, you have no idea how free——The peacefulness is so big it dazes you,And it asks nothing, a name tag, a few trinkets.It is what the dead close on, finally; I imagine them Shutting their mouths on it, like a Communion tablet.
Justin Wetch, Bending The Universe|love make you happy, sad, cry, angry and addicted
Koren Zailckas, Smashed: Story of a Drunken Girlhood|During the first day, curious at having outsiders among them, a long stream of inmates came over and talked with me. Remarkably, according to what they told me, nearly every inmate in the prison didn't do it. Several thousand people had been locked up unjustly and, by an incredible coincidence, all in the same prison.On the other hand, they knew an awful lot about how to knife somebody.
Dimitris Mita|Poetry, Shakespeare and opera, are like mumps and should be caught when young. In the unhappy event that there is a postponement to mature years, the results may be devastating.
Karthikeyan V|One day is not enough to green our earth. Planting caring and love is also expecting our earth from us. Do it, It will heal not only the land but also your body and mind.
William Shakespeare|If one good deed in all my life I did, I do repent it from my very soul.
Jack McDevitt, Seeker|Since only a narrow range of the allowed values for, say, the fine structure constant will permit observers to exist in the Universe, we must find ourselves in the narrow range of possibilities which permit them, no matter how improbable they are. We must ask for the conditional probability of observing constants to take particular ranges, given that other features of the Universe, like its age, satisfy necessary conditions for life.
Paulo Coelho, The Alchemist|The secret of life, though, is to fall seven times and to get up eight times.
