Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
W.H. Auden|...hanging out does not make one an artist. A secondhand wardrobe does not make one an artist. Neither do a hair-trigger temper, melancholic nature, propensity for tears, hating your parents, nor even HIV - I hate to say it - none of these make one an artist. They can help, but just as being gay does not make one witty (you can suck a mile of cock, as my friend Sarah Thyre puts it, it still won't make you Oscar Wilde, believe me), the only thing that makes one an artist is making art. And that requires the precise opposite of hanging out; a deeply lonely and unglamorous task of tolerating oneself long enough to push something out.
Abhijit Naskar|Be sincere to nobody else, but yourself.
Debasish Mridha|When superstitions enter the world of imagination, then intelligence and science become fiction.
Frank R. Stockton|Most people are too silly to be truly interested in any thing. They herd together like cattle, and do not know what is good for them.
Andrew Ashling, The Invisible Chains - Part 1: Bonds of Hate|As soon as I saw that doll all splotched with mud, I saw myself, saw how soiled I was. Or thought I was. From that minute on, I felt liked I'd slipped through a hole in God's pocket. Just took a dive right into the dirt and was lost forever."Greg kissed Faron's hair. "You never hit the dirt. You just slid from one pocket to another. That's what I did too - I took a journey I was meant to take. I know that now."Absorbing this, Faron slanted a puzzled look at Greg. "Which pocket do you suppose I landed in?""This one. The one we're in together. The one I believe we'll stay in."Faron felt a thrill of optimism in his heart. "I never thought of it that way.""I never did either. Until today." Greg once again settled onto Faron's chest. His cheek moved noticeable into a smile. "God isn't small, honey. God has a lot of freakin' pockets. And we just found the one we belong in.
David Rakoff, Fraud: Essays|The whole concept of some stranger making his way down our chimney - not that we had one - suggested burglary more readily than generosity. Any Santa who tried it would have gotten a bullet in his holly, jolly keister.
Andrew Young|No nation ever had an army large enough to guarantee it against attack in time of peace, or ensure it of victory in time of war.
C. JoyBell C.|The only person who can pull me down is myself, and I'm not going to let myself pull me down anymore.
John Irving|A plague on eminence! I hardly dare cross the street anymore without a convoy, and I am stared at wherever I go like an idiot member of a royal family or an animal in a zoo; and zoo animals have been known to die from stares.
Jill Shalvis|His eyes meet mine, and for a moment everything seems like it'll be okay. More than okay, actually.
Plutarch, Plutarch's Lives, Vol 2|The more civilization progresses, the hollower it becomes and the easier to destroy it.
Rumi|I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the seashore, and diverting myself in now and then finding a smoother pebble or a prettier shell than ordinary, whilst the great ocean of truth lay all undiscovered before me.
Diane Setterfield|... [They] took it upon themselves to start the laborious process of cranking up life again, after death has stopped us all in its tracks.
Sherry A. Rogers, Detoxify or Die|We can, and must, develop dialogue and relatedness with our body because it’s talking to us all the time. And please remember, your body loves you. It does everything it can to keep you alive and functioning. You can feed it garbage, and it will take it and digest it for you. You can deprive it of sleep, but still it gets you up and running next morning. You can drink too much alcohol, and it will eliminate it from your system. It loves you unconditionally and does its best to allow you to live the life you came here for. The real issue in this relationship is not whether your body loves you, but whether you love your body. In any relationship, if one partner is loving, faithful and supportive, it’s easy for the other to take that person for granted. That’s what most of us do with our bodies. It is time for you to shift this, and working to understand your cravings is one of the best places to begin. Then you can build a mutually loving relationship with your own body.
Phyllis Theroux, The Journal Keeper: A Memoir|Children are born with imaginations in mint condition, able to leap tall buildings in a single bound. Then life corrects for grandiosity.
Joan Walsh Anglund|My arms are empty without you!My heart cries out, lonely in the darkness, but you are not here.No tears shall bring you back into my arms again.My mothers love was not strong enough to keep you,but it is strong enough to follow and find you, though all the mists of Eternity should try to come between!
Lady Sophia Fermor, Woman Not Inferior to Man: Or, a Short and Modest Vindication of the Natural Right of the Fair-Sex to a Perfect Equality of Power, Dignity and Esteem with the Men|The manner Women are bred in, (...) they are admitted to no share of the exercises which wou'd qualify them to attack or defend. They see themselves helplessly exposed to the outrages of a sex enslaved to the most brutal transports; and find themselves victims of contempt to wretches, whose prevalent strength is often exerted against them, with more fury and cruelty than beasts practise towards one another. Can our fear then be imputed to want of courage? Is it a defect? Or ought it not rather to be alledged as a proof of our sense: Since it wou'd be rather fool-hardiness than courage to withstand brutes, who want the sense to be overcome by reason, and whom we want vigour to repel by force of arms?
Inga Muscio, Cunt: A Declaration of Independence|..by honouring the demands of our bleeding, our blood gives us something in return. The crazed bitch from irritation hell recedes. In her place arises a side of ourselves with whom we may not-at first- be comfortable. She is a vulnerable, highly perceptive genius who can ponder a given issue and take her world by storm. When we're quiet and bleeding, we stumble upon solutions to dilemmas that've been bugging us all month. Inspiration hits and moments of epiphany rumba 'cross de tundra of our senses. In this mode of existence one does not feel antipathy towards a bodily ritual that so profoundly and reinforces our cuntpower. 
Farahad Zama, The Wedding Wallah|Not all marriages are made in heaven. Some, probably most, are constructed here on earth for any number of reason.
Jessica Verday, The Haunted|Young friends, whose string-and-tin-can phone extended from island to island, had to pay out more and more string, as if letting kites go higher and higher. They had more and more to tell each other, and less and less string. The boy asked the girl to say "I love you" into her can, giving her no further explanation. And she didn't ask for any, or say "That's silly," or "We're too young for love," or even suggest that she was saying "I love you" because he asked her to. Instead she said, "I love you." The words traveled through the long, long string. The boy covered his can with a lid, removed it from the string, and put her love for him on a shelf in his closet. Of course, he never could open the can, because then he would lose its contents. It was enough just to know it was there.
Jodie B. Cooper, Beloved LifeMate|She touched something deep in his soul. He didn't believe in love at first sight, but the thought of hurting her made his chest ache.
Virginia Alison|It is when I find my soul is lost and lustfully wandering betwixt heaven and hell, and in that moment of spiritual bliss when the chances of recovering from falling into the sexual abyss are zero...I find the odds extremely appealing....
Renee Cefalu|Every person, experience and circumstance are opportunities for spiritual growth and development. They are not coincidences… they are synchronicities.
Akansh Malik|I don’t want you involved in any of that.”“Because you care about me?”“Of course.” I narrowed my eyes. “I don’t want to worry about you getting hurt.”He stepped in and his other hand settled just above my hip. “Because you want to be with me?”“Yes.” That word was easy to speak.Rider smiled then and the right dimple appeared. “You want to be my girlfriend.”I opened my mouth and then I laughed. It sounded strange after the seriousness of our conversation, but the statement was sweet and silly.His cheeks pinked. “Not sure how I feel about that laugh,” he teased. “But I do love the sound of it.”My breath caught at the word. Love. Oh, gosh, was that what was happening here?“So do you? Want to be my girlfriend?” he asked, and then chuckled. “Probably should’ve brought this up before I kissed you, but I want...I want to see where this goes, Mallory. I feel like we got a second chance, you know? I’ve been thinking that since I sat down in speech and saw you sitting there. We have a second chance. And who gets second chances?”I searched his gaze, feeling a rightness deep in my chest. I had thought the same thing before, about second chances.“I don’t want to pass that up.
Cameron Diaz|I think one of my first jokes - in the black community, there's people who have jokes about skin tone. People like, 'You so black, you purple.' 'You so black, you gotta smile so we can see you at night.'
Scott Farris, Kennedy and Reagan: Why Their Legacies Endure|If you aren't preparing for life like a war, you'll end up living like a prisoner of war.
Ann Voskamp|It was a pretty sight, and a seasonable one, that met their eyes when they flung the door open. In the fore-court, lit by the dim rays of a horn lantern, some eight or ten little field-mice stood in a semicircle, red worsted comforters round their throats, their fore-paws thrust deep into their pockets, their feet jigging for warmth. With bright beady eyes they glanced shyly at each other, sniggering a little, sniffing and applying coat-sleeves a good deal. As the door opened, one of the elder ones that carried the lantern was just saying, "Now then, one, two, three!" and forthwith their shrill little voices uprose on the air, singing one of the old-time carols that their forefathers composed in fields that were fallow and held by frost, or when snow-bound in chimney corners, and handed down to be sung in the miry street to lamp-lit windows at Yule-time.
S.R. Crawford, From My Suffering: 25 Ways to Break the Chains of Anxiety, Depression & Stress|The truth is scary. We all think we want it, but once it’s given, it’s harder to swallow than we originally thought. But sometimes, when the pain is too much, we have to be honest with ourselves. Why are we unhappy? Why are we scared? Is it internal, or external? Then when we find the answer, we need to accept it (see chapter 1), and make the necessary changes to fix it.
Eleesha, The Soulful Pathway to Healing After Loss: Soulfully Inspiring You Whilst Mourning Loss and Working Through Grief|Become Empowered, not just in Mind and Body - but in Spirit, too.
Turcois Ominek|I'm guilty of giving people more chances than they deserve but when I'm done, I'm done.
Peter Kreeft, Jesus-Shock|Those who meet Jesus always experience either joy or its opposites, either foretastes of Heaven or foretastes of Hell. Not everyone who meets Jesus is pleased, and not everyone is happy, but everyone is shocked.
Eve Babitz|I come to work with a smile and I leave with a laugh, and I'm so grateful.
Elizabeth Gilbert, Eat, Pray, Love|What is it which makes a man and a woman know that they, of all other men and women in the world, belong to each other? Is it no more than chance and meeting? no more than being alive together in the world at the same time? Is it only a curve of the throat, a line of the chin, the way the eyes are set, a way of speaking? Or is it something deeper and stranger, something beyond meeting, something beyond chance and fortune? Are there others, in other times of the world, whom we should have loved, who would have loved us? Is there, perhaps, one soul among all others--among all who have lived, the endless generations, from world's end to world's end--who must love us or die? And whom we must love, in turn--whom we must seek all our lives long--headlong and homesick--until the end?
Rick Riordan, The Mark of Athena|Otis barreled towards them empty-handed, before apparently realizing that a) he was empty-handed and b) charging towards a large body of water to fight a son of Poseidon was maybe not a good idea.
Pamela Horn, Life As A Victorian Lady|In 1895 Lady Londonberry commented acidly on a bridegroom who had 'married the 10,000 a year as well as the lady.
Katie Couric, The Best Advice I Ever Got: Lessons from Extraordinary Lives|A boat is always safe in the harbor, but that's not what boats are built for.
Savi Sharma, Everyone Has A Story|And in the end, really, there's nothing much to say about a true war story, except maybe "Oh.
Jennifer Lane, Blocked|This song is for my Molly, who is the best fucking thing that´s ever happened to me. Also, for those suicidal idiots sending her fan mail asking her to run away with them, I will hunt you down and rip off you nuts.
Germaine Greer, The Female Eunuch|The problem of the survival of humanity is not a matter of ensuring the birth of future generations but of limiting it. The immediate danger to humanity is that of total annihilation within a generation or two, not the failure of mankind to breed. A woman seeking alternative modes of life is no longer morally bound to pay her debt to nature.
J.X. Burros|Sorry, pigtails, but subtlety isn't an option anymore.
サラ・J・マース|What do you suppose,' Aedion breathed, staring into the darkness, 'the people on other continents, across all those seas, think of us? Do you think they hate us or pity us for what we do to each other? Perhaps it's just as bad there. Perhaps it's worse. But to do what I have to, to get through it... I have to believe it's better. Somewhere, it's better than this.
Virginia Alison|We were decadent in our intimacy. Leaving no inch of skin untouched lest a moment of rapture slip through our grasp. Thrusting and plunging, in dazed euphoria, the exquisite cravings for those carnal delights ravaged our souls until shamelessly, gasping lust tainted air, we discovered insatiability...
AnnaSophia Robb|There's a line I have that our family was designed more for public than for private. But there are definitely some things that are only mine. I am someone who dreams at night, and you don't know what I'm dreaming.
Brandon Sanderson, The Hero of Ages|If you give up what you want most for what you think you should want more, you'll end up miserable.
Katherine Mansfield, Je ne parle pas français|Whenever I get gloomy with the state of the world, I think about the arrivals gate at Heathrow Airport. General opinion's starting to make out that we live in a world of hatred and greed, but I don't see that. It seems to me that love is everywhere. Often it's not particularly dignified or newsworthy, but it's always there - fathers and sons, mothers and daughters, husbands and wives, boyfriends, girlfriends, old friends. When the planes hit the Twin Towers, as far as I know none of the phone calls from the people on board were messages of hate or revenge - they were all messages of love. If you look for it, I've got a sneaky feeling you'll find that love actually is all around.
Siri Hustvedt, A Woman Looking at Men Looking at Women: Essays on Art, Sex, and the Mind|My purely practical advice: Don't get excited. Don't raise your voice. Bite back. Bite back hard, but never cry.
L.M. Fields|I am a creator, writing like the wind, I carry the weight of a future world in the barrel of a pen, etching my characters into the paper with life giving ink so my dreams and reality might finally meet.
Joyce Carol Oates|...we so resented that asshole up there talking talking talking taking up the entire assembly expecting us to believe there isn't a special creation of God, or of man, to which we didn't belong, here in the shabby south end of Hammond in the worst damn public school in the district, we didn't belong and never would. And what the hell? ---Such truths, FOXFIRE made softer.
Jane Austen, Pride and Prejudice|Before I go to sleep tonight; I will speak a nice prayer, I will let my worries leave my mind as silence fills the air. If I have a bed; to curl between the sheets, I am an inch more blessed; than the man, on the street. If I have a love to cuddle; in the comfort of my home, I am grateful, I still have their presence to tell them, I love them so. If I have healthy eyes, that I can choose to close; I am grateful for my sight, because some will never know. If I have a voice & glistening ears to listen; Than in all my glory, I am grateful for this livin' All that really matters; is what, most don't have the courage to see, Who you became; from the day of your birth, the dash and the final chapter that makes your story complete.
Robert M. Gates, Duty: Memoirs of a Secretary at War|But *why* do clean torture and democracy appear to go hand in hand? This is an important puzzle (though by no means the only one suggested by the data). My explanation for this pattern generally is this: Public monitoring leads institutions that favor painful coercion to use and combine clean torture techniques to evade detection, and, to the extent that public monitoring is not only greater in democracies, but that public monitoring of human rights is a core value in modern democracies, it is the case that where we find democracies torturing today we will also be more likely to find stealthy torture.
G.I. Gurdjieff|Self-awareness of one’s faults, far from being the first step to growth, is very often the second foot in the mud.
Stephen Richards, Cosmic Ordering Guide|To heal physically, one must heal the emotional aspect of the issue first or it will resurface in another way.
Jean Marc Gaspard Itard|Once the primary bonds which gave security to the individual are severed, once the individual faces the world outside of himself as a completely separate entity, two courses re-open to him since he has to overcome the unbearable state of powerlessness and aloneness. By one course he can progress to “positive freedom”; he can relate himself spontaneously to the world in love and work, in the genuine expression of his emotional, sensuous and intellectual capacities; he can thus become one again with man, nature, and himself, without giving up the independence and integrity of his individual self. The other course open to him is to fall back, to give up his freedom, and to try to overcome his aloneness by eliminating the gap that has arisen between his individual self and the world. This second course never reunites him with the world in the way he was related to it before he merged as an “individual,” for the fact of his separateness cannot be reversed; it is an escape from an unbearable situation which would make life impossible if it were prolonged. This course of escape, therefore, is characterized by its compulsive character, like every escape from threatening panic; it is also characterized by the more or less complete surrender of individuality and the integrity of the self. Thus it is not a solution which leads to happiness and positive freedom; it is, in principle, a solution which is to be found in all neurotic phenomena. It assuages an unbearable anxiety and makes life possible by avoiding panic; yet it does not solve the underlying problem and is paid for by a kind of life that often consists only of automatic or compulsive activities.
C.S. Lewis|To shrink back from all that can be called Nature into negative spirituality is as if we ran away from horses instead of learning to ride. There is in our present pilgrim condition plenty of room (more room than most of us like) for abstinence and renunciation and mortifying our natural desires. But behind all asceticism the thought should be, ‘Who will trust us with the true wealth if we cannot be trusted even with the wealth that perishes?’ Who will trust me with a spiritual body if I cannot control even an earthly body? These small and perishable bodies we now have were given to us as ponies are given to schoolboys. We must learn to manage: not that we may some day be free of horses altogether but that some day we may ride bare-back, confident and rejoicing, those greater mounts, those winged, shining and world- shaking horses which perhaps even now expect us with impatience, pawing and snorting in the King’s stables. Not that the gallop would be of any value unless it were a gallop with the King; but how else— since He has retained His own charger—should we accompany Him?
Santosh Kalwar|Please do not ever think I am without you or you are without me, I live with you all the time.
Mark Vonnegut, The Eden Express: A Memoir of Insanity|Pure, unadulterated, consistent love for God and pure, unadulterated, consistent love for others is the summation of all the law God has given us in both the Old and New Testaments. Of course, the problem is that we never obey these simple commands. We always love ourselves more than we love God or others. We are always erecting idols in our hearts and worshipping and serving them. We are always more focused on what we want and how we might get it than we are on loving Him and laying down our life for others. The law does show us the right way to live, but none of us obeys it. Not for one millisecond.Even though our children cannot and will not obey God's law, we need to teach it to them again and again. And when they tell us that they can't love God or others in this way, we are not to argue with them. We are to agree with them and tell them of their need for a Savior.
Charles Porterfield Krauth, Conservative Reformation & Its Theology|How often do we hear from the local diocesan people—the bishop, the communications director, the victim assistance coordinator, and others—that this abuse is not restricted to clergy, but, rather, it is a societal problem? It does occur outside in the public realm. When was the last time you heard of a sex offender not being held accountable for his actions once caught? The Church treated the abuse as a sin only and nothing more. Out in society, sex offenders are not moved to another community quietly. “But protest that priests are 'no worse' than other groups or than men in general is a dire indictment of the profession. It is surprising that this attitude is championed by the Church authorities. Although the extent of the problem will continue to be debated, sexual abuse by Catholic priests is a fact. The reason why priests, publicly dedicated to celibate service, abuse is a question that cries out for explanation. Sexual activity of any adult with a minor is a criminal offense. By virtue of the requirement of celibacy, sexual activity with anyone is proscribed for priests. These factors have been constant and well-known by all Church authorities” (Sipe 227−228).
Lailah Gifty Akita|Those who never trial, never fails.
David Jeremiah, What Are You Afraid Of?|We care about the dead. We try with our lives to honor theirs. That’s how we make our lives meaningful, and how we make their lives meaningful, too.
Wendy Higgins|If you two yentas are finished discussing Claire’s rabid who-ha, me and the boys would like to eat sometime this century.""You and 'the boys?' You just met them today. Does the Ya Ya Brotherhood already have a secret handshake and a password?" Liz joked.
Yann Martel, Beatrice and Virgil|Maybe instead of strings it's stories things are made of, an infinite number of tiny vibrating stories; once upon a time they all were part of one big giant superstory, except it got broken up into a jillion different pieces, that's why no story on its own makes any sense, and so what you have to do in a life is try and weave it back together, my story into your story, our stories into all the other people's we know, until you've got something that to God or whoever might look like a letter, or even a whole word....
Faisal Nawaz Maitlo|If you have knowledge, then use it for educating not for degrading.
Laura Busche, Lean Branding|Brand and product don’t compete. Brand is product, and everything else conforming to the unique story that consumers create when they think of you.
Israelmore Ayivor, Daily Drive 365|You care, you dare and you share; this is the unforgettable rule of every true believer and achiever.
Christy Reece, Rescue Me|He thoroughly intended to do some major grovelling. Olympic-style begging, if necessary.
Deanna Raybourn, Silent on the Moor|I stepped closer still. He closed his eyes again and covered my hand with his own. 'You smell of violets. You always smell of violets,' he said. 'You've no idea how many times I have walked these moors and smelled them and thought you were near. On and on I walked, following the scent of you, and you were never there. When I saw you in the hall tonight, I thought I had finally gone mad.
Miranda July, No One Belongs Here More Than You|This person has hoped and dreamed and now it is really happening and this person can hardly believe it. But believing is not an issue here, the time for faith and fantasy is over, it is really really happening. It involves stepping forward and bowing. Possibly there is some kneeling, such as when one is knighted. One is almost never knighted. But this person may kneel and receive a tap on each shoulder with a sword. Or, more likely, this person will be in a car or a store or under a vinyl canopy when it happens. Or online or on the phone. It could be an e-mail re: your knighthood. Or a long, laughing, rambling phone message in which every person this person has ever known is talking on a speakerphone and they are all saying, You have passed the test, it was all just a test, we were only kidding, real life is so much better than that.
Gillian Flynn, Sharp Objects|It was that summer, too, that I began the cutting, and was almost as devoted to it as to my newfound loveliness. I adored tending to myself, wiping a shallow red pool of my blood away with a damp washcloth to magically reveal, just above my naval: queasy. Applying alcohol with dabs of a cotton ball, wispy shreds sticking to the bloody lines of: perky. I had a dirty streak my senior year, which I later rectified. A few quick cuts and cunt becomes can't, cock turns into back, clit transforms to a very unlikely cat, the l and i turned into a teetering capital A. The last words I ever carved into myself, sixteen years after I started: vanish. Sometimes I can hear the words squabbling at each other across my body. Up on my shoulder, panty calling down to cherry on the inside of my right ankle. On the underside of a big toe, sew uttering muffled threats to baby, just under my left breast. I can quiet them down by thinking of vanish, always hushed and regal, lording over the other words from the safety of the nape of my neck. Also: At the center of my back, which was too difficult to reach, is a circle of perfect skin the size of a fist. Over the years I've made my own private jokes. You can really read me. Do you want me to spell it out for you? I've certainly given myself a life sentence. Funny, right? I can't stand to look myself without being completely covered. Someday I may visit a surgeon, see what can be done to smooth me, but now I couldn't bear the reaction. Instead I drink so I don't think too much about what I've done to my body and so I don't do any more. Yet most of the time that I'm awake, I want to cut. Not small words either. Equivocate. Inarticulate. Duplicitous. At my hospital back in Illinois they would not approve of this craving.For those who need a name, there's a gift basket of medical terms. All I know is that the cutting made me feel safe. It was proof. Thoughts and words, captured where I could see them and track them. The truth, stinging, on my skin, in a freakish shorthand. Tell me you're going to the doctor, and I'll want to cut worrisome on my arm. Say you've fallen in love and I buzz the outlines of tragic over my breast. I hadn't necessarily wanted to be cured. But I was out of places to write, slicing myself between my toes - bad, cry - like a junkie looking for one last vein. Vanish did it for me. I'd saved the neck, such a nice prime spot, for one final good cutting. Then I turned myself in.
Neil Gaiman, American Gods|Men invent new ideals because they dare not attempt old ideals. They look forward with enthusiasm, because they are afraid to look back.
Jean Klein, I Am|It is only through silent awareness that our physical and mental nature can change. This change is completely spontaneous. If we make an effort to change we do no more than shift our attention from one level, from one thing, to another. We remain in a vicious circle. This only transfers energy from one point to another. It still leaves us oscillating between suffering and pleasure, each leading inevitably back to the other. Only living stillness, stillness without someone trying to be still, is capable of undoing the conditioning our biologoical, emotional and psychological nature has undergone. There is no controller, no selector, no personality making choices. In choiceless living the situation is given the freedom to unfold. You do not grasp one aspect over another for there is nobody to grasp. When you understand something and live it without being stuck to the formulation, what you have understood dissolves in your openness. In this silence change takes place of its own accord, the problem is resolved and duality ends. You are left in your glory where no one has understood and nothing has been understood.
Jeffrey Tayler|Aging and the prospect of dying by no means enhance the attractiveness of fictitious comforts to come in paradise, or the veracity of malicious myths about hellfire and damnation. Fear and feeblemindedness cannot be credibly pressed into service to support fantastic claims about the cosmos and our ultimate destiny.Whether one would even consider turning to religion in advanced years has much to do with upbringing, which makes all the more important standing up to the presumptions of the religious in front of children. One would regard the Biblical events – a spontaneously igniting bush, a sea’s parting, human parthenogenesis, a resurrected prophet and so on – that supposedly heralded God’s intervention in our affairs as the stuff of fairy tales were it not for the credibility we unwittingly lend them by keeping quiet out of mistaken notions of propriety.
Denis Mackail, Greenery Street|My stepmother is not only powerful because the people fear her, she is powerful because she can make them love her when she needs them to. We think that if we choose to do only good, then we are only good. We can make people happy. We can offer tranquility or contentment or love, and that must be good. We do not see the falsehood becoming its own brand of cruelty.”The ship trembled and their speed increased. Luna blurred beneath them.“Once,” Winter continued, pushing the words out of her lungs. “Once I believed with all my heart that I was doing good. But I was wrong.
Amanda Lang, The Power Of Why: Simple Questions That Lead to Success|A SWOT analysis involves asking, "What are our strengths and weaknesses? What are our opportunities? What are the threats?
Nathaniel Hawthorne|Let your family, staff, and friends know that you're still the same person, despite all the publicity and notoriety that accompanies your position.
Steve Jobs|It's annoying when someone's in front of you driving ten miles an hour, and you're like, 'Okay, today,' and someone else is on the side of you, so you can't pass them, and when you finally do pass them and they are texting, the laser cannons just come out and disintegrate that car.
John Pontius|Stark truth, is seldom met with open arms.
Tara Kelly, The Foxglove Killings|Monday nights always brought in the worst kind of crazy. Tonight that crazy came in the form of Paul Cross, town hermit. One of them, anyway. This was the Pacific Northwest.
Yaqub khan|But there, in that remarkable room, surrounded by a laughing, rollicking, unseeing collection of London's brightest and wickedest, Pippa's knowledge of anatomy expanded.It seemed there was such a thing as a broken heart.
Flannery O'Connor, Wise Blood|Where you come from is gone, where you thought you were going to was never there, and where you are is no good unless you can get away from it. Where is there a place for you to be? No place... Nothing outside you can give you any place... In yourself right now is all the place you've got.
Chapman Cohen|In this moment, I am euphoric. Not because of any phony god's blessings. But because, I am enlightened by my intelligence.
Amy Rankin, Nobody Thought I Could Do It, But I Showed Them, and So Can You!|He is as good as anybody in this parish! He is very particular, too, about going to church-yes, he is!''I am afeard nobody ever saw him there. I never did, certainly.''The reason of that is,' she said eagerly, 'that he goes in privately by the old tower door, just when the service commences, and sits at the back of the gallery. He told me so.'This supreme instance of Troy's goodness fell upon Gabriel's ears like the thirteenth stroke of a crazy clock. It was not only received with utter incredulity as regarded itself, but threw doubt on all the assurances that had preceded it.
Joel Osteen|You have good days, you have bad days. But the main thing is to grow mentally.
Arianna Huffington|We need to accept that we won’t always make the right decisions, that we’ll screw up royally sometimes–understanding that failure is not the opposite of success, it’s part of success.
Dharmalingam Raju|Perhaps, I am yet to be written. I am yet to be described in those poetic gestures lovers use to describe their soulmate.
Z.Z. Packer, Drinking Coffee Elsewhere|She did not want to say it, because it made no practical sense, but in the end she went to Japan for the delicate sake cups, resting in her hand like a blossom; she went to Japan for loveliness.
A.B. Whelan, Valley of Darkness Part 1 & Part 2|I never sleep. Like the dolphin and the spiny anteater, I don't experience REM. Unlike the dreamless mammals, I'm a construct. I am a living program inside a vast network of electronic impulses known as the LINK. In that datastream I've uncovered the meaning of another kind of dreaming--that of a fond hope or aspiration, a yearning, a desire, or a passion. This much I have. When I dream, I dream of Mecca.
Alexis M. Smith, Glaciers|Reading, therefore, is a co-production between writer and reader. The simplicity of this tool is 	astounding. So little, yet out of it whole worlds, eras, characters, continents, people never encountered 	before, people you wouldn’t care to sit next to in a 	train, people that don’t exist, places you’ve never visited, enigmatic fates, all come to life in the mind, 	painted into existence by the reader’s creative powers. In this way the creativity of the writer calls 	up the creativity of the reader. Reading is never passive.
Leah Price, Unpacking My Library: Writers and Their Books|God, don't they teach you how to spell these days?""No," I answer. "They teach us to use spell-check.
Edwidge Danticat, Krik? Krak!|You could say, in a way, that I'm not actually a writer, though perhaps I might be called a recorder? ... I just happen to be one of those holding the pen, that's all.
Bertrand Russell|Age is not all decay; it is the ripening, the swelling, of the fresh life within, that withers and bursts the husk.
Jacques Prevert|In the Lamborghini I have to avoid certain roads because of pot holes, and there's nowhere to put my drink, no cup holder. And I'm not going to lie, it looks pretentious. I used to think it was cool to, like, drive it to dinner. Now? Like I really need to be looked at any more.
Henry Ford|Intuition is the key to everything, in painting, filmmaking, business - everything. I think you could have an intellectual ability, but if you can sharpen your intuition, which they say is emotion and intellect joining together, then a knowingness occurs.
Val Uchendu|A closed fist cannot give. How can one give when the fist is closed? Yet, most people approach relationships with a closed heart. How can one give love when the heart is closed?
