Darnell Dockett|My fans are definitely my shareholders, and I'm extremely thankful for them.
R.D. Laing, The Politics of Experience/The Bird of Paradise|There are those who fear the sunset, worried they will never see light again. There are those who ignore the sunrise, squandering dawn, believing they will never run out of daylight. And then there are those who have learned to live in the sun's warmth, gauging time by its positions, thankful at night that the day happened. Be aware of time. Use it wisely. Be thankful for the light allotted.
Dan  Harmon|I have to live with my mistakes, but I don’t have to regret them. I regret my actions but I can’t regret the consequences. We all make our own paths in life. Everyone we meet, everything we do, it changes us. It makes us who we are. And, if we’re lucky, we’re given the chance to make things right again.
Kilroy J. Oldster, Dead Toad Scrolls|We can combat existential anguish – the unbearable lightness of our being – in a variety of ways. We can choose to work, play, destroy, or create. We can allow a variety of cultural factors or other people to define who we are, or we can create a self-definition. We decide what to monitor in the environment. We regulate how much attention we pay to nature, other people, or the self. We can watch and comment upon current cultural events and worldly happenings or withdraw and ignore the external world. We can drink alcohol, dabble with recreational drugs, play videogames, or watch television, films, and sporting events. We can travel, go on nature walks, camp, fish, and hunt, climb mountains, or take whitewater-rafting trips. We can build, paint, sing, create music, write poetry, or read and write books. We can cook, barbeque, eat fine cuisine at restaurants or go on fasts. We can attend church services, worship and pray, or chose to embrace agnosticism or atheism. We can belong to charitable organizations or political parties. We can actively or passively support or oppose social and ecological causes. We can share time with family, friends, co-workers, and acquaintances or live alone and eschew social intermixing.
Anne Rice, The Claiming of Sleeping Beauty|What is fear after all? It is indecision. You seek some way to resist, escape. There is none.
Richelle E. Goodrich, Making Wishes|Mothers were meant to love us unconditionally, to understand our moments of stupidity, to reprimand us for lame excuses while yet acknowledging our point of view, to weep over our pain and failures as well as cry at our joy and successes, and to cheer us on despite countless start-overs. Heaven knows no one else will.
Marcel Proust, Albertine disparue|I was not one man only but the steady advance hour after hour of an army in close formation, in which there appeared, according to the moment, impassioned men, indifferent men, jealous men.
Tali Spencer, Thick as Thieves|We don’t escape our pasts, you know,” Madd said. He sounded defeated. “Never. We can never escape what we are.” “Maybe not. But I think we can escape what other people try to make of us. We can decide our fate for ourselves.
Ewan McGregor|If you're suddenly doing something you don't want to do for four years, just so you've got something to fall back on, by the time you come out you don't have that 16-year-old drive any more and you'll spend your life doing something you never wanted to do in the first place.
Tim Challies, Do More Better: A Practical Guide to Productivity|Christian productivity is unique. Most productivity gurus will encourage you to be as selfish as you need to be, to get rid of anything that doesn’t interest or excite you. But as a Christian you know you can do things that do not perfectly fit your mission but still do them out of love for God and with a desire to glorify him.
Ryū Murakami, Audition|Offstage, I couldn't put things into words, and that was the one thing I'd always been able to rely on. Putting my feelings into words and praying they wouldn't be able to get out again.
Diane Kruger|I almost failed out of high school. I nearly gave in to the deep anger and resentment harbored by everyone around me... Whatever talents I have, I almost squandered until a handful of loving people rescued me.
Maya Angelou|Stolen bodies working stolen land. It was an engine that did not stop, its hungry boiler fed with blood.
Jean-Marie G. Le Clézio, The Book of Flights|And is usually true of a man of one idea, [Charles] became obsessed.
Manoj Arora, From the Rat Race to Financial Freedom|When it comes to compounding, don't trust your intuition - you have no idea how powerful it is.
Greg Rucka, Star Wars: Guardians of the Whills|One did not need to believe in the Force to know right from wrong. Many who held no faith in the Force acted righteously, and he had known more than one sentient who had acted selfishly, even cruelly, and used belief to justify doing so.
Paul R. Ehrlich|The Internet is not just one thing, it's a collection of things - of numerous communications networks that all speak the same digital language.
Mark Cuban|A lot of the time, you see all this ambition from these black actors, and it's just pouring off the screen. Because they don't often get a chance to work, and when they do, they don't usually get a chance to work with other black people.
Roshan Sharma|You can only carry the illusive personality in your mind until you realize the truth behind it, but the time you realize the truth, you just cannot hold the illusive self of yours, in the mind.
Elie Wiesel, Night|Allah causes the night and the day to succeed each other. Truly, in these things is indeed a lesson for those who have insight.
Ludwig von Mises, The Theory of Money and Credit|In the case of money, subjective use-value and subjective exchange-value coincide. Both are derived from objective exchange-value, for money has no utility other than that arising from the possibility of obtaining other economic goods in exchange for it.
Terry Spear, SEAL Wolf Hunting|She took his hand, and he smiled down at her. "No mating yet?"	"It depends on how...persuasive you could be."	"Hot damn, woman. I can be persuasive.
Mary Ellen Mark|I knew from the first moment I picked up a camera, on my first school assignment, what I wanted to do for the rest of my life. I was going to find a way to travel the world and tell the stories of the people I met through photographs.
Patrick Sweeney|It is so easy to forget the importance of emotional self-care. Especially when we have obvious symptoms of mental and physical illness. Emotions seem irrelevant, unrelated, invisible. But when we look at a giant oak tree, the seed that bore it is invisible too.
Fakeer Ishavardas|Well, let’s just hope it doesn’t come to that.” I started back down the alley. “Truthfully, it’s not you I’m so much worried about as your ass. It’s like the Eighth Wonder of the World or something. Be a shame to deprive future generations of Dreamers, don’t you think?” My stomach rumbled. “Come on, I’m starving.” A snort escaped him. “Nice to know you care.” I patted my belly and shrugged. “Yeah, well. A girl’s gotta have priorities.
Candis Terry, Something Sweeter|I have a lot of boo-boos, cowboy.""Maybe I should kiss them." He leaned forward, brushed his lips against her forehead, just above the stitches over her eyebrow.She held up her arm where there was an abrasion. "Hurts here too."He kissed the spot."And here." She pointed to her mouth.He kissed her with a pressure as light as the brush of a butterfly's wing.She thought of a hundred places on her body she wanted him to kiss. "I hurt all over.
Sian B. Claven, Ensnared|Amari swung around in her seat to look back and there was indeed a small girl sitting on the boundary wall. She didn’t seem to be looking at the car that had just passed but up ahead. Amari turned around to see what she was looking at and she saw it, up ahead, the farm house that she could only assume was their new home.
Ethan Black, The Broken Hearts Club|Whenever someone acts one way in public - goes overboard, if you know what i mean - it'll turn out they have an opposite side. The quietest person will have the worst temper. The happiest person will suffer the worst depressions. The best thing about a person is the worst thing.
Irl M. Davis, An Entrepreneur in Asia: A Personal Journey of Global Proportions|Never Underestimate. Just as in any other negotiation, watching before acting is as important as listening before speaking. It's doubly important in China, however, where customs are time-honored and breaches of protocol not so quickly forgiven.
Walter Dean Myers|Knowledge has always flowed upwards to bishops and kings, not down to serfs and slaves.
Amit K Ghosh|If you are not interested in yourself, then nobody is. But there is no reason to be self-obsessed.
R. Scott Bakker, The Darkness That Comes Before|Though all men be equally frail before the world, the differences between them are terrifying.
Courteney Cox|My father taught me that the only way you can make good at anything is to practice, and then practice some more.
Sarah Weeks, Honey|The answer is no," said Melody firmly. “Undeniably, indisputably, categorically no.
Phil Hester, The Darkness: Accursed, Volume 7|The darkness does not flow from my being to them, but out of their hearts and into my skin. I don't inspire your evil. I never did. You offer it to me, from the gravest crime to the smallest indifference.
Hilaire Belloc|We would go back and maybe not say that thing to our dad that we said, or maybe be a little nicer to someone who we cared about and had a relationship with when we were young. You know, they're subtle things, but we carry those with us forever. And I think that regret and time travel are intrinsically linked to me.
William Goldman, The Princess Bride|Princess. By S. Morgenstern. It's a kids' classic. Tell him I'll quiz him on it when I'm back next week and that he doesn't have to like it or anything, but if he doesn't, tell him I'll kill myself. Give him that message exactly please; I wouldn't want to apply any extra pressure or anything.
Michelangelo Buonarroti|But if it so happens ... a work ... under pain of otherwise becoming shameful or false, requires fantasy ... [and that] certain limbs or elements of a figure are altered by borrowing from other species, for example transforming into a dolphin the hinder end of a griffon or a stag ... these alterations will be excellent and the substitution, however unreal it may seem, deserves to be declared a fine invention in the genre of the monstrous.When a painter introduces into this kind of work of art chimerae and other imaginary beings in order to divert and entertain the senses and also to captivate the eyes of mortals who long to see unclassified and impossible things, he shows himself more respectful of reason than if he produced the usual figures of men or of animals.
Matshona Dhliwayo|If your thoughts are higher than your problems, you can fly above them.
Chuck Palahniuk, Choke|Ignorance is bliss, except when it hurts
Gouverneur Morris|Pain is pain, hurt is hurt, fear is fear, anger is anger, and it has no color.
Richie Norton|Another year older, but am I wiser? Wisdom comes from learning and changing for the better. Sometimes we just go through life living the same day over and over and never gaining true wisdom. Let that never be me.
Ali Smith, Girl Meets Boy|I wished that my own bones were unbound, I wished they were mingling, picked clean by fish, with the bones of another body, a body my bones and heart and soul had loved with unfathomable certainty for decades, and both of us down deep now, lost to everything but the fact of bare bones on a dark seabed.
Ninotchka Rosca, State of War|If they don’t respect you, respect yourself and leave that situation.
Gwenn Wright, The BlueStocking Girl|A glance would not be enough to tell you this was the daughter of Katherine Raquel Demure. Even a lingering gaze would not suffice. No. Only careful study of the original and a comparative inspection of her only child would even hint at a relation between the two. Viktor could see it and knew, beyond doubt, that Henrietta not only saw it but was also vexed by it on a daily basis.
Kiran Shaikh|No matter how dark it may feel, always remember, that somewhere beyond the darkest clouds the Sun is always shining.
Olivia Wilde|Of course I used to smile and laugh in 1976, but not when I was competing. Please show me somebody who laughs when they are concentrating; I always smiled.
Jacques Monod|If you begin feeling beaten, you will achieve nothing. If you fight, you will perhaps have a chance of achieving something.
Ademiju Ige|The Enlightened One, if he had meditated on it, would not necessarily have rejected a technical solution.
Paul Kalanithi|When it comes to power, God Himself is the power. God often uses foolish things to confound the wise. That is why people like me will ever be grateful to God. In terms of knowledge, education and name, I am nowhere - a neglected stone.
Veronica Roth, Divergent|That is death - shifting from "is" to "was.
Rebekah Nathan, My Freshman Year: What a Professor Learned by Becoming a Student|Sniff looked at them and noticed that they were much smaller than he was, so he felt kinder and said, condescendingly. "Hullo. Nice to see you.
Andreas Weber, The Biology of Wonder: Aliveness, Feeling and the Metamorphosis of Science|Feeling is never invisible; it takes shape and manifests as form everywhere in nature. Nature can, therefore, be viewed as feeling unfurled, a living reality in front of us and amidst us.
Israelmore Ayivor|The fittest person survives! The fighting man succeeds! He who Fights to Fit, will Survive to Succeed!
Nancy L. Kriseman, The Mindful Caregiver: Finding Ease in the Caregiving Journey|Many caregivers share that they often feel alone, isolated, and unappreciated. Mindfulness can offer renewed hope for finding support and value for your role as a caregiver…It is an approach that everyone can use. It can help slow you down some so you can make the best possible decisions for your care recipient. It also helps bring more balance and ease while navigating the caregiving journey.
Jodi Picoult, Between the Lines|This must be what an addict feels like, I think, trying to fight the pull of one last, quick read. My fingers itch toward the binding, and finally, with a sigh of regret, I just grab the book and open it, hungrily reading the story.
Yone Noguchi, The Story Of Yone Noguchi: Told By Himself; Illustrated By Yoshio Markino [ 1914 ]|I observed on most collected stones the imprints of innumerable plant fragments which were so different from those which are growing in the Lyonnais, in the nearby provinces, and even in the rest of France, that I felt like collecting plants in a new world... The number of these leaves, the way they separated easily, and the great variety of plants whose imprints I saw, appeared to me just as many volumes of botany representing in the same quarry the oldest library of the world.
James S.A. Corey, Abaddon's Gate|Civilized man longs for the illusion of barbarism. Either his culture fulfills this need by adopting its outer trappings, or he will be seduced by his first contact with a culture that does.
Alexandra Pierce, Expressive Movement: Posture And Action In Daily Life, Sports, And The Performing Arts|From a biology point of view, the purpose of humanity is to ensure his survival by expanding his domain into the stars.
Everance Caiser|Home at last. Why was I not feeling relief? I turn in m bed thinking of the last time that I had laid my head on that pillow. Sadness took over me almost instantly. A pillow soaked in tears, the feeling of someone tearing a part of my chest out, it replayed in my head as if it had happened yesterday. I coculdn't believe that that girl was me. I was so much stronger than that, how had I allowed myself to become so vulnerable? I never thought that I would be the girl who'd get her heart broken. I never thought that he'd be the one to break it. But I was, and I know he did. I know, because, no one will ever know how much I cried that night.
Marc Maron, Attempting Normal|People who have babies tell me I will know a love that is beyond anything I can imagine, and a joy that is indescribable. Love and joy? That sounds horrifying. I have no way of knowing whether I can handle either of those. I'm much better with need and fear. They are what ground me.
Ben Aaronovitch, Whispers Under Ground|At the end of the day let their be no regrets, only a desire to do more tomorrow than you did today.
Aimee Carter, Goddess Interrupted|What a blessing to love someone so much that you long for them at the core of your being. At the same time, when you are separated from that person, that longing is a torture I would not wish on anyone.
Bamigboye Olurotimi|Sometimes while waiting for God's promises to come to pass, we messed up things and go into so many troubles, but God’s mercy has never failed in bringing us out of them all.
Max Walker|These are people - I'm for immigration - legal immigration. I've been an immigration attorney. But people who have come to our country and violated laws, we should not be providing full health care services.
Rachel Cohn, Cupcake|I was coming down off the last painkiller left in my dresser drawer after Autumn tossed my stash. In that moment I was so groggy and happy I would have accepted a date with Oscar the Grouch - and planned to do some serious feeling up on the green furry beast too. Yeah, stooping to pharmaceutical-inspired sex fantasies about garbage can Sesame Street characters - that had to be the best Just Say No drug lecture a girl in a leg cast could ever receive to make her go cold turkey off the meds.
Roxanne Snopek, Finding Home|I put my hand on his arm. "You know, Drew was exaggerating. I'm a nice person. Most of the time."Jake raised an eyebrow, the hint of a smile on his lips. "So, you didn't really slap a guy in the middle of someone's wedding?"I bit my lip. "Technically, I was at the reception, and I know it sounds bad out of context, but I swear he deserved it."Jake looked down at me and I noticed again how blue his eyes were. My gaze moved to his lips.Mayday, mayday, mayday.
Sage Steadman, Ann, Not Annie|I think it would be best if, when you’re having suicidal thoughts of stabbing yourself, that you try to think of rainbows instead.”“Rainbows?” Ann said hugging a pillow.“Yeah,” Lisa said, standing back to look at her wall art. “Ya know—happy, bright, refreshing, the calm after the storm, God’s gift to the earth.”“Or the aliens’ gift,” Ann added.“Course,” Lisa agreed. “Can’t rule that out.
Graham Greene, Brighton Rock|But you do believe, don’t you," Rose implored him, "you think it’s true?"	"Of course it’s true," the Boy said. "What else could there be?" he went scornfully on. "Why," he said, "it’s the only thing that fits. These atheists, they don’t know nothing. Of course there’s Hell. Flames and damnation," he said with his eyes on the dark shifting water and the lightning and the lamps going out above the black struts of the Palace Pier, "torments." "And Heaven too," Rose said with anxiety, while the rain fell interminably on. "Oh, maybe," the Boy said, "maybe.
Lynne Sharon Schwartz, Where Books Fall Open: A Reader's Anthology of Wit & Passion|When reading a book, you are sold what some writer thought. When reading a newspaper, you are sold what someone did, and, what some advertiser made.
Marcus Aurelius, Meditations|Observe always that everything is the result of change, and get used to thinking that there is nothing Nature loves so well as to change existing forms and make new ones like them.
Leo Buscaglia|Too often we underestimate the power of a touch, a smile, a kind word, alistening ear, an honest compliment, or the smallest act of caring, allof which have the potential to turn a life around.
Ronald Reagan|I love airports because funny things always happen at them. They're giant complexes full of urgency, seriousness, and confusion. Where am I supposed to be? Which way do I go? And that's just the staff.
Debasish Mridha|Live simply, laugh joyfully, love tremendously, and leave silently.
Charles Bukowski|Love is a form of prejudice. You love what you need, you love what makes you feel good, you love what is convenient. How can you say you love one person when there are ten thousand people in the world that you would love more if you ever met them? But you'll never meet them. All right, so we do the best we can. Granted. But we must still realize that love is just the result of a chance encounter. Most people make too much of it. On these grounds a good fuck is not to be entirely scorned. But that's the result of a chance meeting too. You're damned right. Drink up. We'll have another.
Michael Crichton, Airframe|Sometimes I look around my living room, and the most real thing in the room is the television. It’s bright and vivid, and the rest of my life looks drab. So I turn the damn thing off. That does it every time. Get my life back.
Richelle E. Goodrich, Smile Anyway|I said I fell down. Ah. The ground bloodied your nose, split yer lip, and punched ye in th' eye, all at once.I said I don't want to talk about it.
Sunday Adelaja|To be recipient to God’s love on earth is to share a deep, intrinsic need to love and be loved
Catherine Bell|Those who believe that health is a commodity, on par with cars or computers, fail to grasp the basic economic lesson that health is very vulnerable to exposure to the markets, not least due to the profound asymmetries in power between the providers and consumers.
Ernst Jünger, The Glass Bees|I came to realize that one single human being, comprehended in his depth, who gives generously from the treasures of his heart, bestows on us more riches than Caesar or Alexander could ever conquer. Here is our kingdom, the best of monarchies, the best republic. Here is our garden, our happiness.
Umberto Eco, Belief or Nonbelief?|Is there a notion of hope (and of our responsibility to the future) that could be shared by believers and nonbelievers? What can it be based on now? Does an idea of the end, one that does not imply disinterest in the future but rather a constant examination of the errors of the past, have a critical fun
Lance Armstrong|We take our kids for physical vaccinations, dental exams, eye checkups. When do we think to take our - our son or daughter for a mental health checkup?
Drew Brees|And yet, there are still people in American politics who, for some reason, cling to this belief that America is better off adopting the economic policies of nations whose people who immigrate here from there.
V.S. Carnes|The blood dried on his good hand, he passed his palm over her hair. It curled about his wrist and sprung back into displace as the breeze fluttered by. In the firelight, it was golden like the dandelions of which she’d spoken. The ones that had grown along the Franklin riverbank in late summer. The ones he had lost any faith in since he’d committed his first murder there.
Robin Hoyle|Walking the walk is one thing, but it is so much more powerful if you can talk it as well.
Nikki Sex, Carmen's New York Romance Trilogy|Update your belief! If necessary, throw it to the bin! Don’t exaggerate your belief! Remember that your belief is not that much important; the important thing is what the science, what the reason and the truth say! And remember also that with the earthquake of knowledge many beliefs have collapsed and again many more will collapse!
Kristen Ashley, Creed|Well, honey, once you've been head-over-heels in love with somebody, you don't go back to being 'friends'. It doesn't work that way. - Megan's Dad
Richelle E. Goodrich, Making Wishes|It wasn't a kiss that changed the frog, but the fact that a young girl looked beneath warts and slime and believed she saw a prince. So he became one.
Jessica Prince, Scattered Colors|The pain never goes away, Freya, but it becomes manageable. One day, you'll wake up and realize you can breathe a little easier than the day before. Until then, all you can do is lean on people closest to you... lean on me. I want you to.
Lauren Oliver, Requiem|But maybe happiness isn't in the choosing. Maybe it's in the fiction, in the pretending: that wherever we have ended up is where we intended to be all along.
Mehmet Murat ildan|No one can see very clearly inside the heavy fog, no one but the fog himself!
Rob Bell, Jesus Wants to Save Christians: A Manifesto for the Church in Exile|The priest's work, the priest's service, was understood as an act of worship. This was God's desire at Sinai - that everybody would understand their roles as priests. Thst everybody would worship God by serving each other.
Nabil Sabio Azadi|Sometimes the biggest gain in productive energy will come from cleaning the cobwebs, dealing with old business, and clearing the desks—cutting loose debris that's impeding forward motion.
Oscar Wilde|Risks? I have lived with the prospect of assassination for years. What risks? All men die, rich and poor alike. But if I am to die, then let it be while I fight, not like some bullock in a pen waiting for the ax to fall.
