Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|The words he said, too, must be human enough to bleed.
Mary Astell|If any man seeks for greatness, let him forget greatness and ask for truth, and he will find both.
Eduardo Galeano|LearnVest provides women with the necessary tools and resources to manage their personal finances; its core mission, to positively contribute to society through education and, ultimately, the promotion of self-sufficient and financially aware women.
Wilhelm Reich, The Mass Psychology of Fascism|The reactionary of any kind condemns sexual pleasure because it stimulates and repulses him at the same time. He is unable to solve the conflict within him between sexual demands and moralistic inhibitions. The revolutionary refutes the perverse, unhealthy kind of pleasure, because it is not his kind of pleasure, because it is not the sexuality of the future, but the sexuality which results from the conflict between instinct and morals, the sexuality of authoritarian society, a debased, smutty, pathological sexuality.
Barry Graham, Nothing Extra: Notes On the Zen Life (Zen for Real Life, #3|My thatched hut; the whole sky Is its roof The mountains are its hedge, And it has the sea for a garden. I’m inside with nothing at all, Not even a bag, And yet there are visitors who say “It’s hidden behind a bamboo door” — 	Muso Soseki
Laurence J. Peter|There is only one failure in life possible, and that is not to be true to the best one knows.
Thich Nhat Hanh, For a Future to Be Possible: Buddhist Ethics for Everyday Life|Amy! My God! My God! My darling!' and buried my face in her neck, my arms wrapped tight around her, and let the cameras get their fifteen seconds, and I whispered deep inside her ear, 'You fucking bitch.
Toni Anderson, Cold Malice|I'm not naive......I grew up in a white supremacist compound with a daddy who wanted to murder innocent people and blow up the government for funzies. They beat up and possibly killed anyone who didn't agree with their ideals, and married their daughters off to perverts to hide sex crimes. I am not one of those females who see the world through rose-coloured glasses, or if I do, the roses are blood-red and thorny as hell. - Tess
Paulo Coelho, The Witch Of Portobello|When life throws you a curve ball, have a good eye.
Kristov Burgh|O Woman - Allah has made you the Queen of Piety and Modesty, Don't belittle yourself to be the slave of unlawful admiration and mortal fame & fortune.
Chris     Murray, The Extremely Successful Salesman's Club|Like the evangelist, I will shine with the light I have been shown, recognise that I have the ultimate solution for all my prospects, nurture that feeling deep within, and repeat the words to myself every day, until there is no doubt in my mind that keeping such good news hidden would be the very worst type of sin.
Debasish Mridha|Art is an expression of love, which you can see on the canvas.
Cassandra Clare, What Really Happened in Peru|Our fathers were demons,' Catarina said. 'Our mothers were heroes.
Thomas à Kempis, The Imitation of Christ|Take these things to heart, my son, I warn you.All men make mistakes, it is only human.But once the wrong is done, a mancan turn his back on folly, misfortune too,if he tries to make amends, however low he's fallen,and stops his bullnecked ways. Stubbornnessbrands you for stupidity - pride is a crime.
Jules Asner|I date older men, and I date younger men. I have no rules about that.
Dragos Bratasanu, Ph.D.|With every dream and with every love, you have to die to the old, and be reborn to the new. You must leave what you know behind, and surrender to the unknown.
Lewis Carroll, Alice in Wonderland|Let us step into the night and pursue that flighty temptress, adventure.
Patricia Cornwell|You cannot hope to build a better world without improving the individuals. To that end, each of us must work for his own improvement and, at the same time, share a general responsibility for all humanity, our particular duty being to aid those to whom we think we can be most useful.
Bob Iger|Half the time men think they are talking business, they are wasting time.
Ralph Waldo Emerson, Divinity School Address|If knowing yourself and being yourself were as easy to do as to talk about, there wouldn't be nearly so many people walking around in borrowed postures, spouting secondhand ideas, trying desperately to fit in rather than to stand out.
Benjamin Franklin|Be slow in choosing a friend, slower in changing.
RVM|Don’t just GO through life, GROW through it. For Life comes to you only once . . . never to return! Climb the Ladder of Life, step by step.
Matshona Dhliwayo|As light nourishes plants, wisdom nourishes sages.
Christopher Paolini, Inheritance|In El-harím, there lived a man, a man with yellow eyes.To me, he said, "Beware the whispers, for they whisper lies.Do not wrestle with the demons of the dark,Else upon your mind they'll place a mark;Do not listen to the shadows of the deep,Else they haunt you even when you sleep.
Brent Weeks, The Way of Shadows|I pride myself in being a kind, loving, caring and gentle person. But, that does not mean that I am weak or a “push over” and that I can be trampled underneath someone’s feet. No, most certainly not. I set my boundaries and no one, just no one is permitted to cross those lines.
Ouida|Men are always optimists when they look inwards, and pessimists when they look around them.
Alex Z. Moores, Living in Water|When trouble comes, close ranks
Kim Edwards, The Lake of Dreams|Rows and rows of books lined the shelves and I let my eyes linger on the sturdy spines, thinking how human books were, so full of ideas and images, worlds imagined, worlds perceived; full of fingerprints and sudden laughter and the sighs of readers, too. It was humbling to consider all these authors, struggling with this word or that phrase, recording their thoughts for people they'd never meet. In that same way, the detritus of the boxes was humbling - receipts, jotted notes, photos with no inscriptions, all of it once held together by the fabric of lives now finished, gone.
Billy Graham, Billy Graham in Quotes|Nothing brings more joy than a good marriage, and nothing brings more misery than a bad marriage.
Jay Woodman|You know that feeling of invincibility you sometimes get, especially when young and testing yourself - well that could be because actually know deep down that we are indeed eternal. We come into this world to live a life, to experience it, from somewhere else, some other plane, but we are programmed by all around us to deny or forget this - until one day we may remember again. That feeling of blissful reconnection with our source can be invoked through nature, beautiful writing or art or music, any detailed craft or work of discovery or personal dedication, meditation or other mentally balancing practice, or even through religious experience if there is a pure communion (not a pretence of it). But we should not yearn to return too soon, we should accept that we have come here for the duration of each life, and revel in the chance to learn and grow on this splendid planet. We can draw a deep sense of being-ness. peace, and love from this connection, which will sustain us through any trial. Once nurtured, this becomes stronger than any other connection, so of course our relationships here are most joyful when they allow us the personal freedom to spend time developing and celebrating that connection. Our deepest friendships form with those we can share such time and experiences with - discussing, meditating, immersing ourselves in nature, or creating our music, art, written or other works. Our journeys here are voyages of discovery, opening out the wonders within and all around. What better companions could we have than those who are able to fully share in such delights with us?
Margot Robbie|The positive is I'm delighted at the way the Liberal Democrats as a party have supported me and the way in which the work I'm doing, through the Liberal Democrats, has abled to broaden some of the work I work on.
Ralph Waldo Emerson|My life should be unique; it should be an alms, a battle, a conquest, a medicine.
Stephen King|While persistence offers no guarantees, it does give 'luck' a chance to operate.
Andrew Cort, Love, Wisdom, and God: The Longing of the Western Soul|But we as a culture have lost the deep intuitive understanding that Creation exists on many levels. We have succumbed to the scientific viewpoint. Nothing characterizes ‘the modern world’ more completely than the loss of faith in Transcendence, our arrogant lack of any genuine appreciation for levels of reality above our little everyday affairs. The deepest wounds to the human soul have been caused by our lack of appreciation of levels. By shutting the door on transcendence, we have cut off any light from that world that might have illuminated this one, leaving us in darkness,leaving us with nothing but a dead world where scientists are merely performing an autopsy.
Konrad Lorenz, On Aggression|Третье великое препятствие человеческого самопознания — по крайней мере в нашей западной культуре — это наследие идеалистической философии. Она делит мир на две части: мир вещей, который идеалистическое мышление считает в принципе индифферентным в отношении ценностей, и мир человеческого внутреннего закона, который один лишь заслуживает признания ценности. Такое деление замечательно оправдывает эгоцентризм человека, оно идёт навстречу его антипатии к собственной зависимости от законов природы — и потому нет ничего удивительного в том, что оно так глубоко вросло в общественное сознание. Насколько глубоко — об этом можно судить по тому, как изменилось в нашем немецком языке значение слов «идеалист» и «материалист»; первоначально они означали лишь философскую установку, а сегодня содержат и моральную оценку. Необходимо уяснить себе, насколько привычно стало, в нашем западном мышлении, уравнивать понятия «доступное научному исследованию» и «в принципе оценочно-индифферентное». Меня легко обвинить, будто я выступаю против этих трех препятствий человеческого самопознания лишь потому, что они противоречат моим собственным научным и философским воззрениям, — я должен здесь предостеречь от подобных обвинений. Я выступаю не как закоренелый дарвинист против неприятия эволюционного учения, и не как профессиональный исследователь причин — против беспричинного чувства ценности, и не как убеждённый материалист — против идеализма. У меня есть другие основания. Сейчас естествоиспытателей часто упрекают в том, будто они накликают на человечество ужасные напасти и приписывают ему слишком большую власть над природой. Этот упрёк был бы оправдан, если бы учёным можно было поставить в вину, что они не сделали предметом своего изучения и самого человека. Потому что опасность для современного человечества происходит не столько из его способности властвовать над физическими процессами, сколько из его неспособности разумно направлять процессы социальные. Однако в основе этой неспособности лежит именно непонимание причин, которое является — как я хотел бы показать — непосредственным следствием тех самых помех к самопознанию.
Rosanna Arquette|I retired from public Business from a thorough Conviction that it was not in my Power to do any Good, and very much disgusted with Measures, which appeared to me inconsistent with common Policy and Justice.
Lisa See, Snow Flower and the Secret Fan|The classics tell us that, in relationships, the one between teacher and student comes second only to the one between parent and child.
Michael Cunningham, The Snow Queen|When you’re looking for a needle in a haystack, don’t afraid to burn the haystack to save yourself from spending half your life picking through strands of straw.
Per Petterson, I Curse the River of Time|You ask a certain question again and again, in a sincere fashion, and the answer appears. But, in my experience, at least, that answer arrives according to it's own mysterious celestial timing, and often in disguise. And it comes in a way you're not prepared for, or don't want, or can't at first, accept.
Amy Harmon, Infinity + One|And when he kisses me it feels a bit like fear and tastes a bit like tears, but it’s as bright and sweet as sherbet, and I decide to call it joy.
Emily Greene Balch|Going on with life, it only gets more and more intense as time goes by - and the challenges only multiply.
Caitlin Rose|I can't really have any friends. It's sad, really. It's lonely. But that's how I am.
Caitlín R. Kiernan, Threshold|Now is the only time we have, and the only time that we have any control over.
Pat Conroy, The Lords of Discipline|He was ruled by the tyranny of instinct, by passion and the instant legislation of a simple heart.
Karen Luellen, Winter's Awakening: The Metahumans Emerge|Write as if you were dying. At the same time, assume you write for an audience consisting solely of terminal patients. That is, after all, the case. What would you begin writing if you knew you would die soon? What could you say to a dying person that would not enrage by its triviality?
Beatriz Williams, The Forgotten Room|I couldn’t love you for who you are because you showed me who you truly wanted to be, and I loved her more.
Barbara Ehrenreich|Love is the strongest motivator of all, Reagan. Stronger than fear, stronger than hate, stronger than whatever else is out there. Love is more than enough to survive with; it's enough to live with.
Deyth Banger|After all we have few friends, if we don't show that we care about them, we will reach 0 friends...
Marianne Williamson|Sometimes people claim they don't need a crutch like Jesus, but he's not a crutch, he's a teacher. If you want to be a writer, you read the classics. If you want to make great music you listen to music that's been made by great musicians who have gone before. If you're studying to be a painter, it's a good idea to study the great masters. If Picasso came into your room while you were learning to draw and said 'Hi, I have a couple of hours would you like some hints?' would you say no? So it is with spiritual masters: Jesus, Buddha or any other enlightened being. They're geniuses in the way they used their minds and hearts just as Beethoven was a genius with music, or Shakespeare a genius with words. Why not learn from them, follow their lead, study what they were doing right.
Stephen Richards, Insanity: My Mad Life|Never had a decent report in his life!" Tony repeated, hardly able to believe the words. He was thinking, in shocked surprise, that even Tante Bettina did not know how mad the English could be.
Bo Bennett|For every good reason there is to lie, there is a better reason to tell the truth
Michael S. Harper|Poets find their voices when they articulate the wishes of the dead, especially those slain as sacrificial talismans to a larger frame of existence.
Kurt Vonnegut Jr., Galápagos|I say the same thing about the death of James Wait. "Oh, well -- he wasn't going to write the Beethoven's Ninth Symphony anyway.
Celia McMahon, Skye|Grin is still beside me. His arms are hung tightly as his side and I take his hand. It is like touching stone and he turns stiffly toward me as we begin making our way back to where Rosso had camped the horses. We are both quiet but I know we were both thinking the same thing. That we wish we were out there and that we wish this wasn't happening at the same time. I suddenly feel the need to apologize to him too. It is because of me that his father and brothers are in this situation but that was their choice. When he looks at me, I can see forgiveness in his eyes. Neither of us have to speak to understand and neither of us look back at the people we leave behind.
Candice Olson|You find a story - or more importantly, you find some characters - that you want to be around as a filmmaker. The style and how we're going to shoot it and how we're going to design it and how it's all going to feel and look depends on that story. They tell me how I should shoot it.
Euginia Herlihy|He said slowly, “You must remember what you are and what you have chosen to become, and the significance of what you are doing. There are wars and defeats and victories of the human race that are not military and that are not recorded in the annals of history. Remember that while you’re trying to decide what to do.
Abhijit Naskar, What is Mind?|Each of the sapiens brains generates its own perception of God in uniquely different ways. Ergo, it imposes different qualities of meaning and value on God. You see God the way your brain wants you to see it. There is no right and wrong, or fact and fiction on this matter. It is all personal.
Laura Kaye, Dare to Resist|You're gonna have to hold on tight, because this rodeo is just getting started.
Jane Campion|I was desperate for a friend, and I used to lie in bed at night thinking about what it would be like. My younger brothers and sisters had friends, and I used to watch them playing to try to work out what they did and how friendship worked.
Franklin D. Roosevelt|I have seen war. I have seen war on land and sea. I have seen blood running from the wounded. I have seen men coughing out their gassed lungs. I have seen the dead in the mud. I have seen cities destroyed. I have seen 200 limping, exhausted men come out of line—the survivors of a regiment of 1,000 that went forward 48 hours before. I have seen children starving. I have seen the agony of mothers and wives. I hate war.
Richard Dahlstrom, O2: Breathing New Life Into Faith|But what we did yesterday isn't ever really the point or the question.The question is, are you open, by virtue of your relationship with this new Lover of yours, to being challenged in new ways, invited in new ways, to participate in what God is doing? The overwhelming testimony of the Bible is that too many finish growing long before they have finished living, and so they complete their days sitting on their assets. That's hardly the abundant life that Jesus came to give.
Betty Friedan, The Feminine Mystique|When one begins to think about it, America depends rather heavily on women's passive dependence, their femininity. Femininity, if one still wants to call it that, makes American women a target and a victim of the sexual sell.
Adolf Hitler|If you win, you need not have to explain...If you lose, you should not be there to explain!
Kimberly Willis Holt, When Zachary Beaver Came to Town|The Mozart sonata Dad picked out begins to play. When we hear the first note, we open the sacks and the ladybugs escape through the opening, taking flight. It's as if someone has dumped rubies from heaven. Soon they will land on the plants in search of bollworm eggs. But right now they are magic-red ribbons flying over our heads, weaving against the pink sky, dancing up there with Mozart.
Peter Hedges, What's Eating Gilbert Grape|Hate is self-inflicted torture. It hungers for revenge, damage, division, and violence, but is never satiated. Hate is a psychological hell to which we condemn ourselves and endeavor to burn others.
Fakeer Ishavardas|I'm joking when I say I'm the grand-pop of those claiming to be an avatar-messiah or god. But if they're serious, then, I am who I am.
Stephen L. Carter, The Impeachment of Abraham Lincoln|Be on your guard against the Pride that repels advice, resents reproof, and refuses to own a fault.
Vasily Grossman, Life and Fate|No. She will never be queen.” She swayed toward him, and he felt like he was being encircled by a python, smothered and choked.
Robert Battle|I am very lucky that I have talented and creative people around me. Also, mediation has been a very big part of my freedom, because it allows me to watch all the things going on and allows me to focus.
Colleen Atwood|One thing about costume design - and I think design in general - but especially costume design, is people have a misconception that it's very glamorous work.
Edward Verrall Lucas, London Lavender|I walked back by way of the sea-lions' enclosure to refresh my eyes with the King Penguin's perfect ecclesiastical tailoring. He was pacing moodily about as usual, in what one felt to be the interval between a marriage ceremony and a funeral service. Much better, I thought, to have left the 2000 a year to him. No harm would then be done, and what perfect episcopal garden-parties he could give with it!
Sunday Adelaja, The Mountain of Ignorance|To break yourself loose from the dominion, ruler-ship and manipulation of the devil, you have to embrace light (knowledge).
Nas|Having good health, being able to breathe and be happy, that's one of the most beautiful gifts. On top of that, I have the gift to play music and make people happy through that. I'm just telling you from my heart, I'm so in love with life.
Veronica Roth, Divergent|If you have survived an abuser, and you tried to make things right… If you forgave, and you struggled, and even if the expression of your grief and your anger tumbled out at times in too much rage and too many words… If you spent years hanging on to the concepts of faith, hope, and love, even after you knew in your heart that those intangibles, upon which life is formed and sustained, would fail in the end… And especially, if you stood between your children - or anyone - and him, and took the physical, emotional, and spiritual pummeling in their stead, then you are a hero.
Swami Dhyan Giten, Presence - Working from Within. The Psychology of Being|Meditation expands our inner being. The inner being is like a small, individual river flowering towards the Ocean. In meditation, I feel how my inner being expands into an inner ocean, which is part of everything, which is one with Existence. Through the inner being, we come in contact with the inner ocean, the undefined and boundless within ourselves, where we are one with life. We realize that God is part of life. We realize that God is not a person, but the consciousness that is part of everything. We find God in a flower, in a tree, in the eyes of a child or in a playful dog. Through discovering our inner being, we discover that we are also part of the flower, the child or the dog. We realize that God is everywhere.
Daisy Hernandez|I had lots of appointments, many places to go, and I needed a lot of rest; the art of constructively selling oneself requires much tender self-care
Raheel Farooq|You’ve got this job offer in Charlotte. I know. But if you want, that’s something we can figure out together. I made a commitment to Cameron, so I need to stay in Chicago until she’s back from maternity leave. But after that, I can—” “I didn’t take the job in Charlotte.” “Oh. Right.” He exhaled, trying to catch up to speed. “Well. You should know that I had at least two minutes left on that speech. Really quality stuff.” “Sorry. I just thought this might be a good time to mention that I love you, too.” She made a rolling gesture. “But, please—carry on.” He grinned. Sassy as ever.
Simon Pegg, Nerd Do Well|I'm simply saying that our deepest thoughts, desires and preoccupations manifest themselves in art, whether we intend them to or not. That's what art is for; it's not cerebral, it's emotional.
Nicole  Castle, Les Recidivists|Fashion is not the latest trends. Because every trend is not for everyone.It is what suits you".
Maajid Nawaz, Islam and the Future of Tolerance: A Dialogue|Ponzi schemes don’t trickle down, they siphon up.
Emily Dickinson, The Complete Poems of Emily Dickinson|Not with a club, the Heart is brokenNor with a Stone –A Whip so small you could not see itI've known
David Wong, This Book Is Full of Spiders: Seriously, Dude, Don't Touch It|It had the tangled floor plan common to all hospitals, seemingly designed by someone who believed in the healing power of watching confused visitors aimlessly wander around hallways.
William Shakespeare, A Midsummer Night's Dream|Why should you think that I should woo in scorn?Scorn and derision never come in tears:Look, when I vow, I weep; and vows so born,	In their nativity all truth appears.How can these things in me seem scorn to you,Bearing the badge of faith, to prove them true?
John Fowles, The Collector|He said, one has to learn that painting well - in the academic and technical sense - comes right at the bottom of the list. I mean, you've got that ability. So have thousands.
Archibald Marwizi, Making Success Deliberate|You need to use you imagined view of the future you dream of, then paint the statement in words, to state that clear dream of your desired future.
Ice Cube|When the Soviet Union fell, optimistic scholars believed the world had shifted inexorably in the direction of free markets and liberal democracy. Instead, the West gradually embraced bigger government and weaker social bonds, creating a fragmented society in which the only thing we all belong to, as President Barack Obama puts it, is the state.
Ridley Pearson, Science Fair|Live,Die,Kill but don't complain!
Andy Flynn|I believe i am hard as a stone, but even a stone breaks if you smash it real hard.....
Barack Obama|If you look at music, you see theme, variation, you see symmetry, asymmetry, you see structure, and these are related to skills in the real world.
Harry G. Frankfurt, On Bullshit|Now, it’s time for me to lock up and go. Listen to me. Lock up an empty building that’s gonna be torn down. Makes no sense. Like an old man tellin’ a lie to his son from his death bed. What’s the point? Who besides yourself are you fooling?
Ian MacKaye|In science, a healthy skepticism is a professional necessity, whereas in religion, having belief without evidence is regarded as a virtue.
Kathy Cyr, Max Hamby and the Blood Diamond|You’re such a little moron, aren’t you? They will hunt you down to the ends of the earth. It’s nothing personal, just business. It’s all about survival, dear boy." Drusilla Blackwood
Gabrielle Zevin, Young Jane Young|Confidence is silent, humble self-assurance. Moving one step past a healthy self-esteem, confidence projects an air of authority, trust, and respect—a commanding, respected presence.
M.F. Moonzajer|Fear is contagious. Fortunately, so is courage. Learning to become fearless will touch everyone around you, and best of all, you'll find it's a gift that keeps on giving.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|In God's kingdom, calling trumps credentials every time! God does not call the qualified. He qualifies the called. And the litmus test isn't experience or expertise. It's availability and teachability. If you are willing to go when God gives you a green light, He will take you to inaccessible places to do impossible things.
J. K. Rowling|Care for life and physical health, with due regard for the needs of others and the common good, is concomitant with respect for human dignity.
Rasheed Ogunlaru|We love music deeply, but why? Put simply: music makes lives, shapes lives, expresses all shades and stages of life - and even saves lives.
Thomas Love Peacock, Nightmare Abbey|She discovered, when it was too late, that she had mistaken the means for the end—that riches, rightly used, are instruments of happiness, but are not in themselves happiness.
Oscar Wilde, The Decay of Lying|Art creates an incomparable and unique effect, and, having done so, passes on to other things. Nature, upon the other hand, forgetting that that imitation can be made the sincerest form of insult, keeps on repeating this effect until we all become absolutely wearied of it.
Val Uchendu|It is only with the heart that one can see, hear and feel clearly. Think of an image, music or movie that moves you. Things that we truly love touch our heart before our head analyzes them away. Once we think we understand them, they disappear... It is because simple things in life are invisible, inaudible and insensible to an analytical mind and an undiscerning heart. Let your heart hear the music -- be moved by images, people and places... for that makes you more alive than others.
Anonymous|The rich can be "eccentric " the poor have to be considered "nuts."
Leigh Bardugo|And then what did you do, Lord Oliver?" Karl's eight-year-old daughter gazed up at him in awe, as though this were the best story she had ever heard.
Ephrem the Syrian|This Lord of natures today was transformed contrary to His nature; it is not too difficult for us to also overthrow our evil will." Hymns of the Nativity, Hymn 1:97, pg. 74 in Ephrem the Syrian: Hymns (New York: Paulist Press, 1989).
Yohji Yamamoto|Our clothes are too much a part of us for most of us ever to be entirely indifferent to their condition: it is as though the fabric were indeed a natural extension of the body, or even of the soul.
Horace|For women, the important ingredients for happiness are to forge an identity, serve the Lord, get an education, develop your talents, serve your family, and, if possible, to have a family of your own.
Sanjo Jendayi|Every living thing requires love to survive for without it, we die.
Louis V. Gerstner, Jr.|When all of your wishes are granted, many of your dreams will be destroyed.
Laura Esquivel|Each of us is born with a box of matches inside us but we can't strike them all by ourselves; just as in the experiment, we need oxygen and a candle to help. In this case, the oxygen, for example, would come from the breath of the person you love; the candle could be any kind of food, music, caress, word, or sound that engenders the explosion that lights one of the matches.
Maria V. Snyder, Scent of Magic|The sharpest minds often ruin their lives by overthinking the next step, while the dull win the race with eyes closed.
Caroline Kepnes, You|Adams was in a hurry and ordered his horse drawn carriage to wait for him in front of his house. The horses were spooked before he got in the carriage, and the carriage was destroyed in an accident. Pondering what could have happened to him , Adams retreated to Psalm 20's injunctions against trusting in chariots and horses.
Babu Rajan|Takes long,Stings hard,Benefit's large.And that's your experience in life :)
Agatha Christie, Five Little Pigs|Happy the youth who believes that his duty is to remake the world and bring it more in accord with virtue and justice, more in accord with his own heart. Woe to whoever commences his life without lunacy.
Derrick Jensen, Walking on Water: Reading, Writing, and Revolution|I saw a stop sign, and it occurred to me that just as no one expects a stop sign to stop a car, I shouldn’t expect words to substitute for experience. That’s not their job, although words certainly can be misused in that way. The job of words is to direct us toward experience, to round out experience, to facilitate experience, and to give us ways to share at least pale shadows of that experience with those we love. And the job of words is to help us learn to be — and act — human.
Lois McMaster Bujold, A Civil Campaign|I think the world honestly would be a much healthier place if instead of trying to find rationalizations for our bad behavior we would just say, "I was an asshole. Sure, there were reasons behind it, but that doesn't matter.
Watchman Nee, The Normal Christian Life|Pride is a human nature and it's good for people to be proud of themselves, achievements, etc. but too much of anything is not healthy. Humble is pride exhibited through humility, so be humble and prideful about being humble.
Robert Louis Stevenson|Yet, my grandfather was not a monster. He was simply a man of ordinary moral courage whose capacity for great evil was revealed to his and my everlasting shame. Labeling someone a monster implies that he is from another world, one which has nothing to do with us. It cuts off the bonds of affection and fear, assures us of our own superiority, but there's nothing learned, nothing gained. It's simple, but it's cowardly. I know now that only by empathizing with a man like my grandfather can we understand the depth of the suffering he caused. There are no monsters. The monster is us.
Tim O'Brien, If I Die in a Combat Zone, Box Me Up and Ship Me Home|Since the basic cause of man’s anxiety is the possibility of being either a saint or a sinner, it follows that there are only two alternatives for him. Man can either mount upward to the peak of eternity or else slip backwards to the chasms of despair and frustration. Yet there are many who think there is yet another alternative, namely, that of indifference. They think that, just as bears hibernate for a season in a state of suspended animation, so they, too, can sleep through life without choosing to live for God or against Him. But hibernation is no escape; winter ends, and one is then forced to make a decision—indeed, the very choice of indifference is itself a decision. White fences do not remain white fences by having nothing done to them; they soon become black fences. Since there is a tendency in us that pulls us back to the animal, the mere fact that we do not resist it operates to our own destruction. Just as life is the sum of forces that resist death, so, too, man’s will must be the sum of the forces that resist frustration. A man who has taken poison into his system can ignore the antidote, or he can throw it out the window; it makes no difference which he does, for death is already on the march. St. Paul warns us, “How shall we escape it we neglect so great a salvation” (Heb 2:3). By the mere fact that we do not go forward, we go backward. There are no plains in the spiritual life, we are either going uphill or coming down. Furthermore the pose of indifference is only intellectual. The will must choose. And even though an “indifferent” soul does not positively reject the infinite, the infinite rejects it. The talents that are unused are taken away, and the Scriptures tell us that, “But because though art lukewarm, and neither cold nor hot, I will begin to vomit thee out of my mouth” (Rev. 3:16).
Jalpa Williby, Chaysing Dreams|Now remember, they say if two people go together to visit the Taj Mahal, that means they will always be together. Are you ready for that?""Guess I'm stuck with you then.
Jon R.|Things don’t happen for a reason, things give you reasons to make things happen.
Rebecca Brooks, Above All|The downside, my beauty, is that you’re in a fogged glass bubble that’s as far out of my reach as I can imagine. I wish you would use your gaudy engagement ring to cut a hole through the glass to be able see me.
