Paresh Shah|People don't have ideas, ideas have people.
Sheri Fink|Ten percent of the big fish still remain. There are still some blue whales. There are still some krill in Antarctica. There are a few oysters in Chesapeake Bay. Half the coral reefs are still in pretty good shape, a jeweled belt around the middle of the planet. There's still time, but not a lot, to turn things around.
Steven Pinker, The Better Angels of Our Nature: Why Violence Has Declined|One of the tragic ironies of the second half of the 20th century is that when colonies in the developing world freed themselves from European rule, they often slid back into warfare, this time intensified by modern weaponry, organized militias, and the freedom of young men to defy tribal elders.77 As we shall see in the next chapter, this development is a countercurrent to the historical decline of violence, but it is also a demonstration of the role of Leviathans in propelling the decline.
Erica Cerra|Yeah, I like cars and basketball. But you know what I like more? Bananas.
Jean-Michel Jarre|Museums are like the quiet car of the world. It's a place you can come to escape, where there's authenticity, there's uniqueness, there's calm, there's physicality.
Dannika Dark, Five Weeks|We’re stars, you know. Different, distant, young and old, but we’re all made of the same stuff. We all shine just as bright as the next.
Chris Marlow, Doing Good Is Simple: Making a Difference Right Where You Are|Happy to be here, proud to serve.
Sarah Strohmeyer, Smart Girls Get What They Want|Brains are survival engines, not truth detectors.
Rick Detorie|This is followed by laughter because we're in high school, which means we're predictable and almost everything is funny, especially if it's someone else's public humiliation.
Douglas Adams, The Salmon of Doubt|Every kind of language is... specialized form of bodily gesture, and in this sense it may be said that the dance is the mother of all languages... an original language of total bodily gesture.This "original" language of total bodily gesture is thus the one and only real language, which everybody who is in any way expressing himself is using all the time. What we call speech and the other kinds of language are only parts of it which have undergone specialized development.
Samuel Butler|The youth of an art is, like the youth of anything else, its most interesting period. When it has come to the knowledge of good and evil it is stronger, but we care less about it.
Alexis de Tocqueville, Democracy in America|. . . The spirit of resistance to government is so valuable on certain occasions, that I wish it to be always kept alive. It will often be exercised when wrong, but better so than not to be exercised at all. I like a little rebellion now and then. It is like a storm in the atmosphere.
Melissa Nathan, Pride, Prejudice and Jasmin Field|She pulled away from Eric's grasp, knelt before Brian and looked up at him."Let me suck you off," she said. "Please.
Lauren Lola, An Absolute Mind|It's amazing how willingly one can tell to a new face, and how restrained one may be from telling a familiar one.
Baruch Spinoza|After experience had taught me that all the usual surroundings of social life are vain and futile; seeing that none of the objects of my fears contained in themselves anything either good or bad, except in so far as the mind is affected by them, I finally resolved to inquire whether there might be some real good having power to communicate itself, which would affect the mind singly, to the exclusion of all else: whether, in fact, there might be anything of which the discovery and attainment would enable me to enjoy continuous, supreme, and unending happiness.
Del Suggs, Truly Leading: Lessons in Leadership|Consistency is an under-appreciated inspirational quality. It’s that ability to conduct yourself in a consistent, reliable manner that others will respect and appreciate.
Unknown, Roman Proverb|When experience is bought by pain, it teaches.
Chesa Boudin, Gringo|somewhere along the dust-chocked Guatemalan road between...and ...was where I confirmed that I preferred traveling around the slow, bone-rattling way: by bus,with ordinary people. The bus we were riding in had been repainted in bright reds. The inside was colorful too: the seats had springs popping out of the upholstery, and the floor was caked with dirt and garbage. Chickens, some tied in bunches and others wandering loose, squawked noisily. Bouncing along a road to a place I had never been, and would never go back to, suddenly felt exciting, liberating even
Lauren Weisberger, Chasing Harry Winston|What are you - Secret Service?''If I were, I wouldn't admit it.''And you're not admitting it, I notice.
Mardy Grothe|Here's champagne for our real friends, and real pain for our sham friends.
Zora Neale Hurston, Dust Tracks on a Road|I found out too that you are bound to be jostled in "the crowded street of life." That in itself need not be dangerous unless you have the open razors of personal vanity in your pants pocket. The passers-by don't hurt you, but if you go around like that, they make you hurt yourself.
Imania Margria, Secrets of My Heart|Beauty is great... But love is greater. With it, you can overcome anything fate throws at you.
Kristine Barnett|To build confident and kind kids, we must celebrate their uniqueness.
Mehmet Murat ildan|To find elegant souls, you must wander in the elegant places!
Courtney Cole, Nocte|This is a beautiful morning; the sun is rising with a smiling face. Everything around me is alive and smiling. Everything is whispering in my ear to enjoy every moment and enjoy the morning. My heart is dancing with you, with morning light.
Charles Haddon Spurgeon|The wide awake man seizes opportunities or makes them, and thus those who are widest awake usually come to the front.
John Green|I wish I knew how to quit you, Tumblr.
Bryan Lee O'Malley, Lost at Sea|The stars look like they're so close, you could reach out and touch them. But you can't. Sometimes things look a lot closer than they are.
Frédéric Gros, A Philosophy of Walking|Blinding, mineral, shattering silence. You hear nothing but the quiet crunch of stones underfoot. An implacable, definitive silence, like a transparent death. Sky of a perfectly detached blue. You advance with eyes down, reassuring yourself sometimes with a silent mumbling. Cloudless sky, limestone slabs filled with presence: silence nothing can sidestep. Silence fulfilled, vibrant immobility, tensed like a bow. There’s the silence of early morning. For long routes in autumn you have to start very early. Outside everything is violet, the dim light slanting through red and gold leaves. It is an expectant silence. You walk softly among huge dark trees, still swathed in traces of blue night. You are almost afraid of awakening. Everything whispering quietly. There’s the silence of walks through the snow, muffled footsteps under a white sky. All around you nothing moves. Things and even time itself are iced up, frozen solid in silent immobility. Everything is stopped, unified, thickly padded. A watching silence, white, fluffy, suspended as if in parentheses.
Walter Gropius|O man you are busy working for the world, and the world is busy trying to turn you out.
Debasish Mridha|Happiness will comeToday, tomorrow and every yearNow, then and every moment For if, we learn to love, care and share.Happiness will comeTo fill our heart with kindnessIt is a gift from the universeTo touch our life with joyful silence.Happiness will comeFor if we know, wealth and splendors are illusionBut attainment of certain mental state,And Unconditional love is a real possession.
Zadie Smith, White Teeth|Winning and losing was suddenly elevated to be about things that had no score and no teams and no uniforms; just one player at a time dealing with his life, his own struggle, his own triumph and torment.
Elizabeth Bard, Picnic in Provence: A Memoir with Recipes|I tried desperately not to think about her eyes, about the way they lit up when she saw me. Or her hands, the way she waved them in the air as she talked, as if she thought she could pull words out of the sky with her fingers. And her arms, wrapping around me like my own house, because she was the place where I was from.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|I am chic, sleek, and so unique.
Pablo Picasso|That strong mother doesn't tell her cub, Son, stay weak so the wolves can get you. She says, Toughen up, this is reality we are living in.
Gabriel García Márquez, The General in His Labyrinth|... he was shaken by the overwhelming revelation that the headlong race between his misfortunes and his dreams was at that moment reaching the finish line. The rest was darkness."Damn it," he sighed. "How will I ever get out of this labyrinth!
Israelmore Ayivor, The Great Hand Book of Quotes|Change your environment and if the need be, change your company because it goes a long way to create another version for you which can easily ripe for decay!
Courtney Milan, The Countess Conspiracy|I’d tell you to fetch a match, but you have always had your own spark.
Emma Cline, The Girls|Girls are the only ones who can really give each other close attention, the kind we equate with being loved. They noticed what we want noticed.And that's what I did for Tamar, I responded to her symbols. To the style of her hair and clothes and the smell of her L'Air Du Temps perfume. Like this was data that mattered. Signs that reflected something of her inner self. I took her beauty personally.
Dr. Shaklee|The real badge of honour at work is not to work longer than anyone else, but to work smarter than anyone else.
Abdus Salam, Ideals & Realities 2/E|deluded or not, supporters of superstition and pseudoscience are human beings with real feelings, who, like the skeptics, are trying to figure out how the world works and what our role in it might be. Their motives are in many cases consonant with science. If their culture has not given them all the tools they need to pursue this great quest, let us temper our criticism with kindness. None of us comes fully equipped.
Matthew Pearl|Data adds concrete information to a teacher's observations and intuition, but it will never replace experience, personal relationships, and cultural understanding.
Adrienne Rich, On Lies, Secrets, and Silence: Selected Prose, 1966-1978|Sunday, the day for the language of leisure.
Oscar Wilde, The Picture of Dorian Gray|It is perfectly monstrous,' he said, at last, 'the way people go about nowadays saying things against one behind one's back that are absolutely and entirely true.
Donald Barthelme, Sixty Stories|New artists have been obtained. These do not object to, and indeed argue enthusiastically for, the rationalization process. Production is up. Quality-control devices have been installed at those points where the interests of artists and audiences intersect. Shipping and distribution have been improved out of all recognition. (It is in this area, they say in Paraguay, that traditional practices were most blameworthy.) The rationalized art is dispatched from central art dumps to regional art dumps, and from there into the lifestreams of cities. Each citizen is given as much art as his system can tolerate.
Fazlur Rahman, Major Themes of the Qur'an|He who at night feeling tired because of working in the daytime, then at night he was forgiven of Allah" —
Octavia E. Butler, Parable of the Talents|There must be good marriages somewhere, but to me, marriage had the feel of people tolerating each other, enduring each other because they were afraid to be alone or because each was a habit that the other couldn't quite break.
Louis Horst|To understand what I am saying, you have to believe that dance is something other than technique. We forget where the movements come from. They are born from life. When you create a new work, the point of departure must be contemporary life -- not existing forms of dance.
Dan Farmer|Employees can now easily leak company data through the use of insecure public Wi-Fi . If employees do not use VPNs to encrypt their data, they run the risk of exposing their traffic to cybercriminals. This means that passwords and usernames can be seen and intercepted by others on the network….. Although public WiFi hotspots are an invaluable services, there is a strong need for businesses to stay on top of the potential threats and security risks.
Alyssa Day, Vampire in Atlantis|You know better than that the only thing about you that scares me isyour absence, Alaric
Maisey Yates, Unexpected|He flexed his fingers and fought the urge to put his hand on her stomach. It was a possessivegesture, and he felt a little bit possessive
P. T. Barnum|Mr. Speaker, our Nation must no longer be complacent about underage drinking and its alarming consequences. We must bring this national public health crisis out of the shadow and into the bright light of a national priority.
Brandon Sanderson, Steelheart|Tessa touched his wrist lightly with her hand. "Be brave," she said. "It's not a duck, is it?
Diana Nyad, Find a Way|Keep the faculty of effort alive in you by a little gratuitous exercise every day. That is, be systematically ascetic or heroic in little unnecessary points, do every day or two something for no other reason than that you would rather not do it, so that when the hour of dire need draws nigh, it may find you not unnerved and untrained to stand the test. So with the man who has daily inured himself to habits of concentrated attention, energetic volition, and self-denial in unnecessary things. He will stand like a tower when everything rocks around him, and when his softer fellow-mortals are winnowed like chaff in the blast.
L.R.W. Lee|Success comes from a thousand little things done well, rarely from a silver bullet, even though we'd all like to believe that as our actions betray." - L. R. W. Lee, Andy Smithson: Blast of the Dragon's Fury
Adhish Mazumder, Versed with Life|You jealous souls are primeval without a doubt,Teach yourself to eat better instead of trying to eat one's heart out.
Franklin D. Roosevelt|The media's the most powerful entity on earth. They have the power to make the innocent guilty and to make the guilty innocent, and that's power. Because they control the minds of the masses.
Divyanka Tripathi|It is not how much we have, but how much we enjoy, that makes happiness.
Dorothea Dix|You can live your life angry, bitter, mad at somebody or even guilty, not letting go of your own mistakes, but you won't receive the good things God has in store.
Li-Young Lee|Memory is sweet.Even when it's painful, memory is sweet.
Leonard Cohen|Like Pascal, Nietzsche, and Simone Weil, Kierkegaard is one of those writers whom it is very difficult to estimate justly. When one reads them for the first time, one is bowled over by their originality . . . and by the sharpness of their insights. . . . But with successive readings one’s doubts grow, one begins to react against their overemphasis on one aspect of the truth at the expense of all the others, and one’s first enthusiasm may all too easily turn to an equally exaggerated aversion. Of all such writers, one might say that one cannot imagine them as children. The more we read them, the more we become aware that something has gone badly wrong with their affective life; . . . it is not only impossible to imagine one of them as a happy husband or wife, it is impossible to imagine their having a single intimate friend to whom they could open their hearts.
Ronald Chapman, Seeing True: Ninety Contemplations in Ninety Days|The children of Spirit are laughing, cursing, chatting, walking and running. They ooze holiness in all that they are and do.
Arthur Miller, The Crucible|The gift of a new day brings with it hope and potential. It is up to you to seize it. Do you recognize what an incredible gift it is to be alive for another day? Another entire day! How will you spend it? What will you do? More importantly, what will your attitude be? How will you spend this gift? I hope you will use it wisely, with gratitude and joy in your heart. Use it to spread love and kindness, use it to make a difference, use it with joy! Carpe diem!
Judith Spencer, Satans High Priest|The town was more than ready to accept the window dressing that hid the ugly truth of Joe's guilt. Some shared the secrets and kept the silence. Others would not have believed if they had been told. They would not have wanted to know. As those who saw and ignored the smoke from the crematoria of Hitler's Germany, they did not want to know that their world was not as it seemed.
Milan Kundera, The Book of Laughter and Forgetting|Children, Never look Back!" and this meant that we must never allow the future to be weighed down by memory . for children have no past, and that is the whole secret of the magical innocence of their smiles.
Tim Gunn|I can see by your face that I'll never persuade you. And that's surprising, because usually you at least try to see my side."I can see your side," said Cecily. "I've got a much clearer view of it than you do, from over here on my side.
Elizabeth Gilbert|My friend Kate once went to a concert of Mongolian throat singers who were traveling through New York City on a rare world tour. Although she couldn't understand the words to their songs, she found the music almost unbearably sad. After the concert, Kate approached the lead Mongolian singer and asked, "What are your songs about?" He replied, "Our songs are about the same things that everyone else's songs are about: lost love, and somebody stole your fastest horse.
Lilla Watson|If you have come to help me, you are wasting your time. But if you have come because your liberation is bound up with mine, then let us walk together...
Hikigaya Hachiman|There are so many people out there that will tell you that you can't. What you've got to do is turn around and say "Watch me!
Debasish Mridha|When you are ready, every door will open automatically for you.
Mary Wollstonecraft, Works of Mary Wollstonecraft|...a being, with a capacity of reasoning, would not have failed to discover, as his faculties unfolded, that true happiness arose from the friendship and intimacy which can only be enjoyed by equals; and that charity is not a condescending distribution of alms, but an intercourse of good offices and mutual benefits, founded on respect for justice and humanity.
Richard Wright, Black Boy|Literary truth is not the truth of the biographer or the reporter, it’s not a police report or a sentence handed down by a court. It’s not even the plausibility of a well-constructed narrative. Literary truth is entirely a matter of wording and is directly proportional to the energy that one is able to ­impress on the sentence. And when it works, there is no stereotype or cliché of popular literature that resists it. It reanimates, revives, subjects ­everything to its needs.
Nadia Comaneci|I don't run away from a challenge because I am afraid. Instead, I run towards it because the only way to escape fear is to trample it beneath your foot
Shillpi S Banerrji|Don't ruin a relationship, by giving it a name.A potential lover. A lover of the present and An ace of the past.These months, years and ages, might just forget the memory And remember the terms you used to file them in a draft.
Paul Walker|My father used to say that it's never too late to do anything you wanted to do. And he said, 'You never know what you can accomplish until you try.'
Mackubin Thomas Owens|This is our sacred land, Bharat, a land whose glories are sung by theGods, a land visualized by Mahayogi Aurobindo as the living manifestationof the Divine Mother of the universe, the Jaganmaataa, the Aadishakti,the Mahaamaayaa, the Mahaadurgaa, Who has assumed concrete form toenable us to see Her and worship Her,...a land worshipped by all our seers andsages as Maatrubhoomi, Dharmabhoomi, Karmabhoomi and Punybhoomi, averitable Devabhoomi and Mokshabhoomi" -
Henrietta Newton Martin|I am well known by my friends to be a workaholic - to their often justifiable annoyance. I am therefore keenly aware that such behavior is at best slightly pathological, and certainly in no sense makes one a better person.
Amit Ray, Mindfulness Meditation for Corporate Leadership and Management|Leadership is not just some empty formulas but establishing deep connection at soul levels through service, integrity, passion, perseverance and equanimity.
Gwen Ro|Secrets are more powerful when people know you've got them," said Mr. Sutton. "You show them the tiniest edge of your secret, but the rest you keep under wraps.
Paul Henri Thiry d'Holbach, The System of Nature, Vol. 2|Sometimes people have been stepping so long, they have forgotten what it's like to be stepped on.
Steven Pinker, The Blank Slate: The Modern Denial of Human Nature|The obvious cure for the tragic shortcomings of human intuition in a high-tech world is education. And this offers priorities for educational policy: to provide students with the cognitive tools that are most important for grasping the modern world and that are most unlike the cognitive tools they are born with. The perilous fallacies we have seen in this chapter, for example, would give high priority to economics, evolutionary biology, and probability and statistics in any high school or college curriculum. Unfortunately, most curricula have barely changed since medieval times, and are barely changeable because no one wants to be the philistine who seems to be saying that it is unimportant to learn a foreign language, or English literature, or trigonometry, or the classics. But no matter how valuable a subject may be, there are only twenty-four hours in a day, and a decision to teach one subject is also a decision not to teach another one. The question is not whether trigonometry is important, but whether it is more important than statistics; not whether an educated person should know the classics, but whether it is more important for an educated person to know the classics than to know elementary economics. In a world whose complexities are constantly challenging our intuitions, these trade-offs cannot responsibly be avoided.
Jamie Lee Curtis|I'm a big believer that your life is basically a sum of all the choices you make. The better your choices, the better opportunity to lead a happy life.
Ana Claudia Antunes, ACross Tic|You've got pretty good taste." She pulled out a suit, looked at it, put it back, pulled out another. "I can remember, you always wore good suits, good-looking suits, even before you were rich.""I like suits," he said. "They feel good. I like Italian suits, actually. I've had a couple of British suits, and they were okay, but they felt ... constructed. Like I was wearing a building. But the Italians - they know how to make a suit.""Ever try French suits?""Yeah, three or four times. They're okay, but a little ... sharp-looking. They made me feel like a watch salesman.""How about American suits?":Efficient," he said. "Do the job; don't feel like much. You always wear an American suit if you don't want people to notice you.
Jon Krakauer, Into the Wild|It is true that I miss intelligent companionship, but there are so few with whom I can share the things that mean so much to me that I have learned to contain myself. It is enough that I am surrounded with beauty...
Sue Patton Thoele, The Courage to Be a Stepmom: Finding Your Place Without Losing Yourself|All conversation, big or small, is about painting word pictures of your experiences for other people. The more
Mehmet Murat ildan|Cut the connection between your clothes and your beliefs, because clothes will not make you something, it won’t make you honest or dishonest, good or bad! Your essence will not change because of what you wear!
David Levithan, Wide Awake|If at first you don’t succeed, failure may be your style.
Leigh Hunt|The Christmas tree, twinkling with lights, had a mountain of gifts piled up beneath it, like offerings to the great god of excess.
Orhan Pamuk, Snow|Poets can't march in protest or do that sort of thing. I feel that's against the rules, and pointless. If mankind wants a great big final bang, that's what it'll get. One should never protest against anything unless it's going to have an effect. None of those marches do. One should either be silent or go straight to the top.
Tamara Henson|He had read much of things as they are, and talked with too many people. Well-meaning philosophers had taught him to look into the logical relations of things, and analyse the processes which shaped his thoughts and fancies. Wonder had gone away, and he had forgotten that all life is only a set of pictures in the brain, among which there is no difference betwixt those born of real things and those born of inward dreamings, and no cause to value the one above the other.
John Hoeven|If we talk about the environment, for example, we have to talk about environmental racism - about the fact that kids in South Central Los Angeles have a third of the lung capacity of kids in Santa Monica.
Eowyn Ivey, The Snow Child|In a place filled with fears, they were looking for the man who had none.
Garrison Wynn, The Real Truth about Success: What the Top 1 Percent Do Differently, Why They Won't Tell You, and How You Can Do It Anyway|When preparing a presentation, it’s never a good idea to begin with a rule. If you do, you’re focusing on the appearance of good delivery and not the effect of it.
Heather R. Blair, Phoenix Rising|Some people hate the rain, other appreciate it for the blooming flowers.
Leonard Nimoy|When a person doesn't have gratitude, something is missing in his or her humanity. A person can almost be defined by his or her attitude toward gratitude.
Deepak Chopra, The Third Jesus: The Christ We Cannot Ignore|The ego relies on the familiar. It is reluctant to experience the unknown, which is they very essence of life.
Qiu Miaojin, Last Words from Montmartre|That's an applicable life less, my boy,' he'd said. 'Nobody is really paying attention to you. Most people don't really get this. They think they must count more to other people than other people count to them. They can't believe the disregard could truly be mutual.
Lailah Gifty Akita|Loving others isn't about us at all. And until that sinks in, we'll never be able to love the way Christ truly loved.
Rosaria Champagne Butterfield|There are many things evil people can take from you. However, they can never steal your ability to laugh and laugh loud.
Priya Ardis, My Merlin Awakening|You'll get fired if anyone finds out about us!""So many rules in this century," Vane muttered.
Abigail Lazo|I was afraid,” she said, “and I wanted to hear your voice.
Billy Graham|It is the Holy Spirit's job to convict, God's job to judge and my job to love.
Antonin Sertillanges, The Intellectual Life: Its Spirit, Conditions, Methods|Friendship is an obstetric art; it draws out our richest and deepest resources; it unfolds the wings of our dreams and hidden indeterminate thoughts; it serves as a check on our judgements, tries out our new ideas, keeps up our ardor, and inflames our enthusiasm.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|We look for our perfect partners, and we wish we can be accepted the way we are. We seek unconditional love. It is all beautiful. While doing it we can always remember that we need to accept ourselves unconditionally, as much as we wish others to accept as with no conditions.
Mehmet Murat ildan|Anyone with a great product to sell should never criticize competing products. Your product should sell on its own merit. Consumers want the best of the best, not the best of a bad situation.
Aman Jassal, Rainbow - the shades of love|In order to mount to heaven, you used the Inferno to give you momentum. "The further down you gain your momentum," you often used to tell me, "the higher you shall be able to reach. The militant Christian's greatest worth is not his virtue, but his struggle to transform into virtue the impudence, dishonor, unfaithfulness, and malice within him. One day Lucifer will be the most glorious archangel standing next to God; not Michael, Gabriel, or Raphael—but Lucifer, after he has finally transubstantiated his terrible darkness into light.
Rachel Caine|Great," Shane said. "Look i'd rather not be on janitorial duty. I have allergies to cleaners.""And to cleaning," Michael said."Look who's talking, Didn't the do one of those Animal Planet documentaries about the roaches in your room?
Stephen   Craig, Blooded Eyes - A Short Story|My name is Patricia Lauren Bordeaux, and I, like my creator before me, am a very lonely vampire.
Billy Graham|Never be discouraged. If I were sunk in the lowest pits of Nova Scotia, with the Rocky Mountains piled on me, I would hang on, exercise faith, and keep up good courage, and I would come out on top.
Molly Shannon|A strange thing is memory, and hope; one looks backward, and the other forward; one is of today, the other of tomorrow. Memory is history recorded in our brain, memory is a painter, it paints pictures of the past and of the day.
Melika Dannese Lux, Corcitura|I’m coming, you impatient old coot! Keep your panties on!”-Skye yelling back to Hagan.
