Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Lailah Gifty Akita|If you are healthy, be happy.
Mac MacKenzie|If we feel unloved, it is difficult to truly love. If we feel rejected, it is difficult to truly accept. If we feel afraid, it is difficult to truly live. If we feel abandoned, it is difficult to truly belong. If we feel despair, it is difficult to truly hope. If we feel insignificant, it is difficult to truly care. It is difficult to draw water from an empty well. Without God, all of these things are difficult, if not nigh impossible. Thank God, that in Christ, all things are possible, for he is the hope for the beggary of our soul and the remedy for a broken, fragmented world.
Ursula K. Le Guin|In reading a novel, any novel, we have to know perfectly well that the whole thing is nonsense, and then, while reading, believe every word of it. Finally, when we're done with it, we may find - if it's a good novel - that we're a bit different from what we were before we read it, that we have changed a little... But it's very hard to say just what we learned, how we were changed.
Lysander Spooner|The trial by jury might safely be introduced into a despotic government, if the jury were to exercise no right of judging of the law, or the justice of the law.
Alexander McCall Smith, The Good Husband of Zebra Drive|Road accidents, psycho killings, plane crashes abound - we don't know which day will be our last, so why not make today the happiest day and be thankful for all that we have?
Cecelia Ahern, If You Could See Me Now|...fairy tales, just a fancy word for lies...
Rafaa Khiari|Anything you can do, but the computer can do it better than you. That's not a skill!
Efrat Cybulkiewicz|Find mebeneath your tongue,but not with other lipsnor by another tongueFind melet your yearning run wild as thirst seeks wateras silence seeks the soundFind meand I will be on my way...
Lisa Shearin, Armed & Magical|Mychael said the rock’s not affecting you, and from what I’m seeing I’m inclined to agree.”“I beg to differ.”“Feeling evil?” Justinius asked.“No.”“Having an urge to overthrow governments, kill thousands?”“No and no.”“Take over the world?”“Too much work.
Shepherd Hoodwin, Journey of Your Soul: A Channel Explores the Michael Teachings|Still, we always have some level of choice, even if it only how we react and make use of what life brings us.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|In times of adversity and affliction, may you wait for the Lord to rescue and deliver you.
Gerhard Domagk|In 1973, I left the Rockefeller University to join the Yale University Medical School. The main reason for the move was my belief that the time had come for fruitful interactions between the new discipline of Cell Biology and the traditional fields of interest of medical schools, namely Pathology and Clinical Medicine.
Toba Beta, My Ancestor Was an Ancient Astronaut|You do not change anything, only need to make difference.
ZAKIYA AND MAJID|The best thing about a heartbreak, you start looking for happiness elsewhere. You realize like wild flowers, happiness can grow anywhere and everywhere. And, most importantly within you.Be wild, dear heart, happiness awaits you.
Steve Alten, The Loch|Be careful, you are not in Wonderland. I’ve heard the strange madness long growing in your soul. But you are fortunate in your ignorance, in your isolation. You who have suffered, find where love hides. Give, share, lose—lest we die, unbloomed .
Leland Dirks, Seven Dogs in Heaven|Hitherto men have always formed wrong ideas about themselves, about what they are and what they ought to be. They have arranged their relations according to their ideas of God, of normal man, etc. The products of their brains have got out of their hands. They, the creators, have bowed down before their creations.
Julie Kagawa, The Iron Knight|I will be with her again, or I will die. There aren’t any other options
Israelmore Ayivor, Shaping the dream|Don't be blurred by impulse, to avoid regrets, refrain from doing things that will make you regret.
Jonathan Safran Foer, Eating Animals|Often, vegan advocates assume that a person's defensiveness is the result of selfishness or apathy, when in fact it is much more likely the result of systematic and intensive social conditioning.
Baruch Spinoza, Complete Works|Most of those who have written about the Affects, and men’s way of living, seem to treat, not of natural things, which follow the common laws of nature, but of things that are outside nature. Indeed they seem to conceive man in nature as a dominion within a dominion. For they believe that man disturbs, rather than follows, the order of nature, that he has absolute power over his actions, and that he is determined only by himself.
Harlan Ellison, I Have No Mouth and I Must Scream|I live in a world where people are guided by limited imagination; only facts that are favorable to them are truths. They are unable to live anyway else. When a person finds out that a fact is against them, it's usually because it's the truth. No one tries to step outside of the edge of reason. No one tries to step beyond the edge of the world.
Mansi Soni|Whatever the questions that trouble you just get up and ask, don't let them suffocate you. Because questions not asked will stay questions unanswered.
Thomas S. Monson|A barn with cattle and horses is the place to begin Christmas; after all, that's where the original event happened, and that same smell was the first air that the Christ Child breathed.
Toby Keith|Kids on the Youtube, learning how to be cool.
Dianne Duvall, Blade of Darkness|Sit down,” she ordered, nodding toward her bed.He cast it an uncertain look. “I can’t. I’ll stain the covers.” She stared at him. “You’re kidding, right?” He sported deep wounds that bled profusely and he was concerned about staining her bedding? “Perhaps if I cleaned up a wee bit—” “Sit your ass down,” she ordered, pointing at the queen-sized bed. Eyebrows flying up, he sat so swiftly she almost laughed.
Dan Wells, Partials|Jayden laughed grimly. 'Press the attack and hope for the best.''Hope is not a strategy,' said Kira'It's not plan A,' said Jayden, 'and it shouldn't be plan B, but it is every plan C that has ever been made.
Evy Michaels|I am not a prisoner to be locked up in people's ideologies, I am not a criminal to be locked up in your mind, I am a free spirit and I make no apologies for it
Jan Ellison, A Small Indiscretion|Very..." She left the word hanging. Very unfinished, thought Isabel. The woman finished her sentence. "Very beautiful." Oh, really! thought Isabel. The verdict from others was much the same. Oh well, thought Isabel. Perhaps I'm not sufficiently used to the language he's using. Music is not an international language, she thought, no matter how frequently that claim is made; some words of the language may be the same, but not all, and one needs to know the rules to understand what is being said. Perhaps I just don't understand the conventions by which Nick Smart is communicating with his audience.
Diane Setterfield, The Thirteenth Tale|They stared at each other. Every ocean, every river, every minute they had walked together was in their gaze. He said nothing and she said nothing. She kneeled by him, her hands on him, on his chest, on his heart, on his lungs that took air in but could not move air out, on his open wound; her eyes were on him, and in their eyes was every block of uncounted, unaccounted-for time, every moment they had lived since June 22, 1941, the day war started for the Soviet Union. Her eyes were filled with everything she felt for him. Her eyes were true.
Robert G. Ingersoll|The issue, perhaps, boils down to one of how perceptions or misperceptions of racial difference impact various individuals’, or groups of individuals’, experience of freedom in America. Some would argue that it goes beyond hampering their 'pursuit of happiness' to outright obliterating it.
Henry David Thoreau, Walden|I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived.
Terrence Alonzo Craft, The Seed Bridge: Collected Poems|I’m back there again, broken from being a champion,The boy that no one loved,The years I spent training like a method actor toBecome the man that everyone admired,But it means nothing, Like ashes on a forehead, they marked me inferior,When I was still young enough to receive it into the grain of my being
Serena Winter, The Zodiac Turner: The Five Trials|She was a femme fatale with creative license, and she was sharpening her pen just for me.
Albert Einstein|Wherever my story takes me, however dark and difficult the theme, there is always some hope and redemption, not because readers like happy endings, but because I am an optimist at heart. I know the sun will rise in the morning, that there is a light at the end of every tunnel.
Thomas C. Oden, The Living God: Systemic Theology: Volume One|God's holiness is not an unloving holiness, and God's love is not an unholy love. It is only by keeping these two primary moral qualities of the divine being closely related that we may rightly behold the character of God. (p. 98)
Amanda M. Lyons, Eyes Like Blue Fire|A rich man, was one who spent a million.
Dada Bhagwan|There is no problem to relish pride when people praises you but at the same time, one must also be of the opinion that ‘this should not be so’.
Bangambiki Habyarimana|He knew most men only heard what they wanted to hear, and he had no desire to be like most men.
Gillian Flynn, Gone Girl|Master Chekhov says Man is what he believes. From here we conclude that when Man believes in a crap, Man becomes a crap!
Sharon E. Rainey, Making a Pearl from the Grit of Life|I remembered standing in the middle of the street in front of The Crooked Bookshelf, filled with the certainty of a future. I had heard the wolves howling behind the house and remembered how glad I had been to be human.
Tsitsi Dangarembga, Nervous Conditions|All of us are seeking a home, and I don't mean where we were born, or where we now live and have things, but where we can do the big things, the right things. Where we belong, where we fit, where we're loved."--Tennessee Williams, "Follies of God: Tennessee Williams and the Women of the Fog
Tillie Cole, A Thousand Boy Kisses|I wish that people realized how this felt every day. Why does it take a life ending to learn how to cherish each day? Why must we wait until we run out of time to start to accomplish all that we dreamed, when once we had all the time in the world? Why don’t we look at the person we love the most like it’s the last time we will ever see them? Because if we did, life would be so vibrant. Life would be so truly and completely lived.
Jeff Greenfield, Then Everything Changed: Stunning Alternate Histories of American Politics: JFK, RFK, Carter, Ford, Reagan|In politics, Bugs Bunny always beats Daffy Duck. Daffy's always going berserk, jumping up and down, yelling. Bugs's got that sly smile, like he always knows what's up, like nothing can ruffle him.
Luna Marym|There and then, sitting beside her and within the strength of my adoration, I felt invincible.
Norah Vincent|There is a time in a boy’s life when the sweetness is pounded out of him; and tenderness, and the ability to show what he feels, is gone.
Erin Bow, Plain Kate|Taggle, meanwhile, made himself popular, killing rats and bringing a rabbit into camp every evening, preening in the praise - silently, thank god, though at night, he recounted choice bits to Kate: "Rye Baro says I am a princeling; he split the leg bone for me so that I could eat the marrow. They love me. And I'm sure they'll keep you, too."Mira, she thought, and treasured it each time she heard it, They must keep me. Family.
Margaret Atwood, The Handmaid's Tale|No mother is ever, completely, a child's idea of what a mother should be, and I suppose it works the other way around as well.
Shelly Crane, Undeniably Chosen|His smile was small and immediate, crooked, like I’d put his whole world off its axis, but he was somehow okay with that.
Mensah Oteh|Every day you leave a legacy behind, so make it a good one by doing something of significance.
Mitch Albom, Tuesdays with Morrie|Certain aspects of dying are still a mystery to me now, but as I grow and study life more, the end of my life becomes more of a certain truth.
Flannery O'Connor, Mystery and Manners: Occasional Prose|The woods are full of regional writers, and it is the great horror of every serious Southern writer that he will become one of them.
Raymond Tallis|Let us begin by giving all proper respect to what neuroscience can tell us about ourselves: it reveals some of the most important conditions that are necessary for behavior and awareness. What neuroscience does not do, however, is provide a satisfactory account of the conditions that are sufficient for behavior and awareness. ... The pervasive yet mistaken idea that neuroscience does fully account for awareness and behavior is neuroscientism, an exercise in science-based faith. ... This confusion between necessary and sufficient conditions lies behind the encroachment of “neuroscientistic” discourse on academic work in the humanities...
Adrienne Mayor|I think the key to the whole appeal of Amazons is the egalitarian society. There was once a time and place where equality was taken for granted - it was logical and necessary - and I think most people can get the message that if it happened once, it could happen again.
Grace Sara, Awakening in the 21st Century: Surviving a Spiritually Dormant Society|The shaping of character mimics the smallest detail of habit; humans are creatures that learn from observation. Each little thing you do, and each thing you allow yourself to become desensitized to matters. They create you—whether you know it consciously or not.
Michael Delaware, The Art of Sales Management: Lessons Learned on the Fly|Give me a person who sincerely wants to commit themselves to being a salesperson, and put them on my team and I will give you a hero. That has always been my mindset as a sales manager, whenever I have been in that position. I believe in people, and I seek to encourage them to perform at their best.
Max Lucado, Lar: I Never Knew That Was in the Bible: Inspirational Thoughts for Each Day of the Year|To waste valuable time on stressing over those who treat you unkindly, accomplish nothing of importance. Rather, that time should be spent working on most important things, that actually create something of value that is worth your time.
Vincent McNabb|When you train seven days a week, you need good scenery to inspire you.
Daniel Mackler, Breaking from Your Parents: Setting a New Precedent for Your Life and Our Species|If you want to be a good parent please heal your own wounds, heal all of them and be confident that you’ve done so before you seriously consider having children. The unresolved child within you is the real child you need to embrace and heal and raise.
Christopher Buehlman, The Lesser Dead|He, being hacked and cut for three solid quarters of an hour by the vigorous hands that had taken charge of his education, was soon nothing but a single wound, from which blood spurted out on all sides.
D.S. Mashego|To remain far-sighted, you need to surround yourselfwith far-sighted visionaries. You need to surround yourself with people who think like you. You needto surround yourself with people who speak the same language as you. You need to surround yourself with people who fight and refuse to give up on theirdestiny. You need to surround yourself with people whose testimonies give you reasons to press on.
GRIS|I’ve succumbed to the absolute power of the man that pulls, culls, calls my unwitting submission. And I’ve embraced the power of my submission to draw him in further, to have him kneeling and worshiping what he’s conquered. I’ve known surrender and strength with him. True freedom. And a hell of a lot of orgasms.
Anne  Hill, The Baby and the Bathwater|One of the first things we learn from our teachers is discernment: the ability to tell truth from fiction, to know when we have lost our center and how to find it again. Discernment is also one of the last things we learn, when we feel our paths diverge and we must separate from our mentors in order to stay true to ourselves.
Mackie Burt, Above|And you have been forever, and will be forever, and all the worrisome smashings of your foot on innocent cupboard doors it was only the Void pretending to be a man pretending not to know the Void.
Neal Stephenson|Discovered Pages has released its first monthly magazine and it is being raved about!! We have author spotlights, great info for authors and readers, publishing info etc etc. Get your copy today on kindle for $1.99!!!!
Jonathan Heatt|If there's one thing every good novelist understands, it's that our inner world is unreliable and yet there's no getting beyond it. Every sense is subject to deception, including the moral sense. What seems at first like the hard surface of spiritual reality is really fathomless when you dive down into it. There is no bottom. We neve know anything for sure. (p. xvi)
Lauren DeStefano, Perfect Ruin|A strange thing, words. Once they're said, it's hard to imagine they're untrue.
Zack Love, Anissa's Redemption|My past still haunts me when I sleep, although I saw that - much to my surprise- his does as well.
Alice Hoffman, Practical Magic|Helplessness and anger make for predictable behavior: Children are certain to shove each other and pull hair, teenagers will call each other names and cry, and grown women who are sisters will say words so cruel that each syllable will take on the form of a snake, although such a snake often circles in on itself to eat its own tail once the words are said aloud.
Timothy Ferriss, The 4-Hour Workweek|Getting fired, despite sometimes coming as a surprise and leaving you scrambling to recover, is often a godsend. Most people aren’t lucky enough to get fired and die a slow spiritual death over 30-40 years of tolerating the mediocre.
Lailah Gifty Akita|If you reverend God, you shall respect all souls.
Lou Harper, Hanging Loose|I want to reach back into my history with a grade-school pink eraser, scrubbing away my decisions like mistakes on a math test. Too bad I drew my mistakes in ink.
Jane Austen, Pride and Prejudice|Had I been in love, I could not have been more wretchedly blind. But vanity, not love, has been my folly.
Stephanie Perkins, Isla and the Happily Ever After|An Atheist is a person who questions every kind of authority, and this is the thing that is important. Because if we can, without blinking an eye, question the ultimate authority, god - who must be obeyed, then we can question the authority of the state, we can question the authority of a university structure, we can question the authority of our employer, we can question anything. So I think the primary thing that an Atheist is, is a person who looks at an authoritarian idea, or an authority structure, and says to that authority structure: from whence do you derive your authority and why should I be obedient to you? It appears to me that if I have human intelligence that this is enough for me to try to challenge whatever you're doing.
Elaine Seiler, Your Multi-Dimensional Workbook: Exercises for Energetic Awakening|There is grandeur in this view of life, with its several powers, having been originally breathed by the Creator into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been and are being evolved.
Dominique Eastwick, Strawberry Kisses|You must be very secure in your masculinity to parade around in those budgie smugglers.”“Oh, I’m very secure.” He see-sawed the towel over his back. “And I’m happy to show you the rear view of my budgie smugglers—oh wait—you already saw it when you were checking out my ass.
Penelope Lively, How It All Began|She went out socially with him, but without enthusiasm, devoured already by that eternal inertia which comes to live with each of us one day and stays with us to the end.
Kevin McCloud|I feel there's a power in theatre, but it's an indirect power. It's like the relationship of the sleeper to the unconscious. You discover things you can't afford to countenance in waking life. You can forget them, remember them a day later or not have any idea what they are about.
Rabindranath Tagore|A good idea will keep you awake during the morning, but a great idea will keep you awake during the night.
Toni Sorenson|My discontent has accumulated over the past months, searching for a leak in the dam I’ve constructed to separate my true feelings from the situation closing in around me.
Kai Meyer, Pirate Emperor|What exists beneath the sea?I’d always pictured it in colors of emerald and aquamarine, where black velvet fish with sequined eyes swim among plankton.But, when my eyes adjust, I see gray stones, lost anchors, wet wood, buttons, hooks, and eyes, the salem witches who wouldn’t float, stars and stripes, missing vessels, windup toys, the souls of Romeo and Juliet, peaches, cream, pistons, screams, cages of ribs and birds, tunnels, nutcracker soldiers, satin bows, drugstore signs, Pandora box ripped open at its hinges.
Criss Jami, Killosophy|She’s an absolute idiot!” she added with the wisdom invariably shown by people who, not being in love themselves, feel that a clever man should only be unhappy about a person who is worth his while; which is rather like being astonished that anyone should condescend to die of cholera at the bidding of so insignificant a creature as the comma bacillus.
Aaron Allston|Writing novels is the hardest thing I've ever done, including digging irrigation ditches.
Edward Clodd|. . . the mysteries, on belief in which theology would hang the destinies of mankind, are cunningly devised fables whose origin and growth are traceable to the age of Ignorance, the mother of credulity.
Jacob M. Appel, Phoning Home|problems call for ideas, the bigger the problem, the bigger the idea
Deepak Chopra, The Third Jesus: The Christ We Cannot Ignore|Once war becomes a clash of absolutes, there is no breathing room for mercy. Absolute truth is blind truth.
Dave Chappelle|The true aim of everyone who aspires to be a teacher should be, not to impart his own opinions, but to kindle minds.
Tarryn Fisher, F*ck Love|I think it's hard for you to fall in love because you like control, and you can't control what another person does or feels, so you keep all your cards.
Alin Sav|The Gospel is about what Jesus did, not what we have to do.
Leo Buscaglia|Live,love and learn
Aspen Matis, Girl in the Woods: A Memoir|I'd crossed a border—Speaking openly, exposing the weak girl I'd been, I was no longer her.
C.S. Lewis, The Four Loves|The very condition of having Friends is that we should want something else besides Friends. Where the truthful answer to the question "Do you see the same truth?" would be "I see nothing and I don't care about the truth; I only want a Friend," no Friendship can arise - though Affection of course may. There would be nothing for the Friendship to be about; and Friendship must be about something, even if it were only an enthusiasm for dominoes or white mice. Those who have nothing can share nothing; those who are going nowhere can have no fellow-travellers.
Irak. ibrahim Hussain Didi| Be who you are and say what you feel, but if you can't handle, then you sure as hell don't deserve, darkness cannot drive out darkness, only light can do that 
Derek Landy, Death Bringer|Oh, China. How I have missed you.''And I have missed you, Eliza. But don't worry, next time my aim will be better.
T. Scott McLeod, All That Is Unspoken|When I saw you on the stairs before, I’d forgotten how beautiful you are,’ he whispered against her skin.‘Spotty, not beautiful,’ she corrected gently, running her finger along his crooked nose. ‘Now you, you’re beautiful.’‘I even missed your inferiority complex.’ Max smiled and shifted against her.‘Not being inferior. It’s a point of fact. I’m covered in zits,’ Neve said and she didn’t know why she felt the need to share that with Max but then she was glad that she had because he was kissing each one of the angry red bumps along her forehead and chin and cheeks, even though a few of them were starting to suppurate. ‘Don’t do that, it’s completely unhygienic. Kiss my mouth instead.
Dave Navarro|I think the Iraqi people have shown extraordinary patience and courage in the last few months. They have really put a political system on the way to success, to a real democracy here.
Maria Elena|I wish to offer the world more than just beauty and plastic moments. I wish to offer the world depth, conversation, poetry and wisdom. I hope you do not deny me when I open these doors.
Emma Thompson|Even though worker capacity and motivation are destroyed when leaders choose power over productivity, it appears that bosses would rather be in control than have the organization work well.
Anthony Powell, A Question of Upbringing|For some reason, the sight of snow descending on fire always makes me think of the ancient world – legionaries in sheepskin warming themselves at a brazier: mountain altars where offerings glow between wintry pillars; centaurs with torches cantering beside a frozen sea – scattered, unco-ordinated shapes from a fabulous past, infinitely removed from life; and yet bringing with them memories of things real and imagined. These classical projections, and something in the physical attitudes of the men themselves as they turned from the fire, suddenly suggested Poussin’s scene in which the Seasons, hand in hand and facing outward, tread in rhythm to the notes of the lyre that the winged and naked greybeard plays. The image of Time brought thoughts of mortality: of human beings, facing outwards like the Seasons, moving hand in hand in intricate measure: stepping slowly, methodically, sometimes a trifle awkwardly, in evolutions that take recognisable shape: or breaking into seeminly meaningless gyrations, while partners disappear only to reappear again, once more giving pattern to the spectacle: unable to control the melody, unable, perhaps, to control the steps of the dance.
Moryah DeMott, Timeless|You had me believing that I was crazy. Every time I broke down over what seemed like nothing, it was you.’ Bade ran an anxious hand through his hair.‘Well, that’s love isn’t it?’ Davina took his restless hand. ‘Love is crazy and irrational, and anything less would be boring.
Elizabeth Lesser, Broken Open: How Difficult Times Can Help Us Grow|His grief at your leaving is also his fear of losing the power he has had for lifetimes. Those days are over for him, and he is in turmoil. But if you are to help him on his soul's quest, you will leave him. It is your job--your sacred contract--to free him, and to free yourself.
Soke Behzad Ahmadi|Water runs if you try to grasp it, but pours onto an open hand.
F. Scott Fitzgerald, This Side of Paradise|To know a man properly, you must know the shape of his hurt - the specific wound around which his person has been formed like a scab.
Radhika Sanghani, Not That Easy|By the end of the date, your intentions should be clear.
Kimberly Black, A Fiction Writer's Character Workbook|In writing, a good guy must never break any of the Ten Commandments. A bad guy must break every one. That's why writing female characters is so much fun. They're not GUYS at all.
Israelmore Ayivor, Leaders' Ladder|Leaders create awareness in their followers about the great potentials they carry and how to release them for the benefit of all. Leaders are motivators,
Kabelo Mabona|But whatever it is, if it doesn't give you strength from rendering its service it's not your purpose.
Roshan Sharma|Computer are incredible coded, they fascinating me... as for sex... I don't need it, there is pornography so much that I won't finish watching... so far I won't...live so much on this planet to check out everything.
Adalbert de Vogüé, Aimer Le Jeune: L'Experience Monastique|When I walk in the forest just before the meal, while reciting the scriptural phrase that I "meditate" for that day, spiritual joy comes over me as if by appointment.
Neil deGrasse Tyson|At the end of the day, if I can say I had fun, it was a good day.
Susan C. Young, The Art of Being: 8 Ways to Optimize Your Presence & Essence for Positive Impact|Gracious pride is a powerful motivator and an exceptional quality. It drives a person to strive for excellence, keep promises, not give up, be more resilient, maintain optimism, and hold their head high while enduring challenge and change.
Dietrich Bonhoeffer, The Cost of Discipleship|The will of God, to which the law gives expression, is that men should defeat their enemies by loving them.
Marilyn Manson|Imagination has rules, but we can only guess what they are.
