Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
Jandy Nelson, The Sky Is Everywhere|They could not write their names, but I can write mine, and I will again, somewhere where it will last for a long, long time. I will find Ky, and then I will find that place.
Mirella Muffarotto, Soccer Sweetheart|But you’re right about one thing: he’s my best friend. I know him very well, and no matter what he said or did tonight, I’ve never seen him act this way with another girl. No one,” he repeated, “except you.
Criss Jami|There is this common notion that young conservatives are the few, that most people had liberal worldviews when they were young. If this is true, then it is with great irony that a number of old liberals must never had progressed into conservatives as they grew older.
Lionel Suggs|She is her own definition of beauty. She is pure. She is majestic; mystical even. Her smile is always rejuvenating. Her presence is always illuminating. She is magic in thought, and magic in sight. She takes away your free will, and forces you smile. She takes away your fatigue, and only gives you strength. She always rouses my soul and makes me stretch for more. I lose no words for her. I lose no heartbeats for her. I love her. I adore her. And I won’t dance around her – I’ll embrace her. You are a magnificent friend, and the long awaited dream come true.
Billy Graham, Billy Graham in Quotes|We should go to no place that we would not go in His Presence. But He is not with us just to judge or condemn us; He is near to comfort, protect, guide, encourage, strengthen, cleanse, and help.
TemitOpe Ibrahim|Nothing has to be funny, sometimes I just laugh to unclog my soul.
Mohammed Sekouty|People without a will are afraid of failure,and failure is afraid of people with a will
Dana Delany|I really like dating stories, like in Betty and Veronica comics; I like David Lynch and H.P. Lovecraft for the dark gut-wrenching stuff, and I'm inspired by Miyazaki's films for the subtle heart-warming moments, as well as the moments that blew up my imagination.
Life Coach. Michael Mnyameni|To every problem you encounting, there is an answer within it.
Christopher Hitchens, Mortality|The man who prays is the one who thinks that god has arranged matters all wrong, but who also thinks that he can instruct god how to put them right.
Rebecca Maizel, Infinite Days|She was almost at the top of the steps, and Shane was right behind her, when she heard Myrnin say, in a quiet voice that was like the old Myrnin, the one she actually liked, "I'm sorry, Claire. I never meant - I'm sorry. Sometimes I don't know... I don't know what I am thinking. I wish... I wish things could be like they were before.
Kristin Hannah, Distant Shores|It had been years since she question his fidelity, but he'd stepped on to the old fame track again, and that was where the road had taken them before. Infidelity could be forgiven, but forgetting it was impossible. Strangely, that wasn't what bothered her the most. What bothered her was that she didn't really care.
Jennifer Ott, Serendipidus|One of the misconceptions about atheism is that it somehow means someone denies the possibility of a deity. In all actuality, it simply means you don’t believe it to be the case — a point that should not be hard to understand with the complete lack of physical evidence that points to the existence of such a being or beings. Even if you’re 51 percent sure that there is no magical man in the sky, you are an atheist; and admitting that is the first half of the battle.
Cher|As a shy kid growing up in Sheffield, I fantasized about how it would be great to be famous so I wouldn't actually have to talk to people and feel awkward. And of course, as we all know from fairy stories, when you achieve that ambition, you find out you don't want it.
Cormac McCarthy, Suttree|The heart beneath the breastbone pumping. The blood on its appointed rounds. Life in small places, narrow crannies. In the leaves, the toad's pulse. The delicate cellular warfare in a waterdrop. A dextrocardiac, said the smiling doctor. Your heart's in the right place. Weathershrunk and loveless. The skin drawn and split like an overripe fruit.
Lailah Gifty Akita|He recalls a lot of family worry about what he was going to do, and while he still sent in the occasional sketch to radio shows, he acknowledges that his confidence was extremely low. Despite his subsequent success and wealth, this propensity for a lack of confidence has continued.“I have terrible periods of lack of confidence,” he explains. “I just don’t believe I can do it and no evidence to the contrary will sway me from that view. I briefly did therapy, but after a while I realised it is just like a farmer complaining about the weather. You can’t fix the weather—you just have to get on with it.”So has that approach helped him? “Not necessarily,” he shrugs.
Glen Duncan|Many have came before you and many will come after you, but none will ever be you. Some may even try to duplicate your characteristics, but they'll never succeed because you are unique.
Molly Friedenfeld, The Book of Simple Human Truths|The statesman received us with that old-fashioned courtesy for which he is remarkable, and seated us on the two luxuriant lounges on either side of the fireplace. Standing on the rug between us, with his slight, tall figure, his sharp features, thoughtful face, and curling hair prematurely tinged with gray, he seemed to represent that not too common type, a nobleman who is in truth noble.
Mehmet Murat ildan|And there are moments that I would like to know what might have happened if it hadn't happened, and why it happened the way it did, and what it might have taken to prevent it from happening.
Don Winslow, The Force|It’s sadthat burnt marshmallowsmake me think ofmethamphetamine,when theyshould bringback childhoodmemories ofs’mores
Euginia Herlihy|(...) It,s hard not to be able. There, look there!/ I cannot get the movement nor the light;/Sometimes it almost makes a man despair/To try and try and never get it right./Oh, if I could -oh, if I only might,/I wouldn,t mind what hells I,d have to pass,/Not if the whole world called me fool and ass."Dauber (A poem). John Masefield. 1916. London William Heinemann
Wilhelm Reich, The Mass Psychology of Fascism|You want to be good. All right, I can understand that. But you have to be careful who you let define your good.
Luke Gracias, The Devil's Prayer|We humans progressively exterminate every support mechanism. The earth progressively degenerates toward a form of quadriplegia, completely impotent to protect all it sustains.
Prashant Sonavane|Life is a painting,dream and draw sketch of own's life.
Jess Rothenberg, The Catastrophic History of You and Me|Oh, but you must travel through those woods again and again... said a shadow at the window... and you must be lucky to avoid the wolf every time...But the wolf... the wolf only needs enough luck to find you once.
Ursula Hegi|That's the nature of being a parent, Sabine has discovered. You'll love your children far more than you ever loved your parents, and -- in the recognition that your own children cannot fathom the depth of your love -- you come to understand the tragic, unrequited love of your own parents.
Margaret Fuller|Precision, speed, unambiguity, knowledge of files, continuity, discretion, unity, strict subordination, reduction of friction and of material and personal costs - these are raised to the optimum point in the strictly bureaucratic administration.
Debasish Mridha|Try to be the best even if you can't be the best, you will be among the betters.
Jeannette Walls (Author)|Most times when folks ask for advice, they already know what they should do. They just want to hear it from someone else.
Grace Draven, Radiance|Like to hear a vampire folk tale?" Sarasti asked."Vampires have folk tales?"He took it for a yes. "A laser is assigned to find the darkness. Since it lives in a room without doors, or windows, or any other source of light, it thinks this will be easy. But everywhere it turns it sees brightness. Every wall, every piece of furniture it points at is brightly lit. Eventually it concludes there is no darkness, that light is everywhere.
Shane Eric Mathias, The Happiness Tree: Grow Your Happiness by Cultivating a Healthy, Creative and Purposeful Life|We must endeavor to be whole, whether in or out of a relationship, basing happiness on our own internal resources rather than relying on someone else to full the perceived gaps in our lives.
James Altucher|The more times I was turned down, the more I believed I was getting closer to making it. A lot of people in Korea say that failure is the mother of success, so I believed that more times I failed, the more likely I was to succeed.
Sam Lipsyte, The Ask|Oh, do you, Milo? You’re so selfish. You don’t see the bigger picture.” “What’s the bigger picture?” “You’re still here looking for handouts. Who’s going to take care of me?” “I’m on my knees here, Mom. Not for me, for my family. For my wife. For a beautiful grandson you have totally ignored.” “He’s kind of a brat. I’ll be in his life when he gets a little impulse control.” “He’s not even four.” “I have needs. I’m tired of this child-worshipping culture. You’re just a slave to it, Milo.” “I’m only trying to be a decent dad.” “Don’t waste your time. It’s not in your genes. Besides, try making some money. That might be a good dad move. For heaven’s sake, the system’s rigged for white men and you still can’t tap in.” “You’re right, Mom. What can I say? But still, it would mean a lot to me if you made a little more of an effort with Bernie.” “Bernie schmernie. This is my decade.” “Okay, you wrinkled old spidercunt, have it your way.
Gary Shteyngart, Little Failure|I write because there is nothing as joyful as writing, even when the writing is twisted and full of hate, the self-hate that makes writing not only possible but necessary. I hate myself, I hate the people around me, but what I crave is the fulfillment of some ideal.
Victor Hugo, Les Misérables|If a person studies too much and exhausts his reflective powers, he will be confused, and will not be able to apprehend even that which had been within the power of his apprehension. For the powers of the body are all alike in this respect.
Matt Mullenweg|I was an overweight kid, and my father struggled with his weight, too. We would go for a ride on his motorcycle on Sunday morning to get doughnuts, to make pizza together, or go get ice cream. I quickly learned that food equalled love and attention.
Israelmore Ayivor|Me: I am very busy now. Can you please excuse me for few minutes?She: Oh ok. But why are you sweating all over your body?Me: I am very busy, that is why. I am dreaming extra-large dreams.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|Years ago, I read Andrew Carnegie’s metaphor "developing people is like mining gold." He shared that sometimes you must move tons of dirt to find an ounce of gold. Every one of us has dirt because we are all imperfect and fallible. However, within each of us lies a vein of gold. When you find this treasure, regardless of how small, and begin to polish it, a person will shine so brightly the dirt falls away.
Coco J. Ginger|Writers do not have the privilege of sleep. There is always a story coming alive in their heads, constantly composing. Whether they choose it or not.
Sunday Adelaja|After the Resurrection, there will be a Day of Judgment. While all will eventually be saved and inherit a kingdom of glory, those who trust in God and seek to follow His laws and ordinances will inherit lives in the eternities that are unimaginable in glory and overwhelming in majesty. That Day of Judgment will be a day of mercy and love—a day when broken hearts are healed, when tears of grief are replaced with tears of gratitude, when all will be made right.
Jonathan Lockwood Huie|The essence of life is not in the great victories and grand failures, but in the simple joys.
Michel Foucault, What is an Author?|As a result, we must entirely reverse the traditional idea of the author. We are accustomed, as we have seen earlier, to saying that the author is the genial creator of a work in which he deposits, with infinite wealth and generosity, an inexhaustible world of significations. We are used to thinking that the author is so different from all other men, and so transcendent with regard to all languages that, as soon as he speaks, meaning begins to proliferate, to proliferate indefinitely.
ابن خلدون|Time is life. It is irreversible and irreplaceable. To waste your time is to waste your life, but to master your time is to master your life and make the most of it.
|As short as life is, your decisions and actions could still make it shorter. Always think about consequences before taking actions.
Audrey Greathouse, The Neverland Wars|Why spend your whole life on the high seas looking for treasure,' Peter asked, talking to the clouds as he scaled a rope up what remained of the half-crumbled mast, 'when you could have a promised pay check in exchange for all the life you'd live between nine-and-five.
C. JoyBell C.|Our bodies have five senses: touch, smell, taste, sight, hearing. But not to be overlooked are the senses of our souls: intuition, peace, foresight, trust, empathy. The differences between people lie in their use of these senses; most people don't know anything about the inner senses while a few people rely on them just as they rely on their physical senses, and in fact probably even more.
Jacqueline Rayner, Doctor Who: Magic of the Angels|Never been here before. It's like something on the top floor of a luxury high-rise casino in Atlantic City, where they put semi-retarded adults from South Philly after they've blundered into the mega jackpot" Hiro Protagonist - Snow Crash
Toni Sorenson|If you’re giving to get, all you’ll receive is disappointment. But if you’re giving to give, all you’ll receive is joy.
Bien Sufficient|a person who does not have respect for time, and does not have a sense of timing, can achieve little.
John  Adams, The Letters of John and Abigail Adams|True Islam taught me that it takes all of the religious, political, economic, psychological, and racial ingredients, or characteristics, to make the Human Family and the Human Society complete.
Daniel Smith, Monkey Mind: A Memoir of Anxiety|Meanwhile, back in the real world, my first instinct is a sort of stupid ducking motion I’ve learned from the movies, and I have the sure sense I’m going to be shot in the neck, where I feel particularly exposed and vulnerable.
William Shakespeare, Macbeth|Then the liars and swearers are fools, for there are liars and swearers enough to beat the honest men and hang up them.
Dalai Lama XIV|Many are the strange chances of the world,' said Mithrandir, 'and help oft shall come from the hands of the weak when the Wise falter.
Debbie Tosun Kilday|In my heart, poetry screams, “I exist!
Dolly Parton|It is possible for a woman to be a romantic, but also to be single and to be happy.
Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass|Your message, your ministry, your influence is built from your flaws. People relate to HUMANITY...not perfection.
John Paul II|As the family goes, so goes the nation and so goes the whole world in which we live.
Pope Francis|There was something in the way he posed a question and followed it up with a generous pause, I think, that drew me out. I had never noticed all the pauses that were missing from most people's conversations.
Scott Stabile|My fear whispered to me, I am just trying to protect you.I whispered back, I know, but I’m stronger than you think.
Margaret Atwood, The Handmaid's Tale|That's the advantage of insomnia. People who go to be early always complain that the night is too short, but for those of us who stay up all night, it can feel as long as a lifetime. You get a lot done
Thomas Jefferson|I am conscious that an equal division of property is impracticable. But the consequences of this enormous inequality [in Europe] producing so much misery to the bulk of mankind, legislators cannot invent too many devices for subdividing property,...[One] means of silently lessening the inequality of property is to exempt all from taxation below a certain point, and to tax the higher portions of property in geometrical progression as they rise.
Charles Haddon Spurgeon, Lectures to My Students|What the culture of get rich quick does to our people is the escapist mentality becomes prevalent, giving birth to the syndrome of economic refugees.
Winston S. Churchill|They want to be natural, the anti-social little beasts. They just don't realize that everyone's good depends on everyone's cooperation.
Lee Iacocca|People are the core of every business. Businesses are based on relationships, and relationships are based on people. I would go to an average restaurant run by amazing people over an outstanding restaurant run by awful people.
Shari Arison|The natives of Silicon Valley learned long ago that when you share your knowledge with someone else, one plus one usually equals three. You both learn each other's ideas, and you come up with new ones.
Antoine de Saint-Exupéry, Wind, Sand and Stars|I picked up one and then a second and then a third of these stones, finding them at about the rate of one stone to the acre. And here is where my adventure became magical, for in a striking foreshortening of time that embraced thousands of years, I had become the witness of this miserly rain from the stars. the marvel of marvels was that there on the rounded back of the planet, between this magnetic sheet and those stars, a human consciousness was present in which as in a mirror that rain could be reflected.
Gretchen Rubin|In every life story, including our own, decisions are made in haste that determine the course of eternity.
Abiodun Oyewole|My father referred to it as "the finest song ever written for fifteen fingers." He made me play it when I was getting too full of myself and felt I needed humbling. Suffice to say I practice it with fair regularity, sometimes more than once a day.
Jaimie Roberts, Deviant|Everything you love has been stolen from you, Regan. Come with me and we’ll steal it all back… together, we’ll make you whole again.” -KieronHanti
Nicholas Sparks, The Notebook|It's like looking through a microscope your whole life," he (Justin) said. "You miss the whole picture. Sometimes you need to get lost in order to discover anything.
Rollo May|Us atheist people, we believe we have to act properly and honestly for a moral principle and not because we expect an award in Paradise.
Melissa Grijalva, The Love Story That Shouldn't Have Been|There is so much more to the notes being strum from his guitar, behind everything is raw emotion, and it’s proof that he is human. That his heart beats just like mine and that sadness can infiltrate those that appear to have souls made out of stone.
Tyler James Williams|For me personally, I think I just enjoy movies about werewolves or vampires because it's not like an everyday thing. It's something you can really escape into.
César Vallejo|Aviation in air, in water and in spirit. Its laws are different in all three cases. The spirit soars the more it weighs and sinks into itself. The heavier the spirit, the higher and farther it flies.
George Bernard Shaw, Getting Married|When two people are under the influence of the most violent, most insane, most delusive, and most transient of passions, they are required to swear that they will remain in that excited, abnormal, and exhausting condition continuously until death do them part.
Chaim Potok|My goals have changed throughout my life. At one time it was winning awards, selling out concert dates, selling more albums than anyone else. Now, my goals are to see my grandchildren grown, live a long and healthy life with my family and friends and travel the world.
Charlotte Eriksson, You're Doing Just Fine|Take a shower. Wash away every trace of yesterday. Of smells. Of weary skin. Get dressed. Make coffee, windows open, the sun shining through. Hold the cup with two hands and notice that you feel the feeling of warmth.   You still feel warmth. Now sit down and get to work. Keep your mind sharp, head on, eyes on the page and if small thoughts of worries fight their ways into your consciousness: threw them off like fires in the night and keep your eyes on the track. Nothing but the task in front of you. Get off your chair in the middle of the day. Put on your shoes and take a long walk on open streets around people. Notice how they’re all walking, in a hurry, or slowly. Smiling, laughing, or eyes straight forward, hurried to get to wherever they’re going. And notice how you’re just one of them. Not more, not less. Find comfort in the way you’re just one in the crowd. Your worries: no more, no less.Go back home. Take the long way just to not pass the liquor store. Don’t buy the cigarettes. Go straight home. Take off your shoes. Wash your hands. Your face. Notice the silence. Notice your heart. It’s still beating. Still fighting. Now get back to work. Work with your mind sharp and eyes focused and if any thoughts of worries or hate or sadness creep their ways around, shake them off like a runner in the night for you own your mind, and you need to tame it. Focus. Keep it sharp on track, nothing but the task in front of you.Work until your eyes are tired and head is heavy, and keep working even after that. Then take a shower, wash off the day. Drink a glass of water. Make the room dark. Lie down and close your eyes. Notice the silence. Notice your heart. Still beating. Still fighting. You made it, after all. You made it, another day. And you can make it one more.  You’re doing just fine. You’re doing fine.I’m doing just fine.
Debasish Mridha|Peaceful is he who is living in the moment, but not in the past nor in the future.
George Sheehan|Running is a brutal and emotional sport. It's also a simple, primal sport. As humans, on a most basic level, we get hungry, we sleep, we yearn for love, we run.
Mia Castile, Something More|Home. One place is just like another, really. Maybe not. But truth is it's all just rock and dirt and people are roughly the same. I was born up there but I'm no stranger here. Have always felt at home everywhere, even in Virginia, where they hate me. Everywhere you go there's nothing but the same rock and dirt and houses and people and deer and birds. They give it all names, but I'm at home everywhere. Odd thing: unpatriotic. I was at home in England. I would be at home in the desert. In Afghanistan or far Typee. All mine, it all belongs to me. My world.
Sara  Miles, Take This Bread: A Radical Conversion|To figure out what was really happening behind the clichés, I'd learned, meant a practice of looking not at the center but at the edges of things—at the unlikeliest and weakest people, not the most apparently powerful. It meant asking lots of stupid questions, making room for inconvenient facts that didn't fit a schema, and trying to remain honest about what I didn't know.
Samuel Morse|Children are remarkable for their intelligence and ardor, for their curiosity, their intolerance of shams, the clarity and ruthlessness of their vision.
N. Kazantzakis|There was a shepherd the other day up at Findon Fair who had come from the east by Lewes with sheep, and who had in his eyes that reminiscence of horizons which makes the eyes of shepherds and of mountaineers different from the eyes of other men.
Lee Child, Never Go Back|They seek him here. They seek him there. Those Frenchies seek him everywhere. Is he in Heaven? Or is he in Hell? That damned, illusive pimpernel.
Ossie Davis|Any form of art is a form of power; it has impact, it can affect change – it can not only move us, it makes us move.
Alexander McCall Smith, Morality for Beautiful Girls|The ordinary people of Africa tended not to have room in their hearts for hatred. They were sometimes foolish, like people anywhere, but they did not bear grudges, as Mr Mandela had shown the world.
Deyth Banger|I have strange feeling, but I should continue with the fight I never should give up!
Eraldo Banovac|In monetary parlance, there are three types of people - who know how to make money from money (rich); who earn and spend (middle class); and those who don’t know either and remain poor. Their percentages vary from country to country.
Chloe Neill|I cannot take your sense of humor--and, with it, you've nothing to fear from me.
Billy Graham, Billy Graham in Quotes|Why shouldn’t we have laws forbidding pornography and obscenity? Many heroic leaders have tried, but they have stumbled over even the definition of the word “obscenity.” If we cannot agree on the length of a foot, it is because we have lost our yardstick.
Troy Community|I dressed up like a crazy pharaoh for you, man!
Steven Magee|You would be surprised at how many corporations "none of your business" applies to!
Holly Sprink, Faith Postures: Cultivating Christian Mindfulness|We can make our own plans and judge them by our narrow expectations, or we can experience life as the boundless reality of the One who created it.
Max Weber, From Max Weber: Essays in Sociology|Weber,... argues that... personal bias should not preclude the scientific ascertainment of objective historical facts.
Joan Didion|Survivors look back and see omens, messages they missed.They remember the tree that died, the gull that splattered onto the hood of the car.They live by symbols. They read meaning into the barrage of spam on the unused computer, the delete key that stops working, the imagined abandonment in the decision to replace it.
Margaret Atwood, Survival: A Thematic Guide to Canadian Literature|...the values ascribed to the Indian will depend on what the white writer feels about Nature, and America has always had mixed feelings about that. At one end of the spectrum is Thoreau, wishing to immerse himself in swamps for the positive vibrations; at the other end is Benjamin Franklin, who didn't like Nature. [p.91]
Chögyam Trungpa, Cutting Through Spiritual Materialism|We do not have to be ashamed of what we are. As sentient beings we have wonderful backgrounds. These backgrounds may not be particularly enlightened or peaceful or intelligent. Nevertheless, we have soil good enough to cultivate; we can plant anything in it.
Annie Dillard, Pilgrim at Tinker Creek|Today is the winter solstice. The planet tilts just so to its star, lists and holds circling in a fixed tension between veering and longing, and spins helpless, exalted, in and out of that fleet blazing touch. Last night Orion vaulted and spread all over the sky, pagan and lunatic, his shoulder and knee on fire, his sword three suns at the ready-for what?	 I won’t see this year again, not again so innocent; and longing wrapped round my throat like a scarf. “For the Heavenly Father desires that we should see,” says Ruysbroeck, “and that is why He is ever saying to our inmost spirit one deep unfathomable word and nothing else.” But what is the word? Is this mystery or coyness? A cast-iron bell hung from the arch of my rib cage; when I stirred, it rang, or it tolled, a long syllable pulsing ripples up my lungs and down the gritty sap inside my bones, and I couldn’t make it out; I felt the voiced vowel like a sigh or a note but I couldn’t catch the consonant that shaped it into sense.
Craig D. Lounsbrough|If I must know something in order to believe in it, what I am able to believe in will be severely limited. If I choose to believe in something in order to know it, then what I believe in can be boundless.
Michael Chabon|I had been asking the universe and God to send me a way for me to help me. Show business has been so wonderful to me, and it came in the form of that. It's just so funny how things come into your life, and if you take a chance on them, it might give you a brand new life.
Robert Walser, Oppressive Light: Selected Poems by Robert Walser|and suddenly I am washed over by a wave of happiness for it, for my little story, because it is a place, a home even, and I can go back to it from wherever I am
Israelmore Ayivor, The Great Hand Book of Quotes|I heard my teacher said "great people make history". I am not concern about "great" or "people" or "history". I am concerned about "make" and it keeps me asking the next question "how?"! They are Determined and Disciplined!
Robert Burns, Collected Poems of Robert Burns|The best laid schemes o' Mice an' Men, Gang aft agley.An' lea'e us nought but grief an' pain, For promis'
Mike Carey, The Naming of the Beasts|It was a hot, moist armpit of a night...
Jack Higgins, The Eagle Has Landed|If you make friends with yourself, you’ll never be alone.
Arundhati Roy|What I want is a sort of new political realignment on libertarian/authoritarian lines, and I want a new consensus to emerge of disaffected liberals, classical liberals, dissident minorities like gays, small-state conservatives, libertarians, people who basically want to be left alone.
Avery Flynn, Bullet Proof|Her skin glowed in dawn's soft light sneaking in through curtains, and she stretched her arms up toward the ceiling in a move that elongated everything above her waist and below his belt.
Joyce Carol Oates, Faithless|He was ugly, himself. Weird-ugly. But ugliness in a man doesn't matter, much. Ugliness in a woman is her life.
Julie Miller, KCPD Protector|Without the possibility of making mistakes, we wouldn't need to bother about making a decision.
Lester Bangs|Like almost all of Beefheart's recorded work, it was not even "ahead" of its time in 1969. Then and now, it stands outside time, trends, fads, hypes, the rise and fall of whole genres eclectic as walking Christmas trees, constituting a genre unto itself: truly, a musical Monolith if ever there was one.
Ron Jaworski|If there's one thing that's certain in business, it's uncertainty.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Lead with honesty, total integrity, compassion, patience and tolerance — toward yourself!
Gary Johnson|How does the Meadow flower its bloom unfold? Because the lovely little flower is free down to its root, and in that freedom bold.
Euginia Herlihy|Fear is the greatest enemy of humanity, it paralyses tons and tons of people around the globe.
Mary Stuart Masterson|I would like to promote the concept of a partnership of insurance companies, physicians and hospitals in deploying a basic framework for an electronic medical records system that is affordable.
John H. Arnold|War is sometimes described as long periods of boredom punctuated by short moments of excitement. History is often similar, if rather safer.
Rory Bremner|On the first day of school, you got to be real careful where you sit. You walk into the classroom and just plunk your stuff down on any old desk, and the next thing you know the teacher is saying, 'I hope you all like where you're sitting, because these are your permanent seats.'
Eli Easton, The Lion and the Crow|In retrospect, I am very nearly as sharp as I pretend to be.
Elaine Stritch|Good leaders must communicate vision clearly, creatively, and continually. However, the vision doesn't come alive until the leader models it.
Kelseyleigh Reber|When we stand up for what we believe in—for what’s right—there is always a chance that we risk the very things we fight for: our safety, our lives, our freedom. But if we stand down, the risk is definite.
Sam Yagan|We sold OkCupid to Match in January of 2011. In September of 2012, I became CEO of all of Match, which is the operating segment of IAC that contains all of the dating properties.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My life guides offer my comfort, solace, joy, love, and bliss. I gratefully accept it, as needed, for my highest good and the highest good of all life.
Prakoso Ario|God is Alien?? Think on this, it's sounds very interesting, is he....?? or he is not???
Trisha Yearwood|I'm like everybody: I gain the Christmas 10 or so, and then I try to exercise more and dial it back.
Israelmore Ayivor, Leaders' Ladder|When you are a person people can trust, they will call on upon you, love to be around you and work with you.
William Shakespeare, The Taming of the Shrew|Ram. My lord constable, the armor that I saw in your tent to-night, are those stars or suns upon it?Con. Stars, my lord.Dau. Some of them will fall to-morrow, I hope.Con. And yet my sky shall not want.Dau. That may be, for you bear a many superfluously, and ’twere more honor some were away.Con. Even as your horse bears your praises; who would trot as well, were some of your brags dismounted.Henry V, 3.7.69-78
Gwen Calvo|Sunflowers hellos from gate to gate. The hour at the square. Candy, art, books, look. A warmth given. Beauties with rain forest hair Walk by the clock tower. Sunlight of neon, the keys inside their eyes. No storms. Traffic sounds, salt air. Salt that moves the thirst and destroys all the fears.
Syed Sharukh|For me it's NOT to, It's "For"give; As Given it's NOT you "For"given
Eliezer Yudkowsky|One of chief pieces of advice I give to aspiring rationalists is "Don't try to be clever." And, "Listen to those quiet, nagging doubts." If you don't know, you don't know what you don't know, you don't know how much you don't know, and you don't know how much you needed to know.
Archibald Marwizi, Making Success Deliberate|Stop, think and use your brain! Don’t’ rush through life. Take time to reflect as you define what success means to you. Always remember you are one of a kind!
R.A.Delmonico|If i start hate her, just because of this that she betrayed me ,Then i will betray to my Love.
Christine Warren, Hard as a Rock|Calling on his inherent magic, he pictured a shape less conspicuous in the mortal realm. An instant later he stood before his companion in his new body and found himself surprisingly comfortable in the denim and cotton garments that came with it. Perhaps this confining human shape had its advantages. 	He nodded in satisfaction and looked to the woman, "Will this do?"	***	Will this do me? Now that is the question.	Wynn took in the Guardian's human form and hoped her eyes were not literally bulging out of her head, because they sure as heck felt like they were. It felt as if the usually obedient organs couldn't take in enough of the new view in their natural state and wanted to reach out and touch the gorgeous specimen of man that now stood before her.	Because... wow.
Markus Zusak, Fighting Ruben Wolfe|As we walk back, it feels like the city is engulfing us. Adrenalin still pours through our veins. Sparks flow through to our fingers. We've still been running in the mornings, but the city's different then. It's filled with hope and with bristles of winter sunshine. In the evening, it's like it dies, waiting to be born again the next morning.
André Gorz, Letter to D: A Love Story|You're 82 years old. You've shrunk six centimetres, you only weigh 45 kilos yet you're still beautiful, graceful and desirable. We've lived together now for 58 years and I love you more than ever. I once more feel a gnawing emptiness in the hollow of my chest that is only filled when your body is pressed next to mine.
Lord Byron|Step with care and great tact, and remember that Life's a Great Balancing Act.
Mirza Sharafat Hussain Beigh|When men at forward fail to achieve the goal, they describe the victory lies in defending.
Dave Barry, Dave Barry Turns Fifty|When trouble arises and things look bad, there is always one individual who perceives a solution and is willing to take command. Very often, that individual is crazy. 
Lysander Spooner, No Treason: The Constitution of No Authority|And yet we have what purports, or professes, or is claimed, to be a contract—the Constitution—made eighty years ago, by men who are now all dead, and who never had any power to bind us, but which (it is claimed) has nevertheless bound three generations of men, consisting of many millions, and which (it is claimed) will be binding upon all the millions that are to come; but which nobody ever signed, sealed, delivered, witnessed, or acknowledged; and which few persons, compared with the whole number that are claimed to be bound by it, have ever read, or even seen, or ever will read, or see.
Konstantin Tsiolkovsky|Micro satellites, about the size of a loaf of bread, are going to be going into space more and more.
Hermann Hesse, Steppenwolf|One Connection By A Spiritual WayIs To Be Emotional Connected :Petra Cecilia Maria HermansAugust 29, 2016AmenGod
Lorri Faye|The best relationships are simple. No lies, no cheating, simply two people that will always be there for each other nomatter what.
Robert Kennedy|The finest lesson I've learned with age is that all I need is a small team of comrades who inspire me, try not to judge me, and remind me when I'm judging myself.
