Deyth Banger|In life and love, there are no impossibilities.
George Bernard Shaw, Man and Superman|Your friends are all the dullest dogs I know. They are not beautiful: they are only decorated. They are not clean: they are only shaved and starched. They are not dignified: they are only fashionably dressed. They are not educated: they are only college passmen. They are not religious: they are only pewrenters. They are not moral: they are only conventional. They are not virtuous: they are only cowardly. They are not even vicious: they are only “frail.” They are not artistic: they are only lascivious. They are not prosperous: they are only rich. They are not loyal, they are only servile; not dutiful, only sheepish; not public spirited, only patriotic; not courageous, only quarrelsome; not determined, only obstinate; not masterful, only domineering; not self-controlled, only obtuse; not self-respecting, only vain; not kind, only sentimental; not social, only gregarious; not considerate, only polite; not intelligent, only opinionated; not progressive, only factious; not imaginative, only superstitious; not just, only vindictive; not generous, only propitiatory; not disciplined, only cowed; and not truthful at all: liars every one of them, to the very backbone of their souls.
Alon Calinao Dy, Best Love Poems Collection|Love has no time constraints.There is no time frame for when a person can fall in love with another,it just happens.It's spontaneous, unpredictable, it's timeless.
Benigno Aquino III|Vine is where 'Don't' started popping off. A lot of famous Viners used the song, and that was crazy because I had never been a part of something like that. I drank champagne for the first time when it got 100,000 plays.
Cassandra Clare, City of Fallen Angels|Training?'Clary echoed."But we trained yesterday.""Some of us have to train everyday,Clary."Jace didnt sound angry,but there was a harshness to his tone,and Clary flushed."Ill see you later,"he added without looking at her,and practically flung himself toward the door.As it shut behind him,Clary reached up and angerily yanked the pins out of her hair.It cascaded in tangles down around her shoulders."Clary,"Luke said gently.He stood up."What are you doing?""My hair."She yanked the last pin,hard.Her eyes were shining,and simon could tell she was forcibly wiling herself not to cry."I dont want to wear it like this.It looks stupid."'No,it dosent'Luke said
John Bytheway|you cannot find happiness, outside the plan of happiness!
Arnaud Saint-Paul, The Human Project|Playing along in the yard, The blue sky sparkles against the earthly green,Creating such harmony!A pond, nearby.Untroubled waters mirrors the ether's dreams.A grand echo of my Divine Heart!I am One
Bear Grylls|An unexamined faith is not worth having, for fundamentalism and uncritical certitude entail the rejection of one of the great human gifts: that of free will, of the liberty to make up our own minds based on evidence and tradition and reason.
Aliette de Bodard, Servant of the Underworld|A loud, purposeful knock on the front door froze him in place with his fist over the fabric. “Hey, dude, it’s me. I brought you all four Bloodsport movies. Open up!” Jason’s voice filtered past the front door, and he and Violet flew apart like teenagers at a party raid. No way. This wasn’t happening. He had not just gotten cock-blocked by his best friend and partner, AKA the only living relative of the woman he’d very nearly stripped naked in his front hallway.
Salman Rushdie, Two Years Eight Months and Twenty-Eight Nights|When did it start? Easy. Where it always does, at the beginnin.
Douglas Adams, The Hitchhiker's Guide to the Galaxy|Water was something he loved, something he respected. He understood its beauty and its dangers. He talked about swimming as if it were a way of life.
Charles Bukowski, Ham on Rye|There was no sense to life, to the structure of things. D.H. Lawrence had known that. You needed love, but not the kind of love most people used and were used up by. Old D.H. had known something. His buddy Huxley was just an intellectual fidget, but what a marvelous one. Better than G.B. Shaw with that hard keel of a mind always scraping bottom, his labored wit finally only a task, a burden on himself, preventing him from really feeling anything, his brilliant speech finally a bore, scraping the mind and the sensibilities. It was good to read them all though. It made you realize that thoughts and words could be fascinating, if finally useless.
Laura Esquivel|She said that each of us is born with a box of matches inside us but we can't strike them all by ourselves; just as in the experiment, we need oxygen and a candle to help. In this case, the oxygen, for example, would come from the breath of the person you love; the candle could be any kind of food, music, caress, words, or sound that engenders the explosion that lights one of the matches. For a moment we are dazzled by an intense emotion. A pleasant warmth grows within us, fading slowly as time goes by, until a new explosion comes along to revive it. Each person has to discover what will set off those explosions in order to live, since the combustion that occurs when one of them is ignited is what nourishes the soul. That fire, in short, is its food. If one doesn't find out in time what will set off those explosions, the box of matches dampens, and not a single match will ever be lighted. If that happens, the soul flees from the body and goes to wander among the deepest shades, trying in vain to find food to nourish itself, unaware that only the body it left behind, cold, and defenseless, is capable of providing that food. That's why it's important to keep your distance from people who have frigid breath. Just their presence can put out the most intense fire, with results we're familiar with. If we stay a good distance away from those people, it's easier to protect ourselves from being extinguished.
Jay London|It's the fashion, I tell you: big, tall women going out with tiny, tiny men.
Gary Taubes|It was no secret joke that brought the smile and the sparkle in his eye, it was physics.
Jenny Han, P.S. I Still Love You|It's the truth." Her voice was barely more than breath."I believe you." He was gently kissing his way along her jaw. "You came all this way to bring me a photo.""Yes." She said. "Well, I can..this morning..here bring it."He raised his head, "What?"She glared at him, "I can't talk when you're doing that."He grinned, dimples appearing. "Sorry. Say it again.
William Gurnall, The Christian in Complete Armour: Daily Readings in Spiritual Warfare|Weight causes things on earth to fall--to remain grounded. What if the weight of sin holds the same purpose as physical weight? When I curl up on my sofa with God and his Word, that feeling that makes me want to bold should be the feeling that keeps me there with him. It's the weight of my sin pushing me down from the high and lofty places where my pride would rather keep me.
John Gregory Brown, A Thousand Miles from Nowhere|Maybe there wasn't, after all, a clear motivation for any of the things that people did. Maybe they just did them for no reason at all or because of stupidity or selfishness or cowardice or anger or for reasons that made no rational sense - because the clouds happened to be a particularly gloomy shade of gray that day, because the barking of an old dog chained to a sycamore tree just happened to sound exactly like the crunch of soldiers' boots on gravel or the hum of bees like an engine in the head driving you mad.
Kameron Hurley, The Geek Feminist Revolution|I was limited by stories that came before mine.We are so often limited by our own expectations of stories, by the stories that came before, by the heroes who came before.… How is it we can bear to live with ourselves, as readers and storytellers, if we swallow those limitations without questioning them?
Martin Heidegger|In provisionally characterizing the object which serves as the theme of our investigation (the Being of entities, or the meaning of Being in general), it seems that we have also delineated the method to be employed. The task of ontology is to explain Being itself and to make the Being of entities stand out in full relief. And the method of ontology remains questionable in the highest degree as long as we merely consult those ontologies which have come down to us historically, or other essays of that character. Since the term "ontology" is used in this investigation in a sense which is formally broad, any attempt to clarify the method of ontology by tracing its history is automatically ruled out. When, moreover, we use the term "ontology," we are not talking about some definite philosophical discipline standing in interconnection with the others. Here one does not have to measure up to the tasks of some discipline that has been presented beforehand; on the contrary, only in terms of the objective necessities of definite questions and the kind of treatment which the 'things themselves' require, can one develop such a discipline. With the question of the meaning of Being, our investigation comes up against the fundamental question of philosophy. This is one that must be treated *phenomenologically*. Thus our treatise does not subscribe to a 'standpoint' or represent any special 'direction'; for phenomenology is nothing of either sort, nor can it become so as long as it understands itself. The expression 'phenomenology' signifies primarily a *methodological conception*. This expression does not characterize the what of the objects of philosophical research as subject-matter, but rather the *how* of that research. The more genuinely a methodological concept is worked out and the more comprehensively it determines the principles on which a science is to be conducted, all the more primordially is it rooted in the way we come to terms with the things themselves, and the farther is it removed from what we call "technical devices," though there are many such devices even in the theoretical disciplines. Thus the term 'phenomenology' expresses a maxim which can be formulated as 'To the things themselves!' It is opposed to all free-floating constructions and accidental findings; it is opposed to taking over any conceptions which only seem to have been demonstrated; it is opposed to those pseudo-questions which parade themselves as 'problems', often for generations at a time. Yet this maxim, one may rejoin, is abundantly self-evident, and it expresses, moreover, the underlying principle of any scientific knowledge whatsoever. Why should anything so self-evident be taken up explicitly in giving a title to a branch of research? In point of fact, the issue here is a kind of 'self-evidence' which we should like to bring closer to us, so far as it is important to do so in casting light upon the procedure of our treatise. We shall expound only the preliminary conception [Vorbegriff] of phenomenology. This expression has two components: "phenomenon" and "logos." Both of these go back to terms from the Greek: φαινόμενον and λόγος. Taken superficially, the term "phenomenology" is formed like "theology," "biology," "sociology"―names which may be translated as "science of God," "science of life," "science of society." This would make phenomenology the *science of phenomena*. We shall set forth the preliminary conception of phenomenology by characterizing what one has in mind in the term's two components, 'phenomenon' and 'logos', and by establishing the meaning of the name in which these are *put together*. The history of the word itself, which presumably arose in the Wolffian school, is here of no significance."―from_Being and Time_. Translated by John Macquarrie & Edward Robinson, pp. 49-51
Nidhie Sharma|Sitting next to Tilo, breathing next to her, he felt like an empty house whose locked windows and doors were creaking open a little, to air the ghosts trapped inside it.
Paulo Coelho, The Alchemist|The secret of happiness is to see all the marvels of the world, and never to forget the drops of oil on the spoon.
A.E. Samaan|Fuck socialism!No, really..... fuck socialism. Socialism sucks!
Flannery O'Connor, Mystery and Manners: Occasional Prose|The writer who position is Christian, and probably also the writer whose position is not, will begin to wonder at this point if there could not be some ugly correlation between our unparalleled prosperity and the stridency of these demands for a literature that shows us the joy of life. He may at least be permitted to ask if these screams for joy would be quite so piercing if joy were really more abundant in our prosperous society.
Michelle Dockery|I didn't cry much after I was 35, but staggered stony-faced into middle age, a handkerchief still in my bag just in case.
Debasish Mridha|To realize your imagination, go with trust in the direction of your destination.
John Cusack|In India, by and large, women are not educated enough to be bread winners and, within the moorings of traditional cultures, do not have the courage and the capacity to leave the matrimonial home. Given the inequality prevalent in family structures, the woman's right to opt out is suicidal.
Florence King, Confessions of a Failed Southern Lady|If any of us had heard the word "feminist" we would have thought it meant a girl who wore too much makeup, but we were, without knowing it, feminists ourselves, bound together by the freemasonry that exists among intelligent women who know they are intelligent. It is the only kind of female bonding that works, which is why most men do not like intelligent women. They don't mind one female brain if they can enjoy it privately; it's the idea of two or more on the loose that upsets them. The girls in the college-bound group might not have been friends in every case--Sharon Cohen and I gave each other willies--but our instincts told us that we had the same enemies.
Ray Bradbury, Fahrenheit 451|Only if the third necessary thing could be given us. Number one, as I said: quality of information. Number two: leisure to digest it. And number three: the right to carry out actions based on what we learn from the interaction of the first two.
Geraldine Brooks, The Secret Chord|The common soldiers did not blame him for his excessive grief. They knew him. They knew his flaws. Indeed, I think they loved him all the more because he was flawed, as they were, and did not hide his passionate, blemished nature.
Nicholaus Patnaude, First Aide Medicine|The world was alive, the sky descending; our times were lullabies and sad goodbyes.
Terence McKenna, True Hallucinations|Quantum theory tells us, Mr. Thomas, that every point in the universe is intimately connected to every other point, regardless of apparent distance. In some mysterious way, any point on a planet in a distant galaxy is as close to me as you are.
Philip Zaleski, The Fellowship: The Literary Lives of the Inklings: J.R.R. Tolkien, C.S. Lewis, Owen Barfield, Charles Williams|Gankis lifted an arm to point at the distant shale cliffs. "And in the face of it there were thousands of little holes, little what-you-call-'ems...""Alcoves," Kennit supplied in an almost dreamy voice. "I call them alcoves, Gankis. As would you, if you could speak your own mother tongue.
Jiulio Consiglio|If you don't want a man unhappy politically, don't give him two sides to a question to worry him; give him one. Better yet, give him none... Give the people contests they win by remembering the words to more popular songs or the names of state capitals or how much corn Iowa grew last year. Cram them full of non-combustible data, chock them so damned full of ‘facts’ they feel stuffed, but absolutely ‘brilliant’ with information. Then they’ll feel they’re thinking, they’ll get a sense of motion without moving. And they’ll be happy, because facts of that sort don’t change. Don’t give them any slippery stuff like philosophy or sociology to tie things up with. That way lies melancholy.
Reginald Crundall Punnett, Mimicry in Butterflies|It takes a week to write a book, but it takes years to write a good one.
Graham Swift, Waterland|In the book of Alma is a story that has fascinated e since I first read it. it is about a very colorful character named Moroni--not to be confused with the last survivor of the Nephites, who was also named Moroni. This man was a brilliant military commander, and he rose to be supreme commander of all the Nephite forces at the age of twenty-five. For the next fourteen years he was off to the wars continuously except for two very short periods of peace during which he worked feverishly at reinforcing the Nephite defenses. When peace finally came, he was thirty-nine years old, and the story goes that at the age of forty-three he died. Sometime before this he had given the chief command of the armies of the Nephites to his son Moronihah. Now, if he had a son, he had a wife. I've often wondered where she was and how she fared during those fourteen years of almost continuous warfare, and how she felt to have him die so soon after coming home. I am sure there are many, many stories of patience and sacrifice that have never been told. We each do our part, and we each have our story.
Steven Kotler, A Small Furry Prayer: Dog Rescue and the Meaning of Life|Joyful, joyful, joyful,as only dogs know how to be happywith only the autonomyof their shameless spirit.
Steven Chopade|A good Christian, never take advantage of other people
Nenia Campbell, Tantalized|He imagined that he was looking for her and couldn't find her anywhere, that the two of them were lost on a vast ship, sleep is a skilled magician, it changes the proportions of things, the distances between them, it separates people and they're lying next to each other, brings them together and they can barely see one another, the woman is sleeping only a few yards away from him and he cannot reach her, yet it's so very easy to go from port to starboard.
Jonathan Renshaw, Dawn of Wonder|Go Slow to Go Fast in Growing a Stronger Bond With Others: When you see someone's interest rise in the conversation, you have a glimpse of the hook that can best connect you together. Ask follow-up questions, directly related to what that person just said. If you do just this much, recent research shows you are among the five percent of Americans in conversation. In so doing, you accomplish two things. You've increased their openness and warmth toward you, because you've demonstrated you care. And you've had a closer look at the hook that most matters to them in the conversation. Now you can speak to their hottest interest, in a way that can serve you both.
Mamoru Oshii|The paradoxical situation with a vast number of people today is that they are half asleep when awake, and half awake when asleep, or when they want to sleep.
Edward Abbey, Postcards from Ed: Dispatches and Salvos from an American Iconoclast|The novel should tell the truth, as I see the truth, or as the novelist persuades me to see it. And one more demand: I expect the novelist to aspire to improve the world. ... As a novelist, I want to be more than one more dog barking at the other dogs barking at me. Not out of any foolish hope that one novelist, or all virtuous novelists in chorus, can make much of a difference for good, except in the long run, but out of the need to prevent the human world from relaxing into something worse. To maintain the tension between truth and falsity, beauty and ugliness, good and evil. ... I believe the highest duty of the serious novelist is, whatever the means or technique, to be a critic of his society, to hold society to its own ideals, or if these ideals are unworthy, to suggest better ideals.
Vijaya Gowrisankar|Smiling at me ruefully, Luka scratched the back of his head. “Yeah, I guess you can.” He sauntered toward the sliding doors. “I’ll be right outside if you need me. Call if you get dizzy.”“You’ll probably just hear a very loud thump.”He frowned at my joke. “Not funny.”“Luka?” He stopped. “Thank you for keeping an eye on me.”“Just…” He tsked. “Just don’t scare me like that again.
Evelyn Underhill, Practical Mysticism; and, Abba: Meditations on the Lord's Prayer|As the beautiful does not exist for the artist and poet alone—though these can find in it more poignant depths of meaning than other men—so the world of Reality exists for all; and all may participate in it, unite with it, according to their measure and to the strength and purity of their desire.
Adele          Rose, Awakening|How could I suddenly go from a person who had struggled to dissect an already dead mouse, to someone who was willing to murder a human being? There was no logic to it!
Alan Paton, Cry, the Beloved Country|If I know a song of Africa, of the giraffe and the African new moon lying on her back, of the plows in the fields and the sweaty faces of the coffee pickers, does Africa know a song of me? Will the air over the plain quiver with a color that I have had on, or the children invent a game in which my name is, or the full moon throw a shadow over the gravel of the drive that was like me, or will the eagles of the Ngong Hills look out for me?
Constance Friday|Trouble cannot be avoided, you either go looking for it or it will come looking for you.
Richard Matheson, Collected Stories, Vol. 1|It was a fairy tale, no fooling. It was unreality becoming real. This frightened her. Because people don't care for unreality becoming real. It pricks their well-fed minds, you see, with something like a hunger pang. They prefer the logical stuffiness of expectancy. It is only at certain times that they weaken, letting imagination in. That's the time to get them. (“The Disinheritors”)
Melissa Good, Tropical Storm|C'mon, let's get out of here. I have a future to attend to.
Pearl Zhu, Change Insight: Change as an Ongoing Capability to Fuel Digital Transformation|The future or organizations have amazing digital traits such as customer-centricity, empathy, and participation.
J.K. Rowling, Harry Potter and the Goblet of Fire|Okay. Now my skin is really prickling. I've read all the Harry Potter books, all five of them. I don't remember any half-blood prince."What's this?" Trying to sound casual, I point at the ad, "What's Harry Potter and the Half-Blood Prince?""That's the latest book," Garth the other trainee, says. "It came out ages ago."I can't help gasping. "There's a sixth Harry Potter?""There's a seventh out soon!" Diana steps forward eagerly. "And guess what happens at the end of book six-""Shh!" exclaims Nicole, the other nurse. "Don't tell her!
Henry David Thoreau, Walden|There are a thousand hacking at the branches of evil to one who is striking at the root, and it may be that he who bestows the largest amount of time and money on the needy is doing the most by his mode of life to produce that misery which he strives in vain to relieve.
Antoine de Saint-Exupéry|A chief is a man who assumes responsibility. He says 'I was beaten', he does not say 'My men were beaten.
Sun Tzu, The Art of War|If there is disturbance in the camp, the general's authority is weak. 
Ellen DeGeneres, Seriously... I'm Kidding|My point is, life is about balance. The good and the bad. The highs and the lows. The pina and the colada.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|A man woke up at midnight and wanted to smoke. Therefore he looked for some fire, for which he went to a neighbor’s house and knocked at the door. The neighbor opened the door and asked him what he wanted. The man said, I wish to smoke. Can you give me a little fire? The neighbor replied, O.M.G.! What the heck is wrong with you? You have taken so much trouble to come and wake us up at the middle of the night, while in your own hand you have a lantern! The God that human beings so keenly seek, lives within the human biology, yet they wander hitherto searching for it.
Theodore Sturgeon, Godbody|Had I been screaming, screaming, in some way? I with my life so separate and well-ordered in the company of my green things and my sky and the animals of the hillside? I shouted - it was a demand - I shouted and shook him: "Godbody!" And as usual he understood me perfectly: 'You was lonesome,' he said.
Anne Ursu, The Real Boy|Oscar did not know what he was supposed to be feeling right now, what all the adults behind him would be expecting him to feel. He did not even know what he was, in fact, feeling. Except, whatever it was, it was a lot. Too much. More than bodies could hold.
Mark Twain, A Connecticut Yankee in King Arthur's Court|To cast in my lot with Jekyll, was to die to those appetites which I had long secretly indulged and had of late begun to pamper. To cast it in with Hyde, was to die to a thousand interests and aspirations, and to become, at a blow and forever, despised and friendless. The bargain might appear unequal; but there was still another consideration in the scales; for while Jekyll would suffer smartingly in the fires of abstinence, Hyde would be not even conscious of all that he had lost. Strange as my circumstances were, the terms of this debate are as old and commonplace as man; much the same inducements and alarms cast the die for any tempted and trembling sinner; and it fell out with me, as it falls with so vast a majority of my fellows, that I chose the better part and was found wanting in the strength to keep to it.
Frederick Banting|In terms of work I've always had a Bad Attitude in that I won't work anywhere which requires me to work strict hours or follow a dress code. I don't know if that's an Asperger's thing or not, I think it's just being reasonable.
J.B. McGee, Broken|Anything worth having is never simple or easy, Gabby ....
Seth Godin|I really think that music itself, being one of the greatest possible vehicles for mass communication, should be probed to its extremes, to see how effective it can actually become, which is one of the reasons why I became also interested in presenting political points of view.
Christian D. Larson|The average person is in the habit of saying, “The older I get;”’ and he thereby calls the attention of his mind to the idea that he is getting older. In brief, he compels his mind to believe that he is getting older and older, and thereby directs the mind to produce more and more age. The true expression in this connection is, “The longer I live.” This expression calls the mind’s attention to the length of life, which will, in turn, tend to increase the power of that process in you that can prolong life. When people reach the age of sixty or seventy, they usually speak of “the rest of my days,” thus implying the idea that there are only a few more days remaining. The mind is thereby directed to finish life in a short period of time, and accordingly, all the forces of the mind will proceed to work for the speedy termination of personal existence. The correct expression is “from now on,” as, that leads thought into the future indefinitely without impressing the mind with any end whatever.
Susan C. Young, The Art of Being: 8 Ways to Optimize Your Presence & Essence for Positive Impact|I am a recovering perfectionist, and like all in recovery, I do better some days than others!
Moby|Unless you have prepared yourself to profit by your chance, the opportunity will only make you ridiculous. A great occasion is valuable to you just in proportion as you have educated yourself to make use of it.
F.T. McKinstry|Tortured Soul 101: The depth of despair one experiences during the creative process (as experienced say, in an abysmally blank page or canvas) is directly proportional to the scope and power of the work that emerges when it breaks.
Robert Jordan|The Wheel of Time turns, and Ages come and pass, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth comes again.
Samuel Butler|In life, most of us are highly skilled at suppressing action. All the improvisation teacher has to do is to reverse this skill and he creates very ‘gifted’ improvisers. Bad improvisers block action, often with a high degree of skill. Good improvisers develop action.
Debasish Mridha|Every new friend is a fresh flower with endless beauty, love, and joy.
Peter Meredith|The heart was a tyrant, like a child demanding ice cream instead of broccoli and throwing a fit to get its way.
Alice Hamilton|I don't practice, but I am still officially in paediatrics. I keep in touch with journals, and I have a very good data bank of medical information and there is a key thing for a writer knowing where to go. I know where to go to get the information that I need.
Jennifer L. Armentrout, Onyx|Don't focus on the mountain; focus instead on the mountain mover!" HS/el
Louise Hayes, Get Out of Your Mind and Into Your Life for Teens: A Guide to Living an Extraordinary Life|When people tell you that you can’t live your way, don’t believe them.
Christopher Hitchens|So, I have to know," he says, "what are you?"But just because he has to know doesn't mean I have to tell him anything.
Kristian Goldmund Aumann|Dinner-parties bore us because our imagination is absent, and reading interests us because it is keeping us company.
Marcia Gruver, Raider's Heart|Sweet talk's like salt. You can add some later, if need be, but if you pour out too much, you can't sift it out again.
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|If you were happy with all you had, then you’d grow, If the sun and moon could make you glad, then you’d know. With food on your plate and a place to sleep, be thankful and you’ll be given more to keep, Just for now, what you need for now. Feel you are worthy, you will not lack, you’ll enjoy life and love to give back, Forgiving others you forgive yourself, which makes more room to live and be well, Just allow. For every gift you give extends, more love and wealth the heavens send, Again and again, ten times ten, Because you are loved more than you know, your mistakes turn you into a loving soul, You’ll learn how.” Trinity, The Little People Journey into the Mystic Sea
Portia de Rossi|I never, ever, restrict food, and I will never go on a diet ever again.
Christopher Paolini, Eragon|First, let no one rule your mind or body. Take special care that your thoughts remain unfettered... . Give men your ear, but not your heart. Show respect for those in power, but don't follow them blindly. Judge with logic and reason, but comment not. Consider none your superior whatever their rank or station in life. Treat all fairly, or they will seek revenge. Be careful with your money. Hold fast to your beliefs and others will listen.
Martha Hunt|You take the healthiest diet in the world, if you gave those people vitamins, they would be twice as healthy. So vitamins are valuable.
Dean Cavanagh|It is gaol that finally reveals to me the beauty of Shakespeare, the spirit in his words, the jaw-dropping audacity of his language.
Frank Herbert, Dune|If you had to jump six or seven feet or certainly drown, it's surprising how far even older people will jump.
Paul Auster, Moon Palace|I had jumped off the edge, and then, at the very last moment, something reached out and caught me in midair. That something is what I define as love. It is the one thing that can stop a man from falling, powerful enough to negate the laws of gravity.
John Wilmot, The Complete Poems|Then, if to make your ruin more,You'll peevishly be coy,Die with the scandal of a whoreAnd never know the joy.
John Singleton|From the age of six I wanted to be an artist. At that point I meant a painter, but it turned out what I really meant was I was someone who was very interested in watching the world and making copies of it.
T.K. Naliaka|Six Mudras are to be practised daily for 10 minutes.They are Jnana,Prithvi,Apana,Prana,Dhyana and ShoonyaVayu-by which health is enhanced and diseases can be prevented.
Paul Bloom, Against Empathy: The Case for Rational Compassion|Thinking is itself, however, an adventure.
Charles Dickens, Christmas Stories|I don’t have a crush on her! Yet!”“Say no more, Dylan-whatever your middle name is-Blair!”“David.”“Whatever. By the power and duty of big brother, I command you to not have a crush on my sister, until I know you better enough!”“That’s actually quite fair.” “But I don’t have a crush on her!
David O. McKay, Secrets of a Happy Life|Each one of us is the architect of his own fate; and he is unfortunate indeed who will try to build himself without the inspiration of God, without realizing that he grows from within, not from without.
Michael Keaton|I had some interesting costumes... the one that I remember right offhand is Zorro when I was a lot younger. I was a big time Zorro fan. My mom helped me make it, and I remember having a big issue with the fact that she wouldn't let me carry around a real metal sword; it just had to be plastic.
Pat Conroy, The Prince of Tides|Together they spent their whole lives waiting for their luck to change, as though luck were some fabulous tide that would one day flood and consecrate the marshes of our island, christening us in the iridescent ointments of a charmed destiny.
Soar, Yours, poetically: Special Deluxe Edition of Selected Poems and Quotes|The source of beauty in a man, It is humbleness and grace;Equality is the pearl of a king,Justice his scepter;Salvation is his crown.
Benjamin Disraeli|Like all great travellers, I have seen more than I remember, and remember more than I have seen.
Michael Pollan, The Botany of Desire: A Plant's-Eye View of the World|It has become much harder, in the past century, to tell where the garden leaves off and pure nature begins.
Allen Ginsberg, Howl and Other Poems|There was a young man who said though, it seems that I know that I know, but what I would like to see is the I that knows me when I know that I know that I know.
Gena Showalter, Oh My Goth|What makes big boobs and perkiness so attractive to boys? I mean, really. Two round, mounds of fat and a fake smile. Yeah, winning attributes.
Kim Addonizio|. . . All artists’ work is autobiographical. Any writer’s work is a map of their psyche. You can really see what their concerns are, what their obsessions are, and what interests them.
Saru Singhal|The gold and scarlet leaves that littered the countryside in great drifts whispered and chuckled among themselves, or took experimental runs from place to place, rolling like coloured hoops among the trees. It was as if they were practising something, preparing for something, and they would discuss it excitedly in rustly voices as they crowded round the tree trunks.
