|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Michel de Montaigne, The Complete Essays|Nature a, (ce crains-je) elle mesme attaché à l'homme quelque instinct à l'inhumanité
Jill Williamson, Captives|Just make sure that the thing you're living for is worth dying for." --Levi
G.A. Aiken|I felt like he was hiding so much, that I wasn't even seeing the real Garret at all, and the more I hung out with him, the more I would learn.Also being with him did strange, twisty things to my insides. My dragon instincts did not approve; they still didn't like this human with his amazing reflexes and bright, intense eyes. The eyes of a predator. But there was another part of me that just couldn't resist.
RKSJ, A Short Affair Called Life|The great secret in salam is it brings love, tranquility and peace to the person receiving the greeting.
Avi, Sometimes I Think I Hear My Name|She swallowed and looked down at the artichoke petals piled neatly on the side of her plate. Her center certainly felt like it was melting, growing soft and wet just from the rasp of Mr. O’Connor’s voice. Why should a man already devilishly handsome also have a voice that could charm birds from the sky? It simply wasn’t fair.
Jaachynma N.E. Agu|remember when God has answered you, it no longer matters who has been against you but for Him to answer you and change your story, you have to make up your mind to disobey the wrong order, change the status quo and BE DIFFERENT!
Lailah Gifty Akita|Worry only wears the body, soul and the spirit.
Brent Reilly|These are lines from my asteroid-impact novel, Regolith:Just because there are no laws against stupidity doesn’t mean it shouldn’t be punished.I haven’t faced rejection this brutal since I was single.He smelled trouble like a fart in the shower.If this was a kiss of gratitude, then she must have been very grateful. Not since Bush and Cheney have so few spent so much so fast for so long for so little.As a nympho for mind-fucks, Lisa took to politics like a pig to mud. She began paying men compliments as if she expected a receipt. Like the Aerosmith song, his get-up-and-go just got-up-and-went. “You couldn’t beat the crap out of a dirty diaper!”He embraced his only daughter as if she was deploying to Iraq.She was hotter than a Class 4 solar flare! If sex was a weapon, then Monique possessed WMDI haven’t felt this alive since I lost my virginity.He once read that 95% of women fake organism, and the rest are gay. Beauty may be in the eyes of the beholder, but ugly is universal. Why do wives fart, but not girlfriends? Adultery is sex that is wrong, but not necessarily bad. The dinosaurs stayed drugged out, drooling like Jonas Brothers fans. Silence filled the room like tear gas. The told him a fraction of the truth and hoped it would take just a fraction of the time. Happiness is the best cosmetic, He was a whale of a catch, and there were a lot of fish in the sea eager to nibble on his bait. Cheap hookers are less buck for the bang,Men cannot fall in love with women they don’t find attractive, and women cannot fall in love with men they do not respect.During sex, men want feedback while women expect mind-reading. Cooper looked like a cow about to be tipped over.His father warned him to never do anything he couldn’t justify on Oprah. The poor are not free -- they’re just not enslaved. Only those with money are free.Sperm wasn’t something he would choose on a menu, but it still tasted better than asparagus. The crater looked alive, like Godzilla was about to leap out and mess up Tokyo. Bush follows the Bible until it gets to Jesus. When Bush talks to God, it’s prayer; when God talks to Bush, it’s policy. Cheney called the new Miss America a traitor – apparently she wished for world peace. Cheney was so unpopular that Bush almost replaced him when running for re-election, changing his campaign slogan to, ‘Ain’t Got Dick.’ Bush fought a war on poverty – and the poor lost. Bush thinks we should strengthen the dollar by making it two-ply. Hurricane Katrina got rid of so many Democratic voters that Republicans have started calling her Kathleen Harris. America and Iraq fought a war and Iran won. Bush hasn’t choked this much since his last pretzel.Some wars are unpopular; the rest are victorious. So many conservatives hate the GOP that they are thinking of changing their name to the Dixie Chicks. If Saddam had any WMD, he would have used them when we invaded. If Bush had any brains, he would have used them when we invaded. It’s hard for Bush to win hearts and minds since he has neither. In Iraq, you are a coward if you leave and a fool if you stay. Bush believes it’s not a sin to kill Muslims since they are going to Hell anyway. And, with Bush’s help, soon. In Iraq, those who make their constitution subservient to their religion are called Muslims. In America they’re called Republicans. With great power comes great responsibility – unless you’re Republican.
Harold Norse, In the Hub of the Fiery Force: Collected Poems, 1934-2003|The fiery force is nothing more than the life force as we know it. It is the flame of desire and love, of sex and beauty, of pleasure and joy as we consume and are consumed, as we burn with pleasure and burn out in time.
David Gilmour|It is an example of what films can do, how they can slip past your defenses and really break your heart.
Jonathan Franzen, Freedom|Laws, it is said, are for the protection of the people. It's unfortunate that there are no statistics on the number of lives that are clobbered yearly as a result of laws: outmoded laws; laws that found their way onto the books as a result of ignorance, hysteria or political haymaking; antilife laws; biased laws; laws that pretend that reality is fixed and nature is definable; laws that deny people the right to refuse protection. A survey such as that could keep a dozen dull sociologists out of mischief for months.
Deyth Banger|By manipulating the physical configuration of [any situation], you make it produce a subset of the infinite pattern of [possibilities]. And even if you don't know how to play [above situation], you can still play with it.
C.S. Lewis, Mere Christianity|The terrible thing, the almost impossible thing, is to hand over your whole self--all your wishes and precautions--to Christ. But it is far easier than what we are all trying to do instead. For what we are trying to do is to remain what we call "ourselves," to keep personal happiness as our great aim in life, and yet at the same time be "good.
Richard Wright, Black Boy|I went to work, but the mood of the book would not die; it lingered, coloring everything I saw, heard, did. I now felt that I knew what the white man were feeling. Merely because I had read a book that had spoken of how they lived and thought, I identified myself with that book.
Yawatta Hosby, Twisted Obsession|How dare she not give in to his "vulnerability." There was only so much rejection he could take.
Kerri Maniscalco, Hunting Prince Dracula|For there are no limits to the stars, their numbers infinite. Which is precisely why I measure my love for you by the stars. An amount too boundless to count.
Anne Fortier, The Lost Sisterhood|O, that's a brave man! He writes brave versrs, speaks brave words, swears brave oaths, and breaks them bravely,
Michael  Grant, Plague|Little Pete. He’s not exactly just Astrid’s autistic brother.” He explained briefly while Toto added a chorus of “Sam believes that’s true” remarks.“How do we get Little Pete to do anything?” Dekka asked.“The last time Little Pete felt mortal danger he made the FAYZ,” Sam said. “He needs to be in mortal danger again.”Jack and Dekka exchanged a wary look, each wondering what the other had known or guessed about Little Pete.“Little Pete?” Jack asked. “That little kid has that kind of power?”“Yes,” Sam said simply. “Next to Pete, me, Caine, all of us, we’re like . . . like popguns compared to a cannon. We don’t even know what the limits of his powers are,” Sam said. “What we do know is we can’t communicate with him very well. We can’t even guess what he’s thinking.”“Little Pete,” Dekka muttered and shook her head. “I knew he was important, I got that a long time ago. But he can do that? He has that kind of power?” She pondered for a moment, nodded, and said, “I see why you kept it secret. It’s like having a nuclear weapon in the hands of, well, a little autistic kid.
John Keats, Ode on a Grecian Urn and Other Poems|Heard melodies are sweet, but those unheard, are sweeter
Scott Hawkins, The Library at Mount Char|Are you a Buddhist?""No, I'm an asshole. But I keep trying.
Hafiz Shirazi|I have become so accustomed to think “scientifically” that I am afraid even to imagine that there may be something else beyond the outer covering of life. I feel like a man condemned to death, whose companions have been hanged and who has already become reconciled to the thought that the same fate awaits him.
Pema Chödrön, When Things Fall Apart: Heart Advice for Difficult Times|Our minds of infinite possibilities have been plowed, seeded and cultivated by every word, institution and sacred belief we hold dear, to produce a foul harvest of exclusion, apathy, brute domination and death.
Vanessa Hudgens|The only people that you really have, that I learned, are your family, because they love you no matter what.
R.A. Salvatore, Passage to Dawn|Do you love him?" Danica dared to ask, referring ro the dark elf.Catti-brie blushed, and really had no answer. Of course she loved Drizzt, but she didn't know if she loved him in the way that Danica was speaking of. Drizzt and Catti-brie had agreed to put off any such feelings, but now, with Wulfgar gone for so many years and Catti-brie approaching the age of thirty, the question was beginning to resurface."He is a handsome one," Danica remarkedm giggling like a little girl.Indeed, that's what Catti-brie felt like, reclining on the wide davenport in Danica's sitting room: a girl. It was like being a teenager again, thinking of love and of life, allowing herself to believe that her biggest problem was in trying to decide if Drizzt was handsome or not,Of course, the weight of reality for both these women was fast to intrude, fast to steal the giggles. Catti-brie had loved and lost, and Danica, with two young children of her own, had to face the possibility that her husband, unnaturally aged by the creation of the Spirit Soaring, would soon be gone.
Billy Graham, Billy Graham in Quotes|Only the Christian faith claims that its Leader died and rose again and is alive at this moment. Many gravestones carry the inscription, “Here lies . . . ,” but on Christ’s tomb are emblazoned the words, “He is not here.
Joe Hill, NOS4A2|When we learn to loosen our grip and leave our own beaten path, accepting his perfect plan, we give God the opportunity to be our navigator as he reveals the beauty of his creation.
Sherilee Gray, Revved|Christ, you have a body made for sin.
Ella Henderson|The relationship with the cast has everything to do with how a performance develops, and in a sense that while you're discovering a play in the course of rehearsal with the director, you're also discovering it with your fellow actors. We're all in it together.
Sarah J. Maas, Throne of Glass|Why this fuss about understanding women?! It's so simple. All we want is everything, no compromises.
Corinne Maier, Einstein|Daddy, I don't like military parades. I never want to be like those people who march rank and file to music - they were given brains by mistake.
Cassandra Clare, City of Fallen Angels|I’ll tell them,” she said. “I’ll tell them it was my fault.”He looked at her, gold eyes incredulous. “You can’t lie to them.”“I’m not. I brought you back,” she said. “You were dead, and I brought you back. I upset the balance, not you. I opened the door for Lilith and her stupid ritual. I could have asked for anything, and I asked for you.” She tightened her grip on his shirt, her fingers white with cold and pressure. “And I would do it again. I love you, Jace Wayland—Herondale—Lightwood—whatever you want to call yourself. I don’t care. I love you and I wil always love you, and pretending it could be any other way is just a waste of time.
Alison McGhee, All Rivers Flow To The Sea|Blessed is the man who, having nothing to say, abstains from giving us wordy evidence of the fact.
Debasish Mridha|Go slow, my life, go slow. Let me enjoy the beauty of silence, serenity, and solitude.
Karel Čapek, War with the Newts|,It must be pretty awful for a white man to learn that one of the things wrong with this society is that it is not based on dollars directly or alone, but dollars denied men who are black so dollars can go into the pockets of men who are white. It must make white men ponder a kind of weakness that will make them deny work to black men so that work can be done by men who are white.
Karl Barth, Evangelical Theology: An Introduction|The author says that theologian operates with windows open to the interest of the world, but also with a skylight that allows full awareness of prayer.
Mary Frances Berry, Five Dollars and a Pork Chop Sandwich: Vote Buying and the Corruption of Democracy|Public disinterest in punishing illegal vote buying means that local prosecutors rarely pursue charges against their fellow elected colleagues....Yet the inclination no matter how small, to blame the most vulnerable citizens for fraud is misdirected.....Any outrage over fraud should be reserved for the candidates who buy their votes, neglect the issues that concern the poor, and studiously refuse to implement policies that could help them.
Anthony Trollope, Framley Parsonage|The only way I could describe what kissing him felt like was, like the last day of school, knowing that months of freedom and sunshine lay before you, the feeling that you could do anything you wanted and time stretched out in endless possibilities.
Suzi Quatro|We should tell our kids to just have fun, participate and not get bent on winning or losing. But every coach, when they say that, they say it tongue in cheek, 'Don't worry about winning': If you win I'll get you ice cream, but if you lose I'm going to pout in the car.
Siri Hustvedt, The Blindfold|Do you know that I can't remember her face? Try as I may, it will not be conjured. I can tell you what she looked like; I can recite a description of her features, part by part, but I cannot evoke the whole face.''Don't you have a photograph?''Photographs!' He spat out the word. 'I'm talking about true recollection - seeing the face.
the prophet Muḥammad|All men are created equal, it is only men themselves who place themselves above equality. 
Joseph Priestley|London has such an unbelievable respect for theater, where L.A. does not. You go to a play here, and the dude next to you is sleeping. In London, if you're not in your seat when it starts, they lock the door. In Los Angeles, you can stroll into school late with a cup of coffee. In London, you get your butt to class on time.
