Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Peter Singer|What one generation finds ridiculous, the next accepts; and the third shudders when it looks back on what the first did.
Jean Piaget|Praise God, from whom all blessings flow! Praise Him, all creatures here below! Praise Him above, ye heavenly host! Praise Father, Son, and Holy Ghost!
Muhammad Ali Jinnah|Let love flow so that it cleanses the world. Then man can live in peace, instead of the state of turmoil he has created through his past ways of life, with all those material interests and earthly ambitions.
John Marmysz, The Path of Philosophy: Truth, Wonder, and Distress|Despite its successes, in the end, philosophical thinking always falls short of its real goal. It involves both the wonder of aspiring toward the Truth and the distress of falling short of that Truth. In this way, philosophy can be characterized as wondrous distress.
Don Young|I don't know what kind of courage it took thousands of years ago, but I know how courageous women need to be today.
John le Carre|Novelists are not equipped to make a movie, in my opinion. They make their own movie when they write: they're casting, they're dressing the scene, they're working out where the energy of the scene is coming from and they're also relying tremendously on the creative imagination of the reader.
Cheryl Julia Lee, We Were Always Eating Expired Things|All foreign food is doomed to be consumed in India not so much by Indians as by a voracious Indian sensibility, which demands infinite versions of Indian food, and is unmoved by difference.
Keysha Jade, Intoxicated stained tears|I went from this great depression to waking up next too the love of my life; the same man who silently gave me something to hold onto for nearly four years. That isn't even comprehendible but it is so beautiful and I am so proud to be his woman, fortress of strength and care. I couldn't walk away from that even if you paid me.
Elizabeth Chandler|She had been nothing but a beloved bauble passed from a mother to a son, a decoration of vanity, devoid of identity.
Angelos Michalopoulos, The man who has only one truth in him|In order to faster become the person I wanted to, I decided to deceive my own dreams.
William Tecumseh Sherman|The beauty, the poetry of the fear in their eyes. I didn't mind going to jail for, what, five, six hours? It was absolutely worth it.
Shaila Catherine, Wisdom Wide and Deep: A Practical Handbook for Mastering Jhana and Vipassana|Every day, whatever you do, you trade a day of your life for it.
N.G. Pomyalovsky, Seminary Sketches|In matters of conscience and basic convictions it is unlawful and pernicious for anyone to forcibly intrude upon another's beliefs; therefore, because I am a man of rational convictions, I will not go out and demolish churches, drown monks, or rip down icons from my friends' walls because in so doing I will not spread my convictions; human beings must be educated, not coerced, I am not the enemy, I am not the tyrant of the conscience of true believers.
Marie Guillaume, Mr. Wolf V. the Three Pigs: Mr. Wolf Goes to Court|The doctors agreed: He was going crazy...they didn't think it had anything to do with the war. They were sure Billy was going to pieces because his father had thrown him into the deep end of the Y.M.C.A swimming pool when he was a little boy, and had then taken him to the rim of the Grand Canyon.
David W. Jones, For the Love of Sophia: Wisdom Stories from Around the World and Across the Ages|Body tension will always be present if our good feeing is just ordinary, self-centered happiness. Joy has no tension in it, because joy accepts whatever is as it is.
Mary Pickford|A chief is a man who assumes responsibility. He does not say "My men were beaten " he says  "I was beaten."
Jonathan Safran Foer, Everything Is Illuminated|From space, astronauts can see people making love as a tiny speck of light. Not light, exactly, but a glow that could be confused for light - a coital radiance that takes generations to pour like honey through the darkness to the astronaut's eyes.In about one and a half centuries - after the lovers who made the glow will have long since been laid permanently on their backs - the metropolitan cities will be seen from space. They will glow all year. Smaller cities will also be seen, but with great difficulty. Towns will be virtually impossible to spot. Individual couples invisible.
Richelle Mead, Spirit Bound|We're not dating," Alec said again."Oh?" Magnus said. "So you're just that friendly with everybody, is that it?
Scott Stabile|It only hurts us to love when we do so with expectation. And that’s not really love, anyway. Love has no expectations, no qualifiers, no conditions. Love is pure, untouched by our mind’s demands, untainted by our desperation and fear. Love can only be beautiful. It can only be divine. No, love doesn’t hurt, not when it’s real. Love empowers. It strengthens. It reminds us who we really are and why we’re really here. Love, more than anything else in this entire world, heals us.
Oksana Rus|Just take my hand, lead, dance with me...and I will simply follow the blueness of the water, the white waves rolling free...where the earth beneath my feet and stars make my heart whole again...in long and priceless moments of shared solitude...
Anna B. Doe, Lost & Found|I want more from life. I want to travel, see the world, and meet different kinds of people. I don’t want to stay locked in a small country, living my life halfheartedly the way society expects me to live it. I want to experience things and live to the fullest so I won’t have any regrets. I want more, so much more than they do, and they simply can’t understand it.
Peter Matthiessen, The Snow Leopard|MYSTERIES, YES Truly, we live with mysteries too marvelous to be understood. How grass can be nourishing in the mouths of the lambs. How rivers and stones are forever in allegiance with gravity while we ourselves dream of rising. How two hands touch and the bonds will never be broken. How people come, from delight or the scars of damage, to the comfort of a poem. Let me keep my distance, always, from those who think they have the answers. Let me keep company always with those who say "Look!" and laugh in astonishment, and bow their heads.
Sam Kinison|I eat breakfast pretty much 'round the clock - muffins in the morning, scones for lunch, cereal at night - which may be odd but is also oddly satisfying, if only because the choice is my own.
Erin Morgenstern, The Night Circus|A changeableness, too, as if beneath my visible face there was another, having second thoughts.
Kiera Van Gelder, The Buddha and the Borderline: My Recovery from Borderline Personality Disorder through Dialectical Behavior Therapy, Buddhism, and Online Dating|We need this help from the outside because we don't know how to to do this for ourselves. We start with a deep deficit—a chasm really—when it comes to understanding and being tolerant of ourselves, and that's even before we go forth to do battle with the rest of the world. As soon as someone judges, criticizes, dismisses, or ignores, the cycle of pain and reactivity ramps up, compounded by shame, remorse, and rejection. The act of validation, simply saying, 'I can see things from your perspective,' can short-circuit that emotional detour.
Moutasem Algharati|But he was a perfect gentleman, Aunt Amelia. He did not even try to kiss me, though he wanted to. ... You always tell me I must be receptive to broadening experiences. That would have been a broadening experience. And, from what I have observed, a very enjoyable one.
Rick Riordan, The Demigod Files|Laistry....I can't even say that. What would you call them in English?""Canadians.
Chaz Thompson, STAIRWAY2 HEAVEN|Listen: Common sense doesn't mean what it used to mean."-Matthias Chalmers, STAIRWAY2 HEAVEN
Dennis Chavez|He belonged to that army known as invincible in peace, invisible in war.
Jennifer Sodini|The glass is neither half empty, nor half full. The glass is just a glass and it's content can perpetually change with your perception.
Tom Althouse, The Frowny Face Cow|Do you think dogs enjoy fucking? Or is it something so primal, so intrinsically necessary that it just happens, just occurs? Do you think animals can fall in love? I let you fuck me from behind almost every single night, always wanting to be kissed, but still, I refuse to roll over.
F.C. Malby, Take Me to the Castle|As people's hopes soared, Jana felt a tinge of fear.
Michelle Alexander, The New Jim Crow: Mass Incarceration in the Age of Colorblindness|You can beat me in the rat race, but remember u still remain a rat.
Kevin Powers, The Yellow Birds|It amazed Forrest that so many men seemed to wake up in the morning needing some kind of beating or another, men saying and doing fantastic things for the sake of getting another man to smash his face.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Energy drinks like Red Bull may give you wings for the moment, but in time it takes away your basic physical and mental wellness and leads to disastrous psychiatric and physiological conditions.
Mark Billingham|I love sci-fi because it leads in the imagination, and I always say it has the most intelligent fans in the world.
Louise Penny, A Rule Against Murder|All Armand’s life Honoré had lived in light. Unchallenged….Armand put out his hand, and touched the door. The last room, the last door [in the longhouse]. The last territory to explore didn't hold monstrous hate or bitterness or rancid resentments. It held love. Blinding, beautiful love.
Keith Richards|My father and I had a good relationship, it was very relaxed. He had a lot of humour. He looked a little bit like me, although he had no beard. He had the appearance of a very elegant British-looking man.
Greta Garbo|When asked to contribute ten dollars to a lawyer's funeral  I said: "Here's fifty. Bury five of them."
Pope Benedict XVI|Art, it seems to me, doesn't need freedom so much as it needs courage and love - some would call it 'soul' or 'Eros.'
Tina Fey, Bossypants|So what we are right now is a pair of dickweeds in a hotel room in Sydney. My life is royally fucked up right now and from where I’m sitting, your life is even bloody worse.
J. Sterling, Seeing Stars| 'Why what? Why do I want to make love to you?' He continues with a smile when I bob a nod. 'Because you're irresistibly beautiful and crazy sexy and I know when we get it right, we'll make the planets align.' 
Prince Akwarandu|In weeks that followed, I refined this vision until it was very specific. I was going to go for the Mr. Universe title; I was going to break records in power lifting; I was going to Hollywood; I was going to be like Reg Park. The vision became so clear in my mind that I felt like it had to happen. There was no alternative; it was this or nothing. My mother noticed right away that something was different. I was coming home with a big smile. I told her that I was training, and she could see I found joy in becoming stronger.
Stephen Richards, Cosmic Ordering: You can be successful|With Cosmic Ordering it’s not only your wealth that grows, your mind does too!
Catherynne M. Valente, Six-Gun Snow White|Thomas had a younger sister, Ester, who was a facsimile of the womanizer brother, who had behaviors that mirrored her brother’s treatment of women, for she treated men the same way, for the same reasons. The younger sister had raised her sons with a hurtful echo in their minds that said ‘men are no good’, and because they heard it so much from their mother’s mouth, I feared that they would one day believe it to be true.
Rachel Vincent, Rogue|Screw this. He’d blown his shot at nice-and-easy, which only left quick-and-brutal—my favorite way to play.
Thich Nhat Hanh, No Mud, No Lotus: The Art of Transforming Suffering|Religion of Blue CircleTo bring and give a lesson,is to leave the last lesson not pronounced.Amen, Petra Cecilia Maria HermansAugust 29, 2016AmenGod
Aleksandra Layland|If we go to war, it must only be with right on our side.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Smiling reduces blood pressure by lowering the stress-inducing hormones, such as adrenaline and cortisol. As my mother, who is now in her eighties, navigates the challenges of aging, her mantra has become, “Keep moving and keep smiling.” She has observed the rapid decline of her friends who haven’t. She is striving to stay strong, happy, and vital; her desire to smile is helping her to live a healthier, more satisfying, and longer life.
Jaclyn Moriarty, The Cracks in the Kingdom|There was something in the moonlight tonight. It was stroking the stonework and spires, leaning into cracks between the cobblestones, caressing the stained-glass windows. She felt her heart lift with magic.
Michael J. Marx, Ethics & Risk Management for Christian Coaches|The Christian coach keeps ethics in perspective by aligning his principles and values with his biblical worldview, endeavoring to see things from God's point of view.
Dwyane Wade|A cute outfit can really make your day. If I wear something I look good in, my mood just goes way up.
Leo Tolstoy, War and Peace|Rostov kept thinking about that brilliant feat of his, which, to his surprise, had gained him the St. George Cross and even given him the reputation of a brave man - and there was something in it that he was unable to understand. "So they're even more afraid than we are!" he thought. "So that's all there is to so-called heroism? And did I really do it for the fatherland? And what harm had he done, with his dimple and his light blue eyes? But how frightened he was! He thought I'd kill him. Why should I kill him? My hand faltered. And they gave me the St. George Cross. I understand nothing, nothing!
Ashlee Willis, The Word Changers|Perhaps someday, when you are a father, Prince, you will understand how empty is your heart if your child is a hollow toy that you can move where you will him to be
Charles Haddon Spurgeon, Morning and Evening, Based on the English Standard Version|As you call people to submit to the Person of Christ, you can trust the Spirit of Christ to lead them to salvation.
Gertrude Stein|Right now it's only a notion, but I think I can get the money to make it into a concept, and later turn it into an idea.
Carolyn Kizer|from "Semele Recycled"But then your great voice rang out under the skiesmy name!-- and all those private namesfor the parts and places that had loved you best.And they stirred in their nest of hay and dung.The distraught old ladies chasing their lost altar,and the seers pursuing my skull, their lost employment,and the tumbling boys, who wanted the magic marbles,and the runaway groom, and the fisherman's thirteen children,set up such a clamor, with their cries of "Miracle!"that our two bodies met like a thunderclapin midday-- right at the corner of that wretched fieldwith its broken fenceposts and startled, skinny cattle.We fell in a heap on the compost heapand all our loving parts made love at once,while the bystanders cheered and prayed and hid their eyesand then went decently about their business.And here is is, moonlight again; we've bathed in the riverand are sweet and wholesome once more.We kneel side by side in the sand;we worship each other in whispers.But the inner parts remember fermenting hay,the comfortable odor of dung, the animal incense,and passion, its bloody labor,its birth and rebirth and decay.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Go outside, wherever you are, and appreciate each drop of water, each flower, each architectural work of art.
Jeanette Winterson|Fiction and poetry are doses, medicines. What they heal is the rupture reality makes on the imagination.
Lang Leav|Where is truth??Somewhere in the story... somewhere around the facts.- There should be a truth some kind of feature, if there isn't... it goes interesting how in the hell is build a story with a truth... It's pretty interesting journey!
Dean Koontz, Odd Thomas|When you call someone a sinner, make sure you have no sin in you, and if you say you are without sin, you are a righteous liar.
Howard E. Koch|Weird people follow you in the streets, you can't sit alone in a restaurant or a cafe and read a book in peace, and I think everybody values those moments of being alone.
Constance Chuks Friday|The better you become as each day goes by, the more you heap dust upon you past until you completely bury it. No matter how obnoxious it was
Sigmund Freud, The Interpretation of Dreams|Our memory has no guarantees at all, and yet we bow more often than is objectively justified to the compulsion to believe what it says.
Maggie Georgiana Young|The idea of giving a man a rim job provoked the squeamishness I felt at thirteen when I accidentally stumbled upon my first porn, Women Who Love Big White Cocks. I was repulsed that a woman would put her mouth on a man’s penis. After all, that’s where he pees. I got older. I discovered my sexuality and on countless occasions, put my mouth where a boy peed. He put his mouth where I peed, put his fingers where I pooped, put where he peed where I pooped, and we swapped saliva the entire time. Men forgot that the female breasts that ignited their hard-ons fed them as infants. We didn’t realize that although the meaning changed, our “dirty places” remained the same.
Flynn Meaney, The Boy Recession|Books in the YA genre, in particular, should use proper grammar because they're more of an example to young people than adults books are.
Jenny Trout, All Souls' Night|A cool breeze stirred my hair at that moment, as the night wind began to come down from the hills, but it felt like a breath from another world.
Jane Shellenberger, Organic Gardener's Companion: Growing Vegetables in the West|There are many paths leading to a garden and many experiences awaiting those who venture in. No matter what your motive—whether to grow healthy, delicious food; spend time outdoors feeling more alive than your desk job allows; help save the planet; find relaxation, solace, or healing; meet your neighbors; get your hands in the sweet earth; or discover for yourself just how abundant and generous nature can be—a garden rarely disappoints. It’s a magnet for life in all its quirky, beautiful forms.
J.C. Reed, Beautiful Distraction|So, let’s make this a little interesting… a race. If I win, then you have to polish every saddle and strap of leather of Byron’s, including all brasses and buckles. Oh, and every one of my many pairs of boots.”“And if I win?” I asked, already aware of what I wanted.“What would you like Jack… name it?”“A kiss.”She flushed red. “Fine. Count of three- one- two….”She wouldn’t even give me that three. She was off.
Shannon Wiersbitzky, What Flowers Remember|When considering female human beings, we should ask ourselves what kind of organisms become overjoyed when presented with decapitated plants as gifts? I suppose we should consider ourselves fortunate they do not become overjoyed when presented with decapitated animals as gifts.
Assegid Habtewold, The 9 Cardinal Building Blocks: For Continued Success in Leadership|Which college?''Hmm?''Which college do you go to?'Fletcher nodded. 'Yes.''I'm sorry?''Oh,' Fletcher said, and laughed.Valkyrie's parents looked at Fletcher in near bewilderment. Fletcher looked back at them in total bewilderment. Valkyrie shook her head.
Viktor E. Frankl, Man's Search for Meaning|Happiness, cannot be pursued; it must ensue, and it only does so as the unintended side-effect of one's dedication to a cause greater than oneself or as the by-product of one's surrender to a person other than oneself.
Ayn Rand|The exquisite kindliness of her manner suggested that their relationship was of no possible consequence, that she could not pay him the tribute of hostility.
John Steinbeck, East of Eden|Equally, it does not mean that Christian beliefs cause more distortion than other ideological beliefs. This emerged with particular clarity in engaging with the opinion that Jesus did not exist. This view is demonstrably false. It is fuelled by a regrettable form of atheist prejudice, which holds all the main primary sources, and Christian people, in contempt. This is not merely worse than the American Jesus Seminar, it is no better than Christian fundamentalism. It simply has different prejudices.
Edward Gorey, Floating Worlds: The Letters of Edward Gorey & Peter F. Neumeyer|The thing is, and here we come to E. Gorey's Great Simple Theory About Art (which he has never tried to communicate to anybody else until now, so prepare for Severe Bafflement), that on the surface they are so obviously those situations that it is very difficult to see that they really are about something else entirely. This is the theory, incidentally, that anything is art, and it's the way I tell, is presumably about some certain thing, but is really always about something else, and it's no good having one without the other, because if you have the something it is boring and if you just have the something else it's irritating.
Lauren Oliver, Delirium|And there it is: Even though we’re standing in the same patch of sun-drenched pavement, we might as well be a hundred thousand miles apart.
Alexis de Tocqueville, Democracy in America|The "democratization of education" is everyone's fight, everyone's right.
Audrey Moralez|Big thoughts roam in big places. If you want to expand your thinking, expand your geography.
Meister Eckhart|Some people want to see God with their eyes as they see a cow, and to love Him as they love a cow - for the milk and cheese and profit it brings them. This is how it is with people who love God for the sake of outward wealth or inward comfort. They do not rightly love God, when they love Him for their own advantage. 
Kasie West, The Distance Between Us|Shine with all you have. When someone tries to blow you out, just take their oxygen and burn brighter.
Yusuf Al-Qaradawi, Islamic Awakening Between Rejection and Extremism|Islam and Sufism are one. Teaching that to understand Islam one must be a lover, how can one understand Islam when the heart is empty of love.
Witi Ihimaera, The Whale Rider|The satisfaction of winning/being a winner, comes with the dissatisfaction of seing losers
Lysa TerKeurst, Unglued: Making Wise Choices in the Midst of Raw Emotions|True respect comes when we fend for ourselves without the aid of anyone, and when we owned something and say, 'this is my own'! Not necessarily as a way of boasting of our abundance and grace, but having a feeling that we can use it without obstruction, or being asked to return the favor.
Ryan Holmes|In the past, Google has used teams of humans to 'read' its street address images - in essence, to render images into actionable data. But using neural network technology, the company has trained computers to extract that data automatically - and with a level of accuracy that meets or beats human operators.
Aristotle|Men acquire a particular quality by constantly acting a particular way... you become just by performing just actions, temperate by performing temperate actions, brave by performing brave actions.
kent Ian N. Cny|Chewing and barking do not make you a dog, you need the patience.
Carolyn Jewel, In the Duke's Arms|She looked over her shoulder at him, as ever, not in the least affected by him or his consequence. Not one whit. She was a lady, yes, but she would never believe herself the sort of woman who might marry a duke. “You aren’t the sentimental sort, are you?” “I’m told not.” She considered him, and he felt the curiosity behind her scrutiny of him. He had no idea what to make of that and so pushed off the wall he’d leaned against and headed for the door. She followed.
Lauren Groff|In the end, fiction is the craft of telling truth through lies.
Bo Sánchez, You Have The Power to Create Love: Take Another Step on the Simple Path to Happiness|It's about how you're like a lighthouse, always searching far into the distance. But the thing you're looking for is usually close to you and always has been. That's why you have to look within yourself to find answers instead of searching beyond.
Gregory V. Diehl, Brand Identity Breakthrough: How to Craft Your Company's Unique Story to Make Your Products Irresistible|Don’t just be everywhere, be everywhere that your clients are, where you matter most.
Charlie Chaplin|To truly laugh, you must be able to take your pain, and play with it.
Page Morgan, The Lovely and the Lost|John had been a footman nearly all of his adult life. He knew decorum and appropriate behavior for his situation. But when he glanced from one twin to another, he nearly ruined his reputation and self-respect forever with...a smile.
Seema Brain Openers|Enlightenment is not a rocket science, it is the pure awareness of something deep within you that is ageless, formless and undefinable.
Peter Prange, The Philosopher's Kiss|Writing a book is like sliding down a rainbow! Marketing it is like trudging through a field of chewed bubblegum on a hot, sticky day.
Susan Elizabeth Phillips, Fancy Pants|I thought of the one thing about home that I missed, my dad's study with its built-in, floor-to-ceiling shelves sagging with thick biographies and the black leather chair that kept me just uncomfortable enough to keep from feeling sleepy as I read.
Paulo Coelho, Adultery|See, it's not that I'm jealous of others. I just don't understand why they can be happy and I can't.
Tiffany Reisz, The Gift|I’m happy to see that we’re stopping to eat some dinner, since we didn’t actually eat lunch today. Instead we just argued, I pouted, slapped him, bojo’d him, and then I came like a freight train. I’ve had a very busy day.
Charlie Day|Nobody's perfect. They are weak, with ugly hearts, and they quickly turn to jealousy. They try to knock others down. It's so odd . . . In the world we live in, the greater a person is, the more difficult his or her life becomes.
Angelo C. Scott, The Story of Oklahoma City|And so we have this Oklahoma City, set upon a foundation so strong that it cannot be shaken. What shall you, the inheritors, do with this city? We hope that you shall make it more and more the city beautiful, more and more the city intellectual, more and more the city spiritual. For these three, beauty, mind, and spirit are the choicest diadems of life."Morituri vos salutamus!" Which, in this case, may be translated, "We, the Pioneers, salute you!
Hubert Martin|These places I traveled through, they were a lot like the people I knew. Some abodes I muddled about for a day or two, others entertained my thoughts for a year or a few. Each place and person gave me wisdom or growth, and, if I was lucky, sometimes I'd get both.
Holly Black, The Coldest Girl in Coldtown|Little mouse," a voice said through the keyhole. "Don't you know the more you wriggle, the greater the cat's delight?
Paul David Tripp|If I am seeking to get identity from you ,I will watch you too closely, listen to you too intently, and need you to fundamentally. I will ride the roller coaster of your best and worst moments and everything in between. And because I am watching you too closely, I will become acutely aware of your weaknesses and failures. I will become overly critical, frustrated, disappointed, hopeless, and angry. I will be angry not because you are a sinner but because you have failed to deliver the one thing I seek from you: identity. But none of us will ever get the well-being that comes from knowing who we are from our relationships. Instead we will be left with damaged relationships filled with hurt, frustration and anger.
Bangambiki Habyarimana|Though an angel should write, still 'tis devils must print
Simon Van Booy, Everything Beautiful Began After|Loneliness is like being the only person left alive in theuniverse, except that everyone else is still here.
Vinita Kinra|Beauty of trees is not judged by shape, size and species, then why ours?
William Shatner|I'm not for gay marriage, but I'm not for discriminating against people.
Paulo Coelho, By the River Piedra I Sat Down and Wept|The air up there in the clouds is very pure and fine, bracing and delicious. And why shouldn't it be?--it is the same the angels breathe.
Muhammad Ali|Winning is habit. Unfortunately, so is losing.
Jeff Bezos|Like all technology, social media is neutral but is best put to work in the service of building a better world.
Claude Pepper|There is an anti-aging possibility, but it has to come from within.
Marcy Dermansky, The Red Car|While I was not entirely satisfied with the circumstances of my existence, I felt like the possibility of improvement still existed. That I could make happiness happen.
Kilroy J. Oldster, Dead Toad Scrolls|An enlightened person strives to live a meaningful life, defined by their personal humility joy, passion, and profound reverence for life.
Nikki Rowe, Once a Girl, Now a Woman| There" is not your dream, "here" is.. To create it, to become it and to live in it. The journey of your triumphs and setbacks are apart of the process now,stop getting ready to get ready and start living in the essence of your movements NOW.
Ayn Rand, The Voice of Reason: Essays in Objectivist Thought|Altruism holds that man has no right to exist for his own sake, that service to others is the only moral justification of his existence, and that self-sacrifice is his highest moral duty. The political expression of altruism is collectivism or statism, which holds that man's life and work belong to the state - to society, to the group, the gang, the race, the nation - and that the state may dispose of him in any way it pleases for the sake of whatever it deems to be its own tribal, collective good.
A.J.P. Taylor|History is not another name for the past, as many people imply. It is the name for stories about the past.
Alastair Reynolds, Revelation Space|The really strange thing about this is that it was one of the Fog Facts.That is, it was not a secret. It was known. But it was not known. That is, if you asked a knowledgeable journalist, or political analyst, or a historian, they knew about it. If you yourself went and checked the record, you could find it out. But if you asked the man in the street if President Scott, who loved to have his picture taken among the troops and driving armored vehicles and aboard naval vessels, if you asked if Scott had found a way to evade service in Vietnam, they wouldn't have a clue, and, unless they were anti-Scott already, they wouldn't believe it.In the information age there is so much information that sorting and focus and giving the appropriate weight to anything have become incredibly difficult. Then some fact, or event, or factoid mysteriously captures the world's attention and there's a media frenzy. Like Clinton and Lewinsky. Like O. J. Simpson. And everybody in the world knows everything about it. On the flip side are the Fog Facts, important things that nobody seems able to focus on any more than the can focus on a single droplet in the mist. They are known, but not known.
Inshan Meahjohn|We are beings of immense potential, ability and skills. In order to realize our God given talents we need to break through the fear barrier, which through its invisible walls traps us better than any physical prison can be constructed by the hands of man. Our human will and faith can break any barriers that fear can construct.
Robert Green Ingersoll|Many a man will have the courage to die gallantly, but will not have the courage to say, or even to think, that the cause for which he is asked to die is an unworthy one.
Lionel Shriver, So Much for That|When you feel deep change in your heart, you must understand that there is a lack of an old and righteous company.
Abhijit Kar Gupta|Never stop loving yourself, for how can you truly love someone if you don't love yourself first. And never be afraid to love, for it is one of the most beautiful uglist things of this world.
Abhijit Naskar, The Islamophobic Civilization: Voyage of Acceptance|Belief is not a luxury, it is a biological necessity of the mind.
Debasish Mridha|When you give without expectation, you will always have more to give away.
Tupelo Hassman, Girlchild|This is probably the advantage of being stupid. Stupid people just do. We tend to overthink. If we could eliminate the “over” and just think, then we could do, too. Only we’d be smarter doers because we’d be thinkers.
Ilchi Lee, Change: Realizing Your Greatest Potential|O son of Kunti, the nonpermanent appearance of happiness and distress, and their disappearance in due course, are like the appearance and disappearance of winter and summer seasons. They arise from sense perception, O scion of Bharata, and one must learn to tolerate them without being disturbed.
Martin Luther King Jr., Why We Can't Wait|While the word charity connotes a single act of giving, justice speaks to right living, of aligning oneself with the world in a way that sustains rather than exploits the rest of creation.
Beatrice Fairfax, Ladies now and then|Elvira, as befitting one who represented a magazine, registered first and demanded a room and bath. She pronounced it "bawth." The clerk seemed aghast at the request. However, in that hotel, any lady got whatever she asked for. It was her unquestioned right, as a lady. But there was no bath in the hotel, nor running water for that matter. The clerk faltered out something about a nice bowl and pitcher in every room, and said he thought they could provide a foot tub. He was sorry; there was no bath. Elvira couldn't grasp the situation. She thought the clerk was stupid--a hotel without a bath was a contradiction in terms. When she explained that she wanted something for complete immersion, the clerk seemed embarrassed. At his wits' end, he suggested (blushing like fire) that the colored boy could bring up the hog scalder.
Robert Mapplethorpe|The artist's world is limitless. It can be found anywhere, far from where he lives or a few feet away. It is always on his doorstep.
Marcel Proust, In the Shadow of Young Girls in Flower|With women who do not love us, as with the "dear departed," the knowledge that there is no hope left does not prevent us from continuing to wait.
Oliver Sacks|In examining disease, we gain wisdom about anatomy and physiology and biology. In examining the person with disease, we gain wisdom about life.
J. P. Nettl, Rosa Luxemburg, Volume I|The growth of revolutionary fervour in individual participants and its spread to ever wider sections of the population must primarily be the result of struggle itself, not the distillation of thought or the prescription of correct ideology by others.
Michael Jay, Dog Water Free, A Memoir: A coming-of-age story about an improbable journey to find emotional truth|Somewhere, a rattlesnake strike makes the dance begin. Three hawks float in the light blue sky overhead. Crows caw and the sweet seduction of lavender fills my head. And she waltzes through my thoughts.
Fabrizio Moreira|When I try to be patient on my own, my patience is forced and short-lived. It is obvious to everyone that I am desperately trying to be patient.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To see time and life correctly , you must begin to access life as seconds, as minutes and as hours.
Richelle Mead, Succubus Shadows|God might work on mysterious ways, but hell worked on efficient ones.
Thomas More, Utopia|Let me speak plainly: The United States of America is and must remain a nation of openness to people of all beliefs. Our very unity has been strengthened by this pluralism. That's how we began; this is how we must always be. The ideals of our country leave no room whatsoever for intolerance, anti-Semitism, or bigotry of any kind -- none. The unique thing about America is a wall in our Constitution separating church and state. It guarantees there will never be a state religion in this land, but at the same time it makes sure that every single American is free to choose and practice his or her religious beliefs or to choose no religion at all. Their rights shall not be questioned or violated by the state.-- Remarks at the International Convention of B'nai B'rith, 6 September 1984
H.G. Wells|When younger, he had been fun-loving to the point of tedium.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|By God’s grace and mighty power, we can do great deeds.
