Jorge Luis Borges|Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
Mary-Jean Harris, Aizai the Forgotten|No, I do not believe in fate, that some spirits of the heavens weave the laws of the world to make it so. That is dogma for the foolish, for the universe is quite able to deal with such matters herself, to use her natural laws to guide matter and the spirits. Even so, souls within the world can act to naturally shift the cause of events. Magister Brennark did say that ‘Nothing happens unless we make it so.’ I believe you have made it so, Wolfdon, and how foolish it would be for us to ignore an opportunity that you yourself established, whether you knew you were doing so or not.
Lailah Gifty Akita|They have concluded that it is their duty to rush forward on their journey no matter what the weather; I, on the other hand, am for waiting for favourable wind and current. They are for risking all for God at the snap of a finger; I am for taking advantage of every opportunity to secure my life and estate. They are for holding to their ideas even though all the world would be against them; I, however, am for religion insofar as the times, conditions, and my safety allow it. They are for religion when walking in rags and abuse; I am for it when it walks in silver slippers, in sunshine, and with applause.
Ian Leslie|But all propositions of logic say the same thing. That is, nothing.
Kerry E. Wagner|Kiss me hot,heavy,wet & angry with that attitude like you do when your mouth yells it hates me but your tongue screams it can’t wait for me. Hug me, touch me, submit to me with that insatiable passion like you do when you thought you could leave but the sight of my throbbing rock hard love muscle made you too weak in the knees. Your mind is melting fast, your soul is whispering trust, your eyes are begging please and your anger has turned to lust. Let me undress your body, caress your skin and wetly massage your mind back into making love to me again. I’d rather say I’m sorry and keep my best friend than have this come to an end. Be encouraged but more importantly…be lethal with your make up love.
Cormac McCarthy, The Road|Then he just knelt in the ashes. He raised his face to the paling day. Are you there? he whispered. Will I see you at the last? Have you a neck by which to throttle you? Have you a heart? Damn you eternally have you a soul? Oh God, he whispered, Oh God.
Martin Amis|To make someone wait: the constant prerogative of all power, "age-old pastime of humanity".
Nathaniel Kahn|There is not in nature, a thing that makes man so deformed, so beastly, as doth intemperate anger.
Richard Shaull, Pedagogy of the Oppressed|Education either functions as an instrument which is used to facilitate integration of the younger generation into the logic of the present system and bring about conformity or it becomes the practice of freedom, the means by which men and women deal critically and creatively with reality and discover how to participate in the transformation of their world.
Sarah-Kate Lynch, The Wedding Bees: A Novel of Honey, Love, and Manners|French toast? Frittata?Definitely frittata.Leaving the table again, she transferred a small packet from freezer to fridge. It was salmon, home-smoked on the island and more delicious than any she had ever found elsewhere. Smoked salmon wasn't Cecily's doing, but the dried basil and thyme she took from the herb rack were. Taking a vacuum-sealed package of sun-dried tomatoes from the cupboard, she set it on the counter beside the herbs. Frittata, hot biscuits, and fruit salad. With mimosas. And coffee. That sounded right. Eaten out on the deck maybe?No, not on the deck, unless the prevailing winds turned suddenly warm.They would eat here in the kitchen, with whatever flowers the morning produced. Surely more lavender. A woman could never have enough lavender- or daylilies or astilbe, neither of which should bloom this early, but both of which had looked further along than the lavender, yesterday morning, so you never knew.
John Stuart Mill|The monsters of our childhood do not fade away, neither are they ever wholly monstrous. But neither, in my experience, do we ever reach a plane of detachment regarding our parents, however wise and old we may become. To pretend otherwise is to cheat.
Dick Cavett|I'm always trying to perfect the romantic comedy, though.
Alison Umminger|Fall in love with you? How could I fall in love with you when I loved you with every breath, every heartbeat, every lash of the fucking whip? When you invaded my dreams, my hallucinations. I can’t stop loving you, bella. I’ve tried. God help me, I’ve tried.
Roshani Chokshi, A Crown of Wishes|Surviving isn't just about cutting out your heart and burning every feeling into ash. Sometimes it means taking whatever is thrown at you, beautiful or grotesque, poisonous or blissful, and carving out your life with the pieces you're given.
Patrick Ness|There is a brightness on her face and she keeps urging me on with tilts of her head and smiles and I think how hope may be the thing that pulls you forward, may be the thing that keeps you going, but that it's dangerous, too, that it's painful and risky, that it's making a dare to the world and when has the world ever let us win a dare?
Jacinto Benavente|Sir, I did not count your glasses of wine, why should you number up my cups of tea?
Dean Koontz, Brother Odd|Life had been hard on this girl, Jacob, but she had enough courage for an army.
Friedrich Nietzsche|Art is essentially the affirmation, the blessing, and the deification of existence.
Munindra Misra, Bhagwat Gita - Its Essence| LIKING WHAT YOU DO IS PLEASURE, DOING WHAT YOU LIKE IS PASSION.
Richelle E. Goodrich, Smile Anyway|The night creeps in by subtle degrees while a show of fierce colors attracts and distracts me. I look up, suddenly aware of remote lights scattered overhead. I gasp as the last streak of fire dies on the horizon, and I comprehend it all too late. That crafty, dark night has swallowed my world whole.
Andrew Levkoff, A Mixture of Madness|What is not brought to consciousness, comes to us as fate.
Tina J. Richardson|Dry your tears, woman, the boy will be found. Nobody can do him anything…” Gradually, the tears began to dry from Etusi’s eyes, thanks to Okokpujie’s words, a mighty force that swung the entire village to action. Pg.38
Sarah Micklem, Firethorn|But that was all bravado. Already - how had it come about so quickly - desire had begotten need. A few whispered words (perhaps he didn't mean them) and I was ready to follow. It was worse to think of staying behind, to grind one day upon another. Nothing to hold me here. None to regret my leaving, save Az.
T.A. Roth, Say Something...|If we were alone, he would have thrown me up against the nearest wall, and holy hell, I would have let him.
Michael Greger|I felt that, in some ways, my novels lacked heart because of the distance between me and the subject matter. But no one wants to read a book based on good health, a happy upbringing, a long marriage.
Leo Tolstoy|If only [people] understood that every thought is both false and true! False by one-sidenedness resulting from man's inability to embrace the whole truth, and true as an expression of one fact of human endeavor.
Marley Gibson, The Awakening|It feels good to shoot your veins full of heroin too, but that doesn’t mean you should go out and become a junkie.
Karen Joy Fowler, Sarah Canary|The meaning did not precede the dream; the dream preceded the meaning. So the way to read the tale is to let the imagination carry one along. Not, above all, as a rebus to be decoded.
Peter Berg|I can't say I'm not grateful to have journalists writing about me as a genius. But I know it's not true. I'm not confused. I understand that success comes through a lot of failure and a lot of very embarrassing failure. People want to create the next Facebook, but they are too afraid to create the next Facemash.
Bertrand Russell, A History of Western Philosophy|I'm fine," Kate said. "In fact, since my last two dates were so awful, things can only get better.""Bad deduction," Jessie said. "If that were true, I'd be dating Harrison Ford by now.
Pamela Paul, My Life with Bob: Flawed Heroine Keeps Book of Books, Plot Ensues|When I come home and look back through my Book of Books I see a personal narrative I didn’t recognize at the time. I went from escaping into books to extracting things from them, from being inspired by books to trying to do things that inspired me—many of which I first encountered in stories. I went from wishing I were like a character in books to being a character in my books. I went from reading books to wrestling with them to writing them, all the while still learning from what I read.
A.J.      Smith, Growth|Bburke used to, whenever he went to the city to catch a Yankees game, throw his money around to every homeless man on the street, feeling it was the right thing to do; except one time he did that and he got to the stadium and realized he didn’t have enough money for the Bud Light tall boy he always got during the third inning. And in him he felt an unyielding rise of contempt for the himself of only hours ago, that he was something and now is something and that they aren’t the same somethings. But that the change was Barmecidal and it was just him, this moneyless and beerless man in the bleachers. Man made in God’s image, yet some men are homeless and some are beerless, and there must be this big bearded guy miles and miles in the sky who doesn’t have a home and can’t even catch a buzz.
Gro Haarlem Brundtland|It did, in Scandinavia. When I first became prime minister 15 years ago, it was a cultural shock to many Norwegians. Today, four- year-olds ask their mommies: "but can a man be prime minister?" -Fourth World Conference on Women
Søren Kierkegaard, Repetition and Philosophical Crumbs|A man who should undertake to inquire into everything for himself, could devote to each thing but little time and attention. His task would keep his mind in perpetual unrest, which would prevent him from penetrating to the depth of any truth, or of grappling his mind indissolubly to any conviction. His intellect would be at once independent and powerless. He must therefore make his choice from amongst the various objects of human belief, and he must adopt many opinions without discussion, in order to search the better into that smaller number which he sets apart for investigation. It is true that whoever receives an opinion on the word of another, does so far enslave his mind; but it is a salutary servitude which allows him to make a good use of freedom.A principle of authority must then always occur, under all circumstances, in some part or other of the moral and intellectual world. Its place is variable, but a place it necessarily has. The independence of individual minds may be greater, or it may be less: unbounded it cannot be. Thus the question is, not to know whether any intellectual authority exists in the ages of democracy, but simply where it resides and by what standard it is to be measured.
Ai Yazawa|If my tears spilled spontaneously at that moment it’s because I immediately understood that what was happening, like in a dream, was the treat you had prepared for me I felt your friendship much stronger than if you had thanked me a million times that what pleased and touched me.
Ursula K. Le Guin|If you really have talent, you know, you'll go on writing - whatever people say to you.
Charles Bukowski, Portions from a Wine-Stained Notebook: Uncollected Stories and Essays, 1944-1990|Whether I was a genius or not did not so much concern me as the fact that I simply did not want a part of anything. The animal-drive and energy of my fellow man amazed me: that a man could change tires all day long or drive an ice cream truck or run for Congress or cut into a man's guts in surgery or murder, this was all beyond me. I did not want to begin. I still don't. Any day I that I could cheat away from this system of living seemed a good victory for me.
Roxane Gay, Bad Feminist|How’s things, man?” The black man extended his hand for a handshake. Mathematical formulae were jotted on the sleeve of his shirt, right up to the elbow.“Very good,” said Peter. It had never occurred to him before that dark-skinned people didn’t have the option of jotting numbers on their skin. You learned something new about human diversity every day.
Jeannine Hall Gailey, Becoming the Villainess|Little CinderGirl, they can't understand you.You rise from the as-heap in a blazeand only then do they recognize you as their one true love.While you pray beneath your mother's tree you carrve a phoenix into your palmwth aa hazel twig and coal;every night she devours more of you.You used to believe in angels.Now you believe in the makeover;if you can't get the grime off your faceand your foot into a size six heelwho will ever bother to notice you?The kettle and the broom sear in your grasp,snap into fragments. The turtledoves sing,"There's blood within the shoe."You deserve the palace, you think, as you signalthe pigeons to attack, approve the barrel filled with red-hot nails.Its great hearth beckons, and the prince's flagrises crimson in the angry sun.He will love you for the heat you generate,for the flames you ignite around you,though he encase your tiny feet in glassto keep them from scorching the ground.
John Daniel Thieme, paulinskill hours and other poems|Everything I touch dies in my hand and the same thing's happening to you. You were vibrant when I met you, and now I've blanched the color from your cheeks and caused you nothing but pain.
William Shakespeare|I was always a dreamer, in childhood especially. People thought I was a little strange.
Viktor E. Frankl|Belief is a wise wager. Granted that faith cannot be proved, what harm will come to you if you gamble on its truth and it proves false? If you gain, you gain all; if you lose, you lose nothing. Wager, then, without hesitation, that He exists.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|I guess I just grew up thinking that when we become adults, we get to do what we love. For work, for fun, forever. I don't know where I got that from. Seems silly now.
Tadeusz Borowski, This Way for the Gas, Ladies and Gentlemen|We are laying the foundation for some new, monstrous civilization. Only now do I realize what price was paid for building the ancient civilizations. The Egyptian pyramids, the temples and Greek statues—what a hideous crime they were! How much blood must have poured on to the Roman roads, the bulwarks, and the city walls. Antiquity—the tremendous concentration camp where the slave was branded on the forehead by his master, and crucified for trying to escape! Antiquity—the conspiracy of the free men against the slaves!.... If the Germans win the war, what will the world know about us? They will erect huge buildings, highways, factories, soaring monuments. Our hands will be placed under every brick, and our backs will carry the steel rails and the slabs of concrete. They will kill off our families, our sick, our aged. They will murder our children.And we shall be forgotten, drowned out by the voices of the poets, the jurists, the philosophers, the priests. They will produce their own beauty, virtue, and truth. They will produce religion.
Kenan Malik|Authentic leadership is at the root of cultures of great innovation, engagement, outstanding client experiences, and growth.
Ashton Eaton|In third grade, I was taking tap-dance lessons, and about six weeks before the recital I wanted to quit. My mom said, 'No, you're going to stay with it.' Well, I did it, and I was bad, too! But my parents never let their kids walk away from something because it was too hard.
Mark Twain|He had discovered a great law of human action, without knowing it, namely, that, in order to make a man or a boy covet a thing, it is only necessary to make the thing difficult to attain.
Jimmy Carl Black|Music's staying power is a function of how timeless the lyrics, song and production are.
Matthew Kelty|You whispered softly in the ear of my joyous heart.You know what's on my mind, you've heard my thoughts.I closed my mouth and spoke to you in a hundred silent ways.
Colin Wilson, The Occult|The nineteenth century was the Age of Romanticism; for the first time in history, man stopped thinking of himself as an animal or a slave, and saw himself as a potential god. All of the cries of revolt against 'God' - De Sade, Byron's "Manfred", Schiller's "Robbers", Goethe's "Faust", Hoffmann's mad geniuses - are expressions of this new spirit. Is this why the 'spirits' decided to make a planned and consistent effort at 'communication'? It was the right moment. Man was beginning to understand himself.
John Eliot, Overachievement: The New Science of Working Less to Accomplish More|One always has time enough, if one will apply it well.
Edie Littlefield Sundby, The Mission Walker: I was given three months to live...|I started to walk the day I was told I was dying of cancer. I believe walking has kept me alive. I live with a constant, pressing awareness of death. Once I start to walk, I am not afraid anymore; all is well.
Epictetus|We should live, act, and say nothing to the injury of anyone. It is not only best as a matter of principle, but it is the path to peace and honor.
Evelyn Waugh, Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder|As my intimacy with his family grew, I became part of the world which he sought to escape; I became one of the bonds which held him.
Elizabeth Gilbert, Eat, Pray, Love|at points in our lives, we have to choose the hills we’re willing to die on.
Cassandra Clare, City of Bones|I should have guessed you were Jace's sister," he said. "You both have the same artistic talent."Clary paused, her foot on the lowest stair. She was taken aback. "Jace can draw?"Nah." When Alec smiled, his eyes lit like blue lamps and Clary could see what Magnus had found so captivating about him. "I was just kidding. He can't draw a straight line.
Omar Khayyám, Quatrains - Ballades|You’ve seen the world, and all you’ve seen is nothing; and everything, as well, that you have said and heard is nothing. You’ve sprinted everywhere between here and the horizon; it is nothing. And all the possessions you’ve treasured up at home are nothing.
Rachel Caine|Running at Ron, she flung them around his neck and kissed him full on the mouth. Ron threw away the fangs and broomstick he was holding and responded with such enthusiasm that he lifted Hermione off her feet.
Jim Henson, It's Not Easy Being Green: And Other Things to Consider|I think if you study--if you learn too much of what others have done, you may tend to take the same direction as everybody else.
Charles Bukowski, Betting on the Muse: Poems and Stories|(the whole world is at thethroat of the world,everybody feels angry,short-changed, cheated,everybody is despondent,disillusioned.)I welcomed shots of peace, tattered shards ofhappiness.
America Ferrera|Thankfully, we didn't stop at Malta. I think Malta was thankful, too.
Marcel Proust|Now I could appreciate the merits of a broad, poetical, powerful interpretation, or rather it was to this that those epithets were conventionally applied, but only as we give the names of Mars, Venus, Saturn to planets which have nothing mythological about them. We feel in one world, we think, we give names to things in another; between the two we can establish a certain correspondence, but not bridge the gap.
Anonymous ., The Angel Affect: The World Wide Mission|Don’t let your problems push you. Let your dreams lead you! The lens you choose to view the world determines how you feel about yourself and everything around you. Optimism attracts goodness into our lives and gives us strength to overcome obstacles. You can’t live a positive life with a negative attitude. Heaven on earth is not a place we must find, it is a choice we must make. Let every day be a love you can feel. Let every day be a dream you can touch. Let every day be a reason to live. Life is too short to be anything but positive!
Amit Kalantri|Nature has created countless number of wonders, we got a long way to go as man have created only seven wonders.
Anna Freeman, The Fair Fight|As a general rule, nine tenths of happiness may be said to rest on the state of health; when this is perfect, anything and everything may be a source of pleasure; in illness, on the other hand, nothing, no matter what its nature may be, is capable of affording any real enjoyment.
Hugh Laurie|If it's your job to eat a frog, it's best to do it first thing in the morning. And If it's your job to eat two frogs, it's best to eat the biggest one first.
Bakhtiyar Ali, I Stared at the Night of the City|Are you like, a crazy person?I’m quite sure they will say so.
Monica Johnson|On the world stage, Donald Trump will lead from strength.
Henry Miller|To be silent the whole day long, see no newspaper, hear no radio, listen to no gossip, be thoroughly and completely lazy, thoroughly and completely indifferent to the fate of the world is the finest medicine a man can give himself.
Ian Mortimer, The Time Traveller's Guide to Elizabethan England|As children', wrote Alice Raikes (Mrs. Wilson Fox) in The Times, January 22, 1932, 'we lived in Onslow Square and used to play in the garden behind the houses. Charles Dodgson used to stay with an old uncle there, and walk up and down, his hands behind him, on the strip of lawn. One day, hearing my name, he called me to him saying, "So you are another Alice. I'm very found of Alices. Would you like to come and see something which is rather puzzling?" We followed him into his house which opened, as ours did, upon the garden, into a room full of furniture with a tall mirror standing across one corner.' "Now", he said giving me an orange, "first tell me which hand you have got that in." "The right" I said. "Now", he said, "go and stand before that glass, and tell me which hand the little girl you see there has got it in." After some perplexed contemplation, I said, "The left hand." "Exactly," he said, "and how do you explain that?" I couldn't explain it, but seeing that some solution was expected, I ventured, "If I was on the other side of the glass, wouldn't the orange still be in my right hand?" I can remember his laugh. "Well done, little Alice," he said. "The best answer I've heard yet." "I heard no more then, but in after years was told that he said that had given him his first idea for Through the Looking-Glass, a copy of which, together with each of his other books, he regularly sent me.
Tom Lehrer|I believe the friendship of the Games still exists. There is a tremendous camaraderie and atmosphere at the Olympic and Commonwealth Games - where else could you go and sit down and have breakfast with a Russian weightlifter, an East German sprinter, and an Indian fencer and talk about different cultures and problems?
Isaac Marion|What is left of us? … No countries, no cultures, no wars but still no peace. What’s at our core, then? What’s still squirming in our bones when everything else is stripped?
Kassandra Cross, Sex with the CEO: A Billionaire Romance|The air between them was electric, the scent of his aftershave was intoxicating and she could feel the testosterone bouncing off him. She could immediately tell he was a powerful man.
Israelmore Ayivor|When you optimize your talents very well, you can pick money from people's pockets and nobody will ever get the guts to call you a thief.
Charles Haddon Spurgeon, Morning and Evening, Based on the English Standard Version|What's a man worth without love ? $.89 worth of chemicals." Hawkeye Pierce
Stephen Richards, Ask and the Universe Will Provide: A Straightforward Guide to Manifesting Your Dreams|Often the unfavorable events of our lives are a catalyst for long needed change, so what seemed like a poor decision in the beginning can result in much better quality of life in the long term.
Debbie Macomber, Call Me Mrs. Miracle|People are funny. They want the front of the bus, the middle of the road and the back of the church. —Mrs. Miracle
Charles Bukowski, Portions from a Wine-Stained Notebook: Uncollected Stories and Essays, 1944-1990|Don't wait till tomorrow to achieve your goals, live in the present and look forward to the future. Forget yesterday and start living today.
Eudora Welty, On Writing|She closed her eyes. Said the four most comforting words she knew: "Once upon a time." An incantation.
Catherine Aird, The Religious Body|Don't make a career out of underestimating me." — Claire de Haven
Paul Lord|The truth, at times, can be the hardest pill to swallow. When we are confronted by something new, something that threatens to shake us from our comfortable tree, shatters our illusions, we resist. It takes courage to swim against the tide of popular opinion. Most of us would rather hold on to the safety buoy than strike out into unchartered seas. If you are one of these, don't bother to read this true account of the Frankenstein myth, hold tightly to your buoy and be carried to the shores of the known and familiar, you will be safe. I do not wish to make you feel uncomfortable in your skin, that is not my aim. My goal is to set the story straight and not pander to the fickle minded.This version of events is so far removed from the common misguided perceptions held by us all, and will so challenge the accepted beliefs generated by cheap fiction, that there will be many who will call me charlatan or fraud. They do not possess the will, or wherewithal, to want to know the truth or even suspend their judgement so that the record might be set straight for posterity. Possibly, they might be the last remnants of the flat earth society and still trying to convince the rest of us where we are going wrong. If nothing else, I salute their commitment and tenacity. This book is not for them.There it is. I have forewarned you against reading this account of the tortured genius of Baron von Frankenstein. If you are not ready for the truth, stay safe and warm in your insulated ivory towers and remain ignorant of the catastrophe that befell him and the people of the town of Frankenstein. It is not my loss...
Dhiren Prajapati|The few individuals who are capable of spontaneous and joyous effort stand out. These are the select men, the nobles, the only ones who are active and not merely reactive, for whom life is a perpetual striving, an incessant course of training.
W.T. Purkiser|Gratitude can transform common days into thanksgivings, turn routine jobs into joy, and change ordinary opportunities into blessings.” —
isaac andrews|I find people with depression are like a broken clocks, and clock maker after clock maker will try to fix you, but sometimes time itself is the answer.
Yandel|I dreamed about this as a kid, that I would write - and people would read - a whole series of books. I feel accomplished, giddy, and tired. Mostly, though, I feel thankful. A trilogy is a huge investment on the part of author, publisher, and reader, and I'm grateful that so many people were willing to invest along with me.
John Scalzi|People ask you for criticism, but they only want praise.
Leviak B. Kelly, Religion: The Ultimate STD: Living a Spiritual Life without Dogmatics or Cultural Destruction|They did indeed use the AM in religious rituals and AM does have deliriant and hallucinatory effects and more. This would mean not only is it linked to religion and religious social structures in the ceremony, but there is a significant link that it produced these experiences by way of muscimol induced hallucinations. Since its consumption began fifty thousand years ago, it would put its use on the very beginning of religion itself. The idea that this is somehow a fallacy is far from the truth as not only is there a religious connection but the connection began at the same time.
Juliana Barbassa, Dancing with the Devil in the City of God: Rio de Janeiro on the Brink|Hate's a terrible thing. It's a wasteful, stupid emotion. You can hate someone with all your heart, but it'll never do them a bit of harm. The only person it hurts is you. You can spend your days hating, letting it eat away at you, and the person you hate will go on living just the same. So what's the point?
Nikunj shukla|People says you are not going to take anything with you at the end but people, mind that you are going to leave a lot behind you.So be precise for your deeds n trail you left. :)
Martijn Budel|In life, we need to go through a naked tree season in order to turn nothingness into meaning.
Kiersten White, Paranormalcy|...sometimes I get tired. Sometimes I get bored. And sometimes all I want, more than anything else in the world, is to go on a freaking date.
Frederick Douglass|The thought of only being a creature of the present and the past was troubling. I longed for a future too, with hope in it. The desire to be free, awakened my determination to act, to think , and to speak.
Josh Stern, And That's Why I'm Single: What Good Is Having A Lucky Horseshoe Up Your Butt When The Horse Is Still Attached?|Manners without sincerity, is called polite society
|As important as it is to always think like a winner, acting like one is what matters the most.
John Eldredge, Love and War: Finding the Marriage You've Dreamed Of|Christianity is just simple. Preach as if Jesus Christ is on the first seat listening to you. Work as if Jesus Christ is your immediate supervisor. Give as if you are giving to Christ. Eat and drink as if you are dining with Christ. Walk as if you are taking a stroll with Christ. Dance as if you are dancing with Christ. Think as if Christ is marking your thought. Dress as if you have a meeting with Christ. Clear your heart as if it is the only guest room available for your special guest, Christ. Speak as if you are speaking to Christ. Watch as if you are looking at Christ. Listen as if you have borrowed the ears of Christ. Respect time as if you borrowed from Christ. All else matters less and no problem then exists. Living to gratify mankind and ourselves is a mere hypocrisy in the first order and the underpinning of the woes of mankind.
Debasish Mridha|When you are looking for love, then love is spreading its net to catch you.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|When you begin conversations with confidence and listen attentively, you will become more flexible and adaptable in most any situation.
Widad Akreyi|Our values were under attacks, in ParisTell them:We stand UNITEDWe'll defend our valuesWe'll NOT be DIVIDED
Cassandra Clare, City of Fallen Angels|We?" Simon looked at him in disbelief. "Are you ever going home?""What, bored with my company already?"  "Let me ask you something," Simon said. "Do you find me fascinating to be around?""What was that?" Jace said. "Sorry, I think I fell asleep for a moment. Do, continue with whatever mesmerizing thing you were saying.
Roméo Dallaire, They Fight Like Soldiers, They Die Like Children: The Global Quest to Eradicate the Use of Child Soldiers|I've never been more hopeful about our future. I have never been more hopeful about America. And I ask you to sustain that hope. I'm not talking about blind optimism, the kind of hope that just ignores the enormity of the tasks ahead or the roadblocks that stand in our path. I'm not talking about the wishful idealism that allows us to just sit on the sidelines or shirk from a fight. I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.
Will Durant|Truth of a modest sort I can promise you, and also sincerity. That complete, praiseworthy sincerity which, while it delivers one into the hands of one's enemies, is as likely as not to embroil one with one's friends.
Lisa Kleypas, Tempt Me at Twilight|I have so much love for you, I could fill rooms with it. Buildings. You’re surrounded by it wherever you go, you walk through it, breathe it...it’s in your lungs, and under your tongue, and between your fingers and toes...” His mouth moved passionately over hers, urging her lips apart. It was a kiss to level mountains and shake stars from the sky. It was a kiss to make angels faint and demons weep...a passionate, demanding, soul-searing kiss that nearly knocked the earth off its axis. Or at least that was how Poppy felt about it.
Oprah Winfrey, What I Know for Sure|We should no longer allow a mother to be defined as "just a mom". It is on her back that great nations are built. We should no longer allow any woman's voice to be drowned out or disregarded. As we affirm other women, and as we teach our sons, husbands and friends to hold them in the highest regard, we honor both the mothers whose shoulders we've stood on and the daughters who will one day stand tall on ours.
Melody  Lee, Moon Gypsy|Your love was a vine - enchanting and beautiful, crawling around my heart and up my throat; then it strangled me. Your love, hauntingly tragic.
Denise Hildreth Jones, Secrets Over Sweet Tea|Most of the things that remain tied to earth do not know that they have hidden wings under the hard shell of life” - The Monk in the book "Songs of the Mist
Elizabeth Gilbert, Big Magic: Creative Living Beyond Fear|It starts by forgetting about perfect. We don’t have time for perfect. In any event, perfection is unachievable: It’s a myth and a trap and a hamster wheel that will run you to death. The writer Rebecca Solnit puts it well: “So many of us believe in perfection, which ruins everything else, because the perfect is not only the enemy of the good; it’s also the enemy of the realistic, the possible, and the fun... The most evil trick about perfectionism, though, is that it disguises itself as a virtue.
