Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Ray Attiyah, The Fearless Front Line: The Key to Liberating Leaders to Improve and Grow Their Business|When positioning a brand, aggressively avoid becoming a "me too" by assertively being a "who else?
Chris Ware|One of the most valuable things one of my art teachers said to me was, ‘Don’t get upset by criticism. Value the fact that at least someone noticed what you did.
Jerome Doolittle|A lie is the most sacred private property on Earth. Governments claim it is not theirs, and that their critics are the rightful owners.
Dannika Dark, Deathtrap|Said Opie Read to E.P. Roe,"How do you like Gaboriau?""I like him very much indeed!"Said E.P. Roe to Opie Read.
Cecilia Bartoli|Ask any successful person, and most will tell you that they had a person who believed in them... a teacher, a friend, a parent, a guardian, a sister, a grandmother. It only takes one person, and it doesn't really matter who it is.
Paulo Coelho, The Devil and Miss Prym|That's who I am, a man who has been both good and evil throughout his life. pg 14
Maria Semple|I don't - you know, I'm very disillusioned with our political system. If we don't wake up in America and realize that we have to vote out of our courage and integrity for candidates who reflect our own beatitudes, and not the beatitudes of the war machine and the corporations, we are - we're doomed.
Steve Martin|And I don't believe that children are innocent. In fact, no one seriously believes that. Just go to a playground and watch the kids playing in the sandbox! The romantic notion of the sweet child is simply the parents projecting their own wishes.
Zachary Rawlins|The word Universe is made up of two Latin words- uni (meaning "one") and versus (meaning "turned into"). It literally means "one turned into.
David Louden, Lost Angeles|With the windows in his top of the range Audi firmly in place we slowly baked ourselves and chatted over why my hatred of golf was wrong, what made a good antihero and why Paul McCartney should just fuck off.
Robin Hanson|One of the biggest difficulties in our contemporary society is that we try to locate the evil in somebody else and then we try to get rid of him. The police are pigs or the students are worthless, and so on and so on. The Marxists are the devils or the Republicans are the devils or you name it. We try to isolate the evil and then get rid of it. But the teaching of the Bible is that we are thoroughly entrenched in this ourselves, so we can't toss rocks at someone else; we have to see the extent to which the moral ambiguities fall directly on us. We need forgiveness; and only when we receive it do we have our lives cleaned up so that we can start seeing situations accurately.
Martina Boone, Illusion|In so many ways, for so many people, freedom was still an illusion. Barrie thought of the statistics she had read about how many women and children were still enslaved all over the world. Now— not three hundred years ago— and she wondered how it was possible that so little could change. Sometimes it seemed like the world was sliding backward and no one was noticing.
Ellen DeGeneres, Seriously... I'm Kidding|What’s not so great is that all this technology is destroying our social skills. Not only have we given up on writing letters to each other, we barely even talk to each other. People have become so accustomed to texting that they’re actually startled when the phone rings. It’s like we suddenly all have Batphones. If it rings, there must be danger. Now we answer, “What happened? Is someone tied up in the old sawmill?”“No, it’s Becky. I just called to say hi.”“Well you scared me half to death. You can’t just pick up the phone and try to talk to me like that. Don’t the tips of your fingers work?
J.M. Barrie, Peter Pan|She asked where he lived. Second to the right,' said Peter, 'and then straight on till morning.
Ira Wood|They say you can judge a person by their book, but I say they will hide under the covers.
Neil Gaiman|Of course that is not the whole story, but that is the way with stories; we make them what we will. It’s a way of explaining the universe while leaving the universe unexplained, it’s a way of keeping it all alive, not boxing it into time. Everyone who tells a story tells it differently, just to remind us that everybody sees it differently. Some people say there are true things to be found, some people say all kinds of things can be proved. I don’t believe them. The only thing for certain is how complicated it all is, like string full of knots. It’s all there but hard to find the beginning and impossible to fathom the end. The best you can do is admire the cat’s cradle, and maybe knot it up a bit more. History should be a hammock for swinging and a game for playing, the way cats play. Claw it, chew it, rearrange it and at bedtime it’s still a ball of string full of knots. Nobody should mind. Some people make a lot of money out of it. Publishers do well, children, when bright, can come top. It’s an all-purpose rainy day pursuit, this reducing of stories called history.
Michael Greger|I've stopped reading about the death of books because it's wasteful and morbid and insulting to the authors, agents, publishers, booksellers, critics, and readers that keep the world community of fiction interesting.
Mary H. Eastman, Dahcotah Life and Legends of the Sioux Around Fort Snelling|In our hurry of utilitarian progress, we have either forgotten the Indian altogether, or looked upon him only in a business point of view, as we do almost everything else; as a thriftless, treacherous, drunken fellow, who knows just enough to be troublesome, and who must be cajoled or forced into leaving his hunting-grounds for the occupation of very orderly and virtuous white people, who sell him gunpowder and whiskey, but send him now and then a missionary to teach him that it is wrong to get drunk and murder his neighbor.
Tom Clancy|We needed something to express our joy, our beauty, our power. And the rainbow did that.
Mark Twain|Anybody can become angry — that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way — that is not within everybody's power and is not easy.
Andy Serkis|We've got this gift of love, but love is like a precious plant. You can't just accept it and leave it in the cupboard or just think it's going to get on by itself. You've got to keep watering it. You've got to really look after it and nurture it.
Nicholas Sparks, Safe Haven|Every couple needs to argue now and then. Just to prove that the relationship is strong enough to survive. Long-term relationships, the ones that matter, are all about weathering the peaks and the valleys.
Ludwig Mies van der Rohe|A world of few choices, whether in jeans or mates, is a world in which individual differences become sources of alienation, unhappiness, even self-loathing. If no jeans fit, you'll feel uncomfortable or inferior. If no housing developments reflect your taste for unique architecture, you'll write screeds against philistine mass culture.
Bob   Smith, Treehab: Tales from My Natural, Wild Life|Books have been vastly important in my life - as both a reader and a writer. I've learned that the great gift of literature is that someone else's tale becomes a chapter of your story. And I still feel books are the best art form for making contact with another consciousness, which is why reading a good book by yourself never feels lonely.
J.K. Rowling, Harry Potter and the Order of the Phoenix|It's leviOsa, not levioSA!
Richard Ford, The Sportswriter|If you commit yourself to living according to His Word your potential will be unlocked, and in time, what may look small now will grow into something significant.
David Hoffmeister, Unwind Your Mind Back to God:  Experiencing A Course in Miracles|But that reminds me – and stop me if you've heard this one – of the day Jesus was watching the gates for St. Peter. Anyway, Jesus is giving him a hand one day when a man walks shuffling up to the path of Heaven. “ ‘What have you done to enter the kingdom of Heaven?’ Jesus asks him. “And the man says, ‘Well, not much really. I’m just a poor carpenter who led a quiet life. The only remarkable thing about my life was my son.’ “ ‘Your son?’ Jesus asks, getting interested. “ ‘Yes, he was quite a son,’ the man says. ‘He went through a most unusual birth and later a great transformation. He also became quite well known throughout the world and is still loved by many today.’ “Christ looks at the man, embraces him tightly, and says ‘Father, father!’ “And the old man hugs him back and says, ‘Pinocchio?
Michelle Franklin|What will I do when you're gone?" said Alasdair, with a faltering voice.Bryeison placed a hand on his shoulder and said, with raging tranquility, "Do what is good and what is right.
Oscar Wilde|Those were my last words. To be listed in some book of quotations, alphabetically after 
Michael  Grant, Hunger|Brianna dropped the skateboard in front of Sam. "Don't worry: I won't let you fall off." "Yeah? Then why did you bring the helmet?" Brianna tossed it to him. "In case you fall off.
Socrates|Education is the kindling of a flame, not the filling of a vessel.
Wendell Berry, The Art of the Commonplace: The Agrarian Essays|I don't think it is enough appreciated how much an outdoor book the Bible is. It is a "hypaethral book," such as Thoreau talked about - a book open to the sky. It is best read and understood outdoors, and the farther outdoors the better. Or that has been my experience of it. Passages that within walls seem improbable or incredible, outdoors seem merely natural. This is because outdoors we are confronted everywhere with wonders; we see that the miraculous is not extraordinary but the common mode of existence. It is our daily bread.
C.S. Lewis, Mere Christianity|But of course, when they ask for a "lead from the church," most people mean they want the clergy to put out a political program. That is silly. The clergy are those particular people within the whole church who have been specially trained and set aside to look after what concerns us as creatures who are going to live forever. And we are asking them to do a quite different job, for which they have not been trained. The job is really on us- on the laymen.
Georgette Heyer, The Nonesuch|He waited for the black, terrible anger as though for some beast out of the night. But it did not come to him. His bowels seemed weighted with lead, and he walked slowly and lingered against fences and the cold, wet walls of buildings by the way. Descent into the depths until at last there was no further chasm below. He touched the solid bottom of despair and there took ease.
Janny Wurts, Peril's Gate|If manifestations of her love are overwhelming and sometimes seem imprudent, it’s because the intensity of such caring doesn’t exist in other areas of life. Ma does not love from behind a protective shield. I’m incapable of opening up to people in the way she does. Ma isn’t afraid of being vulnerable and doesn’t measure relationships in terms of what she can gain. If her feelings are hurt, she doesn’t hide the pain or seek revenge. She stumbles over the setback as though it’s one of life’s quirky tests of fortitude and moves on without storing any resentment.
Charles Bass|Our relationships with our computers are almost sexual, they're so close. They're just such a huge part of our lives.
Donald Evans|I get up at sunrise. I'm a Buddhist, so I chant in the morning. My wife and I sit and have coffee together, but then it's list-making time. I have carpentry projects. We have roads we keep in repair. It's not back-breaking, but it's certainly aerobic and mildly strenuous.
Ellie Kemper|I worked as a teacher in the public school system in New York City for several years, and I was a victim of the layoffs, you know, in the mid-'70s. And then I worked as a sales engineer for a company in New Jersey that was selling industrial filtration equipment.
Debasish Mridha|There is no fact or fiction, reality or illusion, there is only the trick of perception.
Ranata Suzuki|I believe in love at first sight…But it’s not the first moment you lay eyes on a person, it’s the moment you first seethe person they truly are.
Claire Cook, Seven Year Switch|I have nothing to offer but blood, toil, tears and sweat.
Richard de Bury|In books I meet the dead as if they were alive,in books I see what is yet to come...All things decay and pass with time...all fame would fall victim to oblivionif God had not given mortal men the book to aid them.
Heston Blumenthal|Nothing helps make a leader more approachable than admitting your struggles, screw-ups and behind-the-scenes thinking on hard calls. If the leader makes this a priority, the whole company will be more open and methodical learning from failure.
Wendelin Van Draanen, Flipped|In chaos, there is fertility.
Sarah Cross, Kill Me Softly|Mira, I'm about to be naked," Blue said as he whipped off his belt and tossed it on the floor. "So watch out. Well, in my underwear.""I've seen you in your bathing suit," Mira said. "It's the same thing.""It is not the same thing," Blue said. "When it's accompanied by seventies porn music, it's an X-rated strip show." Blue yanked off his shirt. "Freddie, you're kind of slow on the uptake. Eine kleine porn music, please.
James Grissom|Memory, of course, is unreliable, often evil, but it is the source of our identity."--Tennessee Williams
Clifton Fadiman|One measure of friendship consists not in the number of things friends can discuss, but in the number of things they need no longer mention.
Samar Sudha|TRUST"'A soft thread, that could broken while checking it
Tara Lain, Cataclysmic Shift| 'It would be great not to have to deal with any of this. When I found out, I wished Killian could have wiped my memories so I wouldn't have to know that all this shit exists. I was like, "Vampires can get rid of memories. What are you good for?" But it is what it is.' 
Ernest Agyemang Yeboah|It is with our voices we remember, with our ears we understand.
Nikolaj Coster-Waldau|At school, I'd refuse to take part in biology lessons when animals were being dissected. One time, the teacher announced that we would be gassing worms. So I ran around the room, gathered up all the worms and set them free in the fields. I just loved animals and couldn't bear the thought of them suffering.
Billy Graham, Billy Graham in Quotes|Every law that God has given has been for man’s benefit. If man breaks it, he is not only rebelling against God; he is hurting himself.
Richard Paul Evans, A Perfect Day|Stories are like spiders, with all they long legs, and stories are like spiderwebs, which man gets himself all tangled up in but which look so pretty when you see them under a leaf in the morning dew, and in the elegant way that they connect to one another, each to each.What’s that? You want to know if Anansi looked like a spider? Sure he did, except when he looked like a man.No, he never changed his shape. It’s just a matter of how you tell the story. That’s all.
Regina Scott, Instant Frontier Family|He made her think of ruins, of mysterious places in shadow and darkness, of storms and torrents of rain.
Joan Bauer|When rich, being poor seems *adventurous.*
Ron Paul|But let it not be said that we did nothing. Let not those who love the power of the welfare/warfare state label the dissenters of authoritarianism as unpatriotic or uncaring. Patriotism is more closely linked to dissent than it is to conformity and a blind desire for safety and security. Understanding the magnificent rewards of a free society makes us unbashful in its promotion, fully realizing that maximum wealth is created and the greatest chance for peace comes from a society respectful of individual liberty.
David Mitchell, Cloud Atlas|I recalled my father-in-law's aphorism "To fool a judge, feign fascination, but to bamboozle the whole court, feign boredom..." & I pretended to extract a speck from my eye.
Robert Ellsberg|When goodness is going beyond the limit, Fools think it bad.
Vironika Tugaleva|Only when we face the impossible, and experience the unbearable, do we find out who we truly are.
William Lloyd Garrison|India is known for much development that has happened since our independence, but at the same time, we have also failed on many levels. It is the responsibility of the future generation to ensure that all these failures are corrected and help create a civilised society with equal opportunities for one and all.
Libba Bray, Rebel Angels|Travel opens your mind as few other things do. It is its own form of hypnotism, and I am forever under its spell.
Theory of a Deadman|Ari!" Jeb had finally seen his son. He rushed to Ari's side and knelt next to him. Looking stunned, he gathered Ari's hulking form and held him to his chest. "I'm so sorry." I saw his mouth shape the words, though I couldn't hear them. "I'm so sorry." He bent over Ari's form, mindless of his vulnerable position.
Kcat Yarza, KCAT CAN: I have a pen that writes|Even if all our senses fail to function − eyes turn blind and ears fail to listen − the heart will still listen, see and beat.
Raymond Carver, What We Talk About When We Talk About Love|A Manhattan lawyer who describes himself as "America`s leading expert on the militia movement" writes that he hugged his three-year-old kid the night of the Oklahoma City bombing. He told junior that it happened "because they hated too much"For now, let`s accept the premise that one hundred sixty-eight humans died in Oklahoma City because people "hated too much"Now answer these questions if you would be so kind: did a federal sniper shoot Vicki Weaver in the face because he hated too much? Did our government conduct the Tuskegee with syphilis on black soldiers because it hated too much? 
LEVega|Ladies sheltering behind men, men sheltering behind servants - the whole system's wrong, and she must challenge it.
Suzanne Hayes, I'll Be Seeing You|All stories are love stories, and there are numerous kinds of love, from the love of a mother holding her child for the first time to the love of blood that drives a psychopath, so I will always write about love, but not necessarily romance. Let the saner people do that.
Viola Shipman, The Charm Bracelet|A little belief, a little hope, a little faith is sometimes all you need to see the light.
Fern Schumer Chapman, Motherland: Beyond the Holocaust: A Mother-Daughter Journey to Reclaim the Past|As the lights fade to a distant glow, I look back toward the city and imagine, somewhere in all of those lives, a little girl who is a lot like me. Maybe she rides in a car thinking about someone living far away from these lights and people. Even though our lives are separated by so much I wonder if she imagines the world through eyes like mine.
Ezra Pound|Real Canada is where people wear sweaters for survival, not style.
Paulo Coelho, Veronika Decides to Die|Wonderland was wonderful, but without a counterbalance, it could turn it's inhabitants completely insane. 
Fyodor Dostoyevsky, The Brothers Karamazov|Cathy smiled back ‘Rules were meant to be broken.’‘Don’t disagree,’ Oversteegen replied immediately. ‘Indeed they are. Providin’, however, that the one breakin’ the rules is willin’ t’ pay the price for it, and the price gets charged in full. Which you were, Lady Catharine. I saluted you for it then–at the family dinner table that night, in fact. My mother was infinitely more indisposed thereafter; tottered back t’ her bed cursin’ me for an ingrate. My father was none too pleased either. I salute you for it, again. Otherwise, breakin’ rules becomes the province of brats instead of heroes. Fastest way I can think t’ turn serious political affairs int’ a playpen. A civilized society needs a conscience, and conscience can’t be developed without martyrs—real ones—against which a nation can measure its crimes and sins.
Rebecca Solnit, A Field Guide to Getting Lost|In the same way, teenagers imagine dying young because death is more imaginable than the person that all the decisions and burdens of adulthood may make of you.
Jorge Luis Borges, The Aleph and Other Stories|A certain amount of reverie is good, like a narcotic in discreet doses. It soothes the fever, occasionally high, of the brain at work, and produces in the mind a soft, fresh vapor that corrects the all too angular contours of pure thought, fills up the gaps and intervals here and there, binds them together, and dulls the sharp corners of ideas. But too much reverie submerges and drowns. Thought is the labor of the intellect, reverie it's pleasure. To replace thought with reverie is to confound poison with nourishment.
