Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
Jane Campion|I can get very philosophical and ask the questions Keats was asking as a young guy. What are we here for? What's a soul? What's it all about? What is thinking about, imagination?
Robin Sacredfire|Nobody fights over the opinion of which book is better. So why do we fight over which religion is better, if they're all based on books? Let us read and learn from them all and unite in our differences and disagreements too.
John M. Gottman|If you think your boss is stupid, remember: you wouldn’t have a job if he was any smarter.
Thomas P.M. Barnett|Basketball Without Borders is a leadership camp that takes basketball to different places around the world, to Africa, Europe, America and Asia. It's a camp that brings players from different parts of the continent to one city that's been assigned as the host city. We've been going to a different city every year.
Elizabeth Gilbert, Big Magic: Creative Living Beyond Fear|I don't sit around waiting for passion to strike me. I keep working steadily, because I believe it is our privilege as humans to keep making things. Most of all, I keep working because I trust that creativity is always trying to find me, even when I have lost sight of it.
Eric Berne|The moment a little boy is concerned with which is a jay and which is a sparrow, he can no longer see the birds or hear them sing.
Tennessee Williams, Sweet Bird of Youth|I’ve been accused of having a death wish but I think it’s life that I wish for, terribly, shamelessly, on any terms whatsoever.
Sunday Adelaja|The only way you can pray with absolute faith is to be confident that your prayers are in line with the revealed will of God, His Word.
Robin Wall Kimmerer, Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants|Philosophers call this state of isolation and disconnection “species loneliness”—a deep, unnamed sadness stemming from estrangement from the rest of Creation, from the loss of relationship. As our human dominance of the world has grown, we have become more isolated, more lonely when we can no longer call out to our neighbors. It’s no wonder that naming was the first job the Creator gave Nanabozho.
William S. Burroughs, Naked Lunch|The worst part about cancer isn't what it does to you, but what it does to the people you love.
Jeffrey Eugenides, The Marriage Plot|AVERT DISASTER, in fact, would have been a perfect school motto—the purpose of the place, as far as Schwartz could tell, was to keep three thousand would-be maniacs sedated by boredom until a succession of birthdays transformed them into adults.
Donald Bren|My two primary areas of focus have been open-space conservation and education, and I expect those to remain my priorities in the future. The Irvine open space and parklands provide serenity and balance to our unique Orange County lifestyle.
Katie Reus, Lover's Instinct|For the record, I want to be anywhere you are," he murmured in her ear, so close he might as well have run his tongue along it.
Anna Quindlen, How Reading Changed My Life|In books I have traveled, not only to other worlds, but into my own. I learned who I was and who I wanted to be, what I might aspire to, and what I might dare to dream about my world and myself.
Amanda Bouchet, Breath of Fire|It’s just you always…”	“Run,” I finish for him…	I gaze up at him. Soft light plays over his striking features – the hard planes of his cheekbones, his strong jaw, the slight hook in his nose. “I’ll still run, Griffin. The difference now is that I’ll run to you.”	He looks at me for a long time, his gray eyes inscrutable. “You’d better.”	I arch an eyebrow. “Or you’ll spank me?
Alanis Morissette|Anger is certainly a kind of baseness, as it appears well in the weakness of those subjects in whom it reigns: children, women, old folks, sick folks.
Alex Owens|As I grabbed my cocoa, chocolate ran down my hand."This makes me feel like a five-year-old," I said, licking it off."If I ordered a sandwich at this place, do you think they'd cut the crusts off?
Sunday Adelaja|It is when we finally realize the futility of violence and the invalidity of war will we, the people of this world finally wake up!
Adi Alsaid|Language is fossil poetry. As the limestone of the continent consists of infinite masses of the shells of animalcules, so language is made up of images, or tropes, which now, in their secondary use, have long ceased to remind us of their poetic origin.
Matshona Dhliwayo|If money could buy happiness, the rich would not drown their sorrows in expensive wine.
Zorica Savron, Only for You, My Love: Love Poetry|...You are here again,so realistic,just, the golden dawn takes you away in the morning...Be here now,not there,where there is nothingbut starsand emptiness......
Clive Barker, Days of Magic, Nights of War|I dreamed I spoke in another's language,I dreamed I lived in another's skin,I dreamed I was my own beloved,I dreamed I was a tiger's kin.I dreamed that Eden lived inside me,And when I breathed a garden came,I dreamed I knew all of Creation,I dreamed I knew the Creator's name.I dreamed--and this dream was the finest--That all I dreamed was real and true,And we would live in joy forever,You in me, and me in you.
John C. Parkin, F**k It: The Ultimate Spiritual Way|Never take both hands off the pump. As an entrepreneur, you need to be on constant lookout for opportunity, and that will involve risk. But you minimize those risks by keeping one hand on the pump that is producing for you.
Karl Wiggins, GRIT The Banter and Brutality of the Late-Night Cab|They drain you sometimes. They really do. "What's it all about then mate? What's the secret of life? You should know. You're a fucking cab driver." Yeah, right. (As if I'll learn the secret of life talking to arseholes like you all night). "Got any saucepan lids, mate? I've got two. I hate them. Bastards, they are. Ruined my life. I hate the bastards."I keep quiet "Don't try and rip us off, mate. I've got a key between my knuckles." (Whatever). The life of a cab driver. Glimpses into other people's lives.
Steven Redhead, The Solution|Success is realising the true joy and wonder of life can only be yours if you follow your own intuition, aiming to achieve your bliss.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|When 'Dirty Mack' salts your flow, get beyond feelings of hurt, anger, bitterness, and especially vengeance. Be glad, and take refuge in knowing light has been cast on the shadow of hatred, envy or jealousy that has mocked your shine. And press forward with your purpose - allowing time and space to clear the way for karmic justice on your behalf.
John Updike, Rabbit, Run|All children are heartless. They have not grown a heart yet, which is why they can climb tall trees and say shocking things and leap so very high that grown-up hearts flutter in terror. Hearts weigh quite a lot. That is why it takes so long to grow one.
Paulo Coelho, Veronika Decides to Die|In a world where everyone struggles to survive whatever the cost, how could one judge those who decide to die?
Paul Watson|Usually, environmental programs are not designed for a mainstream audience.
Kamand Kojouri|Think the tree that bears nutrition:though the fruits are picked, the plant maintains fruition.So give all the love you have.Do not hold any in reserve.What is given is not lost; it shall return.
John D. Roth, Beliefs: Mennonite Faith and Practice|Throughout history, Christians have faced the persistent temptation of confusing the language we use to talk about God with the essence of Christian faith. This stubborn human tendency to turn doctrine into an idol - to confuse a human creation with the truth itself - can easily lead people to wield doctrinal claims as a weapon against minority or dissenting perspectives. Thus, anyone who does not line up with a certain formulation of Christian faith is not only wrong, but also a heretic and therefore worthy of punishment or death.
Alexandre Dumas, The Count of Monte Cristo|The King! I thought him enough of a philosopher to realize that there is no such thing as murder in politics. You know as well as I do, my dear boy, that in politics there are no people, only ideas; no feelings, only interests. In politics, you don't kill a man, you remove an obstacle, that's all.
W.H. Auden, As I Walked Out One Evening: Songs, Ballads, Lullabies, Limericks & Other Light Verse|O stand, stand at the window As the tears scald and start;You shall love your crooked neighbour With your crooked heart.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Get out of your own way… stop the paralysis by analysis… dream your dream… then, WAKE UP and bring it to life!
Rachel E. Goldsmith|Acknowledgement of the prevalence and impact of trauma challenges psychological theories that localize dysfunction within the individual while ignoring the contribution of social forces on adjustment (Brett, 1996; Ross, 2000).
Merrie Haskell, The Castle Behind Thorns|Perrotte frowned. “I’d like to turn a plowshare into a sword ,” she said. “I’d cut our way out of those thorns, and then use it to run my enemies through—” She bit off her next words and swallowed them. Sand stared at her, aghast. She met his eyes, defiant. “What? You don’t like bloodthirstiness?” she asked. “Pardon? No. I’m horrified that you would dull a sword on that thorn brake. I could make you some pretty good hedge shears.
Miriam Joy, Broken Body Fragile Heart|In July I thinkabout the idea of being cursed(because it’s not strange to me;when I look in mirrors I’mnot there, blank walls gleamingwith bloody condensation,and my shadow behind memocking me with his persistencewhen I keep telling himto leave just to leave to let me be).
Auliq Ice|I'm a damsel, I'm in distress, I can handle this. Have a nice day!
Margaret Atwood|Faith: Belief without evidence in what is told by one who speaks without knowledge, of things without parallel.
Grace Burrowes, The Captive|You would fare far better with a lover who makes you laugh than one who makes you curse - and cry," he added, stepping to the cone of colored light.Beyond mortified, Phoebe dashed a quick hand across her damp eyes, hoping he might at least miss that much of her shame. "Sir, you should have made your presence known."One dark brow arched upward, "I believe I am doing just that.
Fennel Hudson, A Writer's Year - Fennel's Journal - No. 3|As thoroughly as mankind has killed God, the reader has despatched the author.
Nina Guilbeau|I can't know your feelings", he said ,"if you don't know them yourself.
Father Gabriel|The building is rather like a medieval Castle and was established in the Sixth Century and soon afterwards, as the Moslem armies advanced Westwards from the Arabian Peninsula, somebody had the prescience to build a small Mosque in its courtyard to guard against it being burned or demolished. At the time of the Crusades it was the turn of the Monastery to protect the Mosque, and so it has been down the ages, each House of God extending its shelter to the other as opposing armies came and went.
Edith Eva Eger, The Choice: Embrace the Possible|Things aren't important, but beauty is.
Claire North, The End of the Day|Words are made by history, we build them and they change meaning through time, but the music they play...
Ayn Rand, Atlas Shrugged|You know, I think that only if one feels immensely important can one feel truly light.
Loris Malaguzzi|Stand aside for a while and leave room for learning, observe carefully what children do, and then, if you have understood well, perhaps teaching will be different from before.
Charles J. Sykes|The Complexities Of Life Caused By Bad Government Administration, Leadership, Parental Abuse And Mistakes Can Make A Child More Matured Than Their Age. It Happened To Me And It Is Still Happening To So Many Children World Wide. Most Especially, In Africa Where I Come From. This Is Why You See So Many African's Do All Sorts Of Bad Deeds For Surfacing And Surviving To Keep Body And Soul Together.
Clay Shirky, Here Comes Everybody: The Power of Organizing Without Organizations|That was supposed to be the whole purpose of the Internet, you know. To share scientific information.""Not a Viagra- and porn-delivery system?
Matshona Dhliwayo|You are better than your past, greater than your present, and brighter than your future.
Robert G. Ingersoll, Some Mistakes of Moses|If the bible be true, God commanded his chosen people to destroy men simply for the crime of defending their native land. They were not allowed to spare trembling and white-haired age, nor dimpled babes clasped in the mothers' arms. They were ordered to kill women, and to pierce, with the sword of war, the unborn child. 'Our heavenly Father' commanded the Hebrews to kill the men and women, the fathers, sons and brothers, but to preserve the girls alive. Why were not the maidens also killed? Why were they spared? Read the thirty-first chapter of Numbers, and you will find that the maidens were given to the soldiers and the priests. Is there, in all the history of war, a more infamous thing than this? Is it possible that God permitted the violets of modesty, that grow and shed their perfume in the maiden's heart, to be trampled beneath the brutal feet of lust? If this was the order of God, what, under the same circumstances, would have been the command of a devil? When, in this age of the world, a woman, a wife, a mother, reads this record, she should, with scorn and loathing, throw the book away. A general, who now should make such an order, giving over to massacre and rapine a conquered people, would be held in execration by the whole civilized world. Yet, if the bible be true, the supreme and infinite God was once a savage.
Victoria Aveyard, Red Queen|In each of us lie good and bad, light and dark, art and pain, choice and regret, cruelty and sacrifice. We’re each of us our own chiaroscuro, our own bit of illusion fighting to emerge into something solid, something real. We’ve got to forgive ourselves that. I must remember to forgive myself. Because there is a lot of grey to work with. No one can live in the light all the time.
Ann Aguirre, Outpost|Love can take one over the clouds, out to space And also to the depths of the Earth where you get trapped and coming back feels like a forgotten dream..
Kate Chopin, The Awakening|That feeling. That's the real difference in a life. People who live on solid ground, underneath safe skies, know nothing of this; they are like the English POWs in Dresden who continued to pour tea and dress for dinner, even as the alarms went off, even as the city became a towering ball of fire. Born of a green and pleasant land, a temperate land, the English have a basic inability to conceive of disaster, even when it is man-made.
Mariusz Szczygieł, Gottland|The committees scour the bookstores, printing and publishing houses, paying particular attention to secondhand bookstores. There, they requisition countless copies of 'Incautious Maidens' or 'Flames at the Metropole.' So that those who prefer the false view of the world presented in cheap novels will never find refuge again.
Herbert Spencer, The Principles of Biology, Vol 1|The young specialist in English Lit, having quoted me, went on to lecture me severely on the fact that in every century people have thought they understood the Universe at last, and in every century they were proved to be wrong. It follows that the one thing we can say about our modern 'knowledge' is that it is wrong.The young man then quoted with approval what Socrates had said on learning that the Delphic oracle had proclaimed him the wisest man in Greece. 'If I am the wisest man,' said Socrates, 'it is because I alone know that I know nothing.' The implication was that I was very foolish because I was under the impression I knew a great deal.Alas, none of this was new to me. (There is very little that is new to me; I wish my correspondents would realize this.) This particular theme was addressed to me a quarter of a century ago by John Campbell, who specialized in irritating me. He also told me that all theories are proven wrong in time.My answer to him was, 'John, when people thought the Earth was flat, they were wrong. When people thought the Earth was spherical, they were wrong. But if you think that thinking the Earth is spherical is just as wrong as thinking the Earth is flat, then your view is wronger than both of them put together.
Gavriil Stiharul|My love, can't you seehow much i love theeFor i through your eyesshall seeOur great lovefor all eternity
Charlotte Brontë|They began their climb, already weary, and the sun tried to steal whatever strength they had left. It was another god, a forgotten god, who gave a daily reminder, and was forgotten again each night.
William Eckard|You'll learn wisdom for yourself, if you have become sedentary.
Rokaya Hajjaji|How can they love me ,if I can't even love myself?
William Wilberforce, Real Christianity|My friends, I like them; my morals, I like them more!
Chitra Banerjee Divakaruni, The Mistress of Spices|But, he thought, I keep them with precision. Only I have no luck anymore. But who knows? Maybe today. Every day is a new day. It is better to be lucky. But I would rather be exact. Then when luck comes you are ready.
M.R. Graham, In the Shadow of the Mountains|Frederick Douglass told in his Narrative how his condition as a slave became worse when his master underwent a religious conversion that allowed him to justify slavery as the punishment of the children of Ham. Mark Twain described his mother as a genuinely good person, whose soft heart pitied even Satan, but who had no doubt about the legitimacy of slavery, because in years of living in antebellum Missouri she had never heard any sermon opposing slavery, but only countless sermons preaching that slavery was God's will. With or without religion, good people can behave well and bad people can do evil; but for good people to do evil — that takes religion.
Augustine Birrell|I murmur: "It's a seat," a little like an exorcism. But the word stays on my lips: it refuses to go and put itself on the thing. It stays what it is, with its red plush, thousands of little red paws in the air, all still, little dead paws. This enormous belly turned upward, bleeding, inflated—bloated with all its dead paws, this belly floating in this car, in this grey sky, is not a seat. It could just as well be a dead donkey tossed about in the water, floating with the current, belly in the air in a great grey river, a river of floods; and I could be sitting on the donkey's belly, my feet dangling in the clear water.
Elizabeth Gaskell, Ruth|Miss Benson had the power; which some people have, of carrying her wishes through to fulfillment; her will was strong, her sense was excellent, and people yielded to her – they did not know why.
George B. McClellan|You have got to discover you, what you do, and trust it.
Camila Alves|When you grow up close to poultry and fields and gardens and open-air markets, you can't help but develop an instinct for quality food.
Val Uchendu|Creativity can turn into an avalanche or a tempest, but can also flow like a meandering tributary to same destination
Robin Sacredfire|People use masks in public and then wonder why their personal life, their relationships, don't work. If you're not being honest with others, there's nothing real about yourself to learn and, the wider the gap, the deeper the suffering. The heart wasn't meant to be closed in a box made of fake feelings and thoughts.
Tom Walsh|It's easy to get lost in our own heads. It's easy to allow the thoughts and worries and plans and hopes to take on their own lives and control our minds in such a way that we lose sight of all that's around us in any given moment. It's difficult to allow those thoughts and problems to take a back seat in our lives in order to be completely aware of what's right here, right now. Perhaps there's a person who really could use you to take a couple of moments to pay attention to him or her; perhaps there's a cool autumn breeze that's going to calm your spirit with its amazing touch--but only if you actually notice it.
Barbara Michaels|Probe deeply enough, under the slickest façade of confidence, and you tapped a vein of self-doubt or a hidden fear. Irrational fears and baseless doubts, many of them, but that was precisely why constant reassurance was necessary to the human animal.
Clementine von Radics|You are on the floor crying,and you have been on the floor crying for days.And that is you being brave.That is you getting through itas best you know how. No one else can decideWhat your tough looks like.
Tim Cope|My father loves people. No matter what their race, no matter what their position in life, he treated everyone with kindness and love and respect. And that was instilled in me just by watching him.
Karen Thompson Walker, The Age of Miracles|Oh, that boy is in so much trouble.' Exie screeches out of the parking lot as if Jerran can hear her.
John Piper|We can't equate spending on veterans with spending on defense. Our strength is not just in the size of our defense budget, but in the size of our hearts, in the size of our gratitude for their sacrifice. And that's not just measured in words or gestures.
Amit Kalantri|At all times an empire is more important than emperor and empress, prince and princess.
Erik Paulsen|In Sleep we lie all naked and alone, in Sleep we are united at the heart of night and darkness, and we are strange and beautiful asleep; for we are dying the darkness and we know no death.
Innocent Mwatsikesimbe, The Reason|The days seem short, and time seems too little to do what you love.
Anne Rice|All writing is difficult. The most you can hope for is a day when it goes reasonably easily. Plumbers don’t get plumber’s block, and doctors don’t get doctor’s block; why should writers be the only profession that gives a special name to the difficulty of working, and then expects sympathy for it?
Frank Sonnenberg, BookSmart: Hundreds of real-world lessons for success and happiness|People may feel that I am materialistic, ideal, idiot, cool, funny. Its not their perception but my projection and I always have my own reasons for my being.
Denis Diderot, Thoughts on the Interpretation of Nature and Other Philosophical Works|I picture the vast realm of the sciences as an immense landscape scattered with patches of dark and light. The goal towards which we must work is either to extend the boundaries of the patches of light, or to increase their number. One of these tasks falls to the creative genius; the other requires a sort of sagacity combined with perfectionism.
Lisa Kleypas, Devil in Winter|His eyes darkened in frustration."I'm tired of waiting, Thalia. I'm not a patient person. You have to know.""What do you mean, Keal? You know I like Joss." I tried to move away again, but his hands on either side of me pinned me in. Keal's determination scared me."You know what we share is infinitely more powerful than...that. And you feel this between us, too," he growled. "You melt when I kiss you. You watch me when you think I'm unaware. You can't sleep unless I'm near. Tell me none of that is true."I swallowed nervously and licked my lips. "No, that's all true.""I promised your father I'd give you time, but I'm tired of waiting. Tired of watching Joss try and win your heart from me.""Keal, I don't understand. Ho is joss keeping you from me, when you and I don't think of one another that way?"Don't think--Thalia! You and I are lifemates.
John Barrowman, Anything Goes|See, sexuality is less about the actual act of having pretty good sex for seventeen minutes twice a week and much more about surrounding yourself with an ever simmering sensual energy, pulsing just underneath your daily life and infusing almost everything you do. It's like you're always just a little bit horny, just a little turned on, but the object of your gentle lust isn't just your lover, it's divine life itself.
Robin Roe, A List of Cages|The three witches and the knight set off down the hill together, arm in arm, and all four led long and happy lives, and none of them ever knew or suspected that the Fountain's waters carried no enchantment at all.
Clinton Kelly, Freakin' Fabulous: How to Dress, Speak, Act, Eat, Sleep, Entertain, Decorate, and Generally Be Better Than Everyone Else|It's not revealing, it's informative.
James Patterson, Sundays at Tiffany's|Just because life is hard, and always ends in a bad way, doesn't mean that all stories have to, even if that's what they tell us in school and in the New York Times Review. In fact, it's a good thing that stories are as different as we are, one from another.
J.F. Kelly, A Woman's Pleasure|If women were totally satisfied with their sexual and lovemaking experiences, women would welcome the lovemaking experience as much as men.
Gregory Maguire|I don't only act out of my character; my character reacts to my actions. Each time I why, even if I'm not caught, I become a little bit more of this ugly thing: a liar. Character is always in the making, with each morally valenced action, whether right or wrong, affecting our characters, the people who we are.
Fabian Gustafsson|The one who lives solely with the many, solely with the best, lives only as briefly as that which he owns, passes his tests. The one living by his actions, and by his deeds, will live his full life owning the average, happily having them, filling his needs.
Farshad Asl|You must remember that you are called to save and set others free, to raise and develop strong and powerful leaders, who will form the government of the nations for Christ
Dee Williams|I thought: This is what the living do. And I swooned at the ordinary nature of the task and myself, at my chapped hands and square palms, at the way my wrists bent and fingers flexed inside this living body.
Napz Cherub Pellazo|No matter what happens, we always have a choice. Even when it seems that there is no option, there is always something else that can be done. What happens in our lives is the result of decisions that we make... "Always Remember the destiny reflect, into a choice we made.
Kyle Cassidy, This Is What a Librarian Looks Like: A Celebration of Libraries, Communities, and Access to Information|My experience with public libraries is that the first volume of the book I inquire for is out, unless I happen to want the second, when that is out.
Hélène Cixous, The Book of Promethea|I Drink. I Burn. I Dream.And Sometimes, I tell Stories !
John Patrick Hickey, Oops! Did I Really Post That|It seems that the days of public modesty and concern about how we look are far from us. I will not say they are gone forever, in culture nothing is forever.
Peter Abelard|In the name of the rule of law, democracy and human rights, we cannot accept that the rights of individuals (Arab or Muslim) be trampled upon, or that populations are targeted and discriminated against in the name of the war against terrorism.
Hideaki Sorachi|The day is always good, you just have to ignore the bad and look for the good. Remember it takes more muscle to frown then it does to smile, so smile for another day.
Kasie West, The Distance Between Us|There was too much between them to think of any type of future. Yet, with him standing in front of her, she wanted to think of the future. Wanted him to wrap his arms round her. Kiss her. Tell her it would be all right.
Alain de Botton|One's doing well if age improves even slightly one's capacity to hold on to that vital truism: "This too shall pass.
Sukarno|In Delhi, where I grew up, commerce is brusque. You don't ask each other how your day has been. You might not even smile. I'm not saying this is ideal - it's how it is. You're tied together by a transaction. The customer doesn't tremble before complaining about how cold his food is.
Archibald Marwizi, Making Success Deliberate|He is a trouble causer who acts without intent. In other words, living on purpose means you must act with known intent. Develop an objective sense that asks the why questions as you pull out action thoughts. Why do I want to do this? Why do I want to do it now? Why do I want to stop this? Why do I want to enter into this agreement? Why do I want to change? You will discover that when you have a known intent, you have enough motivation to sustain the success of your decision.
Donna Augustine, Karma|But why, everybody asks, am I not blessed by fortune (or at least not as blessed as I would like to be)? Why have I not been favored like others who are less deserving? No one believes their misfortunes are attributable to any shortcomings of their own; that is why they must find a culprit.
Amanda Steel, After the Zombies|I like zombies, Stephen King also like them.Zombies are pretty interesting creatures,...
Christopher Bollen, Orient|C'mon, let's go in my room and abuse drugs and stuff!
Sunday Adelaja|The worship of God shouldn’t be done in church alone, but in all our actions and our attitude towards His creation
L V HALL|Tapping While Peeling, Back These Masks Stained With Stars…This Ashtrays My Heart, Colored In Filters Sucked Dry From The High, The Lipsticked & Famous, The Lovers The Haters, The Bent Or Those Who Live In The Cage…With Vision Sealed Tight Denying All Light...Left Only With Assumption From A Judge In Sleep State...
Vladimir Nabokov, Speak, Memory|The act of vividly recalling a patch of the past is something that I seem to have been performing with the utmost zest all my life, and I have reason to believe that this almost pathological keenness of the retrospective faculty is a hereditary trait.
Mohsin Hamid|Democracy isn't solely about polite conversations in parliaments. It needs to be continually refreshed with raw passions, anger and ideals.
Matthew Goodman, Eighty Days: Nellie Bly and Elizabeth Bisland's History-Making Race Around the World|After the period of sex-attraction has passed, women have no power in America.” -Elizabeth Bisland
Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics|As you grow older, you realize it becomes less important to have more friends and more important to have real ones.People nowadays don't know the true meaning of friendship and loyalty.People always suddenly miss you more once they see how much happier you are without them.Learn the real from the fake....and don't worry about the mistakes you make.There are no mistakes in life, just lessons.The only people worthy to be in your life are the ones that help you through the hard times and laugh with you after the hard times pass.
Kate Forsyth, The Puzzle Ring|Forrest Gander: "Maybe the best we can do is try to leave ourselves unprotected. To keep brushing off habits, how we see things and what we expect, as they crust around us. Brushing the green flies of the usual off the tablecloth. To pay attention.
Lailah Gifty Akita, Think Great: Be Great!|It is possible to get what you want in life, you must work for it.
phoxgrimm9|Show me good,i show you better, show me bad, i show you worse...
Debasish Mridha|Fame is like drifting clouds, transient and ephemeral. Memory is forever.
Fred Saberhagen|Instead of this confusion, we need the unifying force of an official language, English, which is the language of success in America.
Wendell Berry, The Art of the Commonplace: The Agrarian Essays|Until we understand what the land is, we are at odds with everything we touch. And to come to that understanding it is necessary, even now, to leave the regions of our conquest - the cleared fields, the towns and cities, the highways - and re-enter the woods. For only there can a man encounter the silence and the darkness of his own absence. Only in this silence and darkness can he recover the sense of the world's longevity, of its ability to thrive without him, of his inferiority to it and his dependence on it. Perhaps then, having heard that silence and seen that darkness, he will grow humble before the place and begin to take it in - to learn from it what it is. As its sounds come into his hearing, and its lights and colors come into his vision, and its odors come into his nostrils, then he may come into its presence as he never has before, and he will arrive in his place and will want to remain. His life will grow out of the ground like the other lives of the place, and take its place among them. He will be with them - neither ignorant of them, nor indifferent to them, nor against them - and so at last he will grow to be native-born. That is, he must reenter the silence and the darkness, and be born again.(pg. 27, "A Native Hill")
Andy Rooney|There is something about Christmas that requires a rug rat. Little kids make Christmas fun. I wonder if could rent one for the holidays. When I was tiny we would by a real tree and stay up late drinking hot chocolate and finding just the right place for the special decorations. It seems like my parents gave up the magic when I figured out the Santa lie. Maybe I shouldn't have told them I knew where the presents really came from. It broke their hearts.I bet they'd be divorced by now if I hadn't been born. I'm sure I was a huge disappointment. I'm not pretty or smart or athletic. I'm just like them- an ordinary drone dressed in secrets and lies. I can't believe we have to keep playacting till I graduate. It's a shame we just can't admit that we have failed at family living, sell the house, split up the money, and get on with our lives. Merry Christmas.
Samuel Beckett, Molloy|Mothering your man is not sexy for you or for him. If you want your man to "start being a man", start being his lover not his mother.
Rich Mullins|Joshua made the sun stand still in the sky, but I can't keep these thoughts of You from passing by.
Laura Arrillaga-Andreessen|These are tough times, and the New Yorkers I have met are facing economic adversity with grace and dignity. They worry about their future, care about their neighbors and hope this storm will pass so they can focus on better days ahead.
Elizabeth Morgan, Blood Secrets|It has nothing to do with you—”“It has everything to do with me that you want to get yourself fucking killed.” He snarled, the words tight and full of iron. “Losing you is not an option.
Erik Tomblin, The Space Between|It was as if his song was one voice, calling out into the darkness until it was answered by another, harmonizing with its own unique voice and emotion to create something even more beautiful than the sum of its parts.
Ina May Gaskin, Ina May's Guide to Childbirth|Moss is selected to be the emblem of maternal love, because, like that love, it glads the heart when the winter of adversity overtakes us, and when summer friends have deserted us.
Toni Sorenson, Aligned By Christ|An abundant life is one where we are physically strong, mentally sound, and spiritually aflame. I
Albert Camus, Resistance, Rebellion and Death: Essays|It is a great deal to fight while despising war, to accept losing everything while still preferring happiness, to face destruction while cherishing the idea of a higher civilization.
Matthew Pearl, The Last Bookaneer|These writers take the essence of every person around them, turn them into books and stories without permission or even a simple thank-you, and want all the credit and glory for themselves.
Dinesh Kumar Biran|To the romantic soul, the rituals of Valentine's Day echo every day of the year.
Harvey Mackay|Chaotic people often have chaotic lives, and I think they create that. But if you try and have an inner peace and a positive attitude, I think you attract that.
Jane Lindskold|It's sad that because I have one friend who is in the public eye, just being seen out together once means we're romantically involved. But I don't take it seriously, and it doesn't really affect me much.
Gabrielle Black, Treating Murder|I never take out clients. It’s bad policy.” He looked me straight in the eyes as he said it. Reaching across for the glove compartment, his arm accidentally brushed my leg.
Franz Rottensteiner, The Fantasy Book: An Illustrated History From Dracula To Tolkien|Nevertheless, the potential and actual importance of fantastic literature lies in such psychic links: what appears to be the result of an overweening imagination, boldly and arbitrarily defying the laws of time, space and ordered causality, is closely connected with, and structured by, the categories of the subconscious, the inner impulses of man's nature. At first glance the scope of fantastic literature, free as it is from the restrictions of natural law, appears to be unlimited. A closer look, however, will show that a few dominant themes and motifs constantly recur: deals with the Devil; returns from the grave for revenge or atonement; invisible creatures; vampires; werewolves; golems; animated puppets or automatons; witchcraft and sorcery; human organs operating as separate entities, and so on. Fantastic literature is a kind of fiction that always leads us back to ourselves, however exotic the presentation; and the objects and events, however bizarre they seem, are simply externalizations of inner psychic states. This may often be mere mummery, but on occasion it seems to touch the heart in its inmost depths and become great literature.
