Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
Fernando Pessoa, The Book of Disquiet|My soul is impatient with itself, as with a bothersome child; its restlessness keeps growing and is forever the same. Everything interests me, but nothing holds me. I attend to everything, dreaming all the while. […]. I'm two, and both keep their distance — Siamese twins that aren't attached.
M.J. Burke Sr., Funeral in a Feminine Dress: Depravity Reborn as Virtue|How I wish, how fervently I ache, to take my mother's hand, kiss her check,tell her I love her, and watch her smile. For me it was not, nor can ever be. But for you, reach out now. Reach out for your mother's hand-the hands of those you love. Say I love you.Don't wait.
Victoria Michaels, Trust in Advertising|If you been feeling or acting crazy, think about it perhaps you are.
Lailah Gifty Akita|The problem with striving for the best, is that there will be always better than the best.
John Rush, Entheogens and the Development of Culture: The Anthropology and Neurobiology of Ecstatic Experience|Inhaling fumes directly from burning foliage, either in a confined space such as a cave or a tent, or scooping up and breathing in the vapors from psychoactive plant materials scattered on a bowl full of hot coals, must be an extremely ancient practice. Herodotus's account from the fifth-century BCE, describing the use of small tents by the Scythians (a northwestern Iranian tribe) for inhaling the smoke of cannabis, is probably the most famous account that confirms the antiquity of the use of cannabis as a ritual intoxicant.
Mary Pierce|As a matter of self-preservation, a man needs good friends or ardent enemies, for the former instruct him and the latter take him to task.
Lester B. Pearson|Let peace, descending from her native heaven, bid her olives spring amidst the joyful nations; and plenty, in league with commerce, scatter blessings from her copious hand!
Nikki Rowe|Until I realize that it’s all I gift, I can hold all of it and yet receive none of it.
Pope John XXIII|Stay focused, go after your dreams and keep moving toward your goals.
Shaun David Hutchinson, We Are the Ants|History is just a way of keeping score, but it doesn't have to be who we are.
Nikki Rowe|You won't forget a woman like her, easily anyway. Once you cross paths with Magic it's hard to see life the same.
Suzanne Scanlon, Promising Young Women|The mornings were the worst. Roger told me this was Classic Depressive. He said that mornings were generally the most trying part of the day for a Classic. As Roger spoke, I would think of all the people everywhere, all over the world, who managed to get out of bed every morning. One morning after another morning. All that getting out of bed. All those people. And then I imagined those same people all leaving the house—actually going somewhere—maybe even without thinking about it.The progress of days. All the lives in all those days. I remember wondering how it was done. As if I wasn’t implicated…Roger told me that this train of thought, too, was Classic. I wondered if he meant to be comforting.
Ernest Agyemang Yeboah|if you keep a distance to get a respect, keep a distance to keep the respect
John Patrick Hickey, Oops! Did I Really Post That|Keep the personal, personal and do not be guilty of spreading bad feelings.
Italo Calvino, If on a Winter's Night a Traveler|I, too, feel the need to reread the books I have already read," a third reader says, "but at every rereading I seem to be reading a new book, for the first time. Is it I who keep changing and seeing new things of which I was not previously aware? Or is reading a construction that assumes form, assembling a great number of variables, and therefore something that cannot be repeated twice according to the same pattern? Every time I seek to relive the emotion of a previous reading, I experience different and unexpected impressions, and do not find again those of before. At certain moments it seems to me that between one reading and the next there is a progression: in the sense, for example, of penetrating further into the spirit of the text, or of increasing my critical detachment. At other moments, on the contrary, I seem to retain the memory of the readings of a single book one next to another, enthusiastic or cold or hostile, scattered in time without a perspective, without a thread that ties them together. The conclusion I have reached is that reading is an operation without object; or that its true object is itself. The book is an accessory aid, or even a pretext.
Deyth Banger|Being nice is state of "Probability", not a state of "possibility".
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|Service Beyond Self is Essential for Success Because It . . .•	Builds credibility, trust, and customer satisfaction.•	Strengthens your personal reputation and public image.•	Fosters goodwill and makes people feel appreciated.•	Helps you build healthy relationships with others.•	Nurtures collaboration, participation, and cooperation.•	Reaffirms a continuity of service for quality assurance, integrity, and reliability. •	Saves money—it costs less to keep existing customers than it does to create new ones. When you do it right the first time, you don’t have to fix it the next time.•	Improves communication and builds rapport.•	Fosters mutual respect and understanding•	By providing other people with what they want, you will get more of what you want!
Richard M. Weaver, Ideas Have Consequences|Arthur Schlesinger admits that JFK "succumbed to the fake omniscience of insiders". Prolonged immersion in the self-contained, self-justifying world of clandestinity and deception erodes the reality principle.
Ryan Holmes|Just so everyone knows, we're not a photo-sharing company. I don't see photos on 'Instagram' as art. They're much more about communication.
Galileo Galilei|The diversity of India, of our civilization, is actually a thing of beauty, which is something we are extremely proud of.
Priyanka Chopra|I believe destiny and hard work go hand in hand. I was studying to be an engineer when my mom and my brother sent my pictures for the Miss India contest. I didn't even know about it. If that isn't destiny, what is?
John P. Avlon|The heirs of Jefferson and Madison would be the Democratic-Republicans, the heirs of Hamilton and Adams would be the Federalists. But the heirs of Washington would be all Americans.
Alistair Horne|The laity ought to understand the faith, and since the doctrines of our faith are in the Scriptures, believers should have the Scriptures in a language familiar to the people, and to this end the Holy Ghost endued them with knowledge of all tongues.
Fiona Archer, Chloe's Double Draw|Snuggle up with a hot fireman! Meet Tanner West.Sharon looked up into the most gorgeous face she had ever seen. Eyes like dark chocolate, deep and warm, stared out at her from a face that looked like it could have been chiseled in stone. Skin the color of burnished copper, high cheekbones, a sharp nose, full lips, and a cleft chin. How the hell had she failed to notice him before? Her heart skipped a beat and she ran her gaze down the rest of his body. He was tall, well over six feet, she would guess, with broad shoulders that tapered into a trim waist. His thighs, encased in worn denim, fit like a second skin against legs the size of tree trunks, and oh my, what lay between those thighs… Her attention snapped back to his face and she could feel the heat of a blush suffuse her skin.
Julie Kagawa, The Immortal Rules|Life is like music on a scale, moving up and down. When your life is over, you have written your song.
Fern Michaels, Secret Santa|Bach felt the beauty and sadness of the moment. These men who defied the power of the Russian heavy artillery, these coarse, hardened soldiers who were dispirited by their lack of ammunition and tormented by vermin and hunger had all understood at once that what they needed more than anything in the world was not bread, not bandages, not ammunition, but these tiny branches twined with useless tinsel, these orphanage toys.
Bluenscottish|The strong leader takes a chance when there is little hope,The hope that he will succeed and little chance of failure
Cynthia D'Aprix Sweeney, The Nest|America Is A GunEngland is a cup of tea. France, a wheel of ripened brie.Greece, a short, squat olive tree.America is a gun.Brazil is football on the sand.Argentina, Maradona's hand.Germany, an oompah band.America is a gun.Holland is a wooden shoe.Hungary, a goulash stew.Australia, a kangaroo.America is a gun.Japan is a thermal spring.Scotland is a highland fling.Oh, better to be anythingthan America as a gun.
Kirtida Gautam, #iAm16iCan|You f*#ked my v*g*na, you wanted to think that you f#*ked my mind, but unlike you, D*ck, my mind doesn't lie between my two legs. ~ Subhangi Tyagi
Sara Raasch, Snow Like Ashes|Mather smiles at me through it, some of his tension softening before he drops his head in a small bow. "My queen," he says in response.
Adam Hamilton, When Christians Get It Wrong|If you boiled down the gospel to one word, it would be love.
Jason Mandryk, Operation World: When We Pray God Works: 21st Century Edition|Always have there been great numbers of individuals who were very much eager to fight for good causes. Always there were these, but then there were even greater numbers of trendies who would then become wholly and completely misguided in the efforts.
Amos Oz, A Tale of Love and Darkness|The morning opens, a mist of innocence appears across the countryside that tells each one of us the day is new. That feeling of hope, love and the humble awareness of our duty becomes clear if even for a moment. It is that experience of inspiration that follows us into a small town woken by a cool frost on this Sunday morning and the laughter of children playing.
Alethea Black, I Knew You'd Be Lovely|I am still alone, broken and small, the butterfly fighting for life in the grass.
Flannery O'Connor|Fiction is about everything human and we are made out of dust, and if you scorn getting yourself dusty, then you shouldn't try to write fiction. It's not a grand enough job for you.
Louise Erdrich, The Painted Drum|Life will break you. Nobody can protect you from that, and being alone won't either, for solitude will also break you with its yearning. You have to love. You have to feel. It is the reason you are here on earth. You have to risk your heart. You are here to be swallowed up. And when it happens that you are broken, or betrayed, or left, or hurt, or death brushes too near, let yourself sit by an apple tree and listen to the apples falling all around you in heaps, wasting their sweetness. Tell yourself that you tasted as many as you could.
Richard L.  Ratliff|A protect-yourself-first-and-foremost idea has subverted the mission of law-enforcement officers, just as it may have degraded the military's.
J. Budziszewski|The unitive capacities of the spouses don't exist for nothing; they exist for motherhood and fatherhood. That is the matrix in which they develop, for children change us in a way we desperately need to be changed. They wake us up, they wet their diapers, they depend on us utterly. Willy-nilly, they knock us out of our selfish habits and force us to live sacrificially for others; they are the necessary and natural continuation of the shock to our selfishness which is initiated by matrimony itself.
Sarah Addison Allen, The Peach Keeper|But that would leave Paxton to fend for herself, and the last thing any woman wanted in this kind of situation was to look around and see all the people who could help her doing nothing.
Rohinton Mistry, A Fine Balance|Birth and death - what could be more monstrous than that? We like to deceive ourselves and call it wondrous and beautiful and majestic, but it's freakish, let's face it.
Neil Gaiman, Stardust|The castle of Cair Paravel on its little hill towered up above them; before them were the sands, with rocks and little pools of salt water, and seaweed, and the smell of the sea and long miles of bluish-green waves breaking for ever and ever on the beach. And oh, the cry of the seagulls! Have you ever heard it? Can you remember?
Harper Lee, To Kill a Mockingbird|...but before I can live with other folks, I've got to live with myself.The one thing that doesn't abide by mojority rule is a person's conscience.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Always be good to yourself and others. Always do what is right even if doing something wrong is quicker, more rewarding or easier. Always put truth in your every word and action, and never ignore your conscience until you die.
Charles Manson|Nothing goes so well with a hot fire and buttered crumpets as a wet day without and a good dose of comfortable horrors within. The heavier the lashing of the rain and the ghastlier the details, the better the flavour seems to be.
Dennis Lehane, Prayers for Rain|Some ghost of myself still lived back in the days when we'd shared a bed and talked of the future. But that love we'd had and those selves we'd been were gone, placed in a box like old photographs and letters you'd never read again.
Stephen Richards, Insanity: My Mad Life|Asylums are crazy places, with crazy rules. If you’re not mad when you arrive, you are when you leave. (That’s if you ever leave.) I was lucky…I got slung out; they couldn’t afford to keep me any longer.
Ed McMahon|The world is full of musicians who can play great, and you wouldn't cross the road to see them. It's people who have this indefinable attitude that are the good ones.
Douglas Horton|You will not be punished for your anger, you will be punished by your anger.
Cassandra Clare, City of Fallen Angels|Jace perched on the windowsill and looked down at him. "You really don't get this bodyguard thing, do you?""I didn't even think you liked me all that much," said Simon. "Is this one of those keep-your-friends-close-and-your-enemies-closer things?""I thought it was keep your friends close so you have someone to drive the car when you sneak over to your enemy's house a night and throw up in his mailbox.""I'm pretty sure that's not it
Katrena Patterson|I've failed in communication...and so I've learned to have open and honest dialogue at the opportune, and appropriate time.I've failed in relationships...and so I've learned to appreciate the people in my life, and to treat them with kindness.I've failed in paying bills...and so I've learned to properly and effectively manage my time, my talent and my resources.I've failed in work or business ventures...and so I've learned to be more prudent with planning, and more efficient in execution.I've failed in dodging a ball...and so I've learned to anticipate danger and to protect myself.I don't mind acknowledging my failures, because they've played a valuable part to my successes.Live, Love, Learn, and Be Well.
Drew Barrymore|I think working with Johnny Depp was very intimidating. It was my fault though. I mean he's a total cool nice, nice guy, but I was just so, I don't know, overpowered by his presence. Like he's a very mystic person. He's older so I never really warmed up around him. I was so stiff.
Elizabeth Payson Prentiss, Stepping Heavenward|Wondrous as it is, how simple is this mystery! To love Christ and to know that I love Him--this is all!
Jon Scieszka|I'm in a difficult position in the sense that, preposterous as this might sound, I don't like being the centre of attention. I get up on stage every night and play songs, but I almost feel the songs are the centre of attention. I don't like opening my birthday presents in front of people, either.
Israelmore Ayivor, Become a Better You|Share them with only people who can help you with information and support. When you meet negative people, zip your mouth.
RVM|Learn to surrender, because sometimes, when there is no way, surrender is the way.
Pete Townshend|Do you realize why is it I'm so driven to operate within the Establishment? It's vengeance. 'Hope I die before I get old' is something I still have to live with, but not for the reason many people think. I have to be very, very vigilant not to become one of those people I despised.
William Kingdon Clifford|So far as the economic condition of society and the general mode of living and thinking were concerned, I might claim to have lived in the time of the American Revolution.
Timothy Zahn, Choices of One|In order that there may be institutions, there must be a kind of will, instinct, or imperative, which is anti-liberal to the point of malice: the will to tradition, to authority, to responsibility for centuries to come, to the solidarity of chains of generations, forward and backward ad infinitum.
Karen Salmansohn, Instant Happy Journal: 365 Days of Inspiration, Gratitude, and Joy|You know what's sexy? A person who's been through a life challenge, and comes out with insights, more depth, and a fiery passion to face forward, forward, forward!
Louis Auchincloss, East Side Story|Not the least of the hardships to which the dying are subject is the visitation of their loved ones. The poor darlings, God bless them, may feel every impulse to condole and console, but their primary sensation is nonetheless one of embarrassment in the presence of the unspeakable and a guilty gratitude that it is not yet their fate.
Louise Penny, A Fatal Grace|She put her hands together and Saul hoped she wasn’t about to say—‘Namaste,’ said CC, bowing. ‘He taught me that. Very spiritual.’She said ‘spiritual’ so often it had become meaningless to Saul.‘He said, CC Das, you have a great spiritual gift. You must leave this place and share it with the world. You must tell people to be calm.’As she spoke Saul mouthed the words, lip-synching to the familiar tune.‘CC Das, he said, you above all others know that when the chakras are in alignment all is white. And when all is white, all is right.’Saul wondered whether she was confusing an Indian mystic with a KKK member. Ironic, really, if she was.
Larken Rose|Property taxes' rank right up there with 'income taxes' in terms of immorality and destructiveness. Where 'income taxes' are simply slavery using different words, 'property taxes' are just a Mafia turf racket using different words. For the former, if you earn a living on the gang's turf, they extort you. For the latter, if you own property in their territory, they extort you. The fact that most people still imagine both to be legitimate and acceptable shows just how powerful authoritarian indoctrination is. Meanwhile, even a brief objective examination of the concepts should make anyone see the lunacy of it. 'Wait, so every time I produce anything or trade with anyone, I have to give a cut to the local crime lord??' 'Wait, so I have to keep paying every year, for the privilege of keeping the property I already finished paying for??' And not only do most people not make such obvious observations, but if they hear someone else pointing out such things, the well-trained Stockholm Syndrome slaves usually make arguments condoning their own victimization. Thus is the power of the mind control that comes from repeated exposure to BS political mythology and propaganda.
Guy de Maupassant, Le Horla et autres contes fantastiques|They were pleased to eat more Nazis, although nervous about too many disappearances being noticed. More troubling, however, was the flavor. Nazis were nearly indigestible. The taste of hate was hard to swallow.
Mark Doty, Heaven's Coast: A Memoir|And, I think, this greening does thaw at the edges, at least, of my own cold season. Joy sneaks in: listening to music, riding my bicycle, I catch myself feeling, in a way that’s as old as I am but suddenly seems unfamiliar, light. I have felt so heavy for so long. At first I felt odd- as if I shouldn’t be feeling this lightness, that familiar little catch of pleasure in the heart which is inexplicable, though a lovely passage of notes or the splendidly turned petal of a tulip has triggered it. It’s my buoyancy, part of what keeps me alive: happy, suddenly with the concomitant experience of a sonata and the motion of the shadows of leaves. I have the desire to be filled with sunlight, to soak my skin in as much of it as I can drink up, after the long interior darkness of this past season, the indoor vigil, in this harshest and darkest of winters, outside and in.
Christina Marie Morales, Ambience|Two spacemen touching in anti-gravity is like a kiss. But then, there is nothing like a kiss. A kiss is a rare bird. The first sip of champagne. The fleeting glimpse of a shooting star. The kiss is uniquely human. We exchange bodily fluids with a kiss. A great kiss is like eating melon on a picnic. Like diving into a warm sea. A French kiss is a battle of tongues where everyone wins.
Sukant Ratnakar|If your thoughts can change your actions, then your actions can change your thoughts.
Anonymous|The synopsis looked good, the cover looked nice, you opened the book and began a new life. You found a new home,  you met some new friends, you kept on reading, hoping it ould never end. You danced through the pages, you sang out the words you felt all their joy, and all their pain and hurt. The pages cut your fingers, and the words cut your heart, like the author had a knife,  and was tearing your soul apart. You laughed with the characters, and with them, you cried, you fell in love with them, too but with them, you died, and when the book reached its end, and your broken heart couldn't heal, you suddenly realized that  its not  real.
Catherine Ryan Hyde|'All in With Laila Ali' is educational, inspirational, compelling programming profiling individuals that have reached for the sky, pushed themselves to the limit and did things that you would think were impossible.
Riisa Renee, Breaking the Silence|My prayer for you today is that you experience the Love that God has for you in such a profound, childlike way that your perspective is completely transformed. As you encounter circumstances in your life, from the trivial to the catastrophic, may you be more acutely aware of the magnitude of His love for you than the magnitude of the troubles you face.
Mike White|I'm like the master of ceremonies being funny, and then sometimes people you're with, girlfriends and stuff, are like, 'God I wish I had the person on stage to be with all the time.'
Karen Armstrong|I always joke about letting the haters motivate you. Everybody has that in their life, people who doubt them or make them feel less than they are. It just takes faith and belief in yourself, and you've got to dig deep into that. That has to come from you - nobody's going to give you that.
Captain Hank Bracker, "Seawater One...."|Everything that he was saying sounded incredible, but Frank knew enough about politics to know that governments got away with what they did because they counted on ordinary citizens dismissing events as being too incredible and implausible. 
John Steinbeck, Of Mice and Men|Just like heaven. Ever’body wants a little piece of lan’. I read plenty of books out here. Nobody never gets to heaven, and nobody gets no land. It’s just in their head. They’re all the time talkin’ about it, but it’s jus’ in their head.
J.R.R. Tolkien, The Return of the King|We were talking the other evening about the phrases one uses when trying to comfort someone who is in distress. I told him that in English we sometimes say, 'I've been there.' This was unclear to him at first-I've been where? But I explained that deep grief sometimes is almost like a specific loacation, a coordinate on a map of time. When you are standing in that forest of sorrow, you cannot imagine that you could ever find your way to a better place. But if someone can assure you that they themselves have stood in that same place, and now have moved on, sometimes this will bring hope.'So sadness is a place?' Giovanni asked.'Sometimes people live there for years,' I said.
Christian Louboutin|Many of my friends back in New York and elsewhere have a glib or dismissive attitude toward Los Angeles. It's a place of strip malls and traffic and not much else, in their opinion.
Carson Daly|I've been diving for about 30 years, and I can honestly say that I've had some amazing encounters with sharks, squids, and other whales. But the encounter with the right whales in the Auckland Islands was probably the best thing I've ever done. It was just that amazing.
Lang Leav, Lullabies|Some pieces will sing to your present, others may echo of your past, and the rest could whisper of your future.
Patricia A. McKillip|Only yesterday a young woman came to me wanting a trap set for a man with a sweet smile and lithe arms. She was a fool, not for wanting him, but for wanting more of him than that.
Saaif Alam|Critics must use clear facts and an insightful cognitive paradigm to back up their argument if they want to negate other people's thoughts and opinions about a specific person, place,and/or situation. If they use that strategy to make an counterargument with their opponents, they can always defend their position in a regular verbal dispute or a debate.
Patti Callahan Henry, Driftwood Summer|A broken heart, too much cold beer, ocean waves and a willing man were never a good combination, no matter what the country songs said.
Brooklyn Ann, Wynter's Bite|God, you feel so good on top of me,” he whispered, rucking up her skirts to feel more of her silken skin.“No, you feel good.” Her hips arched against his erection and she licked her lips. “Is it possible for us to…” she trailed off with a blush.“Oh yes,” he whispered…
John Cusack|An actor should never be influenced by the surroundings, because you have to submit completely, and trust me, it's not a good feeling when you know that your father is going to come and watch you work every day!
Rohit Kumar Singh|For balance to be restored, lessons must be learned.
Christina Lauren, Beautiful Beginning|Look, I wanted to mention something to you," I said. Play it off as casual. Play it off as no big deal. Be cool.Her lips curled up in an amused smile. "Okay?""You know what a horrible prankster Will can be." She nodded and I continued: "I may have just done something to get back at him and I swear," I said, resting a hand on her shoulder, "I swear, Hanna, you'll think it's hilarious... eventually.""Eventually?""Absolutely. Eventually."She considered me through narrowed eyes. "This is just a prank, right? No shaved heads or scars?"I pulled back to study her. "That was a very specific question. Scars?" I shook my head, clearing it. "And no, no, no, no. Just a silly little prank." I gave Hanna my best smile, the one Chloe said made panties drop. But apparently it only made Hanna more suspicious.Her eyes narrowed further. "What would I need to do?""Nothing," I said. "You'll probably see some weird stuff but just... go along with it.""So, basically be oblivious.""Exactly," I said."And this will be funny?""Hilarious."She thought about it for a full ten seconds before reaching out to shake my hand. "You're on.
E.L. Todd, Monday|To ensure the fairytale ends well, I will stand by her side until she trusts me.
Alan James Roll, Milky Way Dreamer|Look up, greet sparks of fire with salted eyes,For he’s a burning atmospheric sigh:One blaze of liquid flame on midnight sky,Soft orbital decay, and last goodbye.
Robert Henri|The object isn't to make art, it's to be in that wonderful state which makes art inevitable.
Steven Magee, Solar Radiation, Global Warming and Human Disease|[W]e may now be on the threshold of a new kind of genetic takeover. DNA replicators built 'survival machines' for themselves — the bodies of living organisms including ourselves. As part of their equipment, bodies evolved onboard computers — brains. Brains evolved the capacity to communicate with other brains by means of language and cultural traditions. But the new milieu of cultural tradition opens up new possibilities for self-replicating entities. The new replicators are not DNA and they are not 158 The Blind Watchmaker clay crystals. They are patterns of information that can thrive only in brains or the artificially manufactured products of brains — books, computers, and so on. But, given that brains, books and computers exist, these new replicators, which I called memes to distinguish them from genes, can propagate themselves from brain to brain, from brain to book, from book to brain, from brain to computer, from computer to computer.
Kōji Suzuki, Ring|Think! There's nothing certain in our future! All we can hope for is a vague continuation. But in spite of that, you're going to keep on living. You can't give up on life just because it's vague. It's a question of possibilities...
Shelly Thacker, Forever His|Only two things kept her from loathing him.The expression on his face when he'd said, "France." And the expression on his face when he'd said, "home.
Elisa Marie Hopkins, A Diamond in the Rough|Anarchy has the flexibility to overcome many of the traditional problems of activism by focusing on revolution not as another cause but as a philosophy of living. This philosophy is as concrete as a brick being thrown through a window or flowers growing in the garden. By making our daily lives revolutionary, we destroy the artificial separation between activism and everyday life. Why settle for comrades and fellow activists when we can have friends and lovers?
Hilary Thayer Hamann, Anthropology of an American Girl|Kate lost a mother," I said, "but I lost a nothing."Kate doesn't feel that way," Jack assured me.But what about everybody else besides Kate? How can I ever explain to anyone what she was when she and I had no name? People need names for everything. I wasn't a relative or a friend, I was just an object of her kind
Azar Nafisi, Reading Lolita in Tehran|Every fairy tale offers the potential to surpass present limits, so in a sense the fairy tale offers you freedoms that reality denies. In all great works of fiction, regardless of the grim reality they present, there is an affirmation of life against the transience of that life, an essential defiance. The affirmation lies in the way the author takes control of reality by retelling it in his own way, thus creating a new world. Every great work of art, I would declare pompously, is a celebration, an act of insubordination against the betrayals, horrors and infidelities of life. The perfection and beauty of form rebels against the ugliness and shabiness of the subject matter. This is why we love "Madame Bovary" and cry for Emma, why we greedily read "Lolita" as our heart breaks for its small, vulgar, poetic and defiant orphaned heroine.
Jennifer L. Armentrout, The Problem with Forever|It's lovely to be going home and know it's home. I love green gables already, and I've never loved any place before. Oh, Marilla, I'm so happy.
Becca Fitzpatrick, Finale|Every time you strip my sword, I owe you a kiss. How's that sound?" I bit my lip to keep from giggling. "That sounds really dirty." Patch waggled his brows. "Look whose mind just rolled into the gutter.
Jasiah Rosariio|Want less, need less, live more.
Akiroq Brost|If you want to expand your perspective and learn something new, it will help if you can temporarily suspend your beliefs. Whenever we encounter something, our minds try to define an understanding based on what we already think we know. But sometimes, something new is so radical that to explain it in old terms would serve it a great injustice. If we are able to suspend our beliefs, and open our imagination, we might have the opportunity to travel to a whole new understanding or perspective. I believe that this is why the new and unknown can be so uncomfortable for us. We try so hard to hang on to the comfort of what we know regardless of how well that serves us. Dare to be brave. Dare to dream and imagine. Don't close yourself off from the new. Move forward with positive momentum, never stop learning and growing.
Michael Bassey Johnson, The Infinity Sign|Whether people see you as a shadow or as an invisible or stupid sort of thing, a time will come when that Image of yours will never be seen by commoners.
Merri Lisa Johnson|While you were busy trying to prove God stands behind you, God was before me lighting the trail, so he could lead us both.
Louis L'Amour|It has seemed to me that each year one should pause to take stock of himself, to ask: Where am I going? What am I becoming? What do I wish to do and become?Most people whom I encountered were without purpose, people who had given themselves no goal. The first goal need not be the final one, for a sailing ship sails first by one wind, then another. The point is that it is always going somewhere, proceeding toward a final destination.
Colleen Hoover, Maybe Not|The next time you're mad at me, talk to me,' he said. 'Don't shut me out. I don't like playing games. And by the way, I had a great time, too.
Sheri L. Dew|My age has so little to do with my image of myself because at a certain point, the number just didn't fit how I felt. It has become irrelevant to me. I just don't feel like that number is representative of my spirit, of my energy or my anything!
Sherry Hunter|It was like I'd climbed Everest, had the summit in my sight, the flag in my hand, all ready to pierce it into the top of the mountain and say, "Whoopdedoo, I made it," and then an avalanche from out of nowhere swept me right back to the bottom of the mountain again. Was it worth bothering to try and climb it again? I was exhausted. I'd already climbed it. I didn't want to...but, then, what other choice was there?
Veronica Roth, Divergent|If Mark really had managed to acquire some information about the Mogodorians, and if doing so had gotten him into some kind of trouble, then we needed to help him
Clifford Grobstein|The typical imperative from biology is not "Thou shalt... ," but "If ... then ... else.
Charise Mericle Harper, Flashcards of My Life|Even though friends say they are interested in your life, they never really want to talk about you as much as you want them to. (68)
Amanda Leigh, Scarred|I read the first few," said Jackaby. "I've instructed my duck to just file the rest directly under P. I left it to him to decide if that was for politics or paranoia.
Ann Brasco|Often, our relationships become an unrealized quest for what is perfect, unfettered, and free of flaws. We expect our partners, spouses, and our friends to avoid missteps and to be magical mind readers. These secret expectations play a sinister part in many of the great tragedies of our lives: failed marriages, dissipated dreams, abandoned careers, outcast family, deserted children, and discarded friendships.We readily forget what we once knew as children: our flaws are not only natural but integral to our beings. They are interwoven into our soul’s DNA and yet we continually reject the crooked, wrinkled, mushy parts of our life rather than embrace them as the very essence of our beings.I once believed that aiming for perfection would land me in the realm of excellence. This, however, may not be the trajectory of how things happen. In fact, the pursuit of perfection may be the biggest obstacle to becoming whole.It seems essential to value hard work and determination and yet recognize that the road to excellence is littered with mistakes and subsequent lessons. Imperfection and excellence are intertwined. There is joy in our pain, strength in weakness, courage in compassion, and power in forgiveness.
Reed Hastings|In Hollywood, they think drawn animation doesn't work anymore, computers are the way. They forget that the reason computers are the way is that Pixar makes good movies. So everybody tries to copy Pixar. They're relying too much on the technology and not enough on the artists.
Tan Redding, A Banquet Of Crumbs|She wasn’t sure if she even needed him anymore and the thought made her sad. In consolation, she offered him a kind smile and reached for his dependable hand.
David Gaider, The Stolen Throne|In existence; you are matter, form or body, Living from moment to moment in self-consciousness. When you become formless in pure consciousness; You dissolve into that absolute presence.
