Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
Sunday Adelaja|For life to smile at you, you must equip yourself with the power of change.
Shon Hyneman|Give me the strength to lead, for I fear otherwise we may hang ourselves.
Stephen King, The Gunslinger|A few of the gunslingers dance, but only a few. And they were the young ones. The other ones only sat, and it seemed to me they were half embarrassed in all that light, that civilized light.
Shannon L. Alder|Don't beg for approval or expect respect. Respect comes from within and your choice to allow people to take it from you, by how you teach them to treat you.
Rick Yancey, The Infinite Sea|To conceive of a god in one’s image is already quite a feat for inflated egos. To imagine, however, that this likeness has chosen your generation amongst the thousands for ending the party is to bring the egocentrism to new heights.
Élisabeth Badinter, The Conflict: How Modern Motherhood Undermines the Status of Women|You don't get your prebaby body back, ever, because you cannot go back to being a person who hasn't had a baby. Because you had a baby.
Sereda Aleta Dailey, The Art of Manifesting Abundance|To me, the simplest gift that a husband or a wife can do for their partner is to remind them of their precious visions, goals and dreams. What a gift that is to have a voice of reason right in your corner when you sometimes need a little nudge to get back on track. To have a team player to cheer you on and to support your efforts is indeed a massive present from the universe. Whomever has such a gift should surely treasure and protect it for all its worth. It's worth is invaluable to the world.
Csaba Gabor - B|Luck is not some esoteric, godlike phenomenon. Luck is countable but undefinable. Luck easily can be explained as number of factors acting in a favour of a person. These factors' behaviour could be statistically proved , and the probability of such result is possible. It is not related to something explainable event. Actually, the miracle would be if these events (luck) are not in presence in our life. The matter as then would be mathematics proved wrong. So, make your luck!"﻿
Trenton Lee Stewart, The Mysterious Benedict Society|I lost my freedom for so many years. Until he entered my cage. Him, with the black eyes and blacker soul.
Nick Lake, Hostage Three|Myth: US housing market is in recovery. Fact: Big banks have been hiding their bloated home inventory, seized by virtue of home foreclosures.
E.S. Carter, Three|It's me I'm losing control of. Hundreds of sketches, and still can't get enough of your face." He traces the dimple in my chin with his thumb. "Your neck." His palm moves along my throat. "Your..." both hands find my waist and drag me off the table so we're standing toe tote. "I'm not wasting another second drawing you," he whispers against my lips, "when I can touch you instead." He presses his mouth to mine.A spark, hot and electric, jumps between us. Shock and sensation shimmer through me, aglow with his heat ad flavor. Six year of secret desire. Six years of denying that he's the orbit of my world.To think, he's been running from me, too.
Paul Regnier, Space Drifters: The Emerald Enigma|There were no mirrors nearby to pose in front of, but I was convinced I was looking pretty awesome.
Abhijit Naskar, I Am The Thread: My Mission|I was not born with a silver spoon in my mouth, nor did I have access to information like you do today via the internet. I had to learn everything the hard way. And I had to become a scientist the old-fashioned way, which is, not through academia, but through trial and error. And my hardship opened up unforeseen gateways of perception in my mind. And through these gateways, today the whole world is able to see its inner self.
Carolyn Keene, The Clue of the Broken Locket|I just know that any time I undertake a case, I'm apt to run into some kind of a trap.
Jennifer L. Armentrout, Cursed|Sometimes, I have to look twice at you just to see if you’re actually real. That much beauty is dangerous.
Sue Miller, While I Was Gone|And I was remembering that time in our lives together, the time of those ritual walks. I was remembering the way it feels at just that moment when you begin to turn, when you’re poised exactly between the things in life you want to do and those you need to do, and it seems for a few blessed seconds that they are all going to be the same.
Ursula K. Le Guin, The Dispossessed|He has a traditional shopper's DNA, an eye for freshness and appearance, and a consistent sense of a home to go back to.
-Unknown|When life gives you a hundred reasons to cry, show life that you have a thousand reasons to smile.
Sebastian Junger, War|Stripped to its essence, combat is a series of quick decisions and rather precise actions carried out in concert with ten or twelve other men. In that sense it’s much more like football than, say, like a gang fight. The unit that choreographs their actions best usually wins. They might take casualties, but they win. That choreography—you lay down fire while I run forward, then I cover you while you move your team up—is so powerful that it can overcome enormous tactical deficits. There is choreography for storming Omaha Beach, for taking out a pillbox bunker, and for surviving an L-shaped ambush at night on the Gatigal. The choreography always requires that each man make decisions based not on what’s best for him, but on what’s best for the group. If everyone does that, most of the group survives. If no one does, most of the group dies. That, in essence, is combat.
K.W. Jeter, Morlock Night|Every minister worthy of the name has to walk the line between prophetic vision and spiritual sustenance, between telling people the comforting things they want to hear and challenging them with the difficult things they need to hear. In Oxford, Daddy began to feel as though all the members wanted him to do was to marry them and bury them and stay away from their souls.
Pelé|The more difficult the VICTORY,The Greater the Happiness in WINING
Hamza wolf|When those who name dead people have gone, there just remains the calmness of foreign cemeteries, in which nothing appears familiar and nothing frightens you.
Richard von Krafft-Ebing|I have fooled life and life has fooled me. We are quits. I say good-bye. Think sometimes in the hour of happiness of your poor, comical fool who loved you truly and so well.
Amy Bloom|Be real and be unashamed, even of your faults. I do truly know what my husband is made of and vice versa. 
Wendell Berry, Bringing it to the Table: On Farming and Food|[Neighbor is] not he whom I find in my path, but rather he in whose path I place myself, he whom I approach and actively seek.
Nikki Rowe|Have you ever thought; whilst looking all this time for the magic in the world, it's been inside you all along? No matter how far you travel, how wide you spread your wings and learn to fly if you have no idea what treasures hide within you you'll be searching your entire life.
Cindi Madsen, Resisting the Hero|A guy approached her, beer bottle in one hand, smiling at her in that way guys do when they think they’re good- looking enough to smile and get anything they want. “My friend and I were just talking about what a sausage fest this was, and then you came in.” He ran his appraising gaze down her body, lingering on the V of her neckline.Faith crossed her arms. “That works out, because I’m here for a weenie roast.He put a protective hand over his package—probably without realizing he was doing it—but his smile widened.
Thomas Newkirk, Holding on to Good Ideas in a Time of Bad Ones: Six Literacy Principles Worth Fighting for|[The Internet] affects democracy... As more and more citizens express what they think, and defend it in writing, that will change the way people understand public issues. It is easy to be wrong and misguided in your head. It is harder when the product of your mind can be criticized by others. Of course, it is a rare human who admits that he has been persuaded that he is wrong. But it is even rarer for a human to ignore when he has been proven wrong. The writing of ideas, arguments, and criticism improves democracy.
Millard Kaufman|If. If Mingus Rude could be kept in this place, kept somehow in Dylan's pocket, in his stinging, smudgy hands, then summer wouldn't give way to whatever came after. If. If. Fat chance. Summer on Dean Street had lasted one day and that day was over, it was dark out, had been for hours. The Williamsburg Savings Bank tower clock read nine-thirty in red-and-blue neon. Final score, a million to nothing. The million-dollar kid.Your school wasn't on fire, you were.
Alfred Russel Wallace|From dead plant matter to nematodes to bacteria, never underestimate the cleverness of mushrooms to find new food!
April Cassidy, The Peaceful Wife|I decided to throw out everything I thought I knew about following Christ, being a woman, being a godly wife, masculinity, and marriage.
Mirella Muffarotto, Soccer Sweetheart|He could no longer pretend not to have been brought to his knees by her blows, and he could no longer avoid the sentiments that his heart forced him to feel.
Richard G. Scott|Repeatedly I have been impressed to learn that to reach a goal never before attained, one must do things never before done.
James Rozoff, Stories Light And Dark: Ten Short Stories|Will is a gift from God, desire from the devil.
Harper Lee|If a man says to you, "This is the truth," and you believe him, and you discover what he says is not the truth, you are disappointed and you make sure you will not be caught by him again. But a man who has lived the truth--and you have believed in what he has lived--he does not leave you merely wary when he fails you, he leaves you with nothing.
Connie Willis, Bellwether|What's Management up to?" I whispered to Bennett."My guess is a new acronym," he whispered. "Departmental Unification Management Business." He wrote down the ltters on his legal pad. "D.U.M.B.
Steve Goodier|Hard to remember these days that there was a time you had to wait for the ink and paper reviews to see your work excoriated. With the invention of the internet, any subliterate cretin can be Michiko Kakutani.
A.E.H. Veenman, Dial QR for Murder|The bell seemed to have set off analarm in my brain, and I glimpsed at the mysterious envelope on my desk.There was another item I should’ve gotten from my single-shoe salesman.
Elizabeth von Arnim, Fraulein Schmidt and Mr Anstruther|I loved watching her run around. I was in love with the innocence of dogs, the purity of their affection. They didn’t know enough to hide their feelings. They existed. A dog was a dog.
Hugh MacLeod, Ignore Everybody: and 39 Other Keys to Creativity|People are fond of spouting out the old cliché about how Van Gogh never sold a painting in his lifetime. Somehow his example serves to justify to us, decades later, that there is merit in utter failure.Perhaps, but the man did commit suicide. The market for his work took off big-time shortly after his death. Had he decided to stick around another few decades he most likely would’ve entered old age quite prosperous. And sadly for failures everywhere, the cliché would have lost a lot of its power.The fact is, the old clichés work for us in abstract terms, but they never work out in real life quite the same way. Life is messy; clichés are clean and tidy.
Tiffany Baker, The Gilly Salt Sisters|She did it without thinking--At that moment she was pure Gilly again: red-haired, with fury for blood, perfect aim, and nothing to lose.
Emma Stone|Yeah, I get to fight in 'Eclipse.' My trainer is teaching me MMA right now. So. Cool.
Roy T. Bennett, The Light in the Heart|If you believe very strongly in something, stand up and fight for it.
Colleen Boyd, Swamp Angel|Get me in here. Get me in here now!" I order. I have to get out of the swamp before it happens again.But it does.I feel it before I see it. Dozens of thick, razor-sharp needles pierce my right leg, sinking into my skin. It hurts like nothing I've felt before, and a strangled scream of pain escapes me.Babette whips her head around, the motor forgotten. "Rylan! What is it!""Get me out! GET ME OUT!" I scream. Fearfully, I look over my shoulder, but seconds later I wish I hadn't as the attacker comes to the surface. It has a scaly body, sharp claws, feral eyes, and a long, ugly, sneering snout that's clamped around my leg.Melanie identifies it with a shriek. "GATOR!
Hilary T. Smith|It's hard to say which I like more, the perfectly happy days or the hours right after we've ended a good fight.
John (Fire) Lame Deer|One thus gets an impression that civilization is something which was imposed on a resisting majority by a minority which understood how to obtain possession of the means to power and coercion. It is, of course, natural to assume that these difficulties are not inherent in the nature or civilization itself but are determined by the imperfections of the cultural forms which have so far been developed. And in fact it is not difficult to indicate those defects. While mankind has made continual advances in its control over nature and may expect to make still greater ones, it is not possible to establish with certainty that a similar advance has been made in the management of human affairs; and probably at all periods, just as now once again, many people have asked themselves whether what little civilization has thus acquired is indeed worth defending at all. One would think that a re-ordering of human relations should be possible, which would remove the sources of dissatisfaction with civilization by renouncing coercion and the suppression of the instincts, so that, undisturbed by internal discord, men might devote themselves to the acquisition of wealth and its enjoyment. That would be a golden age, but it is questionable if such a state of affairs can be realized. It seems rather that every civilization must be built upon coercion and renunciation of instinct; it does not even seem certain that if coercion were to cease the majority of human beings would be prepared to undertake to perform the work necessary for acquiring new wealth. One has, I think, to reckon with the fact that there are present in all men destructive, and therefore anti-social and anti-cultural, trends and that in a great number of people these are strong enough to determine their behavior in human society.
Rick Riordan, The Blood of Olympus|He was slumped over, blood trickling from the side of his mouth. I shook his furry hip, thinking, No! Even if you are half barnyard animal, you're my best friend and I don't want you to die!
Piet Hein, Grooks 1|After all, what is art? Art is the creative process and it goes through all fields. Einstein’s theory of relativity – now that is a work of art! Einstein was more of an artist in physics than on his violin.Art is this: art is the solution of a problem which cannot be expressed explicitly until it is solved.
John Tyndall, Faraday as a Discoverer|... though he [Michael Faraday] took no cities, he captivated all hearts.
Mo Ibrahim|I speak directly to the people, and I know that the people of California want to have better leadership. They want to have great leadership. They want to have somebody that will represent them. And it doesn't matter if you're a Democrat or a Republican, young or old.
Philip Stanhope, 4th Earl of Chesterfield|Lives of great men all remind us, we can make our lives sublime, and, departing, leave behind us, footprints on the sands of time.
Ridhdhesh Jivawala|No matter how much time and space may come between us, I still feel you.
James Dickey|... Up telephone poles, Which rear, half out of leavageAs though they would shriekLike things smothered by their ownGreen, mindless, unkillable ghosts.In Georgia, the legend saysThat you must close your windowsAt night to keep it out of the houseThe glass is tinged with green, even so,As the tendrils crawl over the fields.The night the Kudzu hasYour pasture, you sleep like the dead.Silence has grown orientalAnd you cannot step upon the ground...ALL: Kudzu by James Dickey
Daniel Quinn|Contemporary writers use animal-transformation themes to explore issues of gender, sexuality, race, culture, and the process of transformation...just as storytellers have done, all over the world, for many centuries past. One distinct change marks modern retellings, however, reflecting our changed relationship to animals and nature. In a society in which most of us will never encounter true danger in the woods, the big white bear who comes knocking at the door [in fairy tales] is not such a frightening prospective husband now; instead, he's exotic, almost appealing.Whereas once wilderness was threatening to civilization, now it's been tamed and cultivated; the dangers of the animal world have a nostalgic quality, removed as they are from our daily existence. This removal gives "the wild" a different kind of power; it's something we long for rather than fear. The shape-shifter, the were-creature, the stag-headed god from the heart of the woods--they come from a place we'd almost forgotten: the untracked forests of the past; the primeval forests of the mythic imagination; the forests of our childhood fantasies: untouched, unspoiled, limitless.Likewise, tales of Animal Brides and Bridegrooms are steeped in an ancient magic and yet powerfully relevant to our lives today. They remind us of the wild within us...and also within our lovers and spouses, the part of them we can never quite know. They represent the Others who live beside us--cat and mouse and coyote and owl--and the Others who live only in the dreams and nightmares of our imaginations. For thousands of years, their tales have emerged from the place where we draw the boundary lines between animals and human beings, the natural world and civilization, women and men, magic and illusion, fiction and the lives we live.
Neymar|Well, there's not a day goes by when I don't get up and say thank you to somebody.
J.K. Rowling, Harry Potter and the Sorcerer's Stone|I'm serious, Harry, don't go." But Harry only had one thought in his head, which was to get back in front of the mirror, and Ron wasn't going to stop him.That third night he found his way more quickly than before. He was walking so fast he knew he was making more noise than was wise, but he didn't meet anyone.And there were his mother and father smiling at him again, and one of his grandfathers nodding happily. Harry sank down to sit on the floor in front of the mirror. There was nothing to stop him from staying here all night with his family. Nothing at all.
RVM|Life is a maze. Don't just gaze. Change your pace, to win the race.
Debasish Mridha|To see the beauty, love
Susan C. Young|Did you once have a grand plan which has become obsolete and no longer serves you? If there are areas in your life which must change to help you create better results, a redesign may be in order. Consider going back to the ‘drawing board’ to deconstruct what isn’t working and start anew.
Ray Bradbury, Fahrenheit 451|I often wonder if God recognizes His own son the way we've dressed him up, or is it dressed him down?
Andrew Sabitov|As proof that HOW we see things matters, Gen. Montgomery took a preprepared text that had been deemed an innocuous complement to his American troops and delivered it in such a way that his condescension prompted more division than unity.
Robert Neil Flieischer|Justice is blind, but judges have eyes.
Dominic Riccitello|They say if the love is true, then it’s easy. But that’s false. Love is complicated. It’s sticky. It’s bliss and it’s a mix of emotions. It’s not easy.
Koushun Takami, Battle Royale|Yes, just like those flowers. There's something strained, but there's beauty in that. Something like that
Mishi McCoy, The Lovely Knowing|There are moments of heartache and heartbreak, that we wonder how we did not drop dead in our pain. Perhaps, it is in the gift of shock that we, slowly in the midst of adversity, find acceptance and discover our peace of knowing and growing in the experience... We can remind each other that what did not kill us, but felt like it should have, will strengthen us to live our lives to it’s fullest. That faint whisper within each one of us, that knowing, if we will but listen, is continually reminding us that our hearts truly can go on.
Mensah Oteh|Without emotion, all thoughts or words are powerless.
T.D. Jakes, Reposition Yourself: Living Life Without Limits|When you get into bed with evil incarnate, it always takes the covers
Marius Vieth|As Marcel Proust understood, memory is not exclusively or even predominantly visual. It is synesthetic, a combination and even a confusion of the senses that no simple image can reach or encapsulate. A photograph can act as a spur to memory, it can yield treasures, like looking under your bed and finding the baseball card you were certain you lost. But an image stands mute before the inexpressible delicacy, horror, humor, and associative complexity of our experience.
Craig  Stone, The Squirrel that Dreamt of Madness|He brings the cigarette butt to his mouth and lights up. He breathes in, and coughs; a rattling helicopter with a broken blade crashing into a herd of trombone playing sheep falling off a cliff into a DIY shop with a discount on spanners.
Marcel Proust, Swann's Way|... Error, by force of contrast, enhances the triumph of Truth...
Ben Aaronovitch, Midnight Riot|Sigh like the wind--open your arms, your chest, your heart--and all creatures will hum to you.
Jesse Ventura|Did you really think we want those laws observed?" said Dr. Ferris. "We want them to be broken. You'd better get it straight that it's not a bunch of boy scouts you're up against... We're after power and we mean it... There's no way to rule innocent men. The only power any government has is the power to crack down on criminals. Well, when there aren't enough criminals one makes them. One declares so many things to be a crime that it becomes impossible for men to live without breaking laws. Who wants a nation of law-abiding citizens? What's there in that for anyone? But just pass the kind of laws that can neither be observed nor enforced or objectively interpreted – and you create a nation of law-breakers – and then you cash in on guilt. Now that's the system, Mr. Reardon, that's the game, and once you understand it, you'll be much easier to deal with.
Mehmet Murat ildan|The calming sea reaches out to me. Inviting me to its pure serenity."-Elizabeth's Quotes (inspired by a Pablo Neruda quote "I need the sea because it teaches me.")
Willie Nelson|Learning another language is not only learning different words for the same things, but learning another way to think about things.
J.R. Ward, Immortal|You convinced me that you're a good kisser, that doesn't mean you like me." "I'm here pretending to be your boyfriend with the possibility of getting zero benefits from you. Trust me kitten, I like you. I like you a whole lottle, remember?
Erin Morgenstern, The Night Circus|You may tell a tale that takes up residence in someone's soul, becomes their blood and self and purpose. That tale will move them and drive them and who knows that they might do because of it, because of your words. That is your role, your gift.
Naomi Wolf, The Beauty Myth|By the 1980s beauty had come to play in women’s status-seeking the same role as money plays in that of men: a defensive proof to aggressive competitors of womanhood or manhood. Since both value systems are reductive, neither reward is ever enough, and each quickly loses any relationship to real-life values.
J D ROBB|Mostly I'd like to be taller. If I could be a couple inches taller, just have them stretch me out, my ass would be smaller.Peabody from Secrets in Death
Stephen King|I know how bad you boys feel, but the sun will still come up tomorrow. And when it does, you 'll feel better. When the sun comes up the day after tomorrow, a little better still. This is just a part of your life, and it's over. It would have been better to win, but either way, it's over. Life will go on.
Daphne Clair|On romance books: We might assume then that men, major consumers of thrillers, westerns, and detective fiction, enjoy being beaten up, tortured, shot, stabbed dragged by galloping horses, and thrown out of moving vehicles.
Mike Royko, Boss: Richard J. Daley of Chicago|If the regular pay was important to him, the opportunity to learn was of even greater long-range significance.
Aleksandra Ninkovic|Every Adventure Has a Back Story. When we look at our past relationships, often there are one or two we may tend to go back to in our minds, and we see them through the magic of the seven veils.
Mark Twain, On the Decay of the Art of Lying|Those who believe that liberal democracy and the free market can be defended by the force of law and regulation alone, without an internalised sense of duty and morality, are tragically mistaken.
Jael McHenry|The wisdom teachings that permeate this book revolve around the truth that radically honest, compassionate self-exploration leads to self-awareness, and that true self-awareness is always healing. It opens us to the naturalness of love, peace, joy, and our own boundless creativity. Love, and especially self-love and acceptance, is the greatest healing force that I have gleaned thus far.
United States House Judiciary Committee of Congress 1854|If money could motivate the merchants of England to cross death-defying oceans and enter the interior of China at great personal risk of the loss of life, could not the love of Christ motivate the missionaries to do the same for the sake of the gospel?
Benjamin Cardozo, The Nature of the Judicial Process|The law itself was originally created in order to protect property. However, the law has been falsely attributed to being the reason property exists in the first place. At least, this is what the state would have us believe. The law does not create property rights because these already existed before the law was created. It is this false attribution that allows the state apparatus to conduct its mission of expropriation.
Graeme Cameron, Normal|People say ‘dogs who roam in Mercedes are Lucky’, this is your feeling, not the Dog’s!!!
K.F. Breene|I can't learn everything in a few months, Charles. Magic came first. Stupid hierarchy of egotistical penises had to take a backseat.""Penises don't have egos. And what about the women in command? They can be pretty damn bitchy.""The women have bigger balls than you do, Charles. Let's get focused."Kind of a dick thing to say.
Ashley Graham|The bond between food and me is like other relationships in my life: complicated, evolving, demanding, and in need of constant work. But together we’ve come so far, moving from my childhood obligation to clean my plate, to a mindless need to fill up, to a truly nourishing and pleasurable exchange. That’s the real reward.
Eva Hoffman, Lost in Translation: A Life in a New Language|When my turn on the program comes, I am not nervous at all—because all this is happening out of time, out of space. I am, for a moment, a figure of my own fantasy, and I play my appointed role as if I were in the movies.
Jane Austen|I was told to avoid the business all together because of the rejection. People would say to me, 'Don't you want to have a normal job and a normal family?' I guess that would be good advice for some people, but I wanted to act.
Terri Windling|Hell's bells, Susan, you don't know what you've done. You've got to get outof here."She snorted. "Like hell.""I mean it," I said. "You're in danger.""Relax, Harry. I'm not letting anyone lick me, and I'm not looking anyone in the eyes. It's kind of like visiting New York.
Warsan Shire|Mother says there are locked rooms inside all women, kitchen of love, bedroom of grief, bathroom of apathy. Sometimes, the men, they come with keys, and sometimes the men, they come with hammers.
Li Ka-shing|In this enlightened age, there are few I believe, but what will acknowledge, that slavery as an institution is a moral & political evil in any country. It is useless to expatiate on its disadvantages.
Morwen Navarre, Ghost's Sight|We stepped in, and, as we paid the cover charge, the music hit us. The double doors buzzed open and we walked in. A handsome man and his lover in an orange top snuggled as they walked to the exit. Veronica turned to me and smiled, taking my hand. I unbuttoned my shirt at the neck and exposed my collar. It was a thin metal collar with a padlock on the front. If the padlock wasn’t attached it would have looked like any other interesting necklace that was tight against my neck, but it got more interesting with the padlock. 	On Veronica’s left hand there was a thick bracelet, and that had a key on it. Her right wrist had a glow bracelet. We walked past the tables of people as they drank and screamed over the music to talk. We decided to go right to the dance floor. She took me by the hand, led me.	We were on the dance floor and I couldn’t dance. I ended up just throwing myself around, getting lost in the people surrounding us. The bodies pressed against us, the industrial music loud and crisp. The bass shook your bones, and my ribcage felt like it was rattled to pieces. I closed my eyes and just moved. Veronica moved with a grace I hadn’t seen in awhile when I opened my eyes. She pressed herself against a couple that surrounded her. I felt my breath catch in my throat, my heart pounded from excitement. She squeezed past them and moved to me, her hands ran down my face, and then she gripped the padlock with her left hand.	She pulled me down to her, which wasn’t very far, but it was the intensity of the moment that made all the difference. What she did next made me jump, my body tensed and relaxed in milliseconds. She gave me a deep kiss, and, while she kissed me, distracted me, her other hand undid my padlock. I pulled back as I jumped in shock. Our eyes were locked on each others’ in the flashing neon stage lights. She had a twinkle in her eye as she pulled me close to her.	“Find a man, for you.”	I pulled back, looked at her in surprise. She smiled wickedly, an erotic edge to her features suddenly. She was hot when she was getting dressed and she was even hotter now. I didn’t know what the hell was going on, but I leaned into her ear.	“Are you looking for a woman?
Oscar Wilde|I regard the theatre as the greatest of all art forms, the most immediate way in which a human being can share with another the sense of what it is to be a human being.
William Allingham, Blackberries|Is idleness indeed so black a crime?What are the Busy doing, half their time?
Carol Matas, Greater Than Angels|Will you be all right?" she askedHow could
Marcus Brigstocke|I grew up on classic Nintendo, which was amazing. My best friends were hardcore into it.
Mike  Foster|Lobbing hand grenades on the bride of Christ takes zero talent or effort. I also think this really ticks God off. My five-year-old child complains and whines when things aren't the way she wants them, but courageous men and women roll up their sleeves and get busy. I want to be an active participant in putting back together the broken pieces.
Shimon Peres|It's always really challenging trying to go from player to player/coach. You have a kind of friendship basis of relationship with all of your teammates, and now you go to this power position where you have to make decisions that might hurt people's feelings.
rassool jibraeel snyman|This Self is never born, nor does It die. It did not spring from anything, nor did anything spring from It. This Ancient One is unborn, eternal, everlasting. It is not slain even though the body is slain.
Mary Calmes, Honored Vow|I smiled at Logan, so very pleased with him for seeing that Domin, too, needed a slice of Logan cake, needed his attention, validation, trust, and to be told, once and for all, that he mattered, that he, too, was necessary.
Norman Bethune|All things are poison and nothing is without poison, only the dose permits something not to be poisonous.
Mohsin Ali Shaukat|but darling if he loved you, would he want to see you cry?
