Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
Billy Campbell|Every election matters. Anyone that tells you otherwise doesn't understand politics. That said, not every election sends sweeping messages that are easy to discern, but every election provides lessons worth learning.
Cody Edward Lee Miller|Myrtle Mae, you have a lot to learn, and I hope you never learn it.
Nouman Ali Khan|consider the implications. We think we know what we want, but we can never really know until we've got it. And sometimes when we have, we discover we never really wanted it in the first place - but then it's too late
H.G. Wells, The War of the Worlds|This isn't a war," said the artilleryman. "It never was a war, any more than there's war between man and ants.
Mary Roach, Stiff: The Curious Lives of Human Cadavers|Many people will find this book disrespectful. There is nothing amusing about being dead, they will say. Ah, but there is.
J.R.R. Tolkien, The Lord of the Rings|Haldir had gone on and was now climbing to the high flet. As Frodo prepared to follow him, he laid his hand upon the tree beside the ladder: never before had he been so suddenly and so keenly aware of the feel and texture of a tree's skin and of the life within it. He felt a delight in wood and the touch of it, neither as forester nor as carpenter; it was the delight of the living tree itself.
Gary Rudz|Stop to appreciate the moments. Summed up, they are the bricks of our soul.
Benny Bellamacina, The King of Rhyme|In truth, Liesel was a prisoner too, just held by different kinds of bonds.
Lynn Nottage|'Jihad' can mean holy war to extremists, but it means struggle to the average Muslim.
Ray Bradbury, Something Wicked This Way Comes|Why the Egyptian, Arabic, Abyssinian, Choctaw? Well, what tongue does the wind talk? What nationality is a storm? What country do rains come from? What color is lightning? Where does thunder goe when it dies?
A.W. Tozer, The Attributes of God: Deeper into the Father's Heart|(I know, it's a poem but oh well).Why! who makes much of a miracle? As to me, I know of nothing else but miracles, Whether I walk the streets of Manhattan, Or dart my sight over the roofs of houses toward the sky, Or wade with naked feet along the beach, just in the edge of the water, Or stand under trees in the woods, Or talk by day with any one I love--or sleep in the bed at night with any one I love, Or sit at table at dinner with my mother, Or look at strangers opposite me riding in the car, Or watch honey-bees busy around the hive, of a summer forenoon, Or animals feeding in the fields, Or birds--or the wonderfulness of insects in the air, Or the wonderfulness of the sun-down--or of stars shining so quiet and bright, Or the exquisite, delicate, thin curve of the new moon in spring; Or whether I go among those I like best, and that like me best-- mechanics, boatmen, farmers, Or among the savans--or to the soiree--or to the opera, Or stand a long while looking at the movements of machinery, Or behold children at their sports, Or the admirable sight of the perfect old man, or the perfect old woman, Or the sick in hospitals, or the dead carried to burial, Or my own eyes and figure in the glass; These, with the rest, one and all, are to me miracles, The whole referring--yet each distinct, and in its place.To me, every hour of the light and dark is a miracle, Every cubic inch of space is a miracle, Every square yard of the surface of the earth is spread with the same, Every foot of the interior swarms with the same; Every spear of grass--the frames, limbs, organs, of men and women, and all that concerns them, All these to me are unspeakably perfect miracles.To me the sea is a continual miracle; The fishes that swim--the rocks--the motion of the waves--the ships, with men in them, What stranger miracles are there?
Kurt Cobain, Journals|It's my fault but the most violating thing I've felt this year is not the media exaggerations or the catchy gossip, but the rape of my personal thoughts.
Richard Dawkins|Evolution by natural selection is the explanation for why we exist. It is not something to guide our lives in our own society. If we were to be guided by the evolution principle, then we would be living in a kind of ultra-Thatcherite, Reaganite society.”“Study your Darwinism for two reasons,” he implored, “because it explains why you’re here, and the second reason is, study your Darwinism in order to learn what to avoid in setting up society. What we need is a truly anti-Darwinian society. Anti-Darwinian in the sense that we don’t wish to live in a society where the weakest go to the wall, where the strongest suppress the weak, and even kill the weak. We — I, at least — do not wish to live in that kind of society. I want to live in the sort of society where we take care of the sick, where we take care of the weak, take care of the oppressed, which is a very anti-Darwinian society.
Stephen Crane, The Portable Stephen Crane|Franz said 'Your picture, Viki, suggests that sense of breaking-up we feel in the modern world. Families, nations, classes, other loyalty groups falling apart. Things changing before you get to know them. Death on the installment plan – or decay by jumps. Instantaneous birth. Something out of nothing. Reality replacing science fiction so fast that you can't tell which is which. Constant sense of deja-vu - 'I was here before, but when, how?' Even the possibility that there's no real continuity between events, just inexplicable gaps. And of course every gap – every crack – means a new perching place for horror.
H. Raven Rose, Caffè Latte|You are so sweet. This is unbelievable. Some schmo talks to you every two weeks, buys you a meal, during which he talks about himself, dry-humps you, touches your hand once and you think he smells like roses. Maybe he is a white knight on a steed, who will carry you off into the future, so you can live happily ever after and, finally, maybe get it on.
Louis Theroux|If I've learnt anything over the last six years it's that the most important thing is the strength of our economy. That is how we pay for our NHS, how we build schools, how we provide opportunities for people. And I'm in absolutely no doubt that our economy will be stronger if we stay in and will be weaker and at risk if we leave.
Margaret Atwood, The Penelopiad|The Chorus Line:A Rope-Jumping Rhymewe are the maidsthe ones you killedthe ones you failedwe danced in airour bare feet twitchedit was not fairwith every goddess, queen, and bitchfrom there to hereyou scratched your itchwe did much lessthan what you didyou judged us badyou had the spearyou had the wordat your commandwe scrubbed the bloodof our deadparamours from floors, from chairsfrom stairs, from doors,we knelt in waterwhile you staredat our bare feetit was not fairyou licked our fearit gave you pleasureyou raised your handyou watched us fallwe danced on airthe ones you failedthe ones you killed
Suzanne Collins, Catching Fire|I thought he wanted it, anyway," I say. "Not like this," Haymitch says. "He wanted it to be real.
Ken Hollings, Welcome to Mars: Politics, Pop Culture, and Weird Science in 1950s America|Apocalyptic saucer cults have started to spring up all over America. One small group, which has been receiving messages from outer space via Lake City housewife Mrs. Marian Keech, becomes the subject of a research team led by psychologist Leon Festinger. According to an alien entity named Sananda, the end of the world is due any day and under the most cataclysmic of circumstances. The group meets regularly to discuss the latest predictions from Sananda and the rest of the Space Brothers, all relayed to them by Mrs. Keech. Some members bake cakes in the shape of flying saucers to be consumed during their gatherings while local college football scores are closely debated.
Tara Bray Smith|Reading, for me, is like this: consumptive, pleasing, calming, as much as edifying. It's how I feel after a good dinner. That's why I do it so often: It feels wonderful. The book is mind and I insert myself into it, cover it entire, ear my way through every last slash and dot. That's something you can do with a book, unlike television or movies or the Internet. You can eat it, or mark it, like a dog does on a hydrant. 
Lily King, Euphoria|An urbanite does not become a civilized person just because he has had an education. What one assimilates in the city is book-learning and knowledge derived through emulating educated men. But that alone will not make him a civilized person. A man of simple tastes becomes complex through education because he desires to become complex. That is why a lot of educated men enjoy vulgar and obscene things. The cinema has become a vulgar philistine art form. The enormous motor car with its bloated body is a vulgar vehicle. It is difficult to create a complex thing without some vulgarity and grossness. Amongst the things valued by the educated, it is difficult to find things untainted by vulgarity. People who cannot distinguish between grossness and refinement are not uncommon among the urban educated because for many, the measure of civilization is its complexity.
Elizabeth Gaskell, North and South|She would fain have caught at the skirts of that departing time, and prayed it to return, and give her back what she had too little valued while it was yet in her possession. What a vain show Life seemed! How unsubstantial, and flickering, and flitting! It was as if from some aerial belfry, high up above the stir and jar of the earth, there was a bell continually tolling, ‘All are shadows!—all are passing!—all is past!
Anthony D. Ravenscroft, Polyamory: Roadmaps for the Clueless and Hopeful: An Introduction on Polyamory|Polyamory is differentiable from some other forms of nonmonogamy (including adultery) in that it is future-oriented. Poly relationships are not located solely in the moment, but have intentions (though perhaps tacit and vaguely defined) of at least adding to a base of experience possibly so far as signifying a life-long and emotionally attached commitment.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Even as we recognize our resentment, bitterness, or jealousy, we can also honor our own wish to be happy, to feel free.
Shemar Moore|Whenever I'm in theatre situations I will go out of my way not to talk about my father, but in the film world I can be really proud of my family and say, 'You know what: my dad's a really, really famous theatre director,' because nobody has any idea.
Ernest Agyemang Yeboah|The basic dynamics of conversion are summed up for me in the words LEAVE-ARRIVE, END-BEGIN, SHED-EMERGE. These are the tensions of conversion and spiritual awakening.
Elaina Marie, Happiness is Overrated - Live the Inspired Life Instead|I know what dissipate means, Arty. I'm not three, for heaven's sake.
Black Liberation Army Co-Ordinating Committee, Message To The Black Movement: A Political Statement From The Black Underground|Reform as such is inherently reactionary and perpetuates psychological dependence onthe enemy,while confusingthe true class contradictionsbetween ourselves and the enemy.
Paulo Coelho, The Alchemist|If you start by promising what you don't even have yet, you'll lose your desire to work towards getting it.
Olaotan Fawehinmi, If I Were A Girl, I Would Not...|Hate is strewn like confetti by the fear-fueled, specious, tiny- dicked (or un-tender) vacuous dictators, of any gender, whom never knew true love, only sadism. They ALL need some good pharma.
Fyodor Dostoevsky|Fear and euphoria are dominant forces, and fear is many multiples the size of euphoria. Bubbles go up very slowly as euphoria builds. Then fear hits, and it comes down very sharply. When I started to look at that, I was sort of intellectually shocked. Contagion is the critical phenomenon which causes the thing to fall apart.
Anthony Venn-Brown, A Life of Unlearning - a journey to find the truth|What we really have to do is stop the adjective before the job title—whether it's 'black actor,' a 'gay actor' or 'anything actor,' Everybody thinks that equality comes from identifying people, and that's not where equality comes from. Equality comes from treating everybody the same regardless of who they are. I hope the media and the press catches on to that because it's time to move out of 1992.
Geoff Ryman, Paradise Tales: and Other Stories|He really had experienced every tiniest increment of time in the four decades since then, and yet here he was surprised to be suddenly old and crippled. Turned out the rope didn't care if you noticed every daisy on the path to the gallows.
Danielle Steel|Somehow you drift along on the river, and one dayyou wake up and you’re someplace you don’t want tobe, with someone you realize you don’t know.
John Rowland|I run an academy in Spain for young footballers who are released by their clubs and who, in my opinion, deserve a second chance. It is a rewarding job for me, but one that also reveals many of the faults in the English game.
Rao Umar Javed, A Painter, A Performer, A Poet and A Madman|Quoth the Raven," said a glitching voice from the phone. "Nevermore," said the man. "Then the game has started
Jules Barbey d'Aurevilly, Les Diaboliques|It is very simple, actually. It is because you and Tengo were so powerfully drawn to each other.
John Cleese|It can't be overstated how wonderful it is not to have to audition any more. Any actor will tell you, it's like Christmas.
Eoin Colfer, Airman|Why was the taking of a life considered so terrible? In no time at all there would be all new people on this planet, and everyone who was in the planet now would have died, some terribly, some like the flick of a switch. The real reason that murder was considered so transgressive was because of the people that were left behind . The loved ones. But what if someone was not really loved?
Catherine of Siena|Turn over the rudder in God's name, and sail with the wind heaven sends us.
Stanley Victor Paskavich|You ever wake up in the morning and kiss the mirror and say "HELLO BEAUTIFUL" if not you have the wrong connection with your reflection.
Midnight Blue, The Mirror of Maybe|When you are without friends, the next best thing is an enemy who knows you well.
Jonathan Safran Foer, Extremely Loud and Incredibly Close|Feathers filled the small room. Our laughter kept the feathers in the air. I thought about birds. Could they fly if there wasn't someone, somewhere, laughing?
Thomas Love Peacock, Nightmare Abbey|Modern literature is a north-east wind--a blight of the human soul. I take credit to myself for having helped to make it so. The way to produce fine fruit is to blight the flower. You call this a paradox. Marry, so be it.
Molly Friedenfeld|Negativity an be negated through positivity only………so whatever the situation, always stay positive ………!!!Believe that You will never feel regret on this, moon will be there waiting for you………!!
Michael Ondaatje|A blind lover, don't knowwhat I love till I write it out
Neil Gaiman|If you you write with enough assurance and confidence, you’re allowed to do whatever you like. So write your story as it needs to be written. Write it honestly, and tell it as best you can.
Virginia Woolf, Night and Day|But it would have been a surprise, not only to katherine herself, if some magic watch could have taken count of the moments spent in an entirely different occupation from her ostensible one.Sitting with faded papers before her, she took part in a series of scenes such as the taming of wild ponies upon the American prairies, or the conduct of a vast ship in a hurricane round a black promontory of rock, or in others more peaceful, but marked by her complete emancipation from her present surroundings and, needles to say, her surprising ability in her new vocation.
Himmilicious|People who understand human behavior and personality tend to find flaws in every next person they meet, analyze their actions and develop bit sociopath nature.
Toni Jordan, Nine Days|You must know this. People disappear. They just go puff. Thin air. Every time you see someone, you never know if you're seeing them for the last time. Drink them in, Alec. Kiss them. It's very important. Never let anyone say goodbye, even for a little while, without kissing them. Press your lips against the people you love. Hands, they can touch anything. Open doors, hold cameras, hang clothes on the line. It's lips that matter.
Beatriz Williams, The Secret Life of Violet Grant|This was the year he rode the subway to the ends of the city, two hundred miles of track.
Paracelsus|We live in an environment in which sexuality is often trivialized and defiled, stripped of its emotional depth and divorced from its sacred root.
Marian Wright Edelman|Your modern teenager is not about to listen to advice from an old person, defined as a person who remembers when there was no Velcro.
Ken Follett, The Pillars of the Earth|When the devout religion of mine eyeMaintains such falsehood, then turn tears to fires,And these, who, often drowned, could never die,Transparent heretics, be burnt for liars!One fairer than my love? The all-seeing sunNe'er saw her match since first the world begun.
Janet Evanovich, Wicked Appetite|Personally, I'm a lazy kind of guy, and leaving the door open on the mystical saves me work. I don't have to stress my brain trying to explain the unexplainable. It's magic. End of discussion.
Jenny Han, Always and Forever, Lara Jean|Lara Jean, why do you have to remember every little thing? It's not healthy.
David Mitchell, Cloud Atlas|The first of ‘Goose’s Two Laws of Survival.’ It runs thus, ‘The weak are meat the strong do eat.’ ” ... Henry grinned in the dark & cleared his throat. “The second law of survival states that there is no second law. Eat or be eaten. That’s it.
Jill Williamson, From Darkness Won|Achan carried Arman inside him. He was part of Arman's light. So was every man, woman and child in Er'Rets who believed. Alone, as one man, Achan could not succeed. But if all the people joined together...Because the temple of Arman was his people.
Oscar Wilde, The Picture of Dorian Gray|When one is young, one venerates and despises without that art of nuances which constitutes the best gain of life, and it is only fair that one has to pay dearly for having assaulted men and things in this manner with Yes and No. Everything is arranged so that the worst of tastes, the taste for the unconditional, should be cruelly fooled and abused until a man learns to put a little art into his feelings and rather to risk trying even what is artificial — as the real artists of life do.
Dorothy Day|As the sailor locates his position on the sea by "shooting" the sun, so we may get our moral bearings by looking at God. We must begin with God.
Karl R. Popper|False fears are a plague, a modern plague!
Charlotte Brontë, Villette|While McMurphy laughs. Rocking farther and farther backward against the cabin top,spreading his laugh across the water. Laughing at the girl,at the guys, at George,at me sucking my bleeding thumb, at the captain back at the pier and the bicycle rider and the service station guys and the five thousand houses and the Big Nurse and all of it. Because he knows you have to laugh at the things that hurt you just to keep yourself in balance, just to keep the world from running you plumb crazy. He know's there's a painful side; he knows my thumb smarts and his girl friend has a bruised breast and the doctor is losing his glasses, but he won't let the pain blot out the humor no more'n he'll let the humor blot out the pain.
Evanescence|Don't be afraid of the shadows, that only means there's a light nearby.
Janet Fitch|I had always been fascinated with Napoleon because he was a self-made emperor; Victor Hugo said, 'Napoleon's will to power,' and it was the title of my paper. And I submitted it to my teacher, and he didn't think I had written it. And he wanted me to explain it to him.
Alison Fell, The Element -inth in Greek|If God gave you contentment then you would never pursue your life purpose. It is your restlessness that pushes you to take action, change your life and seek more of what you could possibly be.
Linda Ronstadt, Simple Dreams: A Musical Memoir|It's good to dream. We can't out-give God. We can't out-love him, and we can't out-dream him.
John Halstead, Godless Paganism: Voices of Non-Theistic Pagans|The heron must be used to people, and yet it never lets you get too close. Draw parallel to it with the width of one of the marsh’s holding ponds between you, and it will duck its head, eyeing you with suspicion, then fly. I cannot approach the heron, certainly could never touch it; I can only look for it, entranced.This is how I understand the divine, and why I continue to seek it in the resolutely non-human world, with which we nonetheless recognize a numinous kinship. Sometimes, it will turn and lock eyes with you, lifting you out of yourself, changing everything. Other times, it will give you the side-eye and swoop away, leaving you longing for retreating beauty. You might not see it every single time you go looking, or where you expect to find it. No matter how common the experience, every time you stumble across mystery, or independent wild being, it is a surprise and a miracle. And every day, you can look." - Sara Amis, "A Daily Heron
Dan Jenkins|Even as a little kid, I was fascinated by newspapers and magazines. They were my TV. I'd be the first one up to grab the morning paper, mainly to look at the sports pictures, the war pictures.
Bill Veeck|Sports is the only entertainment where, no matter how many times you go back, you never know the ending.
George F. Will, One Man's America: The Pleasures and Provocations of Our Singular Nation|the man eventually becomes what he dreams of"By T. Afsin Ilgar - Ted`s Tale
Julian Huxley, New Bottles For New Wine|I believe in transhumanism: once there are enough people who can truly say that, the human species will be on the threshold of a new kind of existence, as different from ours as ours is from that of Peking man. It will at last be consciously fulfilling its real destiny.
Jessica Gross|Guilty people apologize and also take steps to avoid repetition. Shame, in contrast, is a more global emotion, which can emerge in response to the same kind of wrong act and violation of standards. It may develop earlier in life than guilt-- guilt requires more cognitive sorting capacity-- but above all it emphasizes self-abasement. It is the self that is at fault, not the commission of the act. This creates greater pain and intensity than guilt. A shamed person feels very bad indeed-- but also makes it more difficult to escape.
Ilchi Lee, LifeParticle Meditation: A Practical Guide to Healing and Transformation|I like "Julie Gold's song "From a Distance". Her song reminds me of the world as seen through an observer's eye. Seen from a distance, we are people in the same band playing music for everyone. We are artists who play the most beautiful instruments in the world - life.
Garth Risk Hallberg, City on Fire|Science fiction is using an exploration of where we might be, to explore where it seems like we are heading, in order to reveal exactly where we are.
Petra Stunt|It takes more than driving to become an IndyCar driver. Gone are the days when drivers show up Friday morning and go home Sunday night. We're all integral to our partnerships, commercially, motorsports. We're as much champions in the boardroom as we are on the racetrack.
Sammy Rhodes, This Is Awkward: How Life's Uncomfortable Moments Open the Door to Intimacy and Connection|When you're depressed, it's like you pick up one of those shields in a video game, but instead of protecting your life power, it blocks you from being able to receive any affirmation or encouragement.
Frank Wanderer|Reaching beyond ourselves, exceeding our mind is not a simple thing. It is, in fact, impossible–one half of the Ego is trying to exceed the other.
Christopher Hitchens, Hitch-22: A Memoir|The ethics of plagiarism have turned into the narcissism of small differences: because journalism cannot own up to its heavily derivative nature, it must enforce originality on the level of the sentence.
Israelmore Ayivor, Daily Drive 365|Empty complaints are the sources of everyday failure, but not the problem being complained about. Problems are solvable; but not with complaints. A complainer is just an explainer of problems!
Antonio Gramsci, Selections from the Prison Notebooks|Democracy is a system were ignorants choose a government, comunism is a system where ignorants govern themselves.
Dennis Sharpe|Have you ever worried about something so much that it becomes debilitating? But when you finally accept there’s nothing you can do, when your choices are taken away, fear dissolves and you can finally relax…and perhaps even enjoy?
Emmy Swain|Emmy has embarked on her journey to enrich the world with smiles. They are free, healthy, and often, very contagious.
Akshay Vasu|Sometimes It feels like time is an evil clown that we always imagine. It gives you everything you ask for, and when you are about to happily embrace every gift that you have received it snatches away everything laughing and clapping at you, watching you fall on your knees and break into pieces.
Gia Russell|We are wise to be cautious, but I suggest we prepare for the worst and hope for the best.
Debasish Mridha|Pain is inevitable in life; you can’t avoid it. You can only feel it. Realize its true nature without emotional attachment and then transcend yourself and your emotions beyond that level. Pain will not go away, but you find that it is not hurting you that much.
Maurice Merleau-Ponty, Phenomenology of Perception|I think that a good start at this problem is to enunciate our ethical theory that underlies our moral judgements. According to the version of divine command ethics which I’ve defended, our moral duties are constituted by the commands of a holy and loving God. Since God doesn’t issue commands to Himself, He has no moral duties to fulfill. He is certainly not subject to the same moral obligations and prohibitions that we are. For example, I have no right to take an innocent life. For me to do so would be murder. But God has no such prohibition. He can give and take life as He chooses. We all recognize this when we accuse some authority who presumes to take life as “playing God.” Human authorities arrogate to themselves rights which belong only to God. God is under no obligation whatsoever to extend my life for another second. If He wanted to strike me dead right now, that’s His prerogative.What that implies is that God has the right to take the lives of the Canaanites when He sees fit. How long they live and when they die is up to Him.
John Green, Looking for Alaska|The times that were most fun seemed always to be followed by sadness now, because it was when life started to feel like it did when she was with us that we realized how utterly gone she was.
Ted Chiang|It'll be when you first learn to walk that I get daily demonstrations of the asymmetry in our relationship. You'll be incessantly running off somewhere, and each time you walk into a door frame or scrape your knee, the pain feels like it's my own. It'll be like growing an errant limb, an extension of myself whose sensory nerves report pain just fine, but whose motor nerves don't convey my commands at all. It's so unfair: I'm going to give birth to an animated voodoo doll of myself.
Coco Chanel|If my future were determined just by my performance on a standardized test, I wouldn't be here. I guarantee you that.
Alanis Morissette|When pain brings you down, don't be silly, don't close your eyes and cry, you just might be in the best position to see the sun shine.
Karl Barth, Evangelical Theology: An Introduction|...Cast yourself upon, abandon yourself to this Christ who lived that life of utter surrender to God that He might prepare a new nature which He could impart to you and in which He might make you like Himself.
Abraham Lincoln|War never takes a wicked man by chance, the good man always.
Harry S. Vested Jr.|So many things could happen with a hard work"....
Emil M. Cioran|If there is anyone who owes everything to Bach, it is certainly God.
Graham Greene, Brighton Rock|A brain was only capable of what it could conceive, and it couldn't conceive what it had never experienced
Cofer Black|The intelligence community, for the most part, has no accountability at all; to the Congress, to us the American people, and so they feel that they above the law.
Hazel Butler, Chasing Azrael|Fruit of the Poisonous Tree, The True Story of Murder in a Small Town, begins on a steamy August night with two teenagers, brother and sister, on an evil mission deep in a rural Michigan forest. For one desperate moment headlights appear on the lonely access road. Will they be found out? Thus the story of one of state’s strangest criminal cases unfolds. Girl breaks up with boyfriend. He turns violent. She disappears without a trace. Then state police investigators set out on what at first looks like a fool’s journey. The story is colored by a bizarre Ouija board death prophesy and the roles of two psychics, a former practicing witch and a handsome young artist who is suspected of Satanism. The canny and elusive suspect taunts police and seems always to be one step ahead of them. When a key witness is daunted by uncharacteristic injuries, a mysterious medium tells him he is the victim of black magic practiced by the suspect’s grandmother. And when, after eight years, the suspect finally is brought to trial, he is represented by a Roman Catholic priest.
Christopher Paolini, Brisingr|I'm healthy as an ox. And you?" "To compare myself with a bovine would be both ridiculous and insulting, but I'm fit as ever, if that is what you are asking.
Felicia Day, You're Never Weird on the Internet|FYI, it isn’t how I suspected. If you eat enough Cheetos you will NOT actually poop an extra-large Cheeto.
Linda Fisher Thornton|In a human development sense, our understanding of leadership has essentially “grown up” and moved past personal ego and a self-centered view of things.
Lailah Gifty Akita, Think Great: Be Great!|When I can’t find my way, I pray to God to show me the way. And then, He creates the right pathways.
Sarah Dessen, This Lullaby|I love everything that makes up a milieu, the rolling of the carriages and the noise of the workmen in Paris, the cries of a thousand birds in the country, the movement of the ships on the waters. I love also absolute, profound silence, and, in short, I love everything that is around me, no matter where I am.
Poppet, Sveta|The answer to my thoughts is the loud ripping of my shirt when he tears it straight down my back, yanking it forward around my shoulders and imprisoning my arms in the sleeves.“I've got you now,” he says, breaking the kiss and sounding like a god about to unleash wrath.
Brock Clarke, An Arsonist's Guide to Writers' Homes in New England|I have no idea,' he said, and that's another thing I'll put in my arsonist's guide: be wary of a man who says, 'I have no idea,' when asked why his wife doesn't like something he's done, which of course is just another way of saying be wary of men in general.
Graham Greene|the sense of a small courageous community barely existing above the desert of trees, hemmed in by a sun too fierce to work under and a darkness filled with evil spirits - love was an arm round the neck, a cramped embrace in the smoke, wealth a little pile of palm-nuts, old age sores and leprosy, religion a few stones in the centre of the village where the dead chiefs lay, a grove of trees where the rice birds, like yellow and green canaries, built their nests, a man in a mask with raffia skirts dancing at burials. This never varied, only their kindness to strangers, the extent of their poverty and the immediacy of their terrors. Their laughter and their happiness seemed the most courageous things in nature
David Z. Hirsch, Didn't Get Frazzled|There are two events in everybody’s life that nobody remembers. Two moments experienced by every living thing. Yet no one remembers anything about them. Nobody remembers being born and nobody remembers dying. Is that why we always stare into the eye sockets of a skull? Because we’re asking, “What was it like?” “Does it hurt?” “Are you still scared?”.
Ban Ki-moon|Sooner or later, we will have to recognise that the Earth has rights, too, to live without pollution. What mankind must know is that human beings cannot live without Mother Earth, but the planet can live without humans.
Nicola Yoon, The Sun Is Also a Star|CARL SAGAN SAID that if you want to make an apple pie from scratch, you must first invent the universe. When he says “from scratch,” he means fromnothing. He means from a time before the world even existed. If you want to make an apple pie from nothing at all, you have to start with the Big Bang and expanding universes, neutrons, ions, atoms, black holes, suns, moons, ocean tides, the Milky Way, Earth, evolution, dinosaurs, extinction- level events, platypuses,Homo erectus, Cro- Magnon man, etc. You have to start at the beginning. You must invent fire. You need water and fertile soil and seeds. You need cows and people to milk them and more people to churn that milk into butter. You need wheat and sugar cane and apple trees. You need chemistry and biology. For a really good apple pie, you need the arts. For an apple pie that can last for generations, you need the printing press and the Industrial Revolution and maybe even a poem.To make a thing as simple as an apple pie, you have to create the whole wide world.
C. JoyBell C.|We live in a world where people are so busy trying to find someone that's "good enough" for them, that they have failed to stop and ask themselves if they are in fact good enough for other people! This is the result of a feeling of false entitlement that has been instilled in the minds of people today. "Everyone" deserves "the best" from the "Universe" however, nobody is teaching anybody to stop and try to become the best for their own selves and for other people. When everybody thinks they are the best, everybody falls short of the best that they can actually be.
Kristin Cashore, Fire|For a moment, it was almost as if they were friends again.
Stephan Attia, Mythopia|I only wake up twice a year,And twice a year I live;In the equinox I am aware,Flying high and everywhere;On other days I grieve.
Leila Sales, Past Perfect|If there's one common thread throughout all of history, it's that people have always fallen for the wrong people.
J.K. Rowling, Harry Potter and the Deathly Hallows|កត្តាដែលភ្លេចអក្សរសាស្រ្តជាតិរបស់ខ្លួនហ្នឹង អាចនឹងធ្វើឲ្យពួក គេថ្ងៃក្រោយមិនអាចដឹងនូវដើមកំណើតឫសនៃមូលដ្ឋានជាតិរបស់គេនោះកូនចៅខ្មែរក្រោមអាចនឹងកា្លយជាជនជាតិវៀតណាមទៅវិញ ។I think in the future, the younger generation of Khmer Krom people could forget the Cambodian national literature. They won’t know about their roots and the basics of Khmer. I’m afraid that the Khmer Krom youth can easily become Vietnamese.
Christopher Pike, The Last Vampire|You think your show of defiance will save you from my dominance? From my wrath? Trust me, you haven’t seen my worst. There are ways of torturing a vampire that can drive them literately insane. I know ways of making you suffer that will last for months or years—not seconds. I want you to test me so that I can teach you who your master is. Now get the fuck up and follow me. If I have to tell you again, I’m going to cut off your hand and send it to the werewolves.”Theoden to Noel
Li-Young Lee, The City in Which I Love You|A door jumpsout from shadows,then jumps away. Thisis what I've come to find:the back door, unlatched.Tooled by insular wind, itslams and slamswithout meaningto and without meaning.
Cormac McCarthy|Creative work is often driven by pain. It may be that if you don't have something in the back of your head driving you nuts, you may not do anything. It's not a good arrangement. If I were God, I wouldn't have done it tha
Barack Obama|The sadness of the women's movement is that they don't allow the necessity of love. See, I don't personally trust any revolution where love is not allowed.
Sarah Ban Breathnach|Follow your dreams. If you have a goal, and you want to achieve it, then work hard and do everything you can to get there, and one day it will come true.
William Gurnall|When God intends a mercy for his people, he stirs up the spirit of prayer in them. Fervency unites the soul and directs the thoughts to the work at hand. It will not allow diversions and denies all foreign thoughts seeking to intrude. Pray fervently or you do nothing. Cold praying is no more prayer than a painting of fire is fire. How can prayers that do not even warm your own heart move God’s? A fervent prayer will never find a cold reception with God. Elijah’s prayer called fire down from heaven because it carried fire up to heaven.
