Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
E.M. Bounds, The Weapon of Prayer|Men and women are needed whose prayers will give to the world the utmost power of God; who will make His promises to blossom with rich and full results. God is waiting to hear us and challenges us to bring Him to do this thing by our praying. He is asking us, to-day, as He did His ancient Israel, to prove Him now herewith." Behind God's Word is God Himself, and we read: "Thus saith the Lord, the Holy One of Israel, his Maker: Ask of me of things to come and concerning my sons, and concerning the work of my hands, command ye me." As though God places Himself in the hands and at the disposal of His people who pray - as indeed He does. The dominant element of all praying is faith, that is conspicuous, cardinal and emphatic. Without such faith it is impossible to please God, and equally impossible to pray.
Douglas Adams, The Salmon of Doubt|So here is another law, one of my favourite If I become famous the stupidy will end one for all. It's basically a jail for mankind stupidy!
Anthony Liccione|Things you might hear,Things you wanna believe,Things that aren't true,Things that people say,It's these THINGS that causes people to feel not wanted.
Norhafsah Hamid, Back to Basics|A great deal of what I say just leaves me open, I suppose, to a vast amount of misunderstanding. A great deal of what I say is based on an assumption which I hold and don’t always state. You know my fury about people is based precisely on the fact that I consider them to be responsible, moral creatures who so often do not act that way. But I am not surprised when they do. I am not that wretched a pessimist, and I wouldn’t sound the way I sound if I did not expect what I expect from human beings, if I didn’t have some ultimate faith and love, faith in them and love for them. You see, I am a human being too, and I have no right to stand in judgment of the world as though I am not a part of it. What I am demanding of other people is what I am demanding of myself.
Iván Fernández Anaya|She said that in writing anything, you must be perfectly honest.
Pedro Juan Gutiérrez, Dirty Havana Trilogy|A man's allowed to make lots of small mistakes, and there's nothing wrong with that. But if the mistakes are big ones and they weigh him down, his only solution is to stop taking himself seriously. It's the only way to avoid suffering - suffering, prolonged, can be fatal.
Desmond Hume|North-ish." A pause, and then: "Is that Terra for I'm lost-ish?
Jo Walton|There's a sunrise and a sunset every single day, and they're absolutely free. Don't miss so many of them.
Elizabeth Hardwick|There is no teacher, living or past, who can give us the actual understanding of Truth. A teacher can only put our feet upon the path and point the way. That is all. It is wholly dependent on the individual to make his way to Truth.
Gretchen McNeil, Possess|The Bibbidi Bobbidi Beautiful boutique, the name filled me with dread.
Sophia Amoruso, #GIRLBOSS|We choose what and how we believe, and our beliefs are tools that we then use to make things happen ... or not
Sasha Alsberg, Zenith Part 1|When I went to prison and came out, it was like another stripe being added to my shoulder—another notch of respect on my belt. On the streets, you cannot get a name until you do something. You have to prove who you are by doing something outrageous, like shooting someone from a rival gang. It allowed others to see what type of person you were, and established the fact that you were ready for anything. Back in the day, what we were looking for was for someone to have our backs. So every time I did something and was recognized for what I did, it gave me more nerves to continue. After the deed was all said and done, and we were hanging on the blocks, everyone is praising you and talking about what you did. You all should have been there. You should have seen how Taco rushed up on that fella and dealt with him.Those praises were like drugs that eventually poison the mind, and gave you more inspiration to do things to have more people talking about you. People recognizing you as one who isn’t scared, one who is ready to do whatever is needed.No one ever wants to go to prison. I never wanted to go to prison. I just wanted to be recognized as one willing and ready for a battle anytime. Troit Lynes, former death row inmate of Her Majesty Prison in the Bahamas
Jason Versey|Long time friends have a way of touching and impacting our lives in ways never imagined. As we try to find our own place in this ever changing world, it's comforting to know, that even though separated by time, distance or circumstance, what remains constant is an unspoiled bond of love and loyalty that can be depended upon for a lifetime. One of God's most special gifts...is friendship.
Billy Graham, Billy Graham in Quotes|God wants to use you right where you are. Every day you probably come in contact with people who will never enter a church, or talk with a pastor, or open a Bible— and God wants to use you to point them to Christ. You may be the “bridge” God would use to bring them to Himself.
C. JoyBell C.|Today, I saw an owl with broken eyes. A blind owl with eyes that look like a dark night filled with bright stars. I used to think that no one could really love a person so broken in so many places. But the broken owl has two eyes filled with a starry universe, and that's when I realised, that you can be loved for your brokenness. Not just despite it. It only takes someone who knows what a starry universe would feel like. Broken is beautiful, too. And sometimes even more beautiful.
Debasish Mridha|You are born for service, service is love, service is joy, service brings endless peace and happiness.
David Harewood|Every wedding is slightly different from the other. But you always get to meet the funny uncle and the weirdo relatives, and there's always someone trying to beat you up for not playing enough Beatles songs or something.
Kristin Armstrong|Blaming the running injury epidemic on big, bad Nike seems too easy - but that's okay, because it's largely their fault.
Kevin Smith|So long as this country is cursed with slavery, so too will it be cursed with vampires.
Sheron Long|Food didn't kill people, for God's sake, people killed people. With their harping, and criticizing, and careful living.
John Muir|Yom Kippur, the Day of Atonement, is the holy of holies of Jewish time. It is that rarest of phenomena, a Jewish festival without food. Instead it is a day of fasting and prayer, introspection and self-judgment when, collectively and repeatedly, we confess our sins and pray to be written into God's Book of Life.
M.D. Elster, Four Kings|When the thin line between love and hatred faded away completely, madness sprang back to life inside the numb hearts.
Corinne Bailey Rae|It seemed as though he gave way all at once; he was so languid that he could not control his thoughts; they would wander to her; they would bring back the scene,- not of his repulse and rejection the day before but the looks, the actions of the day before that. He went along the crowded streets mechanically, winding in and out among the people, but never seeing them, -almost sick with longing for that one half-hour-that one brief space of time when she clung to him, and her heart beat against his-to come once again.
Pat Conroy, My Reading Life|Here's what I love: when a great writer turns me into a Jew from Chicago, a lesbian out of South Carolina, or a black woman moving into a subway entrance in Harlem. Turn me into something else, writers of the world. Make me Muslim, heretic, hermaphrodite. Put me into a crusader's armor, a cardinal's vestments. Let me feel the pygmy's heartbeat, the queen's breast, the torturer's pleasure, the Nile's taste, or the nomad's thirst. Tell me everything that I must know. Hold nothing back.
Edmund Spenser, The Shepherd's Calendar and Other Poems|After the sorts of winters we have had to endure recently, the spring does seem miraculous, because it has become gradually harder and harder to believe that it is actually going to happen. Every February since 1940 I have found myself thinking that this time winter is going to be permanent. But Persephone, like the toads, always rises from the dead at about the same moment. Suddenly, towards the end of March, the miracle happens and the decaying slum in which I live is transfigured.
Albert Einstein, Man and His Gods|Professor Smith has kindly submitted his book to me before publication. After reading it thoroughly and with intense interest I am glad to comply with his request to give him my impression.The work is a broadly conceived attempt to portray man's fear-induced animistic and mythic ideas with all their far-flung transformations and interrelations. It relates the impact of these phantasmagorias on human destiny and the causal relationships by which they have become crystallized into organized religion.This is a biologist speaking, whose scientific training has disciplined him in a grim objectivity rarely found in the pure historian. This objectivity has not, however, hindered him from emphasizing the boundless suffering which, in its end results, this mythic thought has brought upon man.Professor Smith envisages as a redeeming force, training in objective observation of all that is available for immediate perception and in the interpretation of facts without preconceived ideas. In his view, only if every individual strives for truth can humanity attain a happier future; the atavisms in each of us that stand in the way of a friendlier destiny can only thus be rendered ineffective.His historical picture closes with the end of the nineteenth century, and with good reason. By that time it seemed that the influence of these mythic, authoritatively anchored forces which can be denoted as religious, had been reduced to a tolerable level in spite of all the persisting inertia and hypocrisy.Even then, a new branch of mythic thought had already grown strong, one not religious in nature but no less perilous to mankind -- exaggerated nationalism. Half a century has shown that this new adversary is so strong that it places in question man's very survival. It is too early for the present-day historian to write about this problem, but it is to be hoped that one will survive who can undertake the task at a later date.
Terry Pratchett, Lords and Ladies|In the beginning there was nothing, which exploded.
Craig Groeschel, Weird: Because Normal Isn't Working|If you pour everything you have into this life, this world, which is temporary and fading, you're jeopardizing your relationship with God, the only thing that's eternal.
Andrew Kendall, The Dark Dictionary: A Guide to Help Eradicate Your Darkness, Restore Your Light, and Redefine Your Life.|I realized that the knowledge I gained over this period in my life was power, and it felt like a waste not to share that wealth with the world, with people who could benefit,
Charles Bukowski|The factories, the jails, the drunken days and nights, the hospitals have weakened and shaken me like a mouse in the mouth of a hip-cat: life.- from an Aug. 1965 letter to Jim Roman "On Cats
Josephine Tey, The Daughter of Time|He knew by heart every last minute crack on its surface. He had made maps of the ceiling and gone exploring on them; rivers, islands, and continents. He had made guessing games of it and discovered hidden objects; faces, birds, and fishes. He made mathematical calculations of it and rediscovered his childhood; theorems, angles, and triangles. There was practically nothing else he could do but look at it. He hated the sight of it.
David  Brandon, Tao of Survival: Spirituality in Social Care and Counselling|The psychologist Jerome Kagan has argued that parenting has a threshold function: up until that threshold is crossed, the effects of a child's very early experience even out in the end. But parenting that crosses the threshold—abuse, stress, utter indifference—can sink in deep, especially if the baby remains in that environment. There's a lot to be said for this perspective on parenthood, not least that it offers well-meaning parents some relief from scaremongering. It also accounts for the astounding flexibility of the human infant: he is game for the craziest parenting stuff you can come up with.
Cat Johnson|When you choose a man who thinks eight seconds is a long time, perhaps you need two of them. Hmm?
Liya Kebede|I believe the biggest challenge is just getting the courage to try something different or new. Try to forget the stereotype in your mind. Yoga is for everyone - children, athletes, moms, dads, accountants, truck drivers, even country stars.
Danielle Steel, Pure Joy: The Dogs We Love|A well-trained dog is like religion, it sets the deserving at their ease and is a terror to evildoers.
Ashley Beale, Illusion|My life is exactly what it's meant to be, and I'm okay. I'm. Okay. Those two words, yeah, they mean a lot to me. I'm not perfect, I'm not completely healed, but I'm okay. I'll take it.
Curtis White, We, Robots: Staying Human in the Age of Big Data|Like characters in Greek tragedy, we seem fated to push technology towards its ultimate degree as if we were possessed by malignant gods. We call these gods "curiosity" and "creativity" and "reason" and "progress", but when these words are perverted by technocrats, they are more like the four horsemen of the apocalypse.
Rukhsar Din|When I recall memories, it all seems like a film, not a reality.
Sarah Dessen, Dreamland|Do you ever go back?"Ruthann nods, "When I need to remember where I came from, or where I'm headed.
Aaron Lazar|I learned Hebrew from a high school teacher named Mr. Cohen. We would drive down the highway to meet his car, and Jewish boys from these Massachusetts towns would sit in his car and learn the lessons.
Émile Zola, Germinal|I still couldn’t banish the image of the Quetzal Flower. In my mind, it merged with that of Priestess Eleuia: everything a man could desire or aspire to, a woman who would suck the marrow from your bones and still leave you smiling.
A.E. Via|We must walk alone, but fight together - for One cause, instead of against each other.
Ellen Cooney, The Mountaintop School for Dogs and Other Second Chances|Sometimes when dogs greeted a returning soldier, they'd go over the edge. They would have to take a few moments to run crazily in circles around the human, or around a room or a yard. I'd have to take a break from watching, so my brain had a chance to absorb what I was seeing: that there is such a thing as joy being bigger than the container that holds it.
Jon Miller|Business is about profit, yes – and it is about more than profit: at its best, it is about expanding the possibilities of humanity.
Deborah Blake, Veiled Menace|Peter,” she whispered. “I don’t suppose this place has a bedroom.”	He laughed softly in her ear. “Twelve of them, actually. Which one do you want to use?”	She laughed back and bit his neck teasingly. “How about all of them? You just pick where we’ll start.
S.L. Madden, The Shadow Walker|Is it possible that we never feel grown-up because, as our capabilities increased with age, so increased our responsibilities?
Ballard James G.|Human language can only work in broad categories. We create words for things, even though words have a danger of confining things. People will always be bigger than the words we use to describe them, and words will always have the tendency to give us narrow views. But this danger shouldn’t keep us from using words. I am a man; I am American; I am single; I am 5’10”; I am hungry; I am tired: I am happy: I am sad; I am studious; I am foolish; I am fallen; I am sinful; I am hopeful; I am inquisitive; and I am gay. I’m not just any one of these things, but I am all of these things. You could ask me to not categorize myself in terms of my sexual identity because I am not just my sexuality; but if you’re going to do that, you might as well not ask me to categorize myself at all.
Rick Riordan, The Blood of Olympus|Hades allowed himself the faintest smile, but there was nothing cruel in his eyes. ‘I can entertain the possibility that you acted for multiple reasons. My point is this: you and I rose to the aid of Olympus because you convinced me to let go of my anger. I would encourage you to do likewise. My children are so rarely happy. I … I would like to see you be an exception.’ Nico stared at his father. He didn’t know what to do with that statement. He could accept many unreal things – hordes of ghosts, magical labyrinths, travel through shadows, chapels made of bones. But tender words from the Lord of the Underworld? No. That made no sense.
Lailah Gifty Akita, Think Great: Be Great!|Stay strong in spirit, be patient and you will overcome any situation.
Tucker Elliot, The Day Before 9/11|It’s hard to describe being an expatriate of sorts to people who’ve never lived overseas, but when you’re an American living in a geographically separated region within a country like Korea, you form bonds with people who you’d never associate with stateside.
Naomi Novik, Throne of Jade|The most spiritual people I’ve ever met were not “givers” they were communicators. You don’t give people crumbs. You give them the whole piece of bread when that is what they are asking for, in order to be healed. Christ was never about hiding behind a Facebook page, an email, a prayer circle, a bible, or a church. He was about talking, listening and healing-- face to face. He walked among sinners and ate with them. He devoted his time to people that were brokenhearted, difficult to like and fake as the religious beliefs they clung to. So, why is it that so many people profess to believe in Christ, yet they have forgotten what real love is----communicating?
Sonya Hartnett, The Children of the King|WAR CHILD is the true story of Magdalena (Leni) Janic whose name appears on The Welcome Wall at Sydney's Darling Harbour. The story spans 100 years starting in pre WWII Nazi Germany and ends in the suburbs of Adelaide. It's a window into what life was like for a young illegitimate German girl growing up in poverty, coping with ostracism, bullying, abuse and dispossession as society was falling down around her and she becomes a refugee. But it's also a story of a woman's unconditional love for her family, the sacrifices she made and secrets she kept to protect them. Her ultimate secret was only revealed in a bizarre twist after her death and much to her daughter's (and author) surprise involved her. A memorable tear-jerker! A sad cruel story told with so much love.
Paul Levy, Dispelling Wetiko|Wetiko doesn't objectively exist, and yet, at the same time, it is not merely our projection or imagination. Instead of an either/or universe, where phenomena like wetiko are either real or unreal, there is an area in between in which it is both/and--both real and unreal at the same time.
Dan Simmons, The Fall of Hyperion|But he didn't need to seek visual confirmation of what he'd just heard to know she had. And the truth was, he couldn't blame her. He'd not have let her die, either. He'd have moved mountains. He'd have battled God or Devil for his wife's life. She'd betrayed him. He smiled faintly.
David Mitchell, Cloud Atlas|If you are not content today, there is nothing you can buy tomorrow to change that.
Ellen Hopkins, Crank|Have you ever had so many thoughts churning inside that you didn’t dare let them escape, in case they blew you wide open
Anna Politkovskaya, Is Journalism Worth Dying For?: Final Dispatches|Opponents past and present have the same essential weakness about them: first they want to use you, then they want to be you, then they want to snuff you out.
Allie Brosh, Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened|Тo me, the future doesn’t seem real. It’s just this magical place where I can put my responsibilities so that I don’t have to be scared while hurtling toward failure at eight hundred miles per hour.
W.C.Fields|I went in there only once, as a sane man, and I came out...well, I came out like this. But you, once you come out of there, you'll be a king!
ShahenshahHK|Sales business is funny, despite the target stress running in the back of our mind, we still chose & approach the clients to avoid rejection, we learn to live with the stress but we can’t learn to live with the rejection, which is the part & parcel of the sales process. To survive, we must act like a non-swimmer in the water, how the fear of drowning makes them hold on to anything in sight? In order to survive keep an open approach, don’t just wait for the rope of your perceptions to get pulled out.
David Kinnaman, unChristian: What a New Generation Really Thinks about Christianity... and Why It Matters|When outsiders claim that we are unchristian, it is a reflection of this jumbled (and predominately negative) set of perceptions. When they see Christians not acting like Jesus, they quickly conclude that the group deserves an unchristian label. Like a corrupted computer file or a bad photocopy, Christianity, they say, is no longer in pure form, and so they reject it. One quarter of outsiders say therefore most perception of Christianity is that the faith has changed for the worse. It has gotten off-track and is not what Christ intended. Modern-day Christianity no longer seems Christian.
Antoine Wilson, Panorama City|and so I opened my eyes and I opened my mind and I saw something I never would have noticed on a bicycle unless I was going very, very fast down a very long hill. Because of the speed of the bus and how I was exerting no effort, the telephone wires on the side of the road, sagging between poles, went up and down with the same rhythm as my heartbeat.
Muhammad Imran Hasan|Once upon a time, there was a story. But no one to tell it.
H. Rider Haggard, Allan Quatermain|Passion is like the lightening, it is beautiful and it links the earth to heaven, but it blinds.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|If you continue to hit your head against the wall, don’t be surprised if your head hurts.
Melody  Lee, Moon Gypsy|You'll find magic everywhere, even in dark, dusty corners, if you stop searching with your limited human eyes and instead feel with your naked soul.
Jennifer L. Armentrout, Obsidian|Orphan could no longer hear or see the shadows of the dead. He didn't think they had perished. Most likely they were hiding now, somewhere in this landscape of books.
Sujish Kandampully|Will I ever realize the American Dream? Maybe, if I keep dreaming, hoping and working harder and harder every single day, and being mindful of the fact that the American Dream, just like genius and success, is, in Thomas Edison’s words, “one percent inspiration and ninety-nine percent perspiration” (BrainyQuote). Just because some people realize the American Dream at an early age doesn’t mean others will never realize it a little bit later, sometimes when they almost stop dreaming. The American Dream has no deadline. For millions of immigrants who traveled thousands of miles – either by air, or by boat, by walking, or even by swimming – to reach the land of opportunity and the land of the free, the Dream is, like hope, the last thing to die.
Rebecca McNutt|I used to want to be a cop for a brief time, a detective, solving crimes and upholding the law, ever since I stated watching crime shows in junior high. But being a cop, contrary to what many believe, isn't like the films or television shows that we see every day. If you're the cop who has to have the grim duty of telling a parent that their child was killed, or who loses their friend on a dangerous case, or who has to interview victims of horrible crimes, somehow I imagine that you just want to quit forever on some days.
Brenna Yovanoff, Paper Valentine|Yesterday I might have been a glorious monument to somebody, true enough-but tomorrow I could be a fireworks depository. Even in the Eternal City, says the silent Augusteum, one must always be prepared for riotous and endless waves of transformation.
George R.R. Martin, A Storm of Swords|I watched the people passing below, each of them a story, each story part of somebody else's, all of it connected to the big story of the world. People weren't islands, so far as I was concerned. How could they be, when their stories kept getting tangled up in everybody else's?
Marsilio Ficino, The Letters of Marsilio Ficino, Vol. 3|In these times I don't, in a manner of speaking, know what I want; perhaps I don't want what I know and want what I don't know.
Terryl L. Givens, The God Who Weeps: How Mormonism Makes Sense of Life|As an inmate of a concentration camp, Corrie Ten Boom heard a commotion, and saw a short distance away a prison guard mercilessly beating a female prisoner. “What can we do for these people?” Corrie whispered. “Show them that love is greater,” Betsie replied. In that moment, Corrie realized her sister’s focus was on the prison guard, not the victim she was watching. Betsie saw the world through a different lens. She considered the actions of greatest moral gravity to be the ones we originate, not the ones we suffer.
Roger Ebert, Life Itself|In quickness is truth. The more swiftly you write, the more honest you are. In hesitation is thought. In delay comes the effort for a style, instead of leaping upon truth which is the only style worth deadfalling or tiger-trapping.
John Kenneth Galbraith, A Short History of Financial Euphoria|Let it be emphasized once more, and especially to anyone inclined to a personally rewarding skepticism in these matters: for practical purposes, the financial memory should be assumed to last, at a maximum, no more than 20 years. This is normally the time it takes for the recollection of one disaster to be erased and for some variant on previous dementia to come forward to capture the financial mind. It is also the time generally required for a new generation to enter the scene, impressed, as had been its predecessors, with its own innovative genius.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Success needs no authorization, yet failure requires permission.
Otto Dix|The real and lasting victories are those of peace, and not of war.
Kamy Wicoff, Wishful Thinking|That she was now more tired and forgetful, while able to do three times what she had been able to do when she was somewhat less tired and forgetful but also stressed, guilty, grouchy, and overwhelmed, seemed a small price to pay.
Phillip Phillips|Gujarat is truly vibrant. Be it handicrafts, folk music, art, costumes or food - the state offers the best of everything.
Julia Golding, Den of Thieves|Sorry Johnny." "Sorry for what " "For shouting at you. It's just that when I think about the future I keep panicking. It's like falling from the top of the stairs in the dark not knowing where I'll end up."  He put his arm around my shoulders. "I understand. Life is precarious for most of us but more so for you. What you forget is what most of your friends see in you."  "What's that " "The ability to beat the odds..." "And fall on my feet " He nodded.  "I just hope that lasts." "It will Catkin it will. It wouldn't dare fail you.
Vint Cerf|Grassroots techies - the mostly unknown people who write code and start companies that don't make the headlines - hate, loathe, and despise Microsoft. At technology conferences, it is the devil, or the guaranteed laugh line. Its products are mocked, its business practices booed.
Adam Phillips, Missing Out: In Praise of the Unlived Life|Listening is the most dangerous thing of all, listening means knowing, finding out about something and knowing what’s going on, our ears don’t have lids that can instinctively close against the words uttered, they can’t hide from what they sense they’re about to hear, it’s always too late.
George Norman Lippert|Don't exploit your enemy's weakness, for he may have none.Exploit his passions and the battle is yours.
Kallistos Ware, The Orthodox Way|If we want to keep the blessings of life coming to us, we must learn to be grateful for whatever is given.
Stephanie John, Unspoken|You make it sound so simple.It is, for the most part. Love is complicated, it can be downright ugly, but with the two of you it can be nothing but beautiful in the end.
Indie Reader|[Truman] didn’t want to fight the guy, whatever he was—alien, vampyr or douchebag.
Sunday Adelaja|If you want the miracle to happen, you have to create the space for it.
Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus|I am thankful that I can be thankful, for if thankfulness did not exist my heart would be irretrievably imprisoned by the crazed twins of acquisition and possession, and my soul would exist as a forever slave to greed.
Zack Love, Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC|Don't wait until it's too late to tell someone how much you love, how much you care.
Alison McGhee|People always try to make self-published authors feel insignificant. I have more respect for self-published authors, because I know the adversity they faced. They didn't just write a manuscript, query letter, and blam book deal. These authors had to do it the difficult way. There is no publisher, or agents, investing time, and money into making their book. Just the indie author's manuscript, own currency, and persistence.
Shaun David Hutchinson, We Are the Ants|That's the problem with memories: you can visit them, but you can't live in them.
Anish Rajan|Epikta | Animation Services | Web Design | Los Angeles Epikta is Los Angeles leading Logo Design, Web Design ,Animation Services and SEO Company, also professional and specializing in high quality Logo Creation, Custom Animations and online marketing in LA.Services:-web design los angeles Epikta.comanimation services in la Epikta.com
Pema Chödrön, The Places That Scare You: A Guide to Fearlessness in Difficult Times|In Buddhism, there is no place for using effort. Just be ordinary and nothing special. Eat your food, move your bowels, pass water and when you're tired go and lie down. The ignorant will laugh at me, but the wise will understand.
