Joel Rosenberg|A man can be short and dumpy and getting bald but if he has fire, women will like him.
Queen Latifah|I am really interested in eccentric minds. It's rather like being fascinated by how cars work. It's really boring if your car works all the time. But as soon as something happens, you get the bonnet up. If someone has an abnormal or dysfunctional state of mind, you get the bonnet up.
Jaachynma N.E. Agu, Risk It, Be Different|Marriage is the only Institution With One Access: Entrance Only, No Exit, No Outing Option So Look Well Before You Dive Into It
Rola Mahmoud|Throughout life, we are put into boxes to categorize how people see and know us. This is how stereotypes originate, because people would rather read the labels on the box instead of taking a look and seeing what's inside
Pierre Abélard, The Letters of Abélard and Héloïse|Against the disease of writing one must take special precautions, since it is a dangerous and contagious disease.
Solange nicole|Incidentally, although the Cistercians did much to improve the quality of sheep, the animal remained much smaller than its modern descendants; as late as the early eighteenth century a sheep wasn't much bulkier than a Labrador Dog.
William Shakespeare|Knowing I lov'd my books, he furnish'd me From mine own library with volumes that I prize above my dukedom.
Aadii Mughal|Thinking Too Much can Disturbs Your Other Important Strategies, SO Stop thinking take Action
Daniel Mendelsohn|Authority could derive from passion, not pieces of paper.
Denis Waitley|True courage is not the brutal force of vulgar heroes, but the firm resolve of virtue and reason.
Lilly Gayle, Out of the Darkness|There are no endings for any of us, happy orotherwise, until we die. A fairy tale only endshappily because that’s the point where thestoryteller stops telling the story.
Daniel J. Flynn, Intellectual Morons: How Ideology Makes Smart People Fall for Stupid Ideas|What never fails inside the mind of an intellectual never works outside the confines of his head. The world’s stubborn refusal to vindicate the intellectual’s theories serves as proof of humanity’s irrationality, not his own. Thus, the true believer retrenches rather than rethinks; he launches a war on the world, denying reality because it fails to conform to his theories. If intellectuals are not prepared to reconcile theory and practice, then why do they bother to venture outside the ivory tower or the coffeehouse? Why not stay in the world of abstractions and fantasy?
Siriworn Kaewkan, The Murder Case of Tok Imam Storpa Karde|I came only to report the news, to gather information. I didn't come to find out the truth.
Hannah Arendt|Our landscapes connect us to our history; they are the source of our character as a peopl, as well as our health, our safety, and our prosperity. Natural resources enrich us economically, yes. But they also enrich us aesthetically and recreationally and culturally and spiritually.
Stephen Richards|It is how hard you want, what you want that gets it.
Kirsty Logan, The Rental Heart and Other Fairytales|It began with the Christmas tree lights. They were candy-bright, mouth-size. She wanted to feel the lightness of them on her tongue, the spark on her tastebuds. Without him life was so dark, and all the holiday debris only made it worse. She promised herself she wouldn't bite down.
Abhijit Naskar, What is Mind?|Observing the medical histories of various neurological syndromes is like observing the fascinating nerve cells of the human brain in action, while they construct what we so proudly call the Human Consciousness. They remind us of the overwhelming aspects of human silliness. They remind us how such a simple natural response of the human Biology, is misinterpreted as the “last surviving mystery” of this planet.
Michelle Geaney|It may be a tough world, but its a magical world;Where a mere sunset will make you smile....Amidst all the hardships, When the life you want to live seems a strange place,Be the first to chart this new territory;And leave a clear path for others to follow,They will follow.........You do not have to fell the pressure to lead....You merely followed the horizon where the sun set,which became a beautiful sunrise...Your Sunrise.....
Daniel Gilbert|'Blind Curve,' the book I'm working on now, sprang from a crazy incident that happened to me last year while on my book tour. I was pulled out of my car for a minor traffic violation - an incident that escalated into my being thrown into cuffs and told I was going to jail. Except in my story, the hero doesn't get off as easily as I did.
Imam Shah|The woman, who is not the wife, has no right to receive the seed of the man, because it is the man and not the woman, who has to bear the responsibility for his seed.
Cedric Richmond|It is really very important while you are young to live in an environment in which there is no fear. Most of us, as we grow older, become frightened; we are afraid of living, afraid of losing a job, afraid of tradition, afraid of what the neighbours, or what the wife or husband would say, afraid of death.
Will Advise, Nothing is here...|There are two ways each of us can approach life: spending our days meeting our needs or looking for ways to meet others' needs. The mystery is that when we spend our life focused on our own needs, we are never satisfied... but when we pour out our life and focus on how we can serve others... our deepest needs are met as well!
Eugene H. Peterson, Perseverance: A Long Obedience in the Same Direction|Joy is not a requirement of Christian discipleship, it is a consequence. It is not what we have to acquire in order to experience life in Christ; it is what comes to us when we are walking in the way of faith and obedience.
Alain Robbe-Grillet|I felt condemned to obscurity and to celibacy. But when one is driven by passion, one can live on almost nothing, and I was driven by passion for writing. One does not starve in modern, Western societies, and one can do without such amenities as the telephone, a car, entertainment.
Robert M. Drake|If I lived a million lives, I would've felt a million feelings and I still would've fallen a million times for you.
Amal Sagheer|But if you close your eyes,does it almost feel like nothing changed at all?
Ray Bradbury, Fahrenheit 451|If the light's not in you, you're in the dark.
Tony Judt|We die only once, and for such a long time.
Ludwig von Mises, The Theory of Money and Credit|The marginal utility of money to any individual, i.e., the marginal utility derivable from the goods that can be obtained with the given quantity of money or that must be surrendered for the required money, presupposes a certain exchange-value of the money; so the latter cannot be derived from the former. 1 Those who have realized the significance of historically-transmitted values in the determination of the objective exchange-value of money will not find great difficulty in escaping from this apparently circular argument.
Ilchi Lee, Change: Realizing Your Greatest Potential|To recover the purest Zero mind, and cosmic consciousness, we first have to attain an earth consciousness.
William Ritter, Jackaby|There, little girl, don't read,You're fond of your books, I know,But Brother might mopeIf he had no hopeOf getting ahead of you.It's dull for a boy who cannot lead.There, little girl, don't read.
William Blake|But unlike you," said Jace, "there is nothing of hell in us.""You are mortal; you age; you die," the Queen said dismissively. "If that is not hell, pray tell me, what is?
Lindsey Buckingham|If we study learning as a data science, we can reverse engineer the human brain and tailor learning techniques to maximize the chances of student success. This is the biggest revolution that could happen in education, turning it into a data-driven science, and not such a medieval set of rumors professors tend to carry on.
V.E. Schwab, A Darker Shade of Magic|Criminals should be punished, not fed pastries.
Clarence Darrow|Museums are managers of consciousness. They give us an interpretation of history, of how to view the world and locate ourselves in it. They are, if you want to put it in positive terms, great educational institutions. If you want to put it in negative terms, they are propaganda machines.
Jim Lovell|We're raising our girls to understand the real meaning of Christmas, and to know that it's most important to have Christmas in your heart. We go to our local mall and donate toys, and we say prayers for all the people in the world who might not be as lucky as we are.
Garrett Carr, The Rule of the Land: Walking Ireland's Border|Old, is it?" the man asks."Yes, very.""Pre-war, is it?""Yes," I say. "If by war you mean the Norman invasion.
Lydia Millet|For books I want to keep reading, it's definitely the voice. It must be a voice I've never heard before, and it must have its own particular intelligence. By 'voice,' I don't mean vernacular. It has to have its own particular history and world that it inhabits.
Noam Chomsky, The Culture of Terrorism|Respectable opinion would never consider an assessment of the Reagan Doctrine or earlier exercises in terms of their actual human costs, and could not comprehend that such an assessment—which would yield a monstrous toll if accurately conducted on a global scale—might perhaps be a proper task in the United States. At the same level of integrity, disciplined Soviet intellectuals are horrified over real or alleged American crimes, but perceive their own only as benevolent intent gone awry, or errors of an earlier day, now overcome; the comparison is inexact and unfair, since Soviet intellectuals can plead fear as an excuse for their services to state violence.
St. Mark the Ascetic|When you are wronged and your heart and feelings are hardened, do not be distressed, for this has happened providentially; but be glad and reject the thoughts that arise within you, knowing that if they are destroyed at the stage when they are only provocations, their evil consequences will be cut off, whereas if the thoughts persist the evil may be expected to develop.
Fernando Alonso Díaz|Fate is a fickle bitch. Just when you believe you've secured the goose that lays the golden egg, she back heels you in the bollocks.
Kathryn Stockett, The Help|Truth.It feels cool, like water washing over my sticky-hot body. Cooling a heat that's been burning me up all my life.Truth, I say inside my head again, just for that feeling.
Riley Keough|There is perhaps no more rewarding romance heroine than she who is not expected to find love. The archetype comes in many disguises - the wallflower, the spinster, the governess, the single mom - but always with one sad claim: Love is not in her cards.
Russell M. Nelson|Since beginning my work in areas like addiction, for example, I have seen time and time again that the roots of poor mental health in adulthood are almost always present in unresolved childhood challenges.
Charles Haddon Spurgeon, Lectures to My Students|JFK to RFK: To survive in politics, you sometimes have to be willing to make fun of yourself.
Maggie Stiefvater, Forever|Ah, Macy Joleen O'James, I love you. More than I ever knew it was possible to love someone. I want to laugh with you when you're happy and hold you when you're sad and--hell. I don't even know what all. This is uncharted territory for me, but I know that I Buzz Lightyear love you. You know--to infinity and beyond?
Israelmore Ayivor, Leaders' Frontpage: Leadership Insights from 21 Martin Luther King Jr. Thoughts|Anyone who wants to prevent you from making other people happy is an enemy. If you are stopping yourself from making others happy, you are your own enemy.
Robert Greene, The 48 Laws of Power|When you show yourself to the world and display your talents, you naturally stir all kinds of resentment, envy, and other manifestations of insecurity... you cannot spend your life worrying about the petty feelings of others
Lene Fogelberg, Beautiful Affliction|In strength the body only knows itself, is full of itself, its movements, its words, but in weakness is the invisible and the whisperings.
Jonathan Anthony Burkett|Grind until you get it no matter what the haters say and never look back, keep striving cause its your life.
Tanja Kobasic|Yes, life is hard, but it's not a bad way to pass the time. When all is said and done, I recommend it.
Julia Stiles|Our biggest fear is that 'Food, Inc.' will move heavy-handed food-safety regulations forward.
Abhijit Naskar, The Islamophobic Civilization: Voyage of Acceptance|It takes not a few centuries, or even millenniums, but millions of years for a subtle evolutionary change to become noticeable.
Robert Toombs|The American economic, political, and social organization has given to its citizens the benefits of material prosperity, political liberty, and a wholesome natural equality; and this achievement is a gain, not only to Americans, but to the world and to civilization.
Erik Pevernagie|Being caught up in a game without having a clue about the rules, may be extremely maddening and frustrating. Liberty may be so frightening and grueling, that many don’t conceal their passion for rules and regulations, since these can give a relieving feeling of security and protection. ("When forgetting the rules of the game" )
Apolo Anton Ohno|People underestimate the importance of dilligence as a virtue. No doubt it has something to do with how supremely mundane it seems. It is defined as "the constant and earnest effort to accomplish what is undertaken."... Understood, however, as the prerequisite of great accomplishment, diligence stands as one of the most difficult challenges facing any group of people who take on tasks of risk and consequence. It sets a high, seemingly impossible, expectation for performance and human behavior.
Julius Caesar|Obstacles, of course, are developmentally necessary: they teach kids strategy, patience, critical thinking, resilience and resourcefulness.
Henry Beston, The Outermost House: A Year of Life On The Great Beach of Cape Cod|To be able to see and study undisturbed the processes of nature--I like better the old Biblical phrase "mighty works"--is an opportunity for which any man might feel reverent gratitude, and here at last, in this silence and isolation of winter, a whole region was mine whose innermost natural life might shape itself to its ancient courses without the hindrance and interferences of man. No one came to kill, no one came to explore, no one even came to see. Earth, ocean, and sky, the triune unity of this coast, pursued each one their vast and mingled purposes as untroubled by man as a planet on its course about the sun.
Lailah Gifty Akita, Think Great: Be Great!|Love the Lord God, with all your heart, soul, mind and strength.
Kym Whitley|I realize that of all people, I am no expert on parenting or marriage.
Morihei Ueshiba|Teaching is a profession in which capacity building should occur at every stage of the career - novices working with accomplished colleagues, skillful teachers sharing their craft, and opportunities for teacher leadership.
Albert malete|weather you scream or mime , im going going to those lips with cream.
Forrest Curran, Purple Buddha Project: Purple Book of Self-Love|Although at times you might want to detract from the path, realize that how you treat yourself becomes the foundation as to how you treat others; although we may want to resort to violence in words during conflict, understand that how you speak to others becomes the basis of how you speak to yourself; although we may want to give up; do not be fooled in the idea that ease and comfort is where your true path lies.
Debasish Mridha|Love and compassion are the creating and sustaining elements of humanity, without them humanity will be inhumane.
Thomas Pynchon, Gravity's Rainbow|It's been a prevalent notion. Fallen sparks. Fragments of vessels broken at the Creation. And someday, somehow, before the end, a gathering back to home. A messenger from the Kingdom, arriving at the last moment. But I tell you there is no such message, no such home -- only the millions of last moments . . . nothing more. Our history is an aggregate of last moments.
Becca Fitzpatrick, Silence|When we become silent, we become whole. And when we become whole, we become holy.
Jennifer O'Neill, Soul DNA: Your Spiritual Genetic Code Defines Your Purpose|When you are relaxed about where you are at in life, things tend to flow more fluidly. It is as if you poke three holes in a bucket of water. The same amount of water is going to flow out the holes whether you let it flow or you shake the bucket. The difference is the amount of turmoil on the inside of the bucket!
Jean Leclercq|Doctors of ancient times used to recommend reading to their patients as a physical exercise on an equal level as walking, running, or ball-playing.
L.A. Weatherly|You know, you really don't have to kill anyone over this. I'll get an annulment. It will be like never happened"His eyes came to her, briefly meeting her gaze before dropping to her mouth. "You'll have to make that a divorce instead""No you don't understand. An annulment will be much easier to obtain"His gaze locked with hers now. Cassie became slightly breathless with the intensity of his stare."Not after tonight, it won't." He said in his mesmerizing drawl."Why?" She barely got the word out."Because i'm in the mood to play husband""You're what?"He started toward her. She was too stunned to move, so he was there and reaching for her before she had time to think about running."We're having a wedding night," he said as he lifted her off her feet.--
Toba Beta, Master of Stupidity|If you violate laws of God, you're a sinner.If you violate laws of men, you're a criminal.If you violate your own laws, you're pathetic.
TemitOpe Ibrahim|When facts give way to faith, then and only then do you unlock the possibilities within.
Laura   Lane, Two Mothers, One Prayer: Facing your Child's Cancer with Hope, Strength, and Courage|If you learn to develop an abundant mentality you will not be envious of others, you will celebrate their successes, you share in their joys and pains; don't see life as a competition but a complimentary.
Tui T. Sutherland|I said,’What’s your problem?’ Asshole.” There was a question behind his question, and that shadow question was ‘Do you want to dance?
Ray Bradbury, A Pleasure to Burn: Fahrenheit 451 Stories|Love works in mysterious ways,
Farley Maglaya|We can never see what we never question, for we who escapes, blinds us
Zig Ziglar|In Einstein's equation, time is a river. It speeds up, meanders, and slows down. The new wrinkle is that it can have whirlpools and fork into two rivers. So, if the river of time can be bent into a pretzel, create whirlpools and fork into two rivers, then time travel cannot be ruled out.
Meredith Monk|Most of us were probably less than immaculately honest as teenagers; it's practically encoded into adolescence that you savor your secrets, dress in disguise, carve out some space for experiments and accidents and all the combustible lab work of becoming who you are.
Bethany Griffin, Masque of the Red Death|Then again, there’s nothing simple about Will. I think back to what he can do—bend earth, resist shading, his immense strength—and it’s glaringly inaccurate to consider him a human. But then I can’t think of him as a draki either. And this strikes me as sad. Will doesn’t belong anywhere. Not among humans. Not among draki.But he belongs with me. The conviction is still there, as senseless and dangerous as always, seeping into my bones, my heart. A fact I wouldn’t change even if I could.
Beverley Cross, Clash Of The Titans: The Official Illustrated Adaptation Of The Epic Film Of The Yearp|Kenji Mizoguchi is to the cinema what Bach is to music, Cervantes is to literature, Shakespeare is to theatre, Titian is to painting: the very greatest.
Kristin Cashore, Fire|It's not reasonable to love people who are only going to die," she said.Nash thought about that for a moment, stroking Small's neck with great deliberation, as if the fate of the Dells depended on that smooth, careful movement."I have two responses to that," He said at last. "First, everyone is going to die. Second, love is stupid. It has nothing to do with reason. You love whomever you love. Against all reason I loved my father." He looked at her keenly. "Did you love yours?""Yes," she whispered.He stroked Small's nose. "I love you," he said, "even knowing you'll never have me. And I love my brother, more than I ever realized before you came along. You can't help whom you love, Lady. Nor can you know what it's liable to cause you to do.
Katie Kacvinsky, Middle Ground|Some people come to the edge of the cliff and they look over, then run away in fear. They never realize it's possible to fly, to soar, to be free. They spend their lives crawling along cliff tops without finding the courage.
Henry David Thoreau, Walden|Time is but the stream I go a-fishing in. I drink at it; but while I drink I see the sandy bottom and detect how shallow it is. Its thin current slides away, but eternity remains.
Kimberley Reeves, Vittorio's Woman|They had a good marriage, a solid relationship that had endured its ups and downs because they’d learned from the mistakes they’d made during their tumultuous beginning. What they’d built together was open and honest and there wasn’t anything they couldn’t talk about with one another.
Orson Scott Card, Xenocide|Contentment comes from wanting what we need, not needing what we want.
Tyga|Growing up, I didn't feel cool; I didn't fit into any crowd.
Anthony Liccione|With the world in a chaos of questions, family should be the answer.
Cate Blanchett|The reason that I'm here at all is because of my relationship with my family and their encouragement of me to be a musician and to work hard. As long as I stay there in that space, I can do anything. That's my truth.
Jules Barbey d'Aurevilly, Le plus bel amour de Don Juan précédé de Le rideau cramoisi|Our secrets, odd or not, are the pins that keep our inner life in place: the inform our psyche with meaning.
Gary Westfal, Dream Operative|Live as though today is your last, love as though tomorrow will never come, and dream as if there are no limits.
Mehmet Murat ildan|When we feel ourselves very weak, life will look immensely powerful and ruthless! The extent of our power is the key factor in determining how powerful life is! The stronger we are the weaker the life will be!
Angela Y. Davis|Fundamentally, I started writing to save my life. Yes, my own life first. I see the same impulse in my students-the dark, the queer, the mixed-blood, the violated-turning to the written page with a relentless passion, a drive to avenge their own silence, invisibility, and erasure as living, innately expressive human beings.
Michael Spence|In our experience at Safeway, we're confident that we can actually improve the quality of health care while taking costs down and using the savings to help finance coverage of low-income people who are clearly going to need help to pay for insurance.
Edmund White|Whether it be a matter of personal relations within a marriage or political initiatives within a peace process, there is no sure-fire do-it-yourself kit.
Henri Frederic Amiel|For a person as obsessed with music as I am, I always hear a song in the back of my head, all the time, and that usually is my own tune. I've done that all my life.
Greg M. Epstein, Good Without God: What a Billion Nonreligious People Do Believe|I only have one prejudice, and that is against those who are prejudiced.
Monica Crowley|In many parts of the world, especially Pakistan and Afghanistan, terrorism, war and conflict stop children to go to their schools. We are really tired of these wars. Women and children are suffering.
Human Angels, We are human angels|The silence was pregnant with noise, with muted fury, with questions the father found too disgusting to frame and with answers to which the son was incapable of giving voice.
Sunday Adelaja|When God breathed life into us, He put His will in us
Heather Demetrios, I'll Meet You There|I thought of all the summer evenings I'd spent sitting in the chairs under the trees beside the trailer, reading books that helped me escape Creek View, at least for a little while. Magical kingdoms, Russian love triangles, and the March sisters couldn't have been further away from the trailer park.
Terry Pratchett, Wintersmith|To animals they were just the weather, just part of everything. But humans arose and gave them names, just as people filled the starry sky with heroes and monsters, because this turned them into stories. And humans loved stories, because once you'd turned things into stories, you could change the stories.
Billy Higgins|Although technical discussions are interesting to composers, I suspect that the truly magical and spiritual powers of music arise from deeper levels of our psyche.
Frédéric Gros, A Philosophy of Walking|An author who composes while walking, on the other hand, is free from such bonds; his thought is not the slave of other volumes, not swollen with verifications, nor weighted with the thought of others. It contains no explanation owed to anyone: just thought, judgement, decision. It is thought born of a movement, an impulse. In it we can feel the body’s elasticity, the rhythm of a dance. It retains and expresses the energy, the springiness of the body. Here is thought about the thing itself, without the scrambling, the fogginess, the barriers, the customs clearances of culture and tradition. The result will not be long and meticulous exegesis, but thoughts that are light and profound. That is really the challenge: the lighter a thought, the more it rises, and becomes profound by rising – vertiginously – above the thick marshes of conviction, opinion, established thought. While books conceived in the library are on the contrary superficial and heavy. They remain on the level of recopying.
Hina Hashmi, Your Life A Practical Guide to Happiness Peace and Fulfilment|People, material and situation come in to our lives because of our thoughts and beliefs. When we don’t want those experiences, we try to push them away. When we use our vital energy in resisting what we don’t want, we attract more of it whether it’s a person, circumstance or challenge.
Neha Yazmin, Chasing Pavements|JAMIE'S SONG 'LOVE TRANSFUSION':I’m not sleeping nights,I’m not doing good.I’m not eating right,have no use for food.All I do is bleed dry for you.But somehow I survive,And wake up with more love for you.It’s not blood running through my veins, it’s you.I’ve had a strange blood transfusion,To add to my confusion.It’s not compatible;I’m going hysterical.It’s some kind of love transfusion.Love transfusion.Love transfusion.I’ve had a strange blood transfusion.Blood transfusion.Blood transfusion. It’s not blood running through my veins, it’s you.
Tim O'Brien|A good piece of fiction, in my view, does not offer solutions. Good stories deal with our moral struggles, our uncertainties, our dreams, our blunders, our contradictions, our endless quest for understanding. Good stories do not resolve the mysteries of the human spirit but rather describe and expand up on those mysteries.
