Guy de Maupassant, Original Maupassant Short Stories|A gardin is where you can find a whole spectrum of life, birth and death
Toba Beta, Master of Stupidity|I've felt basically lucky ever since, almost every day of my life. That's something else love should make you feel. It should make you fell fortunate.It will be made clear to you in a stray gesture, the line of a throat. Something in the hands. There may or may not be any music playing. But there will be a certain velocity of the spirit, a sensation of dropping through clear space unimpeded, and you think, This is the one. I found you.
Rick Remender, Tokyo Ghost, Vol. 2: Come Join Us|It was not, then, race and culture calling out of the South in 1876; it was property and privilege, shrieking to its own kind, and privilege and property heard and recognized the voice of its own.
Blaise Pascal, Pensées|Those honor nature well, who teach that she can speak on everything.
Ray Bradbury, The Pedestrian: A Fantasy in One Act|Business or profession?''I guess you'd call me a writer.'No profession,' said the police car, as if talking to itself. The light held him fixed, like a museum specimen, needle thrust through chest.
Benjanun Sriduangkaew, Clarkesworld Magazine, Issue 91|Supreme level of maturity is needed to realize; that, conveyance of family life, depends on equally maintained pair of wheels and both crediting each other, for their functioning and struggles as well.
Unknown|Men, I say, but better to call them human spiders that go crawling in between and under the tables with rags in their hands, ..from the reader's choice about MK Gandhi and his works for the regeneration of human kind.
Gene Simmons|While the women of the older generation were thankful if only they succeeded in obtaining 'a work and a duty,' however monotonous and wearing it might be, the will of the younger generation for a pleasurable labour has fortunately increased.
Diogenes Laërtius, Complete Works|Some two thousand stone-throwing protesters gathered in the street outside the school. They chanted, "We want fairness. There is no fairness if you don't let us cheat." It sounds like a joke, but they were absolutely serious.
Jenny  Lawson, Let's Pretend This Never Happened: A Mostly True Memoir|German is my mother tongue and as such more natural to me, but I consider Czech much more affectionate, which is why your letter removes several uncertainties; I see you more clearly, the movements of your body, your hands, so quick, so resolute, it’s almost like a meeting.
James Gunn|No one has a monopoly on truth, and science continues to advance. Yesterday's heresies may be tomorrow's conventional wisdom.
Trenton Lee Stewart, The Mysterious Benedict Society and the Prisoner's Dilemma|You've read half the books in this house? This whole house?" "Well, approximately half." Sticky said. "To be more accurate, I suppose I've read more like" - his eyes went up as he calculated - "three sevenths? Yes, three sevenths." "Only three sevenths?" said Kate, pretending to look disappointed. "And here I was prepared to be impressed.
Margaret Atwood, The Blind Assassin|For this world also which seems to us a thing of stone and flower and blood is not a thing at all but a tale. And all in it is a tale and each tale the sum of all lesser tales and yet these are the selfsame tale and contain as well all within them. So everything is necessary. Every least thing. This is the hard lesson. Nothing can be dispensed with. Nothing despised. Because the seams are hid from us, you see. The joinery. The way in which the world is made. We have no way to know what could be taken away. What omitted. We have no way to tell what might stand and what might fall.
Ricky Schroder|Circumstances in life often take us places that we never intended to go. We visit some places of beauty, others of pain and desolation.
Sally Ride|Under a dictatorship, a nation ceases to exist. All that remains is a fiefdom, a planet of slaves regimented by aliens from outer space.
Samantha Chase, Wildest Dreams|Alesha walked up to him and looped her arms around his shoulders as she went up on her tiptoes and kissed him. She only meant for it to be a quick kiss but Reece's arms instantly banded around her as he took it deeper. She was readily on board. The man certainly knew how to kiss and she wasn't going to ask him to stop!...She squirmed for a moment and then reluctantly lifted her head. "Wow."He chuckled. "I kind of like that I keep getting that response from you.""I'm normally much more prolific with words but whenever you kiss me, I can't seem to remember any."His smile deepened. "Now I definitely like that.
Henry N. Beard, Poetry for Cats: The Definitive Anthology of Distinguished Feline Verse|Sakaki: "...Why can't we just talk it over...?"Tomo: "You can't talk to cats.
Tom Walsh|From out there on the moon, international politics looks so petty. You want to grab a politician by the scruff of the neck, drag him a quarter of a million miles out, and say, 'Look at that, you son of a bitch.
J.  Buchanan|A picture can say a thousand words, but a sentence can paint a thousand pictures...
Cheryl Zelenka|Will you permit God to stir the Holy Spirit within you today? Are you ready to seek out His perfect will for your life, even if it is contrary to your present hopes, dreams, and desires? Will you submit to any necessary change or refinement the Spirit exposes and requires, so that you may live a more serviceable and righteous witness for Christ? A major heart remodel may be necessary. The renovations could take many, many years to complete but the cathedral He creates within your very being will be magnificent. May His desire for your life be yours as well, from this very moment and throughout all of eternity.
Debasish Mridha|Dance with the waves of sea and sing with the sky,touch the sands with love and let your mind fly high.
Rainbow Rowell, Fangirl|My mother took the measure of what could be built with the material she'd been given, and she built it.
Richard V. Allen|Dr. Flint had sworn that he would make me suffer, to my last day, for this new crime against him, as he called it; and as long as he had me in his power he kept his word.
Jeanette Winterson, Lighthousekeeping|It is true that words drop away, and that the important things are often left unsaid. The important things are learned in faces, in gestures, not in our locked tongues. The true things are too big or too small, or in any case is always the wrong size to fit in the template called language.
Gift Gugu Mona|When in trouble, run to God. When in pain, dwell in His presence. When you don't know what to say or do, ask God and for every moment praise God. He is always by your side!
Antonia Fraser, King Charles II|Don’t ever feel sorry for yourself. Don’t ever seek pity from other people. Don’t ever play the victim, even if you are one.Why? It’s a mentality. If you wait for someone else to solve your problems, you’re usually in for a long wait. Even if you do get help, you probably won’t like the help you get.
Abhysheq Shukla, Feelings Undefined: The Charm of the Unsaid|Life is a university, you will keep learning new things all the time. The tombstone will be your degree.Make sure it's worth a fortune for those who admire you.
Tanzy Sayadi, Write like no one is reading 2|I could watch her dance for hours, Because she's always dancing inside of my heart.
Amit Ray, Peace on the Earth  A Nuclear Weapons Free World|I dream, one day the consciousness of the countries will be so high that they will be ashamed to place military on the international borders. All international borders will be place for the tourist, gardeners and cultural celebration.
Thich Nhat Hanh, The Miracle of Mindfulness: An Introduction to the Practice of Meditation|Whatever the tasks, do them slowly and with ease, in mindfulness. Don't do any task in order to get it over with. Resolve to do each job in a relaxed way, with all your attention.
Noel Gallagher|When I am in love, I am ridiculously and hopelessly romantic.
Angela N. Blount, Once Upon an Ever After|Odd, how life makes twists and turns. I never would have guessed that I’d end up where I am now, but I wouldn’t trade it for the world. I wouldn’t trade this path I’m on for the whole solar system, for that matter. If I’ve learned anything these last several months, it’s that sometimes the most scenic roads in life are the detours you didn’t mean to take.
Edgar Allan Poe|Beauty of whatever kind, in its supreme development, invariably excites the sensitive soul to tears.
Alberto Caeiro, The Keeper of Sheep|Yet though Americans have been driving up to their houses for decades and entering through backdoors, side doors, kitchen doors, and especially doors through garages, architects keep designing houses with ceremonial front doors that are nowhere near any car or driveway.
Larry Eskridge, God's Forever Family: The Jesus People Movement in America|What God did for Jesus in standing up for Him, standing behind Him in life and in death, and in standing in communion and solidarity with Him, the Father also does for us, here and now, in our lives.
Rick Riordan, The Last Olympian|Oh no." I said panic rising in my chest. "No, no, no, Somebody get a can opener. I've got a god in my head!!
Elena Kagan|During my undergraduate training at UCLA, I was studying finance and securities; my particular interest was with mutual funds. Wanting to get into a high position at some of the companies that were doing that, I knew that law would be useful.
Frederick William Robertson|Wisdom and goodness are twin-born, one heart must hold both sisters, never seen apart.
David Mitchell, The Bone Clocks|The Future,” says Ian, in a film-trailer voice. “Coming soon, to a Present near you.
Sunday Adelaja|Complexes can be the feelings of guilt, a victim complex, and fear of failure, criticism, poverty, and loneliness, loss of love, success, insecurity, denial, and low self-esteem
Mickey Spillane|I have made calculations that would beggar your soul. What is it that villains always say at the end of stories? You and I are more alike than you think? Well,” the Marquess took September’s hand in hers and very gently kissed it. “We are. Oh, how alike we are! I feel very warmly towards you, and I only want to protect you, as I wish someone had protected me. Come, September, look out the window with me. It’s not a difficult thing. A show of faith, let’s call it.
Misty May-Treanor|Social Security is based on a principle. It's based on the principle that you care about other people. You care whether the widow across town, a disabled widow, is going to be able to have food to eat.
Michael Richard Stosic, Thirty-Nine Days|Still hurting so much today from what my prior Pastor and 19church board did to me last year, and I really want to get past that. I want and need to forgive them, to move on with my life and look forward, forget the past.
Robin Sacredfire|When you see through a defense mechanism, you don’t stop at the intimidating behavior but go right on into the underlying misperception about life and through that to the path back to harmony. When you see through people’s fear-based actions, motives, and secrets, you’re really aiming for their sweet vulnerability, inner beauty, and magnificence—and you find their soul.
Hina Hashmi, Your Life A Practical Guide to Happiness Peace and Fulfilment|A recurring problem needs nothing but a tactical head-on solution. The more you entertain your problems, the more you entertain your unhappiness
Vironika Tugaleva|We are all searching for love, some at the bottom of a bottle, some at the casino, some in the eyes of a new lover. The more we search outside ourselves, we more desperate we become. We suffer not because love's unavailable, but because we are not looking in the right place.
Tom Hayes|If I look at the mass, I will never act. If I look at the one, I will.
Stephanie Perkins, Isla and the Happily Ever After|Not forever,' he said onto my mouth. And though I knew it was a lie, I put my arms around his neck and kissed him.
Rachel Caine, Midnight Alley|But that quickly faded, and he frowned. "You're bleeding," he said. "What happened?"Claire sighed and held up her wrist to show him the bandage. "Man, you would be so embarrassed if I said it was something else." Michael looked blank. "I'm a girl, Michael, it could have been all natural, you know. Tampons?
Kara G. Durbin, Parenting With Scripture: A Topical Guide for Teachable Moments|A small step forward . . .every . . single . . .day. The sun is coming up and I am wondering, 'What wondrous thing shall I witness today?
Edwin Louis Cole|Successful people recognize crisis as a time for change – from lesser to greater, smaller to bigger.
Lailah Gifty Akita|If we delight in God, He shall give us our hearts desires.
Myles Munroe|It is the duty and high privilege of every human being to endeavor to improve himself. Effort at self-improvement is the definition sometimes given for religion. It may relate to our actions or to our convictions. In our actions we should aim at goodness; in our convictions, at truth.
Rick Yancey, The 5th Wave|This is what the Others have done to us. You can’t band together to fight without trust. And without trust, there was no hope. How do you rid the Earth of humans? Rid the humans of their humanity.
Bianca Sommerland|Well, for me, gratuitous abstinence is just as bad as gratuitous sex.
Douglas Adams, Life, the Universe and Everything|I have detected disturbances in the wash.''The wash?''The space-time wash.''Are we talking about some sort of Vogon laundromat, or what are we talking about?''Eddies in the space-time continuum.''Ah...is he. Is he.''What?''Er, who is Eddy, then, exactly?
Dar Williams|Well, my friends give me purple flowers and orange teaand goosedown spinning quilts and torquoise chairswe greet one another in a wild profusion of wordsand wave farewell amidst the wonderment of airIn the laughing times we know we are luckyIn the quiet times we know that we are blessedAnd we will not be alone
Andrew Ferguson|There is the potential for a particle of matter to be located where we expect it to be or to be located anywhere in the physical world. So it is with our lives – our very next moment can occur along the most probable path or it can occur on a path entirely discontinuous with the expectations that others have for us, but more likely in line with the expectations that we have for ourselves.
Steven Magee|If you think that climate change and global warming are not going to affect you, then you are easily misled.
Edmund Hillary, High Adventure|You don't have to be a hero to accomplish great things---to compete. You can just be an ordinary chap, sufficiently motivated to reach challenging goals.
Ron Suskind, Confidence Men: Wall Street, Washington, and the Education of a President|A sentimentalist is one who delights to have high and devout emotions stirred whilst reading in an arm-chair, or in a prayer meeting, but he never translates his emotions into action. Consequently a sentimentalist is usually callous, self-centred and selfish, because the emotions he likes to have stirred do not cost him anything.
The Blood Brothers, The House on Creep Street|Other folk thought the Rage was simple bloodlust, a berserk savagery that neither knew nor cared what its target was, and so it was when it struck without warning. But when a hradani gave himself to it knowingly, it was as cold as it was hot, as rational as it was lethal. To embrace the Rage was to embrace a splendor, a glory, a denial of all restraint but not of reason. It was pure, elemental purpose, unencumbered by compassion or horror or pity, yet it was far more than mere frenzy.
P.G. Wodehouse|He had just about enough intelligence to open his mouth when he wanted to eat, but certainly no more.
Sebastian Faulks|There has to be chemistry in a duet, but if you go beyond the point of friendship and attraction, you lose something.
M.F. Moonzajer|The only one who can make two wrongs equal a right, is He who works all things together!" HS/el
Anthony Burgess, Earthly Powers|In a story you had to find a reason, but real life gets on very well without even Freudian motivations.
Jason Shinder|Just when it seemed my mother couldn’t bearone more needle, one more insane orange pill,my sister, in silence, stood at the endof the bed and slowly rubbed her feet,which were scratchy with hard, yellow skin,and dirt cramped beneath the broken nails,which changed nothing in time exceptthe way my mother was lost in it for a whileas if with a kind of relief that doesn’t relieve.And then, with her eyes closed, my mother saidthe one or two words the living have for gratefulness,which is a kind of forgetting, with a senseof what it means to be alive long enoughto love someone. Thank you, she said. As for me,I didn’t care how her voice suddenly seemed lowand kind, or what failures and triumphsof the body and spirit brought her to that point—just that it sounded like hope, stupid hope.
Anthony Liccione|As the world continually multiplies, are we in a generation where people are divided, or people are equal?
Ellen DeGeneres|Merkel is an amazing woman, very experienced in international politics.
Akshay Vasu|He looked into her eyes and said "When everything falls apart, and the day my soul refuses to move any further, I'll come back home. A home that fills me with courage and love. My home neither has doors and nor windows, All it have is walls. The walls that beat every second. And it has a pair of eyes too. Through which I can see this world more beautifully than I ever did".
Alexandra Adornetto, Halo|I'm about to start reading it again, because what good is a story you only want to read once?
F. Sionil José, Ben Singkol|She was benediction, a touch of faith, life itself coursing through my veins collapsed in age and turmoil, and to my fatigued and weary heart, a new and vibrant throb.
Martin Amis, The Pregnant Widow|Be good to yourself. If you don't take care of your body, where will you live?
Lawrence Ferlinghetti|Don't patronize the chain bookstores. Every time I see some author scheduled to read and sign his books at a chain bookstore, I feel like telling him he's stabbing the independent bookstores in the back.
Jill Scott|We have got this tailspin of culture, in our inner cities in particular, of men not working and just generations of men not even thinking about working or learning the value and the culture of work, and so there is a real culture problem here that has to be dealt with.
Carl Sagan|Since, in the long run, every planetary civilization will be endangered by impacts from space, every surviving civilization is obliged to become spacefaring--not because of exploratory or romantic zeal, but for the most practical reason imaginable: staying alive... If our long-term survival is at stake, we have a basic responsibility to our species to venture to other worlds.
Baruch Spinoza|A Vulgar Mechanick can practice what he has been taught or seen done, but if he is in an error he knows not how to find it out and correct it, and if you put him out of his road he is at a stand. Whereas he that is able to reason nimbly and judiciously about figure, force, and motion, is never at rest till he gets over every rub.(from a letter dated 25 May, 1694)
Linda Winfree|Yeah, 'cause you're just another vehicle goin' by and by.
Vladimir Nabokov|Do you know what the worst thing about literature is? said Don Pancracio. I knew, but I pretended I didn't. What? I said. That you end up being friends with writers. And friendship, treasure though it may be, destroys your critical sense.
Gerhard Falk, American Judaism in Transition: The Secularization of a Religious Community|[On scientist Carl Friedrich Gauss][Carl Friedrich] Gauss told his friend Rudolf Wagner, a professor of biology at Gottingen University, that he did not believe in the Bible but that he had meditated a great deal on the future of the human soul and speculated on the possibility of the soul being reincarnated on another planet. Evidently, Gauss was a Deist with a good deal of skepticism concerning religion.
Carolyn Byers Ruch, Rise and Shine: A Tool for the Prevention of Childhood Sexual Abuse|And Ana remembered her father's words, "Say no! Run! Tell me!
Kim Vogel Sawyer, Through the Deep Waters|Many times he had tried unsuccessfully to let go his hold on her. They had many fine times together, fine talks between the loves of the white nights, but always when he turned away from her into himself he left her holding Nothing in her hands and staring at it, calling it many names, but knowing it was only the hope that he would come back soon.
Daniel Chamberlain|This is what grace does. It rescues us from our spiritual blindness. It releases us from our bondage to our rationalism and materialism. Grace gives us the faith to be utterly assured of what we cannot see. It frees us from refusing to believe in anything we cannot experience with our physical senses. But grace does more. It connects us to the invisible One in an eternal love relationship that fills us with joy we have never known before and gives us rest of heart that we would have though impossible. And that grace is still rescuing us, because we still tend to forget what is important, real, and true. We still tend to look to the physical world for our comfort. We still fail to remember in given moments that we really do have a heavenly Father. Grace has done a wonderful thing for us and continues to do more and more.
Ernest Agyemang Yeboah|until you prove what is in you, what is in you shall always be what is in you
Lailah Gifty Akita|If the root is holy, the branches shall be holy.
the adjustment bureau|As her fate, she accepted the world of ice, shining, shimmering, dead; she resigned herself to the triumph of glaciers and the death of the world.
Mohsin Hamid, The Reluctant Fundamentalist|Such journeys have convinced me that it is not always possible to restore one's boundaries after they have been blurred and made permeable by a relationship: try as we might, we cannot reconstitute ourselves as the autonomous beings we previously imagined ourselves to be.
Dani Alexander, Shattered Glass|Gay sex, one. Straight sex, zero
Téa Obreht, The Tiger's Wife|I asked Troit, ‘What was it about the gang leaders that made you want to be more like them?’Troit answered, ‘To be truthful, I used to feel good in their presence. I used to feel wanted in their presence. I used to feel appreciated in their presence. In their presence, you can sit down and talk and you can feel that they appreciate you. Troit Lynes, former death row inmate of Her Majesty Prison in The Bahamas
Alexandra Bracken, Passenger|Because these fools always look up for power. People above you, they never want to share power with you. Why you look to them? They give you nothing. People below you, you give them hope, you give them respect, they give you power, cause they don't think they have any, so they don't mind giving it up.
Jane Devin, Elephant Girl: A Human Story|Underneath my imagination there didn't seem to be anything solid except for the space where I shoved my pain and sadness. Besides that, there were only twisted steel threads of axiety, woven through my body and brain, wired into me like a constant warning. Watch out, stay still, move away, stay silent, fight back, run and hide. Even when I was dreaming, but more so when I was awake, there was the constant fear of being caught off-guard, or by the wrong person at the wrong time.
Padre Pio|The longer the trial to which God subjects you, the greater the goodness in comforting you during the time of the trial and in the exaltation after the combat.
Kamil Ali, Profound Vers-A-Tales|UNDAUNTED PURSUITSuccess, however measured, is the seat of a stool with three legs of determination, focus and resilience
Drexel Deal, The Fight of My Life is Wrapped Up in My Father|It is GOOD to cherish your yesterdays; It is BETTER to dream your tomorrows; but it is BEST to live your today's! Remember to hold fast to your dreams, for if your dreams die, then your life is like a bird with broken wings that cannot fly.
William Butler Yeats|I am free because I know that I alone am morally responsible for everything I do. I am free, no matter what rules surround me. If I find them tolerable, I tolerate them; if I find them too obnoxious, I break them. I am free because I know that I alone am morally responsible for everything I do.
Habeeb Akande|Тhe gentle overcomes the rigid.The slow overcomes the fast.The weak overcomes the strong."…"Everyone knows that the yielding overcomes the stiff,and the soft overcomes the hard.Yet no one applies this knowledge.
F.K. Preston, The Artist, The Audience and a Man Called Nothing|There is nothing to me but you. I know it’s pathetic but, oh darling, it’s true.
Sue Tetzlaff, The Employee Experience: A Capstone Guide to Peak Performance|Move away from the mid-set that the fulfillment of the organization's mission, vision, and strategic plan is only the work of leaders.
Yuval Noah Harari, Sapiens: A Brief History of Humankind|The brain, he writes, is like Kublai Khan, the great Mongol emperor of the thirteenth century. It sits enthroned in its skull, "encased in darkness and silence," at a lofty remove from brute reality. Messengers stream in from every corner of the sensory kingdom, bringing word of distant sights, sounds, and smells. Their reports arrive at different rates, often long out of date, yet the details are all stitched together into a seamless chronology. The difference is that Kublai Khan was piecing together the past. The brain is describing the present—processing reams of disjointed data on the fly, editing everything down to an instantaneous now. How does it manage it?
Paul Kagame|We all have our own life to pursue, our own kind of dream to be weaving, and we all have the power to make wishes come true, as long as we keep believing.
Anthony Liccione|Everyone has their own calling, but not everyone is looking for the phone, or either they missed the call, or just not answered it.
Mehmet Murat ildan|Freedom can be forgotten in the repressive countries. To remember freedom, it will be enough to watch a happy seagull flying in the sky!
L.M. Browning, Seasons of Contemplation: A Book of Midnight Meditations|We must seek out that which invigorates us, and engage it at all fronts. Art, music, literature, conversation, travel, nature—whatever it is that keeps the fire of our spirit bright—we must build our life around it; for, without our passions, the years ahead become a burden rather than a gift.
Thomas Merton|Happiness is a simple everyday miracle, like water, and we are not aware of it.
Alan Moore|Let's face it: we live at a time when government is less and less powerful, less and less effective, and the agent of social change, at least for the immediate future, is the corporation.
WISDOM KWASHIE MENSAH (WKM)|You can't have favour with God and suffer in life. Learn to have God's favour first, and the favour of men will fall in place automatically for you.
Martha Char Love, What's Behind Your Belly Button? A Psychological Perspective of the Intelligence of Human Nature and Gut Instinct|I allowed myself a microscopic view into his ice-colored eyes. It was like viewing one of those photographs of the Arctic region – very foreign, exotic, clearly a place you’ve never dreamed of going.
Auliq Ice|I am not ashamed that I was once a vacuum-cleaner salesman, only that I was a *good* vacuum-cleaner salesman.
Annie Dillard, Pilgrim at Tinker Creek|It could be that God has absconded but spread, as our vision and understanding of the universe have spread, to a fabric of spirit and sense so grand and subtle, so powerful in a new way, that we can only feel blindly of its hem.
Willard Scott|The bookshop felt damp and chilly, but it was still and unsupervised bookshop, and Anna felt a frisson of excitement as she scanned the shelves with greedy eyes. Libraries weren't quite the same, she'd found; something about the prosaic smell of other people's houses and fingers seeping off the pages diluted that sense of magical worlds, but untouched, unread, unexplored books were something else.
Nikki Sixx|I don't dislike rappers or hip-hop or people who like it. I went to the Def Jam tour in Manchester in the '80s when rap was inspirational. Public Enemy were awesome. But it's all about status and bling now, and it doesn't say anything to me.
Lauren Handel Zander, Maybe It's You: Cut the Crap. Face Your Fears. Love Your Life.|Did you ever notice that most of us relate to our lives like we have no control or say over them? Especially in areas where we’re not proud. We speak about ourselves like we’re reporting on the weather, making sweeping generalizations...And boy do we ever believe our own ‘forecasts.
Shaye Evans, Seduction Squad|New thing is made in writting books, (novels, short stories... stories...)... It's to be build a character which you will love you will like him.... and one moment he dies... isn't it awesome?
Susan C. Young, The Art of Preparation: 8 Ways to Plan with Purpose & Intention for Positive Impact|Take your place among experienced professionals by focusing on ways to learn, grow, and succeed.
Sarah Mayberry, Her Best Worst Mistake|I am here. I am in the present tense. I'm not always here, and sometimes here is a very difficult place. Sometimes it is a labyrinth, or a Minotaur, or a rope I can neither let go of nor follow. It's hard to find the right words, but I guess I would say that it's something like feeling the floor. And that it is my privilege to feel it.
Dorothy Parker|I don't know much about being a millionaire, but I'll bet I'd be darling at it.
Matt Ridley|He looked at her defiantly, and she thought: and so one at a time we all become human—human werewolves, human dwarfs, human trolls …the melting pot melts in one direction only, and so we make progress.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|The statement at the core of all disagreements: I’m right, you’re wrong.
Zoe Saldana|Let a woman have her place, because as you provide foundation for her, she provides a foundation for you. And through that vulnerability comes strength.
Shannon Bradley-Colleary, Married Sex: Fact and Fiction|She stood with flaccid breasts, somehow still full of herself.
John Marsden, The Night Is for Hunting|Goodbye, Hari, my love. Remember always--all you did for me.”            -I did nothing for you.”            -You loved me and your love made me--human.
Stefan Molyneux|If there's more that you can do, then do it. If there's not more that you can do, then be content with what you're doing. But if there is despair, the despair can only be that you can do more. Because when you're doing as much as you can do, you will not feel despair. Because despair is the gap between what you could be doing and what you are doing.
Mehmet Murat ildan|Freeze, freeze in the winter, if you really want to appreciate the summer! Walk, walk at the edge of the precipices, if you rightly want to learn the meaning of the safety! Switch the lights off, if you want to see the amazing beauty of the light!
Alexandra Katehakis, Mirror of Intimacy: Daily Reflections on Emotional and Erotic Intelligence|If we don’t honor our truth, how can we expect anyone else to do so?
Theodore Roosevelt|We all want progress, but if you are on the wrong road, progress means doing an about-turn and walking back to the right road; in that case the man who turns back soonest is the most progressive.
Richard Flanagan, The Narrow Road to the Deep North|Because courage, survival, love—all these things didn’t live in one man. They lived in them all or they died and every man with them; they had come to believe that to abandon one man was to abandon themselves.
Chris Matakas, The Tao of Jiu Jitsu|Habits are infinitely more beneficial to the aspiring student than motivation. Motivation may get you started, but habits keep you going.
Elton Gallegly|Instead, California is one of only 10 states that provides in-state college and university tuition to illegal immigrants. That's grossly unfair to a legal high school student who moves out of California for a year, then returns to attend college.
Mouloud Benzadi|Don't grieve over the past, It's all gone!Don't worry about the future, It may never come! Live in the present, And enjoy every moment
Mary Roach|Bollywood has always pampered heroes and treated actors as second class citizens. But, of late, it has realised that there has to be space for actors who can connect with people.
Neil Gaiman, Neverwhere|I had been hobbled, perhaps even crippled by a pervasive internet society I had come to depend on and take for granted... hit enter and let Google, that twenty-first century Big Brother, take care of the rest.In the Derry of 1958, the most up-to-date computers were the size of small housing developments, and the local paper was no help. What did that leave? I remembered a sociology prof I’d had in college - a sarcastic old bastard - who used to say, When all else fails, give up and go to the library.
Rebecca Solnit, Hope in the Dark|On January 18, 1915, six months into the First World War, as all Europe was convulsed by killing and dying, Virginia Woolf wrote in her journal, 'The future is dark, which is on the whole, the best thing the future can be, I think.' Dark, she seems to be saying, as in inscrutable, not as in terrible. We often mistake the one for the other. Or we transform the future's unknowability into something certain, the fulfillment of all our dread, the place beyond which there is no way forward. Be again and again, far stranger things happen than the end of the world.
