Marcia Lynn McClure, The Pirate Ruse|We should learn to smile as we fall, So much so as when we have it all.
Darrell Calkins, Re:|Everyone claims to want the truth. If you really want it, I’d suggest investing seriously in humor and this mysterious skill of transforming bad news into good. Otherwise, you’ll only get more frustrated.
Carl R. Rogers, A Way of Being|When you are in psychological distress and someone really hears you without passing judgement on you, without trying to take responsibility for you, without trying to mold you, it feels damn good!
Richard Feynman, The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman|A healthy agency does not require relevance to the national agenda so much as the APPEARANCE of relevance to the national agenda," Humphrey explained. "It is perhaps the second-most important tool in ensuring continued funding.""And the most important?""A friend on the Appropriations committee.
Queen Latifah|Mom's dad was in the army, stormed the beach at Normandy, fought through the French hedgerows, the Battle of the Ardennes, the Battle of the Bulge, and liberated concentration camps at the end of the war.
Aaron Sorkin|She meant you have to live a story for a time.''And?''And then you can write it, in time. What have you lived?''Kind of a personal question for Twitterland.''Kind of the perfect question to answer in fiction.
Neelam Saxena Chandra|There will always be something a little off, but like a three-legged dog, you’ll learn to walk again.
Herb Caen|Although humor is present in every one of my films, it has always been used as a way to make the darker, heavier stuff in my stories more palatable. I never set out to make 'Humpday' a comedy.
Milton Glaser|A lot of the songs are based on my previous relationship. It didn't work out. I lost him, and it ruined me. I had to learn to get back on my feet. I used that heartbreak to create something really beautiful.
Neil Leckman|Asthmatic spewer of filth gasps, but clean air does not sufficeTo fuel fires fueled by thoughts got rottenLest we all be forgotten thingsThat sit like dust upon the mantel of her mind
Francis de Sales|For with any recovery from morbidity there must go a certain healthy humiliation. There comes a certain point in such conditions when only three things are possible: first a perpetuation of Satanic pride, secondly tears, and third laughter.
Israelmore Ayivor, Become a Better You|No struggle, no success. The stronger the thunder, the heavier the rainfall
Richard Dawkins, The God Delusion|The take-home message is that we should blame religion itself, not religious extremism - as though that were some kind of terrible perversion of real, decent religion. Voltaire got it right long ago: 'Those who can make you believe absurdities can make you commit atrocities.' So did Bertrand Russell: 'Many people would sooner die than think. In fact they do.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Truth’s nakedness is not concerned with whom it strikes - painfully, or with pleasure; responding appropriately to its ingenuous temperament, however, rewards perceptions of unbiased transparency.
Kelsea Ballerini|I see little girls at my meet-and-greets who are like, 'Kelsea! It's my first concert and I came to see you.' And I'm thinking, 'I don't want to post anything online that your mom would be mad at me for, because you're important to me.'
David Gentleman, London You're Beautiful|Drawing things makes them seem more real and makes me feel more alive. It also makes me pin down and remember things - landscapes, season, weather, occasions, incidents, people - that would otherwise have melted from my memory.
J.R. Ward, Lover Revealed|I ejaculated about ten minutes ago and the stuff was black. So everything is not normal."Silence greeted that happy little announcement. Man, if he had hauled off and sucker-punched V, he would have gotten less of a shocked-out reaction.
Alastair Reynolds, Revelation Space|Dimly--at first wary that it was merely a dislodged fragment of the dream--she remembered Resurgam. And then, slowly, events returned, not as a tidal wave, or even as as landslide, but as a slow, squelching slippage: a disembowelment of the past.
Clara Bensen, No Baggage: A Minimalist Tale of Love and Wandering|You can pipe anything to anything else, and usually it'll do something. With most of the standard Linux tools, it'll even do what you expect.
Tucker Elliot, The Day Before 9/11|I have this thought, it’s horrible, and it makes me sick, but it’s true: one day these students will grow up and have their own kids, and they’re going to name them for men and women who will die in this war.
Bhaskaryya Deka, The Unwanted Shadow|A man who called everyone a damn fool is like a man who damns the weather. He only shows that he is not adapted to his environment, not that the environment is wrong.
Arzum Uzun|Maybe that's what our friendship was. It was the feeling that we didn't have to speak or explain. We could sit in the darkness and watch the tadpoles just as easily as we could lie out in the heat and breathe in the smell of peaches and gravel, all without saying a word.
Stephen King, The Shining|If I can't be beautiful, I want to be invisible.
Ruth Watson-Morris|Regarding his friend's insight after losing her spouse to cancer: "She told me she had plenty of people to do things with but nobody to do nothing with.
Anderson Cooper|America - it is a fabulous country, the only fabulous country; it is the only place where miracles not only happen, but where they happen all the time.
J.M. Barrie, Peter Pan|You know that place between sleep and awake, that place where you still remember dreaming? That’s where I’ll always love you. That’s where I’ll be waiting.
Supriya Kaur Dhaliwal|It was Halloween eve, And I was yearning alone waiting for my soul mate Ethan, He was expected by now for the celebrations in our bedroom, We planned for this, many months back, and now I was getting restless, My dick was erect and making a pole in my boxer - tough to handle 9 inches long of yearning all alone.
Steve Maraboli|For me, the most magical truth of this universe is that no magic is required.
Vivian Amis, The Essentials of Life|YOU are the creator of your experience, therefore: all problems must be met within YOU.
Harrish Sairaman|There is no such thing as a stress-free life. No evidence has ever been presented which suggests that a stress-free life can ever be achieved. Stress can be managed, relieved and lessened, but never eliminated.
Gudjon Bergmann, Create a Safe Space: An Inspirational Guidebook for Yoga Teachers Who want to Further Serve their Students|For reasons unknown, the philosophical aspect of the yoga movement has had to make way for the yoga fit revolution; today’s image of a yogi is a slender and scantily clad young female doing postures on the cover of a bestselling magazine, whereas the older image was of an Indian man with long beard sitting in a cave wearing a loin cloth.
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|Culture is critical in marriage because in a real sense, culture is the behavioral expression of one's values, appreciations, tastes, and relational style in both simple and serious matters of life. Add to this the dimensions of language and cultural memory, and you have worlds within worlds. In effect, culture provides the how and why of an individual's behavior.
Bill Hicks|Go back to bed, America. Your government has figured out how it all transpired. Go back to bed, America. Your government is in control again. Here. Here's American Gladiators. Watch this, shut up. Go back to bed, America. Here is American Gladiators. Here is 56 channels of it! Watch these pituitary retards bang their fucking skulls together and congratulate you on living in the land of freedom. Here you go, America! You are free to do what we tell you! You are free to do what we tell you!
T.H. White, The Once and Future King|War is like a fire. One man may start it, but it will spread all over. It is not about one thing in particular.
Mary Balogh, Simply Love|Life, she realized, so often became a determined, relentless avoidance of pain-of one's own, of other people's. But sometimes pain had to be acknowledged and even touched so that one could move into it and through it and past it. Or else be destroyed by it.
Mary Ann Shaffer, The Guernsey Literary and Potato Peel Pie Society|Until you are broken, you don't know what you're made of.
Jarman Sandhu|Bea did not want a new mother. She'd hardly even seen the one she once had, except for glimpses out the window when her mother was climbing into a carriage to go off to a party. She'd been as beautiful as an angel, all sparkling and laughing in her lovely gowns, but not much use.
Dom Hubert Van Zeller|What the soul hardly realizes is that, unbeliever or not, his loneliness is really a homesickness for God.
Dada Bhagwan|In this world, there is no such sternness like that of maintaining silence. Verbal sternness will be wasted.
Compton Gage|There is nothing hidden in the hidden time. Know that this, the hidden time, is your everlasting, and live.
Laura Schlessinger|Generalised anger and frustration is something that gets you in the studio, and gets you to work - though it's not necessarily evident in anything that's finished.
W. Somerset Maugham, Of Human Bondage|Monsieur Foinet got up and made as if to go, but he changed his mind, and, stopping, put his hand on Philip's shoulder."But if you were going to ask me my advice, I should say: take your courage in both hands and try your luck at something else. It sounds very hard, but let me tell you this: I would give all I have in the world if someone had given me that advice when I was your age and I had taken it."Philip looked up at him with surprise. The master forced his lips into a smile, but his eyes remained grave and sad."It is cruel to discover one's mediocrity only when it's too late. It does not improve the temper."He gave a little laugh as he said the last words and quickly walked out of the room.
Pat Buchanan|I fell in love with theater there, and after graduation I moved to Los Angeles to pursue acting.
Andrew Luck|My becoming an actor wasn't planned. My interest always lied in sports such as football, martial arts, gymnastics and dance.
Omar bin Laden, Growing Up bin Laden: Osama's Wife and Son Take Us Inside Their Secret World|All violence demands reform, and all violence desperately begs to be healed.
Daphne du Maurier|I have no talent for making new friends, but oh such genius for fidelity to old ones.
Canelo Alvarez|Peace comes through strength, not through retreat.
Khaled Hosseini, The Kite Runner|Ask him where his shame is." They spoke. "He says this is war. There is no shame in war." "Tell him he's wrong. War doesn't negate decency. It demands it, even more than in times of peace.
Cassandra Clare, The Bane Chronicles|I thought climbing the Devil's Thumb would fix all that was wrong with my life. In the end, of course, it changed almost nothing. But I came to appreciate that mountains make poor receptacles for dreams.
George Alexiou|When you wake up each morning with a burning passion to accomplish a goal, you've already won the day.
C.S. Lewis, The Four Loves|In each of my friends there is something that only some other friend can fully bring out. By myself I am not large enough to call the whole man into activity; I want other lights than my own to show all his facets... Hence true Friendship is the least jealous of loves. Two friends delight to be joined by a third, and three by a fourth, if only the newcomer is qualified to become a real friend. They can then say, as the blessed souls say in Dante, "Here comes one who will augment our loves." For in this love "to divide is not to take away.
Melissa de la Cruz, The Van Alen Legacy|It is...difficult to describe someone, since memories are by their nature fragmented, isolated, and arbitrary as glimpses one has at night through lighted windows.[E]very memory is turned over and over again, every word, however chance, written in the heart in the hope that memory will fulfill itself, and become flesh, and that the wanderers will find a way home, and the perished, whose lack we always feel, will step through the door finally and stroke our hair with dreaming, habitual fondness, not having meant to keep us waiting long.
Cassandra Clare, City of Heavenly Fire|Surely, she was too young to have so many ghosts.
Stefne Miller, Collision|The Professor never really seemed to care whether we figured out the right answer to a problem. He preferred our wild, desperate guesses to silence, and he was even more delighted when those guesses led to new problems that took us beyond the original one. He had a special feeling for what he called the "correct miscalculation," for he believed that mistakes were often as revealing as the right answers.
Shannon L. Alder, 300 Questions to Ask Your Parents Before It's Too Late|Every person that has lived with purpose has at one time or another answered these questions: Do you remember who you were before the world, and it's evil stole your hope? Do you remember who you wanted to be before a religion, culture or organization told you to be something you were not? Do you remember what your dream was before they told you that it was unachievable? Do you remember the moments God kept taking you back to the one thing you were best at (but you kept denying it)? Do you remember the moments He handed you the opportunity and you walked away, instead? Do you remember the moments He kept closing the doors on the one thing you wanted because it wouldn't help you? Do you remember it was all going to be okay if you simply believed, but you gave up? For every bad moment, we blamed others, kept score, got even and forgot to live. When you remember your "true self", then you can begin to walk forward once again down the road to discovery, childhood dreams and your life purpose. (Writer's Conference, 2012)
D.F.   Jones, Anna's Way|True love was a gift. Some people never recognized true love, while others allow true love to slip through their fingers
Vera Nazarian, The Perpetual Calendar of Inspiration|Passion and courtesy are two polar opposite traits that serve to balance each other into a full-blooded whole.Without socialization, passion is a crude barbarian, and without passion, the elegant and polite are dead.Allow both passion and courtesy into your life in equal measure, and be complete.
Steve Maraboli|I've learned that if someone threatens my peace of mind, self-respect, or self-worth... I must walk away. I owe it to myself... I owe it to my future.
Margaret Atwood, Der blinde Mörder|A Paradox, the doughnut hole. Empty space, once, but now they've learned to market even that. A minus quantity; nothing, rendered edible. I wondered if they might be used-metaphorically, of course-to demonstrate the existence of God. Does naming a sphere of nothingness transmute it into being?
Eric Chaisson, Epic of Evolution: Seven Ages of the Cosmos|The two go hand in hand like a dance: chance flirts with necessity, randomness with determinism. To be sure, it is from this interchange that novelty and creativity arise in Nature, thereby yielding unique forms and novel structures.
Hope Alcocer, Where Hope Lies|This is it, so please don't question it. I love you, I need you, and you mean everything to me. So, will you have me? Please put your all your eggs in one basket because I am doing the same. I don't want a life without you in it so please don't let me have one.
Ted Danson|We assume that everything's becoming more efficient, and in an immediate sense that's true; our lives are better in many ways. But that improvement has been gained through a massively inefficient use of natural resources.
William Goldman, The Princess Bride|Love is the best thing in the world, except for cough drops.
Mark  Lawrence, King of Thorns|There is no sound more annoying than the chatter of a child, and none more sad than the silence they leave when they are gone.
Chuck Palahniuk|When they were in school, Peter used to say that everything you do is a self-portrait. It might look like 'Saint George and the Dragon' or 'The Rape of the Sabine Women,' but the angle you use, the lighting, the composition, the technique, they're all you. You are every color and brushstroke.
Atharvaveda|If perfection is absurd, why is tragedy common?
Banksy, Banging Your Head Against a Brick Wall|People who get up early in the morning cause war, death and famine.
Robert Anthony|You know what has made me the happiest I've ever been? Seeing my son and daughter graduate from college. More than wanting them to be educated, I wanted them to be nice people. To see that they have become both is just a wonderful thing.
Jacqueline Woodson, Another Brooklyn|Elizabeth ran her finger along the windowsill, gathering dust. The view was almost exactly the same as from her own bedroom, only a few degrees shifted. She could still see the Rosens' place, with its red door and folding shutters, and the Martinez house, with its porch swing and the dog bowl. She'd heard once that what made you a real New Yorker was when you could remember back three laters -- the place on the corner that had been a bakery and then a barbershop before it was a cell-phone store, or the restaurant that had been Italian, then Mexican, then Cuban. The city was a palimpsest, a Mod Podged pileup or old signage and other people's failures. Newcomers saw only what was in front of them, but people who had been there long enough were always looking at two or three other places simultaneously. The IRT, Canal Jeans, the Limelight. So much of the city she'd fallen in love with was gone, but then again, that's how it worked. It was your job to remember. At least the bridges were still there. Some things were too heavy to take down.
Michael Connelly, The Black Echo|Nothing could be taken for granted. Women who loved you tried to cut your throat, while women who didn't even know your name scrubbed your back. Witches could sound like Katharine Hepburn and your best friend could try to strangle you. Smack in the middle of an orchid there might be a blob of jello and inside a Mickey Mouse doll, a fixed and radiant star.
Jim Parsons|You know, I lose patience really easily; I'd rather shop in the grocery store than in the department store. I can pick an apple like nobody's business.
Rainbow Rowell, Attachments|We are hurtling back into a Soviet abyss, into an information vacuum that spells death from our own ignorance. All we have left is the internet, where information is still freely available. For the rest, if you want to go on working as a journalist, it's total servility to Putin. Otherwise, it can be death, the bullet, poison, or trial—whatever our special services, Putin's guard dogs, see fit.
Victor Hugo|A poem is never finished, only abandoned.
Jamie Farrell, Smittened|This Chocolate Orgasm is the best chocolate ice cream I’veever had.”“Mikey helped with that one,” Dahlia heard herself say.Mari Belle laughed, a light, pretty sound. “I sense hisinfluence in the Hazel’s Nuts.
Alin Sav|Why is it "in" to be a christian, but "out" to live a holy life?
Brad Goreski|It's very nice to be asked to anybody's wedding. Particularly if it's the Prince of Wales. I learned a lot from it, which was to end early and get away. I suppose one would have to look back historically and see who other royals had at their weddings. Were there people at Queen Elizabeth's wedding who were common like myself?
George Eliot, Middlemarch|Sane people did what their neighbours did, so that if any lunatics were at large, one might know and avoid them.
Abhijit Naskar, What is Mind?|Humans are born with a hodge-podge of various brain circuits, that possess the seeds of peace, fear, love, hate, rage, pain, love, stress and faith. All these elements compose the emotional domain of our mental life. All these characters are ingrained in our limbic system, that keep our head straight in the path of survival. We humans can survive, only if, all these elements of our brain circuits function properly. Failure of any one element would mean extinction of the whole species.
Lester B. Pearson|In some states militant nationalism has gone to the lengths of dictatorship, the cult of the absolute or totalitarian state and the glorification of war.
Lailah Gifty Akita|Fret not, fret not.
Sereda Aleta Dailey, The Oracle of Poetic Wisdom|If you speak three languages you're trilingual. If you speak two languages you're bilingual. If you speak the language of the opposite sex, you can communicate.
Sharad Vivek Sagar|Change takes time. But, it also takes people.
Lisa Kessler, Magnolia Mystic|She tasted like run, root beer, and something wild he couldn’t place, but it didn’t matter.	He wanted more.	Craved it.
Anthony Liccione|It all starts with you, and that which never starts, also finishes with you.
Toba Beta, Master of Stupidity|If I can learn to understand this language without words, I can learn to understand the world.
Christi Phillips, The Devlin Diary|Although she was a logical, practical person, she believed that in books there existed a kind of magic. Between the aging covers on these shelves, contained in tiny, abstract black marks on sheets of paper, were voices from the past. Voices that reached into the future, into Claire's own heart and mind, to tell her what they knew, what they'd learned, what they'd seen, what they'd felt. Wasn't that magic?
Thornton Wilder, The Bridge of San Luis Rey|It was full of wounding remarks rather brilliantly said, perhaps said for the sheer virtuosity of giving pain neatly. Each of its phrases found its way through the eyes of the Marquesa, then, carefully wrapped in understanding and forgiveness, it sank into her heart.
Sunday Adelaja|When you overcome fear, you will be strengthened by faith
Salman Rushdie, Imaginary Homelands: Essays and Criticism 1981-1991|One great idea of the biblical revelation is that God is manifest in the ordinary, in the actual, in the daily, in the now, in the concrete incarnations of life, and not through purity codes and moral achievement contests, which are seldom achieved anyway… We do not think ourselves into new ways of living, we live ourselves into new ways of thinking… The most courageous thing we will ever do is to bear humbly the mystery of our own reality.
Mehmet Murat ildan|Sometimes you must do crazy things to discover the life beyond your life, to enter the unknown zone beyond your known zone!
N. R. Narayana Murthy|One of the things that's great about New York is that it is not a one-industry town. It has education, academia, the service industry, arts, publishing, theater, politics, fashion, finance, as well as movie-making.
Mehmet Murat ildan|Have you got a local mind? Broaden it! Have you got an international mind? Broaden it! Have you got a universal mind? It is not enough, because there are other universes. Broaden it! Broaden your mind till you get a multi-universal mind! And yet, this is not enough too! Broaden it! Leave your village; leave your city; leave your country; leave the earth; leave the universe; leave all the universes! Don’t let your mind to cast anchor in any port! Narrow mind is the greatest enemy of the truth! The best mind is the one which has no frontiers!
Queen Rania of Jordan|You've got to have a dream... if you don't have any big dreams, nothing happens.
Mildred D. Taylor, Let the Circle Be Unbroken|On that walk around the building, two sets of cops coming out stopped to tell our guys to hustle us inside so they could head back out on the road. Accidents everywhere. A pileup oneach of two major roads. “Welcome to winter,” one said. “When fifty percent of drivers should have their licenses temporarily suspended.
Severo Ochoa|Privacy with medical information is a fallacy. If everyone's information is out there, it's part of the collective.
Bill Bryson, In a Sunburned Country|To be sure, Judas Iscariot was not exactly the sort of character that Christian Mjomba - or anyone else at St. Augustine’s Seminary for that matter - would have wanted to be nicknamed after. But the fact was that Mjomba had never made a secret of his views on the world. Everyone in the seminary brotherhood knew his stand on apartheid and things like that; and they were considered very liberal. In the conservative environment that prevailed at St. Augustine’s Seminary, they were also tantamount to betrayal! It was about the most unsavory that anyone could have wished to be associated with. But that was the label he had got stuck with.	Everybody knew, besides, that it wasn’t some uninformed gentile or misguided unbeliever who had betrayed the Deliverer and handed Him to His killers. And Judas Iscariot wasn’t just anybody either. Judas was one of the twelve who had been handpicked by the Deliverer to form the core of the convocation that would become the Sancta Ecclesia. In addition to being the Deliverer’s purse bearer, Judas Iscariot also drank wine from the same cup as his Master! The man who would betray the Deliverer with a kiss was a member of the inner circle of the burgeoning Christ Fellowship; and, before long, his name had become so repulsive even among Romans, it had replaced that of Brutus, the friend of Cæsar who had conspired with others and stabbed the emperor in the back, as a symbol of betrayal. A traitor par excellence!Whenever Mjomba thought about Judas’ betrayal of the Messiah of the world with a kiss, it was not the act of betrayal itself that came to mind. It was not even the chilling words “Would’st thou betray thy Master with a kiss, Judas?” that were addressed to the betrayer by the Deliverer in the moment when Judas, no doubt representing all humanity, embraced the Nazarene and kissed him on the cheek so the temple’s constabulary wouldn’t grab and take into custody the wrong person! It was the Deliverer’s address to Peter a little earlier on in the Upper House as the fisherman, who himself would swear that he did not know the Nazarene, not once but three times, in front of a shivering crowd not long afterward, balked at the notion of the miracle worker and Son of Man could stoop to wash his (the fisherman’s) dirty feet, namely “Not all are clean, Peter!” And that was, in all probability, after Judas’s feet had already been washed by the Nazarene.That, in any event, was the character after whom Christian Mjomba had been nicknamed by his buddies in what he initially regarded as something that was itself an act of betrayal. The traitors! He could not understand how people could be so insensitive about the feelings of others! And even though he had never said it, he had never liked it a bit - until he started work on his theological thesis."- Joseph M. Luguya, Humans: The Untold Story of Adam and Eve and their Descendants
Brock Clarke, An Arsonist's Guide to Writers' Homes in New England|Vampyre refers to a corpse that has returned from the dead to drink the blood of the living. Similar creatures were said to haunt the rural villages of nearly every Slavic nation. Not surprisingly, each culture gave their monster its own name (e.g., vukodlak in Serbia, strigoii in Romania, eretika in Russia, insurance salesman in…well, never mind).
Dada Bhagwan|If a man keeps on talking negatively and we scold him, what is that tantamount to? It is like kicking the door of a latrine because it smells bad; will kicking it make it smell good?
Ivana Hruba|I read this on the gates to a village cemetery: What you are, we used to be. What we are, you’re going to be. — It puts things in perspective, doesn’t it?
Chris Green, Cutting to the Heart|If once he has got the right fingering, plays in good time, with the notes fairly correct, then only pull him up about the rendering; and when he has arrived at that stage, don’t let him stop for the sake of small faults, but point them out to him when he has played the piece through. . . I have always adopted this plan; it soon forms musicians which, after all, is one of the first aims of art and it gives less trouble both to master and pupil.
Petina Gappah|Barbecue is the good old technique of people making a fire and putting some stuff over the top - I mean, look at the S'more: it's just got a stick. A lot of those goofy toys, it's people who are looking at things to do. I think if you focus on the food, at the most you need tongs or a spoon to flip something; that's about it.
Poppy Delevingne|The key to doing 'Harold and Kumar' movies is you make it earnest. Primarily what we do is make Harold and Kumar's relationship and friendship believable, and we don't actually work on being that funny.
Antonin Scalia|State and local law enforcement are the primary protectors of the health, safety, and welfare of the people in the individual states.
Heather Dixon|Oh, sir!" Lord Teddie bounced on his feet. "Sir, I read about this sort of thing once, sir! The only way to solve it is to kill both of them. It was in the Bible!"The silence rung. Lord Teddie cowered at the King's look."Ah, never mind," he said.
Ricky Skaggs|This is something I've wanted to do my whole life is play baseball, and I think just the opportunity to put on a big-league uniform every day is just... you know, people dream of it, but not everybody gets to do it. I'm thankful every day I get to do it.
Richard Nixon|Without free speech one cannot claim other liberties, or defend them when they are attacked. Without free speech one cannot have a democratic process, which requires the statement and testing of policy proposals and party platforms. Without free speech one cannot have a due process at law, in which one can defend oneself, accuse, collect and examine evidence, make a case or refute one. Without free speech there cannot be genuine education and research, enquiry, debate, exchange of information, challenges to falsehood, questioning of governments, proposal and examination of opinion. Without free speech there cannot be a free press, which...is necessary...as one of the two essential estates of a free society (the other being an independent judiciary).
Kyle West, The Wasteland Chronicles: Omnibus Edition|Even if such beauty wasn't meant to be in a world so fallen as ours, that didn't take away from its beauty. It only made it more beautiful.
Sara  Humphreys, Trouble Walks In|He couldn't suppress the grin that curves his lips. "In fact, I'm the only man who belongs in your bed from now on.
Aldous Huxley|Democracy is worth dying for, because it's the most deeply honorable form of government ever devised by man.
David Mitchell, Cloud Atlas|Qué lindo es sonar despierto, he says. How lovely it is to dream while you are awake. Dream while you are awake, Andre. Anybody can dream while they're asleep, but you need to dream all the time, and say your dreams out loud, and believe in them.In other words, when in the final of a slam, I must dream. I must play to win.
Suzanne Finnamore, Split: A Memoir of Divorce|I think: I would like to take N back to a story right now, like a rake.  I would say, "Oh, this rake is uneven. Do you have any where the tines go straight across?" I would like to do a straight exchange. But there are things that cannot be returned. Errant husbands are one of them. Wives are not. Wives can be exchanged; I have always known this.
Stephen King, Joyland|We're not quite ending where we began, but close enough.Close enough.
Rachel Cohn, Nick & Norah's Infinite Playlist|Nick stands up and offers his hand to me. I have no idea what he wants, but what the hell, I take his hand anyway, and he pulls me up on my feet then presses against me for a slow dance and it's like we're in a dream where he's Christopher Plummer and I'm Julie Andrews and we're dancing on the marble floor of an Austrian terrace garden. Somehow my head presses Nick's t-shirt and in this moment I am forgetting about time and Tal because maybe my life isn't over. Maybe it's only beginning.
Kavita Bhupta Ghosh, Wanted Back-Bencher and Last-Ranker Teacher|... Let me start with the top mistakes that teachers make. Some of these mistakes are forced on teachers by a badly designed education system, and some are ones that teachers make no matter what they are teaching or which system they are teaching in. Some of these are less than obvious, so let's consider them one-by-one.1. Assuming that there is some kind of learning, other than learning by doing.2. Believing that a teacher's job is assessment.3. Thinking there is something that everyone must know in order to proceed.4. Thinking that students are not worried about the purpose of what they are being taught.5. Thinking that studying can replace repeated practice as a key learning technique.6. Thinking that because students have chosen to take your course, they have an interest in learning what you plan to teach them.7. Correcting a student who is doing something wrong by telling them what to do instead.8. Thinking that a student remembers what you just taught him.
Jonathan Taylor Thomas|Success is always temporary. When all is said and one, the only thing you'll have left is your character.
Marlen Haushofer, The Wall|Imagination makes people oversensitive,vulnerable and exposed. Perhaps it's a form of degeneracy. I have never held the shortcomings of the unimaginative against them. Sometimes I've even envied them: they have an easier and more pleasant life than everyone else.
John le Carré|His intuition was luminous from the instant you met him. So was his intelligence. A lot of actors act intelligent, but Philip was the real thing: a shining, artistic polymath with an intelligence that came at you like a pair of headlights and enveloped you from the moment he grabbed your hand, put a huge arm round your neck and shoved a cheek against yours; or if the mood took him, hugged you to him like a big, pudgy schoolboy, then stood and beamed at you while he took stock of the effect. (About Philip Seymour Hoffman)
