Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
Michelle Alexander, The New Jim Crow: Mass Incarceration in the Age of Colorblindness|Parents and schoolteachers counsel black children that, if they ever hope to escape this system and avoid prison time, they must be on their best behavior, raise their arms and spread their legs for the police without complaint, stay in failing schools, pull up their pants, and refuse all forms of illegal work and moneymaking activity, even if jobs in the legal economy are impossible to find. Girls are told not to have children until they are married to a "good" black man who can help provide for a family with a legal job. They are told to wait and wait for Mr. Right even if that means, in a jobless ghetto, never having children at all.
Brian McNaughton|Vampires, like virgins or priests, are things that women believe in. We must never fail to humor them in such matters.
Kapil Dev|When you're put in a position to really affect young people who are going to run the world one day, if you're able to be in their life at a young age and make a positive impact, I think that's a beautiful thing.
Mary Ann Rivers|Should I really set her free, and free myself too of the fear - the fear of missing her, forever? Is that what my love for her is leaving me with?
Jasper Johns|I assumed that everything would lead to complete failure, but I decided that didn't matter – that would be my life. 
Moriah Densley, Song For Sophia|You are intelligent, you are diplomatic, you are beautiful, and you are and always will be...[he kisses her]...MINE...
University of Navarra, The Navarre Bible: Joshua to Kings|God is the only one who listens to her... she is the prototype of the devout woman who perseveres in prayer, convinced that it will be heard... How many favours each of us could tell of if we recalled with gratitude the gifts we have received in order to praise God for them!
Naomi Wolf, The Beauty Myth|You do not win by struggling to the top of a caste system, you win by refusing to be trapped within one at all.
Jacques Rigaut|There’s no reason to live, but there’s no reason to die, either. The only way we can still show our contempt for life is to accept it. Life is not worth the bother of leaving it. Out of charity, one might spare a few individuals the trouble of living, but what about oneself? Despair, indifference, betrayal, fidelity, solitude, the family, freedom, weight, money, poverty, love, absence of love, syphilis, health, sleep, insomnia, desire, impotence, platitudes, art, honesty, dishonor, mediocrity, intelligence – nothing there to make a fuss about. We know only too well what those things are made of, no point in watching for them.
Irfa Rahat|I no longer fear battles and storms that come in the path but afraid of losing someone that is dear to my heart, to whom without winning battles and passing through storms means nothing to me.
Margaret Hamburg|Valuation depends on several factors. From an investor angle, they look at leadership position, management, and what the company's offerings are. I think these three things got 5/5 for a company like Flipkart, and that is what is driving valuations and growth.
Ernest Agyemang Yeboah|Oh well, memories, said I. Yes, even remembering in itself is sad, yet how much more its object! Don't let yourself in for things like that, it's not for you and not for me. It only weakens one's present position without strengthening the former one - nothing is more obvious - quite apart from the fact that the former one doesn't need strengthening.
Dada Bhagwan|If your monetary wealth accumulates naturally and spontaneously, then let it accumulate, but do not lean on it for support. You may take its support and feel a sense of relief, but there is no telling when that support will move away. Therefore, conduct yourself with caution from the beginning so that you are not shaken up during time of painful experiences.
Ankala V Subbarao|The bottom line with men is: they feel best about themselves when they are solving problems. Therefore, they spend most of their time doing what they are best at while they attempt to ignore the things which cause them to feel deficient.
Sunday Adelaja, The Mountain of Ignorance|After you have made the discovery of your own significance, you would then be able to find the reason to stay alive.
Archibald Marwizi, Making Success Deliberate|Never underestimate the power of thought. It takes days and nights of pre-meditating ideas, thoughts, pictures and visions of what you would call success. Allow your mind to be pregnant with the thought of success and how you want to achieve it. This will enable you not to be shocked by your own success when you finally achieve it, because you would have lived it countless times before.
Elizabeth   Hunter|You're not actually falling for him, are you?" he asks her one day, on one of the rare occasions he can get her alone."I'll pretend you didn't just ask that," she tells him in disgust. But Connor has reasons to wonder."On that first night here, he offered you his blanket, and you accepted it," he points out."Only because I knew it would make him cold.""And when he offers you his food, you take it.""Because it means he goes hungry."It's coolly logical. Connor finds it amazing that she can put her emotions aside and be as calculating as Roland, beating him at his own game. Another reason for Connor to admire her.
Isabel  Lopez, Isabel's Hand-Me-Down Dreams|When our dreams don’t come true, sometimes we can hand them down to our children and hope that they will come true for them. The joy can be immeasurable just the same.
Dan Wells, I Am Not A Serial Killer|RYLAN!"I feel Ivy's palm on my chest and, with a powerful shove, she pushes me back, away from fire, danger, and death. In that moment after the tree plunges, I see Ivy for a single second as I fall. In those emerald eyes is a look of complete calm, undying gratitude, and powerful, protective love.The tree crashes down, the sound echoing in my head.For an eternal moment, I sit there on my butt, staring at the spot where Ivy was standing. I'm numb, only registering the slightest changes; the wind dying down, the rain lessening.What just happened?Desperately, I look side to side, praying that Ivy jumped to the side and what I saw was just an illusion made up by my panicked mind.But Ivy's nowhere. And there's an arm sticking out from under the trunk."IVY!"I sprint to the fallen tree. The smoldering wood stings my hand when I grab the trunk, but I grit my teeth and bear it. Pulling with all my might, I throw the remains of the tree aside.Ivy's lying there, her eyes closed and her lower half on fire."No..." I fall to my knees and yank off my sweatshirt to try and smother the flames, but they burn strong, and soon the fabric's on fire. I toss it away, not knowing where it lands as I'm unable to tear my eyes off the most gut-wrenching sight of my life. My hands go to my head and my shouting grows even louder. "No, no, no!"This can't be happening. She can't be—
Camille Pagán, The Art of Forgetting|Greatness, whether athletic or otherwise, doesn’t come from those content on just being but from those who seek being the difference.
Jeanette Winterson, The Powerbook|Perhaps this is how it is--life flowing smoothly over memory and history, the past returning or not, depending on the tide. History is a collection of found objects washed up through time. Goods, ideas, personalities, surface towards us, then sink away. Some we hook out, others we ignore, and as the pattern changes, so does the meaning. We cannot rely on the facts. Time, which returns everything, changes everything.
Nikki Rowe|Pain in the body is a clear indication, Something in the energy fields are blocking inner growth.
Jeana Kendrick|I wish I could have healed your misery, quenched your sorrow.
Dan Brown, The Da Vinci Code|Authors, he thought. Even the sane ones are nuts.
Lance Conrad, The Price of Nobility|I'm not a cruel man. I mean, technically I'm not a man at all.
John Ciardi|We will have to give up the hope that, if we try hard, we somehow will always do right by our children. The connection is imperfect. We will sometimes do wrong.
Abraham Lincoln|I don't know what it is about food your mother makes for you, especially when it's something that anyone can make - pancakes, meat loaf, tuna salad - but it carries a certain taste of memory.
Jack Gantos, I Am Not Joey Pigza|Granny was right,' I said. 'When you forgive someone it does make you stronger. It makes your heart bigger than your hate.
Ashly Lorenzana|The next time you wish you could find the right words to say to someone who is hurting, just remember that dogs are a man's best friend without ever speaking a word to them. Simply be present and have sympathy.
Bryn  Hammond, Amgalant One: The Old Ideal|When we love God in sincerity and with consistency, He gives us the desires of our heart. And as we love Him how we should be loving Him, our desires are somehow supernaturally conformed to be His desires for us! So, love God, with all that you are in all truth and devotion, and He will reward you according to His will. This is not something that we are capable of by ourselves, but God is faithful to give His chosen ones victory!
Haruki Murakami, Absolutely on Music: Conversations with Seiji Ozawa|I have met many different people in the course of my life, some of whom I have come to know pretty well, but where these three traits are concerned, I had never encountered anyone before Seiji Ozawa with whom I found it so easy and natural to identify. In that sense, he is a precious person to me. It sets my mind at ease to know that there is someone like him in the world.
Gillian Flynn, Gone Girl|I think of that, too: her mind. Her brain, all those coils, and her thoughts shuttling through those coils like fast, frantic centipedes. Like a child, I picture opening her skull, unspooling her brain and sifting through it, trying to catch and pin down her thoughts. What are you thinking, Amy?The question I've asked most often during our marriage, if not out loud, if not to the person who could answer. I suppose these questions stormcloud over every marriage:What are you thinking? How are you feeling? Who are you? What have we done to each other? What will we do?
Rodney  Jenkins, Dreaming is for lovers|I had a dream about you. We were married and I walked into the room to see you in my new black dress and high heels and I said "That's not what I meant when I said I bought them for you".
Antonio Gramsci, Selections from the Prison Notebooks|Winners never suffer defeat, but rather just many setbacks on their way to victory.
Mlungisi Simelane|Dont ever let anybody throw you away. You are not junk. When God looks at you, He sees things that everybody else ignores. You are worth so much that it took Jesus to Calvary to salvage and reclaim you. You are a seed of greatness.. Wake up sleeping giant
Louisa May Alcott|Killing Japanese didn’t bother me at that time. It was getting the war over with that bothered me. So I wasn’t worried particularly about how many people we killed in getting the job done… . All war is immoral, and if you let it bother you, you’re not a good soldier.
Maddy Malhotra, How to Build Self-Esteem and Be Confident: Overcome Fears, Break Habits, Be Successful and Happy|There are ways to do things, ways to act with people, and I do not understand them. I cannot understand what people mean when they talk. I do not do things right. I do not feel things right. I do not see things right. I am not...I'm not made of the same thing as everyone else.'The baker took in a deep breath. 'I think if you'll look around, my boy,' he said gently, 'you'll find that no one is quite right. But we all do the best we can.
Judith Warner, Perfect Madness: Motherhood in the Age of Anxiety|The media not only fans our fears, it comforts us in our hubris. Nearly every scare story comes with a Message: You can take control. You can do something to keep bad things from happening to your children and to keep life from throwing you curveballs.
Eva Ibbotson, A Song for Summer|O! how shall summer's honey breath hold out, / Against the wrackful siege of battering days?
N. E. Conneely, Witch for Hire|We all draw different lines. Sometimes they intersect. Sometimes they don’t. We agree on forms of evil, but judge degrees of it, saying only the worst of humanity is truly bad. And everything along the gray lines is subject to opinion. These are the lines I constantly live on, crossing through intersections that lead down paths I barely remember. And at certain times, for unknown reasons, the grim reality of consequence decides to rear its ugly head at me, and forces me to see what I’ve done. And I find myself staring at…THE DEVIL.
Walter Mosley, Killing Johnny Fry: A Sexistential Novel|Freedom is a state of mind, I said wondering where I'd heard it before, not a state of being. We are all slaves to gravity and morality and the vicissitudes of nature. Our genes govern us much more than we'd like to think. Our bodies can not know absolute freedom but our minds can, can at least try.
M.F. Moonzajer|Christianity, in contrast, is for all cultures. This is a theme of the New Testament, St. John’s vision of the redeemed in Revelation 7. Christianity is for every tribe, every nation, every language, every time, for every culture. That’s really quite unique from other religions because Christ died for the sins of the world.
Paul Dano|I promised myself: Before your 18th birthday, you're going to be at Jean Paul Gaultier. And it worked. I was hired.
Margaret Maclure, Discourse in Educational and Social Research|Perhaps the nearest one could get to a common characteristic of poststructuralism would be a radical suspicion of reason, order and certainty as governing principles of knowledge and existence...the absurd and the irrational can no longer be distinguished from the real and the rational
Livy, The Early History of Rome:|Now I would solicit the particular attention of those numerous people who imagine that money is everything in this world, and that rank and ability are inseparable from wealth: let them observe that Cincinnatus, the one man in whom Rome reposed all her hope of survival, was at that moment working a little three-acre farm (now known as Quinctian meadows) west of the Tiber, just opposite the spot where the shipyards are today. A mission from the city found him at work on his land - digging a ditch, maybe, or ploughing. Greetings were exchanged, and he was asked - with a prayer for God's blessing on himself and his country - to put on his toga and hear the Senate's instructions. This naturally surprised him, and, asking if all were well, he told his wife Racilia to run to their cottage and fetch his toga. The toga was brought, and wiping the grimy sweat from his hands and face he put it on; at once the envoys from the city saluted him, with congratulations, as Dictator, invited him to enter Rome, and informed him of the terrible danger of Minucius's army.
Aberjhani, Journey through the Power of the Rainbow: Quotations from a Life Made Out of Poetry|Poetry and art nourish the soul of the world with the flavor-filled substances of beauty, wisdom and truth.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|High fives and fist bumps have become the popular alternatives to traditional handshakes, especially among the younger generations. As a new social norm, they are used as a greeting, an approval, an acknowledgement, a celebration, and a gesture of understanding. High fives and fist bumps are also viewed as a healthier alternative to traditional handshakes because they don’t spread germs.
C.S. Lewis, Present Concerns|This is the permanent tension that lies at the heart of a capitalist democracy and is exacerbated in times of crisis. In order to ensure the survival of the richest, it is democracy that has to be heavily regulated rather than capitalism.
Giacomo Casanova, History of My Life, Volumes III & IV|Be persistent like a mosquito, at the end you will get your bite
Israelmore Ayivor, Shaping the dream|Every great building once begun as a building plan. That means, sitting in that building plan on the table is a mighty structure not yet seen. It is the same with dreams.
Tahereh Mafi, Unravel Me|But that was last year,” I protested as we walked through school on Tuesday, three days beforeHalloween. “I’m serious, you know how people are. They forget about things.”“Oh, really?” Roux said, then turned and smiled at a brunette passing us. “Hey, Julia, what’s up?How are things?”“Slut,” Julia responded, and kept walking.Roux just looked back at me knowingly. “You were saying?
Romain Grosjean|Vietnamese food has probably been saved from the mass market because most people never master the sauces and condiments that must be added to the food, at the table, for its glories to become apparent. It's too much trouble, and a lot of people don't like asking for help, especially if the interaction involves some linguistic awkwardness.
Lisa Kleypas, Married By Morning|[Jess]"... you were wonderful. Magnificent. Incomparable. Unparalleled. Incredible.""Oh, stop it!" Addie grinned and blushed, and backed a step with each word, as Jess advanced toward her with each accolade. But on the third step, her back made contact with the ivy wall, and Jess kept moving toward her until he'd pressed her into its soft, green embrace. Then he moved another inch until his Sunday boots straddled her Sunday pumps.
Cassandra Clare, Clockwork Angel|The two girls disappeared into the stern cabin once more. Will watched them go, then asked Halt, 'Anything you'd like me to do? Grow a beard? Learn to walk like a rooster?''If you could stop asking facetious questions, that'd be a start,' Halt told him. 'But it's probably a little late in life for you to do that.
Judith C. Waller, Radio: The Fifth Estate|As Mary Grannon, the beloved Mary of The Canadian Broadcasting Corporation’s ‘Just Mary’ hour says:So many parents are clinging to some favorite story in their own youth and measuring all children's material by it—forgetting what the last minstrel found out in his travels, that 'old times are changed, old manners gone, a stranger fills the Stuart's throne.' Let's not be like the bigots of the iron time; let's be rooters for the modern.
Paul Cohen|Littlewood, on Hardy's own estimate, is the finest mathematician he has ever known. He was the man most likely to storm and smash a really deep and formidable problem; there was no one else who could command such a combination of insight, technique and power.
Maria V. Snyder, Magic Study|Your fear remains strong. You are not ready to face your story, preferring instead to surround yourself with knots. Someday, they will strangle you.
Laini Taylor, Daughter of Smoke & Bone|...something was starting to take shape, out of magic and will. Smoke and bone.
Kelly Parra, Invisible Touch|Truth about tears is that , most tears are the result of a delusion
Karl Pilkington|Foul cankering rust the hidden treasure frets, but gold that's put to use more gold begets.
Amber Hurdle, The Bombshell Business Woman: How to Become a Bold, Brave, and Successful Female Entrepreneur|Train your new employee properly. Sounds so obvious, and yet it often doesn’t happen.
Aleister Crowley, Moonchild|First of all, you must never speak of anything by its name -- in that country. So, if you see a tree on a mountain, it will be better to say 'Look at the green on the high'; for that's how they talk -- in that country. And whatever you do, you must find a false reason for doing it -- in that country. If you rob a man, you must say it is to help and protect him: that's the ethics -- of that country. And everything of value has no value at all -- in that country. You must be perfectly commonplace if you want to be a genius -- in that country. And everything you like you must pretend not to like; and anything that is there you must pretend is not there -- in that country. And you must always say that you are sacrificing yourself in the cause of religion, and morality, and humanity, and liberty, and progress, when you want to cheat your neighbour -- in that country."Good heavens!" cried Iliel, 'are we going to England?
Shannon L. Alder|When what you value and dream about doesn’t match the life you are living, you have pain.
Vera Brittain, Testament of Youth|People talked so foolishly, I thought, about the ennobling effects of suffering. No doubt the philosophy that tells you your soul grows through grief and sorrow is right--ultimately. But I don't think this is the case at first. At first, pain beyond a certain point merely makes you lifeless, and apathetic to everything but itself.
Jenni Schaefer, Goodbye Ed, Hello Me: Recover from Your Eating Disorder and Fall in Love with Life|To stay in recovery, you must be responsible for finding your own motivation. Remember, motivation may not be easy to come by at first. It will probably be a very small, timid part inside of you. When you find it, let that part be in charge. Let the minority rule and lead you to a life you never dreamed was possible
Jim Rohn|Let others lead small lives, but not you.. Let others argue over small things, but not you.. Let others cry over small hurts, but not you.. Let others leave their future in someone else's hands, but not you.
Lailah Gifty Akita|It is only through the darkness, we desire the light.
Charlotte Brontë, Villette|No perfection can last forever. Time tears at it; wears it down until it's nothing, just an empty shell.
Janet Napolitano|The art challenges the technology, and the technology inspires the art.
Poppy Z. Brite|Some nights are made for torture, or reflection, or the savoring of loneliness.
Steven Magee, Light Forensics|For the purpose of human health, it appears that it is wise to work and live below 4,900 feet.
B.J. Daniels, Cardwell Christmas Crime Scene|A tree.” She spotted one. It was hidden behind a much larger tree, its limbs misshapen in its attempt to fight for even a little sunlight in the shadow. “Dana has this tradition of giving a sad-looking tree the honor of being a Christmas tree.” She walked over to the small, nearly hidden tree. “I like this one. “It’s…”	He laughed. “Ugly?”	“No, it’s beautiful because it’s had a hard life. It’s struggled to survive against all odds and would keep doing that without much hope. But it has a chance to be something special.
Buzz Aldrin|Everyone who's been in space would, I'm sure, welcome the opportunity for a return to the exhilarating experiences there.
Tom Rath, Strengths Finder 2.0|Cleverness is a false presumption', Doc had explained, 'it is like being a natural skater, you are so busy doing tricks to impress that you do not see where the thin ice is and before you know, poof! You are in deep, ice-cold water frozen like a dead herring. Intelligence is a harder gift, for this you must work, you must practise it, challenge it and maybe towards the end of your life you will master it. Cleverness is the shadow whereas intelligence is the substance.
C. JoyBell C.|Yesterday I was sad, today I am happy! Yesterday I had a problem, today I still have the same problem! But today I changed the way I look at it!
A.D. Posey|Wherever you are, wherever you go, be sure to spread the light.
Charlotte Brontë, Villette|For a second, Hardyy felt sorry for her. She really was messed up. 'Nobody is perfect Cheyenne. We can all do better, but do it for yourself, not for me. Not for anyone else.
Bertrand Russell, Marriage and Morals|Intimacy wasn't sex, she realized. It was knowing someone.
N. R. Narayana Murthy|In the end, all business operations can be reduced to three words: people, product, and profits.
Rachael Wade, Declaration|You never seem to run out of ways to blow my mind, Lexie. You’re my best friend, and you’re the one woman I can imagine spending the rest of my life with. Do you know how lucky that makes me?
Amit Kalantri|The world is getting too small for both an Us and a Them. Us and Them have become codependent, intertwined, fixed to one another. We have no separate fates, but are bound together in one. And our fear of one another is the only thing capable of our undoing.
Meher Baba, Discourses|There are very few things in the mind which eat up as much energy as worry. It is one of the most difficult things not to worry about anything. Worry is experienced when things go wrong, but in relation to past happenings it is idle merely to wish that they might have been otherwise. The frozen past is what it is, and no amount of worrying is going to make it other than what it has been. But the limited ego-mind identifies itself with its past, gets entangled with it and keeps alive the pangs of frustrated desires. Thus worry continues to grow into the mental life of man until the ego-mind is burdened by the past. Worry is also experienced in relation to the future when this future is expected to be disagreeable in some way. In this case it seeks to justify itself as a necessary part of the attempt to prepare for coping with the anticipated situations. But, things can never be helped merely by worrying. Besides, many of the things which are anticipated never turn up, or if they do occur, they turn out to be much more acceptable than they were expected to be. Worry is the product of feverish imagination working under the stimulus of desires. It is a living through of sufferings which are mostly our own creation. Worry has never done anyone any good, and it is very much worse than mere dissipation of psychic energy, for it substantially curtails the joy and fullness of life.
Nick Offerman|Always maintain the attitude of a student. When a person thinks they have finished learning, that is when bitterness and disappointment can set in, as that person will wake up everyday wondering when someone is going to throw a parade in their honour for being so smart.
Branch Rickey|A geek isn't the skinny kid with a pocket protector and acne. There can be computer geeks, video game geeks, car geeks, military geeks, and sports geeks. Being a geek just means that you're passionate about something.
Fabrizio Moreira|I love to compete. To me, business is the ultimate sport. It's always on. There is always someone trying to beat me.
Richelle E. Goodrich, Eena, The Dawn and Rescue|Life is a valuable and unique opportunityto discover who you are.But it seems as soon as you nearanswering that age-old question,something unexpected always happensto alter your course.And who it is you thought you weresuddenly changes.Then comes the frustrating realizationthat no matter how long life endures,no matter how many experiencesare muddled through in this existence,you may never really be ableto answer the question....Who am I? Because the answer, like the seasons,constantly, subtly, inevitably changes.And who it is you are today,is not the same person you will be tomorrow.
Jazz Feylynn, Colorado State of Mind|Now you're being ridiculous. If your mom changed into a carrot, I'd think she'd change back before someone ate her, werewolf or not.
Amaka Imani Nkosazana, Release The Ink|Take a moment to reflect on your life. If you are not satisfied with your reflection, then make adjustments. It's never too late to live the life of your dreams. Believe in your ability to make it happen.
Charles Baudelaire|The lumpiness of 'The Good Lie's progression - from infancy to adulthood, and from ethnic horror to gentle social comedy to a heroic gift of freedom - proclaims the film's respect for facts and truths that can't be squeezed into a smooth narrative.
Jeffrey Fry|Sometimes, life is all about just surviving. Whether one gives up or not that differentiates the winners from the losers.
Arial Burnz, Midnight Captive|From the moment I saw you, I wanted you in my dreams
Nancy McKeon|I dream of diving in two places where I have not been yet. One is Antarctica, because of its crystal clear waters and amazing fauna, in addition to the ice cathedrals. The other is the Arctic, where I'd like to see the northernmost kelp forests.
Susan E. Isaacs, Angry Conversations with God: A Snarky but Authentic Spiritual Memoir|When seeing the simple truth means recognizing that we're in sin, we would rather see things as being complicated.
Ecclesiastes 12 12|Heaven will happen someday, but let's not wait. Heaven can start now.
James Gray|The wisdom of God's Word is quite clear on believers being unequally yoked. And marrying someone who is not a Christian - who is not a daily disciple of Christ - is being unequally yoked, regardless of what their beliefs might be.
Gregory David Roberts|The source of all things, the luminescence, has more forms than heaven's stars, sure. And one good thought is all it takes to make it shine. But a single mistake can burn down a forest in your heart, hiding all the stars, in all the skies,. And while a mistake's till burning, ruined love or lsot faith can make you think you're done, and you can't go on. But it's not true. It's never true. No matter what you do, no matter where you're lost, the luminescence never leaves you. Any good thing that dies inside ca rise again, if you want it hard enough. The heart doesnt know how to quit, because it doesn't know how to lie. You lift your eyes from the page, fall into the smile of a perfect stranger, and the searching starts all over again. It's not what it was. It's always different. It's always something else. But the new forest that grows back in a scarred heart is sometimes wilder and stronger than it was before the fire. And if you stay in there, in that shine within yourself, that new place of light, forgiving everything and never giving up, sooner or later you'll always find yourself right back there where love and beauty made the world: at the beginning. The beginning. The beginning.
David Holdsworth|The picture of love and truth together is in Jesus. The challenge is to resist the temptation to think in terms of a mixture or recipe: 50% love and 50% truth. The historic creeds affirm Jesus as fully God AND fully human, and likewise with love and truth – Jesus is fully truth and fully love; any less and He ceases to be fully God, and for this reason love and truth must not be separated...
Sami Abouzid|Nobility, I always have one thing common with you , I always think you’re an angel
Henry Giroux|I've been a staunch advocate of women's empowerment, and I've worked hard throughout my career to advance the cause. It is heartening to see that gender equality is really becoming more of a reality. There is still much more to be done, and I'm confident that, by working together, we can empower women worldwide.
Akash Patel|Yesterday is there, today is here, live in the now, allowing life to show you the light
Stevie Wonder|If you are a chef, no matter how good a chef you are, it's not good cooking for yourself; the joy is in cooking for others - it's the same with music.
Scott Spencer, Endless Love|No pain could match the emptiness of separation, no agony rivaled the unreality of not being with her.
Sofea Shah|No one wants to die or even plans to die, at least not when you are young and living life on top of everything, stepping on gold, running the miles with hot chicks on tow, but even if I wasn’t a rock star, and just a normal civilian, I still wouldn’t plan to die young. Death is so boring.
Michelle Hodkin, The Unbecoming of Mara Dyer|I have never read The Joy of Crap. Sounds disgusting. I have, however, read The Joy of Sex. Not in a while, but I think it's one of those classics you can come back to again... and again.
Eusebius, The Church History|I myself have read the writings and teachings of the heretics, polluting my soul for a while with their abominable notions, though deriving this benefit: I was able to refute them for myself and loathe them even more.
Frances Hodgson Burnett, The Secret Garden|Look again at that dot. That's here. That's home. That's us. On it everyone you love, everyone you know, everyone you ever heard of, every human being who ever was, lived out their lives. The aggregate of our joy and suffering, thousands of confident religions, ideologies, and economic doctrines, every hunter and forager, every hero and coward, every creator and destroyer of civilization, every king and peasant, every young couple in love, every mother and father, hopeful child, inventor and explorer, every teacher of morals, every corrupt politician, every "superstar," every "supreme leader," every saint and sinner in the history of our species lived there-on a mote of dust suspended in a sunbeam.The Earth is a very small stage in a vast cosmic arena. Think of the endless cruelties visited by the inhabitants of one corner of this pixel on the scarcely distinguishable inhabitants of some other corner, how frequent their misunderstandings, how eager they are to kill one another, how fervent their hatreds. Think of the rivers of blood spilled by all those generals and emperors so that, in glory and triumph, they could become the momentary masters of a fraction of a dot.Our posturings, our imagined self-importance, the delusion that we have some privileged position in the Universe, are challenged by this point of pale light. Our planet is a lonely speck in the great enveloping cosmic dark. In our obscurity, in all this vastness, there is no hint that help will come from elsewhere to save us from ourselves.The Earth is the only world known so far to harbor life. There is nowhere else, at least in the near future, to which our species could migrate. Visit, yes. Settle, not yet. Like it or not, for the moment the Earth is where we make our stand.It has been said that astronomy is a humbling and character-building experience. There is perhaps no better demonstration of the folly of human conceits than this distant image of our tiny world. To me, it underscores our responsibility to deal more kindly with one another, and to preserve and cherish the pale blue dot, the only home we've ever known.
Lailah Gifty Akita|If your heart is your home, you can be happy anywhere.
Anastasia Nil, Tempting Fate|Falling in love is one of most beautiful emotions one can feel. You haven’t lived your life, if you haven’t loved.
Paulo Coelho, The Witch Of Portobello|We can see the Divine in each speck of dust, but that doesn't stop us from wiping it away with a wet sponge. The Divine doesn't disappear; it's transformed into the clean surface.
Jeff Hobbs, The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League|... what it really was like to live a life determined by the struggle to be free, as desert dwellers' days are determined by the struggle against thirst and those of dwellers amid snow and ice by the struggle against the numbing of cold.
