Kim Stanley Robinson, The Years of Rice and Salt|It is a long time ago. So many lives ago--I get them all confused, don’t you?
Thomas Szasz|In the United States today, there is a pervasive tendency to treat children as adults, and adults as children. The options of children are thus steadily expanded, while those of adults are progressively constricted. The result is unruly children and childish adults. 
Karen Foxlee, Ophelia and the Marvelous Boy|Ophelia,' said the boy. He said it very quietly. She didn't like the way he said that at all. He sounded sad and as though he expected more from her.'And how do you know my name anyways?' she said. 'I never told you it, not once.''I heard it once, a long time ago.'He was full of mysterious sentences like that.
S. Tarr, Love, Adventure and Other Noble Quests|I didn't know what to say. It kind of hurt just to look at her, in a way i'd forgotten. Sort of like a splinter - not when you first get it under your skin, but the slow ache after it has been taken out.
Shelly Thacker, His Stolen Bride|He drew her into his arms, gathering her close, and dusted kisses over her cheek, her hair. Wrapped in his embrace, Laurien closed her eyes, murmuring a sigh of exquisite satisfaction. A delightful drowsiness overtook her and she gave in to it, snuggled securely against Darach's chest, lying on a stolen wolf pelt, in the hold on a ship of thieves.
Jennifer L. Armentrout, Every Last Breath|But I wasn't done. Staring into eyes that were as bright and beautiful than any tawny jewel, I said what I had never said before. And I said it with every ounce in my being behind it. "I love you, Roth." My voice shook with emotion."I'm in love with you.
Caroline Leavitt|I wanted to have more songs with religious backgrounds. The Christmas record has strong, traditional hymns, but it also has a song called 'Christmas in Heaven' about missing someone that you love that's passed on, and wondering what's going on up there on Christmas.
Abhijit Naskar, Rowdy Buddha: The First Sapiens|There is no God in Buddha’s teachings. There is no religious ritual in Buddha’s teachings. All that there is, is simple “Karma” or “Work” – that is the “Dhamma” or “Duty” or “Religion” he preached.
Louis B. Rosenberg|Over the eons I've been a fan of, and sucker for, each latest automated system to 'simplify' and 'bring order to' my life. Very early on this led me to the beautiful-and-doomed Lotus Agenda for my DOS computers, and Actioneer for the early Palm.
Klaus Schwab|To be candid, some people have given positive thinking a bad name. I can't stand to hear some gung-ho individual say that with positive thinking you can just do 'anything.' If you think about that one for a moment, you recognize the absurdity of it.
Sarah Palin|God's will has to be done, in unifying people and companies to get that gas line built, so pray for that.
Pierre Richard Lauture|If you take it step by step, you shall least miss a step!
Patti Smith|Consistency is contrary to nature, contrary to life. The only completely consistent people are dead.
Nikki Rowe|Truth is, life is going shake you, it will rip you right out of your comfort zone;just when you feel settled, it will shock you with some trauma and make you face adversity in the most undesirable of ways... And here is the question of it all? What's it all for... Not many search long enough to know but the wise ask you.. Are you going to be a slave to your journey or the pioneer to your dream, if God handed you a lesson ;he knew before your time, your strength could endure i. so next time you doubt another thought or feed your heart with negative emotions think about it... You are here, alive, breathing and if that's not enough than you should think about what is.
Jack London, White Fang|He had no conscious knowledge of death, but like every animal of the Wild, he possessed the instinct of death. To him it stood as the greatest of hurts. It was the very essence of the unknown; it was the sum of the terrors of the unknown, the one culminating and unthinkable catastrophe that could happen to him, about which he knew nothing and about which he feared everything.
Soar, Yours, poetically: Special Deluxe Edition of Selected Poems and Quotes|When he asks you whyyou chose alone all these years.Tell him that it’s becauseyou love with all claws and bared teeth.Apologize for the scratchesthat you will leave on his skin;ask forgiveness for the bite marks.Tell him you never ever mean to love so hard, but you do.
Thomas Szasz, Cruel Compassion: Psychiatric Control of Society's Unwanted|It is the lot of mankind to feel not only insecure but also bored. To combat that experience, people long to be passively entertained, which requires less effort than assuming responsibility for self-improvement.
Johannes Tauler|Supreme serenity still remains the Ideal of great Art. The shapes and transitory forms of life are but stages toward this Ideal, which Christ's religion illuminates with His divine light.
Maddy Malhotra, How to Build Self-Esteem and Be Confident: Overcome Fears, Break Habits, Be Successful and Happy|Transform, from a fault-finder and blamer to a solution-finder and appreciator.
Emmitt Smith|I admired shows like 'Six Feet Under.' That was an amazing show. Never boring, always inventive, smart. Loved the characters. Completely original. Those are shows that I admire.
Matthew Lillard|I'm a romantic. The impressionists have always been my favorites. I like prettiness - beauty, or what I perceive as beauty.
Joy Harjo|It's amazing to be able to play the sport that I grew up loving so much and that I have a strong passion for. I'm just having a ball. There's a lot of pressure that comes with being in the spotlight and being a superstar and a role model, but I'm enjoying it.
J.K. Rowling, Harry Potter and the Goblet of Fire|Don't be stupid, it's a flying house!
Chris Ayres, War Reporting for Cowards|We had all opted to take City's financial reporting course work, which, in theory, meant we wanted to write about stock prices and corporate takeovers. That, of course, was a joke. No one still in their twenties, and broke, goes into journalism to write about money—a subject in which they still have zero practical experience.
Sam Harris|Every one of the world's "great" religions utterly trivializes the immensity and beauty of the cosmos. Books like the Bible and the Koran get almost every significant fact about us and our world wrong. Every scientific domain -- from cosmology to psychology to economics -- has superseded and surpassed the wisdom of Scripture.Everything of value that people get from religion can be had more honestly, without presuming anything on insufficient evidence. The rest is self-deception, set to music.
Tullian Tchividjian, Jesus + Nothing = Everything|There are no real personalities apart from God. Until you have given up your self to Him you will not have a real self. Sameness is to be found most among the most 'natural' men, not among those who surrender to Christ. How monotonously alike all the great tyrants and conquerers have been; how gloriously different are the saints.But there must be a real giving up of the self. You must throw it away 'blindly' so to speak. Christ will indeed give you a real personality; but you must not go to Him for the sake of that. As long as your own personality is what you are bothering about you are not going to Him at all. The very first step is to try to forget about the self altogether. Your real, new self (which is Christ's and also yours, and yours just because it is His) will not come as long as you are looking for it. It will come when you are looking for Him...Keep back nothing. Nothing that you have not given away will be really yours. Nothing in you that has not died will ever be raised from the dead. Look for yourself, and you will find in the long run only hatred, loneliness, despair, rage, ruin, and decay. But look for Christ, and you will find Him, and with Him everything else thrown in.
George MacDonald, A Hidden Life and Other Poems|But if you caught my informant,' said Achilles, 'why in the world would Chamrajnagar—or Graff, if it was him—launch the shuttle anyway? Was catching me doing something naughty so important they’d risk a shuttle and it’s crew just to catch me? I find that quite… flattering. Sort of like winning the Nobel Prize for scariest villain.
Jane Austen, Northanger Abbey|Ironically, to my children, bedtime is a punishment that violates their basic rights as human beings. Once the lights are out, you can expect at least an hour of inmates clanging their tin cups on the cell bars.
Kelley Armstrong, The Reckoning|You were just worried about me." An exhale, relieved that I had understood. "Yeah"I turned. "Because you think I'm worth it"He put his fingers under my chin. "I absolutely think your worth it.""But you don't think you are."His mouth opened. Shut."That's what this is about, Derek. You won't let us worry about you because you don't think you're worth it. But I do. I absolutely do.
Praying Medic, Divine Healing Made Simple: Simplifying the supernatural to make healing & miracles a part of your everyday life|If it is the will of God for man to be sick, no one in history violated the will of God more than Jesus. Just as God desires all men to be saved, He also desires all men to be healed.
John Kennedy Toole, A Confederacy of Dunces|I avoid that bleak first hour of the working day during which my still sluggish senses and body make every chore a penance. I find that in arriving later, the work which I do perform is of a much higher quality.
Nina LaCour, You Know Me Well|She was about to be married, and was frightened to death. And no-one would love her, ever again.
Arthur Conan Doyle, The Return of Sherlock Holmes|He gave his life to save the thing that mattered most to him: his Clanmates,” he meowed softly. “He truly has the stars at his paws now. You will see him again, when it is time.
William Faulkner|So long as they speak your name, you shall never die.
Peter Prange, The Philosopher's Kiss|I would advise a stupid woman always to follow her hsuband - however, a smart woman should rely on her own instincts.
Susan Elizabeth Phillips, Natural Born Charmer|Football is an incredible game. Sometimes it's so incredible, it's unbelievable. 
Bret Easton Ellis, Imperial Bedrooms|He wasn't, I realized when I read those scenes concerning Blair and myself, close to any of us-- except of course to Blair, and really not even to her. He was simply someone who floated through our lives and didn't seem to care how flatly he perceived everyone or that he'd shared our secret failures with the world, showcasing the youthful indifference, the gleaming nihilism, glamorizing the horror of it all. But there was no point in being angry with him.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|To cultivate bravery and courage, avoid the bystander effect.Rather than standing on the sidelines watching other people achieve their goals, jump in with both feet and get involved.
Jan Holly, Marriage by Mail|You stay on me like my godsdamned shadow, vampire."Mirceo's lips curved. "Eternally, demon.
Rebecca Wells, Divine Secrets of the Ya-Ya Sisterhood|The next morning, the earth was strewn with debris from the windstorm the night before. An audience of trees looked down on severed limbs cast about the ground, their hunched and beaten postures reminding me of a congregation of amputees gathered in the wake of a war.
Prabakaran Thirumalai|Education has all the vowels in English. Unquestionably, it is not the only word.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Who you allow into your life, mind and heart are among the most important decisions you will ever make.
Augustine of Hippo, Homilies on the Gospel of John 1-40|In the ancient world, this was understood by the Christians, our only (if very imperfect) predecessors: Humility is a virtue, pride a vice; We comes from God, I from the Devil.
Martin Luther King Jr., Why We Can't Wait|There are spiritual laws at work that most people know nothing about. So when others hurt us, our tendency is to strike back because we assume that we must defend ourselves, defend our name, our honor, our career, and so on. In reality we strike back at ourselves. ... What we consider as justifiable defense of our rights may in reality plunge us into a vicious cycle that can undermine our very spiritual foundation. By reacting to aggression with aggression we lose the opportunity to spiritually benefit from the experience. this law also explains why saints, when hit, often would literally turn the other cheek. (Fr. Maximos)
Lara Biyuts. Vampire Armastus|The studio was immense and gloomy, the sole light within it proceeding from a stove, around which the three were seated. Although they were bold, and of the age when men are most jovial, the conversation had taken, in spite of their efforts to the contrary, a reflection from the dull weather without, and their jokes and frivolity were soon exhausted.In addition to the light which issued from the crannies in the stove, there was another emitted from a bowl of spirits, which was ceaselessly stirred by one of the young men, as he poured from an antique silver ladle some of the flaming spirit into the quaint old glasses from which the students drank. The blue flame of the spirit lighted up in a wild and fantastic manner the surrounding objects in the room, so that the heads of old prophets, of satyrs, or Madonnas, clothed in the same ghastly hue, seemed to move and to dance along the walls like a fantastic procession of the dead; and the vast room, which in the day time sparkled with the creations of genius, seemed now, in its alternate darkness and sulphuric light, to be peopled with its dreams.Each time also that the silver spoon agitated the liquid, strange shadows traced themselves along the walls, hideous and of fantastic form. Unearthly tints spread also upon the hangings of the studio, from the old bearded prophet of Michael Angelo to those eccentric caricatures which the artist had scrawled upon his walls, and which resembled an army of demons that one sees in a dream, or such as Goya has painted; whilst the lull and rise of the tempest without but added to the fantastic and nervous feeling which pervaded those within.Besides this, to add to the terror which was creeping over the three occupants of the room, each time that they looked at each other they appeared with faces of a blue tone, with eyes fixed and glittering like live embers, and with pale lips and sunken cheeks; but the most fearful object of all was that of a plaster mask taken from the face of an intimate friend but lately dead, which, hanging near the window, let the light from the spirit fall upon its face, turned three parts towards them, which gave it a strange, vivid, and mocking expression.All people have felt the influence of large and dark rooms, such as Hoffmann has portrayed and Rembrandt has painted; and all the world has experienced those wild and unaccountable terrors - panics without a cause - which seize on one like a spontaneous fever, at the sight of objects to which a stray glimpse of the moon or a feeble ray from a lamp gives a mysterious form; nay, all, we should imagine, have at some period of their lives found themselves by the side of a friend, in a dark and dismal chamber, listening to some wild story, which so enchains them, that although the mere lighting of a candle could put an end to their terror, they would not do so; so much need has the human heart of emotions, whether they be true or false. So it was upon the evening mentioned. The conversation of the three companions never took a direct line, but followed all the phases of their thoughts; sometimes it was light as the smoke which curled from their cigars, then for a moment fantastic as the flame of the burning spirit, and then again dark, lurid, and sombre as the smile which lit up the mask from their dead friend's face.At last the conversation ceased altogether, and the respiration of the smokers was the only sound heard; and their cigars glowed in the dark, like Will-of-the-wisps brooding o'er a stagnant pool.It was evident to them all, that the first who should break the silence, even if he spoke in jest, would cause in the hearts of the others a start and tremor, for each felt that he had almost unwittingly plunged into a ghastly reverie. ("The Dead Man's Story")
Lynn Jurich|'Survivor' wouldn't have happened had I not gone out there and helped CBS to sell sponsors to finance the first one. Part of my thinking on 'Survivor' was that it should have rewards that are corporate brands. A Big Mac, one thimble-full of Coca-Cola.
Jesse Bering, Perv: The Sexual Deviant in All of Us|The psychologist Charles Moser, for example, pointed out that those inclined to divide the "sane" from the "insane" in terms of frequency of sex and intensity of desires overlook the possibility that sex itself may be the most meaningful part of a person's life, "which appropriately can take precedence over other activities".
Jalaluddin Rumi|I know you're tired but come, this is the way.
Nicole Kidman|Conventional agriculture has never succeeded in feeding the world, and it's never produced anything good to eat. For the future, we need to look toward alternatives.
Jean Kerr|The only reason that they say, 'Women and children first' is to test the strength of the lifeboats.
Steve Maraboli|In my opinion, being a Christian is a noticeable behavior. If you have to tell somebody you’re a Christian, then you’re probably not doing it right.
Alejandro Gonzalez Inarritu|I don't act, I don't direct, I don't design.
Angela Davis|We must learn to regard people less in light of what they do or omit to do, and more in the light of what they suffer.
Aime Cesaire|My practicality consists in this, in the knowledge that if you beat your head against the wall it is your head which breaks and not the wall - that is my strength, my only strength.
David Pietrusza, 1960--LBJ vs. JFK vs. Nixon: The Epic Campaign That Forged Three Presidencies|Even envy, wants to even the score.
Justin K. McFarlane Beau|The law is logical and is based on common sense. The trick was to argue the law in favor of your particular point of view without sounding biased. It was kind of like a magic trick: the best illusionist being the one who can best manipulate the logic to his or her advantage, all the while giving the illusion of impartiality.
Laini Taylor, My True Love Gave to Me: Twelve Holiday Stories|Your attempt was valiant, but the fight was unfair. He was a seasoned warrior, fully armored. You were a lad with a short sword. You have a brave heart. That can be more important than size or strength.
Aimee Bender, Willful Creatures|That spring, Amelia takes Maya to the drugstore and lets her choose any polish color she likes. "How do you pick?" Maya says. "Sometimes I ask myself how I'm feeling," Amelia says. "Sometimes I ask myself how I'd like to be feeling.
M.F. Moonzajer|Atheism ... goes back to the Ancient Greek (a — a negative prefix, theos — god), evidencing the antiquity of the outlook of those who saw no presence of God (or gods) in their everyday lives, or who even denied the very existence of God (or gods). There are different types of atheism, but atheism in one form or another has existed in every civilization.[T]he concept "atheist" partially coincides with such notions as "skeptic," "agnostic," and "rationalist" and it borders with such notions as "anticlerical," "God fighter" (theomachist), and "God abuser" (blasphemer).It is wrong to identify an atheist as one who denies God, though this is what opponents of atheism usually claim. If such people exist, it would probably be more correct to call them the "verbal" murderers of God, for the prefix a- means denying as elimination. ... I would like to stress that the prefix a- does not necessarily mean rejection. It can mean "absence of." For example, "apathy" means "absence of passion." Thus, the concept "atheist" does not necessarily mean nihilism.
Roman Payne, Rooftop Soliloquy|It’s not that we have to quit this life one day, but it’s how many things we have to quit all at once: music, laughter, the physics of falling leaves, automobiles, holding hands, the scent of rain, the concept of subway trains... if only one could leave this life slowly!
Jaimie Roberts, Siren|Female say Pack Leader stop,” Pack Leader said angrily.“What?” Caine could make no sense of it till he saw Diana striding up, dark hair flying, eyes furious.“I told this filthy beast to stop,” Diana said, barely controlled.“Stop what?” Caine demanded.“They’re still attacking the kids,” Diana said. “We’ve won. Sam is dead. Call them off, Caine.”Caine turned his attention back to the battle between Drake and the monster. “They’re coyotes,” Caine said coldly.Diana flew at him. “You’ve lost your mind, Caine. This has to stop. You’ve won. This has to stop.”“Or what, Diana? Or what?” Caine demanded. “Go get Lana. I’m hurt. Pack Leader, do what you want.”“Maybe this is why your mother abandoned you,” Diana said savagely. “Maybe she could see that you weren’t just bad, you were twisted and sick and evil.
David Harvey, Seventeen Contradictions and the End of Capitalism|What separates Rand from Marx is that the latter saw the true flourishing of individual creativity as best accomplished through collaboration and association with others in a collective drive to abolish the barriers of scarcity and material necessity beyond which, Marx held, the true realm of individual freedom could begin.
Ayn Rand|We can ignore reality, but we cannot ignore the consequences of ignoring reality.
Germaine Greer, The Female Eunuch|Until woman as she is can drive this plastic spectre out of her own and her man's imagination she will continue to apologize and disguise herself, while accepting her male's pot-belly, wattles, bad breath, farting, stubble, baldness and other ugliness without complaint.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Overcome darkness, so that you may walk in the light.
Jonah Hill|I went to a motivational training course once, a course of self-discovery, and I found out after a week that my fear - it was not a fear of not being accepted - was a very violent fear of failure.
Tony Judt|It's a very complex scenario, and certainly Dave was, and is, not the only person in Pearl Jam with personality flaws. Everybody in this band exhibits some form of neurotic behavior. And we couldn't find a balance, a mutual respect for each other.
Henry Beston|Neuroscience has proven that similar areas of the brain are activated both in the person who suffers and in the one who feels empathy. Thus, empathic suffering is a true experience of suffering.
Steven Wright|It doesn’t matter what temperature a room is, it’s always room temperature.
Melina Marchetta, The Piper's Son|Excuse me if I feel skeptical,' I said. 'Coach's foot fell off. How exactly do you propose to cure that? Superglue?
J.R.R. Tolkien, The Two Towers|One by one the angels had come to the top of Har Megiddo where I sat, holding her body close to mine after she'd died. I'd fought alongside them in battle, but up close, when they stood quietly watching us, they looked as beautiful as they looked unreal. the angels weren't supposed to feel emotions, but they were all weeping. All of them. Their tear stained their flawless faces like rain running in rivulets across stone. Azrael was the only one of then who came to me, knelt in front of me and took her from my arms. He was the angel of death come to carry his sister home. I din't want to give her up, knowing it would be the last time I ever saw her face. I had died on that wretched hill with her.
William Shakespeare|But if the while I think on thee, dear friend,All losses are restored and sorrows end.
Sami Abouzid|Can’t Stop Loving You (Italo – Dance Mix) ,,, was the 2nd soundtrack I ever created and still magical to my heart ….I love it more than words can ever say ,,,endless beauty
John Locke, Second Treatise of Government|Fear and anger are a threat to justice. They can infect a community, a state, or a nation, and make us blind, irrational, and dangerous.
Suzie Burke, Wholeness: My Healing Journey from Ritual Abuse|A man's life is his whole life, not the last glimmering snuff of the candle; and this, I say, is considerable, and not a little matter, whether we regard its pleasures or its pains. To draw a peevish conclusion to the contrary from our own superannuated desires or forgetful indifference is about as reasonable as to say, a man never was young because he has grown old, or never lived because he is now dead. The length or agreeableness of a journey does not depend on the few last steps of it, nor is the size of a building to be judged of from the last stone that is added to it. It is neither the first nor last hour of our existence, but the space that parts these two - not our exit nor our entrance upon the stage, but what we do, feel, and think while there - that we are to attend to in pronouncing sentence upon it.
Lailah Gifty Akita|Do all the work you can, while there is grace of strength.
Kathleen Brooks, Secret Santa|I don't want Christmas season to end, because it's the only time I can legitimately indulge in on particular addiction: glitter.
Anonymous|To die for a cause is easy, to live, to be steady day after day doing the small things, taking care of the details, knowing you will be forgotten by history and still choosing to do so, that is real courage
W. Somerset Maugham, The Painted Veil|If a man hasn't what's necessary to make a woman love him, it's his fault, not hers.
Thomas C. Oden, Guilt Free|To the extent that we are trapped by the overvaluing, idealizing tendency, we are not free fully to celebrate the limited but real goods of creation. Idolatry by definition is not an accurate assessment of creaturely goods, but an overvaluing of them so as to miss the richness of their actual, limited values. If I worship my tennis trophies, my Mondrian, my family tree, my Kawasaki, or my bank account, then I do not really receive those goods for what they actually are - limited, historical, and finite - goods which are vulnerable to being taken away by time and death. When I pretend that a value is something more than it is, ironically I value it less appropriately than it deserves. Biblical psychology invites us to relate ourselves absolutely to the absolute and relatively to the relative.
Apollonius of Tyana|Anger begins with folly, and ends with repentance.
Ted Deutch|If two people believe in the same story, they might be thousands of miles apart and total strangers, but they still have a sense they can trust each other.
Michael Meade, The Genius Myth|If we meet a myth with our lives and deepest concerns, the mythic oracles speak directly to us. Myths are oracular in the sense that each person can receive a message or an insight that relates to their life circumstances. The point has never been to “believe” in myths or to simply accept what others have said they mean. The key issue with mythic images is to let them speak to us, wherever and whenever we find ourselves seeking guidance, permission, or understanding.
Kyung-Sook Shin, I'll Be Right There|We choose to embrace a quest, and we choose to live for adventure.
Dick Gregory|I love festivals because they seem like more of an artsy, supportive attitude - which benefits a more theatrical performer sometimes with having theater and other non-club venues, as well as the audience being filled with other artists. It's nice to be with other comics, as usually at other road gigs, I'm solo for the most part.
Craig D. Lounsbrough, An Autumn's Journey: Deep Growth in the Grief and Loss of Life's Seasons|Sociopath. A label given, and a title received. A definition adorned? Or perhaps a ribbon atop a word.
Lauren Oliver, Delirium|As soon as she sees me she swings forward and hits a key on her keyboard. The music cuts off instantly. Strangely, the silence that follows seems just as loud.
Michael Moss, Salt Sugar Fat: How the Food Giants Hooked Us|The whole point of straws, I had thought, was that you did not have to set down the slice of pizza to suck a dose of Coke while reading a paperback.
Jesus Apolinaris|Whatever your passion is, keep doing it. Don't waste time chasing after success or comparing yourself to others. Stay focused on your passion and be consistent in your efforts. Eventually people will see what you are great at doing, and if you are truly great, success will come chasing after you. Remembered, Believe in yourself because your will is your most important asset.
Chris Matakas, #Human: Learning To Live In Modern Times|When you give your weakness permission to be because you understand that it is simply an expression of your strength, it tends to no longer be a weakness.
Fulton J. Sheen, Fulton Sheen's Wartime Prayer Book|It seems it doesn't pay to be good anymore, when people are short-changing you for evil.
Eraldo Banovac|Success is relative, but happiness is absolute.
Monica Ali|I think sometimes women are not driven by the same, albeit, testosterone power thing that pushes men to get into politics.
Cristina Henriquez, The Book of Unknown Americans|It is in this sense that Nietzsche is driven, against many explicit resolutions to the contrary, to be a No-sayer. For what the décadents who surround him are doing is to say No where they should be saying Yes, where they should be Dionysian; and what is leading them to this life-denying perversity, mostly of course unconsciously, is that they subscribe to a set of values that puts the central features of *this* world at a discount. Where they find suffering, they immediately look for someone to blame, and end up hating themselves, or generalize that into a hatred of "human nature". They look for "peace of mind", using it as a blanket term and failing to see the diversity of states, some of them desirable and some of them the reverse, which that term covers. They confuse cause and effect, thinking that the connection between virtue and happiness is that the former leads to the latter, whereas in fact the reverse is the case. They have, in Nietzsche's cruelly accurate phrase, "the vulgar ambition to possess generous feelings" ("Expeditions of an Untimely Man, number 6). They confuse breeding fine men with taming them. Throughout the major part of Twilight this devastating list of our vulgarities continues.
Kurt Vonnegut Jr., Slaughterhouse-Five|...many of us know deep down, whether we choose to admit it or not, a number of simple truths: the global capitalist economy is incompatible with life. As numerous environmentalist authors... have noted, the global economy effectively creates infinite demand and no natural community can support infinite demand, especially when nothing beneficial is given back. A global economy is extractive, it gives nothing back, but follows the ecocidal pattern of a genocidal machine converting raw materials into power at the expense of living things and living systems.
Jandy Nelson|Most comedy is based on getting a laugh at somebody else's expense. And I find that that's just a form of bullying in a major way. So I want to be an example that you can be funny and be kind, and make people laugh without hurting somebody else's feelings.
Mark David Gerson, The Voice of the Muse: Answering the Call to Write|Writers often have the cleanest windows, floors, fridges and toilets, the most up-to-date filing system or the best record for returning calls or e-mails because, in the moment, just about any task seems more palatable than sitting down to write.” (p.136)
Patricia Highsmith|You see, I have a policy about honesty and ass-kicking, which is, if you ask for it, then I have to let you have it.
Terry Pratchett, Thief of Time|Neither the stone that made you stumble is your enemy, nor the stone that helped you cross the river is your friend! Universe just lives its own life!
Gugu Mona|As each day comes to us refreshed and anew, so does my gratitude renew itself daily. The breaking of the sun over the horizon is my grateful heart dawning upon a blessed world. ~Terri Guillemets
Norton Juster, The Phantom Tollbooth|Expect everything, I always say, and the unexpected never happens.
Billy Graham, Billy Graham in Quotes|Sinners, pray to a merciful God for forgiveness.
Henry Ward Beecher|it is madness in al women to let a secret love kindle within them, which, if unreturned and unknown, must devour the life that feeds it; and, if discovered and responded to, must lead into miry wilds whence there is no extrication.
Rick Riordan, The Blood of Olympus|As for Percy, he held his magic ballpoint pen like he was trying to decide whether to bust out some sword moves or autograph Nike’s chariot.
Stephen Covey|We can actually live out the trials and temptations of the day before they come. We can in prayer deal with all our unrighteous aspirations, selfishness, perverse inclinations, impatience, anger, procrastination. This is a form of spiritual creation.
Joseph Heller|War, misery, and death spared no soul, and took pity on no family.
Peter Hedges|In the living room, the consensus among the guests was that Scotty’s looks favored his father, but the Judge was quick to disagree: ‘He doesn’t look a thing like me. He looks like an hors d'oeuvre.’Hearing this, Joan thought the following, and pledged it to herself, as both prayer and promise: You will be loved, Scotty Ocean.And while the guests laughed at the Judge’s remark, Joan leaned over and softly whispered to her newborn son, 'You will be loved.
Nina Jon|A selection of quotes from The Night of Harrison Monk’s Death (Jane Hetherington's Adventures in Detection: 1)"Is this one of the more unusual cases of safe-breaking you've been asked to investigate, Mrs Hetherington?""Remember your private detective wants to be able to sleep soundly at night and in their own bed, not one supplied as her Majesty's pleasure.""It seems to be an open and shut case doesn't it? But it's not you know? How do you know if anything is what it seems?""But where is Cheung kin?""When I first set eyes on your father, he was spying on a man from between two volumes of the Encyclopaedia Britannica.""I don't think I need say more." "On the contrary, if you want me to have any idea what you're talking about, I think you do.""Why don't you report it to the police?" "Because I stole it in the first place didn't I?""It's something of a mystery, I admit.""Vanished into thin air!""You sound so sensible Mrs Hetherington. Please help us get to the bottom of this."Ah, thought Jane – the old story."No body was found?""Shall I put the kettle on?" "Only if you fill it with whiskey.""The course of true love didn't run smoothly for me either, you know.""Life has its tragedies for sure.""… What do I want? I want money that's what I want. I want money."She was even more horrified by the words she heard next.Callum MacCallum knew what it was like to be an outsider.
