Kemi Sogunle|You cannot be a light to others or yourself, if you have dark intentions in your heart.
Zora Neale Hurston, Their Eyes Were Watching God|Mr. Pilates was a bully and a narcissist and a dirty old man; he and Christopher got along very well. When Christopher was doing his workout, Pilates would bring one of his assistants over to watch, rather as the house surgeon brings an intern to study a patient with a rare deformity. ‘Look at him!’ Pilates would exclaim to the assistant, ‘That could have been a beautiful body, and look what he’s done to it! Like a birdcage that somebody trod on!’ Pilates had grown tubby with age, but he would never admit it; he still thought himself a magnificent figure of a man. ‘That’s not fat,’ he declared, punching himself in the stomach, ‘that’s good healthy meat!’ He frankly lusted after some of his girl students. He used to make them lie back on an inclined board and climb on top of them, on the pretext that he was showing them an exercise. What he really was doing was rubbing off against them through his clothes; as was obvious from the violent jerking of his buttocks.
G.K. Chesterton|... always keep in mind that an article of faith is not something that the faithful assume. Faith, for those who have it, is the most certain form of knowledge, not a tentative opinion.
Tanya Masse|Older doesn't always mean wiser. It just means that you've had more time to do the same things over and over again- right, wrong, and different.
Julian Pencilliah|I live by three simple words: compassion, love and gratitude. We need to act on these three words daily. Doing so will irrevocably change your world.
Lou Doillon|My dad was very intelligent, had a very strong personality. I was amazed with my father.
Phillips Brooks|If man is man and God is God, to live without prayer is not merely an awful thing: it is an infinitely foolish thing.
Kjerstin Gruys, Mirror, Mirror Off the Wall: How I Learned to Love My Body by Not Looking at It for a Year|I'd learned that the same internal voice that told me I wasn't good enough had a habit of judging other women, too. They fed into each other, so it was best to quell such thoughts before they gathered strength.
Penney Peirce, Transparency: Seeing Through to Our Expanded Human Capacity|It’s so interesting how transparency works. Not only can you see yourself when you open, relax, show up fully, and allow vulnerability to be natural, but that empowers others to see more of you—and of themselves. On the other hand, when you’re open, exposed, and undefended without even trying, you can see through layers of interference or illusions of opacity in people and situations that used to stop you. You have Superman’s X-ray vision!" —from Transparency: Seeing Through to Our Expanded Human Capacity
Mark J. Solomon, The Evolution of Simulated Universes|Each of us, A CEll Of Awareness... imperfect, and incomplete.Genetic blends, with uncertain ends.
J.K. Rowling, Fantastic Beasts and Where to Find Them: The Original Screenplay|I do know a few things, actually. I know you have rather backwards laws about relations with non-magic people. That you're not mean to befriend them, that you can't marry them, which seems mildly absurd to me.
Neil Gaiman|I tried to convey to the boy how people’s lives are often altered by curved lines read slowly from paper, sand, or stone.
Luis Fonsi|I think I meant that, given the circumstances of my childhood, I had the illusion that it's easier to be alone. To have your relationships be casual and also to pose as a solitary person, because it was more romantic. You know, I was raised on the idea of the ramblin' man and the loner.
Rajneesh|Religion's in the heart, not in the knees.
Marilyn French, The Women's Room|The trial of Jesus of Nazareth, the trial and rehabilitation of Joan of Arc, any one of the witchcraft trials in Salem during 1691, the Moscow trials of 1937 during which Stalin destroyed all of the founders of the 1924 Soviet REvolution, the Sacco-Vanzetti trial of 1920 through 1927- there are many trials such as these in which the victim was already condemned to death before the trial took place, and it took place only to cover up the real meaning: the accused was to be put to death. These are trials in which the judge, the counsel, the jury, and the witnesses are the criminals, not the accused. For any believer in capital punishment, the fear of an honest mistake on the part of all concerned is cited as the main argument against the final terrible decision to carry out the death sentence. There is the frightful possibility in all such trials as these that the judgement has already been pronounced and the trial is just a mask for murder.
Elissa Stein and Susan Kim|In terms of language, there were no separate words for female genitalia for thousands of years. That was mostly because women were considered pretty much the same as men, only of course flimsier, more poorly designed, and incapable of writing in the snow.
Simon Raven|Its attitude, which it has preached and practiced, is skepticism. Now, it finds, the public is applying that skepticism to the press.
Beth Revis|He reached up t0 grab one and came down with several, and they kept coming, washing over him, floating all around him. Never have tampon strings seemed so beautiful as they rolled up and down with the wind, landing on the ground and then twirling and floating up again, falling and rising and falling and rising.
Julian Baggini|It seems to me like Mother Nature's mercy and forgiveness have run dry, as we ceaselessly abuse her and take her for granted in order for us to continue our addiction to using fossil fuels. I've gotta say, I don't blame her. Not one bit.
Paul Bamikole|Philosophy may serve as the bridge between theology and science. All atheism is a philosophy, but not all philosophy is atheism. Philosophy ('love of wisdom') is simply a tool depending on how one uses it, and in some cases, logically understanding the nature of God and existence.
Barbara W. Tuchman, A Distant Mirror:  The Calamitous 14th Century|Between the happening of a historical process and its recognition by rulers, a lag stretches, full of pitfalls.
Sade Andria Zabala|That's what it felt like - that if I let a little of the hurt out, it would keep pouring out until I was a deflated balloon of a person, with a big monster of hurt in front of me.
Gordon D. Fee, How to Read the Bible for All Its Worth|Whether one likes it or not, every reader is at the same time an interpreter. That is, most of us assume as we read that we also understand what we read. We also tend to think that our understanding is the same thing as the Holy Spirit’s or human author’s intent. However, we invariably bring to the text all that we are, with all of our experiences, culture, and prior understandings of words and ideas. Sometimes what we bring to the text, unintentionally to be sure, leads us astray, or else causes us to read all kinds of foreign ideas into the text.
Mensah Oteh, The Good Life: Transform your life through one good day|When you are inspired, there is little you won’t attempt. Find what inspires you, and keep it around and with you always.
John Hay Whitney|Few people even scratch the surface, much less exhaust the contemplation of their own experience.
Neil Gaiman, American Gods|Religions are, by definition, metaphors, after all: God is a dream, a hope, a woman, an ironist, a father, a city, a house of many rooms, a watchmaker who left his prize chronometer in the desert, someone who loves you—even, perhaps, against all evidence, a celestial being whose only interest is to make sure your football team, army, business, or marriage thrives, prospers, and triumphs over all opposition. Religions are places to stand and look and act, vantage points from which to view the world. So none of this is happening. Such things could not occur. Never a word of it is literally true.
Sarah Dessen, Lock and Key|The best gifts come from the heart, not the store.
Jud Wilhite|To understand somebody else as a human being, I think, is about as close to real forgiveness as one can get.
Will Self|Most of us have had that experience - at around puberty - of realising that, despite whatever efforts we put into our chosen sports, we will become at best competent.
Pablo Picasso|Be bored and see where it takes you, because the imagination's dusty wilderness is worth crossing if you want to sculpt your soul.
Patrick Rothfuss, The Name of the Wind|Those days are gone, and good fucking riddance to them; unhappiness really meant something back then. Now it's just a drag, like a cold or having no money. If you really wanted to mess me up, you should have got to me earlier.
Elizabeth E. Castillo, Seasons of Emotions|A true great artist at heart never ceases to create, continuously amazes and keeps sharing his gift despite barriers, judgement, fears and dreaded myths. If you stopped being creative out of fear or loss of self-esteem or pride, you were never an artist first and foremost for you have ran away from your true calling." - Elizabeth's Quotes
Niklas Zennstrom|I obviously take a lot of pride in what I do on the football field, because that has the ability to influence a lot of people. That puts smiles on people's faces. That gives people a pep in their step on Monday morning when they go back to work.
Auliq Ice|Trust is a fragile thing. All it takes is a single moment in time, or a single word, to destroy what took a lifetime to build.
Bret Easton Ellis|He was a great patriot, a humanitarian, a loyal friend- provided of course he really is dead.
Tiffany L. Jackson, 12 Keys to Success for Misfits, Weirdos & Introverts: A Practical and Spiritual Guide to Understanding Your Place in the World|gifts — that strange word, a signifier meaning disappointment you can hold in your hands.
B.L. Putnam Weale|A siege is always a hospital - a hospital where mad thoughts abound and where mad things are done; where, under the stimulus of an unnatural excitement, new beings are evolved, beings who, while having the outward shape of their former selves, and, indeed, most of the old outward characteristics, are yet reborn in some subtle way and are no longer the same....The salt of life! Is it true, or is it merely a mistake, such as life-loving man naturally makes? For it can be nothing but the salt of death which has lain for a brief instant on the tongue of every soldier - a revolting salt which the soldier refuses to swallow and only is compelled to with strange cries and demon-like mutterings. Sometimes, poor mortal, all his struggles and his oaths are in vain. The dread salt is forced down his throat and he dies. The very fortunate have only an acrid taste which defines analysis left them. Of these more fortunate there are, however, many classes. Some, because they are neurotic or have some hereditary taint, the existence of which they have never suspected, in the end succumb; others do not entirely succumb but carry traces to their graves; yet others do not appear to mind at all. It is a very subtle poison, which may lie hidden in the blood for many months and years. I believe it is a terrible thing....And yet even this nobody understands or cares to speak of... Englishmen are proud, and want to know if you were inside the British Legation, their Legation, and when they have heard yes or no their interest ceases. They little know what the Legation stood for. The Americans march up to the Tartar Wall, talk about "Uncle Sam's boys," and exclaim that it requires no guessing to tell who saved the Legations. The French are the same, so are the Germans, so even the Italians. Only the Japanese and the Russians say nothing....I am, therefore, tired of it all, inexpressibly tired. I wish to escape from my hospital, to go away to some clean land where they understand so little of such things that their indifference will in the end, perhaps, convince me and make me forget.Yet can one ever forget?
Richelle E. Goodrich, Smile Anyway|Love grows and wanes, but honor, duty, and commitment, those things are constant and stable. They define who you are.
Annie Ali|... on the lawn one late summer day, her pale hair tangled because she'd cry if anyone tried to brush it, spinning around and around until she got so dizzy she fell in a pile of bare feet and dandelions and sundress.
Esther Averill, The Fire Cat|It’s like I’m trying to keep the bad away with one hand while holding on to the good with the other, and it just doesn’t work. It’s stupid. I need both hands. So I guess I just have to spread out my arms and accept the bad with the good.
Idries Shah, Reflections|All incoming bits of information have, simultaneously, a tentacular, optic, and sexual dimension. Its world is not doubtful, but surprising; vampyroteuthic thinking is an unbroken stream of Aristotelian shock.
C.S. Lewis|Degrees of ability vary, but the basic principle remains the same: the degree of a man's independence, initiative and personal love for his work determines his talent as a worker and his worth as a man. Independence is the only gauge of human virtue and value. What a man is and makes of himself; not what he has or hasn't done for others. There is no substitute for personal dignity. There is no standard of personal dignity except independence.
Nathan Fillion|I think it's dynamite, the way my career has just kept moving, even when people didn't know it did. I made such interesting films, but, yeah, they're not necessarily the big movies that go to the supermarket. I don't need those movies, because I don't wanna do them.
Stephen Chbosky, The Perks of Being a Wallflower|Things get worse before they get better, but this is a worse that feels too big.
Gustave Flaubert|Are the days of winter sunshine just as sad for you, too? When it is misty, in the evenings, and I am out walking by myself, it seems to me that the rain is falling through my heart and causing it to crumble into ruins.
Will Durant, The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers|[Voltaire] theoretically prefers a republic, but he knows its flaws: it permits factions which, if they do not bring on civil war, at least destroy national unity; it is suited only to small states protected by geographic situation, and as yet unspoiled and untorn with wealth; in general "men are rarely worthy to govern themselves." Republics are transient at best; they are the first form of society, arising from the union of families; the American Indians lived in tribal republics, and Africa is full of such democracies. but differentiation of economic status puts an end to these egalitarian governments; and differentiation is the inevitable accompaniment of development.
Munindra Misra, Eddies of Life|Life as a mountain – so rugged and hard to climb definitely, But once you get to the top the view is beautiful indisputably.[225]	- 4 (Thoughts)
Sidney Lumet, Making Movies|Three films a day, three books a week and records of great music would be enough to make me happy to the day I die.
Colin Hanks|I was always the new kid in school, I'm the kid from a broken family, I'm the kid who had no dad showing up at the father-son stuff, I'm the kid that was using food stamps at the grocery store.
Raphael Zernoff|There is no real need to save others, because they will help themselves learning from us, when we choose to shine our light of unconditional love. Through our loving examples others can create, for themselves, an opportunity to act the way they are inspired by us.
Jandy Nelson|I look into his sorrowless eyes and a door in my heart blows open. And when we kiss, i see that on the other side of that door is sky.
Katherine McIntyre, Solid Ground|While I'd been plagued by nightmares of Jonathan's unrest in the hereafter, it was only now that I'd seen Adair again—and seen him so changed—that I could admit, even to myself, that it was him I daydreamed of, who I longed for, who I ached for, physically. That was how I'd betrayed Luke—in my desire for Adair. It wasn't so uncommon, was it? Living with one man while your mind is on another? Being unable to stop thinking of this other man who, for one reason or another, was not the one sitting beside you. Thinking of the way his eyes lit up when he saw you, of his wicked smile and what it was like when he held you, how you responded to the touch of his hands. In solitary moments, you remembered the little intimacies, the feel of his skin against yours, the way he liked to be touched, the velvet nap of his member, the way he tasted. You thought of him even though you could never be with him. His absence nagged like an itch you could never scratch.
Cathy Hopkins, Love at Second Sight|Some souls are just meant to be for each other forever, and ever, and ever!
Kathryn Tanner, Christ the Key|Grace is waiting for you. It’s always there. It’s always waiting. It doesn’t pokes holes into our lives. We are the ones who poke the holes and let the light in, let the magic in. But there’s no rush. There are no deadlines. There’s comfort in staying in our cocoons. Only when we lose that comfort and feel overwhelmed do we feel forced to reach up for something greater. Or, we simply feel the calling for more. Either way, we start living on God’s timetable and awaken to the beautiful mystery, and the things we had clinged to the most fade into pale substitutes.
Gloria Steinem|My little girls are the most beautiful women in the world. I am a lucky, lucky man. I will spend every day making sure that they know this.
Joe Rogan|The universe seems neither benign nor hostile, merely indifferent.
Maggie Stiefvater, Forever|After everything I'd lived through, I was not going to be reduced to a one-sentence definition.
Robert Holden|The meaning of life is not a search—it is a choice. Meaning is not found in things; meaning is what you make of things. The world means nothing by itself. You give it all the meaning it has. Thus, the meaning of life is a choice you make, not just once, but every waking hour of your day.   Life is like art—it is all about interpretation. The moment anything happens to you, you interpret a meaning for it. The meaning you vote for then governs your perception, your thinking, your faith, your choices, your feelings, your behaviors, everything! Whenever you elect a new meaning, this changes everything.
Jasmine Sandozz|At the end of the day the only thing that stays are your words. They linger while you disappear. Hanging in the air like they're on a clothesline, oh how I wish I could let them go.
Charles Saatchi|California has always led the way on environmental protection and always reaped the benefits, pioneering everything from catalytic convertors on cars to stationary source reduction.
Samar Sudha|When you feel good you want to go out into the big wide world and make a positive difference. You feel love when you feel good and you want to give that love to everyone you meet. As you go along, you find that most others want what you have and they are usually very willing students, wanting to learn what you already learned so long ago.
Sharon Kay Penman, Devil's Brood|Sometimes trials...Bring out the hard-hearted nature of a good person and make him unforgiving.And, sometimes trials...Help a socially snubbed person to live a humane life and make him appreciable!Its called TIME that exposes people truly.
Lailah Gifty Akita|Thanks be to God, who has been my very helper from the day I was born to this present moment.
Michel de Montaigne, The Complete Essays|Did I know myself less, I might perhaps venture to handle something or other to the bottom, and to be deceived in my own inability; but sprinkling here one word and there another, patterns cut from severalpieces and scattered without design and without engaging myself too far, I am not responsible for them, or obliged to keep close to my subject, without varying at my own liberty and pleasure, and giving up myself to doubt and uncertainty, and to myown governing method, ignorance.
Chris Kraus, I Love Dick|What's the matter?" you asked, seizing an idea. "Did I burst your balloon - destroy the fantasy?"I struggled for a way to answer this without my clothes.... Well his was very cruel, but loving you'd become a full-time job and I wasn't ready to be unemployed.
Jojo Moyes, One Plus One|They are full of wonder and awe and can play creatively. Sometimes they can sense things that adults often take time to perceive or know. For example, young children are able to make quick intuitive decisions about whom they will be friendly with. However, when this aspect of a child is not affirmed and noticed, it becomes hidden and repressed. As a result, young children can lose touch with a part of themselves that is already quite well developed.
Harrish Sairaman|Perceptions may not be true, but its true for YOU!
J. T. OWENS|The May sunshine makes both the trolls and the elves disappear, he thought. They burst like soap bubbles. Only human beings remain, for a little while. We are a brief song beneath the sky, laughter in the wind that ends in a sigh. Then we too are gone.
Paul Christensen, The Heretic Emperor|Remember the Morning Star,” he enjoined. But I didn’t tell him about Tegg, whose face was the starry void itself...
Charles Baxter, The Feast of Love|They all knew this, but this didn't stop them from good-naturedly crowding around the front door every time it opened, every single time, despite the fact that they were never -EVER- let into the house. I loved this particularly fine thing about dogs: Despite a lifetime of denied entrance, hope never died in their hearts.
Thomas C. Oden, Corrective Love: The Power of Communion Discipline|Sins that have been completely absolved on one occasion sometimes on other occasions cannot be completely forgotten or set aside. They may continue to have a ripple effect. But it is comforting to realize that they are no longer remembered by God, even if traces remain in human memory.
Tara Brown, A.E Watson|Shall not ILearn place and wisdom? Have I not learned this,Only so much to hate my enemy,As though he might again become my friend,And so much good to wish to do my friend,As knowing he may yet become my foe?
Wilfred Owen, The War Poems|What passing bells for these who die as cattle?Only the monstrous anger of the guns.Only the stuttering rifle's rapid rattleCan patter out their hasty orisons.No mockeries now for them; no prayers, nor bells,Nor any voice of mourning save the choirs,The shrill demented choirs of wailing shells,And bugles calling for them from sad shires.What candles may be held to speed them all?Not in the hands of boys, but in their eyes,Shall shine the holy glimmers of goodbyes.The pallor of girls' brows shall be their pall,Their flowers the tenderness of patient minds,And each, slow dusk a drawing down of blinds.
Anton Szandor LaVey, The Secret Life of a Satanist: The Authorized Biography of Anton LaVey|Once you familiarize yourself with your tools, you should forget about them. It will only throw you off-balance. In all these ‘rolling shit into little balls’ types who spend hours of time and reams of paper saying nothing, literary masturbators, they concentrate on the vehicle more than what they want to produce. That impedes the end result and defeats the purpose. You must lose consciousness of the medium or mechanics to do the impossible. Like Nijinsky who explained how he gave the impression of hovering in mid-air – ‘I just pause when I get there.’ In a child-like way, real magicians innocently do the simplest thing. The objective is all they think about. I just want to make music the way I hear it. The ends justify the means, and the means become inconsequential.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Before you were born, and were still too tiny for the human eye to see, you won the race for life from among 250 million competitors. And yet, how fast you have forgotten your strength, when your very existence is proof of your greatness.
Neymat Khan|Enough !! of the lion ruling the wild territory, time to vote the panther gentlemen.
Ahmed Mostafa|It can’t last forever. Others have thought suchthings, in bad times before this, and they were always right, they did get out one way or another, and it didn’tlast forever. Although for them it may have lasted all the forever they had.
John Buford|It was by a Maryland colonel in the year 1777 that the British received, in the gallant defense of an important fort, one of the first lessons of what they were to expect from American valor and patriotism.
Carl Sagan, Dragons of Eden: Speculations on the Evolution of Human Intelligence|We have a tendency to describe the human condition in lofty terms, such as a quest for freedom or striving for a virtuous life, but the life sciences hold a more mundane view: It’s all about security, social companionships, and a full belly. There is obvious tension between both views, which recalls that famous dinner conversation between a Russian literary critic and the writer Ivan Turgenev: 'We haven’t yet solved the problem of God,' the critic yelled, 'and you want to eat!
Leroy Hood|Valor is of no service, chance rules all, and the bravest often fall by the hands of cowards.
Aagam Shah|Secrets become harder to keep the older you get. The things you think you can suppress, those idiosyncrasies and fantasies you hope no one will ever discover, become harder and harder to hide as the years advance. Partly it is maturity-the fear of discovery grows smaller, less significant, for you learn that none of us is perfect, that human nature is flawed, that life twists and turns in all sorts of unexpected ways and it is okay to end up in a different place to where you expected.
Phillip Gary Smith, HARMONIZING: Keys to Living in the Song of Life|The present presses automatically on you. The future does not. To attend to the future requires bandwidth, which scarcity taxes. When scarcity taxes our bandwidth, we become even more focused on the here and now. We need cognitive resources to gauge future needs, and we need executive control to resist present temptations. As it taxes our bandwidth, scarcity focuses on the present, and leads us to borrow.
Lailah Gifty Akita, Think Great: Be Great!|In the light, we find the light of life.
Billy Graham, Billy Graham in Quotes|Some people have said that man has improved . . . [and] that if Christ came back today, He would not be crucified but would be given a glorious reception. Christ does come to us every day in the form of Bibles that we do not read, in the form of churches that we do not attend, in the form of human need that we pass by. I am convinced that if Christ came back today, He would be crucified more quickly than He was two thousand years ago. Sin never improves. Human nature has not changed.
Eiry Nieves, The Shadowlands|Have you ever noticed how hard it is to find a shadow in the night? I guess that’s why so many people are so obsessed with the idea of bringing things to the light…to the clear, so to speak.
Cassandra Clare|When unrequited love is the most expensive thing on the menu, sometimes you settle for the daily special.
Kate  Madison, Spilled Perfume: A Memoir|Most memoirs about alcoholism, promiscuity, and addiction are deep, sobering tales full of scars that will never heal and include alarming statistics and reflection about recovery.This is not one of those memoirs.
Barry López, About This Life|I watched the enormity of the clouds for several minutes. What I wanted to experience in the water, I realized, was how life of the reef was layered and intertwined. I now had many individual pieces at hand: named images, nouns. How were they related? What were the verbs? Which syntaxes were indigenous to the place? I asked a dozen knowledgeable people. No one was inclined to elaborate- or they didn’t know. “Did you see the octopus?” Someone shouted after the dive. Yes, I thought, but who among us knows what it was doing? What else was THERE, just then? WHY?
Tarryn Fisher|I'm afraid." Olivia to Caleb"Afraid of what?" Caleb."Of how vulnerable you make me." Olivia."I make you vulnerable because you love me. That's the price you pay for love, baby girl." Caleb.
Jill Lepore|The Constitution is ink on parchment. It is forty-four hundred words. And it is, too, the accreted set of meanings that have been made of those words, the amendments, the failed amendments, the struggles, the debates—the course of events—over more than two centuries. It is not easy, but it is everyone’s.
Aleister Crowley, Moonchild|The priestess of Artemis took hold of her almost with the violence of a lover, and whisked her away into a languid ecstasy of reverie. She communicated her own enthusiasm to the girl, and kept her mind occupied with dreams, faery-fervid, of uncharted seas of glory on which her galleon might sail, undiscovered countries of spice and sweetness, Eldorado and Utopia and the City of God.
Frances Mayes, Under Magnolia: A Southern Memoir|Going to the seaside in winter is like seeing your partner first thing in the morning. Ugly, depressing and troubled by wind.
Rebecca Goldstein, Plato at the Googleplex: Why Philosophy Won't Go Away|Every time our government chooses to use military force to bring about change in the world, it once again teaches our children the myth of redemptive violence, the myth that violence can be an instrument for good.
Chloe Sevigny|There is the expression of selfishness and there is the expression of selflessness - but economists or theoreticians never touched that part. They said: 'Go and become a philanthropist.' I said, 'No, I can do that in the business world, create a different kind of business - a business based on selflessness.'
Cara Hoffman, Be Safe I Love You|She felt tears slip from beneath her lashes, no matter how she tried to blink them back. Her heart was ablaze. It seemed that her entire life had led to this man, this moment of unexpressed love.
Jacqueline Winspear|This concept of the afterlife really functions as a substitute for wisdom. It functions as a substitute for really absorbing our predicament, which is that everyone is going to die; there are circumstances that are just catastrophically unfair; evil sometimes wins and injustice sometimes wins, and that the only justice we are going to find in the world is the justice we make.We have an ethical responsibility to absorb this, really down to the soles of our feet. And this notion of an afterlife, of how it's all going to work out and its all part of god's plan, is a way of shirking that responsibility.
Sunday Adelaja|People who live according to the world’s standard are confused, and therefore get into all kinds of trouble that leads to destruction.
Idries Shah, Reflections|None should say: 'I can trust' or 'I cannot trust' until he is a master of the option, of trusting or not trusting.
Adele          Rose, Awakening|His tricks had raised the temperature of the room considerably, although I was pretty sure his presence alone had that effect.
E. P. Thompson|I came on to the film with a very happy-go-lucky attitude which I think my character, Charlie, did when she went into the house. I expected it to be good, and then slowly things started to change for us all.
Martin Buber|Only love interests me, and I am only in contact with things that revolve around love.
John Geddes, A Familiar Rain|...Moonlight possesses no alchemy to transmute good motives to base, but it does excite love magic...
Ben Carson, Gifted Hands: The Ben Carson Story|Success is determined not by whether or not you face obstacles, but by your reaction to them. And if you look at these obstacles as a containing fence, they become your excuse for failure. If you look at them as a hurdle, each one strengthens you for the next.
Tawakkol Karman|Revenge only engenders violence, not clarity and true peace. I think liberation must come from within.
Jose Garces|Whatever that day has given, you have to make it the best of the best. That's one thing I've learned over my years. On days when you can't make everything what you want, do what you do best, make it as positive as possible, and go from there. Learn from your mistakes.
Jim George, A Husband After God's Own Heart|True biblical love is a selfless commitment of one’s body, soul, and spirit to the betterment of the other person.
Charlaine Harris, Dead to the World|The thing I never understood about love is that it can't be quelled, like lust can. With love, if you follow its call, if you give in to it, it just gets worse. The more you have, the deeper you go, the more you need.
Bertrand Russell|In sorrow we must go, but not in despair. Behold! we are not bound for ever to the circles of the world, and beyond them is more than memory.
Sanny Oropel, Snippets of Imagery|I want to do Sunday brunch. I want to make love when it’s raining. I want to kiss when I wake up. I want to hold hands and never, ever, ever, let go.I want to do all of these.I want to do all of these with you.
Dalai Lama XIV|I don't mind him not talking so much, because you can hear his voice in your heart; the same way you can hear a song in your head even if there isn't a radio playing; the same way you can hear those blackbirds flying when they're not in the sky
Sarah J. Maas, A Court of Mist and Fury|All I wanted was to return to - to the people around me. I wanted it badly enough I didn't have room for fear. The worst had happened, and the darkness was calm and quiet. It did not seem like a bad thing to fade into. But I wanted to go home.
Barbara Hurd, Stirring the Mud: On Swamps, Bogs, and Human Imagination|To love a swamp, however, is to love what is muted and marginal, what exists in the shadows, what shoulders its way out of mud and scurries along the damp edges of what is most commonly praised. And sometimes its invisibility is a blessing. Swamps and bogs are places of transition and wild growth, breeding grounds, experimental labs where organisms and ideas have the luxury of being out of the spotlight, where the imagination can mutate and mate, send tendrils into and out of the water.
A.W. Tozer|For the ethical, political activism was seductive because it seemed to offer the possibility that one could improve society, make things better, without going through the personal ordeal of rearranging one's perceptions and transforming one's self. For the unconscionable, political reactivism was seductive because it seemed to protect one's holdings and legitimize one's greed. But both sides were gazing through a kerchief of illusion.
One Direction|You don't know, oh, ohYou don't know you're beautiful.
Sunday Adelaja, The Mountain of Ignorance|When a hypocrite or a wicked leader is in power, anyone that becomes popular or stands out easily becomes a prey.
Robert L. Millet, Coming to Know Christ|Latter-day Saints have often been critical of those who emphasize salvation by grace alone, while we have often been criticised for a type of works-righteousness. The gospel is in fact a gospel covenant—a two-way promise. The Lord agrees to do for us what we could never do for ourselves—to forgive our sins, to lift our burdens, to renew our souls and re-create our nature, to raise us from the dead, and to qualify us for glory hereafter. At the same time, we promise to do what we can do: come unto Christ by covenant, commit our lives to him as Lord and Master, receive the appropriate ordinances (sacraments), love and serve one another, and do all in our power to put off the natural man and deny ourselves of un-godliness. We know, without question, that the power to save us, to change us, to renew our souls, is in Christ. True faith, however, always manifests itself in faithfulness. "When faith springs up in the heart," Brigham Young taught, "good works will, and good works will increase that pure faith within them.
Joe Jordan, Sharpen Your Life: 52 Strategic Moments to Create a Lifetime of Success|His name was Ed. His nickname was Scrambled Ed. On leaving school he had taken a year out to decide what he wanted to study at University. The year passed and he still hadn't decided but went to University anyway. 'Academic' is defined as 'of, or relating to, institutionalized education and scholarship'. The same word, at the same time, also means 'having little practical use or value, as by being overly detailed, unengaging or theoretical'. The latter definition seemed the most appropriate for Ed's university career which was a mash up of drinking, diving, surfing, kayaking and having his heart-broken. All washed down with a few pints. After three years of that he was awarded a second class joint honours degree which he put in the recycling bin and went in search of something that would make him feel better.
Staness Jonekos|No one invites you to the top - you have to claw your way up. When you get there, you will sit with the others who were also uninvited - giggling. 
Chuck Palahniuk|We're living in a teetering tower of babble. A shaky reality of words. A DNA soup for disaster. The natural world destroyed, we're left with this cluttered world of language.
