Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Ash Krafton, Bleeding Hearts|We have souls, little slices of infinity inside us, and anyone with a soul couldn’t be forgotten by God. He’d never leave behind a part of Himself.
Steve Forbes|Let us change our traditional attitude to the construction of programs. Instead of imagining that our main task is to instruct a computer what to do, let us concentrate rather on explaining to human beings what we want a computer to do.
Lailah Gifty Akita, Think Great: Be Great!|O Lord, Thy Word, revive my soul.
Kate Bolick, Spinster: Making a Life of One's Own|The ingenious person will above all strive for freedom from pain and annoyance, for tranquility and leisure, and consequently seek a quiet, modest life, as undisturbed as possible, and accordingly, after some acquaintance with so-called human beings, choose seclusion and, if in possession of a great mind, even solitude. For the more somebody has in himself, the less he needs from the outside and the less others can be to him. Therefore, intellectual distinction leads to unsociability.
Irvine Welsh, Filth|It is now, at Advent, that I am given the chance to suspend all expectation...and instead to revel in the mystery.
Anthony   North|Life is like a DVR recording. The story goes on, but you cannot see it until you fast forward through the commercials
bell hooks, We Real Cool: Black Men and Masculinity|To walk is to lack a place. It is the indefinite process of being absent and in search of a proper. The moving about that the city mutliplies and concentrates makes the city itself an immense social experience of lacking a place -- an experience that is, to be sure, broken up into countless tiny deportations (displacements and walks), compensated for by the relationships and intersections of these exoduses that intertwine and create an urban fabric, and placed under the sign of what ought to be, ultimately, the place but is only a name, the City...a universe of rented spaces haunted by a nowhere or by dreamed-of places.
Andrena Sawyer|I wanted to be JUSTICE, LOVE, and the WRATH OF GOD all in one.
Ilchi Lee, Change: Realizing Your Greatest Potential|There is much work to be done, and we are the ones privileged to do it.
Jeannette Walls, Half Broke Horses|Deus ex machina not only erases all meaning and emotion, it's an insult to the audience. Each of us knows we must choose and act, for better or worse, to determine the meaning of our lives...Deus ex machina is an insult because it is a lie.
Anna Benson|Marriage should be a duet - when one sings, the other claps.
Sierra Simone, Priest|I cared about her as a person, as a soul, and I wanted to fuck her, and that was the recipe for something much worse than carnal sin. It was a recipe for falling in love.
Kid Rock|I've been looking around, and I noticed something: how much you really need to be loved. Ambition isn't just a desperate quest for positions or money. It's just love - lots of love.
W.B. Yeats, The Wind Among the Reeds|Had I the heavens' embroidered cloths,Enwrought with golden and silver light,The blue and the dim and the dark clothsOf night and light and the half light,I would spread the cloths under your feet:But I, being poor, have only my dreams;I have spread my dreams under your feet;Tread softly because you tread on my dreams.
B.J. Daniels, Lone Rider|If he does it with you, he'll do it to you.
John M Sheehan|From a heart of stone, to a heart of flesh, love makes new what sin makes old
John Clare, Poems Chiefly from Manuscript|O I never thought that joys would run away from boys,Or that boys would change their minds and forsake such summer joys;But alack I never dreamed that the world had other toys
J.G. Ballard, Super-Cannes|Fear envelops bones like new skin,envelops blood with night’s skin,the earth moves beneath the soles of the feet -it is not your hair but the terror in your head,like long hair made of vertical nails,and what you see are not shattered streets,but rather, within you, your own crushed walls,your frustrated infinity, again the city comescrashing down: in your silence, only water’s threatis heard, and in the waterdrowned horses gallop through your death.
E.A. Bucchianeri, Brushstrokes of a Gadfly|By now, with all our modern technology, there should be no poverty left on earth.
Brian D. McLaren, A Generous Orthodoxy: Why I am a missional, evangelical, post/protestant, liberal/conservative, mystical/poetic, biblical, charismatic/contemplative, ... emergent, unfinished Christian|A true Democratic Spirit is up there with religious faith and emotional maturity and all those other top-of-the-Maslow-Pyramid-type qualities that people spend their whole lives working on. A Democratic Spirit's constituent rigor and humility and self-honesty are, in fact, so hard to maintain on certain issues that it's almost irresistibly tempting to fall in with some established dogmatic camp and to follow that camp's line on the issue and to let your position harden within the camp and become inflexible and to believe that he other camps are either evil or insane and to spend all your time and energy trying to shout over them.
Eliza Green|The shock of recognition is a moment of excitement that shakes the soul. It may be hard to describe, but like other forms of love, you will know it when you feel it
Anne Michaels|The mainland can stretch until it breaks at the weakest points, and those weaknesses are called faults. Each island represented a victory and a defeat: it had either pulled itself free or pulled too hard and found itself alone. Later, as these islands grew older, they turned their misfortune into virtue, learned to accept their cragginess, their misshapen coasts, ragged where they'd been torn. They acquired grace.
Billy Sothern, Down in New Orleans: Reflections from a Drowned City|..I met two young guys from the Oregon National Guard... The lieutenant told me about their temporary barracks in an old neighborhood high school. He told me that he was disgusted that kids ever went to school there, and that in Oregon the place would have been bulldozed and rebuilt so that kids could have a proper place to learn. He seemed troubled that all of this was happening in America. He realized that many of the problems he was seeing in New Orleans existed before the storm, and he wanted to know why people had put up with it and why they hadn't voted out of office the people who had let this happen. I told him I didn't know, but maybe we could change things in New Orleans in the future. He seemed hopeful. I felt less certain.
Jennifer Brown, Hate List|If I knew me as somebody else, I would hate me just as much. Why have a double standard?
Nancy Gibbs|At 13, I was wearing plain t-shirts. Then I used to steal my mom's clothing. She had all these crushed-velvet shirts with French-cut sleeves. And, like, seersucker bell-bottoms.
Ali ibn Abi Talib|If you know you are on the right track, if you have this inner knowledge, then nobody can turn you off... no matter what they say.
Dermot Davis, Stormy Weather|What is a life lived without passion? he asked himself. And what is passion, but a yearning of the soul for recognition and self-expression? The beauty within seeks beauty without.
Lailah Gifty Akita, Think Great: Be Great!|Shine your light, you will inspire others to radiant their inner light.
Debasish Mridha|If you cannot change your condition, change your perception.
I.M. Pei|Allowing ourselves to become pure point of view, we hang in midair over the city. What we see now is a gigantic metropolis waking up. Commuter trains of many colors move in all directions, transporting people from place to place. Each of those under transport is a human being with a different face and mind, and at the same time each is a nameless part of the collective identity. Each is simultaneously a self-contained whole and a mere part. Handling this dualism of theirs skillfully and advantageously, they perform their morning rituals with deftness and precision: brushing teeth, shaving, tying neckties, applying lipstick. They check the morning news on TV, exchange words with their families, eat, defecate.
Ravi Zacharias, The Grand Weaver: How God Shapes Us Through the Events of Our Lives|I know the difference between reality and fantasy. Those with sick fantasies who know and respect this difference are much less dangerous than those with no fantasies at all, but who can’t tell the difference between fantasy and reality.
Michael Crichton, The Lost World|Although personally, I think cyberspace means the end of our species.
Gabriella Jording|We feel through our minds, we live through our hearts, and we love through our eyes.
Burning Spear|Right-wing extremism is all about patience. That is, until it makes its move, and then it is sudden and explosive.
Gena Showalter, The Darkest Surrender|But if anyoneso much as threatened them because of what Kaiahad once done, she would turn the Slumber PartyMassacre into Blood, Bath and Beyond, adocumentary by Kaia Skyhawk.
H.G. Wells, When the Sleeper Wakes|Already he knew something of the history of the intervening years. He had heard now of the moral decay that had followed the collapse of supernatural religion in the minds of ignoble man, the decline of public honour, the ascendency of wealth. For men who had lost their belief in God had still kept their faith in property, and wealth ruled a venial world.
Henry Ford, The Edison & Ford Quote Book Edison Estate Ltd Edition|Whether you believe you can or you believe you can't, you are correct.
Francis Barel, Saving Kennedy|His lips were approaching hers, but she could not taste sin. Not yet. Not until she knew the name of this golden haired man, so her soul could sing his name for the rest of eternity.
James M. Cain, The Postman Always Rings Twice|Love, when you get fear in it, it's not love any more. It's hate.
Rebecca McNutt, Shadowed Skies: The Third Smog City Novel|Amanda, you finally decided to answer the phone,” her mom exclaimed after picking up at the first ring. “Where’ve you been, what’ve you been up to?”“Mom, do you remember when I was a kid, I had a friend, he was a Personification of the Sydney Tar Ponds, sort of my imaginary friend?” Mandy asked.“No, what in the name of god are you on about?” her mom sighed in exasperation.“Remember? Only I could see him, but he was real and he was my best friend when I was eighteen?” Mandy insisted.“No, I don't remember Alecto Sydney Steele at all,” said her mom all too quickly.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|Spring is a time to make up a big bouquet of flowers for someone you love, or are trying to love, or are in love with.
Catherine Anderson|We've determined that Ms. Hauptman is a potential threat to the public safety, and we are bringing her in as a murder suspect who has supernatural powers that make her too dangerous to be incarcerated in the usual ways.
Abria Mattina, Wake|You have a certain charm, believe it or not. That, and you feed me.
Walter Dean Myers, Darius  Twig|I need to punish her.You need her. Just her. Nothing else.Ignoring my mind’s voice, I look at my prey. She’s the reason I am the way I am.It’s all her fault.And she’s going to pay.
Cynthia Bourgeault, Love Is Stronger Than Death: The Mystical Union of Two Souls|The grandest form of delusion is misconstruing the obvious. Persons with an open, inquisitive, and intuitive mind can detect hidden clues that aggressive, narrow-minded, and impatient rationalist fail to perceive.
Rosanna Leo, Sweet Hell|Every nation is part of the history we inherit, blacks and whites, slaves and gods; we have no other option, embracing each other.
|If the journey to success and happiness was hundred miles, some people would calculate it by meters and get discouraged by the numbers they come up with.
David Rubenstein|I come from a very working-class background, so my family would have been downstairs in the past, as opposed to upstairs. People are often quite surprised to hear that, that I'm not actually posh.
Jim Corbett, The Man-Eating Leopard of Rudraprayag|Happiness begins with gratitude." ~ Dr. MaryAnn Diorio
Kristy Cambron, The Butterfly and the Violin|I was thrown together with Florence, or 'Florawns' as she was called, a pert girl of nineteen who worked in our kitchen and was sent out to help me. First, I followed her to a butcher where fat sausages hung from the ceiling like aldermen's chains, and I could choose the best of plump ducks, sides of beef, and chops standing guard like sentries on parade. Once the deal was done Florence paid him, gave me a wink and cast a trickle of coins into her apron pocket. So it seemed that serving girls will pay themselves the whole world over.The size of the Paris market made Covent Garden look like a tinker's tray. And I never before saw such neatness; the cakes arranged in pinks and yellows and greens like an embroidery, and the cheeses even prettier, some as tiny as thimbles and others great solid cartwheels. As for the King Cakes the French made for Twelfth Night, the scents of almond and caramelled sugar were to me far sweeter than any perfumed waters.
Jalaluddin Rumi, Rumi: Poems|This silence, this moment, every moment, if it’s genuinely inside you, brings what you need. There’s nothing to believe. Only when I stopped believing in myself did I come into this beauty.Sit quietly, and listen for a voice that will say, ‘Be more silent.’ Die and be quiet. Quietness is the surest sign that you’ve died. Your old life was a frantic running from silence. Move outside the tangle of fear-thinking.Live in silence.
Viktor E. Frankl, Man's Search for Meaning|[T]here are two races of men in this world, but only these two -- the "race" of the decent man and the "race" of the indecent man. Both are found everywhere; they penetrate into all groups of society. No group consists entirely of decent or indecent people.
Christina Engela, Blachart|In the process of helping others, I helped myself. In acting out of my own brokeness I became whole again. It's the kind of strength and determination you find when you have hit rock bottom and you realize you could die right now - and want to, but realize that even death won't make the difference you were hoping for.
Boris Pasternak, Doctor Zhivago|He realised, more vividly than ever before, that art had two constant, two unending preoccupations: it is always meditating upon death and it is always thereby creating life.
Louise Bourgeois|I dined with Legrandin on the terrace of his house by moonlight. "There is a charming quality, is there not," he said to me, "in this silence; for hearts that are wounded, as mine is, a novelist whom you will read in time to come asserts that there is no remedy but silence and shadow. And you see this, my boy, there comes in all our lives a time, towards which you still have far to go, when the weary eyes can endure but one kind of light, the light which a fine evening like this prepares for us in the stillroom for darkness, when the ears can listen to no music save what the moonlight breathes through the flute of silence.
Jaq D. Hawkins|We are not like you. We do not glory in having power over our own kind." Haghuf turned to walk away. Then as an afterthought added over his shoulder, "Or imagining that we do.
Auliq Ice|Knowledge inside us, is a gift that can never be returned.
Will Advise, Nothing is here...|Translating from #cat is easy - you just ignore everything, then you decide what you want it to have said, thought, or wanted.
Kate Mullane Robertson|When you can cross the highwire without falling off, you are in a state of perfect balance, perfect grace. It is the same with obedience. When you submit, submit totally, you enter that same equilibrium, surrender and grace. This is the meaning of erotic.
John Kenneth Galbraith, The Culture of Contentment|A rich person is just a poor person with a crown and elaborate clothing, and a poor person is just a rich person with a crownless head and ragged clothing.
Dean Ornish|The Internet ethos of diversity and competition runs exactly counter to uniform, gatekeeper-oriented medical culture - the technocratic philosophy of the 'one best way' embodied in our pharmaceutical regulations. On the Net, medical information is abundant, and pharmacies, domestic and foreign, operate on many different models.
Emma Rose Kraus, A Blue One|She did not care where he was or how she was going to find him, all she knew is the reward would be worth it...however, alive, kicking and raring to go would be preferable
Christopher Paolini, Eragon|He bent his gaze sternly on them. "First, let no one rule your mind or body. Take special care that your thoughts remain unfettered. One may be a free man and yet be bound tighter than a slave. Give men your ear, but not your heart. Show respect for those in power, but don't follow them blindly. Judge with logic and reason, but comment not."Consider none your superior, whatever their rank or station in life. Treat all fairly or they will seek revenge. Be careful with your money. Hold fast to your beliefs and others will listen." He continued at a slower pace, "Of the affairs of love... my only advice is to be honest. That's your most powerful took to unlock a heart or gain forgiveness. That's all I have to say." He seemed slightly self-conscious of his speech.
Tyler Cowen, An Economist Gets Lunch: New Rules for Everyday Foodies|It's all very Italian (and decidedly un-American): to insist that doing the right thing is the most pleasurable thing, and that the act of consumption might be an act of addition rather than subtraction.
Israelmore Ayivor, Leaders' Ladder|Teamwork is the best ever investment. If I make 3 and you make 5, together we will not make 8. We will make 15. Leaders build active teams.
V.S. Naipaul|...Anand, look at the back of my hands. No hair. The sign of an advanced race, boy. And look at yours. No hair either. But you never know. With some of your mother's bad blood flowing in your veins you could wake up one morning and find yourself hairy like a monkey
C. JoyBell C.|The strangest things about people, are the different ways that people feel loved. Really, it is very strange how one word can mean so many different things to so many different people. And then there are the unique ways how we feel forgotten and left behind... it's different for everyone, and if only we could believe one another's truths and see each other's stories when we look into one another's eyes... because that would make all the difference.
Richard Whately|Most men, when they think they are thinking, are merely rearranging their prejudices.
Beau Taplin|Hearts aren't handcuffs and people aren't prisons. When you feel it's time for you to leave, you leave. You neither need to wait to be released, nor ask for permission.
Dave Grohl|It's funny, in a way the actor is a writer. It's not like the two things are so separate as to be like apples and oranges. The writer and the actor are one.
Neal Shusterman, UnSouled|You should never apologize for existing, Lev. Not even to all those people out there who wish you didn't.
Raymond D. Longoria Jr.|When I pass-away (as each of us must) release a balloon into the sky with ashes attached, to celebrate my graduation... My graduation from this life to the next.
Suzanne Hayes|There is no reason for him to be in a strange land, the grim reaper holding him close, saying, "Yes, today is the day," or "No, not yet.
Marjorie M. Liu, The Iron Hunt|We're none of us quite so sure of our place in the world that we can't be rocked off our feet by bad times. It's the getting back up again that counts. Not that you fall, but getting back up again counts for more in the long run.
Oscar Wilde|I don't love Photoshop; I like imperfection. It doesn't mean ugly. I love a girl with a gap between her teeth, versus perfect white veneers. Perfection is just... boring. Perfect is what's natural or real; that is beauty.
Michel Houellebecq, Soumission|Maybe my dissertation really had been as brilliant as he claimed, the truth was I remember almost nothing about it; the intellectual leaps I made when I was young were a distant memory to me, and now I was surrounded by a kind of aura, when really my only goal in life was to do a little reading and get in bed at four in the afternoon with a carton of cigarettes and a bottle; and yet, at the same time, I had to admit, I was going to die if I kept that up – I was going to die fast, unhappy and alone. And did I really want to die fast, unhappy and alone? In the end, only kind of.
Bradley B. Dalina|Long distance relationship is like a dream,It can be SWEET,It can be SADandIt can also be a NIGHTMARE.
Michael Meade|It made leaving bearable, knowing I'd had that kind of love in my life. Knowing I'd had the best thing.
Ana Ortega|You should be aware that anywhere that a ground rod is installed, that there may be AC voltage/current/frequency in the vicinity of it.
David Bergen, Stranger: A Novel|-And what would you do if you lost a child?-I would think I was going to die, Elena said. But I wouldn't. I learned long ago that I must give up my child to the earth, to God, to the world, to death, to the possibility of death, to the possibility of disease, and in doing so I became at peace. Because I had let my child go. And in letting the child go, I became colder, more distant, and more at peace. But I still loved the child, don't be wrong. As you love your child. I am sorry.
Reid Scott|November is auspicious in so many parts of the country: the rice harvest is already in, the weather starts to cool, and the festive glow which precedes Christmas has began to brighten the landscape.
Ken Follett, The Pillars of the Earth|Aliena's brother, Richard, sometimes reminded her of her father, with a look or a gesture, and that was when she felt a surge of affection.
Eoin Colfer, The Atlantis Complex|How do I love thee? wondered Orion. "Let me see. I love thee passionately and eternally...obviously eternally-that goes without saying." Holly blinked sweat from her eyes. "Is he serious?" she called over her shoulder to Foaly. "Oh, absolutely," said the centaur "If he asks you to look for birthmarks, say no immediately." "Oh, I would never." Orion assured her. "Ladies don't look for birthmarks; that is work for jolly fellows like the Goodly Beast and myself. Ladies, like Miss Short, do enough by simply existing. They exude beauty, and that is enough." "I am not exuding anything." said Holly, through gritted teeth. Orion tapped her shoulder. "I beg to differ. You're exuding right now, a wonderful aura. It's pastel blue with little dolphins." Holly gripped the wheel tightly. "I'm going to be sick. Did he just say pastel blue?" "And dolphins, little ones," said Foaly.
Donald Worster, Under Western Skies: Nature and History in the American West|We trust ourselves, far more than our ancestors did… The root of our predicament lies in the simple fact that, though we remain a flawed and unstable species, plagued now as in the past by a thousand weaknesses, we have insisted on both unlimited freedom and unlimited power. It would now seem clear that, if we want to stop the devastation of the earth, the growing threats to our food, water, air, and fellow creatures, we must find some way to limit both.
Steven Magee, Curing Electromagnetic Hypersensitivity|A small cabin stands in the Glacier Peak Wilderness, about a hundred yards off a trail that crosses the Cascade Range. In midsummer, the cabin looked strange in the forest. It was only twelve feet square, but it rose fully two stories and then had a high and steeply peaked roof. From the ridge of the roof, moreover, a ten-foot pole stuck straight up. Tied to the top of the pole was a shovel. To hikers shedding their backpacks at the door of the cabin on a cold summer evening -- as the five of us did -- it was somewhat unnerving to look up and think of people walking around in snow perhaps thirty-five feet above, hunting for that shovel, then digging their way down to the threshold. [1971]
Amanda Lindhout, A House in the Sky|It is an obvious fact that you can never look ahead with clarity at your own future or anybody else's. You can't know what will happen until it happens. Or maybe it dawns on you the split second before, when you get a glimpse of your own fate.
Terry Pratchett, Eric|Think twice before you pull your trouser and rape a woman; she may be your mother, sister or friend, and you know the consequences that follows.
Claude Monet|Some people misunderstand evil and believe it will relent, and because their misplaced hope inspires dark hearts to dream darker dreams, they are the fathers and mothers of all wars. Evil does not relent; it must be defeated. And even when defeated, uprooted, and purified by fire, evil leaves behind a seed that will one day germinate and, in blooming, again be misunderstood.
J.L. Sheppard, Burdened By Desire|I love you, Jocelyn, and nothing, not even death, will ever keep me away from you.
Elena Kincaid, Unshattered|He held his fingers to my lips. “Shh, don’t say it, Tyler. Don’t say the words that will fucking break me. Don’t say the words that will tear my world apart.” Dean sighed and gripped his eyes shut before looking back at me again. “Don’t ask me to give up something that has always been a part of me. It will kill me, Tyler. Please. I can’t live without you.
Kresley Cole, A Hunger Like No Other|Nix had told Emma before she'd left for Europe that on this trip she would 'do that which you were born to do.' Apparently, Emma was born to get kidnapped by a deranged Lykae. Her fate sucked.
Bob Dylan|But, like Shakespeare, I too am often occupied with the pursuit of my creative endeavors and dealing with all aspects of life's mundane matters. "Who are the best musicians for these songs?" "Am I recording in the right studio?" "Is this song in the right key?" Some things never change, even in 400 years.Not once have I ever had the time to ask myself, "Are my songs literature?"So, I do thank the Swedish Academy, both for taking the time to consider that very question, and, ultimately, for providing such a wonderful answer.
Timothy J. Keller, The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God|Real love, the Bible says, instinctively desires permanence.
Itzhak Perlman|Human beings do not live in the objective world alone, nor alone in the world of social activity as ordinarily understood, but are very much at the mercy of the particular language which has become the medium of expression for their society.
Maggie Stiefvater, The Raven King|To think you could have been dreaming the cure for cancer," Blue said. "Look, Sargent," Ronan retorted, "I was gonna dream you some eye cream last night since clearly modern medicine's doing jack shit for you, but I nearly had my ass handed to me by a death snake from the fourth circle of dream hell, so you're welcome."Blue was appropriately touched. "Ah, thanks, man.""No problem, bro.
Jurgen Klinsmann|I keep up with everything in terms of health, fitness, nutrition, skin care, hair, nails. Really, everything. I'm an avid reader of every women's health newsletter from every hospital in the country.
B. H. Liddell Hart|In war, when a commander becomes so bereft of reason and perspective that he fails to understand the dependence of arms on Divine guidance, he no longer deserves victory.
Eric Micha'el Leventhal|What matters in relationship isn't how you see each other, but whether you see each other.
Carol Lee, To Die For|Because now mental health disorders have gone “mainstream”. And for all the good it’s brought people like me who have been given therapy and stuff, there’s a lot of bad it’s brought too.Because now people use the phrase OCD to describe minor personality quirks. “Oooh, I like my pens in a line, I’m so OCD.”NO YOU’RE FUCKING NOT.“Oh my God, I was so nervous about that presentation, I literally had a panic attack.”NO YOU FUCKING DIDN’T.“I’m so hormonal today. I just feel totally bipolar.”SHUT UP, YOU IGNORANT BUMFACE.Told you I got angry.These words – words like OCD and bipolar – are not words to use lightly. And yet now they’re everywhere. There are TV programmes that actually pun on them. People smile and use them, proud of themselves for learning them, like they should get a sticker or something. Not realizing that if those words are said to you by a medical health professional, as a diagnosis of something you’ll probably have for ever, they’re words you don’t appreciate being misused every single day by someone who likes to keep their house quite clean.People actually die of bipolar, you know? They jump in front of trains and tip down bottles of paracetamol and leave letters behind to their devastated families because their bullying brains just won’t let them be for five minutes and they can’t bear to live with that any more.People also die of cancer.You don’t hear people going around saying: “Oh my God, my headache is so, like, tumoury today.”Yet it’s apparently okay to make light of the language of people’s internal hell
John Paul II, Blessed Are the Pure of Heart: Catechesis on the Sermon on the Mount and Writings of St. Paul|The lust of the flesh directs these desires [of personal union], however, to satisfaction of the body, often at the cost of a real and full communion of persons.
Robert Irwin|One of the least arduous but most productive of gardening jobs, the magic of deadheading never fails to delight me. It was a revelation when the principle was explained to me: that flowers are the attempt by the plant to reproduce itself. So if you cut the heads off before the flower turns into seeds, the plant will continue to flower.
