Rand Olson, Children of Promise: The Ultimate Guide to Raising Healthy Kids|To enjoy true, vibrant health, increased awareness, effort, and focus are required.
Nicholas Kaufmann, Die and Stay Dead|Honest to God, I hadn’t meant to start a bar fight.“So. You’re the famous Jordan Amador.” The demon sitting in front of me looked like someone filled a pig bladder with rotten cottage cheese. He overflowed the bar stool with his gelatinous stomach, just barely contained by a white dress shirt and an oversized leather jacket. Acid-washed jeans clung to his stumpy legs and his boots were at least twice the size of mine. His beady black eyes started at my ankles and dragged upward, past my dark jeans, across my black turtleneck sweater, and over the grey duster around me that was two sizes too big. He finally met my gaze and snorted before continuing. “I was expecting something different. Certainly not a black girl. What’s with the name, girlie?”I shrugged. “My mother was a religious woman.”“Clearly,” the demon said, tucking a fat cigar in one corner of his mouth. He stood up and walked over to the pool table beside him where he and five of his lackeys had gathered. Each of them was over six feet tall and were all muscle where he was all fat. “I could start to examine the literary significance of your name, or I could ask what the hell you’re doing in my bar,” he said after knocking one of the balls into the left corner pocket. “Just here to ask a question, that’s all. I don’t want trouble.”Again, he snorted, but this time smoke shot from his nostrils, which made him look like an albino dragon. “My ass you don’t. This place is for fallen angels only, sweetheart. And we know your reputation.”I held up my hands in supplication. “Honest Abe. Just one question and I’m out of your hair forever.”My gaze lifted to the bald spot at the top of his head surrounded by peroxide blonde locks. “What’s left of it, anyway.”He glared at me. I smiled, batting my eyelashes. He tapped his fingers against the pool cue and then shrugged one shoulder.“Fine. What’s your question?”“Know anybody by the name of Matthias Gruber?”He didn’t even blink. “No.”“Ah. I see. Sorry to have wasted your time.”I turned around, walking back through the bar. I kept a quick, confident stride as I went, ignoring the whispers of the fallen angels in my wake. A couple called out to me, asking if I’d let them have a taste, but I didn’t spare them a glance. Instead, I headed to the ladies’ room. Thankfully, it was empty, so I whipped out my phone and dialed the first number in my Recent Call list.“Hey. He’s here. Yeah, I’m sure it’s him. They’re lousy liars when they’re drunk. Uh-huh. Okay, see you in five.”I hung up and let out a slow breath. Only a couple things left to do. I gathered my shoulder-length black hair into a high ponytail. I looped the loose curls around into a messy bun and made sure they wouldn’t tumble free if I shook my head too hard. I took the leather gloves in the pocket of my duster out and pulled them on. Then, I walked out of the bathroom and back to the front entrance.The coat-check girl gave me a second unfriendly look as I returned with my ticket stub to retrieve my things—three vials of holy water, a black rosary with the beads made of onyx and the cross made of wood, a Smith & Wesson .9mm Glock complete with a full magazine of blessed bullets and a silencer, and a worn out page of the Bible. I held out my hands for the items and she dropped them on the counter with an unapologetic, “Oops.”“Thanks,” I said with a roll of my eyes. I put the Glock back in the hip holster at my side and tucked the rest of the items in the pockets of my duster. The brunette demon crossed her arms under her hilariously oversized fake breasts and sent me a vicious sneer. “The door is that way, Seer. Don’t let it hit you on the way out.”I smiled back. “God bless you.”She let out an ugly hiss between her pearly white teeth. I blew her a kiss and walked out the door. The parking lot was packed outside now that it was half-past midnight. Demons thrived in darkness, so I wasn’t surprised. In fact, I’d been counting on it.
Samer Chidiac|In the days when I was ambitious I worked out a very pretty little plan for conquering the whole earth and rearranging things as they ought to be; and when, in the end, everything became so good it almost began to be boring, then I was going to stuff my pockets with as much money as I could lay hands on and creep away, vanish in some cosmopolis and sit at a corner cafe and drink absinthe and enjoy seeing how everything went to the devil as soon as I wasn't on the scene any more.
Loren Eiseley|At the moment of vision, the eyes see nothing.
Auliq Ice|Fear mediocrity,not failure.
Washington Irving, The Legend of Sleepy Hollow|...ducks and geese are foolish things, and must be looked after, but girls can take care of themselves.
Ashly Lorenzana|My sadness is beautiful. It infuses everything I do. It is at the core of my identity and always has been, just as happiness is in some people. I refuse to be told that it's a flaw. I will not mute it with medications for the sake of society. I will hold it close to me and celebrate it rightfully while the rest of the world fails to see it for what it is and it will be their loss.
Tamara  Allen|Juliet and Romeo die at the end,' I said.'Do they really, though?' Monroe asked. 'I didn’t know that that matters, when they sure did live. It’s as simple as this, their secret. When you love somebody, you live, and you live goddamn well.
Will Chancellor, A Brave Man Seven Storeys Tall|Moment by moment, in life's winter, life frozeEchoing a history of blues, a milestone roseFrom A Farewell A welcome
Mindi Scott, Freefall|it's a losing battle at this point,but so was the alamo
Mildred D. Taylor|White ain't nothing.'Mama's grip did not lessen. 'It is something, Cassie. White is something just like black is something. Everybody born on this Earth is something, and nobody, no matter what color is better than anybody else.''Then how come Mr. Simms don't know that.''Because he's one of those people who has to believe that white people are better than black people to make himself feel big.' I stared questionably at Mama, not really understanding.Mama squeezed my hadn't and explained further, 'You see, Cassie, many years ago, when our people were fist brought from Africa in chains to work as slaves in this country--''Like Big Ma's Papa and Mama?'Mama nodded. "Yes, baby. Like Papa Luke and Mama Rachael. Except they were born right here is Mississippi, but their grandparents were born in Africa. And when they came, there was some white people who thought that is was wrong for any people to be slaves. So the people who needed slaves to work in their fields and the people who were making money bringing slaves from Africa preached that black people weren't really people like white people were, so slavery was all right. They also said that slavery was good for us because it thought us to be good Christians, like the white people.' She sighed deeply, her voice fading into a distant whisper, 'But they didn't teach us Christianity to save our souls, but to teach us obedience. They were afraid of slave revolts and they wanted us to learn the Bible's teachings about slaves being loyal to their masters. But even teaching Christianity didn't make us stop wanting to be free and many slaves ran away.
Sara Baume, A Line Made by Walking|How I adored to draw as a child, a teen; all my life before I began to try and shape a career out of it.
David Eddings, King of the Murgos|The whole world is beautiful, Belgarion' Eriond assured him in response to that unspoken thought. 'You just have to know how to look at it
Allison Moon, Girl Sex 101|Thomas felt his spirits lift, but immediately squashed them back down. Getting his hopes up was something he’d sworn never to do again. Not until all this was over.
Richard Castle|Anything is possible.""You really believe that?""It's what the great love stories are about, right?Beating the odds.
Abhijit Naskar, Neurons of Jesus: Mind of A Teacher, Spouse & Thinker|If we ask a random orthodox religious person, what is the best religion, he or she would proudly claim his or her own religion to be the best. A Christian would say Christianity is the best, a Muslim would say Islam is the best, a Jewish would say Judaism is the best and a Hindu would say Hinduism is the best. It takes a lot of mental exercise to get rid of such biases.
Caitlín R. Kiernan, The Drowning Girl|Facing different options, you must always choose the one that makes you most uncomfortable, the one that creates a tingling feeling of excitement inside your body.
Suilan Lee, Kiss Me to Spring Time|Happiness got me two ungrateful sons, a husband who hates me, and a painful reality living as the shunned wife. If you think this happiness you’re clinging to will last, think again.
Voltaire, Micromegas|So I think that a protest,' she went on, 'like a work of dance or a work of music, is something done, at least in part, by the protestor for the protestor.'She saw I was about to interrupt so said, 'One more minute. Let me explain. Of course one hopes and plans for impact, for audience, for change, for efficacy. But, like dance, like music, a protest can be a religious ritual too, one that needn't be derisively looked down upon as magical thinking, but a spiritual act where the act itself is the goal. And that act may on some level be co-opted, but in the subjective world of the protestor it is a way, in itself, to be. Even in solipsism, the subject can be moral. You can call it hokum if you wish, but for the protestor, the protest makes a moral world in which she can abide.
Anthony Lo|Every time you feel great anger, stop and write down who or what caused your feelings and why you reacted so angrily. The goal is to get to the root of the anger. Only when you understand the source can you find a solution.
Mokokoma Mokhonoana|Some social ills are preserved by the common misbelief that things such as ignorance, greed, and stupidity do not have the stamina required to reach old age.
Alfa H|I scream out the ropes of words that bound my tongue, and the heavens echo back...'I love you'.
Thomas Goodwin, What Happens When I Pray|All that God is, will supply your need.
Shannon L. Alder|If I could be anything in this world I would be rare. So rare that the people I loved never forgot me or ever found anything to compare me to. I was never a type, but the only type--the person you couldn't throw away because you would never be able to describe the mystery of something that didn't fit this world.
Aberjhani, The Wisdom of W.E.B. Du Bois|Other personalities are created to handle new traumas, their existence usually occurring one at a time. Each has a singular purpose and is totally focused on that task. The important aspect of the mind's extreme dissociation is that each ego state is totally without knowledge of the other. Because of this, the researchers for the CIA and the Department of Defense believed they could take a personality, train him or her to be a killer and no other ego stares would be aware of the violence that was taking place. The personality running the body would be genuinely unaware of the deaths another personality was causing. Even torture could not expose the with, because the personality experiencing the torture would have no awareness of the information being sought. Earlier, such knowledge was gained from therapists working with adults who had multiple personalities. The earliest pioneers in the field, such as Dr. Ralph Alison, a psychiatrist then living in Santa Cruz, California, were helping victims of severe early childhood trauma. Because there were no protocols for treatment, the pioneers made careful notes, publishing their discoveries so other therapists would understand how to help these rare cases. By 1965, the information was fairly extensive, including the knowledge that only unusually intelligent children become multiple personalities and that sexual trauma endured by a restrained child under the age of seven is the most common way to induce hysteric dissociation.
Marya Hornbacher, Waiting: A Nonbeliever's Higher Power|When nothing else worked, we created a holistic, hand-tailored program that saved Pax's life. At Passages, he and I use what we learned in curing him to help others discover the roots of their addiction or alcoholism and break free.
Richard Dawkins, The God Delusion|There is something infantile in the presumption that somebody else (parents in the case of children, God in the case of adults) has a responsibility to give your life meaning and point. . . . The truly adult view, by contrast, is that our life is as meaningful, as full and as wonderful as we choose to make it. And we can make it very wonderful indeed.
Alan McGlashan, The Savage & Beautiful Country|When you see that earthly powers are not listening to you, that you are under siege in this city for four years and shot at without the international community doing anything to help, what should you do? Die?’ he asked me in the course of our conversation. ‘No, you pray to Heaven for help.
Alison Smith|Losing your faith in a world where God is all around you is a precarious business. When God shows his face on a daily basis to your friends and neighbors, it is, on some level, impossible to stop believing in Him. Instead i felt that God chose to exclude me from His world. Since i was the only one to lose faith, to stop hearing Christ's voice, i thought perhaps it was my fault that Roy had left us. I thought i was being punished for some unknown sin. I had learned early in my Catholic career that one could sin silently in one's heart. One could even sin without ever discovering what one had done or why it was wrong. What had i done, i asked myself, to make God disappear and take Roy with Him.
Ridley Scott|It's amazing, coconut oil. I use it as a moisturizer. I put it in my hair when I want a kind of greasy look. I take off my makeup with it. I put a little bit in my coffee. I have coconut oil with everything.
Deyth Banger|To be invisible you shouldn't exist, first of all you should make everything that you are dead... second you are invisible. If you are dead it's not possible the thought to exist!
Victor Hugo, Les Misérables|and so when I couldn't stand it no longer, I lit out. I got into my old rags and my sugar-hogshead again, and was free and satisfied.
C. JoyBell C.|Personal enlightenment within an individual is a beautiful and often shocking process. We are shocked when we see the shadows for the first time and realise these things are in us! But it is only when there is light that there can be shadows and when we see our own shadows, this is evidence of the light! Rejoice in the discovery of your own shortcomings! They are the evidences of the shining sun! And as you turn towards the sun, the shadows will be behind you.
Shelley Noble, Beach Colors|It seemed as if the longer she lived, the more was taken from her. Not gradually, as old age fell into the inevitable, but lobbed off in great chunks, the healthy branches sacrificed along with the frail.
Azar Nafisi, Things I've Been Silent About: Memories|He had learned some of the things that every man must find out for himself, and he had found out about them as one has to find out--through error and through trial, through fantasy and illusion, through falsehood and his own damn foolishness, through being mistaken and wrong and an idiot and egotistical and aspiring and hopeful and believing and confused. Each thing he learned was so simple and obvious, once he grasped it, that he wondered why he had not always known it. And what had he learned? A philosopher would not think it much, perhaps, and yet in a simple human way it was a good deal. Just by living, my making the thousand little daily choices that his whole complex of heredity, environment, and conscious thought, and deep emotion had driven him to make, and by taking the consequences, he had learned that he could not eat his cake and have it, too. He had learned that in spite of his strange body, so much off scale that it had often made him think himself a creature set apart, he was still the son and brother of all men living. He had learned that he could not devour the earth, that he must know and accept his limitations. He realized that much of his torment of the years past had been self-inflicted, and an inevitable part of growing up. And, most important of all for one who had taken so long to grow up, he thought he had learned not to be the slave of his emotions.
Lia Davis, A Mating Dance|In the next instance Graham claimed her lips in a demanding, yet gentle kiss
Junot Díaz|In my view, a writer is a writer because even when there is no hope, even when nothing you do shows any sign of promise, you keep writing anyway.
Scott Derrickson|It's probably foolish to expect relationships to go on forever and to say that because something only lasts 10 years, it's a failure.
Lene Fogelberg, Beautiful Affliction|The two had very little figured out. They were trying though. They fell in love. They looked for God. They loved constructing miracles out of the mundane. Above all things, they cheered for each other. And they made each other stronger. And that meant everything.
Nicole  Williams, Crash|Everyone was going crazy, like they’d just witnessed the birth of Jesus and the invention of electricity at the same time. Jude was a rock star, their savior, and they were paying him homage.
Louise Penny, Still Life|Bang. You’re dead.’Gamache swung around, but had recognised the voice an instant after he’d begun to turn.‘You’re a sneak, Jean Guy. I’m going to have to put a cow bell on you.’‘Not again.’ It wasn’t often he could get the drop on the chief. But Beauvoir had begun to worry. Suppose he snuck up on Gamache sometime and he had a heart attack? It would certainly take the fun out of it.
Robert Zubrin|I'm always fighting the cup-is-half-empty way of being, versus the cup-is-half-full. I'm always fighting the pessimistic versus the positive.
George Orwell, Animal Farm|All his life he tried to be a good person. Many times, however, he failed.For after all, he was only human. He wasn't a dog.
Claire Danes|Because of my faith and my imagination, I was able to enjoy my childhood, even though it was tough.
A.D. Aliwat, Alpha|...fame is something other people hand you, while success is what you define for yourself.
Giovanni Pico della Mirandola, Pico della Mirandola: Oration on the Dignity of Man|Ex ‘Fleet man?”“He was a full Commander, last I heard, sir.”“Interesting.” Falconer commented. “Get me his specs. If I have to take him aboard my ship, I want to know all about him.” She swallowed. “Yes sir.”Falconer returned his attention to Nordyke.“What’s their location?”“They’re about a week outside the Hermes system, Captain.”“Helm, set a course – best possible speed!”“Um – sir, we’re on conversion drive at the moment.” The helmsman reported.“I know, Linson – d’you think I’m senile?”“No, sir – I…” The young helmsman stammered.“I did say ‘best possible speed’, didn’t I?”“Yes, sir.
Donna Grant, Dark Alpha’s Demand|The carnal way their bodies slid against each other, the decadence of how he felt moving inside her made her blood race and her heart swell with love.	Because he was hers.	And she was his.
J.K. Rowling, Harry Potter and the Half-Blood Prince|Why are you worrying about YOU-KNOW-WHO, when you should be worrying about YOU-NO-POO? The constipation sensation that's gripping the nation!
Francis Chan, Crazy Love: Overwhelmed by a Relentless God|Frederick Buechner writes, “Intellectually we all know that we will die but we do not really know it in the sense that the knowledge becomes a part of us. We do not really know it in the sense of living as thought it were true. On the contrary, we tend to live as though our lives would go on forever.
Jay Stringer, Ways to Die in Glasgow|I wanted to make at least an effort to impress, so I found my best suit, a Primark special that looked like it had been ironed by a blind man
Richard Branson|Money is speech. It's incongruous to say a multimillionaire can spend as much on his own campaign as he wants, but you can only give $2,300. His free speech rights are different from yours, thus violating the Equal Protection Clause of the Constitution. It's absurd.
Jesmyn Ward, Salvage the Bones|If the scrapes were on the front of our knees, she would put our dirty feet in the middle of her chest to clean the wounds, and we could feel her heart beating, strong as the thud of the ground when we walked, through our soles.
Forest Whitaker|I started to travel like this at the age of 15 so for me, it's normal. Some days you get tired and you feel, 'I want to stay at home a little bit more,' but it's only the moment.
Virginia Alison|Longing, because I miss her. I miss talking to her as me. Lust greater than I've ever known, because we're like this, it's the only time she softens and changes and gives me an inch, and it's a need that's in my head just as much as my body. It keeps me on my toes.
Virgil|I'm sick to death of people saying we've made 11 albums that sounds exactly the same, Infact, we've made 12 albums that sound exactly the same.
Ljupka Cvetanova, The New Land|Children are our future. Unfortunately, we are their past.
Shirley Jump, The Christmas Baby Surprise|I made a tactical error tonight with Wyatt." She paused "Horizontally." Sara laughed. "Again?
Renee Wade|When we want a man to do something for us, we are asking for his investment and commitment- however big/small....Show our commitment first by doing something to add value to the relationship. Something he perceives as value.
H.E. Davey|Mind and body are in many ways opposite from each other, and mind and body must each act according to its own principles. Nonetheless, while the mind and body are different in disposition, they are complementary opposites that form a single whole. For us to sustain mind and body harmony, and function as whole human beings, we need to discover the actual nature of the mind’s characteristics.
A.E. Samaan|LEFTISTS EAT THEIR CHILDREN: The poets, artists, and radicals are murdered first once the "revolution" actually comes about.﻿
H. Kirk Rainer, A Once and Always Father|I shall yield a rifle of fury, loaded with the justice of time and the raging storm of my soul!
Craig D. Lounsbrough|Dream extravagantly, for God has imbued us with ample imagination to dream out to and across the very periphery of the impossible.
Patrick Ness, The New World|We are preoccupied with time. If we could learn to love space as deeply as we are now obsessed with time, we might discover a new meaning in the phrase 'to live like men.
Eric Voegelin, Autobiographical Reflections (CW34): Revised Edition, with a Voegelin Glossary and Cumulative Index|A further reason for my hatred of . . . ideologies is quite a primitive one. I have an aversion to killing people for the fun of it. What the fun is, I did not quite understand at the time, but in the intervening years the ample exploration of revolutionary consciousness has cast some light on this matter. The fun consists in gaining a pseudo-identity through asserting one's power, optimally by killing somebody—a pseudo-identity that serves as a substitute for the human self that has been lost. . . . A good example of the type of self that has to kill other people in order to regain in an Ersatzform what it has lost is the famous Saint-Juste, who says that Brutus either has to kill other people or kill himself.. . . . I have no sympathy whatsoever with such characters and have never hesitated to characterize them as "murderous swine.
Alexandre Dumas, The Count of Monte Cristo|For the happy man prayer is only a jumble of words, until the day when sorrow comes to explain to him the sublime language by means of which he speaks to God.
Nikki Rowe|I was starting to fall for him, He didn't say it but the wayHe looked at me, Told me he felt the same.
E.A. Bucchianeri, Brushstrokes of a Gadfly|While you’re singing something romantic, I can’t get the lyrics to ‘Love and Marriage’ out of my head, and that tune always reminds me of the jingle from Jeopardy.
Steven Wright|I went to a restaurant that serves "breakfast at any time" so I ordered French toast during the Renaissance.
Joyce Rachelle|She was a poetry book with the wrong dust jacket, shelved in the Reference section.
Robin Hobb, Fool's Assassin|She had come to letters late in her life, and though she had mastered them, they had never become her good friends.
Maggie Stiefvater, Forever|The kiss itself is immortal. It travels from lip to lip, century to century, from age to age. Men and women garner these kisses, offer them to others and then die in turn.
Rhonda Patton|They loved the sea. They taught themselves to sail, to navigate and read the weather. Without their mother's knowledge and long before she thought them old enough to sail outside the harbor, they were piloting their catboat all the way to the Isles of Shoals. They were on the return leg of one such excursion when the fickle weather of early spring took an abrupt turn and the sky darkened and the sun vanished and the wind came squalling off the open sea. They were a half mile from the harbor when the storm overtook them. The rain struck in a slashing torrent and the swells hove them so high they felt they might be sent flying--then dropped them into troughs so deep they could see nothing but walls of water the color of iron. They feared the sail would be ripped away. Samuel Thomas wrestled the tiller and John Roger bailed in a frenzy and both were wide-eyed with euphoric terror as time and again they were nearly capsized before at last making the harbor. When they got home and Mary Margaret saw their sodden state she scolded them for dunces and wondered aloud how they could do so well in their schooling when they didn't have sense enough to get out of the rain.
Russell D. Moore|This figure upon the Cross is not a MVD agent or a Gestapo inquisitor, but a Divine Physician, Who only asks that we bring our wounds to Him in order that He may heal them. If our sins be as scarlet, they shall be washed white as snow, and if they be as red as crimson, they shall be made white as wool. Was it not He Who told us, “I say to you, that even so there shall be more joy in Heaven upon one sinner that doth penance than upon ninety-nine just who need not penance” (Luke 15:7)? In the story of the prodigal, did He not describe the Father as saying, “Let us eat and make merry: because this my son was dead and is come to life again; was lost and is found” (Luke 15:23, 24)? Why is there more joy in Heaven for the repentant sinner than for the righteous? Because God’s attitude is not judgment but love. In judgment, one is not as joyful after doing wrong as before; but in love, there is joy because the danger and worry of losing that soul is past. He who is sick is loved more than he who is well, because he needs it more. Some will feign sickness to solicit love and pretend wounds that the beloved may bind them.
Deyth Banger|I let go of false hope. I let go of the hope that they would transform in favour of working on my own transformation. I let go of the hope that they would HEAR me. I let go of the hope that they would SEE me. Instead of my hope being in THEM, I listened to me. I heard me, I saw me, I validated my own pain and I began to emerge from the broken life I had been living.
Billy Graham, Billy Graham in Quotes|When Jesus hung on the cross, a great unseen cosmic battle raged in the heavens—and in the end, Christ triumphed over all the forces of evil and death and hell.
Shel Silverstein|I said, "I'll take the T-bone steak."A soft voice mooed, "Oh wow."And I looked up and realizedThe waitress was a cow.I cried, "Mistake--forget the the steak.I'll take the chicken then."I heard a cluck--'twas just my luckThe busboy was a hen.I said, "Okay no, fowl today.I'll have the seafood dish."Then I saw through the kitchen doorThe cook--he was a fish.I screamed, "Is there anyone workin' hereWho's an onion or a beet?No? Your're sure? Okay then friends,A salad's what I'll eat."They looked at me. "Oh,no," they said,"The owner is a cabbage head.
Thomas Paine, The Age of Reason|Though it is not a direct article of the christian system that this world that we inhabit is the whole of the habitable creation, yet it is so worked up therewith, from what is called the Mosaic account of the creation, the story of Eve and the apple, and the counterpart of that story, the death of the Son of God, that to believe otherwise, that is, to believe that God created a plurality of worlds, at least as numerous as what we call stars, renders the christian system of faith at once little and ridiculous; and scatters it in the mind like feathers in the air. The two beliefs can not be held together in the same mind; and he who thinks that be believes both, has thought but little of either....And, on the other hand, are we to suppose that every world in the boundless creation had an Eve, an apple, a serpent, and a redeemer? In this case, the person who is irreverently called the Son of God, and sometimes God himself, would have nothing else to do than to travel from world to world, in an endless succession of death, with scarcely a momentary interval of life.
Lee  Goff|Sometimes the strongest thing you will ever do will be to let go of someone. It will be painful, you will suffer guilt, and you will second-guess yourself, but for your own sanity and quality of life, there will come a time where you hand them to God, with your love, and trust Him to be who and what He is. May our Lord comfort you.
Peter Mallouk, The 5 Mistakes Every Investor Makes and How to Avoid Them: Getting Investing Right|The stock market cares about only one thing above all else: anticipated earnings. If companies make more money, their share prices eventually rise. The stock price is simply a reflection of a company's earning power. Everything else is noise.
Geoffrey Wood|Well, I totally understand why people take huge drugs. Like heroin, or cocaine. I can understand why you would want to be literally out of your own head, because being in your own head is unbearable. In fact, the reason I haven't taken drugs like that is because I know that it would be so good to be out of my own head that I wouldn't be able to stop
|Keep your mental sight fully focused on the prize ahead; so that if you happen to fall, it would motivate you to get back up and keep moving forward.
L.J. Vanier|We dream of the future, to distract ourselves from the present, in order to forget the past.Heal the past, live in the present and don’t rush to the future. Life is a journey and it will all be over before you know it.
Lundy Bancroft, Why Does He Do That?: Inside the Minds of Angry and Controlling Men|IN ONE IMPORTANT WAY, an abusive man works like a magician: His tricks largely rely on getting you to look off in the wrong direction, distracting your attention so that you won’t notice where the real action is. He draws you into focusing on the turbulent world of his feelings to keep your eyes turned away from the true cause of his abusiveness, which lies in how he thinks. He leads you into a convoluted maze, making your relationship with him a labyrinth of twists and turns. He wants you to puzzle over him, to try to figure him out, as though he were a wonderful but broken machine for which you need only to find and fix the malfunctioning parts to bring it roaring to its full potential. His desire, though he may not admit it even to himself, is that you wrack your brain in this way so that you won’t notice the patterns and logic of his behavior, the consciousness behind the craziness.
Stephen Richards, Harry's Fight: Harry Marsden - From Catholic Care Home Abuse To Gangster To Good Fellow|You might think the Bangkok Hilton (the nickname of a fictional prison in Bangkok) was tough, well that was paradise compared to this place!
I. Alan Appt, The Strength in Knowing: The Truth Beyond Our Belief Systems and a Fresh Path to Finding Love, Peace and Joy|Excerpt from "The Strength in Knowing"Doubt is the archenemy of the purity of thought and it inhibits theessence of all that is
Abhijit Naskar, Neurons of Jesus: Mind of A Teacher, Spouse & Thinker|It’s time that Christianity should be redefined by the world based upon the original teachings of Jesus, instead of the Old and New Testaments which have been interpreted, reinterpreted and distorted by all the Ecumenical Councils, i.e. the Church Councils.
Johnny Depp|Work, look for peace and calm in work: you will find it nowhere else.
Jennifer Shirk, Wedding Date for Hire|Amanda, whether you know it or not, I'm all the security you'll ever need. I would never let anyone harm a single hair on your head.
Alice Jamieson, Today I'm Alice: Nine Personalities, One Tortured Mind|One weekend it rained for 48 hours without stopping. The rain beat like bony fingers against the window panes. Tap. Tap. Tap. Tap. Tap. Fungus was growing on the walls. I polished off a bottle of gin sitting huddled over the two-bar electric fire and wrote a poem, one of the few that has lasted through the moves and the years. It is called 'Where Can I Go?'If this is not the place where tears are understood where do I go to cry? If this is not the place where my spirits can take wing where do I go to fly?If this is not the place where my feelings can be heard where do I go to speak? If this is not the place where you’ll accept me as I am where can I go to be me? If this is not the place where I can try and learn and grow where can I go to laugh and cry?
Anton Chekhov|Technically, of course, he was right. Socially, he was annoying us.
Israelmore Ayivor, 101 Keys To Everyday Passion|If you are idle, ask “why?” If you feel like life is boring for you, ask “why?” When you get into a disappointment, ask “why?” Even if you come out of all torments and disturbances, ask “why?
Gina Marinello-Sweeney, The Rose and the Sword|And if I consume another mortal’s flesh, will I like god before me, shit a million stars upon the naked, wretched sky?
Rebecca Rivard, Lir's Lady|Time slowed. He was thinking in colors and sensations now, not words. The curve of her breast. The shimmer of her skin. The way her breath caught when he touched her—there.
Delano Johnson, Love Quotes|What she'd thought was love before felt like a girlhood crush compared to the feeling now crashing over her. It sucked her under like riding whitewater rapids, spinning her around, and tossing her wildly into the air. There was no land, no balance, nothing to hold on to except Victor. In those quiet moments, he captured her loyalty and heart forever. She was done.
Sue Monk Kidd, The Dance of the Dissident Daughter|We" (your spirit guides and angels) believe in what-we-feel, you believe in how-you-feel.
Anthony Powell, A Dance to the Music of Time: 4th Movement|In any case the friendships of later life, in contrast wih those negotiated before thirty, are apt to be burdened with reservations, constraints, inhibitions.
Pope Benedict XVI|You know, I love America. It's such a positive country.
Ernest Agyemang Yeboah|Education aims at solving problems, but some educators are problems to be solved
-sanika ullalkar|We persist and linger longer than we think, leaving traces of ourselves wherever we go. If you take that away, then we all simply vanish.
Ama H. Vanniarachchy|Words are my weapons. They might kill or cure the readers, that’s out of my control.
Iyanla Vanzant|You can fool people. You can fool anybody anytime of the day, but you can't fool yourself. At night, when you go home, you've got to be straight up with you.
Marissa Mayer|Who knows what technology will emerge in the next five years, let alone 20. Yet the education we provide our children now is supposed to last for decades. We cannot train them for jobs that do not even exist yet, but we can provide them with the minds and tools they'll need to adapt to our ever-changing set of circumstances.
Graham Swift, Waterland|Look!You want to see? See! Feast your eyes, glut your soul on my cursed ugliness! Look at Erik's face! Now you know the face of the voice! You were not content to hear me, eh? You wanted to know what I looked like? Oh, you women are so inquisitive! Well, are you satisfied? I'm a good-looking fellow, eh?...When a woman has seen me, as you have, she belongs to me.She loves me forever! I am a kind of Don Juan, you know!...Look at me! I am Don Juan Triumphant! -Erik in The Phantom of the Opera
Walt Whitman|Poets to ComePOETS to come! orators, singers, musicians to come!Not to-day is to justify me, and answer what I am for;But you, a new brood, native, athletic, continental, greater than before known,Arouse! Arousefor you must justify meyou must answer.I myself but write one or two indicative words for the future,I but advance a moment, only to wheel and hurry back in the darkness.I am a man who, sauntering along, without fully stopping, turns a casual look upon you, and then averts his face,Leaving it to you to prove and define it,Expecting the main things from you.
Graham Greene, The Quiet American|Innocence always calls mutely or protection when we would be so much wise to guard ourselves against it: innocence is like a dumb leper who has lost his bell, wandering the world, meaning no harm.
Elizabeth Gilbert, Eat, Pray, Love|My death granted immortality.With one look, I knew he’d be my undoing…” Forgotten, book #1 of the Fate Trilogy
Simone Signoret|'What if?' history is a tricky game, but there is no doubt that the senior planners of D-Day - including Eisenhower and the British general Bernard Montgomery - believed that the Double Cross operation had played a pivotal role in the victory.
