Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
Cassandra Clare, Clockwork Angel|Whatever you are physically, male or female, strong or weak, ill or healthy - all those things matter less than what your heart contains. If you have the soul of a warrior, you are a warrior. Whatever the color, the shape, the design of the shade that conceals it, the flame inside the lamp remains the same. YOU are the flame. That's what I believe.
Stewart O'Nan, Songs for the Missing|She had a vision of the two of them trapped on a tiny raft surrounded by miles of open water. It would be a kind of test, like surviving on a desert island--but that's what a marriage was, wasn't it? They would have to help each other or die.
Tess Oliver, Distraction|Then I’m suddenly reminded of how I get engulfed with nightmares of Mom’s death as soon as I fall asleep. Hesitantly, I call to him, “Hey, Adrian?”“Yeah?”“Can you hold my hand the entire night?” My voice comes out as a quiet whisper.There’s a pause. I’m almost afraid to meet his eyes. Heartbeat picking up faster, his fingers interweave with mine and lace them together. I turn almost reflexively and I’m faced with his eyes—burning so green that it’s hard to look away. And for a second—one second, there is this feeling that flits in my chest, making my breath catch.Then his eyes close and I blink slowly—feeling as I’m in a dream-like trance. Then mine slide close too after a while of memorizing this moment, this moment of silent peacefulness.The gentle pressure of his hand holding mine coaxes me into sleep.This time, there’s only a soothing blankness. And we sleep just like that; backs curved together, my head folded in his chest. As we hold hands, I fall into the awaiting darkness.
Immanuel Kant, Grounding for the Metaphysics of Morals/On a Supposed Right to Lie Because of Philanthropic Concerns|Act in such a way that you treat humanity, whether in your own person or in the person of any other, never merely as a means to an end, but always at the same time as an end.
Eric Zaccone|Constantly engage, enriching your life as much as humanly possible.
Michael  Grant, Light|The days are numbered for those bums over in England."German Tank commander
Stephen Richards, The Pain You Feel Today Is The Strength You Feel Tomorrow|Pain can cause us to learn no end of lessons, but without resolution there can be no healing!
Susan Beth Pfeffer|When Victoria told me how intensely she hated me, I kept the Beretta aimed at her face, but heard myself say, "I don't hate you."She called me an effing liar and said, "Hate makes the world go around. Envy, lust and hate.""I stopped hating anyone the day when I realized hating can't restore to me anything that's lost.
George W. Bush|Balance, peace, and joy are the fruit of a successful life. It starts with recognizing your talents and finding ways to serve others by using them.
A.W. Tozer, And He Dwelt Among Us: Teachings from the Gospel of John|Jesus Christ came not to condemn you but to save you, knowing your name, knowing all about you, knowing your weight right now, knowing your age, knowing what you do, knowing where you live, knowing what you ate for supper and what you will eat for breakfast, where you will sleep tonight, how much your clothing cost, who your parents were. He knows you individually as though there were not another person in the entire world. He died for you as certainly as if you had been the only lost one. He knows the worst about you and is the One who loves you the most.  If you are out of the fold and away from God, put your name in the words of John 3:16 and say, “Lord, it is I. I’m the cause and reason why Thou didst on earth come to die.” That kind of positive, personal faith and a personal Redeemer is what saves you. If you will just rush in there, you do not have to know all the theology and all the right words. You can say, “I am the one He came to die for.” Write it down in your heart and say, “Jesus, this is me—Thee and me,” as though there were no others. Have that kind of personalized belief in a personal Lord and Savior.
Ida B. Wells|I may be smelly and I may be old, Rough in my pebbles, reedy in my pools, But where my fish float by I bless their swimming, And I like the people to bathe in me especially women.
Samuel Beckett|Songs and smells will bring you back to a moment in time more than anything else. It's amazing how much can be conjured with a few notes of a song or a solitary whiff of a room. A song you didn't even pay attention to at the time, a place that you didn't even know had a particular smell.
Innokenty Annensky, The Silver Age of Russian Culture: An Anthology|Winter is not a season, it's a celebration.
Daniel C. Dennett|Is this Tree of Life a God one could worship? Pray to? Fear? Probably not. But it did make the ivy twine and the sky so blue, so perhaps the song I love tells a truth after all. The Tree of Life is neither perfect nor infinite in space or time, but it is actual, and if it is not Anselm's "Being greater than which nothing can be conceived," it is surely a being that is greater than anything any of us will ever conceive of in detail worthy of its detail. Is something sacred? Yes, say I with Nietzsche. I could not pray to it, but I can stand in affirmation of its magnificence. This world is sacred.
Jean Cocteau, The White Paper|I suppose the artists invented the firm breasts they put on women, and that in reality all women had flabby ones.
Graham Greene, The Ministry of Fear|In five hundred years' time, to the historian writing the Decline and Fall of the British Empire, this little episode would not exist. There will be plenty of other causes. You and me and poor Jones will not even figure in a footnote. It will be all economics, politics, battles.
Ken Kesey, One Flew Over the Cuckoo's Nest|Man, when you lose your laugh you lose your footing.
Aya Ling, The Ugly Stepsister|If the Beast gave me a library like he gave to Belle, I’d marry him too.
Nader Ibrahim|Creating chaos provides excitement for some people, especially those who are uneasy with silence, those who distract themselves from their own problems by focusing outward, those who feel empty inside and need to fill themselves up with activity, and those who were raised in an environment in which harmony and peace were unknown.
James Randall Robison, God Wants You to Be Happy|They stopped next at a bookstore. "Oh, what a delicious smell of new books!" said Ellen, as they entered. "Mamma, if it wasn't for one thing, I should say I never was so happy in my life.
Cornell Woolrich, Baker's Dozen: 13 Short Mystery Novels|It was male, of course; menace is always male. ("Nightmare")
|Each day you wake up, work as if the manifestation of your dream solely depends on that day.
Germany Kent|Don't give up when dark times come. The more storms you face in life, the stronger you'll be. Hold on. Your greater is coming.
Suzy  Davies, Johari's Window|On his departure, he glanced swiftly back as he passed the furtive gaze of the gloved footmen.He was swept away in the momentum of shimmering glass....I had seen how the world turned, and I was beginning to feel my own power
Ron Paul|I believe and I say it is true Democratic feeling, that all the measures of the Government are directed to the purpose of making the rich richer and the poor poorer.
Indra Devi|Puritanism. The haunting fear that someone, somewhere, may be happy.
Vivian Gornick|As I saw myself moving ever farther toward the social margin, nothing healed me of a sore and angry heart like a walk through the city. To see in the street the fifty different ways people struggle to remain human - the variety and inventiveness of survival techniques - was to feel the pressure relieved, the overflow draining off. I felt in my nerve endings the common refusal to go under. That refusal became company. I was never less alone than alone in the crowded street. Here, I found, I could imagine myself. Here, I thought, I am buying time. What a notion: buying time.
Susane Colasanti, Take Me There|She goes on to explain about how need to not only listen to what the other person is saying but try to hear the meaning behind their words. But my thing is that if you want someone to understand what you're saying, you should say what you mean.
Ludwig Wittgenstein, Tractatus Logico-Philosophicus|Der Zweck der Philosophie ist die logische Klärung der Gedanken.Die Philosophie ist keine Lehre, sondern eine Tätigkeit.Ein philosophisches Werk besteht wesentlich aus Erläuterungen.Das Resultat der Philosophie sind nicht »philosophische Sätze«, sondern das Klarwerden von Sätzen.Die Philosophie soll die Gedanken, die sonst, gleichsam, trübe und verschwommen sind, klar machen und scharf abgrenzen.4.112The object of philosophy is the logical clarification of thoughts.Philosophy is not a theory but an activity.A philosophical work consists essentially of elucidations.The result of philosophy is not a number of "philosophical propositions", but to make propositions clear.Philosophy should make clear and delimit sharply the thoughts which otherwise are, as it were, opaque and blurred.
Rabindranath Tagore, Stray Birds|Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.
William E. Simon Jr., Great Catholic Parishes: A Living Mosiac: How Four Essential Practices Make Them Thrive|Parishes that have learned to develop a culture of continual invitation to leadership, training, and growth in responsibility for their members are predisposed to ongoing health and growth when pastor transitions occur
Bangambiki Habyarimana, Pearls Of Eternity|People speak even after their death. Only do speak those who have recorded their speech in writing before they die, the rest go silent forever
Laura Bush, Spoken from the Heart|The English language lacks the words to mourn an absence. For the loss of a parent, grandparent, spouse, child or friend, we have all manner of words and phrases, some helpful some not. Still we are conditioned to say something, even if it is only “I’m sorry for your loss.” But for an absence, for someone who was never there at all, we are wordless to capture that particular emptiness. For those who deeply want children and are denied them, those missing babies hover like silent ephemeral shadows over their lives. Who can describe the feel of a tiny hand that is never held?
Israelmore Ayivor, Shaping the dream|Don’t let your phone calls, online chats, and other trivial activities manage you. You have to manage them because they don’t have the dreams to fulfill; you have the dreams.
Willa Cather|What was any art but a mold to imprison for a moment the shining elusive element which is life itself- life hurrying past us and running away, to strong to stop, too sweet to lose.
Tyconis D. Allison Ty|It took me 25 years for me to realize who I am. Now I'm going to use the next 75 years to focus on how I want to be remembered. One quarter down, three to go!
Terry Weible Murphy|Says here there's a reward," Mr. Hooks said.Tallie blinked, then remembered Keith had added that tidbit for incentive. She opened her purse and scrutinized the contents of her slim wallet--twelve dollars and a book of stamps. She handed over the ten and the stamps, then tossed in a free drink coupon from Starbucks. "Thanks." Then she turned and fled.
Stephen King|As it happened, all three of us turned out to be real writers--a coincidence almost too large to be termed mere coincidence in a society where literally tens of thousands (maybe hundreds of thousands) of college students aspire to the writer's trade and where bare hundreds actually break through.
Fulton J. Sheen, Life of Christ|On the Races of Our Continuum:“First, you should understand that we are all The One’s children and that means we are all family. As one of my parents liked to say, “One, two, or three caudal orifices, it really doesn’t matter, for it still gets all the work done.” I like to say that we do not all look alike, but we all think alike.”The Great Siblinghood, Tymorann Alphrontex (as translated by D. J. Kenny)
Marcel Proust, Swann's Way|If your dog, your best friend turns on you, take a good look at yourself. You may have a serious personality disorder.
Sarah Ockler, Bittersweet|If I only had three words of advice, they would be, Tell the Truth. If got three more words, I'd add, all the time.
Leonard Mlodinow|The case for exploiting animals for food, clothing and entertainment often relies on our superior intelligence, language and self-awareness: the rights of the superior being trump those of the inferior.
Jay Woodman|Yesterday is history, tomorrow is a mystery, today is a gift of God, Learn from yesterday, live for today, hope for tomorrow, hope lies in dreams in imagination
F. Scott Fitzgerald, The Great Gatsby|I was within and without, simultaneously enchanted and repelled by the inexhaustible variety of life.
Patch Adams|Each person is an enigma. You're a puzzle not only to yourself but also to everyone else, and the great mystery of our time is how we penetrate this puzzle.
Wayne Dyer|Everywhere that freedom stirs, let tyrants fear.
Jaachynma N.E. Agu|The Prince is the only option to a better living. His arm is reliable and dependable. Get to Him, stay glued and remain on Top!
Tomi Lahren|We have to restore power to the family, to the neighborhood, and the community with a non-market principle, a principle of equality, of charity, of let's-take-care-of-one-another. That's the creative challenge.
Hannah Kent, Burial Rites|Poverty scrapes these homes down until they all look the same, and they all have in common the absence of things that ought to be there. I might as well have been at one place all my life.
Mark Twain, The Mysterious Stranger|A God who could make good children as easily a bad, yet preferred to make bad ones; who could have made every one of them happy, yet never made a single happy one; who made them prize their bitter life, yet stingily cut it short; who gave his angels eternal happiness unearned, yet required his other children to earn it; who gave is angels painless lives, yet cursed his other children with biting miseries and maladies of mind and body; who mouths justice, and invented hell--mouths mercy, and invented hell--mouths Golden Rules and forgiveness multiplied by seventy times seven, and invented hell; who mouths morals to other people, and has none himself; who frowns upon crimes, yet commits them all; who created man without invitation, then tries to shuffle the responsibility for man's acts upon man, instead of honorably placing it where it belongs, upon himself; and finally, with altogether divine obtuseness, invites his poor abused slave to worship him!
Arnold Henry|Your limits are somewhere up there, waiting for you to reach beyond infinity.
Richie Norton|When everyone has a microphone, you can't hear anything. Choose one voice carefully and listen in.
S.K. Logsdon, Stricken Trust|I gathered poets around me and we all wrote beautiful erotica. As we were condemned to focus only on sensuality, we had violent explosions of poetry. Writing erotica became a road to sainthood rather than to debauchery.
Mary Alice Monroe|Time can be cruel if you don’t use it wisely ~ Imani Wisdom, Zion's Road: A Love Story about Faith and Redemption.
J.M. Barrie, Peter Pan|You're more trouble than you're worth." "I'm a girl. That's my job.
Bobby Darnell|... I experienced, suddenly, that special pleasure, which bore no resemblance to any other...
Carol Rifka Brunt, Tell the Wolves I'm Home|I mean, they say you die twice. One time when you stop breathing and a second time, a bit later on, when somebody says your name for the last time.
Tim Ryan|I see all kinds of people work hard all over the world, and some of them are barely making it. I don't just mean subsistence farmers. I mean people in the developed world who work multiple jobs, and because the cost of health care and child care eats up almost all of the living they make.
Madison Thorne Grey, Magnificence|You may run from the calling, but, you will find no real peace until you fulfill your destiny.
Kamil Ali, Profound Vers-A-Tales|Being a Muslim is not a joke but a challenge. If you think it is, come and live in Pakistan where you will know about Muslims' enemies around the globe
Mya Waechtler|One word frees us of all the weight and pain of life.That word is love."(Sophocles)by Adam Harford, Duke of Harford,from the last page of "Sophie's Salvation
John Blofeld, Chinese Art of Tea|As her analyst had told her: the deeper buried the distress, the further into the body it went. The digestive system was about as far as it could go to hide.
Pearl Zhu, Digital Valley: Five Pearls of Wisdom to Make Profound Influence|Culture is collective mindsets, attitudes, and behaviors.
Queen Latifah|Once I started singing, I didn't have to try to be cool. I was just one of the coolest guys around.
Elizabeth Wein, Code Name Verity|How does she do it? She makes it sound like she is so cut up to be giving them this information, and it's all just bumph out of her head. She never told them ANYTHING. I don't think she's given them the right name of any airfield in Britain except Mainsend and Buscot, which of course were where she was stationed. They could have easily checked. It's all so close to truth, and so glib--her aircraft identification is rather good considering what a fuss she makes about it. It makes me think of the first day I met her, giving those directions in German. So cool and crisp, such authority--suddenly she really was a radio operator, a German radio operator, she was so good at faking it. Or when I told her to be Jamie, how she just suddenly turned into Jamie.This confession of hers is rotten with error...
Ray Bradbury, Fahrenheit 451|But you can't make people listen. They have to come round in their own time, wondering what happened and why the world blew up around them. It can't last.
Dada Bhagwan|Where there is asakti [infatuation], there accusations cannot refrain from happening. That is indeed the nature of asakti [infatuation].
Donna Grant, Dawn's Desire|What would you say, Jane, if I told you the Dragon Kings had the ability to rule the world?""I don't know.""What if I told you they once ruled the world? What would you say then?"She shrugged... "I'd say you're a half bubble off plumb.
Julian Assange, Cypherpunks: Freedom and the Future of the Internet|Is that all, sir? Only we've got stuff to finish before our knocking-off time, you see, and if we stay late we have to make more money to pay our overtime, and if the lads is a bit tired we ends up earning the money faster'n we can make it, which leads to a bit of what I can only call a conundrum—""You mean that if you do overtime you have to do more overtime to pay for it?" said Moist, still pondering how illogical logical thinking can be if a big enough committee is doing it."That's right, sir," said Shady. "And down that road madness lies.""It's a very short road," said Moist, nodding.
Oscar Hammerstein II|Then a calm fell upon him. The gushing began from all sorts of places, all over his body. He heard pleasurable little giggles on the outer edges of his mind, in the dark creases behind his thoughts. He felt good, better than he’d felt in years. As if he were inside a huge embrace. And he felt as if he had finally reached the right place, his home, his motherland.
Nora Roberts, The Villa|Kelsey laughed and the sound moved through him, made the hairs on his arms stand up, made hisheart beat faster
Patti Roberts|A dead body is much more fascinating than a live one, and I have learned that most corpses tell better stories.
Shannon Hale, Book of a Thousand Days|Maybe I got a few words wrong, but that's so near how the conversation went, I'm going to call it truth.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Harness the power of today. Seize the blessings of today! Make something happen, enhance your life, make someone laugh, help a friend, love, love, love!
Lawrence Wright, Going Clear: Scientology, Hollywood, and the Prison of Belief|VERY EARLY ONE MORNING in July 1977, the FBI, having been tipped off about Operation Snow White, carried out raids on Scientology offices in Los Angeles and Washington, DC, carting off nearly fifty thousand documents. One of the files was titled “Operation Freakout.” It concerned the treatment of Paulette Cooper, the journalist who had published an exposé of Scientology, The Scandal of Scientology, six years earlier. After having been indicted for perjury and making bomb threats against Scientology, Cooper had gone into a deep depression. She stopped eating. At one point, she weighed just eighty-three pounds. She considered suicide. Finally, she persuaded a doctor to give her sodium pentothal, or “truth serum,” and question her under the anesthesia. The government was sufficiently impressed that the prosecutor dropped the case against her, but her reputation was ruined, she was broke, and her health was uncertain. The day after the FBI raid on the Scientology headquarters, Cooper was flying back from Africa, on assignment for a travel magazine, when she read a story in the International Herald Tribune about the raid. One of the files the federal agents discovered was titled “Operation Freakout.” The goal of the operation was to get Cooper “incarcerated in a mental institution or jail.
Kelly Lynch|At once I feel that comedy is this amazing sort of transcendent thing, and I'm also open to the fact that maybe it's just an evolutionary hiccup, something that upright apes do in their free time.
Kurt Cobain|Music is energy. A mood, atmosphere. Feeling.
Deborah Grace Staley, What The Heart Wants|A curiosity . . . no, a need for a different kind of communion. One with people not of the mountain, but rather the outsiders of the Ridge. She couldn’t explain the call of Angel Ridge. Women before her, like her mother, had experienced the same longing, had tried to assimilate with the people below the mountain and had been cruelly rejected, returning to the mountain to live a singular existence.
Richard Luckhurst|And Jabim is the Lord of broken things, who sitteth behind the house to lament the things that are cast away. And there he sitteth lamenting the broken things until the worlds be ended, or until someone cometh to mend the broken things. Or sometimes he sitteth by the river's edge to lament the forgotten things that drift upon it.A kindly god is Jabim, whose heart is sore if anything be lost.
Virginia Woolf, To the Lighthouse|We have no reason to harbor any mistrust against our world, for it is not against us. If it has terrors, they are our terrors; if it has abysses, these abysses belong to us; if there are dangers, we must try to love them. And if only we arrange our life in accordance with the principle which tells us that we must always trust in the difficult, then what now appears to us as the most alien will become our most intimate and trusted experience.
Sal Albanese|These rules may seem simple enough, but it will require great morale and physical courage to adhere to them. But if carried out in the strict sense of the word it will surely lead to a greater success than could otherwise be attained.
Vignesh. S|Be Brave. Remember, life is a gift.
Deyth Banger|People should be courage to read books, it should be made in such way how I changed my opinion how James Patterson did it. It should be done a way in which people should se the advantages of reading a book.
Susan Bischoff, Heroes 'Til Curfew|You know, you guys have been dancing around each other for so long you could cut the sexual tension with a knife. It's a wonder you didn't rip each other's clothes off the minute you got over yourselves and got together.""For crissakes, Heather.
Thomas à Kempis, The Imitation of Christ|Wherever you go, there you are.
Samuel Johnson|The use of travelling is to regulate imagination by reality, and instead of thinking how things may be, to see them as they are.
Neal Shusterman, Red Rider's Hood|It's funny how three or four notes of anger can be struck at once, creating the perfect chord of fury.
Maya Angelou|Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.
Patrick Major Dallas OR|Ah! good Sir! no Whores before Dinner, I beseech
Veronica Roth, Allegiant|I used to think that when people fell in love, they just landed where they landed, and they had no choice in the matter afterward. And maybe that’s true of beginnings, but it’s not true of this, now.I fell in love with him. But I don’t just stay with him by default as if there’s no one else available to me. I stay with him because I choose to, every day that I wake up, every day that we fight or lie to each other or disappoint each other. I choose him over and over again, and he chooses me.
Herbert Simon|Denial is an essential part of my existence. Without it, I am nothing.
Elias Zapple, Jellybean the Dragon| 'Mallory,' he used to say, 'When a woman who can break you in half tells you that you're hers, you nod and agree.' 
Gustave Flaubert|An author in his book must be like God in the universe, present everywhere and visible nowhere.
Tamara L. Chilver|My Top Ten Reasons for Homeschooling: (10) Birthdays become school holidays. I love celebrations!(9) I always get to be the chaperone on field trips. Lucky me.(8) I can sleep in on rainy mornings. (Okay, I wrote that before my last two babies were born- no more sleeping in for Mom now.)(7) My pajamas are sometimes my work uniform until noon. Shhh!(6) The teacher-student ratio can’t be beat!(5) I can kiss the school principal in the faculty lounge. ♥(4) Integrating God in our school lessons is always encouraged.(3) I do not have to stay up late at night helping my children study for tests and complete homework assignments.(2) I have the opportunity to instill the love of learning.(1) I am the recipient of hugs and kisses all day long.
Thich Nhat Hanh, Peace Is Every Step: The Path of Mindfulness in Everyday Life|Western civilization places so much emphasis on the idea of hope that we sacrifice the present moment. Hope is for the future. It cannot help us discover joy, peace, or enlightenment in the present moment.
Yasmine Galenorn, Blood Wyne|Weave the circle, tightly sewn,Let nothing evil or unknownEnter within. Stay withoutOn pain of death, we cast you out.
Nikki Sixx|People compose poetry, novels, sitcoms - for love.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Whether it is in a sales situation, love at first sight, a husband and wife having an important conversation, a parent disciplining a child, or a teacher instructing her students, eye contact is a powerful body language for enriching engagement, focus, and communication.
Ankur sood|We all have our patchwork ideas of India, our notions and opinions and prejudices–often fallacious and absurd–of this enormous, disparate country, which, as I take pleasure in reminding newcomers, bigger in population than all but its own continent: Asia. It is a place onto which foreigners have projected their own exotic fantasies and fears, their explanatory and simplifying schemata. And they never seem quite to make up their minds–as they swing from one extreme to the other–whether this country is of great wealth or of appalling poverty, of spiritual renunciation or of unabashed materialism, of fasting or of gluttony, of erotic sophistication or of sexual puritanism, of corruption or of moral superiority. They probably fail to admit that it might be all these things, and even more so, everything in between.
Stefan Sagmeister|If nothing else, the act of reaching a milestone often serves to reveal a superstar's true nature.
Matshona Dhliwayo|If you were able to fall a hundred times as a child and rise, you are able to fall a thousand times as a grown up and soar.
Matshona Dhliwayo|Be like the sun; bear with those in the dark, but keep shining your light.
Gioconda Belli, The Country Under My Skin: A Memoir of Love and War|To possess possessions, a man will "sell himself" to have what another has, but it never dawns on him ~ that the more he gets, the less he keeps of himself.
Thomas Jefferson|Only government can take perfectly good paper, cover it with perfectly good ink and make the combination worthless.
Anna Lyndsey, Girl in the Dark|My love has saved me. It wraps strong arms around me when I cry with despair;it gives me the routine of a working week to lend vicarious structure to my shapeless days. It brings me daily laughter, a reason to keep washing...and it slices me open with guilt.
Mark Wahlberg|I like second chances. I've given people second chances. You have fall-outs with friends, and forgiveness is a great thing to have. It's not easy to forgive. I definitely don't forget, but I do forgive.
Kevin Hart|My kid will come home from seeing the latest 'Transformers' movie, and I'll ask him, 'How was it?' 'Amazing!' 'What was it about?' 'I don't know, but it was amazing!'
B.C. Chase|It is a more rational belief that man may become a brute than that a brute may become a man; and it is an easier faith that plants and animals may dwindle down into an elemental atom, than that this atom should embrace in its organization, and evolve, all the noble forms of vegetable, animal, and intellectual life.
Vasily Grossman, Forever Flowing|I used to think freedom was freedom of speech, freedom of the press, freedom of conscience. But freedom is the whole life of everyone. Here is what it amounts to: you have to have the right to sow what you wish to, to make shoes or coats, to bake into bread the flour ground from the grain you have sown, and to sell it or not sell it as you wish; for the lathe operator, the steelworker, and the artist it’s a matter of being able to live as you wish and work as you wish and not as they order you to. And in our country there is no freedom – not for those who write books nor for those who sow grain nor for those who make shoes.” (Grossman, p. 99) He noted that “In people’s day-to-day struggle to live, in the extreme efforts workers put forth to earn an extra ruble through moonlighting, in the collective farmers’ battle for bread and potatoes as the one and only fruit of their labor, he [Ivan Grigoryevich] could sense more than the desire to live better, to fill one’s children’s stomachs and to clothe them. In the battle for the right to make shoes, to knit sweaters, in the struggle to plant what one wished, was manifested the natural, indestructible striving toward freedom inherent in human nature. He had seen this very same struggle in the people in camp. Freedom, it seemed, was immortal on both sides of the barbed wire.” (Grossman, p. 110)
Bayard Rustin|I don't especially like to travel, not the way many people do. I know many people that love to go to far-off and different places, and I've never been like that. I seem to get homesick as quickly as a child.
Charles Lyell, Principles of Geology, Volume 3|In the last four days I have got the (results) given by Tantalum, Chromium, Manganese, Iron , Nickel, Cobalt and Copper ... The chief result is that ... the result for any metal (is) quite easy to guess from the results for the others. This shews that the insides of all the atoms are very much alike, and from these results it will be possible to find out something of what the insides are made up of.
Ade Santi|For sense gratification, a man in the mode of passion wants some honor in society, or in the nation, and he wants to have a happy family, with nice children, wife and house. These are the products of the mode of passion. As long as one is hankering after these things, he has to work very hard. Therefore it is clearly stated here that he becomes associated with the fruits of his activities and thus becomes bound by such activities. In order to please his wife, children and society and to keep up his prestige, one has to work. Therefore the whole material world is more or less in the mode of passion.
Brendan Behan|Above all else, deep in my soul, I'm a tough Irishwoman.
Paul Auster|You should never let a word control you, intimidate you, or make you uncomfortable, and that applies to people of all races. Intent is where insult lies, and hate. Not in language.
Therese Anne Fowler, Z: A Novel of Zelda Fitzgerald|Weaving spiders, come not here, Hence, you long legged spinners, hence! Beetles black, approach not here, worm nor snail, do no offense.
Barbara Kingsolver, The Poisonwood Bible|What,” came a deep male voice, “is this?”Silence froze, her hand still outstretched, clutching a damp, dirty cloth. Oh, dear Lord. Slowly she raised her eyes and found herself face-to-thighs with Mickey O’Connor’s extremely tight breeches.
Elise Boulding|Frugality is one of the most beautiful and joyful words in the English language, and yet one that we are culturally cut off from understanding and enjoying. The consumption society has made us feel that happiness lies in having things, and has failed to teach us the happiness of not having things.
Aleister Crowley, Diary of a Drug Fiend|We are so afraid of the idea of having to die… that we always try to find excuses for the dead, as if we were asking beforehand to be excused when it is our turn…
Iris Murdoch, The Nice and the Good|There are mysterious agencies of the human mind which, like roving gases, travel the world, causing pain and mutilation, without their owners having any full awareness, or even any awareness at all, of the strength and the whereabouts of these exhalations... So it is that we can be terrors to each other, and people in lonely rooms suffer humiliation and even damage because of others in whose consciousness perhaps they scarcely figure at all.
John H. Groberg, The Other Side of Heaven|There is a connection between heaven and earth. Finding that connection gives meaning to everything, including death. Missing it makes everything meaningless, including life. 
Albert Camus, The Myth of Sisyphus and Other Essays|Creating is living doubly. The groping, anxious quest of a Proust, his meticulous collecting of flowers, of wallpapers, and of anxieties, signifies nothing else.
Robert B. Parker, Mortal Stakes|America, it has been observed, is not really a melting pot. It is actually a huge potluck dinner, in which platters of roasted chicken beckon beside casseroles of pasta, mounds of tortillas, stew pots of gumbo, and skillets filled with pilafs of every imaginable color.
Vivian Gornick, The Situation and the Story: The Art of Personal Narrative|In Edmund Gosse, Agnes Smedley, Geoffrey Wolff, we have a set of memoirists whose work records a steadily changing idea of the emergent self. But for each of them a flash of insight illuminating that idea grew out of the struggle to clarify one's own formative experience; and in each case the strength and beauty of the writing lie in the power of concentration with which this insight is pursued, and made to become the the writer's organizing principle. That principle at work is what makes a memoir literature rather than testament.
Mehmet Murat ildan|I love you, Esmeralda,” he said.“I love you, too,” she whispered back, and he couldn’t help smiling. At least he would die with those words in his ears.
Ayn Rand|My philosophy, in essence, is the concept of man as a heroic being, with his own happiness as the moral purpose of his life, with productive achievement as his noblest activity, and reason as his only absolute.
Neil Gaiman|In the shower today I tried to think about the best advice I'd ever been given by another writer. There was something that someone said at my first Milford, about using style as a covering, but sooner or later you would have to walk naked down the street, that was useful...And then I remembered. It was Harlan Ellison about a decade ago.He said, "Hey. Gaiman. What's with the stubble? Every time I see you, you're stubbly. What is it? Some kind of English fashion statement?""Not really.""Well? Don't they have razors in England for Chrissakes?""If you must know, I don't like shaving because I have a really tough beard and sensitive skin. So by the time I've finished shaving I've usually scraped my face a bit. So I do it as little as possible.""Oh." He paused. "I've got that too. What you do is, you rub your stubble with hair conditioner. Leave it a couple of minutes, then wash it off. Then shave normally. Makes it really easy to shave. No scraping."I tried it. It works like a charm. Best advice from a writer I've ever received.
Laurie Foxx|Give a man a beer, the remote and a La-Z-Boy and he’s a happy camper! All Things Caveman humor cartoon book will help you understand that hairy guy beside you.
Sunday Adelaja|People of vision must not be lazy, they must not be afraid of work, no matter how degrading the work might seem
