Thomas Huxley|I'm not broke. Like everybody else, I owe money.
John Carpenter|I said, "I want to wear something funny and cool. Marjorie, could I wear your sparkly baseball hat?"The three of us looked at Marjorie.Now I remember thinking that her answer could change everything back to the way it was; Dad could find a job and stop praying all the time and Mom could be happy and call Marjorie shellfish again and show us funny videos she found on YouTube, and we all could eat more than just spaghetti at dinner and, most important, Marjorie could be normal again. Everything would be okay if Marjorie would only say yes to me wearing the sparkly sequined baseball hat, the one she'd made in art class a few years ago.The longer we watched Marjorie and waited for her response, the more the temperature in the room dropped and I knew that nothing would ever be the same again.She stopped twisting her spaghetti around her fingers. She opened her mouth, and vomit slowly oozed out onto her spaghetti plate.Dad: "Jesus!"Mom: "Honey, are you okay?" She jumped out of her seat and went over to Marjorie, stood behind her, and held her hair up.Marjorie didn't react to either parent, and she didn't make any sounds. She wasn't retching or convulsing involuntarily like one normally does when throwing up. It just poured out of her as though her mouth was an opened faucet. The vomit was as green as spring grass, and the masticated pasta looked weirdly dry, with a consistency of mashed-up dog food.She watched Dad the whole time as the vomit filled her plate, some of it slopping over the edges and onto the table. When she finished she wiped her mouth on her sleeve. "No, Merry. You can't wear my hat." She didn't sound like herself. Her voice was lower, adult, and growly. "You might get something on it. I don't want you to mess it up." She laughed.Dad: "Marjorie..."Marjorie coughed and vomited more onto her too-full plate. "You can't wear the hat because you're going to die someday." She found a new voice, this one treacly baby-talk. "I don't want dead things wearing my very special hat.
Cristela Alonzo|The Viennese wash everything. Where else in the world does the government hire public servants to wash public telephone booths and the glass over traffic lights? Every time I see someone doing these things, I smile like a child.
Matshona Dhliwayo|A bird will only fall from the sky when it stops believing in its ability to fly, and a fish will only drown in water when it stops believing in its ability to swim.
Ellen J. Barrier|Money can buy some things to create happiness, but it can never buy happiness.
Lena Dunham, Not That Kind of Girl: A Young Woman Tells You What She's "Learned"|The way I saw it, I was fully capable of being treated with indifference that bordered on disdain while maintaining a strong sense of self-respect. I obeyed his commands, sure that I could fulfill this role while still protecting the sacred place inside of me that I knew deserved more. Different. Better.But that isn't how it works.
Ludwig von Mises, Economic Freedom and Interventionism|The social function of economic science consists precisely in developing soundeconomic theories and in exploding the fallacies of vicious reasoning. In the pursuit ofthis task the economist incurs the deadly enmity of all mountebanks and charlatanswhose shortcuts to an earthly paradise he debunks. The less these quacks are able toadvance plausible objections to an economist’s argument, the more furiously do theyinsult them.
Stephanie Witter, Six Years|Though in fairness, before tonight she wouldn't have known exactly how to classify them. Sorta childhood friends through her brother, turned business rivals who had absolutely incendiary chemistry when they let it loose, which was almost never. Yeah, that wasn't unclear at all... Sarcasm. Kady's second-favorite —asm.
Mary Queen|And this is where I'll end, before I know what happens next.
Henry Mosquera, Sleeper's Run|Some things are just like riding a bicycle; you jump on, pedal, and hope you don’t fall.
Jessica Atef|Where there is darkness, there is light and light from the darkness shall shine once again. At every moment in our lives we walk into a dark tunnel but at the end of that dark tunnel there is a path of light, we just have to tell ourselves to keep on walking until we reach the end of the dark tunnel towards the light. Then once we have reach the light, we must always remember where we came from and don't you ever change who you are. Always Hope. Faint is what keeps us strong.
Anthony L.S.|The strangest things in life, are often closer to reality, than reality would like to admit.
Voltaire, Micromegas and Other Short Fictions|The only part of evolution in which any considerable interest is felt is evolution applied to man. A hypothesis in regard to the rocks and plant life does not affect the philosophy upon which one's life is built. Evolution applied to fish, birds and beasts would not materially affect man's view of his own responsibilities except as the acceptance of an unsupported hypothesis as to these would be used to support a similar hypothesis as to man. The evolution that is harmful—distinctly so—is the evolution that destroys man's family tree as taught by the Bible and makes him a descendant of the lower forms of life. This ... is a very vital matter.
Auliq Ice|Life, is a chess game you win or loose, but just keep playing.
L.J. Smith, The Awakening|A few fires flickered, plumes of dark smoke marring the ruby sky.
Dave Shepp|Don’t walk through life stifling your authenticity, suppressing your uniqueness, hiding your truth out of fear of what others may think. Being someone other than you are only hampers your wellbeing and also wastes a whole lot of your energy.
Marie Coulson, Bound Together|I thought about how love was always the thing that did that - smashed into you, left you raw. The deeper you loved, the deeper it hurt.
Tessa Emily Hall, Purple Moon|It's hard to explain your passions, but sometimes it is harder to live them.
Pierre Corneille|I think when the full horror of being fifty hits you, you should stay home and have a good cry.
Eudora Welty, On Writing|Art, though, is never the voice of a country; it is an even more precious thing, the voice of the individual, doing its best to speak, not comfort of any sort, but truth. And the art that speaks it most unmistakably, most directly, most variously, most fully, is fiction; in particular, the novel.
Darrel Ray, Sex & God: How Religion Distorts Sexuality|Celibacy is nothing if not abnormal. The human body and brain are not made for such programming. Whatever normal is, it does not include celibacy.
David Schweikert|I came out of the Soviet Union no longer a communist, because I believed in personal freedom.
Emily Brontë|No coward soul is mine,No trembler in the world's storm-troubled sphere:I see heaven's glories shine,And faith shines equal, arming me from fear
Brian Josephson|As a child I always steered clear of science fiction, but in the autumn of 1977, the bow-wave of publicity for the first 'Star Wars' movie had already reached me, so I was eager for anything science-fictional.
Craig D. Lounsbrough|Contrary to popular opinion, we are all a vast brotherhood of human beings whose very survival hinges not on what we keep, but on what we give. And it is in the giving that we not only survive to live another day, but we thrive to celebrate another day.
Stephen Chbosky, The Perks of Being a Wallflower|If you have a hobby, you be happy.
M.I.A.|Anything you cannot relinquish when it has outlived its usefulness possesses you, and in this materialistic age a great many of us are possessed by our possessions.
Mark  Jackman, There's Something About Dying|Eagles, buffalos and deserts vast, it’s no good living in the fucking past.
Mensah Oteh|Don’t try to get even with those who wrong you, get ahead.
Katie McGarry, Red at Night|But then again, I shouldn't judge. That is, after all, my pet peeve.
Anamika Mishra|Let me show you how beautiful life is,Let me take away all your pain;Let me rekindle your faith in love,Let me make you believe in magic again!
Ainslie Hogarth, The Lonely|Is it that I can have fun, or i know not what it is that`s fun?
Cheryl Sterling, What Do You Say to a Naked Elf?|Charlie touched her face gently with long, tanned fingers. “Sometimes I don’t know half of what you say, but I’m damn glad I get to hear it.”“I bet you say that to all the mortals,” she joked, then winced as the pain shot through her again.“You’ve been hurt,” he said, as if noticing for the first time all the blood and gore and exposed body goo.“Yeah, but it only hurts when I laugh.”“Then don’t laugh,” he murmured, finishing the old routine as if he’d been born into Vaudeville. His hands gently probed the edges of the gash.
Tom Robbins, Skinny Legs and All|Whenever a state or an individual cited 'insufficient funds' as an excuse for neglecting this important thing or that, it was indicative of the extent to which reality had been distorted by the abstract lens of wealth. During periods of so-called economic depression, for example, societies suffered for want of all manner of essential goods, yet investigation almost invariably disclosed that there were plenty of goods available. Plenty of coal in the ground, corn in the fields, wool on the sheep. What was missing was not materials but an abstract unit of measurement called 'money.' It was akin to a starving woman with a sweet tooth lamenting that she couldn't bake a cake because she didn't have any ounces. She had butter, flour, eggs, milk, and sugar, she just didn't have any ounces, any pinches, any pints. The loony legacy of money was that the arithmetic by which things were measured had become more valuable than the things themselves.
Sara Nelson, So Many Books, So Little Time: A Year of Passionate Reading|Allowing yourself to stop reading a book - at page 25, 50, or even, less frequently, a few chapters from the end - is a rite of passage in a reader's life, the literary equivalent of a bar mitzvah or a communion, the moment at which you look at yourself and announce: Today I am an adult. I can make my own decisions.
Neil Postman|He watched the desert slip under the airship's nose, and the land roughened into highlands over which he had traveled at great cost, in great pain - dreamlike, such speed, looking down on a world where time moved more slowly, where realities were different and immediate and he had learned for a time to live.
Stephanie Lahart|Don’t ruin your life over somebody else’s foolishness. If they want to leave, let them leave! Manipulating, begging, or coercing someone to stay with you is an insult to SELF. Have confidence in yourself! Know your worth! Take a stand for YOU. You deserve to be loved, respected, and appreciated by someone who’s genuinely in love with you. It may hurt to let go, but trying to force someone to stay with you is more damaging than you realize. It’s VERY unhealthy. Set Yourself Free! Be a Priority to Yourself!
R.K. Lilley, Grounded|Oh fuck, he was right there. I was wet as hell and he could probably smell me now. I should have eaten strawberries or melon or a dozen roses or an entire mint plant. Did that work for women? I read an article that it worked for men. Their spunk tasted like what they ate. Did my vagina taste like spaghetti right now? God dammit! I shouldn't have eaten dinner!
Dietrich Bonhoeffer, The Cost of Discipleship|Fruit is always the miraculous, the created; it is never the result of willing, but always a growth. The fruit of the Spirit is a gift of God, and only He can produce it. They who bear it know as little about it as the tree knows of its fruit. They know only the power of Him on whom their life depends
Christopher Pike, The Last Vampire|For feeling, not events, is to me the essence of history.
Kiera Cass, The Elite|America: Land of the free and home of the gun. We are not brave, we are cowards, or we would have done something, anything after Newtown. Instead we did Nothing.
Angela Carter, Burning Your Boats: The Collected Short Stories|One day you're something, so promising and full o' dares, so big the world's too small a place to hold you. Then, 'fore you know it, you're old, and you realise all them things you had in mind you'll never get to. All them doors you felt too big to fit through have already shut. Only one left open and it leads to nothing but nothing.
Tiesto|I was a super-duper Tupac fan, and I realized later, when I became a huge Nas fan and a huge Eminem fan, I was drawn to the storytellers. They all told stories in different ways, but they were all like the best storytellers.
Fennel Hudson, Wild Carp - Fennel's Journal - No. 4|In the meantime, I’ll get a job. I’ll pay my own way.” “A job?” “Mmm, yeah. It’s that thing people do to make money.
Robin Sacredfire|Ask the person who found you about what kind of people she was looking for before meeting you, as she may not know that she has found one of them already.
Philip Yancey|Trust him not with your secrets, who, when left alone in your room, turns over your papers.
Deyth Banger|The Words 2012, one world is ruin and one new world is build. One twisted pictures, one couple which loved each other... just their relationship dies... And another person just steal somebody's life and then he finds the truth...
Dominique Wilson, The Yellow Papers|The night of the fireworks changed the course of many lives in England, though no one suspected the dark future as hundreds of courtiers stared, faces upturned in delight, at the starbursts of crimson, green, and gold that lit up the terraces, gardens, and pleasure grounds of Rosethorn House, the country home of Richard, Baron Thornleigh. That night, no one was more proud to belong to the baron’s family than his eighteen-year-old ward, Justine Thornleigh; she had no idea that she would soon cause a deadly division in the family and ignite a struggle between two queens. Yet she was already, innocently, on a divergent path, for as Lord and Lady Thornleigh and their multitude of guests watched the dazzle of fireworks honoring the spring visit of Queen Elizabeth, Justine was hurrying away from the public gaiety. Someone had asked to meet her in private.
Christine Grey, Whisper|Dearra felt a blush on her cheeks as she responded. "It's not something I wish to repeat. Let's just say that all men seem to have one thing in common - they are all remarkably protective of their... swords. " Neither girl spoke further, but each wore a wicked grin on her face that would have sent Tebreh running in horror.
Harry S Truman|I have always believed that technology should do the hard work - discovery, organization, communication - so users can do what makes them happiest: living and loving, not messing with annoying computers! That means making our products work together seamlessly.
Lisa Kleypas, A Wallflower Christmas|The letter had been crumpled up and tossed onto the grate. It had burned all around the edges, so the names at the top and bottom had gone up in smoke. But there was enough of the bold black scrawl to reveal that it had indeed been a love letter. And as Hannah read the singed and half-destroyed parchment, she was forced to turn away to hide the trembling of her
Debasish Mridha|Don't appreciate me, I'm not up to it. Don't criticize me, I don't deserve it. Just be my friend and forgive me, because I am craving for it.
Nora Roberts, The Pagan Stone|Hawaii once had a rat problem. Then, somebody hit upon a brilliant solution. import mongooses from India. Mongooses would kill the rats. It worked. Mongooses did kill the rats. Mongooses also killed chickens, young pigs, birds, cats, dogs, and small children. There have been reports of mongooses attacking motorbikes, power lawn mowers, golf carts, and James Michener. in Hawaii now, there are as many mongooses as there once were rats. Hawaii had traded its rat problem for a mongoose problem. Hawaii was determined nothing like that would ever happen again.How could Leigh-Cheri draw for Gulietta the appropriate analogy between Hawaii's rodents and society at large? Society had a crime problem. It hired cops to attack crime. Now society has a cop problem.
Charles Dickens, David Copperfield|If you wanted to create an education environment that was directly opposed to what the brain was good at doing, you probably would design something like a classroom. If you wanted to create a business environment that was directly opposed to what the brain was good at doing, you probably would design something like a cubicle. And if you wanted to change things, you might have to tear down both and start over.
Elizabeth Chandler, Summer in the City|Words are precious things meant to create, to imagine, to dream with.
Denis Johnson, The Name of the World|With a certain frustration I knew I spoke too soon, too urgently. I wanted to get out of the way the things I knew to say, wanted to say, the things I'd been thinking, all in the hope of moving into the unforeseen.
Harriet Beecher Stowe, Uncle Tom's Cabin|Then, somehow, I got caught up in one of Kevin's World War II books - a book of excerpts from the recollections of concentration camp survivors. Stories of beatings, starvation, filth, disease, torture, every possible degradation. As though the Germans had been trying to do in only a few years what the Americans had worked at for nearly two hundred. ... Like the Nazis, antebellum whites had known quite a bit about torture - quite a bit more than I ever wanted to learn.
Naomi Wolf, The Beauty Myth|We need to insist on making culture out of our desire: making paintings, novels, plays and films potent and seductive and authentic enough to undermine and overwhelm the Iron Maiden.
Barbara O'Connor, Wish|On the line beside Describe your family, I wrote, "Bad."What is your favorite subject in school? "None."List three of your favorite activities. "Soccer, ballet, and fighting."Two of those favorite activities were lies but one of them was the truth.I am fond of fighting.
Elisabeth Kubler-Ross|Death comes to all, but great achievements build a monument which shall endure until the sun grows cold.
Reay Tannahill, The Seventh Son|Aaron reached into his jacket pocket and took out his Bible, a gift from his father, Captain Benjamin K. Matthews, on the the day he had ridden off to war. Aaron opened to the Psalms, intending to read, but his eyes were heavy and closed against his will. O death, where is thy sting? Pastor Blackwell had told him that death had no power over him, but he sure felt that sting now. O grave, where is thy victory? How much longer would it be? Just four miles from home. Would Mama ever know?Shiloh, the place of peace. Good ground to die on. Holy ground.
Susan Sontag, Illness as Metaphor & AIDS and Its Metaphors|Some say you have only one shot in life, well if you get ammo, you can reload.
Barry Lyga, The Astonishing Adventures of Fanboy and Goth Girl|The best revenge is living well, my dad told me once.
RJ Cyler|Audiences like me doing action and comedy. I am a jovial person and have been so from childhood. I like to laugh my way through my work, and that attitude reflects in my roles. Even women hate me doing rona-dhona roles. So I don't do emotional films.
Anaïs Nin|But my faith seems naive, at least today. Maybe tomorrow I can believe again.
Ayn Rand, Atlas Shrugged|A man's attraction towards a woman is propelled by his innate feelings, while a woman is more sort of involved in a mental game, an impossible preposition of sorts, its like playing soccer in a cricket ground!
Jeannette Walls, Half Broke Horses|I was naked and he had more possessions than he could use all at once. I was the proletarian, he was the capitalist, and my relations to him were reduced to the basic proposition of all revolutions: die, I want what you have. It was the first time in my life I'd taken an interest in politics.
Sam Crescent, Ugly|You want something enough that you’re going to hurt, then you stay, and keep it.
Katie Reus, Running from the Past|She made him want to lose control, something he never did. She also made him want things he'd never imagined for his own life, like a family and someone to come home to every night.
Ruta Sepetys, Out of the Easy|Jo, they have a baby grand piano, but no one in the family plays. They have shelves of books they've never read, and the tension between the couples was so thick it nearly choked us.""Let me tell you something 'bout those rich Uptown folk," said Cokie. "They got everything that money can buy, their bank accounts are fat, but they ain't happy. They ain't ever gone be happy. You know why? They soul broke. And money can't fix that, no sir. My friend Bix was poor. Lord, he had to blow that trumpet ten hours a day just to put a little taste in the pot. Died poor, too. You saw him, Jo, with that plate on his chest. But that man wasn't soul broke.
Karen Maitland, Company of Liars|Who are you?" the woman said at last."Lyra Silver—""No, where d'you come from? What are you? How do you know things like this?" Wearily Lyra sighed; she had forgotten how roundabout Scholars could be. It was difficult to tell them the truth when a lie would have been so much easier for them to understand.
John Vaillant, The Tiger: A True Story of Vengeance and Survival|They forget that we, too, have earned the right to live! So I say if we are going to die, my friend, let us die trying, not sitting.
Monica Furlong, Wise Child|We're on the border of this world, speaking a common language. That's all.
Juliet Hopkins|These were not people you could disagree with. If you disagreed, you were wrong."Juliet Hopkins, Tavistock Institute, as quoted in Relationships and how They Shape Our Capacity to Love By Robert Karen
Steven Wright|When humor works, it works because it's clarifying what people already feel. It has to come from someplace real.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|To be successful, one has to be one of three bees - the queen bee, the hardest working bee, or the bee that does not fit in. One success is inherited, and the the next one is earned. While the last one is self-sought, self-served, and happens on its own terms.
Latika Teotia|Dream big and dream of a beautiful world where the sun always shines; where everyone sports a smile; where sorrow doesn’t come knocking on any one’s door; where there is plenty of love and where time stands still to watch you enjoy life.Dream of a peaceful world, a world where children retain their innocence and are not violated even before they bloom; where love exists in its true form and breakups are never heard of; where families grow instead of shrinking; where loneliness doesn’t exist and old age is spent enjoying the fruits of love that you sowed.Dream of a world where unselfishness and selflessness rule the roost; where we are not divided on the basis of colour or creed, instead we treat each other with love and respect; where there is equality in everything and the line between the haves and have not's doesn’t exist. Such a world will bring Heaven on Earth.Fly out on the wings of imagination to build such a world and let not even the sky be your limit.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Hate when hate acquaints the burns,Love when love heals it!
Wogu Donald|No one woke up one morning out of the blue and just outright, fully loved themselves. It takes active effort. It takes active presence. You must learn to be more self-aware. You need to find things to be grateful for about yourself. You need to practice that love. Start small, but do it every day. Write it down if it helps. Keep growing the list of self-appreciation and love. Learn to look into the mirror and love the person looking back at you. Find that self-acceptance. Accept yourself not in perfection, but in love. Love the fallible and frail human you are. Develop self-love. If you want to have a successful and happy life you need to learn to become your own friend. You must foster and nurture the relationship you have with yourself. Out of all the people in your life, the one you will be with the longest is yourself. I can't stress enough how important it is to learn to love yourself. Practice it every day.
Ufuoma Apoki|The truth, when finally revealed, is sticky like wet dough. The majority of it stays in place as one handles it, but pieces break off and adhere, making certain facts seem larger, more portentous, than others.
Salman Rushdie, The Enchantress of Florence|This may be the curse of the human race, not that we are so different from one another, but that we are so alike.
Hermann Hesse|And was it not perhaps more childlike and human to lead a Goldmund-life, more courageous, more noble perhaps in the end to abandon oneself to the cruel stream of reality, to chaos, to commit sins and accept their bitter consequences rather than live a clean life with washed hands outside the world, laying out a lonely harmonious thought-garden, strolling sinlessly among one's sheltered flower beds. Perhaps it was harder, braver and nobler to wander through forests and along the highways with torn shoes, to suffer sun and rain, hunger and need, to play with the joys of the senses and pay for them with suffering. At any rate, Goldmund had shown him that a man destined for high things can dip into the lowest depths of the bloody, drunken chaos of life, and soil himself with much dust and blood, without becoming small and common, without killing the divine spark within himself, that he can err through the thickest darkness without extinguishing the divine light and the creative force inside the shrine of his soul.
Peter Baynham|I got my first instrument for Christmas when I was three or four years old. My parents got me a mandolin because it was the only instrument that would fit me because I was so small. I went straight from that into the drums when I was six, and then I started playing guitar when I was seven or eight.
Haruki Murakami, Norwegian Wood|Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. 
Frederick Buechner, A Room Called Remember: Uncollected Pieces|From the essay on Love, in which he describes as a wilderness experience his daily visits with his wife to a hospital 3,000 miles from home in a strange city, where someone he loves is in danger of dying. “When the worst finally happens, or almost happens, a kind of peace comes. I had passed beyond grief, beyond terror, all but beyond hope, and it was thee, in that wilderness, that for the first time in my life I caught sight of something of what it must be like to love God truly. It was only a glimpse, but it was like stumbling on fresh water in the desert, like remembering something so huge and extraordinary that my memory had been unable to contain it. Though God was nowhere to be clearly seen, nowhere to be clearly heard, I had to be near him—even in the elevator riding up to her floor, even walking down the corridor to the one door among all those doors that had her name taped on it. I loved him because there was nothing else left. I loved him because he seemed to have made himself as helpless in his might as I was in my helplessness. I loved him not so much in spite of there being nothing in it for me but almost because there was nothing in it for me. For the first time in my life, there in that wilderness, I caught a glimpse of what it must be like to love God truly, for his own sake, to love him no matter what. If I loved him with less than all my heart, soul, and will, I loved him with at least as much of them as I had left for loving anything…I did not love God, God knows, because I was some sort of saint or hero. I did not love him because I suddenly saw the light (there was almost no light at all) or because I hoped by loving him to persuade him to heal the young woman I loved. I loved him because I couldn’t help myself. I loved him because the one who commands us to love is the one who also empowers us to love, as there in the wilderness of that dark and terrible time I was, through no doing of my own, empowered to love him at least a little, at least enough to survive. And in the midst of it, these small things happened that were as big as heaven and earth because through them a hope beyond hopelessness happened. “O Israel, hope in the Lord from this time forth and for evermore.”…The final secret, I think, is this: that the words “You shall love the Lord your God” become in the end less a command than a promise.
Jose Andres|Becoming a mom forced me to re-prioritize and make room for the things that are most important, while recognizing that there are things I can let go of, and the world won't crumble around me.
Herbert M. Shelton, Getting Well|There are many things to resist, but disease is not one of them.
Jandy Nelson, The Sky Is Everywhere|That's a misconception, Lennie. The sky is everywhere, it begins at your feet.
Miguel de Cervantes Saavedra, Don Quixote|Sometimes when a father has an ugly, loutish son, the love he bears him so blindfolds his eyes that he does not see his defects, or, rather, takes them for gifts and charms of mind and body, and talks of them to his friends as wit and grace. I, however—for though I pass for the father, I am but the stepfather to "Don Quixote"—have no desire to go with the current of custom, or to implore thee, dearest reader, almost with tears in my eyes, as others do, to pardon or excuse the defects thou wilt perceive in this child of mine. Thou art neither its kinsman nor its friend, thy soul is thine own and thy will as free as any man's, whate'er he be, thou art in thine own house and master of it as much as the king of his taxes and thou knowest the common saying, "Under my cloak I kill the king;" all which exempts and frees thee from every consideration and obligation, and thou canst say what thou wilt of the story without fear of being abused for any ill or rewarded for any good thou mayest say of it.
Ana Ortega|Some say that "there is no such thing as free lunch". And, I ask, why not? The joy of giving without expecting anything in return from a particular source is simply magic.
Hilary Boyd, Thursdays in the Park|Sixty is heaven," she [bohemian Aunt Norma] told Jeanie as they sat having tea. "The world is done with you, you become to all intents and purposes invisible, particularly if you are a woman. I like to think of it as your third life. There's childhood, then adult conformity - work, family, responsibility - then just when everyone assumes it's all over and you're on the scrap heap of old age, freedom! You can finally be who you are, not what society wants you to be, not who 'you' think you ought to be.
Greg Rucka, Star Wars: Guardians of the Whills|For the light to exist, there must be the dark. For the Force, there must be balance.
P.G. Wodehouse, My Man Jeeves|I love children, especially when they cry, for then someone takes them away.
Ida B. Wells|I'm just kind of taking a break now and enjoying the freedom of making my own choices. When you're on a television show for six years, they run your schedule.
Osho, Bliss: Living beyond happiness and misery|How can I know these trees, how can I know you, how can I know the other if I myself am unknown to me, if I am myself ignorant; when I do not know who I am.
Jennifer Jason Leigh|It was less in pity than in anger that the world was moved by the photograph of little Alan Kurdi, that dead three-year-old Syrian refugee boy whose name we're all remembering now on the first anniversary of his drowning, along with his five-year-old brother Galip and their mother Rehanna.
Stephanie Lahart|Most females are dissatisfied with how they look and battle with countless insecurities, not realizing that you look most beautiful when you think you don’t. I wish that women and girls all over the world knew just how uniquely beautiful that we ALL are. Loving yourself for who YOU are is empowering! There’s great freedom in being unbothered by other people’s opinion of you.
Tatjana Soli, The Lotus Eaters|Although it may be unused, the front door continues to appeal to our sense arrival. Call it the ceremony of coming home.
Bessel A. van der Kolk|He looks at me. His face is dotted with raindrops but I think there are tears too. 'I love her. I always have. You know that.' 'And me?'And I known he means how I feel about him and me kissing him.'You're my friend, Gabriel.''Do you kiss all your friends like that?' But he asks it without the harshness of his other questions. It's a real question.'Just you.
Rebecca Harding Davis|I think there's a supreme power behind the whole thing, an intelligence. Look at all of the instincts of nature, both animals and plants, the very ingenious ways they survive. If you cut yourself, you don't have to think about it.
David Nicholls|Aboard the gondola, Giacomo Foscarini sat facing Mathias. They were crossing the Canal Grande, then they would navigate around San Marco and return. Foscarini loved to travel around Venice this way. They stopped briefly at a mooring near the bridge to the Rialto, and Foscarini had a servant fetch green olives, fresh Piacenza cheese, a few sausages from Modena, and wine that had just been delivered from Crete. The nobleman often dined aboard his gondola, looking out over the city, watching his world. "Seen from this vantage point, Venice doesn't seem like it's in any of its terrible troubles at all magister," said Foscarini.
Rabindranath Tagore, The Home and the World|His love for me seemed to overflow my limits by its flood of wealth and service. But my necessity was more for giving than foe receiving; for love is a vagabond, who can make his flowers bloom in the wayside dust, better than in the crystal jars kept in the drawing-room.
Amit Kalantri, Wealth of Words|If the farmer is rich, then so is the nation.
