Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
Nicholas Sparks, Three Weeks With My Brother|The lessons my parents taught are still with me. I keep a tighter leash when raising my kids than my parents did, but I often find myself doing or saying the same things they did. My mom, for instance, was always cheerful when coming in from work; I try to behave the same way when I finish writing for the day. My dad would listen intently when I came to him with a problem, to help me find a way to solve it on my own; I try to do the same with my own kids. At night, while I'm tucking my kids in bed, I ask them to tell me three nice things that each of their siblings did for them that day, in the hopes that it will help them grow as close as Micah, Dana, and I did. And more frequently than I ever would have imagined possible growing up, I find myself telling my children "It's your life", or "No one ever promised that life would be fair", and "What you want and what you get are usually two entirely different things".
Sarah Ban Breathnach|Let me encourage you to get up every day and focus on what you do have in life. Be thankful for the blessings of the little things, even when you don't get what you expect.
C.S. Lewis, An Experiment in Criticism|Allan Emmanuelle Karlsson closed his eyes and felt perfectly convinced that he would now pass away for ever. It had been exciting, the entire journey, but nothing lasts for ever, except possibly general stupidity.
Jana Oliver, Forgiven|At the first kiss I felt something melt inside me that hurt in an exquisite way. All my longings, all my dreams and sweet anguish, All the secrets that slept deep within me came awake, Everything was transformed and enchanted, everything made sense.
Teresa L. DeCicco, PhD|Awareness is a great neutralizer of negative emotions." Living Beyond the Five Senses
Rebecca Stead, Goodbye Stranger|His dad said if you did something wrong to someone in public, you ought to admit it in public, too.
Steve Backley, The Champion in all of Us: 12 Rules for Success|If not you, who?
Lailah Gifty Akita|There is no greater poverty, than poverty of the mind.
Patricia Briggs, Blood Bound|The quality of mercy is not strain'd,It droppeth as the gentle rain from heavenUpon the place beneath: it is twice blest;It blesseth him that gives and him that takes:'Tis mightiest in the mightiest: it becomesThe throned monarch better than his crown;His sceptre shows the force of temporal power,The attribute to awe and majesty,Wherein doth sit the dread and fear of kings;But mercy is above this sceptred sway;It is enthroned in the hearts of kings,It is an attribute to God himself;And earthly power doth then show likest God'sWhen mercy seasons justice.
Alexander McCall Smith, The Woman Who Walked in Sunshine|It shall be an offence for any man, either a husband or other person of the male sex, married or otherwise, being over the age of twelve years, to throw any item of clothing having been worn by the said person for whatever length of time, upon the floor of any bathroom or any room adjacent to and connected to a bathroom, without good cause.
M.  Clarke|Maybe you should just take it off up in my room and I can help you get dry.” He leaned in, his full lips right on my ear. “Or make you wetter.
Percy Bysshe Shelley, A Defence of Poetry and Other Essays|A man, to be greatly good, must imagine intensely and comprehensively; he must put himself in the place of another and many others; the pains and pleasures of his species must become his own. The great instrument of moral good is the imagination.
Brunonia Barry, The Fifth Petal|Tell me what you want, and I'll tell you who you think you are. Tell me what you fear, and I'll tell you who you really are.
Julie Garwood, The Ideal Man|I long for your embrace, your warmth, and your gentleness. I crave your touch. Your body, your mind, your words move me. I fear I am not capable of expressing the depth of my emotion, for I have never known such a feeling and never will again. As much as I have striven to remain detached, my heart and my soul belong to you, now and forever.
Dagobert D. Runes, A Dictionary of Thought|Despite every advancement, language remains the defining nexus of our humanity; it is where our knowledge and hope lie. It is the precondition of human tenderness, mightier than the sword but also infinitely more subtle and ultimately more urgent.
Lidiya K., This Moment|if a make up, is a fake face, than why dress to impress?
Donna Lynn Hope|We start our sometimes tedious, sometimes exciting, often times sad and stressful march to the grave the moment we're born, so it might as well be a march worth remembering.
L.A. Casey, Alec|The one kiss that was stolen, was given in a lie.
Chris Rock|You know, some people say life is short and that you could get hit by a bus at any moment and that you have to live each day like it's your last. Bullshit. Life is long. You're probably not gonna get hit by a bus. And you're gonna have to live with the choices you make for the next fifty years.
Kevin Hooyman, Conditions on the Ground|Creative people, as I see them, are distinguished by the fact that they can live with anxiety, even though a high price may be paid in terms of insecurity, sensitivity, and defenselessness for the gift of the “divine madness,” to borrow the term used by the classical Greeks. They do not run away from non-being, but by encountering and wrestling with it, force it to produce being. They knock on silence for an answering music; they pursue meaninglessness until they can force it to mean.
William J. Bennett, From a World at War to the Triumph of Freedom 1914-1989|Don’t be insecure about aiming to be a small business. Anyone who runs a business that’s sustainable and profitable, whether it’s big or small, should be
Mary Balogh, The Proposal|Even through the dulling effects of the pill, he wanted to be rid of his itching brain, his ignited skin, the flesh beneath, to in some way become so ethereal and Unbound to the earth that he could unsee, disavow, disavow
Gretchen Rubin|I kind of imagine myself at eighty, a cat lady.
Azim Premji|Russia would prefer to rebuild trust rather than allow it to further corrode. That's why, in July 2007, President Putin, in the spirit of strategic openness, proposed a truly collective effort at missile defense for Europe.
Catherine Lacey, Nobody Is Ever Missing|For there is no joy in continuity, in the perpetual. We desire it only because the present is empty. A person who is trying to eat money is always hungry. When someone says, "Time to stop now!" he is in a panic because he has had nothing to eat yet, and wants more and more time to go on eating money, ever hopeful of satisfaction around the corner. We do not really want continuity, but rather a present experience of total happiness. The thought of wanting such an experience to go on and on is a result of being self-conscious in the experience, and thus incompletely aware of it. So long as there is the feeling of an "I" having this experience, the moment is not all. Eternal life is realized when the last trace of difference between "I" and "now" has vanished - when there is just this "now" and nothing else.By contrast, hell or "everlasting damnation" is not the everlastingness of time going on forever, but of the unbroken circle, the continuity and frustration of going round and round in pursuit of something which can never be attained. Hell is the fatuity, the everlasting impossibility, of self-love, self-consciousness, and seld-possession. It is trying to see one´s own eyes, hear one´s own ears, and kiss one´s own lips.
Oliver Bowden, Assassin's Creed: The Secret Crusade|These bits of paper are covered with lies. They poison your minds. And so long as they exist, you cannot hope to see the world as it truly is.(...)You turn to them for answers and salvation. (...) You rely more upon them than upon yourselves. This makes you weak and stupid. You trust in words. Drops of ink. Do you ever stop to think of who put them there? Or why? No. You simply accept their words without question. And what if those words speak falsely, as they often do? This is dangerous.
Ransom Riggs, Miss Peregrine’s Home for Peculiar Children|If I never went home, what exactly would I be missing? I pictured my cold cavernous house, my friendless town full of bad memories, the utterly unremarkable life that had been mapped out for me. It had never once occurred to me, I realized, to refuse it.
Blaise Pascal, Pensées|Capitalists grow wealth. Socialists redistribute wealth.... but population grows, so the Socialist population control kicks in in the form of eugenics.
Jackie Evancho|I feel quite sad for the young musicians coming up because they may never get to pay their rent properly. It doesn't matter what the genre; nowadays, it's so much harder than it ever was.
Diane Lynn McGyver|A radiant glow enveloped Alaura. Soft eruptions of various shades of effervescent green danced in the air and frolicked in the locks of her dark blonde hair. Whispers of yellows and blues revealed themselves near the skin, kissing the air with each leap.
Isaac Asimov, Foundation|Gabby, I told you I'd give you space, but I never said I wouldn't fill your space with flowers. Brad
J.D. Robb|That's science fiction shit," "It's only fiction until science catches up.
Pablo Picasso|People rely too much on their lifelong instincts. Their perception is divided by necessary obedience, which they themselves have become too weak to liberate themselves from. I'd let the Devil read me the bible, before I trusted the Words of God or the Mind of Man.
Bert McCoy|Stop digging up the past, lay down your shovel, the past is dead.
Tor Udall, A Thousand Paper Birds|It doesn't matter where she looks, there are always the beautiful imperfections of a marriage.
Charlotte Eriksson, Empty Roads & Broken Bottles; in search for The Great Perhaps|Sometimes, reaching out and taking someone's hand is the beginning of a journey.At other times, it is allowing another to take yours.
Laini Taylor, Lips Touch: Three Times|He didn't believe in magic and demons. He believed in day and night, endurance and fury, cold mud and loneliness and the speed with which blood leaves the body
Pessoa, Fernando|The history of Kurdistan doesn’t just tell us why it hasn’t become independent so far. It also helps to make the case for Kurdistan’s independence. It is a desire founded, not just on some passing modern whim in that direction, or on spurious claims to natural and obvious borders, but on a sustained historical focus and desire by its people, on pre-existing promises, on the need for protection from the kind of atrocities that have historically been perpetrated against the Kurds, and on the rather artificial way in which Kurdistan has been denied its existence in the past.
Rachel Caine, Glass Houses|Vampires are fond of their games. But the games that They play are different than the variants that I'm familiar with. The rules were made to be bent, broken, shattered—and somebody always gets hurt.Always.
Megan Rich, Six Years of A Floating Life: A Memoir|And still, still, there is more to describe- we paint because drawing breath is an agony and exhaling an ecstasy and somewhere in the space in-between 	 we think we once found a truth; and the eternal part of us desires  to share this truth at all costsonly it's never quite how we pictured it,  and it's never quite received the way we wantand the paint drips with our own blood the handles of our brushes are our own bonesour own tears become the words to our most beautiful love songs and we know we'll never get it right before we die-getting up every morning and facing our own limited truth is a courage so divine  most men quell and women stay enslaved in silence.
Robert Louis Stevenson, Essays of Robert Louis Stevenson|I kept always two books in my pocket, one to read, one to write in. As I walked, my mind was busy fitting what I saw with appropriate words; when I sat by the roadside, I would either read or a pencil and a penny version-book would be in my hand, to note the features of the scene or commemorate some halting stanzas. Thus I lived with words.
Ramana Pemmaraju|Until now psychologists only factored in emotional and physical gratification while studying subjects, but believe me I'm coining a new term: VIRTUAL GRATIFICATION, which will become a new form of craving in near future. Watch On!
Hannah Brencher, If You Find This Letter: My Journey to Find Purpose Through Hundreds of Letters to Strangers|And I didn't think you believed in god or a heaven.''Having been here thirty-four days,' I tell him, 'I've changed my mind, Sydney.''Why's that then?' he smiles.'Well, if there's a hell like this place, then there has to be heaven somewhere.
Tyler Perry|Everybody's got skeletons in the closets. Every once in a while, you've got to open up the closet and the let the skeletons breathe. Half the time, the very thing you think is gonna destroy you or ruin you is the very thing that nobody cares about. My advice to people with skeletons is to dust them off every now and then-- as long as your closet's aint full of them. It's not good to have more than two or three.
Stephen Richards, The Pain You Feel Today Is The Strength You Feel Tomorrow|In an unforgiving world, chaos rules.
T.H. White, The Sword in the Stone|Perhaps he does not want to be friends with you until he knows what you are like. With owls, it is never easy-come-easy-go.
Denis Waitley|In fact, I argue that the future of advertising, whatever the technology, will be to associate each brand with one word. This is one word equity. It's the modern equivalent of having the best site on the high street, except the location is in the mind.
Greg Mortenson, Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time|Once you educate the boys, they tend to leave the villages and go search for work in the cities, but the girls stay home, become leaders in the community, and pass on what they’ve learned. If you really want to change a culture, to empower women, improve basic hygiene and health care, and fight high rates of infant mortality, the answer is to educate girls.
Kristin Cashore, Graceling|A monster that refused, sometimes, to behave like a monster. When a monster stopped behaving like a monster, did it stop being a monster? Did it become something else?
Abhijit Naskar, Human Making is Our Mission: A Treatise on Parenting|Let your children nourish their knack, for that knack shall one day provide them with the way to live with dignity and contentment.
Mark Hanna|I think you have to be much more secure and much less angry to trust the simple. You've got to be in a pretty good place to trust those simple, obvious answers and, most important, to use them.
Arthur Slade|Walt Disney had a nuclear imagination before the advent of nuclear, some comprehension of apocalypse and rapture deep in his genes.
Fulton J. Sheen, Seven Words of Jesus and Mary: Lessons from Cana and Calvary|The egocentric is always frustrated, simply because the condition of self-perfection is self-surrender. There must be a willingness to die to the lower part of self, before there can be a birth to the nobler.
Nell Carter|9/11 revealed that those about to die do not seem afraid or plead for forgiveness for their sins, if they think about them at all. They all have one thing in mind - those they love - and they all do the same thing: They call them up - spouses, family or friends - to tell them they love them.
Kym Grosso, Kade's Dark Embrace|Hot. I’ve been upgraded to hot.No one has ever called me hot. Cute? Yes. Adorable? yes, often and it makes me want to punch them. I didn’t know short girls could even be hot. I thought I’d been permanently relegated to elfin-pixie-child status.
Sally Brampton, Shoot the Damn Dog: A Memoir of Depression|Some things you jes' know Doll, and that's one I'd bet the farm on.
Latif Mercado|The battles may last for a long time, perhaps even years. There are powerful forces on both sides, and the war is important to both armies. It's not a battle of good against evil. It's a war between forces that are fighting for the balance of power, and, when that type of battle begins, it lasts longer than others-because Allah is on both sides.
Adele          Rose, Shattered|Man I’m hot,” I exclaimed, fanning myself. The combination of climbing out of the cave and the sun meant that I was perspiring like crazy. “Why thank you,” retorted Blaine, smirking. “I’m pleased that my presence causes that kind of reaction.
Edward Weston|If you believe that feeling bad or worrying long enough will change a past or future event, then you are residing on another planet with a different reality system.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|It feels good to have parents, but it feels even better to not have an evil one.
Savi Sharma, Everyone Has A Story|Money comes with a price, and for me, the price is both freedom and a real life.
Kristian Goldmund Aumann, Love Poems: Love Conquers All|You're my love, you're my lighthouse; and the sea is rough in the dark days.
Jennifer Niven, All the Bright Places|most people don't understand what process can do or can't do, chattr it's one of many way to show whoever you're root. Boss still boss and God still God.
C.S. Lewis, The Screwtape Letters|If somebody tell you.... Always you to tell the truth, tell him... in the end both = Same result.... as for others reasons; I think I said too much.
Homer, The Odyssey|[I]t is the wine that leads me on,the wild winethat sets the wisest man to singat the top of his lungs,laugh like a fool – it drives theman to dancing... it eventempts him to blurt out storiesbetter never told.
Terry Eagleton, Reason, Faith, and Revolution: Reflections on the God Debate|All communication involves faith; indeed, some linguisticians hold that the potential obstacles to acts of verbal understanding are so many and diverse that it is a minor miracle that they take place at all.
Maggie Stiefvater, The Scorpio Races|It is the first day of November and so, today, someone will die.
Anonymous|When I told her we were going to roast her  she said  "Of course  . . . they only crucify the innocent."
Wendy Shalit, A Return to Modesty: Discovering the Lost Virtue|Modesty answers not the crude how of femininity, but the beautiful why.
Angela Y. Davis, Are Prisons Obsolete?|[Prison] relieves us of the responsibility of seriously engaging with the problems of our society, especially those produced by racism and, increasingly, global capitalism.
N.R. Walker, Spencer Cohen, Book Three|Love sees sharply, hatred sees even more sharp, but jealousy sees the sharpest for it is love and hate at the same time.
Henry Wadsworth Longfellow, Kavanagh|His imagination seemed still to exhaust itself in running, before it tried to leap the ditch. While he mused, the fire burned in other brains. Other hands wrote the books he dreamed about. He freely used his good ideas in conversation, and in letters; and they were straightway wrought into the texture of other men's books, and so lost to him for ever.
Randy Alcorn, Money, Possessions and Eternity|In the midst of prosperity, the challenge for believers is to handle wealth in such a way that it acts as a blessing, not a curse.
H. Kirk Rainer, A Father and Future Felon|If Hori were to die, I should not forget! Hori is a song in my heart for ever... That means-that there is no more death...
Beth Praed, Domestic Violence: My Freedom from Abuse|In my family, you can rot to hell on the inside as long as you’re flawless on the outside, which is really sick, but also hard to unlearn.
Hermann Hesse, The Journey to the East|Don't forget either, you unhappy man, that voluntary confinement is a great deal harder to bear than compulsory.
Margie Warrell, Find Your Courage!|Just remember: other people’s opinions are simply that—other people’s opinions. They are not fact, and they are certainly not “the truth.” It is your responsibility to question the authority you give others, to question opinions they want you to adopt as your own, and to question how it is they are observing the world themselves that has them seeing things as they do. Sometimes you need to take back the authority you are giving to the opinions of others and place a bit more trust in yourself.
Vince Antonucci, Guerrilla Lovers: Changing the World with Revolutionary Compassion|All knowledge that takes special training to acquire is the province of the Magician energy. Whether you are an apprentice training to become a master electrician and unraveling the mysteries of high voltage; or a medical student, grinding away night and day, studying the secrets of the human body and using available technologies to help your patients; or a would-be stockbroker or a student of high finance; or a trainee in one of the psychoanalytic schools, you are in exactly the same position as the apprentice shaman or witch doctor in tribal societies. You are spending large amounts of time, energy, and money in order to be initiated into rarefied realms of secret power. You are undergoing an ordeal testing your capacities to become a master of this power. And, as is true in all initiations, there is no guarantee of success. [Magician energy]
Ann Rule, The Stranger Beside Me: Ted Bundy The Shocking Inside Story|I had long since managed a degree of detachment when dealing with photographs from homicide cases. They no longer upset me as they once did, although I make it a point not to dwell on them. By the time I stood in Shirley Lewis’s office, I had seen thousands of body pictures. I had seen pictures of Kathy Devine and Brenda Baker in Thurston County, but that was months before it was known there was a “Ted.” Of course, there were no bodies to photograph in the other Washington cases, and I had had no access to Colorado or Utah pictures. Now, I was staring down at huge color photographs of the damage done to girls young enough to be my daughters—at pictures of damage alleged to be the handiwork of a man I thought I knew. That man who only minutes before had smiled the same old grin at me, and shrugged as if to say, “I have no part of this.” It hit me with a terrible sickening wave. I ran to the ladies’ room and threw up.
Kostis Palamas|Music becomes flesh and thrives in a new world, a new man . . .He, the last-born, son of music and love, shall arise in triumph over an ample land, prophet of a soul yet more ample . . .
Shannon L. Alder|Carve your name on hearts, not tombstones. A legacy is etched into the minds of others and the stories they share about you.
Anne Morrow Lindbergh|But behavior in the human being is sometimes a defense, a way of concealing motives and thoughts, as language can be a way of hiding your thoughts and preventing communication.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|You can control the visibility of my name and my popularity, but you cannot control the frequency at which people are quoting me. Truth always rises with time.
Rohinton Mistry, Family Matters|Black money is so much a part of our white economy, a tumour in the centre of the brain - try to remove it and you kill the patient.
Maria Faustina Kowalska|Some day, we will know the value of suffering, but then we will no longer be able to suffer.
Jennifer S. Alderson, Notes of a Naive Traveler: Nepal and Thailand|When writing a comprehensive self-investigatory scroll, the writer attempts to weave a network of strands capable of enmeshing all sizes of ideas including those with no obvious interconnection. The writer must also trace all lingering thoughts to their original source in personal experiences, and revaluate each exquisite nuance notched into a person’s conscious mind including acts of depravity, violence, and the almost imperceptible intrusions of grace.
Guy Finley|I probably wouldn't be a songwriter if I didn't grow up the way I did. It was difficult and it was at times very scary to grow up in a household so unsettled and at times very violent. But, it also, I guess it earned me a sort of wisdom at a young age that's served me well.
Caitlin Moran|My favorite records are, like, The Pretty Things' 'Parachute' and 'S.F. Sorrow' and The Mothers of Invention's 'We're Only in It for the Money' and The Kinks' 'Village Green Preservation Society' - these records that have a story - even if it's not a literal story - because of how they're sequenced and flow. It's like a novel with sound.
Richelle E. Goodrich, Smile Anyway|So much in life depends on our attitude. The way we choose to see things and respond to others makes all the difference. To do the best we can and then to choose to be happy about our circumstances, whatever they may be, can bring peace and contentment.
Dan Skinner, The Price of Dick|You're fucking crazy," he finally said, as though just realizing that. Hell, he had been with her how long now? Surely forever. And he was just now seeing that? Poor guy, he was just slow.
Thomm Quackenbush, Juvenile Justice: A Reference Handbook, 2nd Edition: A Reference Handbook|Whenever my colleagues and I encounter a boy who acts "normal"—not explosively violent, not oppositional to every word, not obsessed with killing and dying, not focused on sexual objectification—we are overjoyed with his potential. Here is one who has a stronger foundation on which to build, one who will not knock down his every success like a child with a brick castle to see if the adults will keep helping him rebuild.
Seraphine Abrams|He might have run off then, and thus avoided a great many adventures to come, but the girl cried, “Wait!” and he turned to face her. “Please,” she implored from the window. “Don’t go. Come with us. I promise you won’t regret it.”For a moment, Peter stood in the road indecisively, staring into the girl’s eyes as if trying to penetrate a great mystery.
Vincent van Gogh|Though I am often in the depths of misery, there is still calmness, pure harmony and music inside me.
Jeff Lindsay, Darkly Dreaming Dexter|[He] didn’t like to think of himself as vain, but there were definitely times when he wished there was someone on hand to take his photograph.
Mitt Romney|I love practical jokes and humor. That there's frankly no joke that I don't think is funny. I love practical jokes, but I don't like being scared.
Catherynne M. Valente, Speak Easy|And as we round the bend toward Ivy Cottage, he tugs my braid just the way he always has ever since I was six, and then he reaches down and takes my hand.Maybe sometimes dreams really do come true.
Jestoni Revealed|‎"We live in a world where those things that we never imagine could ever do something, did the best.
Cassandra Clare, Lady Midnight|Love is beautiful." - Malcolm Fade
