Victoria Schwab, Our Dark Duet|If you want to prosper, prosper God.
John Steinbeck, East of Eden|How often one goes to sleep troubled and full of pain, not knowing what causes the travail, and in the morning a whole new direction and clearness is there, maybe the result of the black reasoning. And again there are mornings when ecstasy bubbles in the blood, and the stomach and chest are tight and electric with joy, and nothing in the thoughts to justify it or cause it.
Sushil Singh|your Life is cover by only one word 'IS', everything else is Just Unnecessary Happening By Your Mind.
C.S. Lewis|As Daenerys Targaryen rose to her feet, her black hissed, pale smoke venting from its mouth and nostrils. The other two pulled away from her breasts and added their voices to the call, translucent wings unfolding and stirring the air, and for the first time in hundreds of years, the night came alive with the music of dragons.
Peter Sloterdijk, Du mußt dein Leben ändern|It is my hypothesis that the fundamental source of conflict in this new world will not be primarily ideological or primarily economic. The great divisions among humankind and the dominating source of conflict will be cultural. Nation-states will remain the most powerful actors in world affairs, but the principal conflicts of global politics will occur between nations and groups of different civilizations. The clash of civilizations will dominate global politics. The fault lines between civilizations will be the battle lines of the future.
Patience Johnson, Why Does an Orderly God Allow Disorder|Christians we cannot be allowed to be fractured at a time like this. There are more of us, there are more of light in us than in the agents of darkness.
Debasish Mridha|When you sweeten your knowledge and experience with your thoughts, it becomes your wisdom.
Alice Cary|Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.
B.A. Gabrielle|Don't wonder why your time hasn't come yet. When you plant a seed, it always takes a while to grow. Don't be hasty. Think, plan, hustle.
Christian D. Larson|To keep any great nation up to a high standard of civilization there must be enough superior characters to hold the balance of power, but the very moment the balance of power gets into the hands of second-rate men and women, a decline of that nation is inevitable.
John Denver|There's a man who is my brother,I just don't know his name,But I know his home and family,Because I know we feel the same,And it hurts me when he's hungry,Or when his children cry,I too am a father,That little one is mineIt's about time we begin it,To turn the world around,It's about time we start to make it,The dream we've always known,It's about time we start to live it,The family of man,It's about time, It's about changes, And it's about time,It's about you and me together,And it's about time
Cathleen Falsani, Sin Boldly: A Field Guide for Grace|Wait, go back to that Southern Baptist part,” Julia said, interrupting, as she does. “Are you a born-again?” articulating her question as if she were asking me if I were really a headhunter or a Martian. “Yes,” I said, “but I'm not an asshole. At least not theologically speaking.
Emma Bull, War for the Oaks|Sex without love is like a goddamn business transaction. And sometimes both parties feel as if they got a good deal, but that doesn't make it any less so.
Barbara Pym|It was the ring on the left hand that people at the Old Girls' Reunion looked for. Often, in fact nearly always, it was an uninteresting ring, sometimes no more than the plain gold band or the very smallest and dimmest of diamonds. Perhaps the husband was also of this variety, but as he was not seen at this female gathering he could only be imagined, and somehow I do not think we ever imagined the husbands to be quite so uninteresting as they probably were.
Henry Austin Dobson|In times like these, it helps to recall that there have always been times like these.
Amit Ray, Meditation: Insights and Inspirations|Meditation is blossoming of the prefrontal cortex to overcome the momentum of the nature. It is coming out of the loops of memories, patterns,fears, dreams and anger.
Donna McDonald, Dating a Cougar|Are you a person who peels off a band-aid slowly or just rips it off all at once?" Casey contemplated Alexa's warning, recognizing it for what it was.
Bill Cosby|Children live in the only successful Marxist state ever created: the family. 'From each according to his ability, to each according to his need' is the family's practice as well as its theory. Even with today's scattershot patterns of marriage and parenting, a family is collectivist to a more than North Korean degree.
Sunday Adelaja, The Mountain of Ignorance|The only reason for your intimidation by the devil, and you're being afraid of him, or what he can do is because you are living in ignorance (darkness) which is his territory.
Heena Jadav Sunil|While it’s romantic fiction and bares all of its hallmarks, I ultimately want all women to see a part of themselves in Lia. We all dream of a knight galloping in on a white horse, and my book will compel readers to weight up how much of life is fate, and how much of our destiny we create for ourselves.
Paul Hawken|We know a way now to make use of democracy, and we know how to change the attitude of people towards government, but yet the majority of people are without vision. We who have prevision must lead them and guide them into the right way if we want to escape the confusions of Western democracy and not follow in the tracks of the West.
Bridie Clark, Because She Can|I'd known since girlhood that I wanted to be a book editor. By high school, I'd pore over the acknowledgments section of novels I loved, daydreaming that someday a brilliant talent might see me as the person who 'made her book possible' or 'enhanced every page with editorial wisdom and insight.' Could I be the Maxwell Perkins to some future Hemingway, Fitzgerald, Wolfe?
Richelle E. Goodrich, Making Wishes|The only real voyage consists not in seeking new landscapes, but in having new eyes; in seeing the universe through the eyes of another, one hundred others-in seeing the hundred universes that each of them sees. Marcel Proust, translated by Kiyotesong
Catherine Carrigan, What Is Healing? Awaken Your Intuitive Power for Health and Happiness|The truth is you can learn to love unconditionally and, in the process, open up your own intuition to heights you may never before have deemed imaginable.
El Fuego|Go without the latest iPhone, explore the world and discover...
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Smiling is truly one of the most generous gifts you can give to another. You never know when your smile may inspire the sad, encourage the hopeless, heal a heart, or change someone's world for the better.
James Gray|I have a really dry sense of humor. I don't think it's funny when people wink at the camera. That's more of an actor thing, just committing to whatever the thing is.
Claudia Gray, A Million Worlds with You|Can't it be stopped?" said Lina. She shifted around under her blanket, trying to find a place to sit where rocks weren't digging into her.Maybe it can be stopped at the beginning," Maddy said. "If someone sees what's happening and is brave enough to reverse the direction."Reverse the direction?"Yes, turn it around."How would you do that?"You'd do something good," said Maddy. "Or at least you'd keep yourself from doing something bad."But how could you?" said Lina. "When people have been mean to you, why would you want to be good to them?"You wouldn't want to," said Maddy. "That's what makes it hard. you do it anyway. Being good is hard. Much harder than being bad.
Billy Connolly|When I think of a merry, happy, free young girl - and look at the ailing, aching state a young wife generally is doomed to - which you can't deny is the penalty of marriage.
Jill Shalvis, Lucky in Love|Mallory dropped her head to the steering wheel. "Look, I'm mad at you, okay? This isn't about me. I know my painful memories are relative. My life is good. I'm lucky. This isn't about how poor little Mallory has had it so hard. I'm not falling apart or anything."He stroked a hand down her back. "Of course you're not. You're just holding the steering wheel up with your head for a minute, that's all.
Tim Maudlin|All the three monotheist religions (Jewish, Christianity and Islam)claims that their God (Yahweh, God and Allah) created humans in a similar way: this indicates that creationist have not yet established the creator.
Neil Gaiman, The Ocean at the End of the Lane|I have dreamed of that song, of the strange words to that simple rhyme-song, and on several occasions I have understood what she was saying, in my dreams. In those dreams I spoke that language too, the first language, and I had dominion over the nature of all that was real. In my dream, it was the tongue of what is, and anything spoken in it becomes real, because nothing said in that language can be a lie. It is the most basic building brick og everything. In my dreams I have used that language to heal the sick and to fly; once I dreamed I kept a perfect little bed-and-breakfast by the seaside, and to everyone who came to stay with me I would say, in that tongue, 'Be whole.' and they would become whole, not be broken people , not any longer, because I had spoken the language of shaping.
Andrea Cremer, Nightshade|I am alive, and drunk on sunlight.
Benjamin Todd Jealous|Life is full of tough decisions, and nothing makes them easy. But the worst ones are really your personal koans, and tormenting ambivalence is just the sense of satori rising. Try, trust, try, and trust again, and eventually you'll feel your mind change its focus to a new level of understanding.
Gherman Titov|In the digital future, texts will be annotated visually, animated and illustrated like never before. The austere 'prayer book' paper that permitted the space for Shepard's illustrations to Pepys' diaries is now being recreated in the digital era.
Merce Cardus, I say Who, What, and Where!|I do believe that some humans have more amazing lives than others–above all, those who don’t sit down in a chair like mere spectators letting their lives happen in front of them, but they take risks as heroes do, experiencing, living, becoming the main character—but no matter what, we all have at least one story to tell.
Richelle E. Goodrich, Making Wishes|Ritually abusive groups also convince children that something evil has been put inside them. For example, a child is made to believe he or she has a "black heart" - seeing the abuser holding an animal heart and then feeling severe chest pain while it is supposedly inserted. In "brain transplants", the brain of an abuser or of a despised animal such as a rate is supposedly put into a child. Children are told that they are demons or monsters or aliens, or internal copies of an abuser whose "seed" has been implanted by rape.Ch29, p324
Neil Gaiman, American Gods|Everything that is,casts a shadow
James MacDonald, Christ-Centered Biblical Counseling: Changing Lives with God's Changeless Truth|At the end of life, each of us must answer the question, Whose story captured my soul?
Auliq Ice|The phenomenon of economic ignorance is so widespread, and its consequences so frightening, that the objective of reducing that ignorance becomes a goal invested with independent moral worth.
Marcey Shapiro, Freedom From Anxiety: A Holistic Approach to Emotional Well-Being|With astonishing wonder, I have seen the magic of life, the power of thoughts, and the beauty of imagination.
Roxane Gay, Hunger: A Memoir of (My) Body|Man’s innate yearning for freedom can be suppressed but never destroyed. Totalitarianism cannot renounce violence. If it does, it perishes. Eternal, ceaseless violence, overt or covert, is the basis of totalitarianism. Man does not renounce freedom voluntarily. This conclusion holds out hope for our time, hope for the future.
Lailah Gifty Akita|God travels wonderful ways with human beings, but he does not comply with the views and opinions of people. God does not go the way that people want to prescribe for him; rather, his way is beyond all comprehension, free and self-determined beyond all proof. Where reason is indignant, where our nature rebels, where our piety anxiously keeps us away: that is precisely where God loves to be. There he confounds the reason of the reasonable; there he aggravates our nature, our piety—that is where he wants to be, and no one can keep him from it. Only the humble believe him and rejoice that God is so free and so marvelous that he does wonders where people despair, that he takes what is little and lowly and makes it marvelous. And that is the wonder of all wonders, that God loves the lowly…. God is not ashamed of the lowliness of human beings. God marches right in. He chooses people as his instruments and performs his wonders where one would least expect them. God is near to lowliness; he loves the lost, the neglected, the unseemly, the excluded, the weak and broken.
Susan C. Young, The Art of Being: 8 Ways to Optimize Your Presence & Essence for Positive Impact|Yes, learning curves can be painful, exhausting, trying, scary, and intimidating. How did you learn to ride a bike? One pedal, one balance, one turn, and one step at a time.
Asuni LadyZeal|Every morning, you have a choice either to make your day relaxed or stressful. To be thankful for what you have or to complain about what you don’t have. To count your achievements and celebrate them, or to dwell on the mistakes of your past and feel bad. To take action to make things better, or to continue on in mediocrity.
Larry Gent, To Money and a TV|I was wrong.Now that I think about it, if I had said those words to a now-ex back in my twenties, I would probably be married right now.
Jeff Foxworthy|Our trust in the future has lost its innocence. We know now that anything can happen from one minute to the next. Politics, religion, economics, and the institutions of family and community all have become abruptly unsure.
Hannah Arendt, The Origins of Totalitarianism|The chief qualification of a mass leader has become unending infallibility: he can never admit an error.....The propaganda effect of infallibility, the striking success of posing as a mere interpreting agent of predictable forces, has encouraged in totalitarian dictators the habit of announcing their political intentions in the form of prophecy....Mass leaders in power have one concern wich overrules all utilitarian considerations: to make their predictions come true.
Darrell Calkins, Re:|The essential dynamic underlying almost every elite and esoteric physical art is work with the breath, so there’s information available. I would only add that it’s unfortunate that so much work is done with it, and not much play. Laughter has got to be the single healthiest activity one can perform. Just think how healthy you would be if you could sincerely laugh at that which now oppresses you. I’ve mentioned before that one good measure of someone’s depth of spirituality is how long it takes before they become offended. Imagine laughing hysterically at the criticisms, complaints and impositions you receive. At the least, you’d be breathing well.
Akshay Vasu|At the end of the day,” he continued, “although many believe in fate, it’s those who go through life with independent thought alone who are the strongest.
Mae West|My native land is a slave of heathenism, men's god is their belly, and they live only for the present. The richer a man, the holier.
Bill Gates|When I went to college, my goal was to be a college history teacher. I majored in history.
Tyler Florence|Just because the Americans are so good at rattling out accessible and cheap junk food, nobody looks twice when it comes to their food. But there are golden nuggets everywhere.
Carl Hiaasen|It's continuously humbling to work hard, you know? As long as you've got a good work ethic and a sense of humor, I don't think anybody can become too much of an egoist under those circumstances.
Umberto Eco, The Name of the Rose|If you can't sleep, then get up and do something instead of lying there and worrying. It's the worry that gets you, not the loss of sleep.
Jasper Fforde|The Tea Party represents stakeholders in the American system; people who were never involved in politics or thought they had to be, yet realized that political corruption and incompetence threatened not only their families, but the future of the nation itself.
Gayle Forman, Just One Day|I reiterate once more, forgive the offenders to let divine justice be made.
Debasish Mridha|Success is a way of life with the sense of connection, compassion, and expansion of human life.
Paul Levy, Dispelling Wetiko|Paradoxically, in descending into the depths of the unconscious in order to deal with the prima materia of the shadow, we are simultaneously on the path of ascending to the truly real, as we become introduced to the higher-dimensional light worlds of spirit.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|When I look back, I realize I was praying for something God had already given me.
Jodi Meadows, The Orphan Queen|We need to have a sense of patriotism like Jesus Christ, to the Kingdom first and to our nations second
Craig D. Lounsbrough|In my impatience I become convinced that this desire of mine should have been fulfilled yesterday, when it belongs to a tomorrow that yesterday would have killed had I had my way.
Richard Flanagan|Writing is not lying, nor is it theft. It is a journey and search for transparency between one’s words and one’s soul.
Daniel M. Ford, Stillbright|It is a rule of leading people, Gideon. You may be confused, or afraid, or overwhelmed, or all three—those who depend on you must never see it.
David Sedaris, When You Are Engulfed in Flames|I hoped our lives would continue this way forever, but inevitably the past came knocking. Not the good kind that was collectible but the bad kind that had arthritis.
Gayle Forman, Sisters in Sanity|Life is a fight from the minute you take your first breath to the moment you exhale your last. You have to fight the people who say it can never be done. You have to fight the institutions that put up the glass ceilings that must be shattered. You have to fight your body when it tells you it is tired. You have to fight your mind when doubt begins to creep in. You have to fight systems that are put in place to disrupt you and obstacles that are put in place to discourage you. You have to fight because you can't count on anyone else fighting for you. And you have to fight for people who can't fight for themselves. To get anything of real value, you have to fight for it.
Robert Kennedy|I tend to feel if people say they're going to do something, they will, if given the chance.
Timi Nadela|Be honest. Be truthful. If you tell lies, you lose your credibility.
Søren Kierkegaard|So now begins the first war with Cordelia' in which I retreat and thereby teach her to be victorious as she pursues me. I continually fall back, and in this backward movement I teach her to know through me all the powers of erotic love, its turbulent thoughts' its passion, what longing is, and hope, and impatient expectancy. As I perform this set of steps before her' all this will correspondingly in her' It is a triumphant procession in which I am leading her, and I myself am just as much the one who dithyrambically sings praises to her victory as I am the one who shows the way. She will gain courage to believe in erotic love, to believe it is an etemal force, when she sees its dominion over me, sees my movements. She will believe me, partly because I rely on my artistry, and partly because at the bottom of what I am doing there is truth. If that were not the case, she would not believe me. With my every move, she becomes stronger and stronger; love is awakening in her soul; she is being enthroned in her meaning as a woman
Sadhguru, Of Mystics & Mistakes|There is nothing in this existence which is not connected to your spiritual process. Everything is. It is from this that Indian culture created this idea (which now might have taken on extreme forms) that if you see a tree, you bow down; if you see a rock, you bow down; if you see a cow, you bow down; if you see a snake you bow down. Whatever it is, it does not matter what. Every creature, every form, whatever you see, if it makes an impression on you, you bow down to it.
Christopher McDougall, Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen|Even though I can’t tell others whether they should chase their marathon dreams, I highly recommend they do something completely out of character, something they never in a million years thought they’d do, something they may fail miserably at. Because sometimes the places where you end up finding your true self are the places you never thought to look. That, and I don’t want to be the only one who sucks at something.
Petra March, A Veil of Glass and Rain|I love a boy with sun-kissed hair,With ocean storms in his bright blue eyes,I love a boy who drinks my tears when I cry.
Kahlil Gibran, Love Letters in the Sand: The Love Poems of Khalil Gibran|They say: 'If a man knew himself,he would know all mankind.'I say: 'If a man loved mankind,he would know something of himself.
Kurt Vonnegut Jr.|I thought scientists were going to find out exactly how everything worked, and then make it work better. I fully expected that by the time I was twenty-one, some scientist, maybe my brother, would have taken a colour photograph of God Almighty — and sold it to Popular Mechanics magazine. Scientific truth was going to make us so happy and comfortable.What actually happened when I was twenty-one was that we dropped scientific truth on Hiroshima.
Akutagawa Ryunosuke|Não conseguia pensar em nada que desejasse especialmente na vida, excepto aquelas faíscas de cor púrpura - aquelas flores de fogo desabrochando selvaticamente -; daria a vida para poder segurá-las-
Thomas S. Monson|When faith replaces doubt, when selfless service eliminates selfish striving, the power of God brings to pass His purposes.
Scott Hastie|And so we smile on,Feeding the truths we shareWith a union of our souls,Cathedral slaves of our passionWhich builds beauty amongst chaos.
Scott Hastie|I’m burning in despair Love which you distanced from me Return once again I’ll forgive you againReturn, Page 19
Evelyn Waugh|Almost everyone who reaches a plateau where he or she is happy and comfortable says it's because of finding balance between work, relaxation, exercise, socialising and family - plus some alone time to do something contemplative, creative, or educational.
Heather     James, Fire|It was exactly the sort of thing I needed to be reading that afternoon: a story where, no matter how bad things got, you knew everything was going to turn out fine in the end.
Robin Talley, Our Own Private Universe|My advice to any heartbroken young girl is to pay close attention to the study of theoretical physics. Because one day there may well be proof of multiple universes. It would not be beyond the realms of possibility that somewhere outside of our own universe lies another different universe. And in that universe, Zayn is still in One Direction.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|I refuse to behave fraudulently, as if I was anything else but African.
William Lyon Phelps|That's what people respect, the fact that I wasn't a chump that laid on his back and gave up.
Maya Banks, The Darkest Hour|In Korea I’d been so afraid that Sami would lose her dad. She did, but she didn’t get a flag. He went to Doha, then to Baghdad, then to Kabul, then to someplace else, and then to a different someplace else, on and on. He’d come home, leave again, come home, leave again, until one day he came home a different person altogether. Sami lost Angel, lost her family, and then she lost herself.
Robert Lane Greene, You Are What You Speak: Grammar Grouches, Language Laws, and the Politics of Identity|the voice taunted, and threatened: "you are afraid, unhappy, dissatisfied, what if…."but I knew, this was not His language for motivating my heart,so I waited quietly to hear my Father's native tongue, "I love, I am satisfied, I trust, this is the way..." - and I moved.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|My success with customers on the telephone wasn’t by using pushy sales methods, but by engaging people in meaningful conversations which could lead to friendships on the phone before I ever met them. I would ask questions, listen to their stories, respond to their needs, develop rapport, and earn their business. When we would finally meet in person, it felt less like an introduction and more like a reunion. It was not only good business, we had fun in the process!
Lois Lowry, A Summer to Die|She's sure, absolutely sure, that what she's waiting for will happen, just the way she wants it to; and I'm so uncertain, so fearful my dreams will end up forgotten somewhere, someday, like a piece of string and a paperclip lying in a dish.
Faith Baldwin, Evening Star|The Creator of all men and all things has provided the challenge of change, the necessity for acceptance, and variations of all patterns. We live by change, by struggle and the unexpected; for only in change, struggle, and the unexpected can we achieve growth.
J.D. Salinger, Franny and Zooey|I don’t think it would have all got me quite so down if just once in a while—just once in a while—there was at least some polite little perfunctory implication that knowledge should lead to wisdom, and that if it doesn't, it's just a disgusting waste of time! But there never is! You never even hear any hints dropped on a campus that wisdom is supposed to be the goal of knowledge. You hardly ever even hear the word 'wisdom' mentioned!
Clive Barker, The Scarlet Gospels|The Dead are a larger army than any ever assembled, and they follow no leader, fear no threat, and accept no bribe or compromise. The Dead are the silent majority, and should they ever decide to say something, it will be the new law of the land.
Donald O'Connor|I dare suggest that the composer would do himself and his music an immediate and eventual service by total, resolute and voluntary withdrawal from this public world to one of private performance and electronic media.
Caitlín R. Kiernan|The divine is always abominable."Houses Under The Sea
Abigail Roux, Stars & Stripes|I don't know what you're getting yourself into," said Majid, "but I know I don't like it. Some things in Venice are pure poison." Majid's eyes looked like they could bore through a stone wall. "If someone has put you on a demon's tracks, you'd better make sure the demon doesn't find you first.""What's that supposed to mean," asked Mathias."It means behind every hand stained with blood there's another, and that one stays clean." Majid leaned in close, lowering his voice to a whisper. "What I'm saying is that behind a demon, there's always someone holding the creature on a leash.
Seneca, On the Shortness of Life|I've come across people who say that there is a sort of inborn restlessness in the human spirit and an urge to change one's abode; for man is endowed with a mind which is changeable and and unsettled: nowhere at rest, it darts about and directs its thoughts to all places known and unknown, a wanderer which cannot endure repose and delights chiefly in novelty.
Jane Green, Bookends|I am not a people pleaser. I am not a person who says things because she thinks it will make the other person happy, nor am I a person who offers things she cannot deliver because I want the other person to like me.
Paul Russell, The Coming Storm|DYER. (Sits down) There was nothing that I recall save that the Sunne was a Round flat shining Disc and the Thunder was a Noise from a Drum or a Pan.VANNBRUGGHE. (Aside) What a Child is this! (To Dyer) These are only our Devices, and are like the Paint of our Painted Age.DYER. But in Meditation the Sunne is a vast and glorious Body, and Thunder is the most forcible and terrible Phaenomenon: it is not to be mocked, for the highest Passion is Terrour.
Rebecca Solnit, Hope in the Dark|Hope is not a lottery ticket you can sit on the sofa and clutch, feeling lucky. It is an axe you break down doors with in an emergency. Hope should shove you out the door, because it will take everything you have to steer the future away from endless war, from the annihilation of the earth's treasures and the grinding down of the poor and marginal... To hope is to give yourself to the future - and that commitment to the future is what makes the present inhabitable.
Auliq Ice|Have your one good cry, pick your chin up, smile, and move on to the positive.
Han Nolan, Dancing on the Edge|I could feel it--inside, and I decided that night, reading poetry beneath a caged light bulb, that real was when you could fee your whole body light up from within.
Leslie Householder, The Jackrabbit Factor: Why You Can|Vision is the secret behind a life of passion, it motivates people to go through life with force
Charles M. Schulz, Charles M. Schulz: Conversations|I think they assign things to students which are way over their heads, which destroy your love of reading, rather than leading you to it. I don't understand that. Gosh.
H.G. Wells|It is possible to believe that all the past is but the beginning of a beginning, and that all that is and has been is but the twilight of the dawn. It is possible to believe that all the human mind has ever accomplished is but the dream before the awakening.
E.M. Forster|The Waves is an extraordinary achievement ... It is trembling on the edge. A little less - and it would lose its poetry. A little more - and it would be over into the abyss, and be dull and arty. It is her greatest book.
Neil Postman|The bias of the mainstream media is toward sensationalism, conflict, and laziness.
Lewis Grassic Gibbon, Sunset Song|there were lovely things in the world, lovely that didn't endure, and the lovelier for that... Nothing endures.
Elmar P. Sakala|In a sense, the Earth is mounting an immune response against the human species. It is beginning to react to the human parasite, the flooding infection of people, the dead spots of the concrete all over the planet, the cancerous rot-outs in Europe, Japan and the United States, thick with replicating primates, the colonies enlarging and spreading and threatening to shock the biosphere with mass extinctions. Perhaps the biosphere does not 'like' the idea of five billion humans.
Karen Armstrong|In the old days, variety turns like me learned how to cope with failure - we all had nights when we 'died' on stage - but today's youngsters simply don't have that experience. For them, it really is instant make or break time - hence, all the tears and, hence, all the potential emotional damage.
Walter de la Mare, The Return|Lear, Macbeth. Mercutio – they live on their own as it were. The newspapers are full of them, if we were only the Shakespeares to see it. Have you ever been in a Police Court? Have you ever watched tradesmen behind their counters? My soul, the secrets walking in the streets! You jostle them at every corner. There's a Polonius in every first-class railway carriage, and as many Juliets as there are boarding-schools. ... How inexhaustibly rich everything is, if you only stick to life.
Toba Beta, My Ancestor Was an Ancient Astronaut|When you feel sadness inside, wipe it away by cries and tears!
Sharanya Manivannan, The High Priestess Never Marries|How beautiful this city, or perhaps any in the world, is to a woman who knows her bed awaits her even as she lingers, barefoot in the rain at midnight.
Donna Grant, Darkest Flame: Part 4|What do you want?""You." His voice was soft, low. His eyes were intense and watchful.
Tyler Mcmahon, How the Mistakes Were Made|He concluded that governments were like wars: the reasons and the forces might change, but it was still the same dying over the same soil.
Susan Isaacs|On my birthday, I was in Milan for the collections.
Andrew Wilson, Patricia Highsmith, Ζωή στο σκοτάδι|People who fell in love at first sight, rushed home to their parents to tell them the good news and subsequently married were, [Patricia Highsmith] thought, retarded. Rather, a more honest appraisal of the nature of love positions it nearer to the horrors of mental illness. How else could you explain the fact that so many people were prepared to sacrifice the safety and cosiness of their lives for the thrill of a new romance?
Anne Sexton|Touch comes before sight, before speech. It is the first language and the last, and it always tells the truth.
Bill Gates|Social media is an amazing tool, but it's really the face-to-face interaction that makes a long-term impact.
David Walton|Of course, you see your body changing as you age, but it's more important to live than be too preoccupied with that sort of thing. I think ultimately what people care about in other people is the energy, the spirit.
Elon Musk|To that movement, consecrated by religious principle, sustained by an awful sense of justice, and cheered by the brightest hopes of future good, all our powers, talents, and attainments are devoted.
Euginia Herlihy|Bitter and Frail, young and weak. Smiles are useless, talk is cheap, Give thou venom, fangs like slime, Ugly freak for all of time. An empty gift just from me, Give it now, so mote it be!
Sophie Kinsella, Confessions of a Shopaholic|They said I was a valued customer, now they send me hate mail.
Katherine Kelly|My favorite time to dance is at, like, wedding receptions, when it's all ages and everyone seems to be having fun.
George Best|International affairs is very much run like the mafia. The godfather does not accept disobedience, even from a small storekeeper who doesn't pay his protection money. You have to have obedience; otherwise, the idea can spread that you don't have to listen to the orders, and it can spread to important places.
David Brin, Brightness Reef|It was a strange trek — the sullen leading the apathetic, followed by the confused, all tailed by the inveterately amused.
Shannon L. Alder|Sometimes, when we pray for miracles what we are really praying for is God to do the work that we are too afraid to take action about. Often, the miracle resides in us and we need to simply "be all in", rather than standing on the fence waiting.
|Instead of always following the crowd, why not aim to become an unstoppable positive force for the crowd to follow?
