David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Gary D. Schmidt, Okay for Now|You know, there are good reasons to learn how to read. Poetry isn't one of them. I mean, so what if two roads go two ways in a wood? So what? Who cares if it made all that big a difference? What difference? And why should I have to guess what the difference is? Isn't that what he's supposed to say?Why can't poets just say what they want to say and then shut up?
Lee Child, Persuader|And all our gods are not lies. They existed. All our gods, from the beginning of time, have been men with psychiatric conditions. And their delusions were so deep, they passed them on.
Stephen Richards, Street Warrior: The True Story of the Legendary Malcolm Price, Britain's Hardest Man|Dicing with death is one man’s cup of tea, but another man’s poison. I just didn’t fear anything.
G.S. Jennsen, Vertigo|She thought he might have said her name, but it was background radiation accompanying the hum in her ears and the symphony in her head——a song of quantum mechanics and trajectory calculations and astroscience physics and where to go, where to go, where to…
Dean Koontz, Shadow Fires|But I was awake, sitting by the window looking down at the trailer and Mr. Zoltan's truck. I could not sleep. That is how it is with folks my age. We take naps during the day, and then we cannot sleep at night. I think that it is because God is getting us ready for the grave. Is that right? Did He ever tell you? ("The Little Stranger")
Dragos Bratasanu, Ph.D.|Changing the external conditions of your lives - earn more money, be in a better physical shape, have another partner or travel more - will not change how you feel. It never works because the emptiness is not around, is within. The only way to come back to life is to acknowledge that little voice rising from your heart and begging you to return to love, to return to truth.
Marie Rutkoski, The Winner's Crime|She’d felt it before, she felt it now: the pull to fall in with him, to fall into him, to lose her sense of self.
Albert Camus|Of all creatures on earth, in proportion to their size and weight, humans have the smallest footprint on the ground and the largest on the environment.
Mouloud Benzadi|Trust is like a valuable antique, once gone, it can never be replaced.
Saaif Alam|If each and one of us understands the essence of human values, we will be able to sustain our civilization by living in tranquility and embrace the opportunities that each of us can contribute to our society.
Marcus Samuelsson|Whether you're on a diet, or you're looking for a go-to one bowl dinner recipe, salads should be thought of as crowd-pleasers, not a dreaded component of a meal.
Sara  Stark, An Untold Want|The fraud part of me was always there, just as a puzzle piece, objectively speaking, is a true piece of the puzzle even before you see how it fits.
MD. Muhtashimur Rahman|True inner peace can startle you! Be happy, smile, have fun. But only look for inner peace when you actually need it. After all, it is the fusion of every atoms of reality itself.
Andrea Dworkin, Intercourse|Being female in this world means having been robbed of the potential for human choice by men who love to hate us. One does does not make choices in freedom. Instead, one conforms in body type and behavior and values to become an object of male sexual desire, which requires an abandonment of a wide-ranging capacity for choice...Men too make choices. When will they choose not to despise us?
Benito Juárez|Entre los individuos, como entre las naciones, el respeto al derecho ajeno es la paz -- Among individuals, as among nations, respect for the rights of others is peace.
Timothy Joshua|To get change, you must first pay for it.
Gwen Calvo|Her smile increased. She had perfect white regular teeth; Irish, Juliana decided. Only Irish blood could give that jawline such femininity.
Elia Barceló, El secreto del orfebre|La luz del pasillo iluminaba débilmente mi rostro que se reflejaba de modo fantasmal en el cristal de la ventanilla y me hacía recordar el que tuve en la infancia, el que naufragó para siempre en la despedida, como si aquel niño se hallara agazapado en algún lugar de mi interior esperando un descuido mío para emerger de nuevo en las aguas fangosas del pasado con su sonrisa feliz y sus ojos brillantes.
Carlton Cuse|Let's say I find a lot of current American fiction too overwritten for my tastes, too self-conscious; I like something that's simpler and more direct. The story is what matters to me. I hope to make it seem real to readers, as if it happened just like this - so I don't want fancy descriptions getting in the way.
John Crowley, Little, Big|If I knew I was going to live so long, I'd have taken better care of myself.
Mark Twain, The Mysterious Stranger and Other Stories|Behold! Allah said: "O Jesus! I will take thee and raise thee to Myself and clear thee (of the falsehoods) of those who blaspheme; I will make those who follow thee superior to those who reject faith, to the Day of Resurrection: Then shall ye all return unto me, and I will judge between you of the matters wherein ye dispute.
Maya Angelou|We need to develop courage, and we need to develop it in small ways first..... You develop a little courage, so that if you decide, "I will not stay in rooms where women are belittled; I will not stay in company where races, no matter who they are, are belittled; I will not take it; I will not sit around and accept dehumanising other human beings: - if you decide to do that in small ways, and you continue to do it - finally you realize you've got so much courage. Imagine it - you've got so much courage that people want to be around you. They get a feeling that they will be protected in your company.
Henry Steele Commager|One of the main lessons I have learned the last five years as Secretary-General is that the United Nations cannot function properly without the support of the business community and civil society. We need to have tripartite support - the governments, the business communities and the civil society.
C W Newman, Self: A Treatise on the Nature of Reality|We are wise when we live according to what we have come to understand. Wisdom is not altogether about the amount of understanding that we possess. Wisdom is about living according to the understanding that we have already discovered. Wisdom is doing that which we understand. Wisdom comes only in doing. It is an easy thing to gain knowledge and experience, yet harder to understand and become wise.
Wilfred James Dolor|Don’t be afraid of change. Change happens for a reason. Roll with it. It won’t be easy, but it will be worth it.
Dean Koontz, Odd Apocalypse|All death matters.""Only to the living.
Tucker Elliot|The task of teaching has never been more complex and the expectations that burden teachers are carried out in antiquated systems that offer little support—and yet, teachers are finding success every day.
Kim Richardson, Marked|We all have demons, Crash," she said quietly. "But you don't have to let them define you.
Edgar Allan Poe|Generally speaking, the Way of the warrior is resolute acceptance of death.
Leigh Byrne|I’m not staying Archer, I can’t trust you not to hurt me again if it serves whatever purposes you decide to come up with that day. I want nothing more to do with you…with any of you. I’m done with vampires. You all have done nothing but bring me pain since I met you.
Brenda Sutton Rose, Dogwood Blues|When his wounds cut too deep for the blues--when he couldn't sing himself out of his own sorrow--when he was too wounded to shimmy his fingers over piano keys--he came to the healing waters of the Alapaha River. And on the river he recounted his sins, confessing to the ancient rhythmic flow of the current. Communion.
Nikola Tesla|Of all things, I liked books best.
Paul Walker|I was six months old at the time that I was taken, with my mother and father, from Sacramento, California, and placed in internment camps in the United States.
Rex Stout, The Rubber Band|Wolfe still paid no attention to me. As a matter of fact, I didn't expect him to, since he was busy taking exercise. He had recently got the impression he weighed too much- which was about the same as if the Atlantic Ocean had decided it was too wet...
Keith Ferrazzi, Never Eat Alone: And Other Secrets to Success, One Relationship at a Time|There are three things in this world that engender deep emotional bonds between people. They are health, wealth and children.
Salma Hayek|My mother gave me a sense of independence, a sense of total confidence that we could do whatever it was we set out to do. That's how we were raised.
Jiten Bhatt|Don't get discouraged by present hardships, They are the reason to your success in future."Easy Victory is less valued than a hard one".
Christa Wolf, City of Angels or Overcoat of Dr. Freud|Will you promise to keep this to yourself, to not tell anyone of what we are?” By his words you’d think he was giving me a choice. Like I could say,no deal, honey bunch, I’m off to shout your secret from the rooftops, and he’d be like, oh no please don’t do that. Inreality, he’d have to kill me.
Anonymous, The Dhammapada|Now may every living thing, young or old,weak or strong, living near or far, known orunknown, living or departed or yet unborn,may every living thing be full of bliss.
C.S. Lewis|Since I am I, I must make an act of self-surrender, however small or however easy, in living to God rather than to my self.
Joe Garcia|By their innocence and goodness, by their boundless capacity for forgiveness, and by the sheer power of their faith and hope, children redeem their parents, bringing out their best selves.
Thomas Moore|And as a character, what I found very inspiring about playing Dharma, especially at that time, is that the women on television were more neurotic than they were free. And I thought, this is a rare bird and this is unique on television and I think it's really refreshing.
Jesse Ball, The Curfew|Those who wish even to focus on the problem of a Christian ethic are faced with an outrageous demand-from the outset they must give up, as inappropriate to this topic, the very two questions that led them to deal with the ethical problem: 'How can I be good?' and 'How can I do something good?' Instead they must ask the wholly other, completely different question: 'What is the will of God?
Naoyuki Ochiai, Syndrome 1866 9|When desire meets desire, the stronger one survives. Fulfill your desires! The predator will eat the prey. Our world is a cruel and dirty place...but that's what makes it so beautiful! Hell is the true paradise!
Justin Timberlake|My relationship with aging is cozy. I'm not trying to play 29 and holding on with white knuckles, you know?
Jennifer Crusie, Bet Me|And here I was thinking you were a bit slow, what with so much asking and not knowing anything.
Walter Benjamin, Berlin Childhood around 1900|Memory is not an instrument for surveying the past but its theater. It is the medium of past experience, just as the earth is the medium in which dead cities lie buried. He who seeks to approach his own buried past must conduct himself like a man digging.
Kate McGahan, JACK McAFGHAN: Reflections on Life with my Master|God should always be our first thought, not our last resort.
Christopher Dines, The Kindness Habit: Transforming our Relationship to Addictive Behaviours|To stay true to ourselves and remain kind to others is an art. It does require daily vigilance and, at the same time, it’s important to remember that art can often get messy.
Robert Brault|I value the friend who for me finds time on his calendar, but I cherish the friend who for me does not consult his calendar
Taylor Patton|Persephone had it right.If you must go, might as welltake all of spring with you—
Hadas Moosazadeh, Tora-Bora Mountains|The obstacle in chain of nature does not occurs due of global warming, but by the destructive power of human's mind.﻿
Linda Carvelli, Perfectly Negative|Everything happens for a reason, we just don't get the reason with the thing
Andrea Bocelli|Nobody could like Donald Trump, surely, except his mother. No one really likes The Donald. But how can you not have respect for a guy who's been down on the floor and just keeps coming back? Nothing will keep Donald Trump down until they drive a wooden stake in his heart and a silver bullet in his brain.
Hilary Mantel|Once he has outgrown his youth, a man will rarely remain a prisoner to his insolence. He had thought it was the only way to behave; then he suddenly discovers that, even for a prince, there are such things as music, literature, not to speak of standing for the post of deputy.
Elan Golomb, Trapped in the Mirror: Adult Children of Narcissists in Their Struggle for Self|When you make a man ashamed, you make him dangerous.
Wisdom Primus, Being Successful While Lying on the Couch! Really?: How to Beat Procrastination, Develop Confidence and Take Massive Actions to Achieve What You Want in Life.|If your dreams are so simple and easy to attain, why don’t you walk straight to them and take them?
Rick Yancey, The Last Star|A surprise visit? That's so romantic...but fairly risky." "If you don't take any risks, life will bass you by," Cunco shipped in.
Teju Cole, Open City|So I went to New York City to be born again. It was and remains easy for most Americans to go somewhere else and start anew. I wasn't like my parents. I didn't have any supposedly sacred piece of land or shoals of friends to leave behind. Nowhere has the number zero been of more philisophical value than in the United States.... and when the [train] plunged into a tunnel under New York City, with it's lining of pipes and wires, I was out of the womb and into the birth canal.
Kamand Kojouri|If you write then you are reborn because by writing about the moment, you can relive it for a second time.
Gina Greenlee, Postcards and Pearls:Life Lessons from Solo Moments in New York|If “Been there, done that” isn’t your mantra,then make haste down your “bucket list.
Abhijit Naskar|One who does not believe in the self is an atheist. If you believe in yourself, then you are the most religious person on earth.
Yevgeny Yevtushenko, Stolen Apples|How can the confessor teach/ those who are lost and sick at heart,/ when he himself, among the sinners,/ is worst, and most forsaken?/ It is only a game we play/ with other people's sins./ Besides, everyone knows/ that everyone lies confessing.
Gretchen Rubin|Since scarcity is the basic economic problem, if it does not exist then there is no reason for my economics course. Devoting time to the study of how people use limited resources to fulfill unlimited wants and needs should help us to discover how to best utilize the resources we have at our disposal.
Winston S. Churchill|If you cannot read all your books...fondle them---peer into them, let them fall open where they will, read from the first sentence that arrests the eye, set them back on the shelves with your own hands, arrange them on your own plan so that you at least know where they are. Let them be your friends; let them, at any rate, be your acquaintances.
Pat Conroy, A Lowcountry Heart: Reflections on a Writing Life|Teaching remains a heroic act to me, and teachers live a necessary and all-important life. We are killing their spirit with unnecessary pressure and expectation that seem forced and destructive to me. Long ago I was one of them. I still regret I was forced to leave them. My entire body of work is because of men and women like them.
Sue Wicks|I have always detested any departure from reality, an attitude which I relate to my mother's poor mental health.
Jules Barbey d'Aurevilly, Les Diaboliques|But people like the doll guy who sells women and the dog guy who buys women, and other guys who, say, rape women, or maybe don’t go as far as violent rape but treat women like objects instead of people—sure, there’s a difference in the level of crime, but it’s all the same thing, where women become a canvas for throwing emotional baggage, Jackson Pollock style.
William Alexander Percy, Lanterns on the Levee:  Recollections of a Planter's Son|Sometimes there is no comfort, only the knowledge that the worst has happened
Walter Annenberg|Head Start graduates are more likely to graduate from high school and less likely to need special education, repeat a grade, or commit crimes in adolescence.
G.M. Malliet, A Demon Summer|Oh please tell me we're not doing the Poirot thing again — the suspects in the library with the candlestick or whatever'.Max looked at him [DCI Cotton]. 'Fruitcake in this case. And what would you prefer? A car chase? It’s the most efficient way to flush out a killer, as Dame Agatha Christie well knew.
Friedrich Nietzsche|Shared joys make a friend, not shared sufferings.
Peter Shaffer|The United States has made a massive effort since the end of the Second World War to secure the dominance of its films in foreign markets - an achievement generally pushed home politically, by writing clauses into various treaties and aid packages.
Kat Von D., Go Big or Go Home: Taking Risks in Life, Love, and Tattooing|To me, the haircut represented beauty and strength, that I was a woman who would live her life without the boundaries imposed upon her by other people.
James     Baldwin, Giovanni's Room|And this was perhaps the first time in my life that death occurred to me as a reality. I thought of the people before me who had looked down at the river and gone to sleep beneath it. I wondered about them. I wondered how they had done it—it, the physical act. I had thought of suicide when I was much younger, as, possibly, we all have, but then it would have been for revenge, it would have been my way of informing the world how awfully it had made me suffer. But the silence of the evening, as I wandered home, had nothing to do with that storm, that far off boy. I simply wondered about the dead because their days had ended and I did not know how I would get through mine.
Billy Marshall Stoneking|A thrilling story can be dull if told badly, but even the most mundane event can be elevated into a tale of epic scale by a good storyteller.
H.P. Lovecraft, Notes On Writing Weird Fiction|While my chosen form of story-writing is obviously a special and perhaps a narrow one, it is none the less a persistent and permanent type of expression, as old as literature itself. There will always be a certain small percentage of persons who feel a burning curiosity about unknown outer space, and a burning desire to escape from the prison-house of the known and the real into those enchanted lands of incredible adventure and infinite possibilities which dreams open up to us, and which things like deep woods, fantastic urban towers, and flaming sunsets momentarily suggest.
C.S. Lewis, Perelandra|I don’t want to be human. I want to see gamma rays, I want to hear X-rays, and I want to smell dark matter. Do you see the absurdity of what I am? I can’t even express these things properly, because I have to—I have to conceptualize complex ideas in this stupid, limiting spoken language, but I know I want to reach out with something other than these prehensile paws, and feel the solar wind of a supernova flowing over me. I’m a machine, and I can know much more.—John Cavil, Cylon Model Number One, “No Exit
Sarah MacLean|She had wanted more than she could have.She had wanted him, and more... she had wanted him to want her.In the name of something bigger than tradition, bolder than reputation, more important than a silly title.
Luffina Lourduraj|Look into my eyes,they will tell you how much I love you.
Gretchen Rubin|When I do see a picture of myself that has been touched up too much, I do get a bit sad... it makes me look like a hypocrite. It breaks my heart. I would rather shoot a magazine and shoot my flaws, but that's not up to me.
Debasish Mridha|A teacher can kindle your mind and let you memorize information, but true education is often self-education.
Richelle E. Goodrich, Making Wishes|We change the future with every choice we make,
Jeaniene Frost, Halfway to the Grave|Bones just stared. "You're not a woman," he said finally. "You're the Grim Reaper with red hair!
Steph Campbell, Grounding Quinn|Then he smiles because he knows deep in his bones that his dad has gone and said something really funny probably. He kicks off his sheet and slides his feet into his slippers. Bunny sits in the living room, slumped low on the sofa, full of Geoffrey's Scotch and Poodle's cocaine.
John Flanagan, The Emperor of Nihon-Ja|All we could get out of them was that they were taking us to 'Kurokuma'. We didn't know if that was a place or a person. What does it mean, by the way?''I'm told it's a term of great respect,' Horace said, unwilling to admit that he didn't know.
Patti Hansen|I have learned, in my life and work as a sportswriter, that big-time Sports and big-time Politics are not so far apart in America. They are both a means to the same end, which is victory... And why not? Victory is good for you, and don't let anybody tell you different.
A.C. Gaughen, Scarlet|And let me tell you my dearest friend,if you think that running away from it is the best solution, then you're wrong.You will never discovered your happiness. Trust me. I know because I've been in the exact situation as you are in now. And yes!There will be heartache and disappointment but you'll never regret the choice you've taken because everything turns out to be beautiful and this, my friend,is how I discovered you as the happiness of my life.
Steven Pressfield, The War of Art: Break Through the Blocks & Win Your Inner Creative Battles|Muse, We are servants of the Mystery. We were put here on earth to act as agents of the Infinite, to bring into existence that which is not yet, but which will be, through us. Every breath we take, every heartbeat, every evolution of every cell comes from God and is sustained by God every second, just as every creation, invention, every bar of music or line of verse, every thought, vision, fantasy, every dumb-ass flop and stroke of genius comes from that infinite intelligence that created us and the universe in all its dimensions, out of the Void, the field of infinite potential, primal chaos, the Muse. To acknowledge that reality, to efface all ego, to let the work come through us and give it back freely to its source, that, in my opinion, is as true to reality as it gets.
Anthony Liccione|You can either follow your dreams with determination and persistence until they become true, or you can be blown by the winds of fate - were anything can happen.
Robbie Robertson|The comic novels I did when I was in my 20s had a harder edge - less sympathy for people. Or a sympathy that was harder to detect: Characters' foibles and obsessive bents were unrelenting, like caricatures.
Steven Wright|It's funny how the ruthless, murderous gangster has really been romanticized by the media. I mean, I grew up watching the 'Godfathers' and 'Scarface,' and they were the coolest. They're just really interesting stories with great characters. They're rock stars.
Andrew Krivak, The Sojourn|To get, simply release, and then gently invite.
Fatema Mernissi, Dreams of Trespass: Tales of a Harem Girlhood|Talent is the multiplier. The more energy and attention you invest in it, the greater the yield. The time you spend with your best is, quite simply, your most productive time.
Howard Tayler, The Scrapyard of Insufferable Arrogance|You're more mean-spirited than I remember you being.""It's this organic body. Hologram fur wasn't itchy.
Truman Capote, In Cold Blood|Walking in the mountain with bare foot, Teasing the flowers with heavy soot, Touching the grasses, climbing the horses, swinging the girlsIt is joyful, jolly like the flying. Swimming in the rivers, tearing the clothes and burning the shoes Angel of the nature; counting the grasses, touching the flower, teasing the birds
Ben Katchor, The Jew of New York|I'm so much more scared of white guys than black guys. Like an angry black guys would pull out a gun and be like 'Yo, I'm coming back with my cousins and we're gonna funck you up' and a white guy would be like just 'BANG'!
Amalia Carosella, Helen of Sparta|He watched the young actress playing the central part of a wife who mistakenly believes her husband has wronged her. She was overly trained in the teapot school of acting, striking expressive poses and attitudes as the mood of the story demanded.
Mike Colter|I have no ambitions at all! I have none... seriously. I want to be a good father. I want to be a good husband. I want to be a good son, a good brother, a good family member. I don't have any ambition to direct a film or write a play. I like acting.
Christina Dodd, Because I'm Watching|By the time it was over, we knew the dead were the lucky ones.
Clarissa Pinkola Estes|Stationery gets me excited because it has an individual character, unlike computers, which may be convenient but are generic and bland.
Nathan Englander, For the Relief of Unbearable Urges|Two-thirty in the morning was kind of a bitch as times went. It fell into the in-between, nowhere land. Too late to get a really good night's sleep, but much too early to start the day.
Tom Robbins, Tibetan Peach Pie: A True Account of an Imaginative Life|Evidently, I'd suffered an epiphany: the subconscious realization that when it comes to coolness, nothing the human race has ever invented is more cool than a book.
Pope Benedict XVI|Above all, we must have great respect for these people who also suffer and who want to find their own way of correct living. On the other hand, to create a legal form of a kind of homosexual marriage, in reality, does not help these people.
Libba Bray, Beauty Queens|I love you for who you are, not who the world thinks you should be.
Amanda  Carlson, Struck|Humans don't leap buildings. Stuntmen with harnesses do. And won't my crashing eight stories to the ground be detrimental to the mission? The dark elves will swarm me and take me hostage instantly."	"That might be true, but you're not going to fall," he said.
P.C. Cast, Hidden|You cannot conceive of the depths of my sorrow, Campbell Maria Cooper." Alicia brought her fist to her mouth and her other hand to the rail of the bed and took a deep breath before she continued. "I will never be the same when you are gone. Things for me will be dim and gray and flat. But there is one thing that will keep me going, Campbell, and that is the belief in my connection to you. This thing. This crazy enmeshed love feeling that I have is real. Like this cup is real. Or this phone is real. And it will not just go away when you do. Okay? Wherever you are going, you will be connected to me by this thing, and you will never, ever be alone, okay? I want you to know that.
Judith Claire Mitchell|Why doesn't anyone tell you we all wind up married to Henry the VIII?......My dear Anne Boleyn,...the only way a woman can avoid waking up next to Henry is to model herself after his daughter Elizabeth and sleep next to no one at all.
Zack Love, Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC|Oh. Well was this your first time painting a live model?”She nodded her head, with an almost guilty look on her face.“What’s it like?”“Hard,” she replied.
Mary Norris, Between You  Me: Confessions of a Comma Queen|You can't learn to write in college. It's a very bad place for writers because the teachers always think they know more than you do—and they don't. They have prejudices. They may like Henry James, but what if you don't want to write like Henry James? They may like John Irving, for instance, who's the bore of all time. A lot of the people whose work they've taught in the schools for the last thirty years, I can't understand why people read them and why they are taught. The library, on the other hand, has no biases. The information is all there for you to interpret. You don't have someone telling you what to think. You discover it for yourself.
Albert Brooks|It's not like since I make comics I only read comics and since I make movies I will only go out and watch movies. Any kind of artistic expression interests me; it goes from literature to music to sculpture, painting; whatever is extremely inspiring for me becomes a reference also for me.
Kevin Smokler, Brat Pack America: Visiting Cult Movies of the '80s|When we return to our elementary school playground or the site of our first kiss, we're dropping in on our own history years later. Visiting those same places in the present not only collapses time, but also memory.
Dada Bhagwan|One does not see ‘what is there’ and sees ‘what is not there’, that is called moha (illusory vision).
Betsy L. Stone|We the caregivers, have the power to do things proactively to benefit our present and future generations.
Debasish Mridha|Don’t fear to sing alone. If your song is right and melodies are touching, listeners will appear.
Hayao Miyazaki|Many of my movies have strong female leads- brave, self-sufficient girls that don't think twice about fighting for what they believe with all their heart. They'll need a friend, or a supporter, but never a savior. Any woman is just as capable of being a hero as any man.
kimber nilsson|I got the recurring itch to hunt for a dirty scene.  I found myself in a swank hotel bar, a Westin or someplace like that, and flirted shamelessly with a well-dressed man who invited me up to his room.  I could say he slipped a Mickey into my drink, but, I’d be fooling myself.  When the endorphins kicked in, the man had his belt around my neck and choked me, while riding me from behind and calling me names. Afterward, he asked if I was okay and reminded me I agreed to this type of breath play.  Maybe I did. 
Winston S. Churchill|Logic, like science, must be the servant and not the master of man.
Zoe Cruz, Beastia|I don’t give sick days if you’re playing in the snow.” He’s being funny, or trying to be funny. I can never tell which.
Thomas Lovell Beddoes|If there were dreams to sell, what would you buy?
Alyssa Hervis|We all want to be loved. And sometimes it doesn't even matter who loves us, as long as it makes us feel less alone
Chuck Yeager|An exciting and inspiring future awaits you beyond the noise in your mind, beyond the guilt, doubt, fear, shame, insecurity and heaviness of the past you carry around.
Lisa Gardner|I really, really, really want to do a silly romantic comedy where I can just have a crush on the guy, trip over myself, and laugh and be goofy. I just feel like all I do is cry, sob, and fight zombies and the bad guys.
Samuel Butler|In matters of truth the fact that you don't want to publish something is, nine times out of ten, a proof that you ought to publish it.
Lailah Gifty Akita|The future is always unknown.Live your own life.Live in the moment.Live so well in the present, so that when tomorrow never comes, you may have no regrets.
Kilroy J. Oldster, Dead Toad Scrolls|We had the experience but missed the meaning,an approach to the meaning restores the experience
Fyodor Dostoyevsky, Crime and Punishment|I realized that just because “I can’t,” doesn’t mean “I shouldn’t.
Jodi Picoult, My Sister's Keeper|No, Sully'd decided long ago to abstain from all but the most general forms of regret. He allowed himself the vague wish that things had turned out differently, without blaming himself that they hadn't, any more than he'd blamed himself when his 1-2-3 triple never ran like it should at least once. It didn't pay to second-guess every one of life's decisions, to pretend to wisdom about the past from the safety of the present, the way so many people did when they got older. As if, given a second chance to live their lives, they'd be smarter. Sully didn't know too many people who got noticeably smarter over the course of a lifetime. Some made fewer mistakes, but in Sully's opinion that was because they couldn't go quite so fast. They had less energy, no more virtue; fewer opportunities to screw up, not more wisdom. It was Sully's policy to stick by his mistakes....
Sunday Adelaja|The trees are born, they develop their leaves and fruits, they grow and die. I can't ever understand why a tree is a "what" and not a "who".
Zadie Smith, White Teeth|And in the past, Archie wondered, was it just that fewer people cheated? Were they more honest, and did they leave their front doors open, did they leave their kids with the neighbors, pay social calls, run up tabs with the butcher? The funny thing about getting old in a country is people always want to hear that from you. They want to hear it really was once a green and pleasant land. They need it.
Terry Pratchett|All That Is Needed For Evil To Succeeded, Is For Good People To Do Nothing
Alexandra Katehakis, Mirror of Intimacy: Daily Reflections on Emotional and Erotic Intelligence|It’s crucial to practice self-empathy, for trust can’t be willed into existence. That didn’t work when our caregivers tried to impose their will on us, and it won’t work internally, either. Only when we can tap into a place of self-trust, with a reliable process of reparation for inevitable mistakes, can we build trust with another person.
Graham Greene, The Power and the Glory|For years I had convinced myself that, as a doctor, I sacrificed moments with friends, family, and my husband for the greater good. The call to heal the sick and tend the injured superseded all else. The Lord heaped blessings upon me, and I hurled them back in the name of “service” to him.I’m a woman surgeon, I would snap. You made me this way. I have a legacy to carry on...The prospect of abandoning a secure position with excellent prospects for advancement terrified me. I spent many nights agonizing that, despite the Lord’s call, my decision to leave medicine was reckless or irresponsible. Such fears are normal and expected, but reflect our own limited understanding, rather than an enduring faith in the Lord. God is sovereign over our lives, and whatever doubts we have, we may trust that he knows the path and is in command over all.Christ has already overcome, and so we have nothing to fear. From Proverbs: “The heart of man plans his way, but the Lord establishes his steps” (Proverbs 16:9), and “trust in the Lord with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths” (Proverbs 3:5–6)...From 1 Thessalonians 1:3: We remember “before our God and Father your work of faith and labor of love and steadfastness of hope in our Lord Jesus Christ.” Christ died and rose victorious over death and sin to free us, so that we may have the hope and fulfillment that comes from living in him.
Adrienne Rich, Leaflets|[I] like to be anchored by routine, not shackled by it.
Laura Lippman, Pony Girl|In my parents' day and age, it used to be the person who fell short. Now it's the discipline. Reading the classics is too difficult, therefore it's the classics that are to blame. Today the student asserts his incapacity as a privilege. I can't learn it, so there is something wrong with it. And there is something especially wrong with the bad teacher who wants to teach it. There are no more criteria, Mr. Zuckerman, only opinions.
Colin S. Smith, Jonah: Navigating a God-Centered Life|When your heart is gripped by the love of God poured out in the cross, and when you see the extent of that love in the propitiation by which Christ became the sacrifice for your sin, bearing wrath and entering hell for you, and when you are convinced that this Christ offers Himself in redeeming love to others who do not yet know Him, a passion will be lit in your heart to pursue a God-centered life.
Jennifer Kaufman|For me, reading is so much more. Books teach you how other people think, and what they're feeling, and how they change from ordinary beings to extraordinary ones. Often they are so appealing and intelligent, you'd rather spend time reading about them than doing anything else.
Ernest Vincent Wright, Gadsby|While filling color to someone's life to whom you really love & care, make sure to fill little color of joy & happiness which should not hurt the beauty of their life. Don't prove that you are an artist just express your art, that's the love and life is...
RJ Blizzard|What your father never understood, is that what he loved most about her was her unbridled love and freedom to live her own life. He loved her colors and viewed her like paint.
Vivienne Westwood|The no-secrets era of social media makes one consider the built-in risk factor of nominating high-testosterone men to positions of power at all. Everyone is under too much scrutiny now to take a chance on candidates who suddenly blow up into a comic meme, a punchline, a ribald hashtag.
