Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
William Bridge|As it is the sister of reading, so it is the mother of prayer. Though a man's heart be much indisposed to prayer, yet, if he can but fall into a meditation of God, and the things of God, his heart will soon come off to prayer....Begin with reading or hearing. Go on with meditation; end in prayer....Reading without meditation is unfruitful; meditation without reading is hurtful; to meditate and to read without prayer upon both, is without blessing.
Will Advise, Nothing is here...|Then on the River I saw the dream-built ship of the god Yoharneth-Lehai, whose great prow lifted grey into the air above the River of Silence. Her timbers were olden dreams dreamed long ago, and poets' fancies made her tall, straight masts, and her rigging was wrought out of the people's hopes. Upon her deck were rowers with dream-made oars, and the rowers were the people of men's fancies, and princes of old story and people who had died, and people who had never been.
Josh Lieb, I am a Genius of Unspeakable Evil and I Want to Be Your Class President|If she knew me as I really am she would despise me, and certainly not aid or abet my evil designs. To veil their vices from the sight of the good is the only resource of those who are not blind and know themselves to be vicious.' Thus was I confirmed in habits of hypocrisy; and these, for a time, worked only too effectually to my advantage.
mr. sid|The Best Part Of Missing You Is, "I Recall Every Single Moment Spent With You."Bt The Worst Part Is,"I Miss You So Badly.
David Levithan, Every Day|And in this quiet moment, as I close my eyes, spent and sated, I think I'm in the eye of the storm. And in spite of all he's said and what he hasn't said, I don't think I have ever been so happy.
John Donne, The Complete Poetry and Selected Prose|Yet nothing can to nothing fall,Nor any place be empty quite;Therefore I think my breast hath allThose pieces still, though they be not unite;And now, as broken glasses showA hundred lesser faces, soMy rags of heart can like, wish, and adore,But after one such love, can love no more.
Billy Graham, Billy Graham in Quotes|Once for all God made complete and perfect provision for the cure of man’s sins; without the blood of Christ, it is indeed a fatal disease.
Sherry Turkle|An awful lot of successful technology companies ended up being in a slightly different market than they started out in. Microsoft started with programming tools, but came out with an operating system. Oracle started doing contracts for the CIA. AOL started out as an online video gaming network.
V.E. Schwab|He suffered," added Athos softly. "But not like you." He brought his mouth closer. "No one suffers as beautifully as you." There it was, in the corner of Holland's mouth, the crease of his eye. Anger. Pain. Defiance. Athos smiled, victorious.
Junot Díaz, The Brief Wondrous Life of Oscar Wao|The sea was no stranger to the rock on the beach. The sea came often to the rock, rushing up wetly against its warm grey, and always as it swept away it took an infinitesimal part of the rock with it. The rock had known the waves for a long time, and learned it was in its nature to erode.
George Santayana|The wisdom of the wise, and the experience of ages, may be preserved by quotation.
Marlo Thomas|As iron sharpens iron, so a friend sharpens a friend.
CeeLo Green|Growing up the way I grew up, food was scarce. So when you had an opportunity to eat, you ate. When I graduated from high school and went to college, I weighed 160 pounds. So, I knew I had to put on the weight. I ate everything from fried food to fried chicken wings. When I came to Green Bay, I did the same thing because I was 172 pounds.
Elle Lothlorien, Alice in Wonderland|So…while we’re sitting here on this luxury yacht enjoying our bread and water, why doesn’t someone tell me the plan?
Shiv Nadar|The sad fact is, because we've had a failed policy and failed leadership, now we're having to rely on Russians and the Iranians to go into Syria to fight and destroy ISIS.
Brian Logan Dales|And if the day I die they ask me just how heaven was, I'll be glad I spent it with you.
Dhaval Gajera, MAKE IT HAPPEN: with 30 greatest life lessons|When your dream doesn't let you sleep even after 22 hours of waking up, it's worth chasing.
Alanna Rusnak, The Church in the Wildwood|That’s the way Chris lives, warning everyone who gets close of the lightning that may strike. Never touch anything, never make a mark. But Anatole can’t live that way. The world’s too lonely a place: he has to touch things, he has to put his arms around them.
Friedrich Nietzsche, Thus Spoke Zarathustra|Ich lehre euch den Übermenschen. Der Mensch ist Etwas, das überwunden werden soll. Was habt ihr gethan, ihn zu überwinden? Was ist der Affe für en Menschen? Ein Gelächter oder eine schmerzliche Scham. Und ebendas soll der Mensch für den Übermenschen sein: ein Gelächter oder eine schmerzliche Scham. Ihr habt den Weg vom Wurme zum Menschen gemacht, und Vieles ist in euch noch Wurm. Einst wart ihr Affen, und auch jetzt ist der Mensch mehr Affe, als irgend ein Affe.
Lauren Oliver, Requiem|Shelley, you think she'll take me back?" Alex asks her, his hair dangerously close to her fingers. She doesn't pull his hair . . . just pats his head gently. I feel the tears running down my cheeks at full speed."Yeah!" Shelley yells with a goofy, gummy grin. She looks happier and more content than she's been in a long time. Both of my favorite people are with me right here; what more could I ask for?
Michael Hayden|Do you know what absolute happiness is? For me, it is to wake up my kids in the morning - these little pieces of innocence - to wake them and find they're so happy to see me! It is unequivocal love, no question about it.
Kenya Wright, The Muse|Art isn’t a means for income when it comes to Hex. He would do it if he was trapped on an island by himself or the richest man in the world. For him, art is like breathing. He just has to do it.
Bangambiki Habyarimana, Pearls Of Eternity|God is powerful. Even those who claim not to believe in him fear him. Though their mouths may confess to disbelieve in him, their hearts yearn for him.
Jaye Beeler, Tasting & Touring Michigan's Homegrown Food: A Culinary Roadtrip|[T]here's a thin line separating the delicate from the bloodless, in art as in food.
Rosita Forbes|The perfect journey is never finished, the goal is always just across the next river, round the shoulder of the next mountain. There is always one more track to follow, one more mirage to explore.
Nando Parrado, Miracle in the Andes|I have suffered great losses and have been blessed with great consolations, but whatever life may give me or take away, this is the simple wisdom that will always light my life: I have loved, passionately, fearlessly, with all my heart and all my soul, and I have been loved in return. For me, this is enough.
Graham Greene|Despair is the price one pays for setting oneself an impossible aim. It is, one is told, the unforgivable sin, but it is a sin the corrupt or evil man never practices. He always has hope. He never reaches the freezing-point of knowing absolute failure. Only the man of goodwill carries always in his heart this capacity for damnation.
Joshua Jackson|It took me years to understand that words are often as important as experience, because words make experience last.
Evinda Lepins, A Cup of Hope for the Day: Coffee Hour with Chicklit Power|Angels of highest light and love,  Angels that radiate beams of pure energy from the heavens above.Please join us and be with us on this very night, As the soul of our beloved joins you in flight.We pray that you send this soul embraced in your lovely wings, During his journey may he hear harps, and trumpets and strings.
Cheryl Strayed, Tiny Beautiful Things: Advice on Love and Life from Dear Sugar|My mother's last word to me clanks inside me like an iron bell that someone beats at dinnertime: love, love, love, love, love.
Anastasia Bolinder|Starting out a new day gives hope for new adventures, villains and hero's to cross your path. Make the most of it.
Ricky Gervais|In the beginning God created the heavens and the earth . . . Then he said, "Let there be light." Which means he made the entire universe in the dark! How fucking good is that? He's brilliant.
John Banville, The Infinities|What are we, if not an accumulation of our memories?
Aaron W. Matthews|Where God's grace takes you, grace will increase your capability and your capacity. Grace will empower you.
Anna von der Goltz|They need only to look at him, hear his name, and the last of reason goes up in smoke. They sink into a state of befuddlement.
Susan Barbara Apollon, Touched by the Extraordinary, Book Two|What is hope? Like love, it is hard to define, but easy to recognize, a state of being that compels us to go on. It is a feeling that we have what we need to continue our journey to the next moment.
Vyacheslav Ivanov, The Silver Age of Russian Culture: An Anthology|You will go far in the Church.""I have no desire to go far. My only ambition is to be a good priest.""You will be that, of course. Nevertheless, you will go higher. And do you know why?”“Why?”“Because,” said Orselli, “you are not afraid of worldliness. I do not mean that you are worldly. Far from it. But you have a talent for being all things to all men.
Earnest Hemingway|The Sieves of time, filter out the fakes from the real.Don't look back for them, they were filtered out for your refinement.
Bangambiki Habyarimana, Pearls Of Eternity|In order to protect their good names for posterity, many writers never wrote what they thought or the truth as it stood. That's why truth still lies hidden in matters of power, sex and religion. No wonder they chose to do so, many who dared paid with their heads
Marquis de Sade, Philosophy in the Boudoir or, The Immoral Mentors|The imagination serves us only when the mind is absolutely free of any prejudice. A single prejudice suffices to cool off the imagination. This whimsical part of the mind is so unbridled as to be uncontrollable. Its greatest triumphs, its most eminent delights consist in smashing all the restraints that oppose it. Imagination is the enemy of all norms, the idolater of all disorder and of all that bears the color of crime.
Tracey Bond|Everyone cannot elevate or even revelate at the same time and/or season; an appointment to elevation can result from being specially chosen...like fruit that is ready, ripe and refined for its pleasurable taste.Even scriptural wisdom documents that "Many are called, few are chosen."Those chosen 'few' may deeply sense that at the core function of elevation is an acension both to and from a higher positioned calling for it...a destiny appointment that will be met without haste...separation has the ability to confirm that elevation has its own appointment...prompted by the foreknowledge of a most SUPER natural selection.
Thomas French, Zoo Story: Life in the Garden of Captives|If a person fights, that's their own choice," Angel says. "But getting two roosters to fight or two dogs like pit bulls to fight, the animals don't have a choice there. They can't decide not to fight.
Ainun Annisa|Other thoughtful year-round gestures to staff included silver picture frames for wedding anniversaries, flowers to ailing spouses, additional checks for medical bills and even a pet dog
Criss Jami, Diotima, Battery, Electric Personality|A steampunk nationBaby pollution rises up then the loving comes arraigning 'causeOur art's official and only partially artificialAnd our heart's in the middle of sharp hardened shards of metal butThere's not where it settlesBecause it's beating to the steaming of God's hottest pot or kettleAnd now we face it, this creation we made toTo save our craving for a synthetic rebelnation it'sOur safeway they make into a pathetic revelationIn our steampunk nationOur steampunk nation
John Stoltenberg, Refusing to be a Man: Essays on Sex and Justice|If you look at all the variables in nature that are saidto determine human “sex,” you can’t possibly find one that will unequivocally split the species into two. Each of the so-called criteria of sexedness is itself a continuum—including chromosomal variables, genital and gonadal variations,reproductive capacities, endocrinological proportions, and any other criterion you could think of. Any or all of these different variables may line up in any number of ways, and all of the variables may vary independently of one another.
Sanhita Baruah|A hand-rolled cigarette to smoke,Another one bought from the store.If he lights one, his mind's lit upAnother one burns a hole..
Val Uchendu|Only the ones whose hearts have been conquered by LOVE know the secret language of the eyes. Leave trails of love today, perhaps others might be brave enough to follow
Charles Bukowski, Women|There were no judgments to be made, yet out of necessity one had to select. Beyond good and evil was all right in theory, but to go on living one had to select: some were kinder than others, some were simply more interested in you, and sometimes the outwardly beautiful and inwardly cold were necessary. The kinder ones fucked better, really, and after you were around them a while they seemed beautiful because they were.
Sam Ervin|A prisoner of war is a man who tries to kill you and fails, and then asks you not to kill him.
Tom Morello|A musician's or artist's responsibility is a simple one, and that is, through your music to tell the truth,
Sheena Iyengar, The Art of Choosing|Thanks to a vampire and a boatload of freaks and an invading alien horde, I’m Human again.
Wendell Berry, The Art of the Commonplace: The Agrarian Essays|[All the ancient wisdom] tells us that work is necessary to us, as much a part of our condition as mortality; that good work is our salvation and our joy; that shoddy or dishonest or self-serving work is our curse and our doom. We have tried to escape the sweat and sorrow promised in Genesis - only to find that, in order to do so, we must forswear love and excellence, health and joy.(pg. 44, "The Unsettling of America")
Rachael Allen|Sim sighed. "like Ross always said: Wish in one hand,shit in the other,and see which hand fills up first.
Jo Victor, Romance by the Book|Someone told me recently that a commentator or some sort had said, "The United States is in spiritual free-fall." When people make such remarks, such appalling judgements, they never include themselves, their friends, those with whom they agree. They have drawn, as they say, a bright line between an "us" and a "them." Those on the other side of the line are assumed to be unworthy of respect or hearing, and are in fact to be regarded as a huge problem to the "us" who presume to judge "them." This tedious pattern has repeated itself endlessly through human history and is, as I have said, the end of community and the beginning of tribalism.
Hubert Martin|She was poetry written in pen, scribbled and scrawled again and again. Ink splattered across the page. And within those scratched words, those small, sharp incisions, an image can be seen and you're left to wonder what, in the end, this all could mean.
Jessica Khoury, Origin|Acheron always says that our scars are there to remind us of out pasts, of where we've been and what we've gone through. But that pain doesn't have to drive or determine our future. We can rise about it if we let ourselves. It's not easy, but nothing in life ever is." -Sundown
Trent Lott|The case for freedom, the case for our constitutional principles the case for our heritage has to be made anew in each generation. The work of freedom is never done.
Julia Glass, The Whole World Over|Will wrestled with his conscience, grappled it to the ground and sat on it until he couldn't hear a squeak out of it.
Jaeda DeWalt|But Fin would always be a bit of a romantic, at least when it came to books.
Conan O'Brien|For many, graduation marks the end of formal student life - the end of long spring breaks and of thinking that a 10 A.M. class is far too early.
John Stuart Mill, On Liberty|Truth gains more even by the errors of one who, with due study and preparation, thinks for himself, than by the true opinions of those who only hold them because they do not suffer themselves to think…
Robert Rodríguez, Rebel Without a Crew, or How a 23-Year-Old Filmmaker With $7,000 Became a Hollywood Player|When given an opportunity, deliver excellence and never quit.
Tony Vigorito, Just a Couple of Days|My coming brought no profit to the sky,Nor does my going swell its glory;My two ears have never heard anyone that could say,Why I came here and why I will go away.
Amanda  Carlson, Struck|Fen looked mildly amused by my antics. In fact, he was just short of full-on laughing. "Don't snicker at me, wolf. Being naked in your arms..." As I said those words out loud, a kernel of heat seared through me, heat that had nothing at all to do with the scalding temperature of the water. "Well... let's just say it surprised me, okay? I wasn't expecting to be ... unclothed or ... alive, for that matter."	"Valkyrie, your nakedness does not bother me in the least." Did his eyes just flare a teensy bit? "It would've been counterproductive to heal you with your clothes on. What was left of them, anyway. I figured your life was worth more than your modesty." His lips went up in a cocky grin. "Plus, it kept me quite... focused on my task.
Helen Maryles Shankman|There’s no such thing as yesterday, he thought dully. Memory is just today, happening over and over again, stamped indelibly with regret.
Dalai Lama|I hope people understand that when you tax corporations that the concrete and the steel and the plastic don't pay. People pay. And so when you tax corporations, either the employees are going to pay or the shareholders are going to pay or the customers are going to pay. And so corporations are people.
Grace Slick|I don't happen to have a sense of humor personally, so I don't know what's funny about a character... This happens to be a feature of my life generally.
Joseph M. Chiron, Tagged: The Apocalypse|We never love a person after judging them because that's not love then, But today's life lesson is to judge a person before falling in love with that person, It's hard to trust anyone in this cruel world where all are determined to hurt you by any mean.
Patricia Tokarz|The above is stereotypical FMS rhetoric. It employs a formulaic medley of factual distortions, exaggerations, emotionally charged language and ideological codewords, pseudo-scientific assertions, indignant protestations of bigotry and persecution, mockering of religious belief, and the usual tiresome “witch hunt” metaphors to convince the reader that there can be no debating the merits of the case. No matter what the circumstances of the case, the syntax is always the same, and the plot line as predictable as a 1920's silent movie. Everyone accused of abuse is somehow the victim of overzealous religious fanatics, who make unwarranted, irrational, and self-serving charges, which are incredibly accepted uncritically by virtually all social service and criminal justice professionals assign to the case, who are responsible for "brainwashing" the alleged perpetrator or witnesses to the crime. This mysterious process of "mass hysteria" is then amplified in the media, which feeds back upon itself, which finally causes a total travesty of justice which the FMS people in the white hats are duty-bound to redress. By reading FMS literature one could easily draw the conclusion that the entire American justice system is no better than that of the rural south in the days of lynchings and the Ku Klux Klan. The Salem witch trials of the seventeenth century are always the touchstone for comparison.
Zoe Weil, Most Good, Least Harm: A Simple Principle for a Better World and Meaningful Life|Mogo living brings about true freedom. When you have the inner conviction to do the most good and the least harm, you are free to say no to media, social, and peer pressures. You are free from a nagging sense that your life does not have value or meaning. You are free to imagine and then create a truly successful (in the deepest meaning on the word) life. You are free to be at peace with yourself and all those whom your life touches.
Dennis Vickers, Between the Shadow and the Soul|Anything that makes you laugh, giggle or smile.. Do it again..
Laura Kreitzer, Keepers|Awe! Leaving so soon?” Gabby said sweetly, holding the door open. “I was just about to pull out the gun for you to play single-player Russian Roulette.
Basu Singh|Art is an imagination, crafted over innocent dreams and vibrant integrity.
Mary Karr|Having devoted the first half of my life to the dark, I feel obliged to rever any pinpoint of light now.
Billy Graham, Billy Graham in Quotes|If ever a generation was bequeathed the knowledge of God, we were. Yet we are throwing away this glorious heritage on our lust and passions.
Atul Gawande|Someone or something that wastes your time, makes you lose a part of your life. One you can never get back.
Ayn Rand, The Early Ayn Rand: A Selection from Her Unpublished Fiction|Maybe I`m getting to the age when I`m starting to be senile or nostalgic or both, but people are so angry now. You used to be able to disagree with people and still be friends. Now you hear these talk shows, and everyone who believes differently from you is a moron and an idiot - both on the Right and the Left. 
Terence McKenna|A hallucination is to be in the presence of that which previously could not be imagined, and if it previously could not be imagined then there is no grounds for believing that you generated it out of yourself.
Dot Hutchison, A Wounded Name|Silence is the room we create for the searching of God, where we hear His voice and follow.
Stephenie Meyer, The Twilight Saga|She sees things — things that might happen, things that are coming. But it’s very subjective. The future isn’t set in stone. Things change.
Keith Ferrazzi|Recently thought of deleting my Facebook account and start using twitter, but realized it's not easy. Facebook has become like the boyfriend I no longer like but scared to dump because I've invested so much time in the relationship.
Johnny Van Zant|I wanted to be Cher for a long time, but not for the singing. I just thought she was so cool. I wanted her long hair, and I wanted to weigh five pounds.
Dick Van Dyke, My Lucky Life in and Out of Show Business|I didn't know the answers, but I could feel that the things that gave life meaning came from a place within and from the nurturing of values like tolerance, charity, and community.
Katlyn Charlesworth, While Rome Burned|In an empire as unruly as Rome, it is quite easy to get away with something as thespian as murder.
Susan Cain, Quiet: The Power of Introverts in a World That Can't Stop Talking|I need a break after school," she told me later. "School is hard because a lot of people are in the room, so you get tired. I freak out if my mom plans a play date without telling me, because I don't want to hurt my friends' feelings. But I'd rather stay home. At a friend's house you have to do the things other people want to do. I like hanging out with my mom after school because I can learn from her. She's been alive longer than me. We have thoughtful conversations. I like having conversations because they make people happy.
Bruno Schulz, The Street of Crocodiles|... the world can give you these glimpses as well as fairy tales can--the smell of rain, the dazzle of sun on white clapboard with the shadows of ferns and wash on the line, the wildness of a winter storm when in the house the flame of a candle doesn't even flicker.
Sitting Bull|That is the earth, he thought. Not a globe thousands of kilometers around, but a forest with a shining lake, a house hidden at the crest of a hill, high in the trees, a grassy slope leading upwards from the water, fish leaping and birds strafing to take the bugs that lived at the border between water and sky. Earth was the constant noise of crickets, and winds, and birds
Catherynne M. Valente, The Girl Who Fell Beneath Fairyland and Led the Revels There|In her daydreams, they aged miraculously, she still trim with a blond ponytail, standing next to her strong, tall husband with his thick, curly dark hair and straight white teeth. Money was never an issue.
M.R. Field, Splinters|Princess, the contents of your shoe closet would break the budgets of a lot of third world countries - Jake Malone
Gilbert Baker|No matter what has happened, you too have the power to enjoy yourself.
Juan Cole|We live in a democracy. We have this extraordinary opportunity to use our mind and say what we think, speak as we think. Sometimes what we say is objectionable to other people. But that is part of a free society.
Emma Michaels, Owlet|If you remember yourself, you will remember me. I am always a part of you. I am your mother.
Cory Booker|When you are insane, you are busy being insane - all the time.
Rebecca McNutt, Mandy and Alecto: The Collected Smog City Book Series|What’s supposed to be and what is, are two very different things.
Søren Kierkegaard|We had to learn ourselves and, furthermore, we had to teach the despairing men, that it did not really matter what we expected from life, but rather what life expected from us. We need to stop asking about the meaning of life, and instead to think of ourselves as those who were being questioned by life—hourly and daily. Our answer must consist not in talk and meditation, but in right action and in right conduct. Life ultimately means taking the responsibility to find the right answers to its problems and to fulfill the task which it constantly sets for each individual.
J.R.R. Tolkien, Tolkien on Fairy-stories|I would venture to say that approaching the Christian Story from this direction, it has long been my feeling (a joyous feeling) that God redeemed the corrupt makingcreatures, men, in a way fitting to this aspect, as to others, of their strange nature. The Gospels contain a fairy-story, or a story of a larger kind which embraces all the essence of fairy-stories. They contain many marvels—peculiarly artistic, beautiful, and moving: ‘mythical’ in their perfect, self-contained significance; and among the marvels is the greatest and most complete conceivable eucatastrophe. But this story has entered History and the primary world; the desire and aspiration of sub-creation has been raised to the fulfillment of Creation. The Birth of Christ is the eucatastrophe of Man’s history. The Resurrection is the eucatastrophe of the story of the Incarnation. This story begins and ends in joy. It has pre-eminently the ‘inner consistency of reality’. There is no tale ever told that men would rather find was true, and none which so many sceptical men have accepted as true on its own merits. For the Art of it has the supremely convincing tone of Primary Art, that is, of Creation. To reject it leads either to sadness or to wrath.
